molecula|SddssS|n9FaRing|SssssC|SRW09|nAHRing|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
12as_a36|0.0|0|0.0|7.412764017000001|2|-0.051208473|-0.007672841|5.351858133|2|0.041728395|0.0|-0.452697599|0.000584134|-0.114290948|10.95347588|1|1|0.0018565629999999|0.162571317|-0.166354116|-0.4358775279999999|1|0.817372883|-0.0389138329999999|0.869455765|0.770400825|0|0.77043791|-0.082748367|-0.109492809|0.019229943|12.95780416|88.17694537|154.6869148|-0.037824788|8.731418812000001|0.768125394|0.454761514|-1401.82114|2365.632846|-17.17446921|0.231874606|8.768282531|16.08155469|156.2451686|-944.5958066|33.18163581|-361.3444194|716.9974499|11.75468972|0.0|1.0|0.0|2.0|4.86|0.0|0.17|-6.89|2.09|1.0|0.0|133.95|0.0|1.0|6.0|-3.81|32.0|423.47|0.0|1.84|0.0653|0.000112|0.0476|2.36|0.0|0.0|1.29e-07|5.4600000000000006e-05|4.5202|3851.0|-1385.601917|712.04|1207.35|0.5902|568.52|0.68211|-1385.322633|-0.1563|-0.21419|0.03674596|6.8556|7.2291|7.2291
1e_a5|0.0|0|0.0|6.605297921|0|-0.260066152|-0.001975193|4.59511985|2|0.027873016|0.0|-0.084933308|0.008031558|-0.1197834419999999|10.94440038|1|1|0.007357977|-0.133677441|0.0578378779999999|-0.201027861|2|0.771487328|0.045376705|0.834250802|0.6977404359999999|0|0.8805795|-0.06795194|-0.069725333|0.008587563|4.461204261000001|159.537038|62.03846573|-0.0278901329999999|2.317577542|0.7473936259999999|0.482579989|-579.5524467|827.4861275000001|-7.526878708|0.2526063739999999|6.41473183|12.39753333|131.2279879|-301.0751483|19.38578369|-257.0399733|409.0289917|8.161620868|1.0|1.0|1.0|1.0|2.83|2.17|0.05|-8.41|4.51|0.0|0.0|95.45|0.0|1.0|3.0|-4.25|24.0|312.37|1.0|3.44|0.0174|3.5600000000000005e-05|0.0111|3.43|0.0|0.0|3.87e-09|1.21e-06|4746.0|4.4292|-990.6320386|560.58|935.47|0.5156|427.87|0.51802|-990.471803|-0.18105|-0.22291|0.0313740589999999|3.0386|6719.0|6719.0
12t_a30|0.0|0|0.0|7.412764017000001|2|0.073057637|-0.007755575|5.351858133|2|0.044197531|0.0|-0.411045472|-0.002544958|-0.0682882559999999|10.31162892|1|1|-0.001131023|-0.158448053|-0.145315868|-0.464720444|1|0.83236194|-0.003937967|0.889479916|0.591758164|0|0.696413582|-0.090535776|-0.1011561919999999|0.018862708|12.26965165|88.42093081|197.4742794|-0.037159417|7.981057356|0.745705883|0.445760296|-1184.385754|2479.787504|-15.72263361|0.254294117|7.957774504|14.358001500000002|165.4110479|-770.409047|32.41376848|-319.6492937|616.2856203|13.02867425|0.0|1.0|0.0|1.0|4.63|0.0|0.14|-7.16|3.74|2.0|0.0|127.19|0.0|1.0|5.0|-5.49|31.0|434.46|0.0|3.21|0.00141|6.71e-06|0.00291|4.07|0.0|0.0|6.900000000000002e-08|3e-05|5.0693|3.5457|-1774.2421780000002|677.85|1139.2|0.2094|527.87|0.6842600000000001|-1774.0165149999998|-0.15029|-0.20571|0.0337599|3.2145|8.0496|8.0496
18_a47|0.0|1|0.0|6.605297921|0|-0.141396999|-0.004337918|4.59511985|3|0.037919622|1.5913490630000002|-0.2342475789999999|0.0008454789999999|0.018164141|10.93838451|1|1|0.0015586929999999|-0.056674151|-0.053119347|-0.322800033|3|0.792196273|-0.059779939|0.851462739|0.630969651|1|0.777824025|-0.078937385|-0.084415066|0.014741763|9.234746417|70.55642796|139.1786571|-0.0303894239999999|5.784962137000001|0.7327484470000001|0.432077184|-951.8489108|2184.962887|-11.9254166|0.267251553|7.018342267|12.35791568|167.41554630000002|-596.2708299|25.98023687|-291.6032324|628.5247532999999|10.84884165|1.0|1.0|1.0|2.0|3.47|2.5|0.08|-10.36|6.0|2.0|0.0|119.78|0.0|0.0|4.0|-5.5|31.0|410.45|0.0|4.16|0.00129|4.29e-06|0.00176|4.13|0.0|0.0|4.34e-11|1.78e-08|4.2668|4.2222|-1354.221126|652.12|1130.76|0.4335|487.81|0.63359|-1353.979194|-0.17349|-0.22313|0.04031146|5.3433|8.6|8.6
26_a20|0.0|0|0.0|6.842683282|0|-0.000846851|-0.00578453|4.727387819|2|0.0396875|2.01129617|-0.3297182369999999|0.003085806|-0.054222344|10.93106273|1|1|0.003149352|0.249416844|0.057022334|-0.446730587|2|0.7541508029999999|-0.070815554|0.8096894440000001|0.690530489|1|0.79337253|-0.0862808009999999|-0.082729415|0.012753218|8.604974082|299.8332395|139.417676|-0.0327795789999999|5.806030949|0.7848887259999999|0.472355054|-1172.219727|2534.075607|-14.92323356|0.215111274|7.598632688999999|14.40103379|145.1419493|-790.9313788|28.17896678|-384.4457279|712.1606951|10.03954725|1.0|1.0|1.0|1.0|3.42|3.07|0.08|-9.18|4.62|2.0|0.0|125.0|0.0|1.0|5.0|-5.14|32.0|419.48|0.0|3.66|0.00305|9.51e-06|0.00399|3.63|0.0|0.0|6.64e-10|2.780000000000001e-07|4.8421|3.8894|-1352.315376|715.27|1211.34|0.2081|543.96|0.68167|-1352.036122|-0.16129|-0.21226|0.03774288|4.8742|6.8827|6.8827
12o_a36|0.0|0|0.0|7.412764017000001|2|0.01340619|-0.0100574069999999|5.351858133|2|0.040770975|0.0|-0.613501857|-0.00233752|-0.059733192|10.96036596|1|1|-0.000472698|0.065221584|-0.213993335|-0.5110239679999999|1|0.799869816|0.141570244|0.848816593|0.817582774|0|0.7592112809999999|-0.082048664|-0.10624773|0.023402195|16.85373064|55.47133795|173.4105814|-0.03541591|12.13767506|0.666462845|0.469699889|-1453.826968|2778.220342|-18.36865355|0.333537155|7.322888607|13.80895167|240.2059039|-1047.013252|38.27030489|-239.7655413|757.7532208|19.1468529|0.0|1.0|0.0|3.0|4.97|0.0|0.17|-6.93|1.65|1.0|0.0|138.06|0.0|1.0|7.0|-3.54|33.0|438.48|0.0|1.47|128.0|0.000227|0.0997|1.85|0.0|0.0|1.1800000000000001e-07|5.18e-05|5.1927|3.8726|-1440.969954|728.07|1240.51|0.4075|560.88|0.67273|-1440.671057|-0.15695|-0.21151|0.04371335|6.6471|7.3979|7.3979
16d_a32|0.0|1|0.0|7.765993078999999|0|0.170838661|-0.017249763|5.733341277|0|0.0421759259999999|2.07416189|-0.7589895790000001|-0.00839148|-0.134892903|10.31100273|3|3|-0.005427254|0.021406827|-0.239509216|-0.68301199|0|0.8575664540000001|0.107238939|0.916850163|0.7689748270000001|1|0.7554930740000001|-0.091212351|-0.11491796|0.032003415|18.67986534|115.2070109|142.7146582|-0.036437402|10.90312918|0.615749698|0.4429631189999999|-871.9843187999999|3152.666302|-12.41372827|0.384250302|6.221435089|11.16880283|224.2805611|-508.962859|34.53986301|-135.1223777|457.7130665|19.43393087|0.0|1.0|1.0|2.0|3.35|3.01|0.18|-6.59|3.82|1.0|0.0|102.33|1.0|1.0|6.0|-5.65|26.0|385.46|0.0|3.12|0.000856|6.659999999999999e-05|0.0257|2.86|0.0|0.0|2.55e-07|9.84e-05|3.6271|3.6271|-1877.360551|621.59|1023.44|0.2915|489.97|0.70217|-1877.185022|-0.15009|-0.20077|0.02818209|3.8853|8.1135|8.1135
14b_a23|0.0|1|0.0|7.423568444|0|0.065240838|-0.006248709|5.351858133|2|0.043538647|0.716540473|-0.318684138|0.007671236|-0.0644978|10.31321824|2|2|0.0075222369999999|0.121308009|-0.17267308|-0.4557487779999999|2|0.793551289|-0.00399443|0.857184548|0.5935522360000001|1|0.8462596590000001|-0.063267638|-0.082441268|0.020454632|13.26014776|40.76245006|99.66542762|-0.03508139|8.596171261|0.774359705|0.450973737|-1068.885909|2280.830615|-14.74314679|0.225640295|7.833620016|14.26820636|146.2760938|-692.9278992000001|29.36910744|-355.71896410000005|599.5697147999999|11.53563485|0.0|1.0|1.0|1.0|3.42|3.44|0.05|-7.67|4.58|2.0|1.0|120.24|0.0|1.0|5.0|-5.58|31.0|429.47|0.0|3.78|0.00114|7.73e-06|0.00332|3.68|0.0|0.0|2.14e-08|9.18e-06|3706.0|3706.0|-1729.161608|673.05|1142.37|0.3603|525.66|0.58097|-1728.9300010000002|-0.15064|-0.2286699999999999|0.02188578|9.7544|8.3536|8.3536
AKLKII_a46|0.0|0|0.0|6.605297921|0|-0.206312209|-0.003417504|4.59511985|3|0.0386379929999999|1.744747103|-0.129865138|0.006821053|0.156485495|10.96959256|1|1|0.006731579|-0.015805561|-0.066245471|-0.270506095|3|0.758995484|-0.0150769919999999|0.8264237520000001|0.687139108|1|0.837641394|-0.071827497|-0.089369278|0.010384859|4.924591245|160.85204040000002|76.99187522|-0.033194303|2.335284369|0.7721395329999999|0.47999819|-550.9360419|792.7439217|-7.464534402999999|0.2278604669999999|5.83938898|11.22955511|108.05343229999998|-261.2587041|20.38625028|-258.10190780000005|314.0966684|7.390123534|1.0|1.0|1.0|1.0|2.81|1.6|0.06|-7.21|3.39|0.0|0.0|85.32|0.0|1.0|2.0|-3.24|22.0|287.32|1.0|2.45|166.0|0.000266|0.0764|2.19|0.0|0.0|6.18e-08|1.7800000000000002e-05||||||||||||||6.7423|6.7423
12q_a36|0.0|0|0.0|7.412764017000001|2|-0.0543475329999999|-0.00761082|5.351858133|2|0.042804233|0.0|-0.410984299|0.0005016269999999|-0.0651906459999999|10.9598352|1|1|0.0010871589999999|0.1161527719999999|-0.177407665|-0.441747876|1|0.828371596|-0.017640538|0.8839272779999999|0.8065052890000001|0|0.82911927|-0.07607684|-0.1060430969999999|0.018562763|12.00048565|82.68142965|110.4712541|-0.038175515|7.758093617|0.768692389|0.486620426|-1233.988474|2380.245597|-15.95501778|0.231307611|7.546533709|14.69971555|149.536123|-797.7508892000001|32.10617123|-347.4093916|629.5017194000001|11.60375275|0.0|1.0|0.0|2.0|4.74|0.0|0.14|-7.18|2.54|1.0|0.0|128.76|0.0|1.0|5.0|-4.44|30.0|415.88|1.0|2.34|0.0151|2.55e-05|0.0106|3.31|0.0|0.0|6.65e-08|2.77e-05|5.2375|3.8653|-1692.544456|683.51|1148.35|0.4239|531.58|0.6863199999999999|-1692.3116350000005|-0.1566|-0.2126199999999999|0.03415678|6.4226|8.2218|8.2218
