molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|RASA|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
22_a4|0.0|0|0|0|0.0|1|1|1.399866564|-0.043165663|-0.006436201|5.4161004020000005|-0.115883451|1|0.004765062|-0.2078428719999999|-0.023072107|1|0.004237768|0.00771584|0.021636871|-0.3877007|1|0.774689758|0.7797803109999999|0.086940934|0.8404413829999999|0.8612031509999999|-0.089955967|0.242642229|-45.61565825|-43.23011833|5.1432274630000006|162.9809584|0.138796849|-0.036468635|-20.77508795|2.47167963|0.0|0.8444670409999999|-1.349339509|-21.92150631|-17.52572365|50.75888571|0.4359219589999999|9.742413394|4074.564287|74.7444381|-311.62631919999995|20.75359108|0.011296354|-331.080892|767.88287|338.71903330000004|1.0|1.0|0.0|1.0|3.3|17.0|-5.24|3.19|3.54|2.09|0.0|87.12|0.0|2.0|22.0|-5.91|289.33|0.0|1.0|1.0|2.81|-3.98|0.0497|0.000104|0.0301|3.03|5.77e-06|-0.03046|4.468999999999999|3.38|4.0537|-934.2706743999998|-934.240411|519.39|860.77|305.85|0.1675|277.43|-934.12356|0.1293|-0.16754|-198.0|0.030263407|47.0|7.3279|7.3279
12c_a5|0.0|1|0|0|0.0|0|1|1.236775191|-0.212798523|-0.002685954|4.59511985|0.020594766|3|0.0054189009999999|-0.096073591|0.0072946769999999|1|0.00586291|-0.1386392109999999|-0.01261147|-0.223631474|2|0.808899433|0.797601178|0.05430631|0.8446264459999999|0.841092921|-0.066083881|0.450827114|-46.62294305|-43.47195613|10.77147171|143.44655559999998|0.158907079|-0.022421317|-28.59715492|7.085796743|13.26856229|0.583585895|-1.25559373|-30.6699685|-14.74941369|57.39441476|0.4609383929999999|13.53008071|5877.765289|273.9296719|-543.3459436|25.27376659|0.024214085|-109.9706106|1415.330929|735.3048881|0.0|1.0|1.0|2.0|3.27|23.0|-9.31|5.03|4.32|1.57|1.0|121.26|0.0|6.0|31.0|-6.79|411.5|0.0|0.0|0.0|3.31|-4.33|0.0336|4.64e-05|0.0191|2.84|4.93e-10|-0.04565|4.6671|2.06|4.0116|-1316.542713|-1316.5202869999998|694.24|1200.02|309.06|0.1513|265.66|-1316.244961|105.0|-0.16563|-0.21128|0.02242648|47.0|7.3279|7.3279
10_a32|0.0|1|1|1|0.0|0|0|0.6094207629999999|0.153272514|-0.016404762|5.733341277|-0.087497559|0|-0.0064007569999999|-0.028431775|-0.047619048|3|-0.00369116|-0.03673326|-0.1260956869999999|-0.690879647|0|0.809370315|0.8607827790000001|0.012125768|0.915639476|0.7622839570000001|-0.1223816869999999|0.266552538|-54.55170955|-75.59866726|15.91131724|57.97512956|0.237716043|-0.038939628|-46.69945835|9.828875607|52.24660367|0.6946347429999999|-1.7133436169999998|-33.69815077|-24.0541214|70.46302679|0.449853016|12.86809583|5842.926058|188.6328503|-653.7924168|34.62844557|0.025106509|-240.4628923|1523.651605|513.9156315|1.0|1.0|1.0|2.0|3.56|19.0|-6.99|5.64|4.21|0.88|1.0|107.14|1.0|7.0|27.0|-6.44|399.49|1.0|0.0|1.0|3.42|-4.41|0.000366|3.89e-05|0.0155|3.23|1.0300000000000001e-07|-0.05434|3.6441|4.12|3.6441|-1916.668776|-1916.631761|654.7|1086.09|340.24|0.2983|340.24|-1916.460049|0.2983|-0.15088|-0.2052199999999999|0.03701539|7.0|8.1427|8.1427
11_a1|0.0|1|0|0|0.0|0|1|1.430935838|0.033732316|-0.018080197|5.351858133|-0.196819043|1|-0.0127744789999999|-0.05257082|-0.044235537|1|-0.009578125|0.126722854|-0.07452948|-0.563650254|1|0.823460272|0.747358374|-0.069193862|0.8086124090000001|0.5955245029999999|-0.126108875|0.2027328789999999|-77.81495049|-74.35738693|20.62225192|274.39137789999995|0.404475497|-0.048723884|-43.84323456|12.15946748|84.40380304|0.751878145|-2.143850877|-45.88191258|-28.7289904|98.43720241|0.47723847|14.2257294|5798.645137|146.29971719999998|-745.3349875|38.20963621|0.02620284|-297.0290662|1681.223993|495.0560271000001|1.0|1.0|1.0|2.0|3.25|23.0|-7.47|4.28|4.23|1.95|1.0|105.71|0.0|4.0|29.0|-6.27|385.37|0.0|0.0|1.0|3.22|-4.66|0.00327|2.17e-05|0.00838|3.35|3.35e-08|-0.06546|3.7383|5.26|3.1924|-1312.462371|-1312.4282380000002|614.86|1036.18|388.38|0.5573|331.66|-1312.241032|0.3201|-0.12916|-0.19462|0.03413353|0.17|6.7696|6.7696
8d_a32|0.0|1|1|1|0.0|0|0|0.609420756|0.143684876|-0.010604502|5.733341277|-0.089662873|0|-0.006974711|-0.044765977|-0.0682721729999999|3|-0.005162219|0.113030335|0.001558357|-0.629535754|0|0.825020753|0.825978584|-0.054095278|0.875986707|0.7107041559999999|-0.109968322|0.261692269|-68.88621406|-69.11005922|10.01177286|321.2496412|0.2892958439999999|-0.03346862|-43.43251025|6.291941176|89.20994250000001|0.708567136|-1.539556512|-43.2918338|-21.03349629|78.89798692|0.47012654|15.29958432|5523.492436|183.1522214|-608.0551435|29.684549600000004|0.019788058|-262.14980440000005|1365.489282|557.1050635|1.0|1.0|1.0|2.0|3.5|19.0|-7.26|6.42|4.32|1.1|1.0|110.38|1.0|7.0|27.0|-6.47|397.52|1.0|0.0|1.0|3.57|-4.36|0.000334|4.36e-05|0.0173|3.17|5.51e-08|-0.0535|3.5588|4.26|3.5588|-1880.773727|-1880.733071|671.71|111.16|348.39|0.3018|348.39|-1880.540067|0.3018|-0.14765|-0.20115|0.04065536|8.0|8.0809|8.0809
14v_a23|0.0|0|1|1|-4.844615416|2|0|1.1979575059999998|0.135774541|-0.014768546|5.351858133|-0.299484129|2|-0.002390707|0.017156562|-0.015149431|2|-0.0004039459999999|0.170475376|-0.0962526|-0.650246427|2|0.598213287|0.787538583|0.132882353|0.845160857|0.916605275|-0.09479984|0.31419322|-44.4776373|-62.61276875|13.08518422|78.86310829|0.083394725|-0.042752869|-41.35406587|8.64241561|0.912757854|0.788328659|-2.180396311|-29.37629463|-28.23713101|57.56282152|0.457213347|14.26610767|8458.789829000001|139.8032821|-951.143515|35.81898321|0.020908947|-380.8667976|1826.768144|676.4530574|0.0|0.0|1.0|1.0|3.62|26.0|-7.95|3.97|6.18|3.04|2.0|126.97|0.0|7.0|35.0|-5.94|495.48|1.0|0.0|0.0|4.28|-6.0|6.38e-05|1e-06|0.0004969999999999|4.76|1.12e-08|-0.07843|3694.0|5.17|3694.0|-2042.182282|-2042.161744|679.5|1206.02|335.64|348.0|335.64|-2041.93452|348.0|-0.1524299999999999|-0.2308599999999999|0.02053833|4.0|8.4001|8.4001
28_a47|0.0|0|1|1|0.0|1|0|1.4201653580000002|-0.053792245|-0.009689834|4.727387819|-0.23494583|2|-0.013020816|-0.00496711|0.0467853809999999|1|-0.010153352|0.06536499|-0.046265509|-0.435485503|2|0.635684951|0.832144916|-0.175007067|0.896193695|0.605349345|-0.106779291|0.310094808|-67.33744077|-63.47150284|15.50250691|365.2310214|0.394650655|-0.038135461|-37.72858603|9.214964819|83.61576722|0.65225927|-1.601689367|-40.02656804|-22.66839387|82.83994768|0.472690874|14.91533234|5633.990508|206.7032519|-565.9287905|34.75365534|0.031626405|-181.0112167|1459.653524|428.5826478|0.0|1.0|1.0|2.0|3.08|21.0|-6.92|2.49|3.84|1.67|1.0|99.2|0.0|5.0|28.0|-7.22|380.35|0.0|0.0|1.0|2.4|-3.66|0.0816|0.000217|0.0824|1.97|1.2099999999999998e-07|-0.05471|3675.0|3.51|3675.0|-1335.759232|-1335.722248|599.88|995.5|337.37|0.2996|337.37|-1335.571655|0.2996|-0.15049|-0.2052|0.03698465|25.0|7.6|7.6
5_a18 (BIBF0775)|0.0|0|0|0|0.0|0|2|1.251175715|0.0160123|-0.005220163|4.844187086|-0.015946718|1|0.002526619|0.0002403959999999|-0.022817602|0|0.0036739159999999|-0.054916741|-0.144352593|-0.453086741|0|0.7140745620000001|0.7395978390000001|-0.001626287|0.774859029|0.8432358679999999|-0.078246932|0.420002762|-52.09190866|-59.08151918|6.418873637000001|10.36586529|0.156764132|-0.029755876|-44.61038661|4.846666751|50.25564119|0.8159410579999999|-2.112667176|-39.33277643|-22.46761997|58.5107823|0.483962172|18.98829281|7221.114573000001|138.97646310000002|-1204.480438|27.535837|0.010831199|-477.1120625|1955.044427|1140.896548|0.0|1.0|1.0|2.0|4.42|18.0|-9.21|4.09|3.69|3.52|3.0|155.95|0.0|8.0|37.0|-5.96|494.63|0.0|1.0|0.0|3.2|-5.72|0.000425|1.91e-06|0.000946|4.73|6.18e-10|-0.04938|3.2027|8.45|3.2027|-1572.313227|-1572.290174|817.02|1446.02|378.13|0.4825|378.13|-1571.843719|0.4825|-0.13154|-0.18092|0.02305362|34.0|7.4685|7.4685
11d_a31|0.0|1|0|0|0.0|0|1|0.610136352|0.064475882|-0.017317263|5.733341277|-0.116385886|0|-0.009496378|-0.092360393|-0.078235092|2|-0.006496772|0.026806221|-0.096447723|-0.574318121|0|0.819298311|0.822077662|-0.057505249|0.868115289|0.585212816|-0.134048091|0.197166451|-82.05480081|-82.06512842|21.07078977|296.2476128|0.414787184|-0.040797245|-50.24081482|12.89967697|91.25756269|0.6817705409999999|-1.87667327|-50.23449218|-24.97634343|103.1255906|0.4816588089999999|15.21323794|5420.356537|194.8221811|-703.3714074|36.63453013|0.027374162|-222.5622569|1685.188386|505.4234462|1.0|1.0|1.0|2.0|3.6|16.0|-6.23|5.43|4.03|1.26|1.0|102.13|0.0|7.0|27.0|-6.4|385.44|0.0|0.0|1.0|3.34|-4.2|0.00128|6.26e-05|0.0241|3.17|5.83e-07|-0.03404|3.8009|4.87|3.8009|-1598.7152199999998|-1598.671315|650.64|1077.69|326.2|0.2642|326.2|-1598.4848980000002|0.2642|-0.15822|-0.19226|0.04390452|0.03|7.5229|7.5229
8b_a12|0.0|0|0|0|0.0|0|1|1.283836078|0.190292199|-0.012630509|0.0|-0.1676879319999999|2|-0.010117477|-0.036536396|-0.1090955359999999|0|-0.007926474|0.047425677|0.003898807|-0.659952678|1|0.89481633|0.7407532059999999|-0.010950243|0.792160599|0.740926309|-0.116554734|0.4384536329999999|-60.97837482|-67.44287685|6.513753986|319.0086845|0.259073691|-0.045608374|-39.02494133|3.769098814|76.80174559999999|0.888936354|-2.097985204|-35.28434152|-26.39069094|67.49212879999999|0.480938153|12.27845608|5217.318476|64.26553043|-702.4489440000001|29.68794201|0.009361504|-450.1059006|1365.645333|510.3677388|0.0|1.0|1.0|2.0|4.11|18.0|-7.45|3.11|1.9|2.23|1.0|110.58|0.0|4.0|27.0|-6.51|355.39|0.0|0.0|0.0|2.51|-4.01|28.0|9.74e-05|0.0346|2.76|3.56e-08|-0.0589|4.2263|5.11|3.7446|-1159.405202|-1159.365835|611.93|1020.47|331.1|0.3179|293.37|-1159.188228|127.0|-0.15294|-0.21184|0.03936706|263.0|6.58|6.58
14l_a23|0.0|0|1|1|0.0|2|0|1.1979636809999998|0.060717916|-0.005344736|5.351858133|-0.026530366|2|0.01269616|-0.060692376|-0.061788679|2|0.01180744|0.07815878|-0.074441567|-0.448622017|2|0.725800261|0.778602826|0.156652778|0.836852328|0.921267667|-0.078204688|0.215920645|-35.3275485|-51.59307331|12.31633167|40.34135162|0.078732333|-0.0328459689999999|-34.03690099|8.125310915|81.90812552|0.7896261940000001|-1.642298442|-23.306234600000003|-21.66909079|47.64388017|0.492922575|15.78926563|6444.7098240000005|138.7874759|-714.7749208|27.44221375|0.01508774|-382.1434717|1372.110688|666.0036144999999|0.0|1.0|1.0|1.0|3.51|26.0|-7.78|3.88|4.33|3.24|2.0|125.25|0.0|5.0|31.0|-6.1|425.51|0.0|0.0|0.0|3.78|-5.25|0.000608|5.61e-06|0.0023899999999999|3.94|1.65e-08|-0.07191|3.6274|3.79|3.6274|-1669.2363289999998|-1669.224647|694.65|1185.79|341.8|0.4239|341.8|-1668.983787|0.4239|-0.14639|-0.2183|0.01168219|7.0|8.1798|8.1798
9c_a31|0.0|1|0|0|0.0|0|1|0.610135804|0.031715924|-0.013082561|5.733341277|-0.055520387|0|-0.003618466|-0.1047269419999999|-0.062737615|2|-0.000813398|-0.062065125|-0.138799714|-0.546598398|0|0.8083148840000001|0.842823186|-0.000533581|0.8856644770000001|0.6746901059999999|-0.128097622|0.287455956|-65.84728287|-81.63444414|19.30758668|153.5739377|0.325309894|-0.035867334|-52.02424796|12.30439782|552.8237349999999|0.670716706|-1.7933667130000002|-41.96335759|-22.85764436|85.15486955|0.4558841429999999|15.04941978|5658.985169|209.8466636|-728.3394714|34.07943198|0.024456662|-217.5897278|1703.9715989999995|583.9691392000001|1.0|1.0|1.0|2.0|3.66|16.0|-7.24|5.64|3.7|1.08|2.0|108.16|0.0|8.0|28.0|-6.53|398.48|0.0|0.0|1.0|3.32|-4.16|0.00233|6.94e-05|0.0277|3.1|5.79e-08|-0.03249|3849.0|4.94|3849.0|-1618.157698|-1618.115927|691.3|1147.93|322.12|0.2554|322.12|-1617.892493|0.2554|-0.15975|-0.19224|0.04177078|0.42|6.3768|6.3768
12f_a40|0.0|0|0|0|0.0|1|0|0.604990261|-0.03356339|-0.006206277|5.4161004020000005|-0.015621373|0|0.008525796|0.108909202|-0.172869148|2|0.006841832|0.115814835|-0.033224348|-0.397377446|0|0.679527138|0.777316288|-0.160218113|0.841769186|0.909993912|-0.082198664|3.43e-05|-37.02024147|-45.41519509|11.90644165|62.72992556|0.090006088|-0.032879466|-25.09213464|6.57837176|61.55859085|0.7314440520000001|-1.150781297|-20.45387851|-18.16607804|48.92668311|0.490421149|16.49362536|5326.217734000001|148.3785764|-351.2898849|24.83590915|0.0201199619999999|-255.7481174|869.2568204|384.1423925|1.0|0.0|0.0|0.0|3.24|20.0|-7.32|5.35|5.44|3.99|2.0|98.25|0.0|3.0|24.0|-4.76|376.26|0.0|0.0|1.0|4.76|-5.99|0.0001|1.02e-06|0.0003819999999999|5.4|4.81e-08|-0.07761|4.3313|4.77|2.8374|-2212.359379|-2212.348599|572.63|951.55|436.97|0.4348|286.25|-2212.222254|0.3858|-0.11765|-0.19526|0.01077929|0.38|6.4202|6.4202
15_a15|0.0|0|0|0|0.0|0|1|1.435688991|-0.132759299|-0.006378587|0.0|-0.031457366|3|0.001806571|0.000676845|0.0020555079999999|0|0.003766915|-0.098862691|-0.173728081|-0.3597407929999999|2|0.843715005|0.724319314|0.007958332|0.7725348679999999|0.8972060479999999|-0.091075463|0.7028760070000001|-41.11675625|-60.51136736|13.71976186|142.8140301|0.102793952|-0.031405332|-40.20430373|9.115534766|4.306196778|0.702544178|-1.821509261|-27.31834743|-20.86598874|54.83651811|0.435723718|11.8273735|7039.747576999999|197.6323578|-804.0860746000001|29.700607300000005|0.0202953539999999|-269.1443943|1722.635223|830.7967967000001|1.0|0.0|0.0|1.0|4.04|24.0|-8.9|4.33|6.69|2.52|2.0|138.24|0.0|6.0|34.0|-5.26|448.52|1.0|0.0|0.0|4.64|-6.1|0.000214|7.970000000000001e-07|0.000357|5.32|1.27e-09|-0.03786|3.6968|5.04|2582.0|-1450.7538470000002|-1450.725355|700.82|1265.55|480.19|0.4459|335.38|-1450.398033|0.0066|-0.10964|-0.1475|0.02849263|109.0|6.9626|6.9626
14r_a23|0.0|0|1|1|0.0|2|0|1.197963203|-0.009140243|-0.006323791|5.351858133|-0.06921746|2|0.007671236|-0.079935667|-0.064006338|2|0.0075222369999999|0.033038452|-0.073945564|-0.454010253|2|0.616699629|0.7837821840000001|0.03753491|0.846632079|0.8662226190000001|-0.085881409|0.375360556|-40.32463891|-55.30494931|12.35476415|47.26552456|0.133777381|-0.03654528|-35.61466281|7.956082857|55.62948521|0.7882228370000001|-1.717628177|-25.96781003|-23.53402098|52.67940305|0.4661909429999999|14.15357616|6744.848704999999|136.37788909999998|-712.2932561000001|29.85706563|0.017092103|-371.2130393|1403.282085|599.5697147999999|0.0|1.0|0.0|1.0|3.47|26.0|-7.67|3.78|4.58|3.4|2.0|120.24|0.0|5.0|31.0|-6.31|429.47|0.0|0.0|0.0|3.7|-5.11|0.00114|7.73e-06|0.00332|3.68|2.14e-08|-0.06842|5.9406|3.72|3.1797|-1729.1556449999998|-1729.1326809999998|678.08|1145.51|389.92|0.2346|208.71|-1728.924789|0.0008|-0.15536|-0.22378|0.02296354|5.0|8.2684|8.2684
15_a4|0.0|0|0|0|0.0|1|1|1.399867493|-0.159419214|-0.001986535|5.4161004020000005|-0.061469545|1|0.009823083|-0.1979518539999999|0.022446689|1|0.00918585|0.097046535|-0.017259078|-0.226703465|1|0.5118792910000001|0.772721853|0.095534883|0.8347553529999999|0.867716376|-0.073738544|0.2517542889999999|-29.80513879|-35.36161572|5.223809291|12.70877085|0.132283624|-0.030724393|-16.95780525|2.505098786|86.01453643|0.8438913020000001|-1.106078158|-14.29317436|-14.73400655|35.02894809|0.437696617|9.709704127|4134.603400999999|74.8625551|-254.3670787|17.45960235|0.009743323|-329.8289177|628.5456843999999|324.5687005|1.0|1.0|0.0|0.0|3.28|17.0|-6.09|4.09|4.4|3.05|0.0|85.06|0.0|2.0|22.0|-5.6|291.32|0.0|1.0|1.0|3.61|-4.28|0.0443|5.19e-05|0.0151|3.49|8.070000000000001e-07|-0.03539|4.5048|3.8|4.2148|-958.270023|-958.251931|512.65|848.47|294.16|0.1996|275.22|-958.147682|0.0969999999999999|-0.17373|-0.2091199999999999|0.018092091|175.0|6757.0|6757.0
5b_a49|0.0|0|0|0|0.0|1|2|1.343848745|0.1108916119999999|-0.007610481|5.777652323|0.006327273|2|0.005836378|-0.0695402359999999|0.059834711|1|0.006696215|-0.12209302|-0.13632743|-0.515894968|2|0.6981815290000001|0.7843021|-0.006962617|0.839963111|0.7969332440000001|-0.076494119|0.615864196|-41.03213895|-44.96093486|11.94347454|170.0796998|0.203066756|-0.026008|-26.42668087|7.020013952999999|69.07083505|0.608694741|-1.300400018|-24.11745318|-15.28671785|52.97561349|0.475192312|11.94760614|6225.302624|229.9974239|-449.2535747|25.1139312|0.025332565|-127.7749783|1255.69656|612.7019937000001|0.0|1.0|1.0|1.0|3.34|21.0|-7.24|2.98|2.87|2.07|1.0|122.26|0.0|3.0|30.0|-7.24|396.44|0.0|1.0|1.0|2.58|-3.93|0.1969999999999999|0.000118|0.0468|2.08|5.79e-08|-0.04453|5.1653|3.92|3.9209|-1292.139616|-1292.100239|633.92|1093.32|316.21|0.4653|240.03|-1291.873941|0.0747|-0.1624799999999999|-0.20701|0.03937634|28.0|7.5528|7.5528
1f_a5|0.0|1|0|0|-4.398485453999999|0|0|1.218960329|-0.139907335|-0.00645569|4.59511985|-0.31059482|2|-0.0012491689999999|-0.174016111|-0.000625|1|-0.000700145|-0.389011185|0.001493879|-0.401165734|2|0.525406088|0.771487328|-0.060528915|0.834250802|0.888073448|-0.083857856|0.45528118|-50.98614411|-46.77243802|4.687041957|201.7057715|0.111926552|-0.035639589|-26.08772825|2.614237829|0.21377016|0.757522389|-1.425583552|-28.43795894|-19.87828616|55.67318607|0.4670794829999999|13.35549635|5474.331675|135.2439659|-443.4913802|26.24118632|0.01983997|-287.2706403|1049.647453|403.396385|1.0|1.0|1.0|1.0|2.9|23.0|-8.88|5.48|6.37|2.73|2.0|95.49|0.0|4.0|27.0|-5.73|366.34|1.0|0.0|1.0|4.23|-4.97|0.00589|1.0800000000000002e-05|0.00396|3.95|1.3300000000000002e-09|-0.05346|4.7485|3.58|4.5758|-1288.353339|-1288.3196369999998|577.11|958.06|270.96|0.6959|261.1|-1288.209882|0.0228|-0.18224|-0.2357|0.03370206|0.24|6.6198|6.6198
9r_a24|0.0|1|0|0|0.0|0|0|1.353642494|-0.134192489|-0.004640179|4.59511985|0.013567512|3|0.007861194|0.064425793|-0.043274854|1|0.008722018|-0.29065818|-0.179075526|-0.3018627239999999|3|0.786430472|0.7958149290000001|-0.120617935|0.841805128|0.8417158379999999|-0.082022572|0.32720212|-41.49802275|-54.99020696|10.4302588|71.31566881|0.158284162|-0.025821921|-36.86695997|6.992734796000001|89.36724924|0.6152148279999999|-1.394383716|-27.82142546|-17.31173182|51.92828155|0.473403843|18.36822555|5501.824326|257.9706516|-626.7383196000001|28.13932796|0.02357068|-154.486433|1519.52371|670.2247423|1.0|1.0|1.0|1.0|3.53|23.0|-8.66|4.23|3.93|1.02|2.0|116.9|0.0|8.0|30.0|-6.83|400.48|0.0|0.0|0.0|2.98|-4.06|0.0383|8.77e-05|0.0351|2.69|2.21e-09|-0.04313|4.4722|1.82|4.2877|-1294.486221|-1294.451958|713.25|1199.71|289.16|0.3398|277.23|-1294.201456|0.0029|-0.1676099999999999|-0.21074|0.03426339|11.0|7.9586|7.9586
11b_a50|0.0|0|1|1|0.0|2|1|1.3979498330000002|-0.154649459|-0.002908227|5.82008293|-0.014702942|1|0.011959339|-0.218953127|-0.133073229|2|0.012037198|-0.013155246|-0.162848233|-0.266743077|1|0.701976536|0.800774662|-0.146696566|0.862408925|0.931316325|-0.069841183|0.229754094|-23.23499995|-36.43643854|10.1501574|7.949039772000001|0.068683675|-0.02494328|-19.0090431|5.295379767|86.04123302|0.642051995|-1.047617742|-12.12179711|-13.01301376|33.38515735|0.42907551|9.979494111|4884.730303|186.7429782|-285.1356465|20.26785036|0.021631609|-148.2182458|851.2497152000001|439.9973344|0.0|1.0|1.0|0.0|3.44|20.0|-5.87|3.09|3.73|2.25|0.0|99.65|0.0|2.0|25.0|-6.24|327.38|0.0|1.0|1.0|2.96|-4.16|0.0862|6.97e-05|0.0228|2.9|1.35e-06|-0.02817|4.6471|3.05|3.9863|-1045.98235|-1045.961211|560.06|955.4|311.03|195.0|266.8|-1045.798634|0.0711|-0.16684|-0.19501|0.02113855|1.7|5.7696|5.7696
14b_a25|0.0|0|0|0|0.0|1|0|1.420015222|-0.091382738|-0.004720915|4.727387819|-0.0166120069999999|2|0.004725325|-0.012989126|0.0009956189999999|1|0.004892038|0.0028569959999999|-0.043923908|-0.3691494039999999|2|0.6524261960000001|0.7723870909999999|-0.085205646|0.8333962429999999|0.859628015|-0.084160084|0.329662946|-52.75064158|-58.29440389|11.08504021|112.49583529999998|0.140371985|-0.032728922|-40.37825712|7.678174472999999|57.85340824|0.772789587|-1.767361771|-36.53830946|-22.67004596|63.83568179|0.490638154|17.06102567|6760.594953|157.3797801|-847.9433995999999|29.33534086|0.015746299|-377.9013888|1584.108407|760.3735147000001|1.0|1.0|1.0|1.0|3.51|27.0|-9.65|4.48|4.79|1.8|2.0|130.97|0.0|6.0|34.0|-6.26|444.49|0.0|0.0|1.0|3.63|-5.23|0.0011099999999999|5.86e-06|0.00261|3.88|2.23e-10|-0.0584|5.4239|5.61|4069.0|-1444.544749|-1444.505985|716.14|1257.11|304.7|0.3614|228.59|-1444.266358|0.0006|-0.16309|-0.22149|0.03876374|22.0|7.6576|7.6576
19_a31|0.0|1|0|0|0.0|0|0|0.61013725|0.062492295|-0.01001901|5.351858133|-0.086654127|0|-0.005956522|-0.040386271|-0.081641954|2|-0.0038998559999999|-0.095997335|-0.081398052|-0.615878515|0|0.656654981|0.8558149140000001|0.019858798|0.902130276|0.7312647940000001|-0.113333675|0.279690511|-53.25742146|-66.3863707|8.596058678|75.32978176|0.268735206|-0.036060715|-38.88650245|5.035230173|67.42915967|0.776211804|-1.586671445|-31.1960848|-21.12293613|61.85348014|0.446100738|12.77501178|4917.329034|131.0862475|-544.4110343|27.21285095|0.0152483439999999|-323.5878356|1197.365442|460.3754405|1.0|1.0|1.0|2.0|3.44|16.0|-7.39|5.8|4.33|1.68|1.0|97.25|0.0|7.0|25.0|-6.41|358.43|0.0|0.0|1.0|3.47|-3.92|0.0076799999999999|0.0001199999999999|0.0431|2.93|4.08e-08|-0.04308|5.0344|5.24|3.9477|-1489.532192|-1489.4951640000002|625.93|1028.58|314.06|0.3205|246.28|-1489.323855|0.2271|-0.16367|-0.20675|0.03702801|1.8|5.7447|5.7447
26_a47|0.0|0|1|1|0.0|1|0|1.304328272|0.11828578|-0.012090143|4.727387819|-0.200192886|2|-0.0098410169999999|-0.046771537|0.0081426509999999|1|-0.008325552|-0.24731748|-0.035472095|-0.5899218279999999|2|0.6850994429999999|0.845040087|-0.11288313|0.910081385|0.7104381999999999|-0.101679756|0.549740398|-57.01987795|-59.08415114|12.13564316|9.608109253|0.2895618|-0.038735145|-34.3326642|7.0517889060000005|60.07342336|0.717639177|-1.626876095|-33.13315474|-22.50824805|69.15552111|0.474969855|13.22794532|5994.406615|164.0744453|-549.3226272|31.36429668|0.024619511|-252.9318822|1317.300461|457.1122177|0.0|0.0|1.0|2.0|3.13|21.0|-7.22|2.84|4.68|2.59|1.0|104.8|0.0|4.0|28.0|-6.51|396.81|0.0|0.0|1.0|3.18|-4.56|0.00545|2.77e-05|11.0|3.12|5.97e-08|-0.06279|4.7963|4.37|3992.0|-1696.096597|-1696.075481|592.84|1006.59|310.58|0.3197|258.5|-1695.9387359999998|77.0|-0.16642|-0.22921|0.02111593|13.0|7.9|7.9
