molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|RASA|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
14c_a22|0.0|0|0|0|0.0|1|0|1.42291727|-0.134137693|-0.005236206|4.727387819|-0.018518519|2|0.003784292|-0.023927419|0.006275578|1|0.004362505|-0.047249795|-0.0917078119999999|-0.364626967|2|0.667111824|0.773044788|-0.096749121|0.8353837409999999|0.866576459|-0.080077573|0.6160012029999999|-48.57709197|-57.64986681|17.68831053|36.22825261|0.133423541|-0.030217952|-41.50359456|12.73426132|78.22334636|0.66168729|-1.60155147|-34.9718749|-21.75466672|66.26540251|0.462147828|16.03849168|6882.45|243.5598613|-830.0718911|32.87756477|0.024813755|-232.8055235|1742.5109329999998|731.8178649|0.0|1.0|1.0|1.0|3.49|27.0|-9.28|3.9|4.18|1.08|1.0|128.77|0.0|6.0|34.0|-6.96|445.48|0.0|0.0|0.0|2.98|-4.62|0.00618|2.4e-05|0.0107|2.9|5.269999999999997e-10|-0.07399|5.7361|4.79|3.6741|-1460.602657|-1460.571156|715.52|1241.55|337.45|0.5079|216.15|-1460.324494|0.0694|-0.15408|-0.22807|0.03150011|153.0|6.8153|6.8153
17a_a10|0.0|0|0|0|0.0|1|2|1.3438501040000002|-0.218519541|-0.004333189|5.4161004020000005|0.021150127|3|0.009206558|-0.093735748|0.031632653|1|0.01029375|-0.132166258|-0.225935253|-0.275154041|2|0.7019075779999999|0.76281504|0.029106767|0.8044827790000001|0.8538249840000001|-0.082689376|0.463842217|-39.18491085|-58.46202420000001|14.20303963|51.96456548|0.146175016|-0.023625536|-41.33310046|10.04165819|87.61514901|0.564726042|-1.488408763|-27.70403316|-16.70343549|53.38795048|0.4918223679999999|16.96492079|7078.918870999999|307.7420338|-743.9958084|29.57794442|0.0254938|-91.52361858|1863.410498|911.2106544|0.0|1.0|1.0|0.0|3.8|21.0|-7.32|3.31|2.5|1.29|1.0|142.16|0.0|6.0|35.0|-7.43|468.55|0.0|1.0|0.0|2.64|-4.32|0.0986|4.74e-05|0.0222|2.43|4.74e-08|-0.04641|5.5285|3.95|3.9887|-1524.557372|-1524.52012|767.6|1326.24|310.84|0.2142|224.26|-1524.187115|0.0867|-0.16562|-0.21203|0.03725238|49.0|7.3098|7.3098
18_a15|0.0|0|0|0|0.0|0|0|1.435689019|-0.020185809|-0.006149666|0.0|-0.090130715|2|-0.001044324|-0.066226471|0.002685285|0|0.000539978|-0.190640601|-0.072506962|-0.431836192|2|0.660075777|0.7162974740000001|-0.0374132629999999|0.765450925|0.8362289070000001|-0.090730185|0.819442071|-41.31992544|-55.48918283|4.370403779|40.37881101|0.163771093|-0.035181092|-33.93632895|2.672871589|1.833724661|0.867430881|-1.723873519|-25.27062952|-21.51621375|45.69032922|0.415796832|10.2545953|5705.360332|81.07723009|-644.79025|24.80452821|0.008781964|-449.4301265|1215.421882|590.2470602999999|1.0|1.0|1.0|1.0|3.37|24.0|-9.98|5.68|6.86|3.6|2.0|113.42|0.0|5.0|29.0|-4.8|385.43|1.0|0.0|1.0|5.06|-5.93|0.000265|1.18e-06|0.0004559999999999|5.42|1.0399999999999999e-10|-0.03581|4543.0|5.65|3.8232|-1265.810138|-1265.770242|650.53|1110.18|324.29|0.2686|272.91|-1265.556558|0.0066|-0.1579|-0.19371|0.03989594|129.0|6.8894|6.8894
5g_a40|0.0|0|0|0|0.0|1|0|0.604913142|0.0094595959999999|-0.016033575|6.167516491000001|-0.190406197|0|-0.012794054|0.122088541|-0.091116241|2|-0.012008571|-0.104356485|0.07917206|-0.4748772539999999|0|0.795454476|0.818555255|0.006643696|0.882781953|0.67772744|-0.14338431|0.245639795|-72.93994279|-68.05025116|11.83520323|216.425542|0.32227256|-0.049288357|-32.29667648|5.616992201|0.0|0.745349319|-1.577227413|-34.61732609|-23.39227384|84.77514603|0.488538966|12.10939827|4358.890754999999|120.8573152|-355.2634413|31.38430965|0.025660198|-232.8857705|1004.297909|266.8102663|0.0|1.0|0.0|2.0|3.13|14.0|-2.89|2.69|2.5|0.74|0.0|78.2|0.0|3.0|21.0|-6.6|301.32|0.0|0.0|1.0|2.01|-3.37|0.0174|0.000426|128.0|2.17|0.0013|-0.0540299999999999|3.48|4.02|3.48|-1328.055803|-1328.015099|489.04|800.98|356.27|261.0|356.27|-1327.9345529999998|261.0|-0.14505|-0.19908|0.04070345|123.0|6.9101|6.9101
12a_a30|0.0|0|0|0|0.0|0|2|0.604984824|0.033691224|-0.006711725|5.351858133|-0.02919335|2|0.005050384|0.009586623|-0.094932667|1|0.005458948|-0.171649606|-0.053309522|-0.454270252|1|0.8421237309999999|0.7885597609999999|-0.031179517|0.842671963|0.836214716|-0.097138462|0.337975309|-47.73588073|-60.22802588|10.10177981|85.47365107|0.163785284|-0.037665934|-37.34272719|6.263330101|0.0|0.805190202|-1.845630786|-29.59731695|-23.35372432|57.83766054|0.469799116|13.88603128|5936.682602000001|120.786445|-709.5118166|29.00398472|0.014884556|-378.4495438|1421.195251|620.9195447000001|1.0|1.0|0.0|1.0|4.65|17.0|-6.64|3.84|2.62|2.82|2.0|127.28|0.0|5.0|29.0|-5.98|398.48|0.0|0.0|0.0|2.63|-4.85|0.00208|1.4e-05|0.0056|3.87|2.3100000000000002e-07|-0.05184|5045.0|3.82|3.4885|-1575.7783980000002|-1575.745502|668.81|1122.01|355.41|0.1866|245.76|-1575.538241|0.1511|-0.1481|-0.19994|0.03289568|11.0|7.9469|7.9469
14t_a23|0.0|0|1|1|0.0|2|0|1.197962538|0.04919958|-0.005383494|5.351858133|-0.024472753|2|0.01269616|-0.041339801|-0.093434862|2|0.01180744|0.134446672|-0.074441567|-0.4515027279999999|2|0.725800261|0.7629258809999999|0.113493155|0.820002545|0.920956836|-0.079253435|0.361071229|-36.09926385|-51.65035498|11.36130649|36.6149406|0.079043164|-0.033286443|-33.66111722|7.404291213|42.20767549|0.799945841|-1.6643221380000002|-23.52629623|-21.69314909|47.46057034|0.465981891|14.13931199|6523.656379|130.3775455|-706.8834616|27.11827225|0.014352462|-390.9561553|1355.9136119999998|666.0036144999999|0.0|1.0|1.0|1.0|3.52|26.0|-7.78|3.88|4.33|3.24|2.0|125.25|0.0|5.0|31.0|-6.1|425.51|0.0|0.0|0.0|3.78|-5.25|0.000608|5.61e-06|0.0023899999999999|3.94|1.65e-08|-0.06666|3.9855|3.79|3.2060000000000004|-1669.240512|-1669.21916|692.08|1184.43|386.72|0.2061|311.09|-1668.980578|0.0003|-0.15625|-0.22291|0.02135191|4.0|8.3979|8.3979
12k_a36|0.0|1|0|0|0.0|0|2|1.297043952|-0.076124222|-0.0071232019999999|5.351858133|-0.063399056|2|0.002782748|0.003690005|-0.058284869|1|0.003724542|0.163804836|-0.095253274|-0.4373676689999999|1|0.90500247|0.811903388|-0.09344781|0.8647233590000001|0.8427704640000001|-0.101946803|0.367754573|-49.87227128|-67.14870046|11.90012613|46.79001927|0.157229536|-0.037758075|-44.22843899|7.838185977999999|0.0|0.7806817009999999|-2.038936068|-32.84907515|-24.86988906|61.7723974|0.478908312|13.89698356|6027.033337|144.457092|-884.5687799000001|31.85663123|0.016847116|-369.7499256|1720.258086|698.847203|1.0|1.0|0.0|2.0|4.89|17.0|-7.01|3.62|2.42|2.38|1.0|133.84|0.0|6.0|31.0|-6.34|407.47|0.0|1.0|0.0|2.37|-4.55|0.0106|2.82e-05|0.0115|3.45|9.66e-08|-0.0497|5053.0|3.83|3.6631|-1310.3453949999998|-1310.312649|697.92|1186.08|338.46|0.3116|245.37|-1310.072976|0.0908|-0.15053|-0.20023|0.03274587|14.0|7.8539|7.8539
12g_a36|0.0|1|0|0|0.0|0|2|1.2678464|-0.063344124|-0.006495469|5.351858133|-0.039008054|2|0.0042553209999999|0.078155467|-0.0521750109999999|1|0.005035022|0.130052038|-0.099596099|-0.44093902|1|0.901715152|0.8026482070000001|-0.19532883|0.847239339|0.854238488|-0.097067302|0.374686587|-47.63457647|-66.72829531|12.19441007|24.29006276|0.1457615119999999|-0.034549379|-45.87193951|8.382969151000001|5.097410387|0.779745318|-2.038413337|-32.74608471|-23.75074918|59.82898654|0.473274545|13.83075477|6223.658545|151.41267150000002|-963.3107298|30.45962398|0.015152386|-384.6182564|1797.1178149999998|799.5563855|1.0|1.0|1.0|2.0|5.06|17.0|-7.38|3.85|3.01|2.66|2.0|138.33|0.0|6.0|32.0|-6.19|423.51|0.0|1.0|1.0|2.66|-4.86|0.0047799999999999|1.39e-05|0.00589|3.8|4.2e-08|-0.0505199999999999|5.2092|4.21|3714.0|-1350.887005|-1350.861445|724.32|1241.66|333.83|0.4393|238.01|-1350.571683|45.0|-0.15236|-0.20288|0.0255597|14.0|7.8539|7.8539
12bb_a36|0.0|1|0|0|0.0|0|2|1.29704416|-0.07834963|-0.008239316|5.351858133|-0.117921811|2|-0.006877664|-0.018516159|-0.027636036|1|-0.004358975|0.2463876689999999|-0.098027247|-0.421445726|1|0.653741315|0.836170906|0.0534307559999999|0.892249657|0.6888482109999999|-0.114330726|0.314702945|-58.19935506|-73.39466247|14.16769093|88.91215764|0.311151789|-0.038872447|-47.11573753|9.094955748|0.0|0.719294078|-1.943622342|-37.36110291|-24.95418524|72.36704599|0.4808928389999999|15.13083401|6285.088971|180.1992964|-800.967538|34.69260487|0.022984922|-281.5518699|1734.6302440000002|593.6088758|1.0|1.0|0.0|2.0|4.72|17.0|-7.12|3.55|3.0|2.78|1.0|123.67|0.0|5.0|31.0|-6.8|417.41|0.0|1.0|0.0|2.44|-4.32|0.0424|4.81e-05|0.0201|2.88|7.599999999999999e-08|-0.0566799999999999|5.2382|3.66|3.8001|-1431.4091|-1431.374881|667.88|1120.72|326.27|0.4172|236.69|-1431.178978|0.0736|-0.15507|-0.21175|0.03421884|0.01|8.0|8.0
12bf_a36|0.0|1|0|0|0.0|0|2|1.297043948|-0.024689509|-0.00832865|5.351858133|-0.119979424|2|-0.006877664|-0.096665166|-0.0206090089999999|1|-0.004358975|0.359635716|-0.098027247|-0.433281391|1|0.653741315|0.836170906|-0.0480253509999999|0.892249657|0.6791406640000001|-0.110255801|0.356652646|-58.26326838|-71.01192632|14.01562806|87.14111344|0.320859336|-0.037486972|-45.73631152|9.026978489|0.0|0.7054709690000001|-1.874348624|-37.52534442|-24.14405495|72.27889645|0.474826911|14.37031118|6271.550446|189.6959033|-777.5172959|34.22402339|0.02371294|-264.6734075|1711.2011699999998|593.6088758|1.0|1.0|0.0|2.0|4.72|17.0|-7.12|3.55|3.0|2.78|1.0|123.67|0.0|5.0|31.0|-6.8|417.41|0.0|1.0|0.0|2.44|-4.32|0.0424|4.81e-05|0.0201|2.88|7.599999999999999e-08|-0.0571299999999999|5.2319|3.66|3874.0|-1431.413697|-1431.380702|670.85|1120.94|320.04|0.4518|236.98|-1431.187555|0.4006|-0.15677|-0.2139|0.03299488|6.0|8.2218|8.2218
