molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC1i|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA5|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomShapeIndex|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
14aa_a23|0|1|1|0.0|0.0|2|7.423568444|0|1.19796312|3.4143268310000003|0.066582026|-0.026892547|2|0.046678487|0.031136154|0.758549568|-0.287870566|0.013012022|10.313217300000002|-0.044957534|2|0.012103325|-0.13397874|0.725358161|-0.070471939|0.8072028240000001|0.693959193|1|0.924108042|-0.052155763|0.204831806|0.018016316|-51.83122853|51.68445972|-0.03159178|-35.2984572|83.27171526|0.796659447|-1.6743643259999998|-24.18971469|61.21989213|-21.51484958|47.78906871|0.4930525229999999|629.3423691|-1140.287028|2263.821505|-14.65218978|8.000512184|0.972590939|733.3886349999999|9.388663605|0.0|1.0|1.0|1.0|1.0|3.63|3.68|0.12|-8.16|4.4|4.63|105.02|1.0|130.22|1.0|-6.23|-5.92|0.0|0.0|0.0|4.1|5.9e-07|0.000259|2.81e-06|0.00123|4.31|0.0|3.5934|3.5934|715.57|345.03|0.4157|345.03|588.45|0.6805899999999999|-1708.276011|0.4157|-0.1449|-0.21573|0.02033777|8.3532|4.0|8451.0
16a_a32|1|1|1|3.357452523|0.0|0|7.765993078999999|0|0.6094207620000001|0.0|0.205693867|-0.0848387459999999|0|0.03995614|-0.053745649|2.095743605|-0.6911813920000001|-0.008098765|10.31100271|-0.058518519|3|-0.005552127|-0.199563743|0.859696525|-0.098258706|0.909908319|0.81143469|1|0.756542831|-0.090389538|0.283324612|0.020664867|-74.35152328|151.5123947|-0.037168908|-46.27170107|66.13699638|0.6968200370000001|-1.6726008419999998|-35.00816569|88.96104768|-23.13158502|69.11326055|0.450892763|470.82456669999993|-1040.921326|2992.60858|-14.39564033|7.183246604|0.8211379000000001|532.685565|14.6095244|1.0|1.0|1.0|1.0|3.0|3.53|2.66|0.22|-7.3|5.32|3.79|152.07|0.0|108.86|1.0|-5.49|-6.85|1.0|0.0|1.0|3.06|3.2e-06|0.00128|9.14e-05|0.0364|2.65|0.0|3.6314|3.6314|664.67|341.42|0.2859|341.42|535.63|0.70245|-1896.589348|0.2859|-0.15045|-0.20718|0.04088655|1.8274|11.0|7.9586
14b_a3|0|0|0|0.0|0.0|0|6.823286122000001|0|0.605016869|0.0|0.143500839|-0.1160619169999999|3|0.039799383|-0.1551678719999999|1.7086790859999998|-0.356087317|-0.00603969|10.31162234|-0.102362298|1|-0.004161699|-0.094863591|0.882394075|-0.170297225|0.848135222|0.8255789570000001|1|0.786476513|-0.090994113|0.379746504|0.012828558|-49.38772279|104.4171556|-0.036469822|-24.15156108|82.79166784|0.766915433|-1.312913604|-21.76034149|57.87172082|-17.83445545|50.77131401|0.487615651|384.6023764|-642.0403962|1289.104749|-8.721397057|4.989782639|0.951659927|358.3503513|8.483998032|0.0|1.0|1.0|1.0|1.0|3.18|2.5|0.06|-6.89|4.28|3.71|105.82|0.0|93.25|1.0|-4.45|-6.42|0.0|0.0|1.0|2.82|3.54e-05|0.0113|0.000103|0.0327|2.58|0.0|3.0724|3.0724|524.27|403.54|0.2276|403.54|368.39|0.70123|-1327.349444|0.2276|-0.12942|-0.19618|0.02844675|3.8724|0.38|6.4202
8b_a32|1|1|1|3.419952523|0.0|0|7.765993078999999|0|0.609420757|0.0|0.113639567|-0.057200812|0|0.03995614|-0.008128765|2.123714284|-0.458752924|-0.003484915|10.31100269|-0.0684566009999999|3|-0.001662219|-0.1534110109999999|0.788133615|-0.1152380009999999|0.8966299409999999|0.7507116140000001|1|0.788218098|-0.0850068559999999|0.253018806|0.016711528|-68.4085006|132.9495116|-0.03079624|-42.94454179|68.21751748|0.669149204|-1.4166270230000002|-33.50038167|81.73293254|-19.33283713|63.85535908|0.458155153|494.8166492|-889.3105078|2275.886421|-12.13650094|8.10555784|0.845546757|557.1050635|13.32443194|1.0|1.0|1.0|1.0|2.0|3.46|3.04|0.26|-7.65|6.49|4.19|140.04|0.0|110.47|1.0|-5.83|-6.44|1.0|0.0|1.0|3.61|1.47e-06|0.000583|4.06e-05|0.0161|3.22|0.0|3.5442|3.5442|671.54|349.82|0.2943|349.82|558.16|0.70285|-1880.539698|0.2943|-0.14717|-0.20121|0.03602276|1.2797|12.0|7.9208
11b_a31|1|0|0|3.248213341|0.0|0|7.765993078999999|1|0.610137403|0.0|0.078614731|-0.172248605|0|0.043380952|-0.078907688|0.0|-0.838727032|-0.014385937|10.31169957|-0.046362952|2|-0.010716217|-0.16780872|0.833717183|-0.074254978|0.889561759|0.7943850720000001|0|0.545458754|-0.143839236|0.26165445|0.037758271|-82.80602396|253.1028809|-0.044612791|-46.10900197|87.78853803|0.669723835|-1.784511651|-44.59898223|100.3071755|-24.84180719|101.1192111|0.473305522|303.7286124|-993.6722875|1756.711832|-13.83270059|6.83089364|0.8986339170000001|397.3137532|17.50115151|1.0|1.0|1.0|1.0|2.0|3.41|2.29|0.24|-5.45|4.67|3.25|125.57|0.0|92.51|2.0|-4.74|-6.73|0.0|0.0|1.0|2.69|1.82e-05|0.00649|0.000178|0.0637|2.46|0.0|3.8437|3.8437|589.56|322.57|0.2634|322.57|479.66|0.70073|-1519.909742|0.2634|-0.15936|-0.1951|0.04215313|4.7518|0.53|6.2757
17_a20|1|0|0|3.445659565|0.0|0|6.842683282|0|1.4012598180000002|0.0|-0.064380628|0.00038506|3|0.0388043479999999|0.065447136|1.652760156|-0.28924577|-0.000495713|10.94884838|-0.072863159|1|0.000922796|-0.202695123|0.760575852|-0.127696675|0.812578598|0.71987165|1|0.912053544|-0.063665681|0.3874475579999999|0.015032258|-53.38406095|57.67438055|-0.0315649079999999|-35.00871763|10.50834496|0.75430388|-1.5466805119999998|-27.38007162|64.39681425|-20.699942|51.60929807|0.455285305|598.1153253|-1014.297158|2210.790304|-13.57480888|8.198616089|0.83582343|637.7803874|11.012753300000002|0.0|1.0|1.0|1.0|1.0|3.5|2.83|0.08|-10.14|5.8|4.85|91.14|0.0|119.48|0.0|-5.36|-6.09|0.0|0.0|1.0|3.74|4.4e-06|0.0017699999999999|8.35e-06|0.00336|3.75|0.0|3.3926|3.3926|673.68|365.45|0.2977|365.45|543.09|0.69839|-1291.692325|0.2977|-0.14021|-0.21089|0.03030655|5.3075|2.25|5.6478
40_a47|0|1|1|0.0|0.0|1|6.823286122000001|0|1.420389717|1.715145925|-0.246203395|-0.0934645509999999|3|0.041396825|-0.056839794|1.566109469|-0.179798097|0.002212256|10.98214138|0.056362705|1|0.003634698|-0.338113214|0.63155995|0.090270598|0.900790582|0.607650682|1|0.812233678|-0.060416547|0.237173658|0.02047837|-44.90375373|101.2934265|-0.027052191|-24.22401965|0.0|0.573656733|-1.082087641|-17.58259718|60.97203959|-14.59371996|43.64000551|0.4574577489999999|438.171933|-583.7487984|868.5333132000001|-7.872806386000001|7.042383142|0.843174422|388.178924|16.06828586|0.0|1.0|1.0|1.0|1.0|3.07|2.91|0.11|-7.08|2.96|4.04|68.52|0.0|94.28|1.0|-3.26|-6.78|0.0|1.0|1.0|2.72|0.000546|183.0|0.000192|0.0643|2.19|0.0|4.0176|3.7236|571.5|332.97|271.0|308.6|444.47|0.67615|-1122.9968210000002|0.2612|-0.15231|-0.20317|0.02983032|6.5995|4.0|8.4
14i_a23|0|1|1|0.0|0.0|2|7.423568444|0|1.197963212|3.2692375460000003|0.142566578|-0.130330047|2|0.0432555559999999|0.040408197|0.7151570629999999|-0.558153376|0.002243702|10.31321758|-0.026731172|2|0.002496501|-0.033435987|0.77007911|-0.04255066|0.864206467|0.7333675390000001|1|0.777952733|-0.0889593869999999|0.266320368|0.0214262489999999|-66.02703063|151.83084580000002|-0.039760909|-45.14777443|93.48624142|0.7780956840000001|-2.027806362|-41.59306642|79.20815775|-27.18760085|75.47917433|0.478050606|531.9462982|-1386.567643|2447.1741030000003|-18.59026006|8.107659819|0.915894552|693.3423458|13.18112713|0.0|1.0|1.0|0.0|2.0|3.56|2.64|0.04|-6.96|2.57|3.12|148.11|1.0|128.38|1.0|-5.21|-7.33|1.0|0.0|0.0|2.61|6.11e-06|0.00278|4.03e-05|0.0183|2.46|0.0|3.6931|3.6931|715.68|335.72|0.3639|335.72|580.74|0.55606|-1798.371346|0.3639|-0.1509599999999999|-0.23121|0.03394466|8.3755|3.0|8.4622
8b_a8|1|0|0|3.191799887|0.0|1|7.535296702|1|1.395658149|1.42474537|-0.023718767|-0.182065125|1|0.040054466|0.019958073|0.0|-0.733216119|-0.0055544409999999|10.94650923|-0.03443232|1|-0.003593429|0.079250224|0.758899977|-0.0527918259999999|0.8354024290000001|0.726912742|0|0.558354653|-0.130159955|0.28604765|0.032440348|-71.23625346|270.5854753|-0.047457424|-43.64473805|89.09854311|0.781454722|-2.325413799|-48.85837649|84.97574547|-29.07602182|99.62129245|0.4835310479999999|342.0904577|-1424.7250689999998|1821.324722|-17.8141788|7.507665421|0.936224813|589.263087|13.73949201|0.0|1.0|1.0|0.0|2.0|3.52|2.93|0.09|-7.13|3.65|3.03|112.23|0.0|114.18|1.0|-4.77|-6.87|0.0|0.0|0.0|2.9|1.6899999999999997e-05|7.0|3.69e-05|0.0153|2.76|0.0|4.5819|3.2992|640.35|375.8|0.2618|270.59|488.56|0.57234|-1406.829227|0.1515|-0.13807|-0.19921|0.03204403|7.4497|5.08|5.2941
14ad_a23|0|1|1|0.0|0.0|2|7.423568444|0|1.197962774|3.3437482860000003|-0.1101542319999999|-0.028065075|2|0.0444129979999999|0.118047355|0.735584095|-0.4663820279999999|0.008996289|10.31321689|-0.031279567|2|0.009675528|-0.253318853|0.7763406840000001|-0.050707765|0.8356326820000001|0.7317531540000001|1|0.887131635|-0.059168372|0.224009311|0.033831691|-61.35364811|80.67170209999999|-0.029653934|-43.85199724|114.237062|0.575880959|-1.630966366|-30.226481300000003|85.20135045|-21.19489662|66.47100256|0.46995189|634.0697778|-1165.7193140000002|2339.533586|-15.14887177|8.661363236|0.8866211979999999|770.8206617000001|23.84770234|0.0|1.0|1.0|1.0|1.0|3.73|3.49|0.12|-7.6|3.48|4.03|123.48|1.0|133.27|1.0|-5.8|-6.68|0.0|0.0|0.0|3.39|1.6e-06|0.000753|8.22e-06|0.0038799999999999|3.52|0.0|3.3867|3.3867|747.83|366.09|0.4106|366.09|618.01|0.6956600000000001|-1858.668058|0.4106|-0.13734|-0.20659|0.01481488|6.7584|4.0|8.3595
