molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC1i|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA5|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomShapeIndex|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
15_a3|0|0|0|0.0|0.0|0|6.823286122000001|1|0.619596467|0.0|0.079167398|-0.092127078|3|0.045993266|-0.182934001|1.809035179|-0.289938297|-0.006419472|10.33806279|0.021805556|0|-0.004459728|-0.039798975|0.968837995|0.036380489|0.866559772|0.911346861|1|0.7789088340000001|-0.092342351|0.451058529|0.007901554|-55.08588323|113.1667185|-0.037667|-28.19600959|0.0|0.850327497|-1.50667999|-24.19332693|60.30684851|-19.28005913|51.31038923|0.461565365|398.6887321|-771.2023653|1433.713715|-9.868603355|5.371119692000001|0.85723565|402.781061|5.220965278|1.0|0.0|1.0|1.0|1.0|4.12|0.0|0.24|-5.78|2.21|1.56|89.99|0.0|94.29|2.0|-2.77|-7.35|0.0|0.0|0.0|1.2|0.0017|547.0|0.000951|306.0|1.28|0.0|6.0077|3.7072|553.81|334.44|0.4107|206.37|398.12|0.2843199999999999|-1328.531138|0.0173|-0.1576|-0.22079|0.0228507|2.3271|25.0|7.6021
9i_a40|0|0|0|0.0|0.0|1|7.515889085|0|0.604992808|1.841293462|0.074116257|-0.105556952|0|0.045555556|0.187127708|0.891973262|-0.279092262|0.004532692|10.31197226|-0.1788455119999999|2|0.004019925|0.187399127|0.831946443|-0.28972973|0.824009442|0.7947633409999999|1|0.830980762|-0.092881258|0.006324687|0.011010661|-44.58600513|85.16517222|-0.036869006|-22.46593254|62.68854553|0.8590224540000001|-1.327284222|-23.58195819|49.81256531|-18.57750214|52.34891159|0.477626156|418.7133986|-668.7900768999999|335.9672843|-9.360805225|7.700852478|0.91433781|351.4600612|5.226560183|1.0|1.0|1.0|1.0|1.0|3.25|2.9|0.06|-6.03|3.84|4.02|84.45|1.0|91.11|1.0|-5.32|-5.44|0.0|0.0|1.0|3.52|4.79e-06|0.00147|1.97e-05|0.00603|3.85|0.0|4.3611|2.8936|534.44|428.48|0.5012|284.3|417.75|0.56118|-1273.167389|0.3362|-0.11967|-0.17956|0.02072395|2.7887|1.25|5.9031
7h_a8|1|0|0|2.99743835|0.0|1|7.05012252|0|1.391840221|1.2793830309999998|-0.118981425|-0.073219554|0|0.04737037|-0.016074683|0.0|-0.23505152|0.00112124|10.94341365|0.0260356679999999|1|0.00084936|0.141285105|0.515235986|0.041366689|0.7677336090000001|0.507325475|0|0.771011027|-0.093181899|0.314190914|0.011647275|-53.88211443|131.9948047|-0.041038456|-31.05895923|47.81104825|0.892830345|-1.6825766830000002|-30.96107949|58.94376531|-23.65556243|60.42608164|0.4346108389999999|444.4294792|-969.8780597|1919.19991|-13.63564064|7.589672923999999|0.768693264|446.5544107|5.061650885|1.0|1.0|0.0|0.0|1.0|3.12|3.2|0.0|-8.46|5.52|5.49|61.58|0.0|101.89|1.0|-5.68|-5.27|0.0|0.0|1.0|4.63|2.09e-06|0.00078|3.16e-06|0.00118|4.66|0.0|3.9282|3.9282|593.53|315.62|0.3885|315.62|500.94|0.6963199999999999|-1285.017252|0.3885|-0.16076|-0.22875|0.03092828|9.1188|10.5|4.9788
4q_a46|0|0|0|0.0|0.09591943|1|7.832410927000001|1|1.131262631|2.151582577|-0.2520920439999999|0.004704245|2|0.0462962959999999|-0.012611536|0.0|-0.066250447|0.012173202|10.96363644|-0.081623022|1|0.012222698|-0.187559576|0.716317772|-0.121752717|0.848935944|0.703627625|0|0.913550004|-0.052170875|0.258420996|0.014510206|-39.09149156|48.25357162|-0.021010627|-21.81959712|72.14599138|0.61955726|-1.050531344|-16.25388148|49.37907349|-11.72744747|37.21920695|0.487775649|509.9138517|-586.3723734|1491.412605|-6.545879136|6.038093227999999|0.952269544|554.3688216|10.28758193|1.0|1.0|1.0|1.0|0.0|3.95|3.16|0.38|-6.94|4.09|4.09|52.83|0.0|102.63|1.0|-3.41|-6.54|0.0|1.0|0.0|3.15|0.000389|135.0|0.000129|0.0449|2.65|0.0|4.5296|4.5296|606.7333|273.72|0.1432|273.72|510.13|0.69002|-1108.511662|0.1432|-0.1903|-0.2207199999999999|0.02185677|3.2968|743.0|6129.0
12b_a32|1|1|1|3.477905329|0.0|0|7.765993078999999|0|0.609420757|0.0|0.115940697|-0.055500132|0|0.0388738739999999|-0.044307211|2.153718992|-0.462201267|-0.003484915|10.31100269|-0.053480599|3|-0.001662219|-0.1534110109999999|0.788133615|-0.090027803|0.8887585240000001|0.7507116140000001|1|0.782593|-0.081450418|0.2996018789999999|0.016282332|-60.93328667|135.83463989999998|-0.027561517|-38.07076621|65.29222164|0.60420609|-1.267829764|-31.79562339|76.65746734|-17.22027667|61.06285882|0.430631506|488.9595947|-792.1327267000001|3148.185476|-10.75912958|7.076348793999999|0.756331814|557.1050635|15.72418067|1.0|1.0|1.0|1.0|2.0|3.47|2.9|0.26|-7.65|6.49|4.19|140.04|0.0|110.47|1.0|-5.9|-6.4|1.0|0.0|1.0|3.59|1.27e-06|0.000505|3.72e-05|0.0148|3.28|0.0|3.5703|3.5703|663.89|347.27|0.2865|347.27|541.49|0.70258|-1880.537231|0.2865|-0.14803|-0.19976|0.0385132|4.1080000000000005|26.0|7585.0
21_a34|0|0|0|0.0|0.0|1|8.002694162000001|2|1.425532331|1.88614418|0.026135784|-0.091664226|1|0.036880342|-0.125881566|0.0|-0.7020096440000001|-0.001643445|10.94874873|-0.009996155|1|0.00130996|-0.407759867|0.702772307|-0.015568862|0.796991578|0.660871869|0|0.676390843|-0.09533089|0.527371706|0.034163186|-79.03896823|217.1470086|-0.041572921|-53.03643341|77.34839362|0.728260094|-2.120218984|-42.9239565|95.12565978|-27.89610644|86.89263143|0.4688149339999999|453.8692584|-1422.701428|2429.6035|-18.7187412|7.253455092999999|0.882583047|659.7484451|16.08669155|0.0|1.0|1.0|1.0|0.0|3.43|3.52|0.12|-7.68|3.64|3.23|86.55|1.0|122.59|1.0|-4.5|-6.83|0.0|0.0|0.0|3.03|3.14e-05|0.0138|1.94e-05|0.0085|3.02|0.0|4.3011|3091.0|698.17|401.11|0.2174|288.26|530.93|0.6893199999999999|-1483.057743|0.0002|-0.13338|-0.20872|0.03023936|7.9399|3.36|5.4737
18a_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604987543|0.0|0.045071414|-0.02919335|2|0.040166667|-0.041327798|0.0|-0.353677943|0.005050384|10.31163887|-0.094932667|1|0.005458948|-0.094526372|0.8421237309999999|-0.171895425|0.842671963|0.7961424690000001|0|0.85918121|-0.072474599|0.294303776|0.017060045|-59.38972262|87.66676984|-0.036990859|-36.97308547|0.0|0.7904991659999999|-1.812552105|-28.08889239|69.35818061|-23.02866795|55.73981304|0.445995681|534.88346|-1128.40473|2814.429655|-14.33650253|7.050626413|0.8050400790000001|620.9195447000001|9.968457988|1.0|1.0|1.0|0.0|1.0|4.75|0.0|0.14|-6.64|3.84|2.62|81.65|0.0|127.28|1.0|-5.28|-5.98|0.0|0.0|0.0|2.63|5.23e-06|0.00208|1.4e-05|0.0056|3.87|0.0|3.4712|3.4712|665.12|357.18|0.3781|357.18|508.08|0.69033|-1575.54671|0.3781|-0.1418|-0.19785|0.03180853|5.2813|25.0|7.6108
17f_a50|0|1|1|0.0|0.0|2|7.934155233999999|1|1.349854916|4.305828452|-0.2208117919999999|0.022892513|1|0.03135101|-0.167275895|2.187498662|-0.125733326|0.012475826|10.94501702|-0.132773563|2|0.0129274519999999|-0.407467272|0.758335704|-0.2257632789999999|0.8314734309999999|0.7241275009999999|1|0.911458734|-0.047333916|0.333180181|0.016414675|-46.03121141|54.44410182|-0.026836447|-28.30463221|82.90209608|0.721122105|-1.422331714|-17.89709978|55.9791334|-16.50175503|39.19906437|0.472769049|560.4567739|-874.5930167000001|1929.981543|-10.14694362|7.200480876|0.896702|652.6793116|9.947921993|1.0|1.0|1.0|1.0|0.0|3.81|2.97|0.26|-6.38|2.87|3.83|51.77|0.0|116.81|1.0|-3.58|-6.64|0.0|1.0|1.0|2.92|0.000266|102.0|7.57e-05|0.0291|2.83|0.0|4.0664|4.0664|653.63|304.9|0.1708|304.9|564.52|0.6573899999999999|-1218.966516|0.1708|-0.16784|-0.20148|0.0276719|8.312999999999999|398.0|6.4001
16e_a32|1|1|1|3.343660084|0.0|0|7.765993078999999|0|0.609420752|0.0|0.180914799|-0.06951854|0|0.040982906|-0.04474426|2.080236877|-0.772021601|-0.0048042729999999|10.31100268|-0.01320745|3|-0.002310082|-0.219947482|0.804503712|-0.022651598|0.91471624|0.7619492790000001|1|0.7903051590000001|-0.087117996|0.504569498|0.024145309|-75.36830928|134.6906051|-0.037448344|-48.41036206|39.27920316|0.702226562|-1.760072163|-35.94239328|90.34923861|-24.05371573|71.46633549|0.458956284|507.6266039|-1130.524639|3376.1299740000004|-15.45011555|6.573687662|0.848279482|573.3529948|14.98092934|1.0|1.0|1.0|1.0|2.0|3.64|3.36|0.26|-7.38|6.03|4.6|149.27|0.0|111.95|1.0|-6.59|-6.15|1.0|0.0|1.0|3.77|2.58e-07|0.000107|1.7899999999999998e-05|0.0074099999999999|3.76|0.0|3.6214|3.6214|677.82|342.37|0.2858|342.37|552.79|0.7022|-1955.766505|0.2858|-0.14991|-0.2005|0.02792775|3.9389|7.0|8.1367
14p_a23|0|1|1|0.0|0.0|2|7.423568444|0|1.197963748|3.3252287430000003|0.044380583|0.006191846|2|0.045165485|0.041987653|0.733042138|-0.310730878|0.009895793|10.31321773|-0.053921569|2|0.009266617|-0.131709531|0.708395022|-0.090287278|0.8683808959999999|0.669357479|1|0.923455749|-0.063033628|0.223758613|0.0221104079999999|-54.50240143|51.64167457|-0.033660197|-36.77082544|84.65359899|0.751638299|-1.615689464|-28.69113861|67.36602512|-22.70933393|57.44364296|0.464933687|623.0226425|-1090.0480289999998|2170.5738260000003|-15.32117727|9.014073839|0.868927227|646.2584547|12.86362369|0.0|1.0|1.0|1.0|1.0|3.48|3.28|0.04|-7.47|3.4|3.89|128.81|1.0|125.0|1.0|-5.68|-6.62|0.0|0.0|0.0|3.25|2.09e-06|0.0009109999999999|1.27e-05|0.00554|3.3|0.0|3.5752|3.5752|699.61|346.79|0.3802|346.79|573.24|0.6816|-1721.933314|0.3802|-0.14774|-0.2382|0.02935511|9986.0|3.0|8.5302
12q_a30|0|0|0|0.0|-4.76444841|0|7.412764017000001|2|0.60498366|0.0|0.144208934|-0.27228842|2|0.0438779959999999|-0.016509571|0.0|-0.873376576|-0.00695299|10.31162828|-0.021542639|1|-0.004395528|-0.226973911|0.613786308|-0.032887649|0.867367115|0.593245722|0|0.845745827|-0.087348134|0.596557166|0.014790072|-78.7683329|105.1162273|-0.045799658|-53.67653794|0.732186841|0.820640722|-2.427381881|-40.56199584|90.06607753|-31.21009417|69.60189582|0.473741611|576.3319634|-1654.134991|2844.418547|-21.2680622|7.346842839|0.900207238|696.6414817000001|11.29774462|1.0|1.0|1.0|0.0|1.0|4.73|0.0|0.17|-7.18|4.43|4.78|90.88|0.0|133.96|1.0|-6.7|-5.66|0.0|0.0|0.0|3.42|1.99e-07|9.63e-05|1.2e-06|0.000579|5.05|0.0|5.0573|3.4834|713.16|355.93|0.1817|245.16|537.96|0.34138|-1987.781386|0.1515|-0.14792|-0.19897|0.03408298|6.821000000000001|36.0|7.4449
14v_a23|0|1|1|0.0|-4.844615416|2|7.423568444|0|1.1979575059999998|3.004639728|0.135774541|-0.299484129|2|0.047323232|0.055572317|0.636416435|-0.8122700340000001|-0.002390707|10.3132174|-0.015149431|2|-0.0004039459999999|-0.2952674819999999|0.598213287|-0.022236834|0.845160857|0.575188253|1|0.916605275|-0.067342061|0.31419322|0.019811827|-62.61276875|55.07999434|-0.042752869|-41.35406587|0.912757854|0.788328659|-2.180396311|-29.37629463|76.42257099|-28.23713101|57.56282152|0.457213347|605.3933675|-1440.093681|2679.111279|-18.64987284|7.743452839|0.84234449|676.4530574|13.80980223|0.0|1.0|0.0|1.0|1.0|3.62|3.46|0.09|-7.95|3.97|6.18|114.25|1.0|126.97|1.0|-6.89|-5.94|1.0|0.0|0.0|4.28|1.29e-07|6.38e-05|1e-06|0.0004969999999999|4.76|0.0|3694.0|3694.0|679.5|335.64|348.0|335.64|533.44|0.6017100000000001|-2041.93452|348.0|-0.1524299999999999|-0.2308599999999999|0.02053833|6.3758|4.0|8.4001
14h_a23|0|1|1|0.0|0.0|2|7.423568444|0|1.197963488|3.309480899|0.043538466|0.006191846|2|0.04255787|0.0316908439999999|0.7290938920000001|-0.307907256|0.009895793|10.31321773|-0.034313725|2|0.009266617|-0.131709531|0.708395022|-0.05745554|0.860920386|0.669357479|1|0.923430574|-0.063825076|0.223157991|0.021982565|-54.6468131|51.620282|-0.033774476|-36.84086528|86.83095818|0.753100584|-1.621174834|-29.00823506|67.44368679|-22.76950546|57.84834575|0.48032488|622.5428245|-1092.936262|2371.16134|-15.35036053|7.833334036|0.924279155|646.2584547|12.79687369|0.0|1.0|1.0|1.0|1.0|3.47|3.2|0.04|-7.47|3.4|3.89|128.81|1.0|125.0|1.0|-5.68|-6.62|0.0|0.0|0.0|3.23|2.09e-06|0.0009109999999999|1.27e-05|0.00554|3.3|0.0|4.0506|3.6689|699.86|337.93|0.3424|306.09|569.53|0.67365|-1721.9314420000003|0.2727|-0.15209|-0.2374099999999999|0.02796857|13.4823|5.0|8.3468
12u_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604983445|0.0|0.028039604|-0.027452346|2|0.043383838|-0.091507428|0.0|-0.367578706|0.002431329|10.31162873|-0.0646674999999999|1|0.001805829|-0.0857954809999999|0.8149999040000001|-0.105767484|0.889479916|0.711738503|0|0.84944095|-0.0773921259999999|0.477056017|0.015562896|-65.55148142|100.8445957|-0.03794847|-43.90644499|0.0|0.810462868|-1.859475018|-34.72068676|75.26051582|-25.41792137|62.26136323|0.443167712|568.9563615000001|-1245.478147|2608.6452440000003|-17.02494806|7.804487592999999|0.7958728709999999|685.6665849999999|9.709034401|1.0|1.0|1.0|0.0|1.0|4.63|0.0|0.14|-7.8|5.11|3.92|81.65|0.0|137.3|1.0|-6.58|-5.52|0.0|0.0|1.0|3.59|2.64e-07|0.000123|9.14e-07|0.0004269999999999|5.12|0.0|3.5003|3.5003|705.15|354.21|0.1502|354.21|559.16|0.6847|-2494.736802|0.1502|-0.1486299999999999|-0.20146|0.03472994|7.0553|34.0|7.4647
16_a15|0|0|0|0.0|0.0|0|0.0|0|0.300207157|0.0|0.072882981|-0.463771194|2|0.035555556|-0.003882928|0.0|-0.4898555739999999|-0.009769916|10.31928197|-0.011969556|0|-0.00379317|-0.0764246109999999|0.787100127|-0.018331526|0.77948108|0.72660548|0|0.723597405|-0.08870471|0.7427725270000001|0.0070920509999999|-69.38556779999999|188.9479321|-0.039472502|-47.4317527|17.68542055|0.868460507|-2.131515106|-41.45211893|76.07332645|-26.98327637|65.48636021|0.419910645|494.6488764|-1457.096924|3014.308422|-18.44568161|6.798937229|0.7238723509999999|728.353441|6.687758643|1.0|1.0|0.0|1.0|2.0|3.59|2.93|0.08|-9.21|3.37|6.02|115.58|0.0|124.45|1.0|-6.0|-6.27|1.0|0.0|1.0|3.59|9.89e-07|0.000442|6.14e-06|0.00274|3.88|0.0|4.1731|4.1295|716.79|300.24|0.3809|297.1|600.98|0.6541100000000001|-1770.217907|0.1409|-0.16871|-0.20953|0.06079704|11.7447|21.0|7.6778
41_a18|0|0|0|0.0|0.0|0|7.03438793|2|1.251176562|0.0|0.115127295|-0.059936864|1|0.038034188|-0.089781154|0.0|-0.500778516|-0.0034878|10.9470117|0.0212700929999999|0|-0.002136837|-0.0091068809999999|0.759941674|0.037097204|0.774395455|0.745631286|0|0.7349388459999999|-0.1020290859999999|0.3888308139999999|0.009550224|-61.10986894|181.7135945|-0.037381065|-41.89408289|93.99687836|0.903239484|-2.317626057|-47.95199341|65.83786886|-25.62671923|76.49358329|0.487248278|503.8398786|-1588.856592|1491.296991|-17.56848637|8.787657952|0.950261611|897.5188662|4.727999916|1.0|0.0|1.0|1.0|3.0|4.07|0.0|0.25|-8.38|3.26|2.7|99.28|1.0|141.34|1.0|-5.56|-6.38|0.0|0.0|1.0|2.53|2.76e-06|0.00125|9.49e-06|0.0042899999999999|3.78|0.0|3.2123|3.2123|736.59|385.97|482.0|385.97|576.83|0.69308|-1453.980175|482.0|-0.1319|-0.1814599999999999|0.0280471999999999|2721.0|369.0|6433.0
6b_a31|1|0|0|3.404988662|0.0|0|7.773594467000001|1|0.610136262|0.0|0.052690797|-0.178758575|0|0.037803618|0.11647286|0.0|-0.787472195|-0.011483229|10.31169819|-0.053655833|2|-0.008439437|-0.004825446|0.838789705|-0.084489161|0.841537966|0.795570315|0|0.627853074|-0.12081047|0.146652651|0.032992761|-78.37648097|227.0509355|-0.045675611|-47.81835367|101.4993391|0.7459204140000001|-2.055402513|-44.96993859|93.1058799|-27.86719323|93.83704414|0.4807018779999999|383.0600707|-1254.023695|2063.736075|-17.0020813|7.513612533|0.925676135|536.6368656000001|14.72939894|1.0|1.0|1.0|1.0|2.0|3.55|2.73|0.1|-7.33|5.19|4.0|131.36|0.0|109.69|1.0|-5.63|-6.5|0.0|0.0|1.0|3.3|2.34e-06|0.000947|2.18e-05|0.00883|3.2|0.0|3.2949|3.2949|637.06|376.29|0.4967|376.29|492.36|0.7013199999999999|-1652.44739|0.4967|-0.13345|-0.1918|0.03623358|8.8379|54.0|7.2676
25d_a34|0|0|0|0.0|0.0|1|7.412764017000001|1|1.433689841|1.940324546|0.128783829|-0.089654563|1|0.041037037|-0.163072107|0.0|-0.8576484190000001|-0.005017781|10.95957635|0.00670464|1|-0.001685762|-0.342090037|0.8265507809999999|0.011919831|0.799694715|0.778903495|0|0.674282353|-0.100582621|0.631894475|0.0292772039999999|-82.09024497|215.4372954|-0.044492794|-54.29641443|69.64131956|0.7772035959999999|-2.358118108|-44.00298587|95.24066462|-29.42857839|85.89233572|0.478308897|445.9861716|-1559.714654|2564.887803|-19.46475234|6.933980884|0.916843118|673.8038326000001|13.15041965|1.0|1.0|1.0|1.0|2.0|3.58|3.76|0.12|-8.08|3.05|3.95|90.3|0.0|119.81|1.0|-4.61|-6.74|0.0|0.0|1.0|3.21|2.44e-05|0.0104|3.3e-05|0.0141|3.05|0.0|4.2732|4.2732|706.21|290.15|0.2106|290.15|554.05|0.6764600000000001|-1426.243341|0.2106|-0.1771299999999999|-0.21234|0.02807001|8.0068|0.95|6.0223
8d_a32|1|1|1|3.474433107|0.0|0|7.765993078999999|0|0.609420756|0.0|0.143684876|-0.089662873|0|0.0388738739999999|0.062782795|2.146260246|-0.519620595|-0.006974711|10.31100269|-0.0682721729999999|3|-0.005162219|0.002805572|0.825020753|-0.11492754|0.875986707|0.789198712|1|0.7107041559999999|-0.109612139|0.261692269|0.01593079|-69.11005922|181.8092016|-0.03346862|-43.43251025|89.20994250000001|0.708567136|-1.539556512|-43.2918338|81.54594837|-21.03349629|78.89798692|0.47012654|446.6450457|-967.5408291|2371.595484|-13.21859008|8.106843676|0.887243042|557.1050635|12.43588915|1.0|1.0|1.0|1.0|2.0|3.5|2.84|0.26|-7.26|6.42|4.32|154.03|0.0|110.38|1.0|-6.08|-6.47|1.0|0.0|1.0|3.57|8.41e-07|0.000334|4.36e-05|0.0173|3.17|0.0|3.5588|3.5588|671.71|348.39|0.3018|348.39|540.98|0.7026100000000001|-1880.540067|0.3018|-0.14765|-0.20115|0.04065536|1873.0|8.0|8.0809
25_a12|0|0|0|0.0|0.0|0|0.0|0|1.404967476|0.0|0.00700113|-0.045725323|2|0.038787879|-0.089297664|2.050456822|-0.180562493|0.000864238|10.93676625|-0.11195017|0|0.001783739|-0.0861945369999999|0.8472746290000001|-0.208172827|0.688743998|0.806844014|1|0.947937175|-0.054734834|0.120087607|0.004952762|-41.75851719|27.12578432|-0.03323193|-21.75703145|0.0|0.917298637|-1.362509125|-14.85843094|44.42528172|-17.31450713|31.09844409|0.448858246|493.8944271000001|-709.8947922|1907.027255|-9.021208163|5.34703037|0.814415245|430.4348528|2.666764531|1.0|0.0|1.0|1.0|1.0|2.81|3.43|0.05|-8.78|4.7|5.35|37.81|0.0|99.48|1.0|-5.28|-4.82|0.0|1.0|1.0|4.29|5.19e-06|0.00162|5.63e-06|0.00175|4.76|0.0|4.2653|3.4532|560.14|359.04|0.4483|290.68|442.64|0.63284|-974.458128|0.1897|-0.14303|-0.19655|0.024123749|2.2482|22.0|7.6576
12k_a36|1|0|0|3.483171769|0.0|0|7.412764017000001|2|1.297043952|0.0|-0.076124222|-0.063399056|2|0.039061728|0.096315593|0.0|-0.413145744|0.002782748|10.94908765|-0.058284869|1|0.003724542|-0.1619981409999999|0.90500247|-0.102077284|0.8647233590000001|0.856135378|0|0.8427704640000001|-0.075717305|0.367754573|0.018067063|-67.14870046|103.5614526|-0.037758075|-44.22843899|0.0|0.7806817009999999|-2.038936068|-32.84907515|78.24529096|-24.86988906|61.7723974|0.478908312|555.1026569|-1342.974009|2294.707886|-16.38090333|7.241602627000001|0.919048073|698.847203|11.0965905|1.0|0.0|1.0|0.0|2.0|4.89|0.0|0.12|-7.01|3.62|2.42|69.2|0.0|133.84|1.0|-4.58|-6.34|0.0|1.0|0.0|2.37|2.6e-05|0.0106|2.82e-05|0.0115|3.45|0.0|5053.0|3.6631|697.92|338.46|0.3116|245.37|530.51|0.5249199999999999|-1310.072976|0.0908|-0.15053|-0.20023|0.03274587|7.3988|14.0|7.8539
15a_a50|0|1|1|0.0|0.0|2|7.934155233999999|1|1.3530592819999998|4.126145086|-0.113976703|-0.06317118|1|0.035694444|-0.0446629609999999|2.020652006|-0.234757789|0.005366038|10.94500663|-0.125205943|2|0.005828749|-0.209259615|0.797917311|-0.207610131|0.8749408470000001|0.76745052|1|0.837789896|-0.0783960279999999|0.4349386739999999|0.018014615|-50.56454577|97.06405493|-0.029316925|-30.25705388|0.0|0.705410595|-1.436529349|-28.07082095|61.78266878|-17.54280159|57.69065967|0.4476230879999999|501.3207109|-859.5972780999999|1754.903963|-10.49734522|8.095541483|0.8103580690000001|569.5267957000001|11.21812301|0.0|1.0|1.0|1.0|1.0|3.7|2.63|0.23|-6.09|3.23|3.57|68.76|0.0|110.43|1.0|-3.6|-6.78|0.0|1.0|1.0|2.76|0.000251|0.0933|0.0001189999999999|0.0444|2.51|0.0|4.0408|4.0408|644.4|306.83|0.1767|306.83|519.38|0.66132|-1199.572081|0.1767|-0.16693|-0.19948|0.03314629|9.0948|41.0|7.3872
12p_a36|1|0|0|3.392386149|0.0|0|7.412764017000001|2|1.297044387|0.0|-0.0494658159999999|-0.084341564|2|0.042804233|0.114716581|0.0|-0.432950771|-0.002526241|10.96052769|-0.0433009009999999|1|-0.000673716|-0.217394466|0.724208473|-0.074349074|0.8839272779999999|0.698414933|0|0.748438833|-0.082569108|0.315548061|0.020202133|-68.22905781|158.3666517|-0.039016808|-42.95260501|0.0|0.759126153|-1.950840419|-32.72335782|80.40682298|-24.56246081|64.698131|0.475504684|471.1687161|-1228.123041|2308.958924|-15.4629378|7.546742977|0.906594718|595.8790650000001|12.17776516|1.0|0.0|1.0|0.0|2.0|4.72|0.0|0.14|-6.86|3.13|2.44|69.2|0.0|123.71|1.0|-3.89|-6.76|0.0|1.0|0.0|2.15|0.000129|0.0515|6.96e-05|0.0278|2.78|0.0|5.3413|3.8372|660.71|323.11|0.3015|232.12|506.89|0.30159|-1331.947748|0.1841|-0.15608|-0.21131|0.03396697|6.7199|9.0|8.0458
12z_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604983642|0.0|-0.1155022219999999|-0.026703371|2|0.040566449|0.034848862|0.0|-0.537984876|0.003529389|10.31162784|-0.045463448|1|0.005111479|-0.207153446|0.8397577820000001|-0.077335468|0.855880335|0.794193541|0|0.832920077|-0.071429418|0.315493739|0.030875938|-74.96232552|116.2094523|-0.034034824|-52.13870496|0.0|0.630839856|-1.939984979|-34.55504699|95.20867045|-23.67231332|71.1566605|0.48740649|579.3226647000001|-1349.321859|2435.831516|-16.464854199999998|8.071510779|0.950863559|792.3440337000001|20.24634493|1.0|1.0|1.0|1.0|1.0|4.86|0.0|0.21|-6.83|3.94|2.63|100.11|0.0|140.26|1.0|-5.61|-6.39|0.0|0.0|0.0|2.52|2.47e-06|0.00113|9.94e-06|0.00456|3.81|0.0|4.8063|3.4438|739.33|360.02|0.1855|257.96|580.6|0.5513100000000001|-1804.51674|0.1441|-146.0|-0.19279|0.02895763|7.2113|44.0|7.3615
6_a1|0|0|0|0.0|0.0|1|7.535296702|1|1.3488280769999998|2.325221088|-0.092471477|0.021203156|1|0.039635417|-0.114683042|0.0|-0.230035376|0.005054086|10.95180041|-0.0538497079999999|1|0.006851583|-0.3632559589999999|0.781885145|-0.095907969|0.8524898329999999|0.741035199|0|0.8782596159999999|-0.057199415|0.212044989|0.021009352|-37.41011914|58.82435931|-0.0238222729999999|-18.076387|95.13138767|0.576759436|-0.929068634|-13.35477777|49.61122373|-11.51080589|37.79009463|0.4218263379999999|424.3707604|-448.9214297|1383.161829|-5.56196523|5.555887839|0.7295841470000001|359.9965854|12.20110458|1.0|0.0|1.0|1.0|0.0|2.94|2.54|0.22|-6.02|3.61|3.57|39.94|0.0|86.31|1.0|-3.12|-6.21|0.0|1.0|1.0|2.82|0.0007599999999999|221.0|0.00021|0.0613|2.63|0.0|4.0635|4.0635|527.41|305.12|0.3399|305.12|405.23|0.69818|-935.330989|0.3399|-0.16784|-0.1899799999999999|0.027384499|8.0033|5.1|5.2924
