molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|nARing|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|PPSA1|WNSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
17b_a25|0.0|0|0|0.0|0.0|0|1.785120622|-0.004368141|4.727387819|2|-0.026412432|1.968416259|0.005120507|10.93106294|0.016982601|1|0.005244553|-0.073994564|-0.366585181|0.653180996|0.780221059|0.029728702|0.636746066|1|-0.068207754|-0.079392561|0.015879547|-51.71860811|-60.19950116|12.04068508|99.61874923|89.34443096|-0.029249891|-45.64634114|9.129863339|87.61586206|0.724866184|-39.21569422|73.52844745|-22.17876359|63.75929319|0.476276266|3100.8813760000003|668.9067217|2514.295488|-16.81707305|0.909403632|6674.061446|208.6205329|-958.573164|832.226697|13.32894629|1.0|1.0|1.0|1.0|1.0|3.25|27.0|4.88|2.0|2.0|0.0|135.78|0.0|0.0|-5.32|35.0|0.0|3.78|-5.07|0.00218|0.00394|3.61|9.08e-11|4.16e-08|-0.05531|-1483.873254|313.02|228.6|0.31395|-1483.563965|0.1741|-0.16408|3.5074|-0.21939|-1483.630939|5.2142|6.9957|6.9957
12n_a30|0.0|0|0|0.0|0.0|2|0.0|-0.007311044|5.351858133|2|-0.1144447669999999|0.0|0.001139238|10.31162898|-0.087019298|1|0.002064369|-0.120380857|-0.464204099|0.669561738|0.815003426|-0.149451598|0.64876559|0|-0.083120674|-0.10528124|0.017064818|-52.4873066|-66.48079820000001|10.77573511|85.87072848|140.0890685|-0.038674741|-41.97990569|6.804436105|0.0|0.799403208|-33.14358793|76.16725916|-24.42151771|63.2630417|0.4701566479999999|2848.910641|491.3700419|2349.172094|-15.42118984|0.887350282|6353.890039|126.6686716|-755.6383024|618.6004214|9.686460958|1.0|0.0|1.0|0.0|1.0|0.0|17.0|4.25|3.2|2.0|0.0|127.24|0.0|1.0|-5.39|30.0|0.0|2.92|-5.01|0.00171|0.00405|3.97|1.26e-07|5.260000000000001e-05|-0.05076|-1675.011418|355.67|238.43|0.27009|-1674.777231|0.1489|-148.0|5.3143|-0.19876|-1674.83759|6.32|7983.0|7983.0
2_a49|0.0|0|0|0.0|0.0|1|2.12788659|-0.004112807|5.4161004020000005|2|-0.100166139|1.999073077|0.004524556|10.92973199|0.005918367|1|0.004580676|0.055400364|-0.320124905|0.802447754|0.79056501|0.00991453|0.7701578720000001|1|-0.08647612|-0.079176085|0.01105681|-44.066695|-40.34672657|5.634353797999999|226.4450566|95.04720801|-0.028277173|-20.55997527|2.871166625|0.0|0.7154059890000001|-22.45560511|49.26352575|-14.409545199999998|49.7010488|0.454163307|2244.518609|414.5350312|1550.010086|-7.34284831|0.8320497920000001|4874.364109|145.02405359999997|-308.399629|439.9973344|8.91679918|0.0|1.0|0.0|1.0|1.0|2.5|21.0|3.28|1.88|0.0|1.0|99.52|0.0|1.0|-3.53|25.0|0.0|2.76|-3.89|0.0955|0.0421|2.43|1.51e-07|4.94e-05|-0.04372|-1046.018455|331.24|227.02|0.34449|-1045.810794|0.0572|-0.1555099999999999|4.8986|-0.19923|-1045.8595810000002|6.7117|7.2291|7.2291
6b_a31|0.0|1|0|3.404988662|0.0|1|0.0|-0.016070861|5.733341277|0|0.11647286|0.0|-0.011483229|10.31169819|-0.053655833|2|-0.008439437|-0.004825446|-0.57983695|0.838789705|0.78240875|-0.084489161|0.795570315|0|-0.12081047|-0.1284626569999999|0.032992761|-73.70779766|-78.37648097|20.12924648|159.79549319999998|227.0509355|-0.045675611|-47.81835367|12.28107483|101.4993391|0.7459204140000001|-44.96993859|93.1058799|-27.86719323|93.83704414|0.4807018779999999|2776.92804|383.0600707|2063.736075|-17.0020813|0.925676135|6099.567787|155.0167518|-765.0936586|536.6368656000001|14.72939894|1.0|1.0|1.0|1.0|2.0|2.73|22.0|5.19|1.36|1.0|0.0|109.69|0.0|1.0|-5.63|29.0|0.0|3.3|-4.66|0.000947|0.00883|3.2|4.67e-08|1.89e-05|-0.05835|-1652.671944|376.29|376.29|0.7013199999999999|-1652.44739|0.4967|-0.13345|5.9085|-0.1918|-1652.505041|8.8379|7.2676|7.2676
IN1233_a59|0.0|1|0|3.463603867|0.0|0|0.0|-0.008841844|4.727387819|2|0.163548857|1.983673343|-0.005614194|10.93301779|-0.054458882|1|-0.004071701|0.003282792|-0.597167441|0.809917509|0.74801464|-0.090732503|0.778639593|1|-0.092761756|-0.095213818|0.010831674|-61.73167061|-63.36348363|7.208329477|318.5587088|158.8351574|-0.035929742|-42.16752524|4.79704394|83.1557517|0.810795898|-41.08157616|72.32484741|-23.91074854|68.94000009|0.483639625|2809.840422|506.6510632|1822.396842|-15.91227368|0.936631949|6206.818668|125.91272279999998|-843.3505049|712.1606951|8.961363774|1.0|1.0|1.0|1.0|2.0|2.76|27.0|5.54|2.06|2.0|0.0|125.07|0.0|0.0|-5.59|32.0|0.0|3.78|-5.16|0.00107|0.0029|3.85|9.93e-11|4.17e-08|-0.05605|-1352.351584|350.69|237.54|0.51285|-1352.073755|0.2011|-0.14684|5.4004|-0.20289|-1352.135303|7.6059|7.4685|7.4685
18c_a30|0.0|0|0|0.0|0.0|2|0.0|-0.0109670669999999|5.351858133|2|0.011887112|0.0|-0.003436924|10.31163825|-0.0351777|1|-0.002215642|0.006103754|-0.562807327|0.841060094|0.8303425640000001|-0.058608635|0.802578397|0|-0.105618255|-0.1115683|0.019360263|-71.31647561|-75.33411705|13.07260474|384.391404|191.0545887|-0.042101245|-50.86775696|8.826997739|103.215593|0.7859920029999999|-48.15493021|87.76550537|-28.4279687|84.38908035|0.448899917|3002.59061|484.1740985|3094.729399|-19.19537998|0.81455244|6685.737642|144.5043388|-1017.355139|713.7769663|12.43138832|1.0|0.0|0.0|0.0|2.0|0.0|17.0|3.04|2.06|1.0|0.0|135.37|0.0|1.0|-5.01|32.0|0.0|1.91|-4.3|0.00427|0.0221|2.74|6.520000000000001e-07|0.000288|-0.05575|-1744.500825|355.78|355.78|0.69123|-1744.2261030000002|0.3879|-0.14225|6.6462|-198.0|-1744.28923|8.64|7.9208|7.9208
47n_a18|0.0|0|0|0.0|0.0|1|0.0|-0.007614955|4.844187086|0|0.017491759|0.0|0.000271488|10.94702025|-0.048404296|0|0.001705837|-0.258092915|-0.529441732|0.722991132|0.696612213|-0.083719099|0.711628292|0|-0.079299822|-0.091185806|0.0106152389999999|-65.43887366|-75.24728669|8.759783644|61.29571241|171.2889916|-0.031974244|-62.09468789|7.228646444|47.476904100000006|0.783921929|-54.00070374|86.44740177|-26.38541222|74.19865731|0.482565384|3349.802294|653.9193397999999|2052.393389|-21.77346199|0.932611327|7909.580851999999|178.30942439999998|-1676.556573|1306.125688|11.20011508|1.0|1.0|0.0|1.0|3.0|0.0|18.0|3.67|2.72|3.0|1.0|162.18|1.0|1.0|-6.02|40.0|0.0|2.76|-5.24|0.000511|0.00308|4.1|1.7500000000000002e-10|9.44e-08|-0.0525299999999999|-1743.3283440000002|387.11|387.11|0.6914600000000001|-1740.5852670000002|0.5056|-0.13138|2.4754|-0.18391|-1740.663577|3.3568|7.1938|7.1938
14ad_a23|0.0|0|1|0.0|0.0|0|3.3437482860000003|-0.00790478|5.351858133|2|0.118047355|0.735584095|0.008996289|10.31321689|-0.031279567|2|0.009675528|-0.253318853|-0.376350719|0.7763406840000001|0.7830067820000001|-0.050707765|0.7317531540000001|1|-0.059168372|-0.085840335|0.033831691|-42.29008971|-61.35364811|24.18091285|52.63180108|80.67170209999999|-0.029653934|-43.85199724|17.28310144|114.237062|0.575880959|-30.226481300000003|85.20135045|-21.19489662|66.47100256|0.46995189|3209.330728|634.0697778|2339.533586|-15.14887177|0.8866211979999999|7308.229822|303.1354708|-833.1879476|770.8206617000001|23.84770234|0.0|0.0|1.0|1.0|1.0|3.49|26.0|3.48|2.42|2.0|1.0|133.27|0.0|1.0|-5.8|34.0|0.0|3.39|-5.08|0.000753|0.0038799999999999|3.52|2.49e-08|1.17e-05|-0.06925|-1858.957788|366.09|366.09|0.6956600000000001|-1858.668058|0.4106|-0.13734|5.2331|-0.20659|-1858.733603|6.7584|8.3595|8.3595
14i_a23|0.0|0|1|0.0|0.0|0|3.2692375460000003|-0.010148243|5.351858133|2|0.040408197|0.7151570629999999|0.002243702|10.31321758|-0.026731172|2|0.002496501|-0.033435987|-0.569707595|0.77007911|0.8025091329999999|-0.04255066|0.7333675390000001|1|-0.0889593869999999|-0.096562208|0.0214262489999999|-60.8283953|-66.02703063|14.65077903|324.811841|151.83084580000002|-0.039760909|-45.14777443|10.01786784|93.48624142|0.7780956840000001|-41.59306642|79.20815775|-27.18760085|75.47917433|0.478050606|3097.406945|531.9462982|2447.1741030000003|-18.59026006|0.915894552|7030.347905|151.7330992|-948.103263|693.3423458|13.18112713|0.0|0.0|1.0|0.0|2.0|2.64|26.0|2.57|2.28|1.0|1.0|128.38|1.0|1.0|-5.21|33.0|1.0|2.61|-4.39|0.00278|0.0183|2.46|1.11e-07|5.03e-05|-0.08025|-1798.64228|335.72|335.72|0.55606|-1798.371346|0.3639|-0.1509599999999999|5.9563|-0.23121|-1798.434186|8.3755|8.4622|8.4622
17e_a50|0.0|0|1|0.0|0.0|2|4.3906140030000005|-0.0020746479999999|5.82008293|2|-0.011278897|2.2384546640000003|0.012036705|10.94500663|-0.114420412|2|0.012372059|-0.310566368|-0.229030473|0.7596299459999999|0.7409645029999999|-0.202197068|0.736221185|1|-0.046347299|-0.073011385|0.012865274|-32.24487658|-50.7956915|8.950665784|10.68364489|48.62532158|-0.02665495|-35.33972521|6.227183052000001|86.98647608|0.803671114|-22.43349867|57.93079973|-18.5444588|41.19554236|0.489797496|2883.936138|647.0975667|1981.934841|-12.90180444|0.960006062|6301.28046|136.5904997|-812.8136797000001|904.3172644|7.135108233|0.0|1.0|1.0|1.0|0.0|4.23|20.0|4.23|2.91|2.0|0.0|138.0|0.0|1.0|-4.87|33.0|0.0|4.03|-5.18|0.00589|0.00288|4.08|4.63e-08|2.03e-05|-0.03156|-1375.295877|307.67|292.6|0.6322800000000001|-1374.927998|0.1785|-0.16649|6.7175|-0.19805|-1374.992422|8.8326|6.8097|6.8097
