molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|PPSA1|WNSA2|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12bd_a36|0.0|0|0|3.497517322|0|7.412764017000001|2|2|1.297043358|0.0|-0.051990612|-0.006695407|0.04625323|0.025649557|0.0|-0.4017244129999999|10.94639828|-0.0288761339999999|1|0.042808724|-0.101854847|-0.436345273|0.902377067|0.78699829|-0.011529973|0|0.832478093|-0.071083327|-0.099460046|0.279020022|-46.92083391|11.7156452|83.92365468|0.167521907|-0.035521445|-43.33557909|7.733288012999999|0.0|-30.9716039|-23.44707102|58.63647911|2772.776922|549.5039111000001|-1313.035977|-15.47699253|143.6066496|-866.7115819|-372.868829|1678.127264|0.0|0.0|1.0|0.0|-7.34|3.76|69.2|2.45|133.68|1.0|5.0|-4.54|4.0|-6.38|0.0|1.0|2.42|-4.6|0.0117|0.0102|0.0|0.0|4.55e-08|-0.05236|3.8786|3.79|3544.0|-1311.560669|706.26|349.84|0.4467|319.66|568.94|0.69411|0.7044100000000001|-1311.291779|-1311.352257|7.6908|17.0|7.7696|7.7696
12av_a36|0.0|0|0|3.4520047430000003|0|7.412764017000001|2|2|1.297042752|0.0|0.049150854|-0.009925128|0.04250591|0.06882889|0.0|-0.605432791|10.96037173|-0.039627578|1|0.1168328169999999|-0.126068378|-0.507136551|0.859938421|0.8076780109999999|-0.018133027|0|0.752447733|-0.082283524|-0.105593135|0.277834652|-57.31621925|15.09249582|99.2415672|0.247552267|-0.035197712|-51.2347934|10.51297704|124.9387725|-39.92474833|-24.51766365|72.40871507|3011.024457|524.1323793|-1397.506828|-17.07826447|228.5327731|-973.4610746|-239.5042702|2079.880404|0.0|0.0|1.0|0.0|-6.93|2.38|98.3|1.49|138.06|1.0|7.0|-3.54|5.0|-7.66|0.0|0.0|1.47|-3.64|128.0|0.0997|0.0|0.0|1.1800000000000001e-07|-0.05307|4.8408|4.5|3.4402|-1440.945099|733.21|360.39|0.6698|256.12|588.31|0.43212|0.70455|-1440.67411|-1440.738332|6.1075|39.0|7.4089|7.4089
14j_a23|0.0|1|1|0.0|2|7.423568444|0|0|1.197963927|3.278390512|0.074424082|-0.006327927|0.046283951|0.037350515|0.722606603|-0.322724299|10.31321824|-0.055708465|2|0.087218599|-0.073945564|-0.463194548|0.616699629|0.800643488|0.143567854|1|0.8454521620000001|-0.062203032|-0.082226482|0.226990358|-40.35191855|13.28905737|40.38957571|0.154547838|-0.034989992|-34.60325668|8.620784882999999|83.17168000000001|-26.17681598|-22.69846456|53.64097592|2943.385528|548.455847|-1066.827834|-14.72479008|146.63044480000002|-692.0651337|-355.4521561|1378.388999|0.0|1.0|1.0|1.0|-7.67|3.78|105.02|3.4|120.24|1.0|5.0|-5.58|5.0|-6.31|0.0|0.0|3.77|-5.11|0.00114|0.00332|0.0|0.0|2.14e-08|-0.07581|3.6671|3.72|3.6671|-1729.1379190000002|670.6|338.1|0.3886|338.1|528.18|0.65128|0.65128|-1728.9293280000002|-1728.988797|8.3233|4.0|8.3883|8.3883
9c_a31|0.0|0|0|3.410619646|0|7.765993078999999|1|1|0.610135804|0.0|0.031715924|-0.013082561|0.03482906|-0.0384827639999999|0.0|-0.6933757159999999|10.311698300000002|-0.062737615|2|-0.062065125|-0.138799714|-0.546598398|0.8083148840000001|0.842823186|-0.000533581|0|0.6746901059999999|-0.103325018|-0.128097622|0.287455956|-65.84728287|19.30758668|153.5739377|0.325309894|-0.035867334|-52.02424796|12.30439782|552.8237349999999|-41.96335759|-22.85764436|85.15486955|2592.448925|429.9685721|-1142.882218|-14.56678943|209.8466636|-728.3394714|-217.5897278|1703.9715989999995|1.0|1.0|1.0|1.0|-7.24|5.64|117.37|1.08|108.16|1.0|8.0|-5.23|5.0|-6.53|0.0|1.0|3.32|-4.16|0.00233|0.0277|0.0|0.0|5.79e-08|-0.03249|3849.0|4.94|3849.0|-1618.115927|691.3|322.12|0.2554|322.12|588.58|0.7007399999999999|0.7007399999999999|-1617.892493|-1617.9568470000002|2.2323|0.42|6.3768|6.3768
3l_a32|0.0|1|1|3.672194822|0|7.773594467000001|0|1|0.609420748|0.0|-0.003342759|-0.0054004|0.035643275|-0.039331295|2.259257465|-0.270019992|10.31100268|-0.107818594|3|-0.068876714|-0.04980249|-0.524711546|0.820540279|0.751853889|-0.136589369|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|-40.30321333|7.120934925|61.72183119|0.114441512|-0.028831823|-29.90181954|4.141107366|0.0|-23.43792428|-16.76685351|47.42414825|2453.759435|514.9875423000001|-771.2752615|-9.750593329|123.148785|-448.5272931|-335.2422712|978.4817724|0.0|1.0|1.0|1.0|-7.5|7.34|110.94|2.64|110.16|1.0|3.0|-7.6|3.0|-4.71|1.0|1.0|5.04|-6.01|9.59e-06|0.0003689999999999|0.0|0.0|3.16e-08|-0.0529799999999999|3.5319|4.21|3.5319|-1789.4501510000002|629.26|351.04|0.2876|351.04|468.81|0.70282|0.70282|-1789.242839|-1789.298086|5.7721|12.0|7.9208|7.9208
21_a47|0.0|1|1|0.0|1|6.86171134|0|0|1.408713027|1.2247108|0.072733799|-0.010650348|0.037801932|-0.034419528|1.028199909|-0.511216716|10.95058272|0.057225853|1|-0.090969103|-0.1049885469999999|-0.5406500129999999|0.612295986|0.826796636|-0.080213904|1|0.70582155|-0.082614966|-0.095249919|0.3188717339999999|-46.63227351|12.83540744|34.75044485|0.29417845|-0.033866638|-30.34731959|7.244985517000001|47.95893876|-26.32173133|-19.11612865|59.46768095|2691.697803|398.4031618|-860.2257893999999|-10.79015808|200.4681737|-485.55711339999993|-163.5167523|1334.003357|1.0|1.0|1.0|1.0|-7.7|2.94|84.73|2.97|104.49|1.0|6.0|-4.44|6.0|-6.58|0.0|1.0|3.43|-4.32|0.0142|0.0191|0.0|0.0|1.98e-08|-0.06339|3917.0|4.43|3917.0|-1375.028093|583.37|316.53|0.2249|316.53|441.93|0.68296|0.68296|-1374.858663|-1374.914223|4.9172|5.0|8.3|8.3
13j_a6|0.0|0|0|3.409065702|0|7.412764017000001|1|1|1.430640326|0.0|0.0353600779999999|-0.015004989|0.041728395|0.07522656|0.0|-0.855284356|10.95129557|-0.047513534|1|0.121750719|-0.045418125|-0.562698347|0.8744720490000001|0.783333463|-0.063948098|0|0.6229641429999999|-0.120219472|-0.129511589|0.205764388|-80.33128667|20.78979124|180.6709018|0.377035857|-0.046428683|-57.82670518|13.89184843|114.6910805|-53.67779048|-31.02389141|101.1210779|2907.3053210000003|416.2679342|-1644.266245|-20.73032827|144.22085800000002|-1098.707398|-379.7635712|2096.832152|1.0|1.0|1.0|1.0|-8.5|4.16|115.15|1.18|120.17|1.0|6.0|-5.03|5.0|-6.81|0.0|1.0|2.82|-4.48|0.00398|14.0|0.0|0.0|3.18e-09|-0.0488899999999999|3.6504|4.94|3.5599|-1426.520775|712.52|348.28|0.2857|339.64|555.0|0.69993|0.7045100000000001|-1426.272674|-1426.335207|10.9731|262.0|6.5817|6.5817
26_a47|0.0|1|1|0.0|1|6.86171134|0|0|1.304328272|1.06819297|0.11828578|-0.012090143|0.045681818|-0.110530752|0.956774672|-0.544056455|10.94972213|0.0081426509999999|1|-0.24731748|-0.035472095|-0.5899218279999999|0.6850994429999999|0.845040087|-0.11288313|1|0.7104381999999999|-0.098127284|-0.101679756|0.549740398|-57.01987795|12.13564316|9.608109253|0.2895618|-0.038735145|-34.3326642|7.0517889060000005|60.07342336|-33.13315474|-22.50824805|69.15552111|2625.572598|412.8219782|-945.3464183|-13.07911017|164.0744453|-549.3226272|-252.9318822|1317.300461|1.0|1.0|0.0|1.0|-7.22|2.84|98.72|2.59|104.8|1.0|4.0|-4.86|5.0|-6.51|0.0|1.0|3.18|-4.56|0.00545|11.0|0.0|0.0|5.97e-08|-0.06279|4.7963|4.37|3992.0|-1696.075481|592.84|310.58|0.3197|258.5|443.78|0.50921|0.68707|-1695.9387359999998|-1695.993821|4.8242|13.0|7.9|7.9
6g_a40|0.0|0|0|0.0|1|8.421342866|1|2|0.604893315|1.628664494|0.102683335|-0.022381557|0.039863946|-0.120745388|0.607999575|-1.09669629|10.30179936|-0.251161616|2|-0.221674172|0.0312035079999999|-0.588058458|0.8316888240000001|0.832499949|0.075283207|1|0.605346707|-0.164941808|-0.156296046|0.400587529|-107.2113398|11.53799852|328.78166810000005|0.3946532929999999|-0.059045173|-66.03405036|7.499640603|47.36081569|-69.68682788|-38.37906336|118.7493383|3142.74733|393.4722933000001|-1727.0578510000005|-24.9461968|114.2663866|-1122.578856|-421.4621621|2095.424743|0.0|1.0|0.0|1.0|-2.87|3.43|213.89|0.59|124.18|3.0|5.0|-7.22|7.0|-7.02|1.0|0.0|2.37|-4.71|2.87e-05|0.00917|1.0|0.0|0.0013599999999999|-0.08622|3.3197|7.38|2.8135|-2521.990118|669.8|440.68|0.4971|373.48|514.77|0.58454|0.5794199999999999|-2521.8114530000003|-2521.87499|8.9454|47.0|7.3279|7.3279
4i_a46|0.0|0|0|0.0|1|7.825245291|1|1|1.1346370959999998|2.184105962|-0.167244168|-0.002360192|0.049498645|-0.088884176|0.0|-0.127450387|10.94638684|-0.125773054|1|-0.133434195|-0.060809732|-0.22302552|0.7204791309999999|0.749522825|-0.0656636|0|0.940780437|-0.058565229|-0.075208437|0.263514985|-33.08099617|8.847405392999999|67.51603424|0.0592195629999999|-0.025069479|-23.99628633|4.997521397|70.55661087|-18.68604171|-14.16067794|41.92840157|2200.19132|531.4066842|-722.1945751000001|-7.998762108999999|133.40134070000002|-407.9368676|-298.0546045|945.4890404|0.0|1.0|1.0|1.0|-7.3|4.79|39.94|3.06|105.43|1.0|3.0|-4.94|3.0|-5.31|0.0|1.0|4.16|-5.04|0.00403|0.00317|0.0|0.0|5.04e-08|-0.01646|5.3987|4.46|4.4232|-1092.70435|611.74|280.31|0.2805|229.66|546.24|0.41877|0.69035|-1092.473422|-1092.528145|3.8696|612.0|6.2132|6.2132
