molecula|SddssS|NaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|MOMI-Z|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
14i_a23|0.0|0|2|7.423568444|0|0|1.197963212|3.2692375460000003|0.142566578|-0.010148243|5.351858133|0.040408197|0.7151570629999999|0.002243702|10.31321758|2|0.002496501|-0.017918675|-0.033435987|-0.569707595|2|0.77007911|0.8025091329999999|0.158023239|-0.04255066|0.864206467|0.7333675390000001|1|-0.096562208|0.266320368|0.0214262489999999|-60.8283953|324.811841|151.83084580000002|-0.039760909|0.7780956840000001|-2.027806362|-41.59306642|79.20815775|-27.18760085|75.47917433|0.478050606|2447.1741030000003|15.53342127|0.915894552|151.7330992|-948.103263|-380.3109456|1782.001457|693.3423458|13.18112713|0.0|0.0|1.0|1.0|3.56|2.64|0.04|3.12|148.11|1.0|128.38|1.0|1.0|-5.21|33.0|454.51|0.0|2.61|-4.39|0.0183|0.0|0.0|5.03e-05|-0.08025|3.6931|4.64|-1798.608335|715.68|335.72|0.3639|580.74|0.55606|0.55606|0.3639|-0.1509599999999999|-0.23121|0.03394466|-1798.434186|8.4622
1_a15|0.0|0|0|0.0|0|0|1.419940974|0.0|-0.22215316|-0.0084598019999999|0.0|0.06459652|0.0|0.001244652|10.95880609|0|0.003816011|-0.1816819589999999|-0.270248221|-0.34192045|2|0.836466114|0.705825714|0.101406325|-0.001544849|0.74357498|0.795437721|0|-0.1117462069999999|0.7100707390000001|0.026214985|-44.01415991|121.3844816|80.34898605|-0.031142386|0.605927517|-1.899685524|-28.45664402|90.40184737|-20.13460632|60.96303497|0.437969049|2855.495631|11.7078005|0.77926144|254.7811976|-794.0799704|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|1.0|1.0|1.0|3.91|4.18|0.19|6.32|74.73|3.0|132.94|0.0|0.0|-6.55|34.0|457.52|0.0|4.68|-5.97|0.000495|0.0|0.0|4.36e-08|-0.04142|4.3834|4.68|-1510.117336|697.35|385.18|0.2464|598.34|0.64662|0.70553|0.0061|-0.1365|-0.17792|0.01894559|-1509.851127|7.3565
12s_a36|0.0|1|0|7.412764017000001|2|2|1.297044029|0.0|-0.057853364|-0.007059109|5.351858133|0.037454164|0.0|0.002951176|10.95352614|1|0.003962098|-0.104118159|-0.1763783589999999|-0.434472457|1|0.90414347|0.8060798779999999|-0.118671653|-0.086791463|0.856677627|0.856274847|0|-0.1000534719999999|0.4314309979999999|0.019457471|-46.58030248|110.6090028|109.5085883|-0.035868226|0.754198383|-1.901015959|-30.06529118|76.34126108|-23.15117315|59.13914165|0.4604765839999999|2294.468358|13.98635088|0.853487672|158.6528381|-791.9759303|-328.1450742|1626.909053|662.0530478999999|11.76167282|1.0|0.0|0.0|1.0|4.85|0.0|0.17|2.19|69.2|1.0|128.72|0.0|1.0|-4.16|30.0|395.46|1.0|2.14|-4.3|0.02|0.0|0.0|4.270000000000001e-05|-0.04908|3.8751|3.48|-1272.236664|683.24|329.71|0.4501|523.72|0.6843600000000001|0.6928|0.0002|-0.15559|-0.20467|0.03416928|-1272.061111|8.0458
12k_a36|0.0|1|0|7.412764017000001|2|2|1.297043952|0.0|-0.076124222|-0.0071232019999999|5.351858133|0.096315593|0.0|0.002782748|10.94908765|1|0.003724542|-0.095253274|-0.1619981409999999|-0.4373676689999999|1|0.90500247|0.811903388|-0.09344781|-0.102077284|0.8647233590000001|0.856135378|0|-0.101946803|0.367754573|0.018067063|-49.87227128|46.79001927|103.5614526|-0.037758075|0.7806817009999999|-2.038936068|-32.84907515|78.24529096|-24.86988906|61.7723974|0.478908312|2294.707886|13.89698356|0.919048073|144.457092|-884.5687799000001|-369.7499256|1720.258086|698.847203|11.0965905|1.0|0.0|0.0|1.0|4.89|0.0|0.12|2.42|69.2|1.0|133.84|0.0|1.0|-4.58|31.0|407.47|1.0|2.37|-4.55|0.0115|0.0|0.0|3.94e-05|-0.0497|5053.0|3.83|-1310.312649|697.92|338.46|0.3116|530.51|0.5249199999999999|0.70031|0.0908|-0.15053|-0.20023|0.03274587|-1310.134752|7.8539
IN1166_a11|0.0|1|0|6.842683282|0|0|1.429020445|0.0|-0.089778965|-0.006882528|4.727387819|0.018376555|1.643912856|-0.003356527|10.95053349|1|-0.001446486|-0.126749697|-0.223618825|-0.462344944|2|0.841211811|0.765593573|0.102257199|-0.067328767|0.827254552|0.790249345|1|-0.0896538619999999|0.551933595|0.0200246639999999|-51.07061499|112.0066065|94.40543077|-0.031642539|0.694302821|-1.6137695069999998|-35.26269962|76.76995134|-21.84820685|64.89703387|0.463497159|2953.475057|12.63334911|0.8639230290000001|211.0745642|-769.3614916|-268.3203251|1604.859603|676.2770877|14.86669859|1.0|1.0|1.0|1.0|3.51|2.79|0.08|4.53|103.17|1.0|123.82|0.0|0.0|-5.11|32.0|417.47|0.0|3.31|-4.78|0.00688|0.0|0.0|2.75e-08|-0.07275|4.9857|3.36|-1347.256659|704.48|377.7|0.3425|554.63|0.4358399999999999|0.6998300000000001|0.1239|-0.13823|-0.21098|0.04189898|-1347.073528|7.9318
13h_a6|0.0|1|0|6.842683282|0|0|1.424099498|0.0|-0.094781725|-0.006619944|4.727387819|0.060987639|1.656132209|-0.002407131|10.95053423|1|-0.000644109|-0.12414699|-0.215607882|-0.468842137|2|0.836982172|0.780222427|-0.0256002129999999|-0.164411111|0.8391892870000001|0.789769968|1|-0.091977068|0.300800177|0.017441348|-51.85624128|77.20799814|92.37313621|-0.032362302|0.736918588|-1.747564296|-36.26429338|76.78735663|-22.63172141|64.05338768|0.461667017|2829.19698|16.928040300000003|0.8575863490000001|183.9790404|-854.6524332|-331.36552|1658.40973|744.1359788|12.4656221|1.0|1.0|1.0|1.0|3.64|3.03|0.12|4.79|103.17|2.0|128.63|0.0|0.0|-5.56|33.0|431.49|0.0|3.61|-5.06|0.0038|0.0|0.0|1.15e-08|-0.07435|4.8701|3.83|-1386.569017|738.61|365.52|1.0978|591.53|0.50716|0.69001|0.2121|-0.14097|-0.2153199999999999|0.04469058|-1386.3651|7.3279
12_a1|0.0|1|0|7.423568444|1|1|1.430936075|0.0|-0.0455890429999999|-0.011221829|5.351858133|0.076867966|0.0|-0.0038943009999999|10.94945122|1|-0.001416381|-0.104622651|-0.173618873|-0.487073772|1|0.8016064479999999|0.749817035|-0.045776997|-0.093957115|0.817998205|0.7534284040000001|0|-0.104724018|0.210514881|0.033770552|-55.99493147|133.6600817|136.3310784|-0.039894864|0.724666653|-1.675584287|-32.50125347|74.99749378|-23.15625812|75.59644237|0.46449367|1825.150911|14.34104294|0.867391557|159.81230209999998|-564.5066541|-260.8074567|1342.083063|473.040639|14.21231622|1.0|1.0|1.0|1.0|3.29|2.72|0.05|4.41|83.82|2.0|103.47|0.0|1.0|-4.98|28.0|366.37|0.0|3.44|-4.75|0.00649|0.0|0.0|2.3e-06|-0.07042|3734.0|3.67|-1216.099134|607.42|390.57|0.5867|482.51|0.69114|0.69763|0.2821|-0.12874|-0.19916|0.0296752|-1215.975876|5.5302
5_a27|0.0|0|2|6.823286122000001|0|0|1.4026035369999998|3.2927747860000003|0.126882432|-0.0063562359999999|4.727387819|-0.149034787|1.271687295|0.00991794|10.93772408|1|0.010329671|-0.2030237389999999|-0.341622797|-0.4982037479999999|2|0.639413469|0.760083119|0.180356685|-0.020087122|0.8149212259999999|0.614205449|1|-0.085078576|0.333977277|0.01695771|-29.50048722|10.48961936|77.37301579999999|-0.030385206|0.741481472|-1.276178645|-15.54640123|53.51978325|-16.01263727|38.43699603|0.439066197|1254.531539|10.98289851|0.7827415529999999|136.2361487|-354.41560810000004|-254.5156507|907.0095354|424.8821143|8.684398894|0.0|0.0|1.0|0.0|3.07|3.11|0.16|2.8|65.6|0.0|97.55|0.0|1.0|-3.61|25.0|331.37|1.0|2.82|-4.01|0.0324|0.0|0.0|0.0002|-0.04554|4.0989|4.9|-1083.124207|566.68|302.48|0.2448|463.87|0.64548|0.64548|0.2448|-0.16952|-0.21506|0.01903872|-1083.019748|8.5229
3f_a32|0.0|1|0|7.773594467000001|0|0|0.6094207770000001|0.0|0.0067550119999999|-0.00611496|5.733341277|-0.062954205|2.227330929|0.001276735|10.31100273|3|0.002565215|-0.074808287|-0.133675401|-0.5487283829999999|0|0.833981748|0.820782305|-0.110248899|-0.1743238839999999|0.871865543|0.786074011|1|-0.097374443|0.3217719189999999|0.011897886|-41.40131823|47.97543149|71.02334697|-0.030139709|0.78919828|-1.265867765|-23.34192893|61.47296003|-16.99267001|48.1093075|0.435176082|2130.756016|10.89495051|0.770463268|118.8493262|-402.3773138|-326.0981041|904.3255145|475.3634141|6.573564628|1.0|1.0|1.0|1.0|3.9|3.31|0.28|5.63|110.94|2.0|102.66|0.0|1.0|-6.89|24.0|354.49|0.0|4.63|-5.4|0.0014|0.0|0.0|1.73e-05|-0.05315|3.5569|3.92|-1712.034952|604.9|348.58|293.0|488.74|0.70255|0.70255|293.0|-0.1474599999999999|-0.2006099999999999|0.02606687|-1711.9193289999998|8.0458
19c_a38|0.0|1|0|7.412764017000001|2|2|1.297043851|0.0|-0.085545751|-0.008177185|5.351858133|0.02192428|0.0|-0.004442319|10.95429182|1|-0.002443797|-0.09493054|-0.20848518|-0.434836855|1|0.7163622890000001|0.846765471|0.073931688|-0.071918235|0.908721232|0.6885713729999999|0|-0.108301657|0.396635872|0.024315945|-57.79749770000001|139.1570837|151.612258|-0.038224114|0.7187071909999999|-1.949429829|-36.38913762|82.74311399|-24.06579196|73.10674676|0.477803802|2660.812979|13.36189552|0.914989047|177.10114030000005|-772.7394084|-275.39483110000003|1707.726604|640.025745|14.55670345|1.0|0.0|1.0|1.0|4.84|3.0|0.13|2.42|105.02|1.0|130.41|0.0|1.0|-4.35|32.0|426.45|0.0|2.57|-4.12|0.0322|0.0|0.0|5.14e-05|-0.05691|5.8832|3.23|-1424.3899310000002|652.09|323.53|0.2961|517.28|0.2597|0.6279899999999999|0.1417|-0.15612|-0.21303|0.03740877|-1424.247603|8.0348
