molecula|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|SaaaC|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|PNSA4|TASA|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
32_a47|1|6.842683282|1|1|1.216307925|-0.1746026239999999|-0.003573735|4.727387819|3|1.6507707980000002|10.95005715|-0.044598914|1|1|0.002350172|-0.0274939029999999|-0.077485193|-0.157688306|-0.2749014|0.810444864|-0.0094137619999999|0.858292442|0.634406338|1|-0.0726950079999999|0.266433793|-41.57905445|13.90468487|28.55112477|0.148372218|-0.026060474|-37.74862456|10.01980854|0.64116122|-18.77935151|613.6886524|0.35883878|8.656942728999999|15.53902041|0.794977846|6235.398576|258.5816152|-717.2238666000001|29.28959351|0.022735861|1552.348456|682.9868225|16.38361254|1.0|1.0|2.0|3.35|3.67|0.26|21.0|4.18|5.07|67.66|2.0|125.17|0.0|1.0|5.0|-4.81|5.0|436.91|0.0|1.0|-5.05|0.00674|8.89e-06|0.0038799999999999|3.7|6.55e-07|-0.05682|4.9046|3.6829|-1778.0970140000002|692.49|1184.76|336.65|548.86|0.48011|-1777.843462|0.2839|0.03062031|-1777.90286|7.0
12bd_a36|0|7.412764017000001|2|2|1.297043358|-0.051990612|-0.006695407|5.351858133|2|0.0|10.94639828|-0.0288761339999999|1|1|0.0045625|0.042808724|-0.101854847|-0.169994208|-0.436345273|0.78699829|-0.011529973|0.833398429|0.857993338|0|-0.099460046|0.279020022|-46.92083391|11.7156452|83.92365468|0.167521907|-0.035521445|-43.33557909|7.733288012999999|0.78244124|-23.44707102|549.5039111000001|0.21755876|8.050812711|15.34283166|0.905749421|5957.939097|143.6066496|-866.7115819|29.96655829|0.015363883|1678.127264|729.1873176|10.14142465|1.0|1.0|2.0|4.95|0.0|0.21|17.0|3.76|2.5|69.2|1.0|133.68|0.0|1.0|5.0|-4.54|4.0|409.49|1.0|1.0|-4.6|0.0117|2.5e-05|0.0102|3.41|1.86e-05|-0.05236|3.8786|3544.0|-1311.560669|706.26|1200.23|349.84|568.94|0.69411|-1311.291779|0.0058|0.03110617|-1311.352257|7.7696
12ae_a36|0|7.412764017000001|2|2|0.299253957|0.069118289|-0.009867085|5.351858133|2|0.0|10.31810353|0.006615826|1|1|-0.001160331|0.151620635|-0.15024383|-0.261631709|-0.513686975|0.831101086|-0.0931249669999999|0.8837136859999999|0.750657639|0|-0.105648609|0.439268891|-63.96145017|17.78605328|96.60079598|0.2837586789999999|-0.036430555|-58.64180087|13.25108213|0.6849975640000001|-27.14173115|533.6188092|0.315002436|8.676756505|16.22570287|0.870019385|7331.209763|234.6851816|-1172.836017|39.62310606|0.025570256|2298.140152|805.2286932|19.05051961|0.0|1.0|3.0|5.03|0.0|0.17|17.0|1.28|2.15|123.75|1.0|142.02|0.0|1.0|7.0|-3.85|6.0|474.54|0.0|0.0|-3.72|0.0668|0.0001889999999999|0.0897|1.64|6.45e-05|-0.0548899999999999|5235.0|3.8664|-1876.152311|754.15|1281.69|320.67|615.71|0.40141|-1875.897072|0.3366|0.0508577|-1875.963244|7.8239
12f_a31|0|7.765993078999999|1|1|0.6101347579999999|0.034876922|-0.011835152|5.733341277|0|0.0|10.31169747|-0.0164221939999999|2|2|0.000889251|0.068054139|-0.130400541|-0.205011573|-0.551471017|0.8167107029999999|-0.021938988|0.8530975000000001|0.7730604259999999|0|-0.118239376|0.262896936|-68.14417693|19.26761061|159.84734269999998|0.299007775|-0.0337826789999999|-57.54866283|13.44201623|0.686882955|-23.56842919|489.0460499|0.313117045|9.859605078|19.05849748|0.932987917|5845.744358|218.4455813|-920.7786053|34.31214739|0.021559868|1921.480254|713.5657448|15.04120547|1.0|1.0|2.0|3.86|3.78|0.41|16.0|6.43|4.48|117.37|3.0|117.78|0.0|1.0|10.0|-5.98|5.0|426.53|0.0|1.0|-4.63|0.0004469999999999|2.37e-05|0.0101|3.82|4.06e-06|-0.03317|3.8305|3.8305|-1696.741889|755.33|1258.6|323.68|665.22|0.7006600000000001|-1696.466804|0.2664|0.04363832|-1696.53373|6.8861
18a_a25|0|6.842683282|0|0|1.194229606|-0.151473962|-0.0029953159999999|4.727387819|2|2.050257213|10.31286118|-0.019985937|1|1|0.007325341|0.106305991|-0.037072518|-0.06333068|-0.2936794219999999|0.7385460309999999|-0.039007784|0.792935475|0.7291583840000001|1|-0.078181889|0.341320954|-37.07961488|6.317215793|75.74077952|0.068371614|-0.03097773|-34.36707071|4.188358905|0.817072039|-20.53845469|617.676232|0.182927961|7.39539242|14.59524518|0.973559258|6523.923911999999|121.2825364|-721.7084848|25.136651|0.011486699|1332.242503|759.4953883|7.615762647|1.0|1.0|1.0|3.5|3.43|0.08|27.0|5.89|5.72|87.72|2.0|133.85|0.0|1.0|6.0|-6.33|3.0|435.54|0.0|1.0|-5.77|0.000202|1.71e-06|0.000744|4.76|7.28e-08|-0.05591|5.4965|3.1711|-1675.2501519999998|694.17|1229.09|390.98|556.26|0.2834|-1674.982248|0.0027|0.02456497|-1675.04368|7.0269
5_a18 (BIBF0775)|0|7.03438793|2|2|1.251175715|0.0160123|-0.005220163|4.844187086|1|0.0|10.94702058|-0.022817602|0|0|0.0036739159999999|-0.054916741|-0.144352593|-0.216531385|-0.453086741|0.7395978390000001|-0.001626287|0.774859029|0.7061155790000001|0|-0.078246932|0.420002762|-52.09190866|6.418873637000001|10.36586529|0.156764132|-0.029755876|-44.61038661|4.846666751|0.8159410579999999|-22.46761997|636.6978809999999|0.184058942|9.798677372|18.98829281|0.937842434|7221.114573000001|138.97646310000002|-1204.480438|27.535837|0.010831199|1955.044427|1140.896548|8.178259299999999|0.0|1.0|2.0|4.42|0.0|0.32|18.0|4.09|3.69|76.5|3.0|155.95|0.0|1.0|8.0|-6.07|3.0|494.63|1.0|0.0|-5.72|0.000425|1.91e-06|0.000946|4.73|3.06e-07|-0.04938|3.2027|3.2027|-1572.290174|817.02|1446.02|378.13|691.68|0.69298|-1571.843719|0.4825|0.02305362|-1571.914419|7.4685
3b_a32|1|7.758333467000001|0|0|0.609420808|0.046791596|-0.007388108|5.733341277|0|2.21541916|10.31100281|0.10614163|3|3|0.00020567|-0.078754696|-0.0791178979999999|-0.151445075|-0.536470812|0.800396027|0.094335058|0.866250192|0.7725667079999999|1|-0.100355499|0.2719741|-35.8437493|7.180211702|74.63320519|0.159260619|-0.033451833|-24.14971513|3.522270202|0.764128338|-16.40987746|412.4267349|0.2358716619999999|5.765940603|10.69254007|0.854431185|4448.251276|115.707414|-265.6468664|21.47528975|0.0154889019999999|708.6845618|323.0421997|7.59811844|1.0|1.0|1.0|3.11|2.57|0.13|19.0|6.25|4.43|110.94|1.0|88.24|0.0|1.0|2.0|-5.73|3.0|312.41|0.0|1.0|-4.65|0.0005809999999999|2.23e-05|0.00697|3.71|9.97e-05|-0.05396|3.5545|3.5545|-1594.095192|524.46|857.0|348.81|396.83|0.70257|-1594.0008779999998|0.2905|0.02589511|-1594.049677|8.2366
5_a27|0|6.823286122000001|0|0|1.4026035369999998|0.126882432|-0.0063562359999999|4.727387819|2|1.271687295|10.93772408|-0.013448351|1|1|0.010329671|-0.250776983|-0.2030237389999999|-0.341622797|-0.4982037479999999|0.760083119|0.180356685|0.8149212259999999|0.614205449|1|-0.085078576|0.333977277|-29.50048722|8.936508815|10.48961936|0.146821224|-0.030385206|-23.6277072|4.709432444|0.741481472|-16.01263727|449.6149323|0.258518528|6.160679036|10.98289851|0.7827415529999999|4943.51602|136.2361487|-354.41560810000004|21.59546513|0.016479312|907.0095354|424.8821143|8.684398894|0.0|0.0|0.0|3.07|3.11|0.16|21.0|2.94|2.8|65.6|0.0|97.55|0.0|1.0|2.0|-3.61|4.0|331.37|1.0|1.0|-4.01|0.0821|9.78e-05|0.0324|2.58|0.0002|-0.04554|4.0989|4.0989|-1083.124207|566.68|955.22|302.48|463.87|0.64548|-1082.967639|0.2448|0.01903872|-1083.019748|8.5229
19_a3|0|6.605297921|0|0|1.4316666480000002|-0.206312209|-0.003417504|4.59511985|3|1.744747103|10.96959256|0.036226415|1|1|0.006731579|-0.015805561|-0.037291767|-0.066245471|-0.270506095|0.758995484|-0.0150769919999999|0.8264237520000001|0.687139108|1|-0.087730634|0.225451546|-31.50932639|5.419662458|161.5312186|0.146982098|-0.032585664|-19.01853079|2.523394126|0.75798185|-15.17188084|397.1650228|0.24201815|5.342307798999999|10.21110415|0.911365749|4138.413977|112.6836188|-247.2409002|20.01615321|0.016552404|700.5653624|314.0966684|7.706796952|1.0|1.0|1.0|2.81|1.6|0.06|21.0|3.9|3.39|67.35|0.0|85.32|0.0|1.0|2.0|-3.24|4.0|287.32|1.0|1.0|-3.58|166.0|0.000266|0.0764|2.19|1.7800000000000002e-05|-0.05757|3945.0|3945.0|-929.2608626|499.93|832.23|314.28|362.92|0.67351|-929.14689|0.3006|0.020989746|-929.193831|7.6383
14i_a23|1|7.423568444|0|0|1.197963212|0.142566578|-0.010148243|5.351858133|2|0.7151570629999999|10.31321758|-0.026731172|2|2|0.002496501|0.075401108|-0.017918675|-0.033435987|-0.569707595|0.8025091329999999|0.158023239|0.864206467|0.7333675390000001|1|-0.096562208|0.266320368|-60.8283953|14.65077903|324.811841|0.222047267|-0.039760909|-45.14777443|10.01786784|0.7780956840000001|-27.18760085|531.9462982|0.221904316|8.107659819|15.53342127|0.915894552|7030.347905|151.7330992|-948.103263|34.94120504|0.019276934|1782.001457|693.3423458|13.18112713|0.0|1.0|2.0|3.56|2.64|0.04|26.0|2.57|3.12|148.11|1.0|128.38|1.0|1.0|6.0|-5.21|5.0|454.51|0.0|0.0|-4.39|0.00278|4.03e-05|0.0183|2.46|5.03e-05|-0.08025|3.6931|3.6931|-1798.608335|715.68|1224.02|335.72|580.74|0.55606|-1798.371346|0.3639|0.03394466|-1798.434186|8.4622
