molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC7i|MATS1i|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
12x_a36|0.0|1|0|0.0|0|7.412764017000001|0.629399587|0.0|-0.058295476|-0.007008724|5.351858133|2|0.021670322|0.0|-0.40650598|-0.054184069|-0.023932402|1|0.038200407|-0.07550872|0.828393514|0.056034339|-0.041914045|0.8792981679999999|0.855081905|-0.0737521679999999|0.3403819629999999|0.017625524|-49.60929169|-70.20305027|0.163597165|110.0434027|-0.036722107|0.8295471390000001|-1.982993755|-33.36962015|81.1499815|61.46507585|0.458792701|2884.428214|-1333.8579550000002|2391.802689|0.223146459|8.770758009|0.847720832|-897.2176739|31.79630645|0.016274369|725.9470896|1.0|0.0|1.0|2.0|4.87|0.0|0.17|17.0|-7.05|3.33|94.5|2.51|0.0|135.47|1.0|4.0|427.52|0.0|0.0|-4.51|0.0061|3.09e-05|0.0132|3.19|8.95e-08|3.83e-05|-0.05311|3.8776|3.37|3.7364|719.63|1209.23|569.01|0.6853600000000001|-1670.182026|0.0199|5.6653|-0.2048199999999999|0.03331471|7.2812|7.0|8.1549
16_a31|0.0|1|0|0.0|0|7.758333467000001|0.61013894|0.0|0.152128735|-0.020181753|5.733341277|0|-0.050076586|0.0|-0.726543099|-0.00795845|0.06214876|2|-0.0897217219999999|-0.053194463|0.8318419909999999|-0.038841601|0.0980869569999999|0.8948140790000001|0.8944757390000001|-0.142079397|0.29485045|0.0374314139999999|-66.9420327|-70.82239128|0.4535498739999999|213.694252|-0.050105055|467.7901274|-1.653466811|-31.54036284|83.86629191|84.57819254|0.427771627|2071.962924|-779.0463041|1212.615438|0.26919564|5.521618837|0.747554032|-367.0549296|32.30339751|0.027684692|280.39844320000003|0.0|1.0|1.0|2.0|3.2|1.93|0.14|16.0|-4.94|3.8|114.29|0.78|0.0|80.57|2.0|4.0|300.34|0.0|1.0|-3.6|0.0131|0.000254|0.0762|2.32|1.16e-05|0.00347|-0.0318899999999999|3.6596|1.7|3.6596|503.18|818.1|369.73|0.70108|-1308.113026|0.2534|3.7419|-0.1842|0.03948619|5.5943|0.09|7.0458
20a_a10|0.0|0|0|0.0|1|7.535296702|1.343837243|2.113798134|-0.0774974029999999|-0.0034618129999999|5.4161004020000005|2|-0.035536682|1.896409603|-0.197323337|-0.010695558|0.011011878|1|-0.058994157|-0.049146504|0.755429696|0.036092601|0.019448804|0.817646497|0.63495222|-0.066386563|0.591835899|0.013618456|-43.19189039|-47.37850712|0.086318664|56.1599532|-0.028008251|47.01787447|-1.456429076|-28.10115947|58.1398225|52.05222074|0.452402751|2998.608651|-947.5701424|2021.669282|0.266548108|8.419180593|0.826159649|-616.5004457|24.84485067|0.016540298|719.5272609|1.0|0.0|1.0|0.0|3.48|3.63|0.11|27.0|-9.44|5.06|76.62|2.53|0.0|126.35|1.0|5.0|429.47|0.0|1.0|-5.59|0.000888|2.56e-06|0.0011|4.36|3.61e-10|1.55e-07|-0.06611|4.7841|3.98|3.8312|696.63|1200.92|524.02|0.50193|-1388.897416|107.0|2.9429|-0.2274199999999999|0.03217287|3.2116|1.2|5.9208
33_a20|0.0|0|0|0.0|1|6.842683282|1.4175014119999998|1.915285809|-0.188733405|-0.00145476|4.727387819|2|0.148855442|2.0219022580000003|-0.078557022|-0.061975089|-0.062750442|1|0.248715569|-0.036258691|0.74131936|-0.0854333469999999|-0.10978034|0.802353442|0.607038752|-0.058927252|0.399354817|0.012738882|-38.58254635|-45.72654913|0.0506104|33.13709773|-0.0265385579999999|64.93395624|-1.326927921|-25.26187502|54.60811436|46.92331405|0.465855239|2737.8873550000003|-868.8044333999999|2274.654579|0.240643818|8.062843544|0.8721516570000001|-568.84864|22.88265911|0.013564844|664.4562602999999|1.0|0.0|1.0|0.0|3.39|3.59|0.08|27.0|-9.69|5.33|67.39|2.61|0.0|121.62|1.0|4.0|401.46|0.0|1.0|-5.53|0.000997|2.98e-06|0.0012|4.47|2.04e-10|8.199999999999999e-08|-0.0582899999999999|5443.0|4.07|3.8867|689.51|1174.95|563.98|0.27375|-1275.602977|0.0463|3.5714|-0.21788|0.02957286|5.0369|34.0|7.4685
8_a4|0.0|0|0|0.0|1|7.535296702|1.304250488|2.126514848|-0.208165266|-0.001277205|5.4161004020000005|2|-0.072752231|1.987684188|-0.056197036|-0.011835327|0.05775266|1|-0.1193184819999999|-0.048133994|0.813333185|-0.07377839|0.097165358|0.879500982|0.576540652|-0.05397993|0.546157592|0.0103751219999999|-27.90231822|-33.90618946|0.074867554|38.69916707|-0.024598141|37.17889653|-0.983925625|-14.42275611|41.57817329|33.26523662|0.428884426|2297.5526170000003|-508.5928419|1737.932042|0.273845898|5.695730546|0.750959081|-262.8925116|17.50981094|0.0148422489999999|434.9654405|1.0|1.0|1.0|0.0|2.99|3.19|0.15|21.0|-7.78|4.63|43.6|2.93|0.0|100.13|1.0|3.0|346.81|1.0|1.0|-4.84|0.0156|1.46e-05|0.00506|3.74|1.65e-08|5.72e-06|-0.05864|5.3544|3.29|3.9863|561.6|949.09|391.01|0.30471|-1450.071352|0.0642|4.5781|-0.22685|0.0252645|5.7488|54.0|7.2676
13b_a50|0.0|0|1|0.0|2|7.934155233999999|1.267593379|4.253030728|-0.067327798|-0.003876697|5.82008293|2|-0.0204949039999999|2.117002752|-0.263615417|-0.042022102|-0.054716607|2|-0.03182432|-0.173463805|0.788327682|-0.041506802|-0.097736369|0.828965118|0.71935296|-0.051509874|0.435064196|0.019899348|-36.81915624|-57.74541064|0.093835987|67.07377798|-0.026928544|150.45293569999998|-1.696498291|-26.31826007|70.09526468|51.04317051|0.4321103879999999|3036.874979|-1212.6536230000002|2147.355856|0.299589696|9.514897025|0.7609056040000001|-866.8024118999999|27.48170624|0.017277404|900.2031356000001|1.0|1.0|1.0|0.0|4.78|4.17|0.37|20.0|-7.23|4.24|66.99|2.52|0.0|133.36|1.0|5.0|455.55|0.0|0.0|-5.1|0.0044|7.92e-06|0.00361|3.91|5.87e-08|2.68e-05|-0.02606|4.2315|3.63|4.1161|780.4|1339.39|617.26|0.65332|-1470.039226|0.1553|5.5271|-0.19622|0.03156473|7.1645|1.83|5.7375
9d_a31|0.0|1|0|0.0|0|7.765993078999999|0.61013528|0.0|0.036844743|-0.012442213|5.733341277|0|-0.057650507|0.0|-0.696763933|-0.0938310919999999|-0.021171445|2|-0.091744753|-0.134504227|0.8343242820000001|-0.030275712|-0.0375445629999999|0.873955169|0.771222772|-0.098210975|0.3655337879999999|0.029032453|-66.96024848|-81.53295088|0.305664196|208.401866|-0.033844766|560.5224416|-1.793772606|-45.65350116|97.84665015|86.75457645|0.457506946|2654.377004|-1222.994263|1932.363213|0.336380477|9.436176796|0.8433415740000001|-833.8375571|34.77197803|0.023927395|647.1500428999999|1.0|1.0|1.0|2.0|3.8|3.35|0.38|16.0|-7.63|6.04|117.37|1.31|0.0|112.97|1.0|5.0|412.51|0.0|1.0|-4.39|0.0010199999999999|4.06e-05|0.0167|3.46|2.3500000000000002e-08|9.69e-06|-0.03457|3.8478|5.0|3.8478|727.27|1202.79|630.49|0.7006899999999999|-1657.1791449999998|0.2611|2.6311|-0.19426|0.04331056|3.5077|0.6|6.2218
1e_a5|0.0|1|0|0.0|0|6.605297921|1.427503886|0.0|-0.260066152|-0.001975193|4.59511985|2|-0.080321049|0.0|-0.084933308|-0.1197834419999999|-0.040441176|1|-0.133677441|0.034752304|0.771487328|0.045376705|-0.075239398|0.834250802|0.6977404359999999|-0.06795194|0.373935381|0.008587563|-35.30075748|-36.22202792|0.1194205|62.03846573|-0.0278901329999999|0.0|-1.115605324|-18.33860051|44.38364879|39.76196174|0.482579989|2107.092939|-579.5524467|827.4861275000001|0.2526063739999999|6.41473183|0.932665879|-301.0751483|19.38578369|0.0157106539999999|409.0289917|1.0|1.0|1.0|1.0|2.83|2.17|0.05|23.0|-8.41|4.99|54.46|2.13|0.0|95.45|1.0|3.0|312.37|1.0|1.0|-4.45|0.0174|3.5600000000000005e-05|0.0111|3.43|3.87e-09|1.21e-06|-0.04186|4746.0|3.17|4.4292|560.58|935.47|427.87|0.56258|-990.471803|0.1355|1916.0|-0.22291|0.0313740589999999|3.0386|191.0|6719.0
12e_a30|0.0|0|0|0.0|0|7.412764017000001|0.604984231|0.0|-0.0026669809999999|-0.0077937519999999|5.351858133|2|-0.010682095|0.0|-0.444243861|0.005418617|-0.055954785|1|-0.018475151|-0.089279071|0.8246767140000001|0.002248768|-0.097868612|0.876441789|0.7933543279999999|-0.07914783|0.407218612|0.024254701|-52.50202674|-65.04681137|0.183296295|121.5880081|-0.035153347|0.0|-1.863127413|-34.82676424|80.10232244|68.59117243|0.46715936|2920.484542|-1235.889416|2392.685958|0.292879147|8.069355055|0.8767337279999999|-819.8165288|32.97692061|0.022696477|704.0353382000001|1.0|0.0|1.0|1.0|4.72|0.0|0.17|17.0|-6.74|3.89|90.88|2.51|0.0|133.77|1.0|5.0|428.51|0.0|0.0|-4.93|0.00154|1.19e-05|0.0050799999999999|3.84|1.84e-07|7.87e-05|-0.05044|5.0412|3.58|3.4747|709.98|1201.05|562.76|0.3304|-1690.030824|151.0|5551.0|-0.19804|0.03344515|6.1598|11.0|7.9431
41_a47|0.0|0|1|0.0|1|6.842683282|1.420292383|1.840145925|-0.225923786|-0.004083905|4.727387819|3|-0.080388467|1.601942802|-0.187859623|0.024881402|0.075316535|1|-0.178132441|-0.1430639269999999|0.8417952740000001|0.08640454|0.123676975|0.900915114|0.609110565|-0.061101947|0.245948366|0.018348892|-34.50740631|-50.81597048|0.1768315369999999|99.86584673|-0.02929561|0.0|-1.259711209|-19.48810377|63.84353454|44.86996758|0.447046066|2374.594252|-711.4235867000001|1073.170368|0.346852185|7.168742909|0.8084689140000001|-401.77742|25.33076615|0.023067788|439.9906467|1.0|1.0|1.0|1.0|3.18|3.18|0.16|21.0|-7.47|3.34|68.52|1.75|0.0|99.09|1.0|5.0|348.38|1.0|1.0|-3.9|0.0929|0.000125|0.0436|2.49|3.36e-08|1.17e-05|-0.05053|4.0167|2.41|3.7144|603.1|995.43|471.9|0.6779|-1162.288187|0.2504|4.9162|-0.2026099999999999|0.02982752|6.8546|0.01|8.0
