molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA5|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|DPSA4|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
11b_a31|1|0|0|0.0|0|0.610137403|0.0|0.078614731|5.733341277|-0.172248605|0|0.043380952|-0.078907688|-0.014385937|-0.1488994619999999|10.31169957|2|-0.010716217|-0.129901143|-0.101934423|0|0.834596039|0.067031897|-0.074254978|0.889561759|0.7943850720000001|0|0.545458754|-0.148709304|0.26165445|-82.80602396|286.7721447|253.1028809|-0.044612791|-46.10900197|87.78853803|0.669723835|-1.784511651|100.3071755|0.473305522|2410.572158|-993.6722875|1756.711832|-13.83270059|0.330276165|0.8986339170000001|183.9081702|37.09261324|1483.70453|1.0|1.0|1.0|1.0|2.0|3.41|2.29|16.0|-5.45|4.67|3.25|125.57|0.79|92.51|0.0|2.0|5.0|-4.74|25.0|6.0|0.0|-3.75|1.82e-05|0.000178|0.0|0.0|0.00128|-0.03574|3.8437|3.8437|-1520.085181|969.71|322.57|0.2634|322.57|479.66|0.70073|0.70073|-1519.909742|0.2634|0.04215313|-1519.967224|6.2757
4d_a49|0|0|0|0.0|1|1.343847746|2.097463308|-0.06085453|5.4161004020000005|-0.058204482|2|0.036555556|-0.090862681|0.000607064|-0.053327669|10.92777282|1|0.001356445|-0.151004418|0.000511959|2|0.783870915|-0.008564167|0.023137464|0.834151595|0.749565191|1|0.752634646|-0.085966608|0.410804214|-52.95392476|85.21839288|152.3727245|-0.0281044679999999|-32.61868996|57.16412513|0.654728051|-1.461432343|66.51766234|0.470013152|2658.242991|-900.2167208999999|1640.195062|-10.66380249|0.3452719489999999|0.8868392740000001|212.6814716|26.44129877|1374.947536|0.0|1.0|1.0|1.0|2.0|3.38|2.68|21.0|-7.58|3.16|2.8|98.72|1.25|115.63|0.0|1.0|6.0|-3.13|30.0|5.0|0.0|-3.35|0.000743|0.0004509999999999|0.0|0.0|1.05e-05|-0.06309|5.7447|3.8047|-1293.333712|1144.04|325.87|0.2549|215.82|495.7|0.40593|0.6782100000000001|-1293.049085|0.0879|0.0395418|-1293.107454|7.7447
14z_a23|0|1|1|0.0|2|1.197960872|3.305974434|0.08752343|5.351858133|-0.024897956|2|0.04314059|0.038811869|0.009174505|-0.0438568409999999|10.31321795|2|0.007229683|0.0708381429999999|-0.069023218|2|0.802520527|0.10796308|-0.035965909|0.8668730109999999|0.64069202|1|0.925301102|-0.079754981|0.228957475|-55.54823244|40.18308023|52.02674091|-0.03393829|-38.68856944|79.960755|0.785604449|-1.595099623|66.77741935|0.474697407|3094.698027|-1110.964649|2692.627452|-16.46322104|0.214395551|0.903664694|149.3235124|30.08835522|1414.152695|0.0|1.0|0.0|1.0|1.0|3.42|3.67|26.0|-8.57|4.64|5.32|105.02|3.99|130.3|0.0|1.0|5.0|-6.77|32.0|4.0|0.0|-6.13|1.7e-07|7.37e-07|0.0|0.0|1.29e-06|-0.08503|4032.0|3.6632|-2549.107748|1221.92|338.46|0.3201|307.5|586.28|0.66217|0.69913|-2548.895003|0.2917|0.01238131|-2548.957384|8.2941
11_a33|1|1|1|0.0|0|0.609352951|0.0|-0.151505631|5.6869753560000005|-0.039406316|0|0.034984568|0.055664124|-0.003303432|0.143981643|10.31100126|3|-0.00103193|0.105574347|-0.122478641|0|0.85401347|0.003391835|-0.014463304|0.921896958|0.781083337|1|0.857287241|-0.104881435|0.229250542|-50.94714637|45.43139569|69.3240686|-0.030847481|-24.74805685|0.0|0.552878386|-1.048814353|68.11455221|0.4673066279999999|2220.315582|-509.4714637|979.349175|-7.278840251|0.447121614|0.8772525659999999|217.193541|27.10262364|921.4892038|1.0|1.0|1.0|1.0|1.0|3.19|2.31|19.0|-6.23|5.77|4.13|120.17|0.89|89.77|0.0|1.0|3.0|-5.48|22.0|4.0|0.0|-4.38|3.32e-06|4.13e-05|0.0|0.0|0.000194|-0.05806|3.5049|3.5049|-1669.324638|858.89|353.74|0.5408|353.74|378.1|0.70381|0.70381|-1669.202327|0.5408|0.02055276|-1669.251123|8.3188
4d_a46|0|0|0|0.173086735|1|1.134637067|2.146507937|-0.1397563859999999|5.587248657999999|-0.017469934|2|0.047736111|-0.131948546|0.0116902869999999|-0.111025108|10.96333164|1|0.010756749|-0.206000242|-0.0814707009999999|2|0.764741337|-0.213089038|-0.103199079|0.8075680409999999|0.623144956|0|0.936057958|-0.070772596|0.290035518|-38.85529917|8.241078584|35.10521457|-0.024616555|-21.33218735|74.62074724|0.813427965|-1.132361533|43.60839351|0.441136013|2181.291783|-621.6847867|2233.65548|-7.419891252999999|0.186572035|0.7893441379999999|102.4310631|16.6147308|764.2776167999999|1.0|1.0|1.0|1.0|0.0|3.78|3.5|17.0|-7.41|4.81|5.11|43.6|2.84|101.75|0.0|1.0|2.0|-4.93|25.0|3.0|0.0|-5.11|1.18e-05|7.8e-06|0.0|0.0|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.4265|-1453.840712|1009.78|280.09|0.1313|280.09|503.76|0.69884|0.69884|-1453.635434|0.1313|0.02292966|-1453.688943|6.2865
13_a47|1|1|1|0.0|0|1.417757826|0.0|-0.174238791|4.59511985|-0.0777650159999999|2|0.036632997|-0.047120094|-0.00105415|0.003874205|10.9452934|1|-0.000211465|-0.108780879|-0.0101047869999999|2|0.794037882|0.030290722|0.065869272|0.8582665429999999|0.626280497|1|0.781675563|-0.088128939|0.244975411|-45.39284663|63.12660940000001|112.453046|-0.032468557|-23.38063458|0.0|0.688261242|-1.23380515|57.38622954|0.472007922|2190.316257|-635.4998528|669.2729199|-8.613918003|0.311738758|0.8939678120000001|160.5682509|24.29844849|923.3410426|1.0|0.0|1.0|1.0|2.0|2.9|1.75|21.0|-7.9|4.06|4.63|66.49|2.34|91.59|0.0|1.0|3.0|-4.24|24.0|4.0|0.0|-4.27|5.79e-05|5.41e-05|0.0|0.0|4.04e-06|-0.05465|4.0302|4.0302|-1067.820961|895.21|307.63|0.3382|307.63|404.73|0.67466|0.67466|-1067.665127|0.3382|0.03639189|-1067.71601|7.8
1b_a5|1|0|0|0.0|0|1.4258024619999998|0.0|-0.250420203|4.59511985|-0.061874543|2|0.0248765429999999|-0.095857885|0.003886035|0.001241264|10.94890233|1|0.003708988|-0.220946861|0.019611905|2|0.759794937|0.122747292|-0.054153474|0.827319059|0.558485747|0|0.808828623|-0.077221824|0.341795323|-38.87394276|168.30518769999998|96.23685048|-0.031306145|-19.56938257|0.769931305|0.7324812509999999|-1.158327367|48.55415504|0.474445758|2171.716467|-583.1091414|919.9167129|-7.933533473|0.267518749|0.90275317|134.6705884|21.51550842|796.0738116|1.0|0.0|1.0|1.0|1.0|2.75|1.81|23.0|-8.3|4.88|4.76|54.46|2.29|90.44|0.0|1.0|3.0|-3.97|24.0|4.0|0.0|-4.3|0.000106|4.970000000000001e-05|0.0|0.0|1.58e-06|-0.04135|4789.0|4.6481|-1050.538976|892.61|266.74|0.3101|258.89|388.58|0.5153800000000001|0.43728|-1050.413506|87.0|0.03246637|-1050.462425|7.2291
15_a47|1|1|1|0.0|0|1.304329657|0.0|-0.164258919|4.59511985|-0.072588375|2|0.042285714|-0.130885389|-0.0026314909999999|0.086682657|10.9497222|1|-0.002377481|-0.299654464|-0.007670908|2|0.830688568|-0.131424138|0.081171071|0.897881853|0.614613723|1|0.791753677|-0.0904066519999999|0.429825305|-48.36220049|61.0548099|111.3994409|-0.033307714|-25.87091101|0.0|0.711630105|-1.265693121|59.79410145|0.477646539|2327.320914|-677.0708068|869.1027727|-9.531388265|0.288369895|0.914412511|154.260803|25.03780079|951.4364299|1.0|0.0|1.0|1.0|2.0|2.89|2.1|21.0|-8.49|4.69|5.28|66.49|2.83|96.6|0.0|1.0|3.0|-4.89|25.0|4.0|0.0|-4.85|1.29e-05|1.41e-05|0.0|0.0|1.14e-06|-0.0591799999999999|4.3312|4.0594|-1527.4104|930.51|305.43|0.2828|286.26|419.75|0.67203|0.68008|-1527.265523|0.0759|0.03425526|-1527.316555|7.8
11a_a5|1|0|0|0.0|0|1.212363224|0.0|-0.165418719|4.59511985|0.052217882|2|0.021060606|-0.052944925|0.007993132|-0.1301505359999999|10.94877942|1|0.007955512|-0.081506|0.003975818|2|0.73344478|-0.037220974|-0.0489811909999999|0.773417838|0.7410766209999999|0|0.89343434|-0.071517578|0.369563711|-51.09940261|61.32301293|76.14130253|-0.026223112|-36.51058972|14.47576249|0.740865275|-1.573386716|61.4470419|0.466436596|2727.027899|-1124.186857|1170.247903|-13.38721623|0.259134725|0.874191508|185.1520983|25.28995251|1517.39715|0.0|0.0|1.0|1.0|1.0|3.53|3.68|23.0|-9.93|6.38|6.55|63.69|3.05|128.51|0.0|1.0|7.0|-7.25|32.0|4.0|1.0|-6.4|5.63e-08|3.95e-07|0.0|0.0|5.019999999999999e-08|-0.03694|4.4033|4.0938|-1339.8362619999998|1272.7|302.86|0.5473|281.57|578.8|0.6735|0.65363|-1339.493223|0.1838|0.03340977|-1339.555805|7.0915
11g_a5|1|0|0|0.0|1|1.388236041|1.984996534|-0.204002571|5.209486153|0.009272269|2|0.020943152|-0.083337229|0.00599982|-0.137618073|10.94877951|2|0.006964153|-0.14133011|-0.137739838|2|0.814159231|-0.075382189|-0.01453517|0.8737292720000001|0.73551511|0|0.837943738|-0.076326887|0.396049407|-50.16001519|68.77977167|106.4990972|-0.025442296|-32.96383785|0.0|0.543581314|-1.297557078|71.21847290000001|0.485790997|2823.738452|-852.7202582999998|935.4227938|-10.98794595|0.456418686|0.944734523|299.94631180000005|30.75897687|1568.70782|1.0|1.0|1.0|1.0|1.0|3.17|2.34|28.0|-9.04|4.17|4.48|81.51|1.06|118.35|0.0|1.0|7.0|-4.12|31.0|5.0|0.0|-4.31|7.65e-05|4.88e-05|0.0|0.0|3.770000000000001e-07|-0.04322|4.5106|4.2083|-1330.189793|1180.25|294.62|0.4609|274.87|542.13|0.56924|0.63081|-1329.927772|0.2403|0.04557484|-1329.988893|7.5229
