molecula|NaaNH|n9FaRing|SssssC|NaasN|nARing|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1i|n6aHRing|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PNSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|Mor01p|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
13l_a6|1|0|0.0|0|1|1.4242139390000002|0.0|-0.0143011819999999|-0.132667824|1|0.0408037829999999|0.090187973|-0.858070925|-0.009326562|10.95129637|-0.086595185|1|-0.073210645|1|0.7908110340000001|-0.1470289659999999|0.84018367|0.827754203|0|-0.118071236|-0.126521431|-82.24617981|182.8275745|0.3569010139999999|-0.0451862259999999|-61.3913735|118.3485042|-2.53042863|-57.29112645|-31.47586631|103.1523329|0.4257335779999999|2967.923804|-1762.648513|3127.831037|-21.92549054|0.206328863|15.34147837|0.7413520309999999|6462.086665999999|143.7247666|-1227.82747|39.65857501|741.5222707|1.0|1.0|3.64|2.22|23.0|3.8|115.15|1.39|1.0|0.0|0.0|-5.49|5.0|-6.59|441.48|0.0|0.0|1.0|-4.77|3.26e-06|0.0075599999999999|3.39|0.0|1.29e-09|3.6675|3.5499|-1465.865882|1249.13|349.26|0.7002|0.70515|-1465.560303|0.0165|-0.14562|-0.19447|0.03092407|-1465.624566|8.9893|385.0|6.4145|6.4145
8a_a50|1|1|0.0|1|1|1.39826105|2.03117465|-0.00439531|-0.021959577|1|0.03904321|-0.0224366579999999|-0.188998337|0.007671336|10.94501357|-0.058014797|2|-0.11385159|1|0.804535572|-0.095292123|0.8718949979999999|0.7135713840000001|1|-0.069208148|-0.08230347|-34.88425666|133.8183888|0.139123262|-0.031655181|-20.91041439|0.0|-1.234552044|-17.58335405|-15.95574341|44.36511568|0.46183401|2206.356773|-622.2739931|1503.563342|-8.042467074|0.248584287|10.69309012|0.858162757|4638.284496|125.2985144|-313.6562159|21.23424244|388.171611|0.0|1.0|3.34|2.01|20.0|3.71|59.39|2.02|0.0|0.0|0.0|-3.86|3.0|-6.12|313.36|0.0|1.0|1.0|-4.13|0.000138|0.0234|2.95|0.0|4.82e-07|5.622000000000001|4.1738|-1006.671867|912.7|297.06|0.3462199999999999|0.60625|-1006.508913|0.1217|-0.17244|-0.20051|0.03479985|-1006.557694|5.5319|47.0|7.3279|7.3279
12q_a36|1|0|0.0|0|2|1.29701394|0.0|-0.00761082|-0.043678703|2|0.042804233|0.068040097|-0.410984299|0.0005016269999999|10.9598352|-0.0433009009999999|1|-0.177407665|1|0.828371596|-0.074349074|0.8839272779999999|0.8065052890000001|0|-0.07607684|-0.1060430969999999|-49.18227989|82.68142965|0.17088073|-0.038175515|-44.31949385|0.0|-1.908775752|-31.79544084|-24.67976947|61.18276554|0.486620426|2786.514757|-1233.988474|2380.245597|-15.95501778|0.231307611|14.69971555|0.947876484|6040.52496|149.536123|-797.7508892000001|32.10617123|629.5017194000001|0.0|0.0|4.74|0.0|17.0|2.54|69.2|2.51|1.0|0.0|0.0|-4.44|4.0|-6.49|415.88|0.0|1.0|1.0|-4.59|3.64e-05|0.0106|3.31|0.0|6.65e-08|5.2375|3.8653|-1692.544456|1148.35|320.77|0.39919|0.6863199999999999|-1692.3116350000005|0.3419|-0.1566|-0.2126199999999999|0.03415678|-1692.370918|6.4226|6.0|8.2218|8.2218
6_a4|0|0|0.0|1|1|1.271761557|2.170234316|-0.001221193|0.010164572|2|0.035283951|0.042096749|-0.064723237|0.011457667|10.92992785|-0.208689928|1|-0.073630392|2|0.76089528|-0.340860215|0.810030118|0.664247086|1|-0.052396457|-0.0670158929999999|-29.18838891|14.1731579|0.054454162|-0.024618083|-20.7966895|45.93422613|-1.206286076|-16.25991695|-13.71394596|33.5125766|0.423084148|2342.371538|-671.9833521|1968.0178670000005|-7.639600225|0.1855291969999999|9.981741408|0.733355042|5256.215815|103.3523757|-374.340411|16.83786074|578.2065561000001|1.0|1.0|3.38|3.45|21.0|5.23|43.6|3.09|2.0|0.0|0.0|-4.91|3.0|-5.42|354.45|0.0|1.0|1.0|-5.11|1.24e-05|0.00274|4.28|0.0|1.04e-08|4.8714|4.0354|-1108.585859|1057.7|307.24|0.60542|0.5877|-1108.338577|0.0772|-0.16959|-0.2182599999999999|0.02244097|-1108.392115|3.2192|1.3|5.8861|5.8861
1h_a5|1|0|0.0|0|0|1.427564094|0.0|-0.001978474|-0.009075016|2|0.026339869|-0.02598568|-0.085074391|0.008031558|10.94466758|-0.044117647|1|0.0578378779999999|2|0.780175595|-0.082079343|0.8436458929999999|0.6977404359999999|0|-0.067599619|-0.069496749|-35.25675213|160.0744187|0.119359774|-0.027798699|-18.90429957|0.484419999|-1.111947978|-18.38824808|-14.49848188|39.84574434|0.489507204|2107.271793|-579.9392753|819.6979313999999|-7.561719827|0.2549450239999999|13.14687756|0.958891501|4334.547353|132.96722079999998|-302.4687931|19.45961351|409.0289917|0.0|1.0|2.8|2.07|23.0|4.51|54.46|2.13|0.0|0.0|0.0|-4.25|3.0|-5.77|312.37|0.0|1.0|1.0|-4.45|5.5700000000000005e-05|0.0111|3.43|0.0|3.87e-09|4652.0|4.3651|-990.6346565|934.7|284.03|0.4112699999999999|0.57155|-990.472129|0.1754|-0.17797|-0.21921|0.031392033|-990.523098|3.3752|28.0|7.5528|7.5528
7l_a46|0|0|0.256706467|1|1|1.160371354|2.1525548|-0.00090473|0.017668261|2|0.04006734|-0.203375108|-0.038903382|0.013150047|10.9642261|0.050638298|1|-0.143129469|2|0.7746144629999999|0.076724694|0.825629852|0.6539666829999999|0|-0.0565894359999999|-0.06289606|-27.30136533|8.13531199|0.092851886|-0.022013621|-14.63933792|51.39110437|-0.880544835|-13.17144326|-10.620390400000002|32.8948756|0.46327253|1920.310099|-424.8156159|1246.417766|-5.1237682730000005|0.32532919|9.825660656|0.863142947|4046.614178|156.9538706|-204.9507309|15.74158869|375.721552|0.0|1.0|3.04|2.64|17.0|3.59|43.6|1.89|0.0|0.0|0.0|-3.18|3.0|-6.22|290.36|0.0|1.0|1.0|-3.72|0.000668|0.0548|2.61|0.0|5.19e-07|4.5464|4.5464|-915.6081232|879.87|272.71|0.68834|0.68834|-915.446686|0.2024|-0.18993|-0.2231699999999999|0.025086919|-915.493986|3.9009|1.94|5.7122|5.7122
13m_a6|1|0|0.0|0|0|1.429020166|0.0|-0.010840005|-0.135152403|2|0.0446875|0.021526267|-0.628720289|-0.0093684169999999|10.9505335|-0.018628955|1|-0.118693789|2|0.7767360059999999|-0.031564227|0.832753533|0.82642394|1|-0.0989137669999999|-0.107644789|-68.97140339|91.22689385|0.2843875389999999|-0.0378750189999999|-52.33806464|95.67846949|-2.045251|-48.09294654|-26.40980394|81.92876874|0.48094941|2951.567781|-1426.129413|2574.030011|-18.41524497|0.263701|16.2526769|0.926594475|6412.592679|183.8755989|-994.4232282|35.8683143|724.3873672999999|1.0|1.0|3.59|2.18|27.0|3.76|122.47|0.81|1.0|0.0|0.0|-4.64|5.0|-7.23|435.48|0.0|0.0|1.0|-4.28|2.27e-05|0.0228|2.43|0.0|2.1499999999999998e-10|3.9127|3.3359|-1423.762467|1231.54|371.67|0.66475|0.64753|-1423.448957|0.1924|-0.13817|-0.20954|0.04955777|-1423.511471|6.5243|0.01|8.0|8.0
9g_a40|0|0|0.0|1|0|0.604992427|1.849105962|-0.0054957819999999|-0.0220464379999999|0|0.043730159|0.07954859|-0.225327061|0.011921308|10.31197177|-0.145879501|2|-0.062672355|0|0.764275277|-0.242405063|0.821935848|0.665414608|1|-0.063539055|-0.079033043|-33.47455057|65.74631496|0.09545843|-0.031197254|-21.93596333|64.08637519|-1.185495647|-17.63553984|-16.43578193|44.73159432|0.476386801|2169.234651|-624.5597134|349.4421673|-8.658932892000001|0.259759794|15.62271835|0.909806709|4435.743087|136.8503571|-329.0394499|22.20330888|384.6422631|0.0|1.0|2.8|1.78|22.0|2.93|72.28|0.64|0.0|0.0|0.0|-2.49|4.0|-7.17|302.33|0.0|1.0|0.0|-3.09|0.00323|247.0|1.37|0.0|3.720000000000001e-07|3.0778|3.0778|-1332.487689|923.42|402.84|0.70233|0.70233|-1332.31775|0.3563|-0.12765|-0.19005|0.01134289|-1332.369643|5063.0|3548.0|5.45|5.45
4n_a46|0|0|0.126268818|1|1|1.13463699|2.093595994|-0.004696854|-0.036492128|0|0.045335917|-0.2264394139999999|-0.234842682|0.004988019|10.94021058|-0.064683066|1|0.109017734|0|0.722331115|-0.088858764|0.7681452190000001|0.7427183759999999|0|-0.103381106|-0.085838139|-56.80797266|172.8490949|0.096854593|-0.031047837|-25.91889741|0.0|-1.459248362|-31.21601103|-17.06080312|61.43721285|0.428896538|2195.786424|-801.8577467|2116.313581|-9.374920341|0.136796337|9.921794991|0.750996215|4955.374473|75.1696593|-440.621256|19.76451658|525.8291956999999|1.0|1.0|3.75|2.84|17.0|4.94|61.84|2.99|1.0|0.0|0.0|-5.43|3.0|-5.26|343.42|0.0|1.0|1.0|-5.1|3.75e-06|0.00273|4.41|0.0|2.14e-07|5.7448|3953.0|-1090.343872|1011.66|313.65|0.41625|0.7025|-1090.098769|0.0711|-0.16641|-0.20685|0.04131598|-1090.151267|8773.0|5194.0|5.2845|5.2845
18c_a22|0|0|0.0|1|0|1.194229067|1.804590026|-0.003749104|0.013131848|2|0.038137255|-0.044828537|-0.213698903|0.005449965|10.31286086|0.006275578|1|-0.143402172|2|0.7669483559999999|0.010828071|0.8287956870000001|0.6922232890000001|1|-0.057956428|-0.076388478|-40.094865000000006|30.63947336|0.068926461|-0.028825841|-36.55965924|15.22791009|-1.52776956|-27.73804808|-19.94201893|53.82294919|0.4777430589999999|3090.601885|-1056.927003|2574.178324|-13.79609783|0.317309976|14.04085897|0.914766316|7101.057047|219.5183688|-731.1931848999999|29.21094233|779.8043336000001|1.0|1.0|3.56|3.3|27.0|4.98|124.4|1.47|1.0|1.0|0.0|-5.8|5.0|-6.63|461.54|0.0|0.0|1.0|-5.1|1.6e-06|0.0036799999999999|3.5|0.0|3.4299999999999995e-10|5655.0|3.7222|-1783.562578|1249.84|333.1|0.4609|0.60449|-1783.277296|0.0817|-0.15158|-0.22365|0.02279458|-1783.340519|1.0733|26.0|7585.0|7585.0
