molecula|NaaNH|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|WPSA3|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
26_a47|0|6.86171134|0|1.304328272|0.11828578|-0.200192886|0.045681818|-0.110530752|0.956774672|-0.544056455|-0.0098410169999999|-0.046771537|10.94972213|0.0081426509999999|1|1|-0.008325552|-0.035472095|-0.079370393|-0.5899218279999999|2|0.6850994429999999|-0.11288313|0.910081385|0.651797437|-0.098127284|-0.101679756|0.549740398|-57.01987795|12.13564316|9.608109253|7.0517889060000005|0.717639177|-1.626876095|73.39007585|69.15552111|0.474969855|2625.572598|-945.3464183|1341.904566|-13.07911017|0.282360823|0.90465254|5994.406615|-549.3226272|31.36429668|0.024619511|-252.9318822|1317.300461|457.1122177|1.0|1.0|0.0|1.0|2.0|3.13|-7.22|2.84|4.68|98.72|2.59|0.0|4.0|-4.86|28.0|-6.51|396.81|0.0|0.0|3.18|-4.56|1.3699999999999998e-05|0.00545|2.77e-05|3.12|0.0|4.7963|3992.0|-1696.096597|1006.59|0.3197|443.78|0.68707|77.0|-0.22921|0.02111593|-1695.993821|4.8242|13.0|7.9|7.9
14o_a23|0|7.423568444|0|1.197958066|0.18835477|-0.301504331|0.046090147|0.135737344|0.6669152279999999|-0.807407518|-0.002390707|-0.029012777|10.3132174|-0.049105045|2|2|-0.0004039459999999|-0.0962526|-0.2952674819999999|-0.653629157|2|0.598213287|0.000891427|0.861597051|0.575188253|-0.072435569|-0.094138958|0.328340215|-51.49843925|12.835973699999998|110.3941788|9.125801389|0.800301554|-2.165196042|80.64694246|64.33441296|0.48945652|3399.6213840000005|-1539.35724|2297.392496|-21.45909668|0.199698446|0.958697036|7967.617129|-1094.413931|37.71512766|0.019295686|-427.001863|1923.471511|676.4530574|0.0|1.0|0.0|1.0|1.0|3.55|-7.95|3.97|6.18|114.25|3.04|0.0|7.0|-6.89|35.0|-5.94|495.48|1.0|0.0|4.31|-6.0|1.29e-07|6.38e-05|1e-06|4.76|0.0|3.6989|3.6989|-2042.184285|1236.72|385.0|582.89|0.58581|385.0|-0.23229|0.02299729|-2042.000938|8.3591|3.0|8.4815|8.4815
9r_a24|1|6.605297921|0|1.353642494|-0.134192489|0.013567512|0.024179894|-0.17821765|0.0|-0.264490176|0.007861194|0.064425793|10.96129392|-0.043274854|1|1|0.008722018|-0.179075526|-0.2920573039999999|-0.3018627239999999|3|0.786430472|-0.120617935|0.841805128|0.7526889940000001|-0.0618978309999999|-0.082022572|0.32720212|-41.49802275|10.4302588|71.31566881|6.992734796000001|0.6152148279999999|-1.394383716|70.79264457|51.92828155|0.473403843|2644.462265|-934.8335183|958.7578093|-11.60626518|0.384785172|0.898988412|5501.824326|-626.7383196000001|28.13932796|0.02357068|-154.486433|1519.52371|670.2247423|1.0|1.0|1.0|1.0|1.0|3.53|-8.66|4.23|3.93|79.82|1.02|0.0|8.0|-4.02|30.0|-6.83|400.48|0.0|0.0|2.98|-4.06|9.58e-05|0.0383|8.77e-05|2.69|0.0|4.4722|4.2877|-1294.486221|1199.71|0.3398|616.11|0.6204|0.0029|-0.21074|0.03426339|-1294.263358|3.0322|11.0|7.9586|7.9586
9_a10|0|7.535296702|1|1.377786667|-0.096384071|-0.032199235|0.03590535|-0.048732912|1.754798254|-0.285441469|0.007316125|-0.1189611519999999|10.92721632|-0.1048161059999999|1|1|0.007847998|-0.1475423119999999|-0.239634564|-0.362724972|2|0.7141481129999999|-0.000865755|0.837889476|0.692424727|-0.057690053|-0.084348428|0.6816795959999999|-40.90513782|9.815155744|86.66800495|6.959437141|0.73129178|-1.686968561|71.07688871|50.72029356|0.45291714|2904.874289|-1196.145223|2284.568215|-14.37503199|0.26870822|0.827876677|6606.83687|-848.1268877|27.72306267|0.015893979|-327.9949188|1635.660698|816.3832816|1.0|1.0|1.0|1.0|1.0|4.0|-7.93|3.69|3.68|75.94|1.81|0.0|7.0|-4.23|33.0|-6.87|438.52|0.0|1.0|3.07|-4.44|5.920000000000001e-05|0.0259|3.64e-05|2.97|0.0|5.5668|3.7309|-1410.041793|1278.57|0.4138|631.5|0.68962|0.0041|-0.21163|0.03583924|-1409.764013|4942.0|193.0|6.7144|6.7144
6b_a40|0|8.421342866|1|0.604892326|0.135693438|-0.069975812|0.039863946|-0.137534783|0.6899826|-0.698480566|-0.003851208|0.0986825569999999|10.30179924|-0.226457281|2|2|-0.004728928|-0.018582337|-0.033583055|-0.630957955|0|0.691778838|0.003163118|0.90571269|0.6462648870000001|-0.107699967|-0.118488624|0.417254814|-72.13527644|9.771129787|176.8246355|6.544506614|0.878140798|-2.132795227|87.29061302|81.90640622|0.442509019|3214.047452|-1428.503435|4049.386572|-22.2507658|0.1218592019999999|0.793750992|8482.600495|-956.7829293|37.83107469|0.011838681|-506.5422338|1626.736212|618.8882797|0.0|1.0|0.0|1.0|1.0|4.02|-5.21|5.67|4.38|173.43|2.61|1.0|5.0|-8.41|31.0|-5.85|511.42|1.0|0.0|4.21|-6.18|3.86e-09|1.98e-06|6.55e-07|5.03|1.0|3.1026|3.1026|-3290.775349|1183.07|0.4962|552.01|0.69429|0.4962|-0.21904|0.03026498|-3290.648012|11.3203|0.03|7.5229|7.5229
3p_a32|1|8.02059915|1|0.609420752|0.007752757|-0.028895521|0.036666667|-0.050639647|2.1365141480000003|-0.419292538|-0.000971341|-0.111150118|10.31100269|-0.074544773|3|3|0.000920756|-0.146606489|-0.26891009|-0.53666614|0|0.737842269|0.058054833|0.918782026|0.6956696440000001|-0.070907174|-0.098773656|0.366898545|-41.73212799|12.5150622|40.28175307|7.365688817|0.6199678829999999|-1.28405753|73.07639870000001|54.24719019|0.416240891|2650.4178850000003|-755.7268222|3037.061498|-10.10863498|0.380032117|0.713035367|5960.446219|-444.779939|27.70403125|0.025390655|-141.21321609999998|1218.977375|530.5658569|0.0|1.0|1.0|1.0|1.0|3.38|-6.79|6.06|3.71|131.25|1.1|0.0|4.0|-5.11|27.0|-6.8|395.5|0.0|0.0|3.23|-4.25|7.78e-06|0.00308|5.629999999999999e-05|2.7|0.0|3.6436|3.6436|-1879.554272|1057.58|0.3083|471.04|0.7017100000000001|0.3083|-0.20018|0.02642856|-1879.406962|5.4496|26.0|7585.0|7585.0
14ad_a23|0|7.423568444|0|1.197962774|-0.1101542319999999|-0.028065075|0.0444129979999999|0.118047355|0.735584095|-0.4663820279999999|0.008996289|-0.05348283|10.31321689|-0.031279567|2|2|0.009675528|-0.143336826|-0.253318853|-0.376350719|2|0.7763406840000001|0.165157698|0.8356326820000001|0.7317531540000001|-0.059168372|-0.085840335|0.224009311|-42.29008971|24.18091285|52.63180108|17.28310144|0.575880959|-1.630966366|85.20135045|66.47100256|0.46995189|3209.330728|-1165.7193140000002|2339.533586|-15.14887177|0.424119041|0.8866211979999999|7308.229822|-833.1879476|36.80430179|0.033365494|-108.4705382|2024.236598|770.8206617000001|0.0|1.0|1.0|1.0|1.0|3.73|-7.6|3.48|4.03|123.48|2.42|0.0|7.0|-5.8|34.0|-6.68|471.53|0.0|0.0|3.39|-5.08|1.6e-06|0.000753|8.22e-06|3.52|0.0|3.3867|3.3867|-1858.957788|1287.26|0.4106|618.01|0.6956600000000001|0.4106|-0.20659|0.01481488|-1858.733603|6.7584|4.0|8.3595|8.3595
8_a4|0|7.535296702|1|1.304250488|-0.208165266|0.03148225|0.038726287|-0.072752231|1.987684188|-0.056197036|0.010647563|-0.011835327|10.9295757|0.05775266|1|1|0.009595591|-0.048133994|-0.078942941|-0.150276481|2|0.619844116|-0.07377839|0.879500982|0.576540652|-0.05397993|-0.065595042|0.546157592|-27.90231822|5.362918401|11.02158946|2.772101712|0.7261541020000001|-0.983925625|41.57817329|33.26523662|0.428884426|2297.5526170000003|-508.5928419|1737.932042|-6.572312789|0.273845898|0.750959081|5162.482272|-262.8925116|17.50981094|0.0148422489999999|-233.7988862|700.3924376|434.9654405|1.0|1.0|1.0|1.0|0.0|2.99|-7.78|4.63|4.76|43.6|2.93|0.0|2.0|-4.35|25.0|-5.76|346.81|0.0|1.0|3.85|-4.84|4.49e-05|0.0156|1.46e-05|3.74|0.0|5.3544|3.9863|-1450.239105|949.09|0.1687|391.01|0.57675|0.0642|-0.22685|0.0252645|-1450.121028|5.7488|54.0|7.2676|7.2676
14a_a5|1|6.605297921|1|1.226142247|-0.056730193|-0.005002101|0.027375887|-0.132625457|0.0|-0.316624785|0.002956745|-0.086229994|10.9488747|0.024793388|1|1|0.003668464|-0.010147323|-0.016337128|-0.36152442|2|0.7333482170000001|0.144729708|0.847379958|0.71006207|-0.080875277|-0.078681402|0.4398855029999999|-54.69145586|11.74431806|134.62273080000003|7.942029745|0.629783335|-1.494946644|69.71575554|66.43577392|0.470085022|2836.468636|-1010.949351|1315.573182|-12.42997952|0.370216665|0.88709518|6177.303329|-683.6488737000001|29.18606491|0.024411136|-175.53051609999997|1605.23357|723.0631751|1.0|1.0|1.0|1.0|2.0|3.24|-8.84|4.56|4.38|92.79|1.37|0.0|6.0|-4.15|32.0|-7.08|425.48|0.0|0.0|3.05|-4.22|7.15e-05|0.0304|6.02e-05|2.55|0.0|4.1501|4.1501|-1390.592722|1195.01|0.5853|508.64|0.65789|0.5853|-0.2183699999999999|0.04629687|-1390.352729|2.8163|112.0|6.9508|6.9508
15_a10|0|7.535296702|1|1.277647202|-0.166303336|0.035396617|0.0353864729999999|-0.0729795729999999|1.981569297|-0.142251304|0.009882584|-0.055918786|10.92966702|-0.05940848|1|1|0.009514122|-0.085979341|-0.136323668|-0.208590561|2|0.682616223|-0.079744227|0.863438637|0.635064845|-0.059234364|-0.074144604|0.710970489|-35.30133759|11.09373722|33.67392858|6.61142847|0.646412648|-1.186313662|56.66229609|46.39507481|0.434181679|2549.580207|-706.9960069|2288.954984|-8.964715924|0.353587352|0.767351752|5769.347123|-421.3416484|23.27068984|0.020932674|-174.5122907|1093.722422|563.875765|1.0|1.0|1.0|1.0|0.0|3.29|-8.3|4.91|4.72|52.83|2.53|0.0|5.0|-4.48|28.0|-6.07|390.87|0.0|1.0|3.83|-4.81|3.32e-05|13.0|1.56e-05|3.68|0.0|5.7922|3.7997|-1604.08794|1086.19|0.4553|484.05|0.68543|0.1647|-0.20983|0.03039798|-1603.907391|6.1563|33.0|7.4815|7.4815
