molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nARing|MATS2c|SRW07|JGI4|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|SIC2|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
14o_a23|0.0|0|1|0.0|-4.758526534|2|0|0.18835477|5.351858133|0.046090147|-0.002390707|10.3132174|-0.049105045|2|2|-0.0004039459999999|0.416392114|-0.653629157|0.598213287|0.802854174|0.861597051|1|-0.072435569|-0.094138958|0.328340215|0.018054548|-51.49843925|12.835973699999998|110.3941788|0.0959220569999999|-0.042454824|-47.58321438|0.8929505459999999|0.800301554|-2.165196042|-36.61307972|-30.18347529|3399.6213840000005|-1539.35724|-21.45909668|0.199698446|17.66041891|0.958697036|0.019295686|676.4530574|13.71836682|0.0|0.0|1.0|1.0|3.55|3.62|26.0|-7.95|3.97|6.18|3.04|2.0|126.97|7.0|35.0|8.0|495.48|4.31|-6.0|1.29e-07|6.38e-05|0.0004969999999999|1.12e-08|-0.08059|5.17|-2042.161288|729.11|1236.72|335.19|582.89|0.58581|0.58581|-2041.934645|385.0|5.9294|-0.23229|0.02299729|8.3591|8.4815|8.4815
9i_a40|0.0|0|0|0.0|0.0|1|0|0.074116257|5.4161004020000005|0.045555556|0.004532692|10.31197226|-0.1788455119999999|2|2|0.004019925|0.333430103|-0.542471361|0.831946443|0.762774506|0.824009442|1|-0.092881258|-0.088485615|0.006324687|0.011010661|-46.80087537|5.548036224|213.7117392|0.169019238|-0.036869006|-22.46593254|62.68854553|0.8590224540000001|-1.327284222|-23.58195819|-18.57750214|2056.370683|-668.7900768999999|-9.360805225|0.140977546|14.74203307|0.91433781|0.010372658|351.4600612|5.226560183|1.0|1.0|1.0|1.0|3.25|2.9|20.0|-6.03|3.84|4.02|2.99|1.0|91.11|2.0|22.0|2.0|306.38|3.52|-4.71|4.79e-06|0.00147|0.00603|9.31e-07|-0.05989|3.2|-1273.31399|534.44|883.84|284.3|417.75|0.56118|0.70339|-1273.167389|0.3362|2.0895|-0.17956|0.02072395|2.7887|5.9031|5.9031
13b_a30|0.0|0|0|0.0|0.0|0|2|0.112353041|5.351858133|0.041728395|-0.003436924|10.31162842|-0.0463169629999999|1|1|-0.002215642|-0.062905093|-0.564815317|0.841060094|0.836520136|0.892104517|0|-0.109962789|-0.113554975|0.3529073379999999|0.018555474|-74.24619275|12.52854078|385.2420923|0.305898198|-0.042850934|-51.76819834|105.341977|0.800290866|-2.271099499|-50.13056864|-28.93268471|3002.926824|-1533.432289|-19.53516918|0.1997091339999999|16.1428924|0.8334321|0.017174033|713.7769663|11.59580043|1.0|0.0|0.0|0.0|4.76|0.0|17.0|-6.19|3.04|1.72|2.06|1.0|135.37|6.0|32.0|5.0|441.51|1.91|-4.3|9.68e-06|0.00427|0.0221|6.520000000000001e-07|-0.05434|4.54|-1744.446479|721.48|1210.94|245.51|544.04|0.32563|0.6862699999999999|-1744.2179010000002|0.1415|3.8495|-0.20313|0.0455651|5.3762|7.5901|7.5901
10_a4|0.0|0|0|0.0|0.0|1|1|-0.180140166|5.4161004020000005|0.038699764|0.01107733|10.92992762|-0.090413559|1|1|0.011142889|0.014917047|-0.241683916|0.6990620390000001|0.810105167|0.861225169|1|-0.051015897|-0.079432495|0.43000216|0.014582852|-29.52653193|8.440134933|39.48408698|0.078346981|-0.027007048|-26.60798798|64.26218096|0.744529685|-1.350352423|-17.08910641|-15.63090193|2480.063587|-781.5450965|-9.046715915|0.255470315|11.20225306|0.945033425|0.014040792|594.7358385|8.126406226|1.0|1.0|1.0|1.0|3.46|3.38|21.0|-8.07|4.93|4.81|2.53|2.0|111.38|4.0|28.0|4.0|370.45|3.9|-4.85|2.21e-05|0.00818|0.00519|8.51e-09|-0.04689|3.34|-1183.790554|619.99|1083.65|249.6|470.02|0.4662|0.7038399999999999|-1183.54701|0.0176|1.4517|-0.2025|0.02232068|2.2386|7.0555|7.0555
12bb_a36|0.0|1|0|3.3296932480000003|0.0|0|2|-0.07834963|5.351858133|0.04625323|-0.006877664|10.96022185|-0.027636036|1|1|-0.004358975|0.2463876689999999|-0.421445726|0.653741315|0.836170906|0.892249657|0|-0.090660196|-0.114330726|0.314702945|0.022069757|-58.19935506|14.16769093|88.91215764|0.311151789|-0.038872447|-47.11573753|0.0|0.719294078|-1.943622342|-37.36110291|-24.95418524|2902.055617|-1247.709262|-16.01935076|0.280705922|15.13083401|0.926384521|0.022984922|593.6088758|14.75518126|1.0|0.0|0.0|0.0|4.72|0.0|17.0|-7.12|3.55|3.0|2.78|1.0|123.67|5.0|31.0|6.0|417.41|2.44|-4.32|0.000102|0.0424|0.0201|7.599999999999999e-08|-0.0566799999999999|3.66|-1431.374881|667.88|1120.72|236.69|515.92|0.38838|688.0|-1431.178978|0.0736|6251.0|-0.21175|0.03421884|8657.0|8.0|8.0
5a_a50|0.0|0|1|0.0|0.0|2|1|-0.203248487|5.82008293|0.038040936|0.012640587|10.93256969|-0.130929632|2|2|0.01228899|0.028229556|-0.161169418|0.699970832|0.788709546|0.847812674|1|-0.038932964|-0.065209836|0.2814514|0.010185297|-20.77548565|5.435098605|6.819160781|0.030107124|-0.022747617|-18.56865899|60.04351409|0.66527517|-0.978147545|-11.08625592|-12.13862875|2246.106104|-521.9610361|-6.477439183|0.33472483|10.76914508|0.8275167520000001|0.017576522|462.1867149|9.379218813|1.0|0.0|1.0|1.0|3.5|3.28|20.0|-6.24|3.66|4.33|2.62|0.0|101.86|2.0|25.0|2.0|326.39|3.47|-4.5|0.000129|42.0|0.0102|5.7e-07|-0.02487|3.39|-1029.905844|582.98|976.41|220.82|455.34|0.39948|0.6725399999999999|-1029.734933|0.1156|3.9843|-0.19146|0.02452028|5649.0|5.3872|5.3872
9_a4|0.0|0|0|0.0|0.0|1|1|-0.211556011|5.4161004020000005|0.040449735|0.010709527|10.92992723|-0.0454860859999999|1|1|0.009731833|-0.030976753|-0.172904817|0.625717993|0.801082857|0.861113198|1|-0.052625548|-0.069566741|0.472497372|0.009037784|-28.63837014|4.918284148|13.6577411|0.062897208|-0.025885299|-20.60179129|45.21212204|0.792890434|-1.113067849|-15.58475436|-14.08655666|2359.945586|-605.7219363|-7.665782805|0.207109566|10.21134541|0.777625327|0.010768243|489.7528555|5.859985199|1.0|0.0|1.0|1.0|3.18|3.37|21.0|-8.16|5.14|5.07|3.15|2.0|105.09|2.0|26.0|3.0|360.84|4.17|-5.15|1.73e-05|0.0062299999999999|0.00255|6.9e-09|-0.05256|3.87|-1489.533032|586.24|999.93|262.21|430.12|0.5182100000000001|0.6464|-1489.36688|0.0584|4.4343|-0.22204|0.02116575|5.4739|7.3188|7.3188
14b_a3|0.0|0|0|0.0|0.0|0|0|0.143500839|4.727387819|0.039799383|-0.00603969|10.31162234|-0.102362298|1|1|-0.004161699|-0.288944272|-0.575695827|0.882394075|0.7809478329999999|0.848135222|1|-0.090994113|-0.100993354|0.379746504|0.012828558|-44.49789848|6.273415527999999|252.49572540000003|0.2135234869999999|-0.036469822|-24.15156108|82.79166784|0.766915433|-1.312913604|-21.76034149|-17.83445545|2160.565755|-642.0403962|-8.721397057|0.233084567|9.738358819|0.951659927|0.017348996|358.3503513|8.483998032|0.0|1.0|1.0|1.0|3.18|2.5|21.0|-6.89|4.28|3.71|1.04|0.0|93.25|2.0|23.0|4.0|319.38|2.82|-3.99|3.54e-05|0.0113|0.0327|1.28e-07|-0.06676|2.22|-1327.4859310000002|524.27|879.19|403.54|368.39|0.70123|0.70123|-1327.349444|0.2276|2.8743|-0.19618|0.02844675|3.8724|6.4202|6.4202
11g_a5|0.0|1|0|2.9590700880000003|0.0|1|0|-0.204002571|5.209486153|0.020943152|0.00599982|10.94877951|-0.007175378|2|2|0.006964153|-0.14133011|-0.267507083|0.777565622|0.814159231|0.8737292720000001|0|-0.067247149|-0.076326887|0.396049407|0.023215707|-44.19305139|15.25675|68.77977167|0.1620562619999999|-0.025442296|-32.96383785|0.0|0.543581314|-1.297557078|-29.04250676|-16.72000506|2823.738452|-852.7202582999998|-10.98794595|0.456418686|18.16867625|0.944734523|0.03204398|648.1198739|21.05845771|1.0|1.0|1.0|1.0|3.17|2.34|28.0|-9.04|4.17|4.48|1.06|1.0|118.35|7.0|31.0|5.0|408.46|2.96|-4.31|7.65e-05|0.0312|0.0199|9.229999999999999e-10|-0.04322|2.3|-1330.144218|693.48|1180.25|274.87|542.13|0.56924|0.63081|-1329.927772|0.2403|3.2282|-0.2146199999999999|0.04557484|4314.0|7.5229|7.5229
3b_a32|0.0|1|1|3.3653429710000005|0.0|0|0|0.046791596|5.733341277|0.042528736|-0.001282231|10.31100281|0.10614163|3|3|0.00020567|-0.078754696|-0.536470812|0.833920105|0.800396027|0.866250192|1|-0.073068133|-0.100355499|0.2719741|0.014636992|-35.8437493|7.180211702|74.63320519|0.159260619|-0.033451833|-24.14971513|0.0|0.764128338|-1.103910485|-17.58323784|-16.40987746|2092.213643|-541.5259561|-8.049905042|0.2358716619999999|10.69254007|0.854431185|0.0154889019999999|323.0421997|7.59811844|1.0|1.0|1.0|1.0|3.11|2.57|19.0|-6.5|6.25|4.43|1.45|1.0|88.24|2.0|21.0|3.0|312.41|3.68|-4.65|1.86e-06|0.0005809999999999|0.00697|3.19e-07|-0.05396|2.45|-1594.095192|524.46|857.0|348.81|396.83|0.70257|0.70257|-1594.0008779999998|0.2905|3.5719|-0.20137|0.02589511|5.7777|8.2366|8.2366
