molecula|SddssS|NaaNH|SRW09|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|RPCS|DPSA5|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
16_a3|0.0|0|6.823286122000001|0.0|0.183636734|-0.010031024|4.727387819|-0.186717242|2|0.045993266|0.027762972|1.614080058|-0.371147877|10.31163046|1|-0.008409607|0.008045619|-0.614173961|0.659478546|0.838125715|0.640070307|1|0.6974791290000001|-0.108919585|-0.100138414|-53.7971544|-49.45999101|248.6415425|0.302520871|149.4199775|-24.42909382|82.16042286|56.56724056|-692.4398741|-10.05903863|11.22152755|0.941329444|4733.033232|-342.00731349999995|24.54661368|0.0143895839999999|-325.670405|328.71459869999995|7.107249553|1.0|1.0|1.0|1.0|1.0|3.13|2.59|0.0|21.0|-7.16|4.74|4.57|92.93|2.26|0.0|0.0|90.44|0.0|1.0|2.0|-4.98|-5.89|1.0|-4.49|3.2200000000000003e-05|0.0104|0.0|0.0|-0.07095|3.2208|3.19|3.2208|-1371.388717|520.28|856.09|384.94|368.22|0.6944100000000001|0.3866|-0.13195|-0.2029|0.02847445|-1371.297964|3613.0|42.0|7.3768|7.3768
8e_a46|0.0|0|7.727094485|2.161814059|-0.205882192|-0.001015139|5.533389489|0.000950213|2|0.043238095|-0.126773923|0.0|-0.046696417|10.96411233|1|0.0123581919999999|-0.135984209|-0.132524216|0.669602597|0.837678812|0.668786636|0|0.921352352|-0.053352779|-0.065982313|-27.16690715|-33.59778824|7.389496216|0.078647648|40.04689925|-17.10778729|53.05984592|39.62167507|-503.9668235|-5.967832774|9.911785304|0.8008066970000001|4239.252176|-256.61680930000006|15.64268965|0.011830243|-253.8248986|426.71841|6.023886838999999|0.0|1.0|0.0|1.0|0.0|3.21|2.93|0.32|17.0|-6.67|4.09|3.9|43.6|2.13|0.0|0.0|91.93|0.0|1.0|2.0|-3.59|-6.02|1.0|-4.04|9.15e-05|0.0279|0.0|0.0|-0.03175|4.5092|3.0|4.5092|-954.9296396|552.99|933.3|274.96|457.96|0.6967|0.2162|-0.18835|-0.2201|0.024010215|-954.793305|3.7755|406.0|6.3915|6.3915
4g_a49|0.0|0|8.228176896|4.107873566|-0.087219006|-0.003686314|6.107022888|-0.008414823|4|0.036761229|-0.085731041|3.4246879480000003|-0.328081947|10.92777048|2|0.007845545|-0.066023903|-0.311927917|0.651833607|0.81242269|0.626581708|2|0.8601878270000001|-0.061465364|-0.0666753309999999|-61.24875669|-66.44036383|151.0705543|0.139812173|139.3194688|-66.20622488|74.95505057|90.11923831|-1993.210915|-24.82733433|18.19125978|0.958286615|11516.07629|-1986.186746|39.71443299|0.023762615|-253.8168226|1714.878736|23.67887448|0.0|0.0|0.0|0.0|1.0|4.83|4.36|0.1|42.0|-13.67|6.09|7.56|116.3|2.87|2.0|0.0|198.32|0.0|0.0|7.0|-7.47|-6.6|0.0|-7.43|3.72e-08|2.47e-05|0.0|1.0|-0.06458|4.3116|6.35|3.6269|-2147.721319|985.89|1766.47|287.56|662.84|0.69238|0.0265|-0.15087|-0.21545|0.05838924|-2147.295787|4.5147|106.0|6.9747|6.9747
11d_a31|0.0|1|7.765993078999999|0.0|0.064475882|-0.017317263|5.733341277|-0.116385886|0|0.0388738739999999|0.016799834|0.0|-0.848545873|10.31169874|2|-0.006496772|-0.153894316|-0.574318121|0.819298311|0.868115289|0.78396996|0|0.585212816|-0.134031221|-0.134048091|-82.05480081|-82.06512842|296.2476128|0.414787184|253.9354598|-50.24081482|91.25756269|98.8237718|-1148.911798|-15.29068277|15.21323794|0.929231204|5420.356537|-703.3714074|36.63453013|0.027374162|-222.5622569|505.4234462|16.75864338|1.0|1.0|1.0|1.0|2.0|3.6|2.83|0.32|16.0|-6.23|5.43|4.03|125.57|1.26|1.0|0.0|102.13|0.0|1.0|7.0|-5.48|-6.4|1.0|-4.2|6.26e-05|0.0241|0.0|0.0|-0.03404|3.8009|4.87|3.8009|-1598.7152199999998|650.64|1077.69|326.2|551.86|703.0|0.2642|-0.15822|-0.19226|0.04390452|-1598.546288|4.6622|0.03|7.5229|7.5229
10_a15|0.0|0|0.0|0.0|-0.137104477|-0.006872984|0.0|-0.0435725659999999|2|0.037209302|-0.0869138469999999|0.0|-0.384887119|10.95972828|0|0.0034254209999999|-0.184255041|-0.391156537|0.8310685940000001|0.7585998270000001|0.7933685340000001|0|0.933136945|-0.052826735|-0.101494566|-30.73805622|-59.05618983|6.497096666|0.066863055|38.90530741|-34.36276159|0.0|65.80736417|-1122.067607|-12.31872585|10.08767698|0.815948972|6204.37804|-652.8924702|25.50202895|0.0116026369999999|-384.2321709|673.7288405|6.751174337|1.0|1.0|1.0|1.0|1.0|3.58|3.64|0.12|24.0|-9.82|5.32|6.3|56.27|2.87|2.0|0.0|119.95|0.0|1.0|6.0|-6.22|-4.97|1.0|-5.83|1.47e-06|0.000584|0.0|0.0|-0.03581|4.4682|5.16|3.6448|-1281.088565|631.2|1136.48|277.48|487.16|0.70313|0.0042|-0.15377|-0.18958|0.02738146|-1280.862627|3.1460000000000004|7.0|8.1549|8.1549
16a_a32|0.0|1|7.765993078999999|0.0|0.205693867|-0.014399612|5.733341277|-0.0848387459999999|0|0.03995614|-0.053745649|2.095743605|-0.6911813920000001|10.31100271|3|-0.005552127|-0.199563743|-0.707456102|0.859696525|0.909908319|0.81143469|1|0.756542831|-0.090389538|-0.119471489|-56.2527503|-74.35152328|92.00611646|0.2434571689999999|151.5123947|-46.27170107|66.13699638|88.96104768|-1040.921326|-14.39564033|13.08168264|0.8211379000000001|5746.082161|-647.803815|33.19592405|0.023475264|-244.9767673|532.685565|14.6095244|1.0|0.0|1.0|1.0|3.0|3.53|2.66|0.22|19.0|-7.3|5.32|3.79|152.07|0.88|1.0|0.0|108.86|1.0|1.0|7.0|-5.49|-6.85|1.0|-4.04|9.14e-05|0.0364|0.0|0.0|-0.0567299999999999|3.6314|3.9|3.6314|-1896.81177|664.67|1096.48|341.42|535.63|0.70245|0.2859|-0.15045|-0.20718|0.04088655|-1896.649286|1.8274|11.0|7.9586|7.9586
47c_a18|0.0|0|7.03438793|0.0|0.02368001|-0.007068829|4.844187086|-0.048726885|0|0.032688172|0.047739847|0.0|-0.537230966|10.94702285|0|0.002674691|-0.320309303|-0.455055055|0.784328127|0.7912974190000001|0.7601847759999999|0|0.8128616409999999|-0.0715759629999999|-0.094000037|-57.54296759|-75.57063623|67.68084951|0.1871383589999999|150.4485025|-60.75445536|103.416376|88.76073429|-1889.265906|-20.80632033|18.73268473|0.958059115|7527.530240999999|-1518.861384|34.55329606|0.016406766|-400.3604527|1167.054827|13.19009806|1.0|1.0|0.0|1.0|3.0|4.61|0.0|0.3|18.0|-9.18|2.84|2.87|97.76|2.41|3.0|2.0|154.77|1.0|1.0|12.0|-5.73|-6.61|0.0|-5.09|8.12e-06|0.00417|1.0|1.0|-0.0449|3.1096|7.72|3.1096|-1664.753129|850.89|1505.09|398.71|790.07|0.6983199999999999|0.5869|-0.12841|-0.17331|0.03115159|-1664.277127|3.8573|3.0|8.5229|8.5229
8b_a32|0.0|1|7.765993078999999|0.0|0.113639567|-0.009362305|5.733341277|-0.057200812|0|0.03995614|-0.008128765|2.123714284|-0.458752924|10.31100269|3|-0.001662219|-0.1534110109999999|-0.577864293|0.788133615|0.8966299409999999|0.7507116140000001|1|0.788218098|-0.0850068559999999|-0.108971309|-53.36442734|-68.4085006|102.4297669|0.211781902|132.9495116|-42.94454179|68.21751748|81.73293254|-889.3105078|-12.13650094|14.95918599|0.845546757|5619.400983|-558.2790432999999|28.89166873|0.021225152|-212.3722924|557.1050635|13.32443194|1.0|1.0|1.0|1.0|2.0|3.46|3.04|0.26|19.0|-7.65|6.49|4.19|140.04|1.1|1.0|0.0|110.47|1.0|1.0|7.0|-5.83|-6.44|1.0|-4.39|4.06e-05|0.0161|0.0|0.0|-0.05404|3.5442|4.22|3.5442|-1880.77142|671.54|1114.24|349.82|558.16|0.70285|0.2943|-0.14717|-0.20121|0.03602276|-1880.602014|1.2797|12.0|7.9208|7.9208
16a_a23|0.0|0|7.423568444|3.411338761|-0.0147904689999999|-0.0054940769999999|5.351858133|-0.013055633|3|0.046283951|0.062601621|0.759926978|-0.302174246|10.31321796|2|0.01226642|-0.335065967|-0.380779155|0.765869487|0.890165467|0.7199622309999999|1|0.934837094|-0.041095401|-0.07288672|-26.53751114|-47.06687604|9.922436905|0.0651629059999999|42.07919382|-30.39361398|91.92609822|65.21027197|-847.2037686000001|-10.72715788|15.89802615|0.981208279|6552.801739|-547.0850515999999|28.35168303|0.02809646|-110.9672657|668.3493171|18.14339594|1.0|0.0|0.0|0.0|1.0|3.94|0.0|0.14|20.0|-5.27|2.03|2.52|108.26|2.04|1.0|1.0|125.79|0.0|2.0|5.0|-4.58|-7.02|0.0|-4.31|4.86e-05|0.0208|0.0|0.0|-0.0502|1.6239|2.49|1.6239|-1685.913359|670.04|1172.0|763.49|555.21|0.96307|0.2066|-0.07625|-0.12645|0.03391189|-1685.6419010000002|18.4446|39.0|7.4037|7.4037
13g_a6|0.0|1|6.842683282|0.0|-0.0961994219999999|-0.006574579|4.727387819|0.004767264|2|0.043020833|0.03536788|1.648997541|-0.381325604|10.95053423|1|-0.000644109|-0.215607882|-0.46487852|0.836982172|0.832753533|0.789769968|1|0.871972049|-0.074216821|-0.091949419|-51.67543048|-64.02222283|68.57626488|0.128027951|89.14285747|-44.57717132|0.0|76.50577593|-1216.422234|-15.68456028|14.34268783|0.7999971709999999|6332.20768|-846.9662551000001|30.61752948|0.017929016|-328.2712049|744.1359788|12.48355309|1.0|1.0|1.0|1.0|2.0|3.61|2.34|0.12|27.0|-10.57|5.41|4.79|103.17|1.13|2.0|0.0|128.63|0.0|0.0|6.0|-5.56|-6.31|1.0|-5.06|8.8e-06|0.0038|0.0|0.0|-0.07536|5.9869|3.83|3.2472|-1386.611265|739.55|1253.71|207.09|592.49|0.7034100000000001|0.0105|-0.1327|-0.20806|0.03802398|-1386.364067|13.3225|119.0|6.9245|6.9245
