molecula|SddssS|NaaNH|SRW09|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|RPCS|DPSA5|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12e_a30|0.0|0|7.412764017000001|0.0|-0.0026669809999999|-0.0077937519999999|5.351858133|-0.029595542|2|0.041767677|-0.010682095|0.0|-0.444243861|10.31162844|1|0.0053380919999999|-0.154412059|-0.417089226|0.838579475|0.876441789|0.7933543279999999|0|0.816703705|-0.07914783|-0.098059338|-52.50202674|-65.04681137|106.2790684|0.183296295|121.5880081|-43.14823836|0.0|80.10232244|-1235.889416|-15.46823639|15.14403079|0.8767337279999999|6421.289402|-819.8165288|32.97692061|0.022696477|-274.7836441|704.0353382000001|15.05551106|1.0|0.0|1.0|1.0|1.0|4.72|0.0|0.17|17.0|-6.74|3.89|2.63|90.88|2.51|2.0|0.0|133.77|0.0|1.0|6.0|-5.44|-6.19|0.0|-4.93|1.19e-05|0.0050799999999999|0.0|0.0|-0.05044|5.0412|3.58|3.4747|-1690.3021629999998|709.98|1201.05|245.94|562.76|0.68605|151.0|-0.1476|-0.19804|0.03344515|-1690.092998|6.1598|11.0|7.9431|7.9431
14t_a23|0.0|0|7.423568444|3.410065804|0.04919958|-0.005383494|5.351858133|-0.024472753|2|0.045277778|0.073534004|0.758345646|-0.290708696|10.31321779|2|0.01180744|-0.136106024|-0.4515027279999999|0.725800261|0.820002545|0.6906097959999999|1|0.920956836|-0.0553915009999999|-0.079253435|-36.09926385|-51.65035498|36.6149406|0.079043164|51.51331913|-33.66111722|42.20767549|61.0040156|-1084.657455|-14.13766923|14.13931199|0.872595673|6523.656379|-706.8834616|27.11827225|0.014352462|-390.9561553|666.0036144999999|9.353660614|0.0|0.0|1.0|1.0|1.0|3.52|3.49|0.09|26.0|-7.78|3.88|4.33|105.02|3.24|2.0|1.0|125.25|0.0|1.0|5.0|-5.85|-6.1|0.0|-5.25|5.61e-06|0.0023899999999999|0.0|0.0|-0.06666|3.9855|3.79|3.2060000000000004|-1669.240512|692.08|1184.43|311.09|534.86|0.68886|0.0003|-0.15625|-0.22291|0.02135191|-1669.040656|8.3062|4.0|8.3979|8.3979
47o_a18|0.0|0|7.03438793|0.0|0.052875948|-0.006476544|4.844187086|-0.055408687|0|0.037484277|-0.006238734|0.0|-0.4339284229999999|10.94702017|0|0.000787517|-0.156998637|-0.490807196|0.7452092359999999|0.781148177|0.733228144|0|0.806872998|-0.077288013|-0.088436375|-56.13142962|-64.2280736|77.37089184|0.193127002|140.2610102|-46.6464782|82.54478365|70.23090572|-1605.70184|-18.22128055|19.35260972|0.972958142|6462.6049570000005|-1166.161955|28.74706708|0.008265369|-541.4335917000001|931.8364349|6.002832126|1.0|1.0|0.0|1.0|3.0|4.17|0.0|0.25|18.0|-9.37|3.69|3.0|85.29|2.94|3.0|1.0|139.63|0.0|1.0|9.0|-5.66|-6.12|1.0|-5.08|8.38e-06|0.00381|0.0|0.0|-0.0502|3.22|7.62|3.22|-1455.574672|783.22|1352.29|385.04|706.49|0.69248|0.5065|-0.13203|-0.18223|0.02736851|-1455.231246|2.8284|47.0|7.3279|7.3279
2_a33|0.0|1|7.765993078999999|0.0|0.047294725|-0.009168933|5.733341277|-0.064926835|0|0.039958333|-0.049900189|2.112255684|-0.476784502|10.31100266|3|-0.000810928|-0.148024156|-0.593915758|0.787714775|0.8799816220000001|0.753434785|1|0.8195154109999999|-0.0804186|-0.104047115|-49.13901703|-63.57699532|103.5201191|0.1804845889999999|110.28338390000002|-38.84811555|44.34034244|75.44970552|-953.6549298|-11.89228027|11.60906093|0.8867875909999999|6067.635829|-582.7217333|27.70055258|0.019430318|-247.5908207|618.9134881|11.8727102|1.0|0.0|1.0|1.0|2.0|3.57|3.51|0.3|19.0|-7.67|6.7|4.63|140.04|1.33|2.0|0.0|115.28|1.0|1.0|7.0|-6.35|-6.17|1.0|-4.78|1.6800000000000002e-05|0.0069|0.0|0.0|-0.04967|3.6281|5.11|3.6281|-1920.079174|655.74|1128.98|341.74|525.38|0.70205|0.2911|-0.15012|-0.19979|0.02972182|-1919.890628|5539.0|6.0|8.2596|8.2596
12h_a30|0.0|0|7.412764017000001|0.0|0.046965756|-0.00737961|5.351858133|-0.06631353|2|0.043848238|-0.074988669|0.0|-0.391119352|10.31162898|1|0.002064369|-0.120380857|-0.4708582289999999|0.669561738|0.888213143|0.64876559|0|0.763568404|-0.083127678|-0.09907575|-52.88851758|-63.03519645|89.66095835|0.236431596|150.42542849999998|-40.10503079|0.0|73.14241438|-1197.668733|-15.55093031|15.1759206|0.881277172|6252.192213|-761.9955851|30.63031164|0.015886049|-379.1625034|618.6004214|10.10721793|1.0|0.0|1.0|0.0|1.0|4.63|0.0|0.14|17.0|-6.9|4.25|3.18|81.65|3.2|2.0|0.0|127.24|0.0|1.0|5.0|-5.39|-6.02|0.0|-5.01|9.71e-06|0.00405|0.0|0.0|-0.05347|5.0289|4.07|3.5101|-1675.011389|672.54|1132.06|246.54|518.06|0.68543|155.0|-0.14889|-0.2023599999999999|0.03372393|-1674.838376|3.4138|9.0|8065.0|8065.0
12o_a36|0.0|1|7.412764017000001|0.0|0.01340619|-0.0100574069999999|5.351858133|-0.079716275|2|0.040770975|0.03842353|0.0|-0.613501857|10.96036596|1|-0.000472698|-0.213993335|-0.5110239679999999|0.859938421|0.848816593|0.817582774|0|0.7592112809999999|-0.082048664|-0.10624773|-59.0895896|-76.51720886|55.47133795|0.2407887189999999|173.4105814|-55.10596064|112.1259723|95.66406176|-1453.826968|-18.36865355|13.80895167|0.885724665|6622.134304|-1047.013252|38.27030489|0.026586303|-239.7655413|757.7532208|19.1468529|0.0|0.0|0.0|0.0|3.0|4.97|0.0|0.17|17.0|-6.93|2.38|1.65|98.3|1.49|1.0|0.0|138.06|0.0|1.0|7.0|-3.54|-7.66|0.0|-3.64|0.000227|0.0997|0.0|0.0|-0.05456|5.1927|4.5|3.8726|-1440.969954|728.07|1240.51|238.77|560.88|0.67273|0.2888|-0.15695|-0.21151|0.04371335|-1440.734965|6.6471|0.04|7.3979|7.3979
14s_a23|0.0|0|7.423568444|3.336763335|0.020458621|-0.005854379|5.351858133|-0.022580082|2|0.045277778|0.049317519|0.740898446|-0.298573309|10.31321812|2|0.009263715|-0.13187015|-0.457212212|0.722187957|0.846632079|0.659570836|1|0.92763624|-0.055037441|-0.080500435|-35.30692476|-51.64162341|30.34480575|0.07236376|46.42188642|-33.12848261|82.55990607|62.75905983|-1032.832468|-14.09722664|14.26730044|0.890072438|6938.271179|-662.5696522999999|28.36177131|0.017330177|-352.5931977|633.3278634|11.11743642|0.0|0.0|1.0|1.0|1.0|3.45|3.66|0.05|26.0|-7.99|4.0|4.67|105.02|3.51|2.0|1.0|125.29|0.0|1.0|5.0|-6.13|-6.03|0.0|-5.55|2.83e-06|0.00126|0.0|0.0|-0.07783|3.6828|4.1|3.6828|-2089.521231|668.66|1164.32|336.66|528.82|0.60323|0.3669|-0.1515|-0.22933|0.02112956|-2089.352478|6.4428|3.0|8.5482|8.5482
10_a27|0.0|0|6.605297921|3.383341915|0.122016352|-0.006285923|4.59511985|-0.044164147|2|0.040512821|-0.184068581|1.296293777|-0.282866526|10.93783185|1|0.010329671|-0.341622797|-0.487435299|0.639413469|0.862408925|0.614205449|1|0.8526621529999999|-0.061299064|-0.087022238|-32.5969511|-46.27574168|6.0140309720000005|0.147337847|78.34972221|-24.60801194|49.19800605|55.05868025|-694.1361252|-8.788575695|12.9316403|0.912640238|4894.8090170000005|-369.1201792|22.1732254|0.01651645|-260.9504933|424.8821143|8.782938574|1.0|0.0|1.0|1.0|0.0|3.01|3.15|0.16|21.0|-6.24|2.81|2.97|65.6|2.25|0.0|0.0|97.39|0.0|1.0|3.0|-3.57|-6.51|1.0|-3.92|0.0001189999999999|0.0394|0.0|0.0|-0.0498|4.1495|4.66|4.1495|-1083.137871|573.31|958.95|298.79|450.26|0.63894|0.4452|-0.16805|-0.21785|0.0227416|-1083.008551|6.9456|69.0|7.1612|7.1612
14a_a10|0.0|0|7.535296702|2.156210368|-0.2090476269999999|-0.002047597|5.4161004020000005|0.0437538159999999|3|0.035660377|0.027446544|2.070512208|-0.147427016|10.92970798|1|0.012272222|-0.344811314|-0.168193178|0.76857495|0.770129205|0.740051323|1|0.911549451|-0.044416218|-0.070610745|-32.23041637|-51.23835032|67.52851799|0.088450549|64.18371923|-37.18086445|134.15514270000003|67.14248252|-922.2903058|-9.988888957|18.88856367|0.8833450959999999|6754.660977|-669.2555601|25.39690722|0.0219172279999999|-60.97724212|1003.968547|15.9041322|0.0|1.0|1.0|1.0|0.0|3.98|4.4|0.39|21.0|-8.18|4.16|3.36|59.31|1.94|1.0|0.0|146.76|0.0|1.0|7.0|-4.21|-6.82|0.0|-4.8|1.58e-05|0.00743|0.0|0.0|-46.0|5.5808|2.25|3802.0|-1489.655581|800.01|1380.89|222.16|645.26|0.7047100000000001|0.0005|0.2422099999999999|0.19621|-0.14757681|-1489.487381|4.8004|74.0|7.1308|7.1308
47s_a18|0.0|0|7.03438793|0.0|0.026229332|-0.0054038509999999|4.844187086|-0.045792331|0|0.035632184|-0.026883417|0.0|-0.394481152|10.94702059|0|0.003686393|-0.252119673|-0.46304239|0.724028067|0.745196689|0.716761234|0|0.84543779|-0.070258863|-0.08106112|-53.18668656|-61.36410696|10.92659868|0.15456221|117.0051929|-46.45326408|51.05656345|69.29837549|-1595.466781|-17.25406952|18.65422248|0.901192009|6968.705069|-1207.784866|27.77963709|0.010481057|-485.1995077|1093.725912|7.934268528|1.0|1.0|0.0|1.0|2.0|4.41|0.0|0.3|18.0|-9.42|4.06|3.93|76.5|3.33|3.0|1.0|149.34|0.0|1.0|10.0|-5.95|-5.96|0.0|-5.45|3.53e-06|0.0017|0.0|0.0|-0.0491399999999999|3218.0|8.41|3218.0|-1534.196027|809.4|1435.42|385.29|736.36|0.6926800000000001|0.5203|-0.13195|-0.18109|0.02195039|-1533.809351|2.9991|616.0|6.2104|6.2104
37_a18|0.0|0|7.03438793|0.0|-0.0013530679999999|-0.005351023|4.844187086|-0.018808538|1|0.036746032|-0.018268775|0.0|-0.385273662|10.94702064|0|0.003512954|-0.224171123|-0.44541772|0.7100921609999999|0.761336899|0.699483099|0|0.831783747|-0.068500679|-0.074857954|-50.09028298|-54.7389628|12.63119843|0.168216253|123.0060763|-40.02719655|60.1335413|65.15554136|-1423.213033|-15.30451633|18.49074823|0.954530133|7035.839448000001|-1040.70711|27.36337253|0.0142451319999999|-387.3755475|1056.535856|10.41657856|0.0|1.0|0.0|1.0|2.0|4.31|0.0|0.3|18.0|-8.82|3.68|3.3|76.5|3.33|2.0|1.0|151.14|0.0|1.0|7.0|-5.68|-6.14|0.0|-5.47|3.35e-06|0.00161|0.0|0.0|-0.04925|3.2127|8.11|3.2127|-1532.997117|794.5|1395.35|385.91|673.45|0.69305|499.0|-0.13194|-0.18119|0.02274574|-1532.622404|3.0375|35.0|7.4559|7.4559
5_a47|0.0|0|0.0|0.0|0.019688132|-0.009295857|0.0|-0.188550227|2|0.037492877|0.003858593|1.284688504|-0.390426|10.9367109|0|-0.011237954|-0.0428873159999999|-0.454659897|0.7063295709999999|0.861595935|0.675164258|1|0.807957755|-0.087763105|-0.1001981959999999|-46.33853208|-52.90420509|104.9032216|0.192042245|101.3974575|-27.93318665|0.0|62.14504725|-793.5630764|-10.74353333|11.13432113|0.8997183470000001|5501.708422|-418.9977997|26.03444329|0.017501741|-297.3367046|416.1194472|9.240842159|1.0|1.0|0.0|1.0|2.0|2.67|2.79|0.0|22.0|-8.68|4.73|5.96|58.04|3.26|2.0|0.0|101.51|0.0|1.0|3.0|-5.65|-5.19|1.0|-5.5|3.18e-06|0.00116|0.0|0.0|-0.05535|3.7083|4.37|3.7083|-1569.369195|561.61|951.68|334.35|401.16|0.69291|0.2108|-0.15419|-0.20954|0.03591467|-1569.258939|3.8816|0.02|7.7|7.7
36_a18|0.0|0|7.03438793|0.0|0.050448408|-0.006407141|4.844187086|-0.020339784|1|0.036625514|-0.05224259|0.0|-0.442092758|10.94702093|0|0.000825855|-0.12139648|-0.493920601|0.7343989059999999|0.780206307|0.721836103|0|0.804293867|-0.07777765|-0.079805761|-55.38202488|-56.82615305|110.8288932|0.195706133|139.3536816|-40.46339026|83.34177364|65.59412783|-1477.479979|-16.1853561|18.21710397|0.905426346|6799.65027|-1052.048147|27.99124609|0.0123136069999999|-444.4026478999999|975.4099618|8.767974776|1.0|1.0|0.0|1.0|3.0|4.19|0.0|0.28|18.0|-9.16|3.73|2.96|85.29|3.13|2.0|1.0|146.24|0.0|1.0|7.0|-5.68|-6.18|1.0|-5.28|5.19e-06|0.00242|0.0|0.0|-0.04991|3.1908|7.75|3.1908|-1493.686737|769.73|1350.57|388.57|636.33|0.69372|0.4674|-0.13133|-0.18124|0.02564498|-1493.333297|2.7547|32.0|7.4949|7.4949
13d_a5 (GW788388)|0.0|1|6.605297921|0.0|-0.0959854909999999|-0.005668173|4.59511985|-0.009710199|3|0.027375887|-0.092509033|0.0|-0.33442223|10.94530363|1|0.003668464|-0.016337128|-0.3706975529999999|0.7333482170000001|0.834800344|0.71006207|0|0.774103723|-0.086824482|-0.0844793|-57.42492153|-55.87383979|151.3669372|0.2258962769999999|149.40573999999998|-36.95444874|44.69922692|70.45205183|-1061.602956|-12.76608229|15.788837|0.954644629|6122.792779|-702.1345259999999|28.84397435|0.022041749|-223.7910275|723.0631751|14.57821204|0.0|1.0|1.0|1.0|2.0|3.21|2.74|0.2|23.0|-8.84|4.56|4.11|92.79|1.37|1.0|0.0|121.68|0.0|1.0|6.0|-4.35|-6.94|1.0|-4.35|4.5e-05|0.0192|0.0|0.0|-0.05542|4.6091|3.81|4.1706|-1390.589662|707.09|1206.73|269.0|532.01|0.48848|0.1549|-0.17299|-0.22841|0.04130059|-1390.355751|3355.0|18.0|7.7447|7.7447
46_a18|0.0|0|7.03438793|0.0|-0.001181461|-0.005378956|4.844187086|-0.018808538|1|0.03531746|-0.046124025|0.0|-0.3872848129999999|10.94680484|0|0.003512954|-0.224171123|-0.448177615|0.7100921609999999|0.76616843|0.699483099|0|0.8265445990000001|-0.069742249|-0.076485888|-49.54738918|-54.33831169|0.946462387|0.173455401|123.2289237|-38.60388092|58.66827342|63.70285871|-1412.796104|-14.76030741|16.47206875|0.8342358790000001|7150.333139|-1003.700904|26.56039822|0.013181412|-401.0164861|1056.535856|9.36454702|0.0|1.0|0.0|1.0|2.0|4.27|0.0|0.3|18.0|-8.82|3.68|3.3|76.5|3.33|2.0|1.0|151.14|0.0|1.0|7.0|-5.68|-6.14|0.0|-5.47|3.35e-06|0.00161|0.0|0.0|-0.04995|3225.0|8.11|3225.0|-1532.992457|765.33|1380.79|384.45|635.89|0.69181|0.4249|-0.13224|-0.18219|0.0239301|-1532.562476|3.2533|186.0|6.7305|6.7305
5d_a40|0.0|0|8.149890544|1.601200869|-0.071479892|-0.005662681|6.167516491000001|0.0418378229999999|0|0.044526749|-0.1031436519999999|0.716041667|-0.1868684619999999|10.31198333|2|0.006642869|-0.009744685|-0.399968083|0.496945486|0.877722972|0.483934049|1|0.754010052|-0.086193996|-0.094277694|-39.55506228|-43.26473143|181.4728912|0.245989948|112.88660690000002|-19.85450535|53.85026982|49.97858532|-519.1767771000001|-7.94180214|12.09256826|0.922825231|4051.712713|-238.2540642|21.3342049|0.014630084|-285.606135|243.4287716|6.713853887999999|1.0|0.0|1.0|0.0|0.0|3.02|2.56|0.21|14.0|-4.32|4.08|3.64|75.5|2.25|0.0|1.0|74.11|0.0|2.0|3.0|-4.23|-5.94|1.0|-3.82|0.000152|0.0436|0.0|0.0|-0.06796|3.7374|4.61|3.7374|-1276.833831|473.48|765.69|331.74|365.74|0.69613|0.4493|-0.14851|-0.2164699999999999|0.01667985|-1276.797751|9.2439|19.0|7.7212|7.7212
3c_a32|0.0|1|7.765993078999999|0.0|0.025890116|-0.006923974|5.733341277|-0.048337951|0|0.043817204|-0.0522536959999999|2.224112182|-0.270034997|10.31100278|3|0.00124359|-0.145525719|-0.5427297289999999|0.831186295|0.901864778|0.774363061|1|0.888766719|-0.0679200029999999|-0.0943910459999999|-34.91603827|-48.52416391|59.72163595|0.1112332809999999|57.18235134|-24.94510426|0.0|57.94025396|-533.7658031000001|-7.622115192000001|9.717148607|0.733606015|4598.027604999999|-274.3961469|21.36577928|0.018316536|-199.4122311|370.5811396|9.416090047|1.0|1.0|1.0|1.0|1.0|3.22|2.95|0.19|19.0|-6.89|6.61|4.68|110.94|1.7|1.0|0.0|93.05|0.0|1.0|3.0|-6.18|-5.35|1.0|-4.91|1.22e-05|0.00399|0.0|0.0|-0.05487|3.5169|3.02|3.5169|-1633.443791|544.22|903.81|352.54|425.74|0.7034600000000001|0.5017|-0.14219|-0.1970599999999999|0.02415856|-1633.348356|5.0659|9.0|8.0458|8.0458
20_a31|0.0|1|7.765993078999999|0.0|0.0469387759999999|-0.009722467|5.733341277|-0.057200812|0|0.03995614|-0.013040402|2.114008068|-0.476400874|10.31100269|3|-0.001662219|-0.1534110109999999|-0.594513619|0.788133615|0.912372776|0.7507116140000001|1|0.7954270659999999|-0.085849869|-0.110195543|-53.79798102|-69.0542431|64.42171513|0.2045729339999999|128.1960117|-43.27297051|75.10345696|81.35171021|-966.7594033|-13.1700345|15.48343758|0.86775525|5678.167489|-605.8215871|29.5712685|0.019624081|-264.0799235|557.1050635|12.29746712|1.0|1.0|1.0|1.0|2.0|3.46|2.74|0.26|19.0|-7.65|6.49|4.38|140.04|1.1|1.0|0.0|110.47|1.0|1.0|7.0|-5.91|-6.39|1.0|-4.44|3.66e-05|0.0146|0.0|0.0|-0.06065|3.5381|4.78|3.5381|-1880.768349|666.67|1113.19|350.43|560.67|0.7036600000000001|0.2011|-0.1483|-0.20895|0.0336943|-1880.599777|4.9218|8.0|8.0862|8.0862
14q_a23|0.0|0|7.423568444|3.292130907|0.141057047|-0.0101981219999999|5.351858133|-0.130330047|2|0.044138322|0.064903564|0.720966302|-0.5608967029999999|10.31321757|2|0.002496501|-0.033435987|-0.573130981|0.77007911|0.871119857|0.7333675390000001|1|0.773194598|-0.08960718|-0.096370719|-61.51997721|-66.16349731|350.836102|0.226805402|155.7136729|-45.42467289|97.13675614|79.42966327|-1389.433443|-18.70427707|16.53853737|0.893957277|6982.066379000001|-953.9181308|35.04742005|0.01932289|-380.8178266000001|693.3423458|13.26616596|0.0|0.0|1.0|0.0|2.0|3.52|2.66|0.04|26.0|-6.96|2.57|3.12|148.11|2.28|1.0|1.0|128.38|1.0|1.0|6.0|-5.21|-7.33|0.0|-4.39|4.03e-05|0.0183|0.0|0.0|-0.08159|3.6431|4.19|3.6431|-1798.645459|714.22|1222.17|340.33|554.59|0.5949|0.4943|-0.14854|-0.23013|0.03458552|-1798.433122|12.0503|16.0|7.8069|7.8069
5_a15|0.0|0|0.0|0.0|-0.222657379|-0.008878343|0.0|-0.044921287|2|0.035982906|0.0729170329999999|0.0|-0.54157893|10.95880662|0|0.003194793|-0.28098676|-0.340979744|0.8384601770000001|0.74438723|0.7950674740000001|0|0.8740541479999999|-0.06128567|-0.0989946469999999|-45.57134103|-73.61131563|119.95308020000002|0.125945852|93.65193084|-54.73655332|64.12413387|100.6631306|-1177.78105|-15.09973885|15.1701491|0.946094849|6656.720346|-875.7848531999999|39.89581513|0.036380071|-13.36968593|779.0599798999999|27.05181494|1.0|1.0|1.0|1.0|1.0|3.79|3.68|0.15|24.0|-9.65|4.92|6.01|74.73|2.0|3.0|0.0|127.97|0.0|1.0|8.0|-6.16|-5.55|1.0|-5.66|2.18e-06|0.000967|0.0|0.0|-0.03714|4.3299|4.36|3.6257|-1470.816175|737.16|1272.84|286.35|629.67|0.70244|0.0199|-0.14839|-0.18553|0.03640044|-1470.55517|6.35|13.0|7.8861|7.8861
12g_a40|0.0|0|7.515889085|1.687211672|0.037440516|-0.01011728|5.4161004020000005|-0.129331216|0|0.036630824|0.167050952|0.726175674|-0.354104815|10.31197254|2|-0.003205145|0.106286677|-0.512657141|0.777835705|0.8396782220000001|0.6941475490000001|1|0.8702014570000001|-0.0951493559999999|-0.099521372|-49.94706785|-52.24208444|130.7472028|0.129798543|68.1355805|-27.42361099|0.0|59.29860462|-731.3891821000001|-11.99782981|14.39849078|0.871698484|5211.675486|-383.9305539|26.82520454|0.013442698|-369.5858437|335.7078145|7.056520179|1.0|0.0|1.0|0.0|1.0|3.24|3.2|0.0|20.0|-6.63|4.83|5.14|78.66|3.76|2.0|0.0|93.78|0.0|1.0|2.0|-6.46|-4.91|1.0|-5.79|1.62e-06|0.000586|0.0|0.0|-0.07424|4.0224|4.84|3.1577|-2173.044757|540.25|896.63|308.23|429.31|0.6988|0.2682|-0.13191|-0.20615|0.02230594|-2172.988604|2.7075|724.0|6.1403|6.1403
14r_a23|0.0|0|7.423568444|3.201732471|-0.009140243|-0.006323791|5.351858133|-0.06921746|2|0.045277778|0.014148395|0.7087588690000001|-0.322513347|10.31321824|2|0.0075222369999999|-0.17267308|-0.454010253|0.616699629|0.846632079|0.5935522360000001|1|0.8662226190000001|-0.062618931|-0.085881409|-40.32463891|-55.30494931|47.26552456|0.133777381|86.14846171|-35.61466281|55.62948521|66.31173073|-1106.098986|-15.15517566|14.15357616|0.873329024|6744.848704999999|-712.2932561000001|29.85706563|0.017092103|-371.2130393|599.5697147999999|11.00678143|0.0|0.0|1.0|0.0|1.0|3.47|3.06|0.05|26.0|-7.67|3.78|4.58|105.02|3.4|2.0|1.0|120.24|0.0|1.0|5.0|-5.58|-6.31|0.0|-5.11|7.73e-06|0.00332|0.0|0.0|-0.06842|5.9406|3.72|3.1797|-1729.1556449999998|678.08|1145.51|208.71|513.71|0.68115|0.0008|-0.15536|-0.22378|0.02296354|-1728.98403|8.8722|5.0|8.2684|8.2684
12v_a30|0.0|0|7.412764017000001|0.0|0.037440652|-0.006974714|5.351858133|-0.029548782|2|0.04625323|-0.099831334|0.0|-0.369659818|10.31162873|1|0.001805829|-0.0857954809999999|-0.471153275|0.8149999040000001|0.889479916|0.711738503|0|0.8501212029999999|-0.077138874|-0.0971402169999999|-52.18846092|-65.72041011|82.09302037|0.1498787969999999|101.4008026|-44.46327619|0.0|75.73440678|-1248.687792|-17.2408622|15.56114504|0.917675298|6952.110426|-844.8022477|31.6144427|0.014801518|-414.1432908000001|685.6665849999999|10.01399667|1.0|0.0|1.0|0.0|1.0|4.62|0.0|0.14|17.0|-7.8|5.11|3.92|81.65|3.79|2.0|0.0|137.3|0.0|1.0|5.0|-6.58|-5.52|1.0|-6.04|9.14e-07|0.0004269999999999|0.0|0.0|-0.0563|3.5507|5.08|3.5507|-2494.963646|715.58|1209.1|349.18|573.82|0.68405|0.1601|-0.1505099999999999|-0.20681|0.03495552|-2494.802821|4105.0|22.0|7.6596|7.6596
11_a27|0.0|1|7.535296702|0.0|0.100091619|-0.0067474069999999|5.4161004020000005|-0.003527607|2|0.042533875|-0.080272515|1.3706083080000002|-0.344117757|10.93910312|0|0.005111147|-0.067428705|-0.488734846|0.734834532|0.8629676709999999|0.7146215429999999|1|0.7645505|-0.079921166|-0.094820973|-42.27430065|-50.15555389|143.3238715|0.2354494999999999|124.5410133|-26.52978026|72.60399149|56.8702158|-852.6444161000001|-9.595877966|9.562117063|0.82770457|5186.240841|-451.0062644|22.42732497|0.012694323|-326.780942|504.209846|6.714661907000001|1.0|0.0|0.0|0.0|1.0|3.95|0.0|0.35|16.0|-6.09|2.72|1.67|61.88|3.06|0.0|0.0|106.33|0.0|1.0|2.0|-3.68|-6.47|0.0|-4.02|9.45e-05|0.0326|0.0|0.0|-0.05985|3.3426|4.54|2.4836|-1122.456105|571.4|974.29|370.92|415.32|0.59222|0.0793|-0.1022|-0.16205|0.0226944|-1122.242519|4.2894|5.0|8301.0|8301.0
12al_a36|0.0|1|7.412764017000001|0.0|-0.06777947|-0.008463062|5.351858133|-0.04314418|2|0.042739018|0.1030147719999999|0.0|-0.4908576189999999|10.96020817|1|0.003077071|-0.239932418|-0.404703593|0.8913597320000001|0.885733922|0.84179881|0|0.801179217|-0.077842923|-0.105915949|-51.22331485|-69.69632923|114.2305891|0.198820783|130.8308989|-45.86257662|0.0|86.77628559|-1254.533926|-15.28752554|16.15533063|0.841133748|6049.668466|-825.5263792000001|34.61874732|0.025956027|-225.1591357|679.7230552999999|17.07995636|1.0|0.0|0.0|0.0|2.0|4.81|0.0|0.17|17.0|-6.69|2.77|1.89|78.43|1.72|1.0|0.0|130.24|0.0|1.0|6.0|-3.95|-6.93|0.0|-4.07|8.499999999999999e-05|35.0|1.0|0.0|-0.04998|3878.0|2.92|3.5511|-1347.479819|702.95|1181.84|319.71|554.23|0.70417|0.0095|-0.14558|-0.1955599999999999|0.03469224|-1347.257936|8.1781|48.0|7.3188|7.3188
12s_a30|0.0|0|7.412764017000001|0.0|-0.00019297|-0.007621736|5.351858133|-0.095120438|2|0.04625323|-0.0601024909999999|0.0|-0.403952011|10.31162892|1|-0.001131023|-0.145315868|-0.446807335|0.609043558|0.889479916|0.591758164|0|0.706713791|-0.090733404|-0.103647048|-58.75255278|-67.11451776|89.91581294|0.2932862089999999|189.9114627|-43.45862792|0.0|78.38074776|-1275.175837|-16.8513047|15.14544373|0.877516163|6639.7334200000005|-825.7139305|32.92168852|0.017398791|-376.1910929|616.2856203|11.26623|1.0|0.0|1.0|0.0|1.0|4.63|0.0|0.14|17.0|-7.16|4.67|3.74|81.65|3.58|2.0|0.0|127.19|0.0|1.0|5.0|-5.49|-6.06|0.0|-5.17|6.71e-06|0.00291|0.0|0.0|-0.0551|5.0438|4.32|3.5348|-1774.236634|677.35|1140.1|245.81|526.07|0.68458|0.1576|-0.14985|-0.20495|0.03401064|-1774.072418|3.9579|7.0|8129.0|8129.0
