molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|n5aRing|n5aHRing|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|nFaHRing|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|GRAVp|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
14b_a3|0.0|0|0.0|0|6.823286122000001|0|0|0.0|0.143500839|-0.009130444|4.727387819|-0.1160619169999999|3|0.039799383|-0.1551678719999999|1.7086790859999998|1|1|-0.094863591|-0.575695827|3|0.882394075|-0.170297225|0.848135222|1|-0.100993354|0.379746504|-44.49789848|-49.38772279|6.273415527999999|104.4171556|-0.036469822|-24.15156108|3.067822725|82.79166784|0.766915433|57.87172082|2160.565755|-642.0403962|-8.721397057|9.738358819|0.951659927|4803.535505|113.9829058|-313.9702941|-261.0537205|358.3503513|8.483998032|0.0|3.18|0.06|21.0|4.28|3.71|1.04|0.0|1.0|2.0|23.0|-6.42|0.0|0.0|1.0|2.82|-3.99|3.54e-05|0.0113|0.000103|2.58|0.0|1.28e-07|-0.06676|3.0724|3.0724|524.27|879.19|403.54|0.2276|403.54|368.39|0.70123|0.70123|-1327.349444|0.2276|-0.12942|2.8743|-0.19618|0.02844675|3.8724|6.4202
14v_a23|0.0|1|-4.844615416|2|7.423568444|0|0|3.004639728|0.135774541|-0.014768546|5.351858133|-0.299484129|2|0.047323232|0.055572317|0.636416435|2|2|-0.2952674819999999|-0.650246427|2|0.598213287|-0.022236834|0.845160857|1|-0.09479984|0.31419322|-44.4776373|-62.61276875|13.08518422|55.07999434|-0.042752869|-41.35406587|8.64241561|0.912757854|0.788328659|76.42257099|3399.4261450000004|-1440.093681|-18.64987284|14.26610767|0.84234449|8458.789829000001|139.8032821|-951.143515|-380.8667976|676.4530574|13.80980223|0.0|3.62|0.09|26.0|3.97|6.18|3.04|0.0|1.0|7.0|35.0|-5.94|1.0|0.0|0.0|4.28|-6.0|1.29e-07|6.38e-05|1e-06|4.76|0.0|1.12e-08|-0.07843|3694.0|3694.0|679.5|1206.02|335.64|348.0|335.64|533.44|0.6017100000000001|0.6017100000000001|-2041.93452|348.0|-0.1524299999999999|4.5506|-0.2308599999999999|0.02053833|6.3758|8.4001
12b_a32|0.0|1|0.0|0|7.765993078999999|0|0|0.0|0.115940697|-0.009432679|5.733341277|-0.055500132|0|0.0388738739999999|-0.044307211|2.153718992|3|3|-0.1534110109999999|-0.584995111|0|0.788133615|-0.090027803|0.8887585240000001|1|-0.097525366|0.2996018789999999|-50.88975159|-60.93328667|10.17310723|135.83463989999998|-0.027561517|-38.07076621|6.356098747000001|65.29222164|0.60420609|76.65746734|2573.006963|-792.1327267000001|-10.75912958|12.42841652|0.756331814|5653.268811|247.2897528|-494.9199607|-130.2147289|557.1050635|15.72418067|1.0|3.47|0.26|19.0|6.49|4.19|1.1|1.0|1.0|7.0|27.0|-6.4|1.0|0.0|1.0|3.59|-4.43|1.27e-06|0.000505|3.72e-05|3.28|0.0|2.23e-08|-0.05173|3.5703|3.5703|663.89|1109.93|347.27|0.2865|347.27|541.49|0.70258|0.70258|-1880.537231|0.2865|-0.14803|3208.0|-0.19976|0.0385132|4.1080000000000005|7585.0
12bd_a36|0.0|0|0.0|0|7.412764017000001|2|2|0.0|-0.051990612|-0.006695407|5.351858133|-0.045630197|2|0.04625323|0.025649557|0.0|1|1|-0.169994208|-0.436345273|1|0.902377067|-0.047786573|0.833398429|0|-0.099460046|0.279020022|-46.92083391|-65.65179884|11.7156452|110.578217|-0.035521445|-43.33557909|7.733288012999999|0.0|0.78244124|75.7932235|2772.776922|-1313.035977|-15.47699253|15.34283166|0.905749421|5957.939097|143.6066496|-866.7115819|-372.868829|729.1873176|10.14142465|1.0|4.95|0.21|17.0|3.76|2.5|2.45|0.0|1.0|5.0|31.0|-6.38|0.0|1.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0117|2.5e-05|3.41|0.0|4.55e-08|-0.05236|3.8786|3544.0|706.26|1200.23|349.84|0.4467|319.66|568.94|0.69411|0.7044100000000001|-1311.291779|0.0058|-0.1459|5.7533|-0.19826|0.03110617|7.6908|7.7696
18_a47|0.0|1|0.0|0|6.605297921|0|0|0.0|-0.141396999|-0.004337918|4.59511985|-0.06345679|3|0.037919622|-0.026357805|1.5913490630000002|1|1|-0.053119347|-0.322800033|3|0.646771311|-0.027351545|0.851462739|1|-0.084415066|0.454324931|-49.44908758|-52.88049505|9.234746417|139.1786571|-0.0303894239999999|-33.12615721|5.784962137000001|3.684585007|0.7327484470000001|63.72933669|2800.3745940000003|-951.8489108|-11.9254166|12.35791568|0.7608026529999999|6261.441874|167.41554630000002|-596.2708299|-291.6032324|628.5247532999999|10.84884165|1.0|3.47|0.08|27.0|5.53|6.0|2.63|0.0|0.0|4.0|31.0|-5.87|1.0|0.0|1.0|4.16|-5.37|3.13e-06|0.00129|4.29e-06|4.13|0.0|4.34e-11|-0.04964|4.2668|4.2222|652.12|1130.76|293.65|0.4335|290.58|487.81|0.4659|0.63359|-1353.979194|0.0516|-0.17349|3.4464|-0.22313|0.04031146|5.3433|8.6
14k_a23|0.0|1|0.0|2|7.423568444|0|0|3.358995671|0.070940371|-0.005866159|5.351858133|-0.024758731|2|0.046283951|0.04479394|0.74561778|2|2|-0.13187015|-0.463402169|2|0.722187957|-0.091426449|0.864845456|1|-0.079899943|0.226547411|-37.43135588|-53.17069631|12.53019305|51.64167457|-0.033999976|-35.38329134|8.338417622|80.31548917|0.783562394|64.04991522|2955.4566170000003|-1063.413926|-15.05671972|15.99703938|0.948005074|6715.186162999999|144.0318708|-707.6658267999999|-377.4022725|633.3278634|10.87921891|0.0|3.39|0.05|26.0|4.0|4.67|3.51|0.0|1.0|5.0|31.0|-6.03|0.0|0.0|0.0|3.99|-5.55|7.49e-07|0.000334|2.83e-06|4.21|0.0|1.02e-08|-0.07933|3.6421|3.6421|691.9|1179.17|340.42|0.4694|340.42|552.65|0.63765|0.63765|-2089.293765|0.4694|-0.14784|5.8718|-0.2271699999999999|0.02271117|8.3627|8.4123
17b_a50|0.0|1|0.0|2|7.934155233999999|1|1|4.35392516|-0.145258626|-0.002181823|5.82008293|0.013050204|1|0.032052154|0.035558152|2.206759705|2|2|-0.357011777|-0.237489143|1|0.7715057479999999|-0.257646121|0.799772151|1|-0.07555585|0.4220781729999999|-33.25475672|-52.58062823|8.976922737999999|47.42733742|-0.02681014|-36.59177249|6.247196459|86.9549829|0.803386523|59.65808461|2765.537065|-1156.773821|-12.98417734|16.11918162|0.936245718|6059.076348|136.82673369999998|-805.0189948|-422.2639022|862.3868512|7.077456382|1.0|4.17|0.35|20.0|4.18|4.92|2.71|0.0|1.0|8.0|32.0|-6.09|0.0|1.0|0.0|3.87|-4.91|1.7899999999999998e-05|0.00763|1.22e-05|3.96|0.0|2.87e-08|-0.0318|4.2447|4.0418|752.09|1300.3|306.75|0.1817|292.09|647.75|0.6269899999999999|0.66195|-1336.833957|0.1758|-0.16699|6.3333|-0.19879|0.02640483|8.4096|6.9136
21a_a23|0.0|1|0.0|2|7.525639975|0|0|3.43622302|0.1049806919999999|-0.005708466|5.4161004020000005|-0.038876045|2|0.042862319|0.071115216|0.773970837|2|2|-0.136106024|-0.484404194|2|0.725800261|-0.137122549|0.79188323|1|-0.082341001|0.224766417|-34.01266735|-54.35891011|7.634348008|48.49696614|-0.03458322|-35.88602363|5.039953753|82.08958626|0.842121383|61.73864319|2880.257677|-1141.537112|-15.07212993|15.66066298|0.969673962|6464.524241|104.2264415|-753.6064963|-451.7153132|666.0036144999999|7.379733085|0.0|3.53|0.09|26.0|3.88|4.33|3.24|0.0|1.0|5.0|31.0|-6.07|0.0|0.0|0.0|3.78|-5.28|1.3e-06|0.000552|5.29e-06|3.98|0.0|1.65e-08|-0.07243|3.6993|3.6993|701.01|1189.63|335.16|0.3692|335.16|558.61|0.60824|0.60824|-1668.989671|0.3692|-0.15024|5.3733|-0.2226699999999999|0.0203361|7.9309|6.9914
9c_a31|0.0|0|0.0|0|7.765993078999999|1|1|0.0|0.031715924|-0.013082561|5.733341277|-0.055520387|0|0.03482906|-0.0384827639999999|0.0|2|2|-0.223856622|-0.546598398|0|0.8083148840000001|-0.108617754|0.8856644770000001|0|-0.128097622|0.287455956|-65.84728287|-81.63444414|19.30758668|207.3144829|-0.035867334|-52.02424796|12.30439782|552.8237349999999|0.670716706|97.22026028|2592.448925|-1142.882218|-14.56678943|15.04941978|0.837843885|5658.985169|209.8466636|-728.3394714|-217.5897278|583.9691392000001|15.58581614|1.0|3.66|0.35|16.0|5.64|3.7|1.08|0.0|1.0|8.0|28.0|-6.53|0.0|0.0|1.0|3.32|-4.16|5.85e-06|0.00233|6.94e-05|3.1|0.0|5.79e-08|-0.03249|3849.0|3849.0|691.3|1147.93|322.12|0.2554|322.12|588.58|0.7007399999999999|0.7007399999999999|-1617.892493|0.2554|-0.15975|1.3617|-0.19224|0.04177078|2.2323|6.3768
17e_a50|0.0|1|0.0|2|7.934155233999999|2|2|4.3906140030000005|-0.153175103|-0.0020746479999999|5.82008293|0.038322942|2|0.031870748|-0.011278897|2.2384546640000003|2|2|-0.310566368|-0.229030473|1|0.7596299459999999|-0.202197068|0.7791604190000001|1|-0.073011385|0.4239465089999999|-32.24487658|-50.7956915|8.950665784|48.62532158|-0.02665495|-35.33972521|6.227183052000001|86.98647608|0.803671114|57.93079973|2883.936138|-1168.300905|-12.90180444|16.70124474|0.960006062|6301.28046|136.5904997|-812.8136797000001|-422.5418889|904.3172644|7.135108233|0.0|4.18|0.37|20.0|4.23|4.68|2.91|0.0|1.0|6.0|33.0|-6.08|0.0|1.0|0.0|4.03|-5.18|1.34e-05|0.00589|6.58e-06|4.08|0.0|4.63e-08|-0.03156|4.2373|4.0298|757.34|1312.91|307.67|0.1809|292.6|602.89|0.6322800000000001|0.66478|-1374.927998|0.1785|-0.16649|6.7175|-0.19805|0.02761851|8.8326|6.8097
