molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|n5aRing|n5aHRing|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|nFaHRing|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|GRAVp|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
12_a1|0.0|0|0.0|0|7.423568444|1|1|0.0|-0.0455890429999999|-0.011221829|5.351858133|-0.02164054|1|0.036382114|0.076867966|0.0|1|1|-0.173618873|-0.487073772|1|0.8016064479999999|-0.093957115|0.817998205|0|-0.104724018|0.210514881|-55.99493147|-60.78517756|19.60151089|136.3310784|-0.039894864|-35.28166588|11.37734536|477.1158679|0.724666653|74.99749378|2592.245875|-972.562841|-13.44063462|14.34104294|0.867391557|5468.378562|159.81230209999998|-564.5066541|-260.8074567|473.040639|14.21231622|1.0|3.29|0.05|23.0|4.87|4.41|1.67|0.0|1.0|3.0|28.0|-6.02|0.0|0.0|1.0|3.44|-4.75|1.04e-05|0.00379|1.77e-05|3.54|0.0|6.28e-09|-0.07042|3734.0|3.1744|607.42|1018.84|390.57|0.5867|332.04|482.51|0.69114|0.69763|-1215.922313|0.2821|-0.12874|7.7454|-0.19916|0.0296752|10.1801|5.5302
15b_a10|0.0|0|0.0|1|7.535296702|1|1|2.145379897|-0.197213588|-0.002413027|5.4161004020000005|0.024214591|2|0.033219955|-0.111812184|2.0455289690000003|1|1|-0.27395395|-0.195505087|2|0.744213612|-0.104250125|0.83320417|1|-0.07358373|0.697099355|-31.76194123|-50.44100799|10.94939968|53.52386591|-0.024105015|-34.57687319|7.505718446|118.6253241|0.670236374|62.53159836|2716.468606|-958.3791518|-11.32690674|11.42472965|0.706711759|6105.426726|226.0501037|-656.9605906|-233.3911134|766.4127559|12.09059037|0.0|3.61|0.32|21.0|4.34|4.44|2.14|0.0|1.0|7.0|31.0|-6.34|0.0|1.0|0.0|3.66|-4.64|4.46e-05|0.0185|2.28e-05|3.49|0.0|6.609999999999999e-09|-0.04734|5.7620000000000005|3.7625|721.17|1231.3|329.52|0.3575|215.17|587.53|0.46711|0.68906|-1317.429772|0.1595|-0.15579|4.7752|-0.20313|0.02977516|6.1384|7.0706
47a_a18|0.0|0|0.0|0|7.03438793|1|1|0.0|0.018016478|-0.006027559|4.844187086|-0.18843247|0|0.033641026|0.043161338|0.0|0|0|-0.358939392|-0.369841706|0|0.842412605|0.089156939|0.7991211029999999|0|-0.099310031|0.371382587|-67.93456546|-81.42570819|11.58086543|181.3725215|-0.036234741|-66.76209701|9.49531639|110.0917322|0.7936193709999999|93.5899242|3612.105567|-2198.494121|-24.3591435|19.74153879|0.934960691|8405.670404|169.2144153|-1802.576619|-481.4854016|1225.939287|12.16421601|1.0|4.97|0.28|18.0|0.48|3.35|1.85|1.0|1.0|12.0|39.0|-6.49|0.0|0.0|0.0|2.02|-5.58|1.8100000000000002e-07|9.9e-05|2.62e-06|4.44|1.0|5.4e-09|-0.05191|3.1947|3.1947|874.47|1536.87|388.09|0.6094|388.09|813.01|0.69508|0.69508|2098.280307|0.6094|-131.0|2.6271|-0.18291|0.0339441|3.0133|9.0
13_a15|0.0|0|0.0|0|0.0|1|1|0.0|-0.139434143|-0.006348913|0.0|-0.031457366|3|0.029206349|-0.006938727|0.0|0|0|-0.272482143|-0.357554652|2|0.843715005|0.009456191|0.7784213259999999|0|-0.098053528|0.708462114|-43.2365883|-61.86632281|10.21906987|72.25096855|-0.033811561|-39.03420883|6.447664726|0.0|0.755283433|72.41636305|3028.485145|-1237.326456|-13.46007201|10.07307988|0.931684902|7196.400881999999|154.4025434|-780.6841766|-322.1392954|830.7967967000001|10.55004024|1.0|4.13|0.07|24.0|4.33|6.69|2.52|0.0|1.0|6.0|34.0|-5.26|1.0|0.0|0.0|4.61|-6.1|4.77e-07|0.000214|7.970000000000001e-07|5.32|0.0|1.27e-09|-0.03946|3942.0|2.5721|674.36|1231.11|482.03|208.0|314.52|549.33|0.63827|0.70626|-1450.399387|0.0003|-0.11283|3.5479|-0.15229|0.02844037|6.0429|8.2218
19g_a38|0.0|0|0.0|0|7.412764017000001|2|2|0.0|-0.077355838|-0.008497058|5.351858133|-0.117921811|2|0.042419753|-0.037579797|0.0|1|1|-0.250781298|-0.438254637|1|0.653741315|-0.076414544|0.892249657|0|-0.114243258|0.5322242429999999|-54.62049927|-72.29378538|14.52522351|177.181631|-0.038842708|-45.74791999|9.191644336|18.41027014|0.719941993|86.78105144|2897.384301|-1228.994351|-15.5542928|11.62016299|0.836356715|6631.17356|177.2223055|-777.7146399000001|-278.3610963|593.6088758|14.48726605|1.0|4.82|0.14|17.0|3.55|3.11|2.78|0.0|1.0|5.0|31.0|-6.81|0.0|0.0|1.0|2.97|-4.33|5.68e-05|0.0238|4.67e-05|2.88|0.0|7.599999999999999e-08|-0.05479|5.2766|3.6887|638.82|1104.29|336.12|0.2285|234.97|475.84|0.3937|0.69982|-1431.186566|0.0962|-0.15269|5.0677|-0.20748|0.03244515|6.1765|7.3778
12_a47|0.0|1|0.0|0|6.605297921|0|0|0.0|-0.155854903|-0.005522244|4.59511985|-0.078935336|2|0.036632997|0.001435849|1.555521837|1|1|-0.015039637|-0.326846977|2|0.6505449670000001|0.050943962|0.90246604|1|-0.091853238|0.266995634|-44.18983348|-47.83891561|9.382250925|112.4599133|-0.034116917|-24.91541818|4.886454935|0.0|0.680723821|61.09751253|2266.78114|-621.9059029|-9.25429818|13.52358352|0.920341815|4816.005822|166.28511369999998|-323.9004363|-188.2488142|335.1175012|13.25859692|1.0|2.73|0.0|21.0|4.19|4.98|2.6|0.0|1.0|3.0|24.0|-5.94|0.0|1.0|1.0|3.37|-4.56|3.11e-05|0.0106|2.77e-05|3.43|0.0|7.69e-09|-0.0623|4.2907|3.9538|537.79|886.46|313.58|0.2306|288.96|400.09|0.66387|0.68557|-1487.974738|0.2241|-0.1633|2.1019|-0.2256|0.03721125|3.5884|8.2
12aj_a36|0.0|0|0.0|0|7.412764017000001|2|2|0.0|-0.056210607|-0.00706023|5.351858133|-0.045035034|2|0.043848238|0.064171987|0.0|1|1|-0.1763783589999999|-0.43462267|1|0.90414347|-0.072770961|0.8632656809999999|0|-0.10279655|0.251263868|-46.79363201|-65.89100364|11.73352271|110.89910559999998|-0.0368515929999999|-42.23511741|7.521007149|0.0|0.77492734|76.5855549|2710.647462|-1251.929069|-15.14089115|15.35536375|0.905958957|5763.333098|144.26810480000003|-802.4672307|-352.4483722|662.0530478999999|10.69455126|1.0|4.84|0.17|17.0|3.24|2.19|2.24|0.0|1.0|5.0|30.0|-6.55|0.0|1.0|0.0|2.14|-4.3|6.929999999999999e-05|0.0274|5.05e-05|3.04|0.0|1.08e-07|-0.05275|5.2301|3.6017|682.84|1157.64|344.24|0.5616|237.06|539.55|0.4112|0.70423|-1271.9998859999998|0.0082|-0.14818|5.8554|-0.20093|0.03225532|7.8393|7.7696
13l_a6|0.0|0|0.0|0|7.412764017000001|1|1|0.0|0.03093879|-0.0143011819999999|5.351858133|-0.132667824|1|0.0408037829999999|0.090187973|0.0|1|1|-0.073210645|-0.564860904|1|0.8694295409999999|-0.1470289659999999|0.84018367|0|-0.126521431|0.210844002|-82.24617981|-88.13242567|20.90615311|248.6104661|-0.0451862259999999|-61.3913735|14.56282911|118.3485042|0.793671137|100.8610837|2967.923804|-1762.648513|-21.92549054|15.34147837|0.7413520309999999|6462.086665999999|143.7247666|-1227.82747|-409.1314702|741.5222707|12.72865798|1.0|3.64|0.16|23.0|4.55|3.8|1.39|0.0|1.0|7.0|33.0|-6.59|0.0|0.0|1.0|3.07|-4.77|3.26e-06|0.00144|1.7100000000000002e-05|3.39|0.0|1.29e-09|-0.04885|3.6675|3.5499|735.52|1249.13|349.26|0.3115|338.07|578.91|0.7002|0.70515|-1465.560303|0.0165|-0.14562|7.2582|-0.19447|0.03092407|8.9893|6.4145
12z_a30|0.0|0|0.0|0|7.412764017000001|2|2|0.0|-0.1155022219999999|-0.008819424|5.351858133|-0.026703371|2|0.040566449|0.034848862|0.0|1|1|-0.207153446|-0.39205163|1|0.8397577820000001|-0.077335468|0.855880335|0|-0.107776943|0.315493739|-49.68145417|-74.96232552|21.47520633|116.2094523|-0.034034824|-52.13870496|14.93669572|0.0|0.630839856|95.20867045|3112.622632|-1349.321859|-16.464854199999998|15.74641625|0.950863559|7074.004131999999|256.7627363|-938.4966892|-182.00664430000003|792.3440337000001|20.24634493|1.0|4.86|0.21|17.0|3.94|2.63|2.2|0.0|1.0|7.0|33.0|-6.39|0.0|0.0|0.0|2.52|-5.0|2.47e-06|0.00113|9.94e-06|3.81|0.0|1.47e-07|-0.04679|4.8063|3.4438|739.33|1266.9|360.02|0.1855|257.96|580.6|0.5513100000000001|0.6853199999999999|-1804.51674|0.1441|-146.0|7.0446|-0.19279|0.02895763|7.2113|7.3615
3d_a49|0.0|0|0.0|1|7.535296702|1|1|2.089548665|-0.0960135969999999|-0.003398408|5.4161004020000005|-0.3456333889999999|2|0.036335697|-0.087308534|1.775376197|1|1|-0.129666234|-0.202380888|2|0.914407252|0.029549308|0.863438637|1|-0.094384452|0.464410121|-57.52001036|-54.67520803|5.561916586000001|154.6267696|-0.036147237|-31.67236018|3.221917789|0.0|0.756622045|65.59130031|2809.9605100000003|-984.1537446|-12.12984007|12.87442833|0.946920034|6018.145364|140.9844521|-570.1024832|-297.31302830000004|549.3593871|10.91609228|1.0|3.29|0.15|21.0|0.72|4.46|1.07|0.0|1.0|4.0|28.0|-6.58|0.0|0.0|1.0|1.85|-4.44|6.42e-06|0.00252|3.6200000000000006e-05|2.98|0.0|7.1e-07|-0.05766|5.1844|3.8907|615.3|1044.19|318.67|0.2899|239.15|455.47|0.3523699999999999|0.67215|-1594.380348|0.0931|-0.16147|2184.0|-0.21913|0.04373784|2.3278|5.6308
5a_a50|0.0|1|0.0|2|7.927685046000001|1|1|4.202707546|-0.203248487|-0.00148647|5.82008293|-0.017108794|1|0.038040936|0.017227585|2.475383677|2|2|-0.168135655|-0.161169418|1|0.699970832|-0.203436041|0.847812674|1|-0.065209836|0.2814514|-20.77548565|-34.7974024|5.435098605|16.06582337|-0.022747617|-18.56865899|2.900288114|60.04351409|0.66527517|44.17662122|2246.106104|-521.9610361|-6.477439183|10.76914508|0.8275167520000001|4770.917486|178.61652859999998|-278.5298849|-176.38892919999998|462.1867149|9.379218813|1.0|3.5|0.14|20.0|3.66|4.33|2.62|0.0|1.0|2.0|25.0|-5.83|0.0|1.0|1.0|3.47|-4.5|0.000129|42.0|3.14e-05|3.46|0.0|5.7e-07|-0.02487|5.6146|4.0159|582.98|976.41|308.73|0.2735|220.82|455.34|0.39948|0.6725399999999999|-1029.734933|0.1156|-0.16659|3.9843|-0.19146|0.02452028|5649.0|5.3872
22_a20|0.0|0|0.0|1|6.842683282|0|0|1.915285809|-0.238401323|-0.00147607|4.727387819|0.023539095|2|0.0388043479999999|0.09301076|2.041494094|1|1|-0.060582944|-0.177976478|2|0.616352201|-0.067650395|0.809440795|1|-0.067797027|0.425968568|-39.00017609|-44.14650378|8.001165067999999|34.8271111|-0.027118811|-28.7463017|5.21001405|54.71081293|0.77063827|52.90592556|2738.108259|-882.9300756000001|-11.49852068|14.17638345|0.913422548|5924.626340999999|149.350479|-574.9260339|-352.4559681|664.4562602999999|8.759421782|1.0|3.36|0.08|27.0|5.33|5.39|2.61|0.0|1.0|4.0|31.0|-5.58|0.0|0.0|1.0|4.24|-5.53|2.48e-06|0.000997|2.98e-06|4.47|0.0|2.04e-10|-0.0568|5.5591|3.9732|694.15|1181.95|312.05|0.2636|223.03|563.43|0.38233|0.66063|-1275.598059|0.0015|-0.16176|4.8308|-0.21856|0.03226475|6141.0|6.6364
16i_a32|0.0|1|0.0|0|7.765993078999999|0|0|0.0|0.175604846|-0.0146198339999999|5.733341277|-0.075706124|0|0.0439583329999999|-0.056414399|2.078707411|3|3|-0.211019184|-0.700853898|0|0.801401734|0.009897928|0.8829894|1|-0.114771536|0.5368697929999999|-56.03343427|-75.01027196|14.59730623|129.7354415|-0.036726892|-49.02383532|9.540239197|32.3175507|0.718964113|88.80827938|2770.767996|-1200.164351|-15.6876273|12.57892808|0.836873682|6355.471589|183.6742715|-784.3813651|-286.2130831|636.0251562999999|13.79800742|1.0|3.75|0.3|19.0|6.25|4.85|1.34|1.0|1.0|8.0|29.0|-5.93|1.0|0.0|0.0|3.96|-5.09|9.25e-08|3.96e-05|8.18e-06|4.19|0.0|4.01e-08|-0.05044|3.6176|3.6176|692.96|1175.51|342.72|0.2857|342.72|573.38|0.70222|0.70222|-1995.055356|0.2857|-0.14976|3353.0|-0.2002|0.02810109|4.0568|8.2596
11_a47|0.0|0|0.0|0|0.0|0|0|0.0|0.035230036|-0.007767503|0.0|-0.156077888|3|0.033931624|-0.0586047379999999|1.311097861|0|0|-0.079543257|-0.451384505|3|0.702719047|0.07716247|0.770028429|1|-0.096486559|0.572646116|-50.01659041|-59.10798423|5.184267117|124.4421556|-0.035945973|-36.20974614|3.175899139|1.882633323|0.816608795|66.9895812|2842.168734|-1123.0517|-13.48990542|11.22841564|0.8820228529999999|6736.717611|112.34605729999998|-687.9851765999999|-387.9111844|670.2339441|7.881596968999999|1.0|3.28|0.04|28.0|5.58|6.68|3.0|0.0|0.0|4.0|32.0|-5.28|1.0|0.0|1.0|4.69|-6.03|5.110000000000001e-07|0.000216|9.32e-07|5.06|0.0|2.81e-11|-0.05094|3.7253|3.7253|654.49|1146.42|332.82|0.2321|332.82|549.52|0.6915399999999999|0.6915399999999999|-1395.922861|0.2321|-0.1546|2.9142|-0.20554|0.03959805|4.6111|7.4
12f_a30|0.0|0|-4.734662095|0|7.412764017000001|2|2|0.0|0.156569208|-0.015345198|5.351858133|-0.274237737|2|0.041555556|0.1468972409999999|0.0|1|1|-0.226973911|-0.6394697460000001|1|0.613786308|-0.071123509|0.876441789|0|-0.108935062|0.56363596|-63.81176255|-76.85198573|11.07796031|115.8783181|-0.0452183279999999|-54.21787616|7.815328055|1.45550709|0.815175332|89.21786458|3305.792133|-1690.743686|-22.5055335|15.86072943|0.8958126809999999|7634.176316|130.3909181|-1192.793275|-444.7025522|696.6414817000001|12.36587885|1.0|4.73|0.17|17.0|4.43|4.78|2.82|0.0|1.0|7.0|34.0|-5.66|0.0|0.0|0.0|3.42|-5.92|1.99e-07|9.63e-05|1.2e-06|5.05|0.0|6.61e-08|-0.05464|5.0587|3.5298|729.87|1225.63|351.25|0.2166|245.09|574.31|0.32483|0.68471|-1987.782125|0.1596|-0.14958|3.6633|-0.20422|0.03400408|4.6865|7.7144
19b_a38|0.0|0|0.0|0|7.412764017000001|2|2|0.0|-0.122009545|-0.008652352|5.351858133|-0.115864198|2|0.044392765|0.013765516|0.0|1|1|-0.250781298|-0.443325632|1|0.653741315|-0.114123934|0.8851623040000001|0|-0.11557289|0.336505882|-53.38447032|-71.73053105|13.92699891|168.00390359999997|-0.041606241|-44.51968852|8.643817972|0.0|0.7596369590000001|84.49751102|2897.652112|-1291.149559|-16.02708787|13.74014387|0.91919733|6518.872269|149.181772|-801.3543933999999|-322.28833010000005|593.6088758|12.76697997|1.0|4.82|0.14|17.0|3.55|3.11|2.78|0.0|1.0|5.0|31.0|-6.81|0.0|0.0|1.0|2.94|-4.33|5.68e-05|0.0238|4.67e-05|2.88|0.0|7.599999999999999e-08|-0.05031|5363.0|3.7509|646.81|1111.29|330.55|0.4634|231.18|485.64|0.38952|0.69411|-1431.18309|0.1945|-0.15414|5.5253|-0.20445|0.03336932|6.3396|7.9172
14t_a23|0.0|1|0.0|2|7.423568444|0|0|3.410065804|0.04919958|-0.005383494|5.351858133|-0.024472753|2|0.045277778|0.073534004|0.758345646|2|2|-0.136106024|-0.4515027279999999|2|0.725800261|-0.152771194|0.820002545|1|-0.079253435|0.361071229|-36.09926385|-51.65035498|11.36130649|51.51331913|-0.033286443|-33.66111722|7.404291213|42.20767549|0.799945841|61.0040156|2878.4071670000003|-1084.657455|-14.13766923|14.13931199|0.872595673|6523.656379|130.3775455|-706.8834616|-390.9561553|666.0036144999999|9.353660614|0.0|3.52|0.09|26.0|3.88|4.33|3.24|0.0|1.0|5.0|31.0|-6.1|0.0|0.0|0.0|3.78|-5.25|1.43e-06|0.000608|5.61e-06|3.94|0.0|1.65e-08|-0.06666|3.9855|3.2060000000000004|692.08|1184.43|386.72|0.2061|311.09|534.86|0.5824199999999999|0.68886|-1668.980578|0.0003|-0.15625|5.8672|-0.22291|0.02135191|8.3062|8.3979
15_a3|0.0|0|0.0|0|6.823286122000001|1|1|0.0|0.079167398|-0.006742751|4.727387819|-0.092127078|3|0.045993266|-0.182934001|1.809035179|0|0|-0.039798975|-0.505519936|3|0.968837995|0.036380489|0.866559772|1|-0.107619999|0.451058529|-47.26593592|-55.08588323|4.04445331|113.1667185|-0.037667|-28.19600959|2.070175472|0.0|0.850327497|60.30684851|2116.88728|-771.2023653|-9.868603355|9.975434973|0.85723565|4617.470007|76.61068671|-394.7441342|-358.6340772|402.781061|5.220965278|1.0|4.12|0.24|16.0|2.21|1.56|0.96|0.0|2.0|2.0|23.0|-7.35|0.0|0.0|0.0|1.2|-3.02|0.0017|547.0|0.000951|1.28|0.0|1.66e-06|-0.06319|6.0077|3.7072|553.81|916.07|334.44|0.4107|206.37|398.12|0.2843199999999999|0.67902|-1328.531138|0.0173|-0.1576|1.9539|-0.22079|0.0228507|2.3271|7.6021
6_a15|0.0|0|0.0|0|0.0|0|0|0.0|-0.199979249|-0.00951284|0.0|-0.048804012|1|0.042926829|0.106485923|0.0|0|0|-0.281352401|-0.35221474|1|0.8511056929999999|-0.015484797|0.7248900659999999|0|-0.123000073|0.398681391|-41.14459066|-71.76572566|17.20414198|82.0880213|-0.0307500179999999|-41.87249058|10.03794313|55.65697829|0.581974721|88.94853813|2454.904173|-932.9544335|-10.46812265|10.02135591|0.640136254|5589.043165|243.9013805|-544.3423775|-95.65807914|592.4420375|17.18281248|1.0|3.29|0.23|18.0|4.43|5.26|2.18|0.0|1.0|7.0|28.0|-5.33|0.0|1.0|1.0|4.11|-5.14|2.16e-06|0.000823|7.32e-06|4.64|0.0|1.13e-08|-0.02419|4.3423|3.7696|612.22|1092.02|328.9|0.2616|285.52|545.21|0.65191|0.70554|-1262.75978|0.0113|-0.15714|1.3789|-0.18133|0.01711539|1.9421|7.4559
7_a27|0.0|0|0.0|2|6.842683282|0|0|3.330197625|0.112935885|-0.00601016|4.727387819|-0.050197188|2|0.049625|-0.133453335|1.280380317|1|1|-0.323631281|-0.500327496|2|0.6413629129999999|-0.08694032|0.8546689820000001|1|-0.084531496|0.358145768|-34.09779211|-47.44936449|8.475438874|83.57286704|-0.0300556429999999|-26.6343589|4.757447929|60.73467304|0.763564713|55.55559276|2334.058688|-759.1898319000001|-9.469994277|12.087978|0.875167537|5082.120742|132.7162621|-426.1497425|-295.8891961|479.0078184|8.106228264|1.0|3.24|0.2|21.0|3.32|3.05|2.88|0.0|1.0|3.0|26.0|-6.26|0.0|1.0|1.0|3.14|-4.28|8.66e-05|0.0299|5.2e-05|3.02|0.0|2.43e-07|-0.04887|4.1205|4.1205|606.74|1016.96|300.9|0.4179|300.9|505.5|0.61278|0.61278|-1122.249324|0.4179|-0.16734|4.2487|-0.2162099999999999|0.02179141|6.3813|9.0
4b_a49|0.0|0|0.0|1|7.535296702|1|1|2.075628989|-0.109946885|-0.0074627159999999|5.4161004020000005|-0.077626337|2|0.036555556|-0.064060521|1.645329244|1|1|-0.089371493|-0.390006034|2|0.720824193|0.049923437|0.852400617|1|-0.090284437|0.438784865|-56.45224362|-55.5653235|14.84890147|148.84640819999998|-0.030696709|-34.19753462|9.138717999|64.87087098|0.645330839|71.2971749|2708.998101|-944.6104994|-11.62716177|14.53457293|0.915225186|6025.790417|218.2802175|-581.3580885|-178.8869784|600.3287567000001|15.73185141|1.0|3.37|0.22|21.0|3.71|3.26|1.66|0.0|1.0|6.0|30.0|-7.12|0.0|0.0|1.0|2.8|-3.88|0.000155|62.0|0.000132|2.28|0.0|8.91e-08|-0.06731|4.6422|3.7413|664.86|1121.45|331.39|0.2856|267.08|509.78|0.4151899999999999|0.68242|-1332.800229|0.0615|-0.15635|1.8265|-0.22366|0.03702033|2.2306|7.1024
9d_a31|0.0|0|0.0|0|7.765993078999999|1|1|0.0|0.036844743|-0.012442213|5.733341277|-0.043220149|0|0.0359583329999999|-0.057650507|0.0|2|2|-0.214049412|-0.550392027|0|0.8066174070000001|-0.0375445629999999|0.873955169|0|-0.11958484|0.3655337879999999|-66.96024848|-81.53295088|19.79432796|208.401866|-0.033844766|-55.58917047|13.49577391|560.5224416|0.6636195229999999|97.84665015|2654.377004|-1222.994263|-15.732784099999998|17.39409698|0.8433415740000001|5748.743284|229.34422830000003|-833.8375571|-223.1115993|647.1500428999999|16.31369927|1.0|3.8|0.38|16.0|6.04|4.09|1.31|0.0|1.0|9.0|29.0|-6.36|0.0|0.0|1.0|3.65|-4.39|2.48e-06|0.0010199999999999|4.06e-05|3.46|0.0|2.3500000000000002e-08|-0.03457|3.8478|3.8478|727.27|1202.79|322.22|0.2611|322.22|630.49|0.7006899999999999|0.7006899999999999|-1657.1791449999998|0.2611|-0.15969|2.6311|-0.19426|0.04331056|3.5077|6.2218
4k_a46|0.0|0|0.173180233|1|7.825245291|1|1|2.145043462|-0.050636784|-0.0049602|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.0|1|1|0.012963356|-0.3860697829999999|1|0.78837943|-0.141706595|0.787615341|0|-0.086581945|0.260665072|-49.65634024|-46.76051618|3.801175594|65.39662252|-0.0306644389999999|-25.25406274|2.052909907|0.0|0.8732380740000001|50.48291318|2104.876032|-794.928775|-8.94414722|9.829220349|0.7163519709999999|4685.0322320000005|68.46061366|-429.3190666|-403.1511415|519.5743695|3.722397006000001|1.0|3.8|0.33|17.0|4.26|4.77|2.84|0.0|1.0|2.0|25.0|-5.46|0.0|1.0|1.0|3.79|-4.83|1.5e-05|5.0|1.4800000000000002e-05|4.05|0.0|2.48e-07|-0.01712|5.4228|4.4485|582.84|1001.96|278.71|0.2259|228.63|500.36|0.39943|0.68553|-1053.196897|0.1505|-0.18542|4.0015|-0.20254|0.03653474|5.7714|7.0969
3d_a12|0.0|0|0.0|0|0.0|1|1|0.0|0.092417272|-0.008186708|0.0|-0.053022041|3|0.038787879|-0.166233441|0.0|0|0|-0.237203828|-0.532019854|2|0.91670178|-0.108208213|0.82682708|0|-0.0958414059999999|0.2443206489999999|-34.34601551|-49.24083018|5.717316796|74.63869204|-0.035063929|-25.2986621|2.9374091630000003|0.0|0.77428353|57.52228251|2148.979792|-738.6124526000001|-9.255608086|10.96674758|0.89539167|4509.417998|115.96727140000002|-379.4799315|-281.8395348|410.9162081|8.281452338|1.0|3.98|0.11|18.0|3.37|2.19|2.26|0.0|1.0|3.0|24.0|-6.22|0.0|1.0|1.0|2.67|-3.91|0.000302|0.0945|0.000123|2.81|0.0|3.08e-08|-0.06842|4.2114|3.7719|548.21|918.3|328.71|0.3336|294.4|411.35|0.53114|0.6572100000000001|-1006.556654|0.1583|-0.15387|2.2068|-0.22229|0.02399772|3.0037|7.6021
11_a27|0.0|0|0.0|0|7.535296702|1|2|0.0|0.100091619|-0.0067474069999999|5.4161004020000005|-0.003527607|2|0.042533875|-0.080272515|1.3706083080000002|0|0|-0.067428705|-0.488734846|2|0.734834532|-0.043616687|0.8629676709999999|1|-0.094820973|0.349764196|-42.27430065|-50.15555389|8.553922917000001|124.5410133|-0.034296948|-26.52978026|4.524597532|72.60399149|0.8088958709999999|56.8702158|2339.465471|-852.6444161000001|-9.595877966|9.562117063|0.82770457|5186.240841|101.0845293|-451.0062644|-326.780942|504.209846|6.714661907000001|1.0|3.95|0.35|16.0|2.72|1.67|3.06|0.0|1.0|2.0|26.0|-6.47|0.0|1.0|0.0|2.04|-4.02|0.000207|0.0716|9.45e-05|2.73|0.0|8.2e-07|-0.05985|3.3426|2.4836|571.4|974.29|499.21|0.3492|370.92|415.32|0.6125|0.59222|-1122.190727|0.0793|-0.1022|3.1278|-0.16205|0.0226944|4.2894|8301.0
6_a4|0.0|0|0.0|1|7.535296702|1|1|2.170234316|-0.19701009|-0.001221193|5.4161004020000005|0.010164572|2|0.035283951|0.042096749|2.186806868|1|1|-0.073630392|-0.1738111839999999|2|0.664591856|-0.340860215|0.810030118|1|-0.0670158929999999|0.417868437|-29.18838891|-37.33240845|4.324187697|30.33467048|-0.024618083|-20.7966895|2.408866521|45.93422613|0.814470803|42.27020924|2342.371538|-671.9833521|-7.639600225|9.981741408|0.733355042|5256.215815|103.3523757|-374.340411|-350.36323230000005|578.2065561000001|4.937800786|0.0|3.38|0.26|21.0|5.1|5.23|3.09|0.0|1.0|3.0|27.0|-5.42|0.0|1.0|1.0|4.23|-5.11|1.24e-05|0.0043799999999999|7.74e-06|4.28|0.0|1.04e-08|-0.04867|4.8714|4.0354|613.83|1057.7|307.24|0.1235|254.51|453.87|0.60542|0.5877|-1108.338577|0.0772|-0.16959|2.8026|-0.2182599999999999|0.02244097|3.2192|5.8861
14z_a23|0.0|1|0.0|2|7.423568444|0|0|3.305974434|0.08752343|-0.005892861|5.351858133|-0.024897956|2|0.04314059|0.038811869|0.729326158|2|2|-0.125978901|-0.46459002|2|0.719722236|-0.035965909|0.8668730109999999|1|-0.079754981|0.228957475|-40.56245532|-55.54823244|12.77192721|52.02674091|-0.03393829|-38.68856944|8.895469235|79.960755|0.785604449|66.77741935|3094.698027|-1110.964649|-16.46322104|14.91419434|0.903664694|7285.13008|149.3235124|-773.7713888999999|-397.8390333|665.6233736|11.22918692|0.0|3.42|0.05|26.0|4.64|5.32|3.99|0.0|1.0|5.0|32.0|-5.8|0.0|0.0|0.0|4.49|-6.13|1.7e-07|8.18e-05|7.37e-07|4.83|0.0|2.6899999999999996e-09|-0.08503|4032.0|3.6632|715.41|1221.92|338.46|0.3201|307.5|586.28|0.66217|0.69913|-2548.895003|0.2917|-0.15195|5.9301|-0.23698|0.01238131|7.9877|8.2941
