molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|RASA|PBF|PNSA3|PPSA3|RPSA|WPSA3|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|CYP2C19 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
12k_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604984231|0.0|-0.007818038|5.351858133|-0.029595542|2|0.042739018|0.0|-0.44562817|0.0043261129999999|0.067265077|-0.038714845|0.0053380919999999|-0.240110949|-0.089279071|-0.4186541|1|0.838579475|0.830875659|-0.067714819|0.883029843|0|0.815083558|0.340031035|-52.35426525|16.01752015|0.184916442|10.61148425|-1.865577056|-23.31944323|68.37178540000001|0.47195436|539.9866061|2277.687222|-15.44895229|8.416930701|15.93977881|0.893775698|193.3575303|-818.7944715|0.0226150579999999|-275.77726980000006|1.0|1.0|0.0|0.17|-6.74|3.89|2.63|2.0|0.0|133.77|1.0|-5.44|5.0|-6.19|428.51|0.0|0.0|0.0|0.00154|1.19e-05|0.0050799999999999|3.84|0.0|0.0|1.84e-07|-0.05055|5.1958|3.58|-1690.269144|710.82|1200.31|0.2257|238.62|564.62|0.6864899999999999|-1690.031103|-0.14743|4.9516|-0.19798|0.03357755|5.0736|7.6144|7.6144
30_a47|0.0|0|1|1|0.0|0.0|1|6.842683282|0|1.304327883|1.435022468|-0.0092264759999999|4.727387819|-0.184735553|2|0.038387534|1.192095911|-0.415191425|-0.0098410169999999|-0.008774855|0.0467853809999999|-0.008325552|0.029343834|-0.035472095|-0.4370608039999999|2|0.6850994429999999|0.8485444809999999|0.074217097|0.913855507|1|0.67896733|0.384732322|-64.94243028|13.64937081|0.32103267|8.190002019|-1.609452527|-22.9932445|78.59180109|0.4680850139999999|407.3992771|1558.731067|-13.79658605|6.886726437999999|12.94704346|0.879999675|192.3403721|-579.456614|0.028122734|-215.3470619|1.0|1.0|2.12|0.05|-7.24|2.71|3.93|1.0|0.0|104.25|1.0|-4.22|5.0|-6.95|396.81|0.0|0.0|1.0|24.0|7.94e-05|0.0315|2.5|0.0|0.0|5.74e-08|-0.0564299999999999|3.7159|3.89|-1696.078047|615.85|1032.35|0.3566|333.66|478.04|0.6944899999999999|-1695.931037|-0.1517|2.7493|-0.20813|0.0420327|3.6487|7.9|7.9
3b_a32|0.0|1|1|1|3.3653429710000005|0.0|0|7.758333467000001|0|0.609420808|0.0|-0.007388108|5.733341277|-0.064476472|0|0.042528736|2.21541916|-0.265971895|-0.001282231|-0.1113575119999999|0.10614163|0.00020567|-0.078754696|-0.0791178979999999|-0.536470812|0|0.833920105|0.800396027|0.167519182|0.866250192|1|0.8407393809999999|0.2719741|-35.8437493|7.180211702|0.159260619|3.522270202|-1.103910485|-16.40987746|43.023961|0.460751087|412.4267349|1084.520517|-8.049905042|5.765940603|10.69254007|0.854431185|115.707414|-265.6468664|0.0154889019999999|-259.1375886|1.0|1.0|2.57|0.13|-6.5|6.25|4.43|1.0|0.0|88.24|1.0|-5.73|3.0|-5.57|312.41|0.0|0.0|1.0|0.0005809999999999|2.23e-05|0.00697|3.71|0.0|0.0|3.19e-07|-0.05396|3.5545|2.45|-1594.095192|524.46|857.0|0.2905|348.81|396.83|0.70257|-1594.0008779999998|-0.1474099999999999|3.5719|-0.20137|0.02589511|5.7777|8.2366|8.2366
12ap_a36|0.0|1|0|0|3.4417292610000003|0.0|0|7.412764017000001|2|1.2970441659999998|0.0|-0.007719624|5.351858133|-0.010732275|2|0.042739018|0.0|-0.424579308|-0.000143196|-0.105824575|-0.042675894|0.001194592|0.117738331|-0.098598933|-0.436880644|1|0.8707354620000001|0.832758813|-0.074596774|0.893689741|0|0.830587483|0.27547717|-54.21070432|14.26936622|0.1694125169999999|9.36249036|-1.91112774|-24.58703954|68.48007054|0.464588|544.9693552|2328.307856|-16.13217554|8.766216204|16.37284224|0.86772056|172.00197649999998|-822.7409526|0.020575639|-312.1212186|1.0|1.0|0.0|0.13|-6.66|2.75|1.76|1.0|0.0|128.47|1.0|-3.99|5.0|-7.08|406.44|0.0|0.0|0.0|0.0412|0.000113|0.0458|2.4|0.0|0.0|2.21e-07|-0.06084|4.9124|2.98|-1325.159466|691.41|1160.79|0.8819|252.39|553.28|0.6929|-1324.95298|-0.15704|7.0249|-0.21788|0.04039655|9.6512|7.4949|7.4949
17b_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|1|1.348984601|4.35392516|-0.002181823|5.82008293|0.013050204|1|0.032052154|2.206759705|-0.144000296|0.012409091|-0.152660972|-0.15040528|0.012686493|0.05636897|-0.2252068689999999|-0.237489143|1|0.7715057479999999|0.7621727979999999|-0.257646121|0.799772151|1|0.931849183|0.4220781729999999|-33.25475672|8.976922737999999|0.068150817|6.247196459|-1.662228695|-18.65764227|42.23167946|0.4835366239999999|648.4900322000001|1948.148592|-12.98417734|8.324966952|16.11918162|0.936245718|136.82673369999998|-805.0189948|0.010169967|-422.2639022|1.0|1.0|3.57|0.35|-7.54|4.18|4.92|3.0|0.0|131.39|1.0|-4.75|4.0|-6.09|426.56|0.0|1.0|0.0|0.00763|1.22e-05|0.0052|3.96|0.0|0.0|2.87e-08|-0.0318|4.2447|3.77|-1337.164673|752.09|1300.3|0.1817|292.09|647.75|0.66195|-1336.833957|-0.16699|6.3333|-0.19879|0.02640483|8.4096|6.9136|6.9136
16c_a32|0.0|1|1|1|3.329674745|0.0|0|7.765993078999999|0|0.6094207629999999|0.0|-0.01639019|5.733341277|-0.087497559|0|0.03995614|2.077479142|-0.770338913|-0.0064007569999999|-0.031087095|-0.036931818|-0.00369116|-0.057356214|-0.1260956869999999|-0.697601261|0|0.809370315|0.8607827790000001|-0.061904762|0.915639476|1|0.773043206|0.367322508|-53.00702241|15.38819548|0.226956794|9.181311842|-1.679836163|-22.77882371|68.39521789|0.463897164|461.2334662|3143.196853|-13.59090376|6.313526111|11.77670717|0.8653137670000001|188.1603823|-597.9997655000001|0.02579269|-220.3256617|1.0|1.0|3.08|0.22|-6.99|5.64|4.21|1.0|0.0|107.14|1.0|-6.04|5.0|-6.44|399.49|1.0|0.0|1.0|0.000366|3.89e-05|0.0155|3.23|0.0|0.0|1.0300000000000001e-07|-0.0505|3.6264|4.12|-1916.651132|639.66|1069.28|0.2955|341.89|508.43|0.70198|-1916.478107|-0.14997|4.0551|-0.20047|0.02806787|5.3459|8.3468|8.3468
25c_a34|0.0|0|0|0|0.0|0.0|1|7.412764017000001|2|1.377881974|1.958290974|-0.014384932|5.351858133|-0.047513652|2|0.037424242|0.0|-0.834326082|-0.002827527|-0.056443595|-0.041629027|0.001433865|-0.250299211|-0.3609280379999999|-0.5404076879999999|1|0.809687672|0.80135608|-0.072907053|0.844690266|0|0.683231623|0.478421157|-59.0359041|29.22363765|0.316768377|19.49130854|-1.7008949569999998|-21.008278|88.25954175|0.4356106729999999|455.6954382|2439.174137|-14.01190479|7.484891117|13.26192888|0.77182656|308.52165519999994|-756.6428589|0.037538004|-49.9273377|0.0|1.0|3.17|0.32|-5.71|2.18|1.98|1.0|0.0|116.0|2.0|-2.81|6.0|-7.95|421.45|0.0|0.0|0.0|659.0|0.000523|0.22|1.3|0.0|0.0|1.97e-06|-0.03272|4.2095|4.32|-1426.666471|704.43|1180.85|0.2239999999999999|294.54|561.29|0.69247|-1426.421463|-0.17424|7.12|-0.2069599999999999|0.03817361|9.8087|5.7496|5.7496
6_a27|0.0|1|0|0|2.6137160880000003|0.0|1|6.823286122000001|0|1.404458667|1.7996617540000002|-0.007874167|4.727387819|-0.072298665|2|0.042942943|1.221528093|-0.330715016|0.00526746|0.075248207|0.081320966|0.0058042269999999|-0.406859288|-0.1044763|-0.541168953|2|0.678057835|0.787663648|0.1272522519999999|0.849515128|1|0.785047616|0.344065059|-38.92545695|10.17466399|0.214952384|5.03713293|-1.35037664|-17.14169035|49.10012093|0.47262982|388.6505938|1193.992326|-8.486272674|5.010042219|9.500048379|0.896201262|111.4788253|-330.96463430000006|0.01635203|-272.1086175|0.0|0.0|2.49|0.11|-6.67|3.48|2.79|0.0|0.0|92.65|1.0|-3.62|4.0|-6.55|317.34|0.0|1.0|1.0|0.0768|0.000153|0.0485|2.37|0.0|0.0|2.16e-07|-0.04793|5.5447|4.27|-1043.806618|526.9|896.68|0.1915|223.61|401.49|0.61083|-1043.678244|-0.17007|2.7521|-218.0|0.02494141|4.0597|9.0|9.0
4c_a46|0.0|0|0|0|0.0|0.139403726|1|7.825245291|1|1.134637091|2.137504882|-0.005085922|5.587248657999999|-0.048990529|1|0.0440307329999999|0.0|-0.300069396|0.010177371|-0.051150771|-0.068256579|0.010040825|-0.165951544|-0.056422062|-0.421467037|1|0.649753668|0.726862617|-0.0976963169999999|0.761921603|0|0.890777395|0.305199509|-40.22007179|8.799732282999999|0.109222605|5.56099297|-1.662574604|-18.76186479|49.01980408|0.450883931|562.9269925|2487.942529|-11.85656505|7.172412106|13.06174141|0.8211086059999999|100.6356847|-663.9676426|0.008510983|-430.6788754|1.0|1.0|3.8|0.38|-7.62|5.11|5.24|2.0|0.0|115.03|1.0|-5.55|4.0|-5.39|389.49|0.0|1.0|0.0|0.00109|5.3e-06|0.00207|4.63|0.0|0.0|2.39e-08|-0.04381|5.4579|6.38|-1245.392965|683.75|1176.07|0.2296|227.16|617.56|0.6986600000000001|-1245.114575|-0.17085|4.1039|-0.21466|0.02299741|5.4491|5.6972|5.6972
3t_a32|0.0|1|1|1|3.4477303|0.0|0|7.765993078999999|0|0.609420752|0.0|-0.006089333|5.733341277|-0.0338714389999999|0|0.03995614|2.141978747|-0.304466646|9.83e-05|0.012069208|-0.086478322|0.00139283|0.049606573|-0.070331512|-0.496165036|0|0.710773544|0.822076702|-0.146047869|0.870628579|1|0.828676243|0.217914628|-50.65701113|8.995863948|0.171323757|5.681818647999999|-1.267493496|-17.03304802|59.65287508|0.481726305|523.3947687|2241.507646|-10.75813179|8.107111779|15.64252992|0.929482453|199.2870037|-505.632194|0.017184783|-233.0294362|1.0|1.0|3.41|0.3|-8.01|7.65|5.42|2.0|0.0|112.48|1.0|-6.48|4.0|-5.81|396.53|0.0|0.0|1.0|0.00013|1.16e-05|0.00462|4.09|0.0|0.0|9.86e-09|-0.05507|3.5487|5.5|-1864.678788|677.16|1129.24|0.2906|349.38|575.45|0.70286|-1864.472646|-0.14739|1.2641|-0.20246|0.03020622|2.7003|8.0458|8.0458
