molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|RASA|PBF|PNSA3|PPSA3|RPSA|WPSA3|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|CYP2C19 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
3a_a49|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1.343850114|2.09865947|-0.006374689|5.4161004020000005|-0.072328354|2|0.0355787039999999|1.819785|-0.337858497|-0.000349523|-0.060613765|0.00497674|0.000521532|-0.074886415|0.002357097|-0.421478185|2|0.775818577|0.8145214209999999|0.008391259|0.8704151529999999|1|0.72890527|0.526915193|-55.30832478|9.491036042|0.27109473|5.558553447|-1.504232653|-17.97906469|64.79936082|0.474653816|426.893216|1793.526571|-10.52968207|6.566343333|12.49907878|0.903506738|181.6875706|-515.9544212000001|0.021141449|-222.2883651|0.0|1.0|2.11|0.18|-7.19|2.77|2.81|1.0|0.0|112.14|1.0|-3.06|5.0|-7.67|384.43|0.0|0.0|1.0|0.3379999999999999|0.000503|193.0|1.38|0.0|0.0|6.52e-08|-0.05732|5.1647|3.16|-1253.973708|635.89|1082.21|0.3467|240.06|449.68|0.66614|-1253.756918|-0.15978|3801.0|-0.2171|0.03833529|4.2593|7.1938|7.1938
6d_a40|0.0|0|0|0|0.0|0.0|1|8.421342866|1|0.604893491|1.695192271|-0.015362927|6.401917197|-0.091548968|0|0.039160494|0.683786612|-0.722057579|-0.005066797|0.086704068|-0.205140551|-0.00448098|-0.249967637|-0.025143559|-0.624951805|0|0.6224555620000001|0.8361555479999999|-0.289988439|0.8988141140000001|1|0.663670372|0.372705643|-73.59650182|11.10859664|0.336329628|7.108696385|-2.15214542|-32.02830281|84.70509846|0.428134701|424.7009165|3212.360755|-20.49579149|6.908972922999999|12.08146906|0.7486635420000001|89.55631|-881.3190339|0.01400787|-460.8148719|1.0|0.0|2.84|0.21|-4.31|4.8|3.63|2.0|2.0|120.09|2.0|-7.21|6.0|-6.36|460.52|1.0|0.0|1.0|2.85e-05|7.1e-06|0.00327|3.87|1.0|0.0|4.9e-05|-0.09462|2.9559|7.98|-2470.793925|656.5|1111.69|0.3518|419.45|511.88|0.6624800000000001|-2470.62267|-0.11938|7.8884|-214.0|0.03556489|10.9021|8.9208|8.9208
8a_a50|0.0|1|1|1|3.139870661|0.0|1|7.860570786|1|1.39826105|2.03117465|-0.00439531|5.777652323|-0.021959577|1|0.03904321|1.99158738|-0.188998337|0.007671336|-0.150515325|-0.058014797|0.007801731|-0.038971589|-0.065546446|-0.352654037|1|0.75162266|0.804535572|-0.095292123|0.8718949979999999|1|0.860876738|0.278028663|-34.88425666|9.480859015|0.139123262|4.778811898|-1.234552044|-15.95574341|44.36511568|0.46183401|433.9235497|1503.563342|-8.042467074|5.754657432|10.69309012|0.858162757|125.2985144|-313.6562159|0.017017336|-253.4513797|1.0|1.0|2.01|0.11|-6.32|3.63|3.71|0.0|0.0|94.75|1.0|-3.86|3.0|-6.12|313.36|0.0|1.0|1.0|0.0433|7.48e-05|0.0234|2.95|0.0|0.0|4.82e-07|-0.0280699999999999|5.622000000000001|2.69|-1006.637067|548.47|912.7|0.18|220.53|396.63|0.60625|-1006.508913|-0.17244|3.5509|-0.20051|0.03479985|5.5319|7.3279|7.3279
9g_a24|0.0|1|0|0|2.931798469|0.0|1|7.273092596000001|0|1.427608366|1.7647373919999998|-0.00106361|5.283203728999999|0.001126633|2|0.0279797979999999|0.0|-0.0425444|0.0144065739999999|0.070915465|-0.02471184|0.013119312|-0.292600863|-0.0273623029999999|-0.079421802|2|0.683676657|0.7931626959999999|-0.045107345|0.859302479|0|0.8671367529999999|0.383340003|-32.080056199999994|9.283063574|0.132863247|4.593165278|-0.788016565|-10.53790724|41.36311977|0.427531635|429.0504306|1196.910121|-5.214049137|6.124370267000001|10.69818114|0.746821416|256.3375151|-192.9198181|0.033884884|17.88521849|0.0|1.0|1.78|0.06|-6.43|2.91|2.93|0.0|0.0|87.53|1.0|-2.49|4.0|-7.17|302.33|0.0|1.0|0.0|977.0|0.0008179999999999|247.0|1.37|0.0|0.0|3.720000000000001e-07|-0.03585|5.2521|0.75|-984.5565078|524.03|879.99|0.2444|236.07|400.47|0.64993|-984.447764|-0.17806|2.9691|-0.21391|0.032630457|4.4131|7.1675|7.1675
12b_a36 (EW-7197)|0.0|1|0|0|3.3685352889999995|0.0|0|7.412764017000001|2|1.2970445309999998|0.0|-0.008137593|5.351858133|-0.082283951|2|0.040899471|0.0|-0.439429998|-0.002526241|-0.098032695|-0.056994595|-0.000673716|0.059005046|-0.101303149|-0.442656599|1|0.724208473|0.819222745|-0.097861598|0.8741648479999999|0|0.7635183720000001|0.458627252|-50.90136206|13.41367899|0.236481628|8.392238798|-1.956014468|-24.47552312|64.31504105|0.45988432|477.6935927|2338.370858|-15.31305729|6.764872303|12.52485821|0.851455231|158.4469629|-765.6528642999999|0.020730147|-308.7538779||||||||||||||||||||||||||-0.04975|3.8475|3.41|-1332.147999|659.48|1104.61|0.4491|322.25|486.64|0.69991|-1331.9479310000002|-0.15571|5432.0|-0.20546|0.03202977|7.3101|8.1549|8.1549
9d_a31|0.0|1|0|0|3.456767212|0.0|0|7.765993078999999|1|0.61013528|0.0|-0.012442213|5.733341277|-0.043220149|0|0.0359583329999999|0.0|-0.696763933|-0.002456634|-0.0938310919999999|-0.021171445|0.000127275|-0.091744753|-0.134504227|-0.550392027|0|0.8066174070000001|0.8343242820000001|-0.0375445629999999|0.873955169|0|0.6943358040000001|0.3655337879999999|-66.96024848|19.79432796|0.305664196|13.49577391|-1.793772606|-23.07536346|86.75457645|0.457506946|473.3981899|1932.363213|-15.732784099999998|9.436176796|17.39409698|0.8433415740000001|229.34422830000003|-833.8375571|0.023927395|-223.1115993|1.0|1.0|3.35|0.38|-7.63|6.04|4.09|2.0|0.0|112.97|1.0|-5.61|5.0|-6.36|412.51|0.0|0.0|1.0|0.0010199999999999|4.06e-05|0.0167|3.46|0.0|0.0|2.3500000000000002e-08|-0.03457|3.8478|5.0|-1657.428165|727.27|1202.79|0.2611|322.22|630.49|0.7006899999999999|-1657.1791449999998|-0.15969|2.6311|-0.19426|0.04331056|3.5077|6.2218|6.2218
22_a20|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.4170330269999998|1.915285809|-0.00147607|4.727387819|0.023539095|2|0.0388043479999999|2.041494094|-0.079707783|0.009265667|-0.066832578|-0.038668966|0.008780074|0.155407313|-0.036258691|-0.177976478|2|0.616352201|0.7478675859999999|-0.067650395|0.809440795|1|0.946515026|0.425968568|-39.00017609|8.001165067999999|0.053484974|5.21001405|-1.3559405430000002|-17.65860151|47.00134116|0.477376285|616.3298149|2396.806062|-11.49852068|7.408914181|14.17638345|0.913422548|149.350479|-574.9260339|0.01345209|-352.4559681|1.0|1.0|3.41|0.08|-9.69|5.33|5.39|2.0|0.0|121.62|1.0|-5.6|4.0|-5.58|401.46|0.0|0.0|1.0|0.000997|2.98e-06|0.0012|4.47|0.0|0.0|2.04e-10|-0.0568|5.5591|4.07|-1275.816275|694.15|1181.95|0.2636|223.03|563.43|0.66063|-1275.598059|-0.16176|4.8308|-0.21856|0.03226475|6141.0|6.6364|6.6364
9_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0.605017128|0.0|-0.007847313|4.727387819|-0.100592457|1|0.034166667|2.4071976040000003|-0.298197887|-0.004918099|0.065373003|0.023606557|-0.003863265|-0.216450234|0.083014843|-0.614170287|1|0.923357627|0.6729843740000001|0.042154567|0.7327715159999999|0|0.84649775|0.506753484|-44.74600478|3.469130065|0.15350225|1.6312253680000002|-1.336880133|-17.96047462|48.21513485|0.413418346|398.0331029|1383.145159|-8.445224386|5.004834198999999|8.532203772|0.704792493|53.19989715|-295.5828535|0.008976383|-363.8118546|1.0|1.0|2.44|0.0|-7.26|4.9|4.62|1.0|0.0|92.69|1.0|-5.53|2.0|-5.21|303.38|0.0|0.0|1.0|0.000899|1.25e-05|0.00379|4.14|0.0|0.0|5.5e-08|-0.03999|5.8185|3.28|-1256.0634710000002|512.44|857.36|0.2069|213.09|350.27|0.6724600000000001|-1255.9558029999998|-0.15834|2.0863|-0.19833|0.0242342|2.6661|4.96|4.96
12m_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.6049842529999999|0.0|-0.01047558|5.351858133|0.024086432|2|0.040839506|0.0|-0.57615692|0.001371944|0.0488832779999999|-0.0547272029999999|0.0026474159999999|-0.236661357|-0.084317059|-0.5409445629999999|1|0.817497287|0.832758813|-0.0974968869999999|0.893689741|0|0.783260049|0.415971907|-57.96147772|18.55926485|0.216739951|12.59296644|-2.067195455|-27.50290965|76.52074257|0.44976016|531.4632661|2370.879718|-18.66147291|9.025816604|16.40342255|0.8173893040000001|153.52847759999997|-951.7351184|0.019500715|-371.4702679|1.0|1.0|0.0|0.13|-6.42|3.4|2.48|2.0|1.0|133.52|1.0|-6.0|6.0|-6.22|439.49|0.0|0.0|0.0|0.000444|9.71e-06|0.00427|3.89|0.0|0.0|3.7600000000000003e-07|-57.0|5.0617|3.88|-1743.174906|714.92|1204.39|255.0|244.95|578.87|0.68404|-1742.965888|-0.15042|3.6891|-0.20742|0.04041755|5.1279|7.5114|7.5114
3c_a49|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1.343850149|2.108416128|-0.004876919|5.4161004020000005|-0.016347266|2|0.036335697|1.879769411|-0.248722888|0.006218639|-0.05815918|0.0127926339999999|0.006470561|-0.0780996759999999|-0.0612829229999999|-0.384874446|2|0.666785606|0.802792677|0.0211518929999999|0.8605470759999999|1|0.7963363840000001|0.501887054|-41.0524769|8.477406111|0.203663616|4.8479546860000005|-1.186174159|-14.4326528|49.52988301|0.4791465279999999|455.3990518|1667.1178220000002|-8.253567879|6.567311051|12.60874968|0.919925763|207.4607002|-387.9176903|0.021783913|-156.9462939|0.0|1.0|2.67|0.18|-7.54|3.63|3.87|1.0|0.0|109.43|1.0|-3.45|4.0|-6.93|369.42|0.0|1.0|1.0|0.13|0.000137|0.0505|2.29|0.0|0.0|2.89e-08|-0.0606|5.1584|3.99|-1198.634822|613.33|1046.53|0.4321|240.36|456.22|0.6692100000000001|-1198.430306|-0.15853|3.6122|-0.21913|0.03394942|3.7789|7.0605|7.0605
18_a47|0.0|1|1|1|2.969619451|0.0|0|6.605297921|0|1.414391819|0.0|-0.004337918|4.59511985|-0.06345679|3|0.037919622|1.5913490630000002|-0.2342475789999999|0.0008454789999999|0.018164141|-0.016728205|0.0015586929999999|-0.056674151|-0.02470455|-0.322800033|3|0.646771311|0.792196273|-0.027351545|0.851462739|1|0.777824025|0.454324931|-49.44908758|9.234746417|0.222175975|5.784962137000001|-1.5194711930000002|-19.03697822|58.68383399|0.432077184|487.2556678|2184.962887|-11.9254166|7.018342267|12.35791568|0.7608026529999999|167.41554630000002|-596.2708299|0.017318402|-291.6032324|1.0|1.0|2.5|0.08|-10.36|5.53|6.0|2.0|0.0|119.78|0.0|-5.5|5.0|-5.87|410.45|1.0|0.0|1.0|0.00129|4.29e-06|0.00176|4.13|0.0|0.0|4.34e-11|-0.04964|4.2668|3.32|-1354.180815|652.12|1130.76|0.4335|290.58|487.81|0.63359|-1353.979194|-0.17349|3.4464|-0.22313|0.04031146|5.3433|8.6|8.6
17b_a25|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.3732004619999998|1.785120622|-0.004368141|4.727387819|-0.002108117|2|0.042843137|1.968416259|-0.266456625|0.005120507|-0.100018134|0.016982601|0.005244553|-0.044260194|-0.044156525|-0.366585181|2|0.653180996|0.780221059|0.029728702|0.838260077|1|0.882170399|0.410780725|-51.71860811|12.04068508|0.1178296009999999|9.129863339|-1.6672437880000002|-22.17876359|63.75929319|0.476276266|668.9067217|2514.295488|-16.81707305|9.700133933|18.52147096|0.909403632|208.6205329|-958.573164|0.0175785369999999|-341.0100868|1.0|1.0|3.25|0.11|-10.04|4.88|5.18|2.0|0.0|135.78|0.0|-5.32|5.0|-6.53|458.51|0.0|0.0|1.0|0.00218|8.59e-06|0.00394|3.61|0.0|0.0|9.08e-11|-0.05531|5.4236|5.89|-1483.830524|781.08|1329.35|0.4635|228.6|654.18|0.6594800000000001|-1483.563965|-0.16408|3.5074|-0.21939|0.04272963|5.2142|6.9957|6.9957
19i_a38|0.0|1|0|0|3.169368622|0.0|0|7.412764017000001|2|1.297043925|0.0|-0.008447598|5.351858133|-0.115864198|2|0.043197531|0.0|-0.4561702689999999|-0.006877664|-0.074033381|-0.053762162|-0.004358975|0.215263198|-0.098027247|-0.430016467|1|0.653741315|0.836170906|-0.087904124|0.892249657|0|0.747158407|0.4748744179999999|-51.15830416|13.83587388|0.252841593|8.479305267|-2.038505453|-24.98593175|64.99417804|0.444551315|457.89548719999993|2335.0953870000003|-15.31261014|6.690507557999999|12.04523072|0.800346329|158.161786|-765.6305068|0.022159015|-296.5257022|1.0|1.0|2.88|0.14|-7.12|3.55|3.11|1.0|0.0|125.65|1.0|-4.25|5.0|-6.81|419.43|0.0|0.0|1.0|0.0238|4.67e-05|0.0196|2.88|0.0|0.0|7.599999999999999e-08|-0.0564799999999999|5.7041|3.66|-1431.384243|641.31|1101.03|0.2156|217.36|457.26|0.69267|-1431.181148|-0.14872|6.6636|-0.2052|0.03110827|8.6365|7.9031|7.9031
9_a1|0.0|1|0|0|3.358585365|0.0|0|6.86171134|0|1.432397289|0.0|-0.00614716|4.727387819|-0.1075163359999999|1|0.037578348|0.0|-0.282769361|-0.00314411|-0.079063236|0.016589221|-0.0018191779999999|-0.232860777|-0.044035724|-0.483335578|1|0.582499378|0.737794643|0.02778394|0.7964939409999999|0|0.755276458|0.166794384|-46.63553015|6.495805626|0.244723542|3.745117974|-1.371558857|-18.38986221|53.13133578|0.452572261|435.4501351|1739.0376789999998|-10.60256533|7.61577077|13.91191974|0.826725116|125.865476|-455.910309|0.014186995|-324.81308110000003|1.0|1.0|2.66|0.05|-8.98|5.86|5.57|2.0|0.0|102.84|1.0|-4.68|4.0|-5.81|357.38|0.0|0.0|1.0|0.00739|1.62e-05|0.0057799999999999|3.76|0.0|0.0|1.04e-09|-0.07602|3343.0|5.6|-1187.193365|600.6|1007.04|0.5409|370.88|487.19|0.70296|-1187.011122|-0.13413|4.1623|-0.21015|0.03294951|6.4447|5.2218|5.2218
3j_a32|0.0|1|1|1|3.564417045|0.0|0|8.234564993|0|0.609420782|0.0|-0.006580847|6.3044488020000005|-0.017889768|0|0.037373737|2.248764828|-0.269814716|-0.000202965|-0.086191775|-0.052622352|0.001173363|-0.055211759|-0.052818794|-0.528541012|0|0.812195122|0.824282683|-0.084553991|0.8884057059999999|1|0.865101945|0.27811778|-37.33051857|7.315176208|0.134898055|3.885056172|-1.140158136|-16.36574867|44.64569478|0.4482615029999999|459.4516326|1778.1826620000002|-8.691773249|5.900829539|10.69497519|0.812452828|133.42496409999998|-321.5956102|0.015301673|-264.245436|1.0|1.0|3.0|0.24|-6.69|6.68|4.93|1.0|0.0|95.74|1.0|-5.92|3.0|-5.6|338.45|0.0|0.0|1.0|0.0004089999999999|1.58e-05|0.00533|3.89|0.0|0.0|2.03e-07|-0.05361|3.4982|3.02|-1671.479105|564.55|934.19|0.3005|354.42|405.19|0.7028|-1671.351322|-0.14498|3.6238|-0.19859|0.02833407|5.9266|8.0969|8.0969
7c_a10|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1.343178184|2.1219657030000003|-0.00375251|5.4161004020000005|0.012145872|2|0.039433962|1.798334646|-0.206388032|0.01006918|-0.033792245|-0.066271289|0.0107756969999999|-0.176560297|-0.12177839|-0.215874011|2|0.725146704|0.7928588059999999|-0.105104647|0.84177174|1|0.906276489|0.487148112|-29.66615908|16.04055193|0.093723511|9.377842892|-1.139333798|-13.06063972|45.70671102|0.4675549639999999|529.8395322|1881.379304|-7.635686595|6.703148323|12.58937144|0.8781281320000001|276.93712|-389.4200163|0.0269852389999999|-30.75918962|1.0|1.0|3.49|0.26|-7.78|4.59|4.43|1.0|0.0|113.07|1.0|-4.44|5.0|-6.2|386.45|0.0|1.0|1.0|0.0139|2.05e-05|0.00793|3.46|0.0|0.0|1.66e-08|-0.04004|5.4267|2.76|-1258.985004|635.47|1102.43|0.4049|228.47|488.89|0.68708|-1258.744382|-0.16055|3.9465|-0.20059|0.02659395|5.0714|5.4191|5.4191
12k_a36|0.0|1|0|0|3.483171769|0.0|0|7.412764017000001|2|1.297043952|0.0|-0.0071232019999999|5.351858133|-0.063399056|2|0.039061728|0.0|-0.413145744|0.002782748|0.003690005|-0.058284869|0.003724542|0.163804836|-0.095253274|-0.4373676689999999|1|0.90500247|0.811903388|-0.102077284|0.8647233590000001|0|0.8427704640000001|0.367754573|-49.87227128|11.90012613|0.157229536|7.838185977999999|-2.038936068|-24.86988906|61.7723974|0.478908312|555.1026569|2294.707886|-16.38090333|7.241602627000001|13.89698356|0.919048073|144.457092|-884.5687799000001|0.016847116|-369.7499256|1.0|1.0|0.0|0.12|-7.01|3.62|2.42|1.0|0.0|133.84|1.0|-4.58|4.0|-6.34|407.47|0.0|1.0|0.0|0.0106|2.82e-05|0.0115|3.45|0.0|0.0|9.66e-08|-0.0497|5053.0|3.83|-1310.312649|697.92|1186.08|0.3116|245.37|530.51|0.70031|-1310.072976|-0.15053|5.7818|-0.20023|0.03274587|7.3988|7.8539|7.8539
12m_a36|0.0|1|0|0|3.40403699|0.0|0|7.412764017000001|2|1.297043522|0.0|-0.011502861|5.351858133|-0.133854569|2|0.03912037|0.0|-0.667165917|-0.006653538|-0.025127218|-0.038386106|-0.004569485|0.245908938|-0.052743904|-0.52644768|1|0.892815402|0.825587924|-0.064035403|0.8792981679999999|0|0.711961428|0.4493096629999999|-67.27772044|15.24099981|0.288038572|10.22144534|-2.300418875|-28.57011677|82.51872026|0.465323422|477.48014630000006|2637.948424|-19.16067782|7.312794835|13.67704354|0.8702895190000001|169.596372|-1034.676602|0.0222467879999999|-331.4617713|0.0|1.0|0.0|0.13|-6.14|1.92|0.98|1.0|0.0|131.85|1.0|-4.1|5.0|-7.39|424.46|0.0|0.0|0.0|0.0338|0.000159|0.0676|2.11|0.0|0.0|7.19e-07|-0.05114|3.8658|3.88|-1401.6158890000002|692.4|1177.15|0.4718|320.72|505.51|0.69382|-1401.385923|-0.15879|6.5789|-0.20993|0.03861003|9.1003|7.5229|7.5229
4_a18 (SD-208)|0.0|0|0|0|0.0|0.0|0|0.0|2|1.304335262|0.0|-0.012457606|0.0|-0.113324634|3|0.040864198|0.0|-0.498304229|-0.018723101|-0.009648044|-0.056245435|-0.015153358|-0.047745689|-0.15379315|-0.564165402|1|0.773173718|0.83508768|-0.098971722|0.904723479|0|0.77909674|0.115284206|-40.10670787|10.90456851|0.22090326|5.615248385|-1.2944582059999998|-18.01551972|51.01127638|0.454067432|401.1916387|1822.914738|-9.276994128|6.239898178|11.42979655|0.831728055|204.9329964|-343.2487827|0.035654206|-105.0785813|0.0|1.0|2.54|0.0|-8.15|3.54|4.44|1.0|0.0|92.87|1.0|-4.29|6.0|-6.31|352.75|0.0|0.0|1.0|18.0|4.14e-05|0.0146|3.02|0.0|0.0|7.06e-09|-0.09992|5.1755|2.58|-1542.276332|537.47|895.83|0.2761|239.56|396.17|0.69028|-1542.15786|-0.13588|3.4629|-0.2358|0.0199445|5.2085|7.0969|7.0969
A8301_a51|0.0|0|0|0|0.0|0.0|1|6.86171134|0|1.197963627|1.700610355|-0.00449765|4.727387819|-0.028789626|2|0.039058957|1.987294898|-0.242873103|0.00740124|-0.012770742|-0.1227504419999999|0.007083041|0.135886548|-0.0357324579999999|-0.4354420879999999|2|0.7595189840000001|0.6959300979999999|-0.21474885|0.750630149|1|0.934739895|0.339244706|-35.90764428|5.293803823|0.065260105|3.437697042|-1.6387915469999998|-21.28401067|41.20144811|0.4799553379999999|607.0025787000001|2461.663545|-13.82143785|6.890532887999999|13.24988678|0.922911768|94.18649643|-691.0718926|0.009586697|-461.0082758|1.0|1.0|3.5|0.04|-9.38|5.5|5.52|2.0|1.0|129.04|1.0|-6.6|3.0|-5.31|421.52|0.0|0.0|1.0|0.000105|1.17e-06|0.000495|5.02|0.0|0.0|4.12e-10|||||||||||||||||7.9208|7.9208
1_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|1|0.6195934120000001|0.0|-0.006053652|4.727387819|-0.073036903|2|0.034166667|2.194605012|-0.248199745|-0.006610844|0.038572075|0.032569462|-0.005006707|-0.007705076|0.05038525|-0.486774367|2|1.005427002|0.7905285390000001|0.057919092|0.8457792829999999|1|0.7762512779999999|0.521474118|-45.44133321|3.693677623|0.2237487219999999|1.697600903|-1.295994381|-15.67458788|49.13501083|0.4490711529999999|356.76228530000003|1162.737831|-7.203984013|4.984064981|9.046658216|0.8151164259999999|95.55665364|-273.7513925|0.014174378|-268.4830832|1.0|1.0|0.0|0.18|-5.77|2.28|1.85|0.0|0.0|91.52|2.0|-3.07|4.0|-6.87|306.38|0.0|0.0|0.0|261.0|0.000503|154.0|1.83|0.0|0.0|1.69e-06|-53.0|5.8805|2.08|-1273.290432|496.09|845.2|0.1775|210.84|316.61|0.68912|-1273.1763970000002|-0.1658599999999999|2.2332|-0.21886|0.02599563|3.4319|6.1403|6.1403
15b_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|1|1.353059441|4.112770601|-0.0045393|5.82008293|-0.05484142|1|0.032843915|2.018777006|-0.22696498|0.004641091|-0.06083723|-0.124047802|0.005203263|-0.17223348|-0.131737048|-0.310946931|1|0.79846758|0.8259784720000001|-0.216393362|0.8833003970000001|1|0.8209134840000001|0.447220762|-47.20879251|11.48191704|0.179086516|6.564219549|-1.291204916|-16.04745006|58.69070955|0.478989976|469.3167805|1692.3273379999998|-9.174337796|6.89125222|13.22671714|0.919348867|206.3740238|-422.0195386|0.024313507|-158.95261259999998|1.0|1.0|2.11|0.19|-5.72|2.71|3.26|1.0|0.0|105.46|2.0|-3.18|4.0|-6.98|357.41|0.0|1.0|1.0|0.2339999999999999|0.000249|0.0891|2.11|0.0|0.0|1.92e-06|-0.0333399999999999|4.0561|2.08|-1160.463663|613.37|1035.3|0.1796|305.67|475.99|0.65917|-1160.275856|-0.16737|6.9054|-0.20071|0.03528279|9.3788|7.1024|7.1024
1_a1 (SKF-104365)|0.0|0|0|0|0.0|0.0|1|7.535296702|1|0.626769342|2.196347317|-0.006055958|5.4161004020000005|-0.01959813|1|0.0409444439999999|0.0|-0.218014497|0.000663414|-0.10236005|0.11172918|0.002250781|-0.221214316|-0.123703409|-0.505981356|1|0.57031697|0.7926983559999999|0.194988905|0.857919181|0|0.8131557509999999|0.2405471019999999|-31.45099608|6.18316314|0.186844249|2.859900586|-0.9743074|-13.65596178|37.63415922|0.416807085|376.1092109|1551.362941|-6.316296726|5.2735884010000005|9.042613965|0.71469847|134.2517831|-208.4377919|0.018973797|-194.0267797|1.0|1.0|2.68|0.12|-6.0|3.93|4.28|0.0|0.0|81.72|1.0|-3.8|3.0|-6.01|297.35|0.0|1.0|1.0|0.0472|9.65e-05|0.0287|2.96|0.0|0.0|9.93e-07|-0.03482|3.8901|3.45|-1279.060907|491.18|809.96|0.2178|318.72|358.09|0.70081|-1278.971649|-0.16142|4.5773|-0.19624|0.02377006|6.9338|5.7959|5.7959
4p_a46|0.0|0|0|0|0.0|0.122217892|1|7.825245291|1|1.134636977|2.102855253|-0.004413243|5.587248657999999|-0.038295755|0|0.046533816|0.0|-0.233901882|0.005152176|-0.205494852|-0.120823841|0.004453195|-0.251219946|0.066453878|-0.369670745|0|0.7471162309999999|0.747019097|-0.1623103719999999|0.7911509609999999|0|0.905966489|0.3352802039999999|-56.55658053|4.195717966|0.094033511|2.379548177|-1.498932241|-17.00200781|60.7522985|0.423511708|513.8073925|2219.4587530000003|-9.642472876|5.828038618|10.10955243|0.734640605|71.34266847|-482.1236438|0.006740305|-424.4519674|1.0|1.0|3.2|0.3|-7.05|4.85|5.25|2.0|0.0|107.89|1.0|-5.8|3.0|-5.09|357.45|0.0|1.0|1.0|0.000567|4.03e-06|0.00144|4.77|0.0|0.0|8.95e-08|-0.0393|5.4796|4.89|-1129.618646|598.19|1058.54|0.2363|226.26|537.47|0.70138|-1129.3914619999998|-0.16819|3.6961|-0.20749|0.03979459|5.3996|6.4672|6.4672
22_a47|0.0|0|1|1|0.0|0.0|1|6.86171134|0|1.408617385|1.202720059|-0.010579222|4.727387819|-0.150248628|2|0.043695652|1.016903613|-0.507802654|-0.006808306|-0.075111395|0.002716049|-0.004332497|-0.077468004|-0.1049885469999999|-0.538310301|2|0.612295986|0.831122912|0.004104478|0.890264057|1|0.698649132|0.573087958|-47.64347429|13.07198749|0.301350868|7.713126784|-1.42848671|-18.73063655|60.71546178|0.4614909829999999|412.2379505|1494.441201|-11.05201291|6.9553262170000005|12.91589555|0.8569791179999999|230.3045281|-497.3405809|0.031534452|-129.440987|0.0|1.0|3.16|0.1|-7.69|3.07|4.85|1.0|0.0|104.64|1.0|-4.44|6.0|-6.58|394.38|0.0|0.0|1.0|0.0142|4.16e-05|0.0164|3.0|0.0|0.0|2.06e-08|-0.0612399999999999|4.7954|4.4|-1375.021925|605.12|1027.32|0.3367|258.55|466.95|0.68312|-1374.857521|-0.16704|4.2485|-0.22828|0.02840507|5.7009|9.0|9.0
