molecula|NaaNH|n9FaHRing|SaaNH|NaasN|nARing|SaasN|SRW07|JGI4|AATSC1are|MATS8i|BCUTi-1|AATSC1pe|AATSC7i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|pIC50
19_a47|0|1|0.0|1|0|1.445775615|4.727387819|0.032764858|-0.013020816|-0.064557784|10.95058274|-0.010153352|0.074201869|-0.439165562|2|0.823945134|-0.024256505|0.095841135|0.8873627890000001|0.614975047|-0.105205489|0.270767873|0.026805875|14.85167037|335.10989930000005|0.360357109|-0.037307124|-32.06567824|0.637832605|-1.566899206|-32.2945343|-20.66983856|73.14028211|0.463378097|354.3911695|1238.799875|-11.45202794|7.06969105|13.17443625|5846.960345|200.6571609|1361.067484|0.0|1.0|1.0|3.13|1.72|21.0|2.49|3.84|1.0|0.0|99.2|0.0|5.0|-3.67|28.0|6.0|380.35|0.0|0.0|1.0|2.34|-3.66|0.000217|0.0824|0.0|0.0|1.2099999999999998e-07|4.59e-05|3.8423|3.8423|-1335.75742|-1335.725639|571.23|322.68|322.68|412.31|-1335.580357|0.3243|5.1151|0.03178118|6.3247|7.3
8e_a46|0|0|0.0|1|1|2.161814059|5.533389489|0.043238095|0.012911107|-0.184317354|10.96411233|0.0123581919999999|-0.203086023|-0.132524216|2|0.789844634|-0.241393458|-0.024620704|0.837678812|0.668786636|-0.053352779|0.281227001|0.009576086|4.876083942|7.389496216|0.078647648|-0.023017086|-17.10778729|0.7492419109999999|-0.989734694|-13.83322216|-11.72015869|32.04299109|0.444693313|469.146955|1415.320228|-5.967832774|5.504080656|9.911785304|4239.252176|127.6844779|672.6356549999999|0.0|1.0|1.0|3.21|2.93|17.0|4.09|3.9|0.0|0.0|91.93|0.0|2.0|-3.59|23.0|3.0|304.39|0.0|1.0|1.0|3.21|-4.04|9.15e-05|0.0279|0.0|0.0|2.16e-07|6.57e-05|4.5092|4.5092|-954.9296396|-954.9056294|552.99|274.96|274.96|457.96|-954.743261|0.2162|3.2194|0.024010215|3.7755|6.3915
16_a20|1|0|3.485659565|0|0|0.0|4.727387819|0.0388043479999999|8.23e-05|-0.061975089|10.93301779|0.001157852|0.211127741|-0.458484451|2|0.7478675859999999|-0.085041518|-0.10978034|0.809440795|0.724665638|-0.066137353|0.382481746|0.011604018|7.634605066000001|69.28224942|0.084994428|-0.029561375|-33.67420774|0.780108103|-1.47806874|-28.6288015|-19.44924762|51.14820251|0.464473378|602.0075202|2161.751186|-12.79619894|8.166385503999999|15.24926152|5896.394536|144.672972|1246.573875|0.0|1.0|1.0|3.5|3.13|27.0|6.38|5.46|2.0|0.0|121.69|0.0|4.0|-6.06|31.0|4.0|401.46|0.0|0.0|1.0|4.37|-5.66|2.17e-06|0.0008699999999999|0.0|0.0|3.0500000000000005e-11|1.22e-08|5.9837|3.5704|-1275.900951|-1275.8670960000002|686.59|347.26|207.2|554.41|-1275.636924|0.1958|4.7315|0.03385502|6.5609|7585.0
10_a15|0|0|0.0|0|0|0.0|0.0|0.037209302|0.001740635|-0.077096984|10.95972828|0.0034254209999999|-0.132759909|-0.391156537|2|0.713794823|0.0107135269999999|0.018211609|0.7585998270000001|0.7933685340000001|-0.052826735|0.640780603|0.010485777|6.101312009|6.497096666|0.066863055|-0.036384844|-34.36276159|0.8301726490000001|-1.928396745|-17.88541558|-21.17108692|36.83936823|0.449323734|542.9602292000001|2305.991259|-12.31872585|5.555044294|10.08767698|6204.37804|98.81668286|1351.607534|1.0|1.0|1.0|3.58|3.64|24.0|5.32|6.3|2.0|0.0|119.95|0.0|6.0|-6.22|30.0|4.0|397.47|1.0|0.0|1.0|4.69|-5.83|1.47e-06|0.000584|0.0|0.0|1.51e-10|5.99e-08|4.4682|3.6448|-1281.088565|-1281.061184|631.2|340.17|277.48|487.16|-1280.804272|0.0042|1.6654|0.02738146|3.1460000000000004|8.1549
13a_a6|1|0|3.417162147|0|1|0.0|5.351858133|0.041767677|-0.00460563|0.0015242189999999|10.95129557|-0.00194781|0.05269025|-0.488098052|1|0.7722228729999999|0.090839165|-0.091892803|0.8299950709999999|0.8013954109999999|-0.094081761|0.22670695|0.031866842|20.83876732|154.9639272|0.22549456|-0.040840697|-48.51283287|0.759912392|-2.042034827|-40.23198232|-26.70706346|82.36189896|0.467070451|506.474367|2626.396685|-17.46461983|8.038453162|15.08351934|6019.922535|157.0011174|1757.246214|1.0|1.0|1.0|3.53|3.2|23.0|4.98|4.32|2.0|0.0|116.79|0.0|5.0|-5.51|31.0|5.0|409.44|0.0|0.0|1.0|3.52|-4.99|1.02e-05|0.00417|0.0|0.0|9.77e-10|4e-07|5.9934|3651.0|-1350.085889|-1350.057702|695.29|339.59|206.87|571.9|-1349.834826|0.2697|7.7145|0.02818646|9.2157|7.3372
47l_a18|0|0|0.0|0|1|0.0|4.844187086|0.035308642|-0.00046896|-0.010426981|10.94702063|0.000787517|-0.008768679|-0.4925232479999999|0|0.7435044540000001|0.00676294|-0.0973326269999999|0.781148177|0.733228144|-0.08034939|0.2820044969999999|0.009199889|6.543729374|11.54768766|0.196526687|-0.031456589|-42.43906517|0.796109347|-2.0132216990000003|-40.65070014|-22.37455223|63.6949231|0.4897655489999999|571.4972966|1427.032023|-15.91464944|9.423637134|18.46922943|6572.90106|145.02405359999997|1798.711882|1.0|1.0|1.0|4.17|0.0|18.0|3.69|3.19|3.0|1.0|139.63|0.0|9.0|-5.26|34.0|3.0|454.56|0.0|0.0|0.0|2.72|-4.84|1.4499999999999998e-05|0.0066099999999999|0.0|0.0|4.26e-10|1.93e-07|3.2026|3.2026|-1455.5758039999998|-1455.5497369999998|764.74|387.13|387.13|667.5|-1455.165122|0.5019|2.4594|0.02606651|3.3864|7.4949
13e_a6|1|0|3.433539068|0|0|0.0|4.727387819|0.044021739|-0.003356527|0.0266218529999999|10.95053349|-0.001446486|0.032420935|-0.462344944|2|0.765593573|0.102257199|-0.067328767|0.827254552|0.790249345|-0.074242826|0.175643236|0.0183790889999999|12.28502792|66.59852278|0.138323399|-0.032929004|-41.68507499|0.722530518|-1.679379203|-33.17101912|-22.01054293|61.91072885|0.4442079679999999|575.965487|3457.565879|-14.71237941|7.973429837999999|14.346067199999998|6147.8097210000005|185.4673146|1553.619759|1.0|1.0|1.0|3.51|2.79|27.0|5.01|4.53|1.0|0.0|123.82|0.0|5.0|-5.11|32.0|5.0|417.47|0.0|0.0|1.0|3.31|-4.78|1.65e-05|0.00688|0.0|0.0|6.59e-11|2.75e-08|5.9885|3.2475|-1347.297639|-1347.25954|713.3|381.78|207.04|567.24|-1347.014564|0.0104|10.1884|0.03809808|13.2999|7.9208
8b_a50|1|1|3.1324050960000003|1|1|2.021915391|5.777652323|0.035718954|0.006841944|-0.009441452|10.945024|0.007057361|-0.170496134|-0.332085641|1|0.809463375|-0.027207307|-0.031953774|0.8836675340000001|0.71043578|-0.072629787|0.267094693|0.021513107|10.30543157|131.417573|0.154650918|-0.030360051|-17.91443197|0.6717097959999999|-1.092961836|-16.66636363|-14.54338619|45.09730487|0.428882006|404.9478761|1401.458274|-6.966723542|5.292277178|9.26652151|4446.001554|157.2609748|779.4465792000001|1.0|1.0|1.0|3.21|1.69|20.0|3.14|3.41|0.0|0.0|89.78|0.0|2.0|-3.44|23.0|3.0|299.33|0.0|1.0|1.0|2.51|-3.81|0.000154|46.0|0.0|0.0|1.16e-06|0.000347|4.5256|4.1804|-967.3527447|-967.3160428|515.81|296.58|273.96|353.17|-967.212701|121.0|3.8213|0.036701907|5.8205|7.1675
12ab_a30|0|0|0.0|0|2|0.0|5.351858133|0.043854875|0.003529389|0.038312857|10.31162784|0.005111479|0.03046828|-0.384942092|1|0.809127478|0.078325164|0.026596859|0.855880335|0.794193541|-0.082740301|0.4605456229999999|0.031588146|22.23130678|119.79740259999998|0.200246511|-0.031859359|-49.97135112|0.603952976|-1.815983471|-40.9825333|-22.42218278|80.46280277|0.461207954|562.8556061|2618.234172|-15.78042667|8.44310703|15.6704374|6918.884105|278.7324985|2116.165447|1.0|0.0|1.0|4.87|0.0|17.0|3.94|2.63|2.0|0.0|140.26|0.0|7.0|-5.61|33.0|6.0|458.54|0.0|0.0|0.0|2.52|-5.0|9.94e-06|0.00456|0.0|0.0|1.47e-07|6.720000000000001e-05|4.8018|3.4919|-1804.824495|-1804.79081|753.75|355.06|258.2|613.7|-1804.523449|0.1511|6.9089|0.03368522|7.4968|7.7825
18_a3|1|0|2.897754472|0|0|0.0|4.59511985|0.034712644|0.0057881999999999|0.042606196|10.96965878|0.005799063|0.150826737|-0.2495754869999999|3|0.714658751|0.0355413979999999|-0.051083228|0.784960175|0.6858831809999999|-0.069839069|0.217881538|0.013796397|6.1383958|160.9514039|0.158042379|-0.031753312|-16.76239841|0.682492203|-1.016105994|-13.82537222|-14.12792012|37.21171433|0.483376636|374.610053|703.8534116000001|-6.285899403999999|5.293627315|10.24658906|3928.183499|141.2679329|662.4155441|0.0|1.0|1.0|2.62|1.81|21.0|3.42|3.08|0.0|0.0|80.35|0.0|2.0|-2.82|21.0|4.0|273.29|0.0|1.0|1.0|2.21|-3.27|0.000537|147.0|0.0|0.0|1.49e-07|4.07e-05|3.9765|3.9765|-889.9619321|-889.9402005000001|482.41|311.79|311.79|330.54|-889.850598|0.3326|2.6366|0.02173162|3.3664|7.5229
12ap_a36|1|0|3.4417292610000003|0|2|0.0|5.351858133|0.042739018|-0.000143196|-0.105824575|10.95430638|0.001194592|0.117738331|-0.436880644|1|0.832758813|-0.025198947|-0.074596774|0.893689741|0.8212311840000001|-0.082622504|0.27547717|0.0217479329999999|14.26936622|82.56761031|0.1694125169999999|-0.037473093|-45.7078307|0.737851886|-1.91112774|-35.56900768|-24.58703954|68.48007054|0.464588|544.9693552|2328.307856|-16.13217554|8.766216204|16.37284224|6003.481614|172.00197649999998|1699.445432|1.0|0.0|1.0|4.78|0.0|17.0|2.75|1.76|1.0|0.0|128.47|0.0|5.0|-3.99|31.0|5.0|406.44|0.0|0.0|0.0|1.66|-3.95|0.000113|0.0458|0.0|0.0|2.21e-07|8.97e-05|4.9124|3.8801|-1325.199863|-1325.159466|691.41|319.54|252.39|553.28|-1324.95298|0.3982|7.0249|0.04039655|9.6512|7.4949
2_a49|0|0|0.0|1|1|2.12788659|5.4161004020000005|0.038726287|0.004524556|-0.041202373|10.92973199|0.004580676|-0.170631119|-0.320124905|2|0.79056501|0.084099874|0.00991453|0.851413454|0.7701578720000001|-0.08647612|0.41397907|0.01105681|5.634353797999999|226.4450566|0.18651986|-0.028277173|-20.55997527|0.7154059890000001|-1.187641272|-22.45560511|-14.409545199999998|49.7010488|0.454163307|414.5350312|1550.010086|-7.34284831|5.667936413|10.38394173|4874.364109|145.02405359999997|845.9544764000001|0.0|1.0|1.0|3.09|2.5|21.0|3.28|3.7|0.0|1.0|99.52|0.0|2.0|-3.53|25.0|3.0|327.38|0.0|1.0|1.0|2.76|-3.89|0.000129|0.0421|0.0|0.0|1.51e-07|4.94e-05|5.4614|3743.0|-1046.018455|-1045.981819|553.52|331.24|227.02|371.96|-1045.810794|0.0572|4.8986|0.0366366999999999|6.7117|7.2291
13c_a6|1|0|3.441255118|0|1|0.0|5.351858133|0.040821256|-0.003346018|0.054910284|10.95129637|-0.000899678|0.081059709|-0.490486317|1|0.780680481|0.085414885|-0.167542194|0.8353837409999999|0.7995080809999999|-0.093635525|0.22875443|0.030547186|20.79409503|157.60887419999997|0.213190168|-0.039875482|-51.54254258|0.772032541|-2.11340057|-43.38886312|-27.1440571|84.53371376|0.466844407|535.5975578|3135.546462|-18.47751526|8.038175951|15.07660437|6204.855629|155.1821156|1863.438327|1.0|1.0|1.0|3.61|2.53|23.0|5.38|4.57|2.0|0.0|121.6|0.0|6.0|-5.95|32.0|5.0|423.47|0.0|0.0|1.0|3.64|-5.27|5.42e-06|0.00229|0.0|0.0|3.96e-10|1.68e-07|5.992000000000001|3.6519|-1389.39897|-1389.371325|719.8|339.5|206.92|596.15|-1389.122252|0.28|7.7129|0.0276450999999999|9.2467|7.1367
12az_a36|1|0|3.465535084|0|2|0.0|5.351858133|0.040566449|0.000482522|-0.024018255|10.95957115|0.002872872|0.129156742|-0.387734368|1|0.812921349|-0.061924322|-0.021825174|0.858971809|0.8350231859999999|-0.071762413|0.411597359|0.034771534|24.36575918|60.11023222|0.180836387|-0.033474609|-52.96429617|0.583865006|-1.941527339|-35.23783652|-23.45695404|74.65245915|0.462897841|574.0196415|2455.7577530000003|-16.43719536|8.449849817|15.73229538|6700.839465|291.60189260000004|2330.167624|1.0|0.0|1.0|4.96|0.0|17.0|2.83|1.9|1.0|0.0|136.74|0.0|7.0|-4.11|33.0|6.0|441.49|0.0|0.0|0.0|1.75|-4.15|7.13e-05|0.0315|0.0|0.0|1.6100000000000005e-07|7.11e-05|3.8863|3.6095|-1461.990465|-1461.962459|737.12|343.5|319.03|576.54|-1461.686269|0.0146|6.3778|0.02800521|7.821000000000001|7.2366
13p_a6|1|0|3.449535594|0|0|0.0|4.727387819|0.042959184|-0.008008339|-0.014153926|10.95053423|-0.005708558|0.123575608|-0.573014008|2|0.784414352|-0.059663359|-0.125636943|0.837659336|0.8244206940000001|-0.099405155|0.196002517|0.01730144|12.27472016|80.30786544|0.273479442|-0.03767435|-54.04422654|0.76005742|-2.14743793|-50.03427239|-26.72853188|82.79893305|0.412828992|515.4389679999999|3833.042283|-18.9628865|8.760340755|14.91957306|6590.216479|170.2302215|2004.488446|1.0|1.0|1.0|3.64|2.34|27.0|4.58|4.01|1.0|0.0|132.01|0.0|7.0|-5.09|34.0|5.0|449.51|0.0|0.0|1.0|2.96|-4.55|2.79e-05|0.0125|0.0|0.0|8.73e-11|3.92e-08|4.7973|2.9837|-1463.08132|-1463.0432449999998|752.82|415.53|258.45|573.39|-1462.740542|0.0029|9.0546|0.03807447|12163.0|7.0362
32_a47|0|1|0.0|1|1|1.998170616|4.727387819|0.035568182|0.001861676|-0.026022099|10.95005715|0.002350172|-0.0274939029999999|-0.2749014|2|0.810444864|-0.0094137619999999|-0.078006445|0.858292442|0.634406338|-0.05770007|0.266433793|0.019295804|13.90468487|28.55112477|0.148372218|-0.026060474|-37.74862456|0.64116122|-1.381205148|-29.9621436|-18.77935151|55.48373932|0.44289006|613.6886524|2255.632049|-13.53252578|8.656942728999999|15.53902041|6235.398576|258.5816152|1552.348456|1.0|1.0|1.0|3.35|3.67|21.0|4.18|5.07|2.0|0.0|125.17|0.0|5.0|-4.81|31.0|5.0|436.91|0.0|0.0|1.0|3.94|-5.05|8.89e-06|0.0038799999999999|0.0|0.0|1.5e-09|6.55e-07|4.9046|3.6829|-1778.127634|-1778.0970140000002|692.49|336.65|252.79|548.86|-1777.843462|0.2839|4.8234|0.03062031|6.3139|7.0
34_a47|0|1|0.0|1|0|1.883479676|4.727387819|0.03522792|0.003530307|-0.043634386|10.98214103|0.0047106|-0.208989427|-0.2829549719999999|3|0.833786184|0.046668352|0.128336294|0.89234354|0.609110565|-0.061957581|0.437215023|0.019723558|10.92238452|31.17423189|0.1739443389999999|-0.029348287|-27.64315244|0.653993216|-1.261976347|-19.00022922|-16.25230464|45.23285281|0.45489212|457.4477611|918.6458674|-9.000096143|7.066583143|12.96364153|5105.274301|191.6093987|1068.587688|1.0|1.0|1.0|3.19|3.0|21.0|3.34|4.52|0.0|0.0|99.09|0.0|4.0|-3.57|26.0|5.0|348.38|0.0|1.0|1.0|3.02|-3.9|0.000125|0.0436|0.0|0.0|3.36e-08|1.17e-05|4.2077|3.8892|-1162.4815230000002|-1162.450678|585.79|318.79|294.66|436.88|-1162.283641|0.1718|4.4605|0.03084502|6.2235|8.7
