molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1i|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
14s_a23|0.0|0|1|1|0.0|0.0|0|1.197958333|3.336763335|5.351858133|-0.022580082|2|0.049317519|0.740898446|0.010682694|-0.044305947|10.31321812|2|-0.13187015|0.7837821840000001|0.096014944|-0.1050445769999999|0.659570836|1|-0.080500435|0.2387634619999999|-35.30692476|-51.64162341|30.34480575|0.07236376|46.42188642|-0.034255504|-33.12848261|82.55990607|0.7748161659999999|-1.610008704|-22.64965286|-21.9751589|0.470919749|2954.0751370000003|595.0854952000001|0.2251838339999999|7.548546899|14.26730044|0.890072438|144.457092|-662.5696522999999|11.11743642|0.0|0.0|1.0|1.0|3.45|3.66|26.0|4.67|105.02|2.0|1.0|125.29|0.0|1.0|5.0|-6.13|31.0|4.0|-6.03|445.93|0.0|4.01|7.49e-07|0.000334|2.83e-06|4.21|0.0|0.0|1.02e-08|4.55e-06|-0.07783|3.6828|4.1|3.6828|-2089.521231|-2089.500101|668.66|0.3669|336.66|528.82|0.60323|0.3669|4.7032|-2089.352478|6.4428|3.0|8.5482|8.5482
21_a47|0.0|0|1|1|0.0|0.0|0|1.408713027|1.2247108|4.727387819|-0.13650463|2|-0.034419528|1.028199909|-0.006808306|-0.004063946|10.95058272|1|-0.277479519|0.826796636|-0.080213904|0.0927058819999999|0.591185263|1|-0.095249919|0.3188717339999999|-46.63227351|-53.76411184|34.75044485|0.29417845|166.049938|-0.033866638|-30.34731959|47.95893876|0.6448452960000001|-1.5239986980000002|-26.32173133|-19.11612865|0.463113582|2691.697803|398.4031618|0.355154704|7.071346534|13.17102891|0.862591353|200.4681737|-485.55711339999993|16.33715751|0.0|1.0|1.0|2.0|3.29|3.32|21.0|4.93|84.73|1.0|0.0|104.49|0.0|1.0|6.0|-4.44|29.0|6.0|-6.58|394.38|1.0|3.43|3.6e-05|0.0142|4.84e-05|3.0|0.0|0.0|1.98e-08|7.8e-06|-0.06339|3917.0|4.43|3917.0|-1375.061089|-1375.028093|583.37|0.2249|316.53|441.93|0.68296|0.2249|3.6767|-1374.914223|4.9172|5.0|8.3|8.3
11_a1|0.0|1|0|0|3.3361517380000003|0.0|1|1.430935838|0.0|5.351858133|-0.196819043|1|0.08043435|0.0|-0.0127744789999999|-0.05257082|10.94957487|1|-0.117419838|0.747358374|-0.069193862|-0.075188762|0.7846345840000001|0|-0.126108875|0.2027328789999999|-77.81495049|-74.35738693|274.39137789999995|0.404475497|238.4902806|-0.048723884|-43.84323456|84.40380304|0.751878145|-2.143850877|-45.88191258|-28.7289904|0.47723847|2697.640232|351.1382199|0.248121855|7.43666407|14.2257294|0.912918113|146.29971719999998|-745.3349875|15.44994131|1.0|1.0|1.0|2.0|3.25|2.31|23.0|4.23|97.33|1.0|0.0|105.71|0.0|1.0|4.0|-5.07|29.0|6.0|-6.27|385.37|1.0|3.22|8.48e-06|0.00327|2.17e-05|3.35|0.0|0.0|3.35e-08|1.29e-05|-0.06546|3.7383|5.26|3.1924|-1312.462371|-1312.4282380000002|614.86|0.5573|331.66|471.76|0.69914|0.3201|5.0526|-1312.2963630000002|7.1743|0.17|6.7696|6.7696
9_a3|0.0|0|0|0|0.0|0.0|0|0.605017128|0.0|4.727387819|-0.100592457|1|-0.126542538|2.4071976040000003|-0.004918099|0.065373003|10.31162238|1|0.141996379|0.6729843740000001|-0.260349706|0.042154567|0.865283439|0|-0.083555008|0.506753484|-44.74600478|-39.28853824|223.4501605|0.15350225|72.17854599|-0.038196575|-18.47392835|72.50764604|0.886859678|-1.336880133|-21.04009269|-17.96047462|0.413418346|2017.0704920000005|398.0331029|0.1131403219999999|5.004834198999999|8.532203772|0.704792493|53.19989715|-295.5828535|4.220799781|1.0|1.0|1.0|1.0|3.1|2.44|21.0|4.62|80.04|1.0|0.0|92.69|0.0|1.0|2.0|-5.53|22.0|2.0|-5.21|303.38|1.0|3.7|2.96e-06|0.000899|1.25e-05|4.14|0.0|0.0|5.5e-08|1.67e-05|-0.03999|5.8185|3.28|3.7356|-1256.087705|-1256.0634710000002|512.44|0.2069|213.09|350.27|0.6724600000000001|0.1127|2.0863|-1256.002529|2.6661|10965.0|4.96|4.96
4b_a46|0.0|0|0|0|0.0|0.206072846|1|1.1346370890000002|2.189591837|5.587248657999999|-0.022119857|2|-0.082722572|0.0|0.012332859|-0.135121207|10.96200942|1|-0.123416853|0.7306307590000001|-0.263387881|-0.153841155|0.69830739|0|-0.070236212|0.27128814|-28.58477842|-38.30877966|7.986637869|0.064754938|35.31914031|-0.0229342729999999|-20.89467173|56.7922535|0.8104680259999999|-1.123779397|-15.59093155|-12.50898928|0.428987199|2105.172229|510.1086157|0.189531974|5.76401157|10.09436488|0.751274223|103.3759991|-334.31474760000003|4.343611349|1.0|0.0|1.0|0.0|3.9|3.03|17.0|4.77|43.6|1.0|0.0|101.7|0.0|1.0|2.0|-4.35|25.0|3.0|-5.67|332.44|1.0|3.76|4.49e-05|0.0149|2.35e-05|3.74|0.0|0.0|6.38e-08|2.12e-05|-0.02729|4.5515|3.98|4.5515|-1033.556797|-1033.535029|588.79|0.1784|272.4|508.79|0.68682|0.1784|3127.0|-1033.378455|3.7571|548.0|6.2612|6.2612
12f_a40|0.0|0|0|0|0.0|0.0|0|0.604990261|1.768354671|5.4161004020000005|-0.015621373|0|0.070099257|0.807254372|0.008525796|0.108909202|10.31197207|2|-0.054891771|0.777316288|-0.160218113|-0.271493213|0.605644757|1|-0.082198664|3.43e-05|-37.02024147|-45.41519509|62.72992556|0.090006088|49.72883796|-0.032879466|-25.09213464|61.55859085|0.7314440520000001|-1.150781297|-20.45387851|-18.16607804|0.490421149|2383.68369|502.7764322|0.268555948|8.404802652999999|16.49362536|0.962404834|148.3785764|-351.2898849|11.1163852|1.0|0.0|0.0|0.0|3.24|3.61|20.0|5.44|67.66|2.0|0.0|98.25|0.0|1.0|3.0|-6.58|24.0|3.0|-4.76|376.26|1.0|4.76|2.66e-07|0.0001|1.02e-06|5.4|0.0|0.0|4.81e-08|1.8100000000000003e-05|-0.07761|4.3313|4.77|2.8374|-2212.359379|-2212.348599|572.63|0.4348|286.25|487.85|0.7029|0.3858|3.2818|-2212.275094|4.8562|0.38|6.4202|6.4202
47n_a18|0.0|0|0|0|0.0|0.0|1|1.251175627|0.0|4.844187086|-0.057061805|0|0.017491759|0.0|0.000271488|-0.003276575|10.94702025|0|-0.258092915|0.696612213|-0.09714337|-0.083719099|0.711628292|0|-0.091185806|0.288989992|-65.43887366|-75.24728669|61.29571241|0.207570604|171.2889916|-0.031974244|-62.09468789|47.476904100000006|0.783921929|-2.4620167580000003|-54.00070374|-26.38541222|0.482565384|3349.802294|653.9193397999999|0.216078071|10.43689152|20.17045476|0.932611327|178.30942439999998|-1676.556573|11.20011508|1.0|1.0|1.0|3.0|4.69|0.0|18.0|3.31|105.6|3.0|1.0|162.18|1.0|1.0|13.0|-6.02|40.0|4.0|-6.68|539.67|0.0|2.76|9.48e-07|0.000511|5.7e-06|4.1|0.0|1.0|1.7500000000000002e-10|9.44e-08|-0.0525299999999999|3.2028|9.78|3.2028|-1743.3283440000002|-1743.299948|879.92|0.5056|387.11|799.02|0.6914600000000001|0.5056|2.4754|-1740.663577|3.3568|64.0|7.1938|7.1938
16b_a23|0.0|0|1|1|0.0|0.0|1|1.197960988|3.418247774|5.351858133|-0.013240238|3|0.054655144|0.754232958|0.0116350769999999|-0.068280331|10.31321583|2|-0.224300431|0.7740962779999999|0.14319927|-0.09063701|0.711576167|1|-0.07920267|0.2256448969999999|-37.52431601|-58.69232154|7.971529518|0.071420236|52.92522904|-0.031407956|-43.49333918|100.0262487|0.738977|-1.821661419|-27.80700713|-23.2745413|0.4870072789999999|3370.826124|688.1144512|0.261023|9.472884487|18.46592377|0.949345397|193.4284005|-1000.346801|13.6235075|1.0|0.0|0.0|1.0|4.19|0.0|26.0|4.1|108.26|2.0|1.0|146.03|0.0|1.0|6.0|-6.19|36.0|4.0|-6.3|489.57|0.0|2.9|6.41e-07|0.000314|2.16e-06|4.21|0.0|0.0|4.6200000000000003e-08|2.26e-05|-0.07352|1.6041|4.24|1.6041|-1877.655481|-1877.615701|772.84|0.3456|772.92|607.92|0.95419|0.3456|9.2317|-1877.335869|14.8849|96.0|7.0191|7.0191
7b_a8|0.0|1|0|0|3.213855584|0.0|1|1.395658671|1.4628217119999998|5.4161004020000005|-0.038810124|1|-0.024156447|0.0|0.002074537|-0.052309137|10.9465091|1|-0.035044152|0.7812177770000001|0.048462902|-0.040994467|0.677544268|0|-0.1000685009999999|0.282366236|-60.75943432|-59.93853201|145.0783004|0.277652387|166.30684230000003|-0.041332642|-35.90168309|75.93423425|0.753935657|-1.901301524|-36.39338307|-24.75721974|0.4787988|2776.185773|432.6681725|0.246064343|7.698000901|14.76972982|0.918644854|147.3863936|-682.1319788|13.76608164|0.0|0.0|1.0|1.0|3.49|3.37|23.0|3.8|92.93|2.0|0.0|110.8|0.0|1.0|3.0|-5.25|30.0|5.0|-6.15|396.4|1.0|3.5|5.64e-06|0.00224|1.14e-05|3.61|0.0|0.0|2.25e-08|8.94e-06|-0.06833|4.5945|5.51|3.26|-1330.622441|-1330.595067|621.4|0.2517|269.85|506.21|0.7025100000000001|139.0|9.9463|-1330.448193|12.7344|13.53|4.8687|4.8687
17d_a50|0.0|0|1|1|0.0|0.0|2|1.338814635|4.380250483|6.042632834|0.03538699|1|0.006071856|2.234730384|0.012079|-0.136180713|10.94500663|2|-0.323333765|0.748516466|-0.1921395789999999|-0.2177003589999999|0.7276268779999999|1|-0.069790853|0.8020670809999999|-30.63468215|-48.40178147|5.007868064|0.070113177|48.62532158|-0.025589979|-33.56790124|86.38197811|0.75405703|-1.535398758|-21.24595322|-17.74731987|0.445708152|2824.70142|644.9008302|0.24594297|6.996105516|12.62170017|0.8041037459999999|170.5678813|-738.4938272999999|9.139672835|0.0|1.0|1.0|0.0|4.07|3.68|20.0|4.29|51.77|2.0|0.0|133.19|0.0|1.0|6.0|-4.5|32.0|4.0|-6.25|424.54|0.0|3.68|3.17e-05|0.0135|1.31e-05|3.72|0.0|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|3.41|4.0506|-1335.989008|-1335.962757|727.15|0.1819|306.09|579.45|0.66103|0.1819|5.6557|-1335.713194|7.9942|74.0|7.1308|7.1308
