molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|FNSA3|PBF|PNSA3|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
1l_a5|0.0|1|0|0.0|0|6.605297921|0|1.270375394|0.0|-0.00183668|4.59511985|-0.0052651969999999|0.025672515|-0.111303801|0.0|0.008244856|-0.019865028|-0.05139414|1|0.007613233|-0.179824092|0.043915678|-0.21108114|0.7245669790000001|0.7656671279999999|-0.174469948|0.71872376|0|-0.068685233|0.357062421|-38.79937717|4.43679678|0.109710998|61.974288|-0.026512937|2.506287665|0.0|-1.219595099|-21.91725365|-14.9768065|43.23617395|2227.730859|502.9124512|-688.9330988|903.1631908|0.896303416|4665.793689|-389.1691717|19.46541135|-304.3678822|895.4089219|518.5792364|7.374136537999999|1.0|1.0|0.0|1.0|1.0|0.14|23.0|-8.83|5.32|54.46|2.57|0.0|105.07|1.0|-5.04|26.0|340.42|0.0|1.0|1.0|4.06|-4.98|9.06e-06|0.00308|1.04e-05|0.00356|4.19|0.0|0.0|5.02e-07|4.6403|4.3664|-1069.261615|609.85|283.95|267.19|0.57392|-1069.047151|-0.1779|2.1987|-0.21939|0.03182983|-1069.101032|7.4949
19g_a38|0.0|1|0|0.0|0|7.412764017000001|2|1.297044182|0.0|-0.008497058|5.351858133|-0.117921811|0.042419753|-0.037579797|0.0|-0.006877664|-0.009881824|-0.046735135|1|-0.004358975|-0.096139701|-0.250781298|-0.438254637|0.653741315|0.836170906|-0.063110203|0.632625562|0|-0.086314802|0.5322242429999999|-54.62049927|14.52522351|0.279993731|177.181631|-0.038842708|9.191644336|18.41027014|-1.942135378|-34.56416368|-24.57988703|69.14572278|2897.384301|455.6240763999999|-1228.994351|2506.378649|0.836356715|6631.17356|-777.7146399000001|34.14148263|-278.3610963|1707.074131|593.6088758|14.48726605|1.0|1.0|1.0|1.0|3.0|0.14|17.0|-7.12|3.11|81.23|2.78|0.0|125.65|1.0|-4.25|31.0|419.43|0.0|0.0|1.0|2.97|-4.33|5.68e-05|0.0238|4.67e-05|0.0196|2.88|0.0|0.0|3.19e-05|5.2766|3.6887|-1431.419426|638.82|336.12|234.97|0.69982|-1431.186566|-0.15269|5.0677|-0.20748|0.03244515|-1431.244906|7.3778
7h_a8|0.0|1|0|0.0|1|7.05012252|0|1.391840221|1.2793830309999998|-0.00534208|4.844187086|-0.073219554|0.04737037|-0.016074683|0.0|0.00112124|-0.0873792009999999|0.0260356679999999|1|0.00084936|-0.043606497|0.141285105|-0.382578949|0.515235986|0.7051689170000001|0.095758228|0.507325475|0|-0.093181899|0.314190914|-53.71230941|6.71377223|0.228988973|131.9948047|-0.041038456|3.86998135|47.81104825|-1.6825766830000002|-30.96107949|-23.65556243|60.42608164|2534.324886|444.4294792|-969.8780597|1919.19991|0.768693264|5657.402114|-559.0612661|26.49502512|-452.8739011|1086.29603|446.5544107|5.061650885|1.0|0.0|1.0|0.0|1.0|0.0|23.0|-8.46|5.49|61.58|4.27|0.0|101.89|1.0|-5.68|28.0|373.35|0.0|0.0|1.0|4.63|-5.5|2.09e-06|0.00078|3.16e-06|0.00118|4.66|0.0|1.0|1.31e-06|3.9282|3.9282|-1285.182226|593.53|315.62|315.62|0.6963199999999999|-1285.017252|-0.16076|7.0847|-0.22875|0.03092828|-1285.0707960000002|4.9788
22_a10|0.0|0|0|0.0|1|7.535296702|1|1.343837143|2.113627059|-0.005035102|5.4161004020000005|-0.017163935|0.036101695|-0.026750502|1.880539113|0.008350227|0.01204992|-0.020475007|1|0.008903905|-0.042831367|-0.208132084|-0.356699217|0.670763832|0.747363443|-0.02603707|0.646474494|1|-0.053881447|0.775071808|-41.96631248|13.023146|0.130170086|101.3847763|-0.022372463|10.14325785|60.10354816|-1.3647202319999998|-32.68604442|-17.4251029|54.98945848|3241.833491|677.4790907|-1062.931277|2668.5420940000004|0.730649641|7414.102179|-827.8787647|30.87787063|-100.1982412|1883.550109|916.8601445|20.51547079|1.0|1.0|1.0|1.0|0.0|0.17|27.0|-9.37|5.6|73.14|2.8|0.0|139.53|1.0|-5.34|36.0|475.54|0.0|0.0|0.0|4.26|-5.53|4.55e-06|0.00217|2.95e-06|0.0014|4.1|0.0|0.0|2.03e-07|4.8251|3.8517|-1544.237634|770.92|321.89|256.95|0.6834100000000001|-1543.893507|-0.16095|4.8409|-0.2180699999999999|0.03366599|-1543.959333|5.9586
16a_a32|0.0|1|1|0.0|0|7.765993078999999|0|0.6094207620000001|0.0|-0.014399612|5.733341277|-0.0848387459999999|0.03995614|-0.053745649|2.095743605|-0.008098765|-0.062610718|-0.058518519|3|-0.005552127|-0.0999399409999999|-0.199563743|-0.707456102|0.859696525|0.8567078770000001|0.039965071|0.81143469|1|-0.090389538|0.283324612|-56.2527503|12.86051026|0.2434571689999999|151.5123947|-0.037168908|8.003570876|66.13699638|-1.6726008419999998|-35.00816569|-23.13158502|69.11326055|2615.514164|470.82456669999993|-1040.921326|2992.60858|0.8211379000000001|5746.082161|-647.803815|33.19592405|-244.9767673|1493.816582|532.685565|14.6095244|1.0|0.0|1.0|1.0|3.0|0.22|19.0|-7.3|3.79|152.07|0.88|0.0|108.86|1.0|-5.49|27.0|398.51|1.0|0.0|1.0|3.06|-4.04|3.2e-06|0.00128|9.14e-05|0.0364|2.65|0.0|0.0|2.01e-05|3.6314|3.6314|-1896.81177|664.67|341.42|341.42|0.70245|-1896.589348|-0.15045|1.3736|-0.20718|0.04088655|-1896.649286|7.9586
12y_a30|0.0|0|0|0.0|0|7.412764017000001|2|0.604984019|0.0|-0.005996863|5.351858133|-0.037335306|0.044197531|-0.089502772|0.0|0.00604028|0.061944378|-0.058184644|1|0.006346396|-0.153680104|-0.0922059569999999|-0.4579359229999999|0.842068099|0.768409873|-0.05346283|0.803183654|0|-0.070903795|0.374181804|-47.598277|10.05775555|0.151081489|101.4221952|-0.034840345|6.751850651|0.0|-1.91621895|-31.95309886|-23.38859815|57.65603256|2847.362782|569.8856940000001|-1286.372898|2411.415644|0.804154433|6301.067405|-863.552275|28.51891948|-429.782246|1568.540572|754.3941655|8.299049218|1.0|0.0|1.0|0.0|1.0|0.21|17.0|-7.38|3.23|81.65|3.25|0.0|137.21|1.0|-6.04|31.0|426.54|0.0|0.0|0.0|3.19|-5.46|9.14e-07|0.00039|3.48e-06|0.00148|4.6|0.0|0.0|1.76e-05|5.1973|3.4718|-1654.41361|728.75|357.11|238.56|0.6864399999999999|-1654.125015|-0.1475|4.7043|-0.19815|0.0311422|-1654.190369|7.6576
12bg_a36|0.0|1|0|0.0|0|7.412764017000001|2|1.29692796|0.0|-0.0076819|5.351858133|-0.044573523|0.044197531|0.057879142|0.0|-0.001012333|-0.060117593|-0.0206090089999999|1|-0.00097037|0.097928606|-0.1716508239999999|-0.4459167329999999|0.884841888|0.836170906|-0.023460562|0.771220556|0|-0.075439837|0.543472602|-51.74990566|13.44952052|0.159389648|109.3374477|-0.036959207|9.22604612|14.85588272|-1.847960372|-35.49918495|-25.35312333|65.19942617|2925.402039|576.6383913|-1267.656166|2915.548359|0.860310096|6753.439903|-869.5815023|33.900544700000005|-340.0625449|1695.0272350000002|661.6709012|13.35534589|1.0|0.0|1.0|0.0|2.0|0.14|17.0|-7.76|3.19|69.2|2.99|0.0|133.77|1.0|-5.08|31.0|450.32|0.0|1.0|1.0|2.82|-5.18|8.27e-06|0.00372|6.55e-06|0.00295|3.93|0.0|0.0|7.83e-06|3.8944|3.8944|-2152.13793|703.94|318.36|318.36|0.69395|-2151.914954|-0.15743|6.6844|-0.21166|0.03334656|-2151.975577|7.8239
6_a3|0.0|0|0|0.0|0|6.823286122000001|0|0.605016564|0.0|-0.008934536|4.727387819|-0.106234254|0.038650794|-0.025021661|2.000787282|-0.007540435|0.05584062|0.032782484|1|-0.006696449|-0.0445675709999999|0.036673175|-0.594308852|0.881253042|0.790667152|-0.155862559|0.773152968|1|-0.1042506469999999|0.556539611|-52.01903278|5.449560482000001|0.216677977|108.118071|-0.037726468|2.7192240510000003|77.06094911|-1.282699916|-25.95647951|-18.8247694|57.46859326|2196.107822|390.8623623|-640.0421597|1899.385061|0.633675574|4992.54948|-319.3685142|23.4484528|-302.19751|797.2473951000001|353.7528308|7.485963593999999|1.0|1.0|1.0|1.0|1.0|0.0|21.0|-7.48|4.66|92.93|2.11|0.0|95.5|1.0|-5.44|23.0|338.81|0.0|0.0|1.0|3.63|-4.87|3.67e-06|0.00124|1.34e-05|0.00455|3.79|0.0|0.0|1.11e-05|5.8279|3.3963|-1731.735113|524.88|365.05|212.74|0.69323|-1731.602363|-0.1465|2.8131|-0.21179|0.03079258|-1731.6508010000002|5.7501
25_a12|0.0|0|0|0.0|0|0.0|0|1.404967476|0.0|-0.004103693|0.0|-0.045725323|0.038787879|-0.089297664|2.050456822|0.000864238|-0.025245046|-0.11195017|0|0.001783739|-0.141917694|-0.0861945369999999|-0.4288076329999999|0.8472746290000001|0.638255008|-0.2430098439999999|0.806844014|1|-0.054734834|0.120087607|-28.517955|2.580489093|0.052062825|27.12578432|-0.03323193|1.3444869730000002|0.0|-1.362509125|-14.85843094|-17.31450713|31.09844409|2067.69985|493.8944271000001|-709.8947922|1907.027255|0.814415245|4329.321091|-369.8695347|18.87554002|-434.8420476|773.8971409|430.4348528|2.666764531|1.0|1.0|0.0|1.0|1.0|0.05|22.0|-8.78|5.35|37.81|3.2|0.0|99.48|1.0|-5.28|24.0|311.38|0.0|1.0|1.0|4.29|-5.25|5.19e-06|0.00162|5.63e-06|0.00175|4.76|0.0|0.0|5.12e-07|4.2653|3.4532|-974.6569575|560.14|359.04|290.68|0.69029|-974.458128|-0.14303|1.2494|-0.19655|0.024123749|-974.508059|7.6576
11f_a5|0.0|1|0|0.0|0|6.605297921|1|1.370797007|0.0|-0.0037371509999999|4.59511985|0.022233547|0.021060606|-0.083432989|0.0|0.00722997|-0.178881726|-0.0080939669999999|1|0.008309782|-0.1323098|-0.203228986|-0.230681941|0.785419245|0.756843253|-0.008110526|0.750555185|0|-0.068361657|0.368815548|-47.57801621|15.41338844|0.152643862|106.23633909999998|-0.022252743|10.72733576|13.29510896|-1.268406334|-33.11311829|-15.48735657|62.99140465|2853.401015|589.7388387999999|-882.7793242999999|1125.122028|0.8628345190000001|5969.213977|-614.3924972|30.31104695|-15.23851001|1727.7296760000002|753.9168511|21.12375879|0.0|1.0|1.0|1.0|1.0|0.24|23.0|-8.67|3.53|76.16|1.03|0.0|126.79|1.0|-3.95|32.0|427.5|0.0|1.0|0.0|2.95|-4.26|0.000112|0.0477|5.479999999999999e-05|0.0234|2.7|0.0|0.0|9.06e-07|4.4523|4.1356|-1391.7602960000002|729.96|299.8|278.47|0.64937|-1391.444853|-0.1691|2.1313|-0.20772|0.03804804|-1391.50739|7.9208
7f_a10|0.0|0|0|-4.8022906380000006|1|7.535296702|1|1.240141822|1.924772416|-0.011104817|5.4161004020000005|-0.2347037789999999|0.037386831|-0.104120245|0.740070757|0.00189949|-0.000498274|-0.0971900919999999|1|0.0030999659999999|-0.309622111|-0.172751862|-0.5846516820000001|0.5371733989999999|0.796084921|-0.009545801|0.5209683970000001|1|-0.064238302|0.7359022890000001|-35.78096407|4.441786155|0.068226214|38.0022453|-0.03645808|2.474090768|0.3440879|-1.713529756|-19.93012491|-20.30728086|40.22275023|2803.359424|519.0013298|-954.4422004|2375.702381|0.6738319429999999|7070.755931000001|-531.6277179|24.71113795|-358.4725202|1161.423484|527.8079877|7.137285626000001|1.0|0.0|1.0|1.0|0.0|0.23|21.0|-8.13|6.57|52.83|2.64|0.0|106.77|1.0|-5.54|30.0|410.39|1.0|0.0|0.0|4.39|-5.6|2.9e-06|0.00119|2.52e-06|0.00103|4.7|0.0|0.0|3.03e-06|5.7757|3.6256|-1442.216293|597.28|341.96|214.67|0.6833600000000001|-1442.001311|-0.15627|2.2631|-0.2175699999999999|0.01616879|-1442.058773|6.8508
12b_a36 (EW-7197)|0.0|1|0|0.0|0|7.412764017000001|2|1.2970445309999998|0.0|-0.008137593|5.351858133|-0.082283951|0.040899471|0.027495626|0.0|-0.002526241|-0.098032695|-0.056994595|1|-0.000673716|0.059005046|-0.217394466|-0.442656599|0.724208473|0.819222745|-0.001567914|0.698414933|0|-0.081357853|0.458627252|-50.90136206|13.41367899|0.236481628|147.9542111|-0.039120289|8.392238798|5.958751634|-1.956014468|-31.84632538|-24.47552312|64.31504105|2772.832013|477.6935927|-1223.776156|2338.370858|0.851455231|6096.459089|-765.6528642999999|32.77617664|-308.7538779|1638.808832|595.8790650000001|12.96977113|||||||||||||||||||||||||||||||3.8475|3.7725|-1332.180029|659.48|328.66|322.25|0.69991|-1331.9479310000002|-0.15571|5432.0|-0.20546|0.03202977|-1332.005651|8.1549
