molecula|SddssS|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|FPSA5|DPSA1|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
LY580276_a4|0.0|0|0.0|0.0|1|1|1|1.344599701|2.067497166|-0.156842923|-0.001543874|-0.020236527|0.0295482979999999|0.0|0.010217376|10.94681614|1|1|0.009622161|-0.019747846|-0.042912895|1|0.5162208110000001|0.035666446|0.019144144|0.847526918|0.518109998|0.8685269959999999|-0.057317455|-0.071023484|0.243350596|-34.22831819|4.207217677|0.131473004|63.36073061|2.027582675|82.46094409|0.8478469959999999|-1.065352257|38.23432817|-13.51117823|1948.220005|418.5688558|-6.511436537000001|0.152153004|5.456603642999999|9.693623538|0.008312438|-335.2755182|4.0060099860000005|1.0|0.0|1.0|1.0|0.0|-6.56|4.49|4.43|30.71|0.0|84.74|1.0|2.0|-5.71|0.0|1.0|1.0|3.69|-4.21|0.0624|6.18e-05|0.0181|0.0|2.75e-07|5.2983|4.4918|-959.4958788|-959.4723321|519.23|865.23|234.01|0.36903|0.68002|-959.356125|-0.18746|2.5355|-0.2099599999999999|0.023546627|-959.404416|3.2891|6757.0|6757.0
12_a47|0.0|1|2.903215905|0.0|0|0|0|1.304330736|0.0|-0.155854903|-0.005522244|-0.078935336|0.001435849|1.555521837|-0.0047488359999999|10.95005729|1|1|-0.004332024|-0.006318684|-0.015039637|2|0.6505449670000001|0.055943216|0.050943962|0.90246604|0.618808977|0.7840710409999999|-0.084846808|-0.091853238|0.266995634|-47.83891561|9.382250925|0.2159289589999999|112.4599133|4.886454935|0.0|0.680723821|-1.1940921|61.09751253|-17.76874008|2266.78114|408.3591283|-9.25429818|0.319276179|7.042279354|13.52358352|0.025457205|-188.2488142|13.25859692|1.0|0.0|1.0|1.0|2.0|-8.11|4.19|4.98|66.49|0.0|91.63|1.0|3.0|-5.94|0.0|1.0|1.0|3.37|-4.56|0.0106|2.77e-05|0.00943|0.0|7.69e-09|4.2907|3.9538|-1488.101254|-1488.064043|537.79|886.46|288.96|0.66387|0.68557|-1487.974738|-0.1633|2.1019|-0.2256|0.03721125|-1488.024564|3.5884|8.2|8.2
47t_a18|0.0|0|0.0|0.0|0|1|1|1.25117758|0.0|0.1115820769999999|-0.0128248239999999|-0.161517185|0.018018036|0.0|-0.006573438|10.94702032|0|0|-0.004985656|-0.068787175|-0.104274108|0|0.704602886|0.005590928|-0.074774521|0.796935152|0.688453085|0.67203319|-0.119202068|-0.103295568|0.240001773|-69.13537385|9.415011332|0.32796681|219.5070758|6.301435212|78.43695402|0.804531523|-2.272502492|80.00407742|-27.16032544|2872.533415|449.789539|-18.17831387|0.195468477|8.780037801|17.48280476|0.016238994|-407.6438346000001|10.86870356|0.0|0.0|1.0|0.0|3.0|-7.51|2.6|2.93|110.56|1.0|129.21|1.0|7.0|-6.46|0.0|0.0|0.0|2.15|-4.77|0.00117|1.7100000000000002e-05|0.0075299999999999|0.0|3.09e-08|3.1164|3.1164|-1470.873743|-1470.836067|703.76|1218.95|397.84|0.6895100000000001|0.6895100000000001|-1470.528808|-0.12692|7.7656|-0.19514|0.03767603|-1470.593659|9.6938|6.1068|6.1068
8b_a8|0.0|0|3.191799887|0.0|1|1|1|1.395658149|1.42474537|-0.023718767|-0.013834266|-0.182065125|0.019958073|0.0|-0.0055544409999999|10.94650923|1|1|-0.003593429|0.049587543|0.079250224|1|0.758899977|0.097555876|-0.0527918259999999|0.8354024290000001|0.726912742|0.558354653|-0.130159955|-0.11627069|0.28604765|-71.23625346|19.87542051|0.441645347|270.5854753|12.1771918|89.09854311|0.781454722|-2.325413799|84.97574547|-29.07602182|2863.095568|342.0904577|-17.8141788|0.218545278|7.507665421|14.53652808|0.022425382|-344.8810688|13.73949201|0.0|1.0|1.0|0.0|2.0|-7.13|3.65|3.03|112.23|0.0|114.18|1.0|4.0|-6.87|0.0|0.0|0.0|2.9|-4.43|7.0|3.69e-05|0.0153|0.0|7.33e-08|4.5819|3.2992|-1407.0843|-1407.052256|640.35|1098.17|270.59|0.57234|0.70195|-1406.829227|-0.13807|5.8389|-0.19921|0.03204403|-1406.887058|7.4497|5.2941|5.2941
4e_a49|0.0|0|0.0|0.0|1|1|1|1.343847746|2.085628989|-0.076526919|-0.006602016|-0.074495823|-0.080255074|1.713107022|-1.8100000000000003e-05|10.92777282|1|1|0.000660956|-0.037142108|-0.060391347|2|0.7541604690000001|0.0063958109999999|0.032396301|0.856023531|0.731643066|0.757062331|-0.09422276|-0.087866673|0.433385455|-53.89448633|10.51443916|0.242937669|149.0098632|6.449206277999999|60.11195021|0.650328475|-1.493733437|68.38360061|-17.96482878|2675.626006|464.3567821|-11.01902676|0.349671525|7.934910277|15.01788083|0.023622273|-184.4129453|14.48911428|1.0|1.0|1.0|1.0|2.0|-7.36|3.4|2.83|92.93|0.0|114.08|1.0|6.0|-7.52|0.0|0.0|1.0|2.42|-3.52|211.0|0.000305|122.0|0.0|4.35e-08|5.7301|3.7876|-1313.199448|-1313.158118|660.22|1128.64|216.37|0.4078199999999999|0.68043|-1312.924353|-0.1585099999999999|3.9718|-0.2231199999999999|0.04133034|-1312.98289|4.8707|7.4685|7.4685
11_a3|0.0|0|0.0|0.0|0|0|0|0.605020608|0.0|0.119431379|-0.01008647|-0.127546771|-0.101436441|1.710245969|-0.008037672|10.31163053|1|1|-0.005959152|-0.0495219879999999|-0.0947326669999999|3|0.8947911009999999|0.132535663|-0.04179402|0.793311683|0.834020779|0.777803048|-0.0955396769999999|-0.099420732|0.175996916|-47.02715152|6.800350988|0.222196952|105.101718|3.216644354|80.34769756|0.752484736|-1.292469516|57.08178682|-18.52584757|2097.896727|367.9098016|-8.76293931|0.2475152639999999|5.475372235|10.29352296|0.021256639|-238.8563772|10.0546353|1.0|1.0|1.0|1.0|1.0|-6.51|3.79|3.41|105.82|0.0|88.28|1.0|2.0|-6.59|0.0|0.0|1.0|2.46|-3.71|0.0256|0.000197|0.0601|0.0|3.06e-07|3.2232|3.2232|-1288.195105|-1288.165162|508.58|834.82|384.66|0.6966600000000001|0.6966600000000001|-1288.058926|-0.13118|3.3694|-0.20018|0.02994326|-1288.10577|4.4522|7.3979|7.3979
13j_a6|0.0|0|3.409065702|0.0|0|1|1|1.430640326|0.0|0.0353600779999999|-0.015004989|-0.154502515|0.07522656|0.0|-0.011017781|10.95129557|1|1|-0.007703306|-0.045418125|-0.073507141|1|0.8744720490000001|-0.063948098|-0.079161042|0.8353837409999999|0.830577798|0.6229641429999999|-0.120219472|-0.129511589|0.205764388|-86.54032868|20.78979124|0.377035857|251.937353|13.89184843|114.6910805|0.7841668409999999|-2.460720196|99.85109065|-31.02389141|2907.3053210000003|416.2679342|-20.73032827|0.215833159|8.741405506|15.43329684|0.0199201689999999|-379.7635712|13.31076198|1.0|1.0|1.0|1.0|3.0|-8.5|4.16|3.54|115.15|0.0|120.17|1.0|6.0|-6.81|0.0|0.0|1.0|2.82|-4.48|0.00398|3.28e-05|14.0|0.0|3.18e-09|3.6504|3.5599|-1426.5532050000002|-1426.520775|712.52|1196.6|339.64|0.69993|0.7045100000000001|-1426.272674|-0.14602|8.3187|-0.19491|0.03242949|-1426.335207|10.9731|6.5817|6.5817
1i_a5|0.0|0|2.843224727|-4.358943904|0|0|0|1.219028472|0.0|-0.145964178|-0.006494891|-0.31059482|0.018196138|0.0|-0.0012491689999999|10.94550053|1|1|-0.000700145|0.001493879|0.004923698|2|0.525406088|-0.058385936|-0.00496377|0.8436458929999999|0.513260607|0.8876055620000001|-0.091178745|-0.084018635|0.4729402929999999|-46.82694838|4.621144795|0.112394438|62.64191946|2.575548983|0.213644964|0.759459597|-1.428316788|57.78921354|-19.90145306|2482.831286|494.6981114|-11.09187646|0.240540403|7.314842247|13.79450888|0.0196689|-289.21443910000005|10.96226516|1.0|0.0|1.0|1.0|1.0|-8.88|5.48|6.37|54.46|0.0|95.49|1.0|4.0|-5.73|1.0|0.0|1.0|4.12|-4.97|0.00589|1.0800000000000002e-05|0.00396|0.0|1.3300000000000002e-09|4.7243|4.3799|-1288.356212|-1288.322373|569.42|957.58|262.44|0.4571199999999999|0.50107|-1288.210207|-0.17945|2.6336|-0.23674|0.03383899|-1288.264271|2.8939|7.6198|7.6198
14a_a10|0.0|0|0.0|0.0|1|2|2|1.3438495730000002|2.156210368|-0.2090476269999999|-0.002047597|0.0437538159999999|0.027446544|2.070512208|0.011509975|10.92970798|1|1|0.012272222|-0.220250238|-0.344811314|2|0.76857495|-0.011977878|-0.007680215|0.770129205|0.740051323|0.911549451|-0.044416218|-0.070610745|0.43555903|-51.23835032|9.840503082|0.088450549|64.18371923|7.140714112|134.15514270000003|0.542015878|-1.270993412|67.14248252|-13.76552695|3075.550631|661.4615097|-9.988888957|0.457984122|10.0292632|18.88856367|0.0219172279999999|-60.97724212|15.9041322|1.0|1.0|1.0|1.0|0.0|-8.18|4.16|3.36|59.31|0.0|146.76|1.0|7.0|-6.82|0.0|1.0|0.0|3.43|-4.8|0.0288|1.58e-05|0.00743|0.0|6.55e-09|5.5808|3802.0|-1489.655581|-1489.803158|800.01|1380.89|222.16|0.34245|0.7047100000000001|-1489.42155|0.2422099999999999|3.1205|0.19621|-0.14757681|-1489.487381|4.8004|7.1308|7.1308
12w_a36|0.0|0|3.3131307480000003|-4.750262163|0|2|2|1.24014105|0.0|0.081390556|-0.015825416|-0.297354748|0.041058884|0.0|-0.011700732|10.96020797|1|1|-0.007897954|-0.1187503719999999|-0.3344729369999999|1|0.647732719|-0.098657593|-0.016393443|0.8792981679999999|0.624142499|0.828363244|-0.086826396|-0.111267166|0.532980165|-79.88912835|15.15285952|0.171636756|123.23411609999998|10.87965823|0.780959767|0.70536279|-2.225343322|99.51883498|-29.58856606|3230.870697|594.7596206000001|-21.24440511|0.29463721|8.365472166|15.701847400000002|0.0273396629999999|-294.8983941|19.62970663|0.0|1.0|1.0|0.0|2.0|-7.14|3.31|4.04|78.43|0.0|130.43|1.0|7.0|-6.4|0.0|0.0|0.0|2.65|-5.07|0.00291|8.6e-06|4.0|0.0|7.24e-08|3.8881|3.8881|-1645.202839|-1645.169951|712.88|1198.72|318.88|0.69466|0.69466|-1644.953222|-0.15708|5043.0|-0.21034|0.0328886|-1645.017691|7.0746|7.6383|7.6383
