molecula|SddssS|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12_a1|0.0|0|0|0.0|7.423568444|1|1|1.430936075|-0.0455890429999999|-0.011221829|5.351858133|1|0.0|-0.516204114|-0.0038943009999999|-0.0811332759999999|10.94945122|-0.051772288|1|-0.104622651|-0.173618873|-0.487073772|1|0.8016064479999999|0.749817035|0.817998205|0.7534284040000001|0|-0.0964711209999999|-0.104724018|0.210514881|-55.99493147|-60.78517756|19.60151089|0.234878615|-35.28166588|11.37734536|0.724666653|-32.50125347|74.99749378|-23.15625812|2592.245875|444.1009824|-13.44063462|0.275333347|14.34104294|0.867391557|-564.5066541|31.95435864|0.024485753|473.040639|14.21231622|1.0|1.0|1.0|1.0|1.0|3.29|0.05|4.87|4.41|1.67|0.0|0.0|1.0|3.0|28.0|366.37|0.0|1.0|-4.75|0.00379|1.77e-05|0.00649|3.54|0.0|6.28e-09|2.3e-06|-0.07042|3.67|-1216.12881|-1216.099134|1018.84|390.57|-1215.922313|7.7454|0.0296752|2.95|5.5302|5.5302
6_a4|0.0|0|0|0.0|7.535296702|1|1|1.271761557|-0.19701009|-0.001221193|5.4161004020000005|2|2.186806868|-0.064723237|0.011457667|0.0032928379999999|10.92992785|-0.208689928|1|-0.046166422|-0.073630392|-0.1738111839999999|2|0.664591856|0.76089528|0.810030118|0.664247086|1|-0.052396457|-0.0670158929999999|0.417868437|-29.18838891|-37.33240845|4.324187697|0.054454162|-20.7966895|2.408866521|0.814470803|-16.25991695|42.27020924|-13.71394596|2342.371538|526.7333132|-7.639600225|0.1855291969999999|9.981741408|0.733355042|-374.340411|16.83786074|0.008863911|578.2065561000001|4.937800786|0.0|1.0|1.0|1.0|0.0|3.38|0.26|5.1|5.23|3.09|0.0|0.0|1.0|3.0|27.0|354.45|0.0|1.0|-5.11|0.0043799999999999|7.74e-06|0.00274|4.28|0.0|1.04e-08|3.67e-06|-0.04867|4.11|-1108.585859|-1108.563418|1057.7|307.24|-1108.338577|2.8026|0.02244097|1.3|5.8861|5.8861
21a_a23|0.0|1|1|0.0|7.525639975|0|0|1.197963603|0.1049806919999999|-0.005708466|5.4161004020000005|2|0.773970837|-0.3082571839999999|0.01269616|-0.133417036|10.31321782|-0.083864151|2|-0.074441567|-0.136106024|-0.484404194|2|0.725800261|0.7367638240000001|0.79188323|0.6906097959999999|1|-0.051521215|-0.082341001|0.224766417|-34.01266735|-54.35891011|7.634348008|0.073461531|-35.88602363|5.039953753|0.842121383|-22.45408125|61.73864319|-22.83074225|2880.257677|611.67123|-15.07212993|0.157878617|15.66066298|0.969673962|-753.6064963|27.11098744|0.011178565|666.0036144999999|7.379733085|0.0|0.0|1.0|1.0|1.0|3.53|0.09|3.88|4.33|3.24|1.0|0.0|1.0|5.0|31.0|425.51|0.0|0.0|-5.28|0.000552|5.29e-06|0.00225|3.98|0.0|1.65e-08|7.03e-06|-0.07243|3.75|-1669.250866|-1669.23053|1189.63|335.16|-1668.989671|5.3733|0.0203361|102.0|6.9914|6.9914
4r_a46|0.0|0|0|-0.03033057|7.832410927000001|1|1|1.13129629|-0.173617329|-0.002826188|5.587248657999999|2|0.0|-0.141309389|0.006236535|-0.1129698999999999|10.96363493|-0.048758575|1|-0.055572881|-0.086905208|-0.246070691|2|0.7794598220000001|0.810646641|0.8549242340000001|0.76719475|0|-0.079297367|-0.081339886|0.261414008|-42.06465252|-43.14814202|6.071841742999999|0.152180218|-22.88867429|3.220912917|0.7146312779999999|-22.31391864|51.22472631|-13.77068362|2137.47734|449.7405899|-7.304896049|0.285368722|10.69131411|0.839885604|-343.3301143|19.26963463|0.015225417|496.0386301|8.076584289|0.0|1.0|1.0|1.0|1.0|3.82|0.35|3.56|3.43|1.52|0.0|0.0|1.0|3.0|25.0|334.41|0.0|0.0|-3.55|271.0|0.000279|0.0933|2.12|0.0|5.64e-07|0.000188|-0.03073|2.3|-1069.447946|-1069.419677|986.04|274.25|-1069.231407|2.6630000000000003|0.02826942|1413.0|5.8499|5.8499
12h_a40|0.0|0|0|0.0|7.515889085|0|0|0.60499064|0.104392974|-0.008044548|5.4161004020000005|0|0.803557099|-0.289603712|-0.000134504|0.189869851|10.31197256|-0.21893421|2|0.127299624|0.224167029|-0.556229094|0|0.809398262|0.7769829840000001|0.845904643|0.6948809659999999|1|-0.0954337969999999|-0.091448888|0.006997021|-50.45378559|-48.34705035|6.193088525|0.160518251|-25.56004046|3.274152035|0.844008584|-26.67382585|54.9311782|-20.51086984|2270.834041|443.8158546|-10.84365353|0.155991416|15.84593062|0.983394285|-357.8405665|24.30173133|0.012453938|350.9435025|6.584127851|1.0|0.0|1.0|1.0|1.0|3.19|0.0|4.59|5.02|3.76|1.0|0.0|1.0|2.0|23.0|361.25|0.0|1.0|-5.58|0.0002009999999999|2.61e-06|0.000942|4.75|0.0|1.44e-07|5.2e-05|-0.07512|4.14|-2153.207198|-2153.186757|910.77|469.0|-2153.072091|2.5573|0.02044063|823.0|6.0846|6.0846
2_a4|0.0|0|0|0.0|6.605297921|1|1|1.189716144|-0.072708147|-0.00708265|4.59511985|1|0.0|-0.269140683|-0.001386521|0.090707854|10.95268469|0.076479666|0|0.147657684|0.228655117|-0.3881618|1|0.930871261|0.802438682|0.847373823|0.912872667|0|-0.117395215|-0.105102755|0.442778552|-49.45826819|-44.27948986|2.667094277|0.257481153|-18.65482233|1.123639184|0.843107708|-20.83662681|48.93681624|-15.98981578|1623.668791|312.82106489999995|-6.736463618999999|0.156892292|7.800989232999999|0.656126301|-242.5126903|18.96532986|0.011054731|284.26458360000004|4.657326379|0.0|1.0|1.0|0.0|2.0|3.33|0.27|2.12|0.83|1.63|0.0|0.0|2.0|2.0|19.0|253.3|0.0|0.0|-2.77|1.67|0.00171|434.0|1.62|0.0|1.4800000000000002e-05|0.00374|-0.01612|2.46|-819.9326497000001|-819.8996124|764.77|384.69|-819.771754|1.7717|0.033037353|31.0|7.5086|7.5086
12bb_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.29704416|-0.07834963|-0.008239316|5.351858133|2|0.0|-0.444923056|-0.006877664|-0.018516159|10.96022185|-0.027636036|1|-0.098027247|-0.250781298|-0.421445726|1|0.653741315|0.836170906|0.892249657|0.632625562|0|-0.090660196|-0.114330726|0.314702945|-58.19935506|-73.39466247|14.16769093|0.311151789|-47.11573753|9.094955748|0.719294078|-37.36110291|88.14984373|-24.95418524|2902.055617|442.2064275|-16.01935076|0.280705922|15.13083401|0.926384521|-800.967538|34.69260487|0.022984922|593.6088758|14.75518126|1.0|0.0|1.0|0.0|2.0|4.72|0.14|3.55|3.0|2.78|0.0|0.0|1.0|5.0|31.0|417.41|0.0|0.0|-4.32|0.0424|4.81e-05|0.0201|2.88|0.0|7.599999999999999e-08|3.17e-05|-0.0566799999999999|3.66|-1431.4091|-1431.374881|1120.72|326.27|-1431.178978|6251.0|0.03421884|0.01|8.0|8.0
24_a20|0.0|0|0|0.0|6.842683282|0|0|1.40648755|-0.217098257|-0.001547029|4.727387819|2|2.041494094|-0.083539572|0.009265667|-0.060940703|10.93106245|-0.04104|1|-0.036258691|-0.060582944|-0.188335708|2|0.616352201|0.74131936|0.802353442|0.607038752|1|-0.061437722|-0.067869875|0.531656762|-38.76683848|-42.82548904|8.085691548|0.047972705|-27.02262995|5.102023479|0.771032243|-24.46164548|51.30386873|-17.13019562|2736.601949|600.7235847000001|-10.80905198|0.228967757|12.63879297|0.844319927|-540.4525990000001|22.21722343|0.013436544|664.4562602999999|8.478379683|1.0|1.0|1.0|1.0|0.0|3.4|0.08|4.76|4.78|1.86|0.0|0.0|1.0|4.0|31.0|402.45|0.0|1.0|-4.93|0.00519|1.17e-05|0.00469|3.52|0.0|4.82e-10|1.94e-07|-0.06748|3.74|-1291.896802|-1291.867578|1169.35|345.59|-1291.647083|3.6107|0.02922392|318.0|6.4976|6.4976
15_a4|0.0|0|0|0.0|7.535296702|1|1|1.399867493|-0.159419214|-0.001986535|5.4161004020000005|1|0.0|-0.077474847|0.009823083|-0.1979518539999999|10.94611612|0.022446689|1|-0.017259078|-0.038707204|-0.226703465|1|0.5118792910000001|0.772721853|0.8347553529999999|0.509447294|0|-0.062151785|-0.073738544|0.2517542889999999|-29.80513879|-35.36161572|5.223809291|0.132283624|-16.95780525|2.505098786|0.8438913020000001|-14.29317436|40.03406565|-14.73400655|1973.978183|416.1168833|-7.065752187|0.156108698|9.709704127|0.7783994009999999|-254.3670787|17.45960235|0.009743323|324.5687005|4.672449937|1.0|0.0|1.0|0.0|0.0|3.28|0.11|4.09|4.4|3.05|0.0|0.0|1.0|2.0|22.0|291.32|0.0|1.0|-4.28|0.0443|5.19e-05|0.0151|3.49|0.0|8.070000000000001e-07|0.000235|-0.03539|3.8|-958.270023|-958.251931|848.47|294.16|-958.147682|2.1603|0.018092091|175.0|6757.0|6757.0
12ap_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.2970441659999998|-0.06398791|-0.007719624|5.351858133|2|0.0|-0.424579308|-0.000143196|-0.105824575|10.95430638|-0.042675894|1|-0.098598933|-0.175397741|-0.436880644|1|0.8707354620000001|0.832758813|0.893689741|0.8212311840000001|0|-0.082622504|-0.106173763|0.27547717|-54.21070432|-69.6632787|14.26936622|0.1694125169999999|-45.7078307|9.36249036|0.737851886|-35.56900768|83.16347311|-24.58703954|2843.18721|544.9693552|-16.13217554|0.262148114|16.37284224|0.86772056|-822.7409526|33.32245946|0.020575639|642.3830552000001|13.50019441|1.0|0.0|1.0|0.0|2.0|4.78|0.13|2.75|1.76|1.38|0.0|0.0|1.0|5.0|31.0|406.44|0.0|0.0|-3.95|0.0412|0.000113|0.0458|2.4|0.0|2.21e-07|8.97e-05|-0.06084|2.98|-1325.199863|-1325.159466|1160.79|319.54|-1324.95298|7.0249|0.04039655|32.0|7.4949|7.4949
