molecula|SddssS|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
3i_a32|0.0|1|1|-4.547725143|7.78113851|0|0|0.6094207970000001|-0.157360524|-0.012358668|5.733341277|0|1.711001131|-0.4449120629999999|-0.0131506889999999|-0.26785886|10.3110028|0.022524712|3|-0.054335108|-0.212967423|-0.537667101|0|0.565740817|0.833699527|0.902293804|0.54844677|1|-0.093279684|-0.1132851459999999|0.259644227|-49.17963359|-59.72706743|8.064907632|0.106172013|-31.48976464|4.252042736|0.77072347|-25.92886531|71.27609889|-23.52884474|2471.4299920000003|471.2508776000001|-12.4050588|0.22927653|10.09193014|0.732035793|-409.3669403|30.52825775|0.021905206|318.0257595|11.54903146|1.0|0.0|1.0|1.0|1.0|3.1|0.13|6.76|6.29|2.09|0.0|0.0|1.0|3.0|24.0|366.38|1.0|1.0|-5.16|0.000197|6.85e-06|0.00251|4.23|0.0|1.0900000000000001e-07|4.01e-05|-0.06518|3.38|-1891.833327|-1891.811327|876.0|340.43|-1891.738614|2494.0|0.02199999|6.0|8.2366|8.2366
15d_a10|0.0|0|0|0.0|7.535296702|2|2|1.343850133|-0.233802395|-0.002831383|5.4161004020000005|3|2.04092658|-0.184039927|0.010215823|-0.140487312|10.92970801|0.007032164|1|-0.1786649189999999|-0.280243276|-0.1945202089999999|2|0.74726683|0.745184875|0.7857977740000001|0.71456262|1|-0.057588609|-0.070612242|0.565801561|-38.80896881|-47.58559595|15.37766538|0.12390229|-32.06793721|10.36301002|0.471900166|-26.15336742|66.95020436|-12.68949225|2967.522813|590.402322|-8.551449923|0.5280998339999999|16.02072769|0.900629528|-513.0869954|26.89020509|0.028735133|825.4425942|19.36460841|0.0|1.0|1.0|1.0|0.0|3.71|0.35|4.14|3.44|1.54|0.0|0.0|1.0|6.0|33.0|441.52|0.0|0.0|-4.38|0.0739|4.1200000000000005e-05|0.0182|2.75|0.0|1.5e-08|6.62e-06|-0.05002|2.05|-1430.8144619999998|-1431.051425|1266.87|321.28|-1430.733658|3.3831|-0.23696253|69.0|7.1612|7.1612
12bf_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.297043948|-0.024689509|-0.00832865|5.351858133|2|0.0|-0.4497470879999999|-0.006877664|-0.096665166|10.96022305|-0.0206090089999999|1|-0.098027247|-0.250781298|-0.433281391|1|0.653741315|0.836170906|0.892249657|0.632625562|0|-0.090461753|-0.110255801|0.356652646|-58.26326838|-71.01192632|14.01562806|0.320859336|-45.73631152|9.026978489|0.7054709690000001|-37.52534442|86.28460578|-24.14405495|2902.591295|437.4108773|-15.55034592|0.294529031|14.37031118|0.904134124|-777.5172959|34.22402339|0.02371294|593.6088758|15.27267945|1.0|0.0|1.0|0.0|2.0|4.72|0.14|3.55|3.0|2.78|0.0|0.0|1.0|5.0|31.0|417.41|0.0|0.0|-4.32|0.0424|4.81e-05|0.0201|2.88|0.0|7.599999999999999e-08|3.17e-05|-0.0571299999999999|3.66|-1431.413697|-1431.380702|1120.94|320.04|-1431.187555|5.4787|0.03299488|6.0|8.2218|8.2218
19_a31|0.0|0|0|0.0|7.401841579|0|0|0.61013725|0.062492295|-0.01001901|5.351858133|0|0.0|-0.46087445|-0.005956522|-0.040386271|10.31169935|-0.081641954|2|-0.081398052|-0.1751017789999999|-0.615878515|0|0.656654981|0.8558149140000001|0.902130276|0.6427749970000001|0|-0.0909201569999999|-0.113333675|0.279690511|-53.25742146|-66.3863707|8.596058678|0.268735206|-38.88650245|5.035230173|0.776211804|-31.1960848|75.31824576|-21.12293613|2265.6917350000003|428.3459076|-12.37297805|0.223788196|12.77501178|0.805382437|-544.4110343|27.21285095|0.0152483439999999|460.3754405|8.931875058|1.0|1.0|1.0|1.0|2.0|3.44|0.28|5.8|4.33|1.68|0.0|0.0|1.0|7.0|25.0|358.43|0.0|1.0|-3.92|0.0076799999999999|0.0001199999999999|0.0431|2.93|0.0|4.08e-08|1.46e-05|-0.04308|5.24|-1489.532192|-1489.4951640000002|1028.58|314.06|-1489.323855|1.7076|0.03702801|1.8|5.7447|5.7447
7s_a46|0.0|0|0|0.218897825|7.727094485|1|1|1.160371307|-0.0778653109999999|-0.005351046|5.533389489|1|0.0|-0.240797051|0.0060802|-0.005405515|10.94651358|-0.020953253|1|0.012197837|0.018964141|-0.3638523629999999|1|0.778692012|0.770312275|0.8182543959999999|0.768056188|0|-0.096723151|-0.083011849|0.249893305|-48.61321955|-41.72189594|4.458665639|0.141211538|-20.9694955|2.240932895|0.8198874559999999|-24.43308641|47.36217237|-15.894055599999998|1982.695462|431.6285339|-7.988379237|0.1801125439999999|9.829721631|0.7662292690000001|-335.5119279|19.38565529|0.01122216|409.9543818|5.640276426000001|0.0|1.0|1.0|1.0|1.0|3.08|0.26|3.65|3.9|2.39|0.0|0.0|1.0|2.0|23.0|305.37|0.0|1.0|-4.24|0.0262|5.76e-05|0.0176|3.32|0.0|8.39e-07|0.000256|-0.02024|3.54|-974.8067569|-974.7707066|916.7|288.81|-974.615216|2.4286|0.036050328|1985.0|5.7022|5.7022
12q_a30|0.0|0|0|-4.76444841|7.412764017000001|2|2|0.60498366|0.144208934|-0.015322396|5.351858133|2|0.0|-0.873376576|-0.00695299|0.004165554|10.31162828|-0.021542639|1|-0.077457998|-0.226973911|-0.636798458|1|0.613786308|0.816138015|0.867367115|0.593245722|0|-0.087348134|-0.115589613|0.596557166|-59.52322773|-78.7683329|10.07866809|0.154254173|-53.67653794|6.868090132000001|0.820640722|-40.56199584|90.06607753|-31.21009417|3305.289025|576.3319634|-21.2680622|0.179359278|13.96052394|0.900207238|-1127.2072970000002|38.03137394|0.016579022|696.6414817000001|11.29774462|1.0|0.0|1.0|0.0|1.0|4.73|0.17|4.43|4.78|2.82|0.0|0.0|1.0|7.0|34.0|482.48|0.0|0.0|-5.92|9.63e-05|1.2e-06|0.000579|5.05|0.0|6.61e-08|3.19e-05|-0.05105|5.52|-1988.033527|-1987.999444|1214.92|355.93|-1987.781386|5.5755|0.03408298|36.0|7.4449|7.4449
14x_a23|0.0|1|1|0.0|7.423568444|0|0|1.197963189|0.0944818319999999|-0.0065692219999999|5.351858133|2|0.6753138120000001|-0.335030301|0.003379755|-0.075184011|10.31321817|-0.0229244|2|-0.073958723|-0.206574435|-0.443633823|2|0.5788469970000001|0.802520527|0.8668730109999999|0.558482531|1|-0.0708831479999999|-0.084244058|0.229141189|-46.97594633|-55.83053941|14.64350681|0.223171139|-37.00022522|9.704599953|0.722211323|-31.13207597|70.40248829|-22.56979253|3071.48868|514.8229467|-14.95753786|0.277788677|14.62325432|0.880126802|-703.0042792|31.25095356|0.0219879679999999|597.2903597999999|14.57194888|0.0|0.0|1.0|0.0|1.0|3.42|0.05|4.2|5.14|3.78|1.0|0.0|1.0|5.0|32.0|447.46|0.0|0.0|-5.27|0.0009369999999999|5.41e-06|0.00242|3.78|0.0|1.17e-08|5.23e-06|-0.08216|3.97|-1828.393372|-1828.371718|1149.42|335.63|-1828.168422|5.7933|0.02165405|3.0|8.4949|8.4949
12y_a30|0.0|0|0|0.0|7.412764017000001|2|2|0.604984019|0.048343649|-0.005996863|5.351858133|2|0.0|-0.353814891|0.00604028|0.061944378|10.31162818|-0.058184644|1|-0.053700437|-0.0922059569999999|-0.4579359229999999|1|0.842068099|0.768409873|0.8146529229999999|0.803183654|0|-0.070903795|-0.091248521|0.374181804|-47.598277|-61.25585229|10.05775555|0.151081489|-41.1215369|6.751850651|0.820108145|-31.95309886|69.55490151|-23.38859815|2847.362782|569.8856940000001|-15.70095045|0.179891855|14.55517927|0.804154433|-863.552275|28.51891948|0.012362508|754.3941655|8.299049218|1.0|0.0|1.0|0.0|1.0|4.86|0.21|4.87|3.23|3.25|0.0|0.0|1.0|5.0|31.0|426.54|0.0|0.0|-5.46|0.00039|3.48e-06|0.00148|4.6|0.0|4.12e-08|1.76e-05|-0.05065|4.45|-1654.41361|-1654.382468|1227.82|357.11|-1654.125015|4.7043|0.0311422|22.0|7.6576|7.6576
5_a27|0.0|0|0|0.0|6.823286122000001|0|0|1.4026035369999998|0.126882432|-0.0063562359999999|4.727387819|2|1.271687295|-0.286030638|0.00991794|-0.125237927|10.93772408|-0.013448351|1|-0.2030237389999999|-0.341622797|-0.4982037479999999|2|0.639413469|0.760083119|0.8149212259999999|0.614205449|1|-0.055979434|-0.085078576|0.333977277|-29.50048722|-44.83538435|8.936508815|0.146821224|-23.6277072|4.709432444|0.741481472|-15.54640123|53.51978325|-16.01263727|2273.906133|449.6149323|-8.438466859|0.258518528|10.98289851|0.7827415529999999|-354.41560810000004|21.59546513|0.016479312|424.8821143|8.684398894|0.0|0.0|0.0|1.0|0.0|3.07|0.16|2.94|2.8|2.66|0.0|0.0|1.0|2.0|25.0|331.37|0.0|1.0|-4.01|0.0821|9.78e-05|0.0324|2.58|0.0|6.04e-07|0.0002|-0.04554|4.9|-1083.143246|-1083.124207|955.22|302.48|-1082.967639|2.3781|0.01903872|3.0|8.5229|8.5229
8_a47|0.0|0|0|0.0|7.252053952000001|0|1|1.24688044|0.003732288|-0.007835945|5.476463552|2|1.335354131|-0.391797226|-0.008756|-0.153669322|10.93671024|-0.14203855|0|-0.00158075|-0.003223628|-0.4497577479999999|2|0.686795267|0.7847248109999999|0.842571655|0.659210804|1|-0.075955381|-0.091482011|0.517797505|-44.09728708|-53.11155658|5.043798869|0.150243126|-30.83488674|2.928269795|0.819702033|-25.60148752|60.62152862|-20.78278301|2621.772106|493.3419136|-12.06582525|0.180297967|11.08581716|0.707366287|-555.0279614|25.35407034|0.012935553|559.4973856|7.509972037000001|1.0|1.0|1.0|1.0|2.0|3.02|0.13|5.67|6.77|3.9|0.0|0.0|1.0|4.0|29.0|405.85|1.0|1.0|-6.19|0.000104|6.490000000000001e-07|0.000263|5.61|0.0|5.62e-10|2.28e-07|-0.05495|4.91|-1686.068471|-1686.0356350000002|1071.62|337.87|-1685.8518170000002|3585.0|0.03283575|0.05|7.3|7.3
7g_a8|0.0|0|0|0.0|7.535296702|1|1|1.39137419|-0.092384028|-0.01002363|5.4161004020000005|0|0.0|-0.481134236|-0.00087806|-0.027838247|10.9431888|-0.027717137|1|0.021974492|0.046246982|-0.418049442|0|0.627990269|0.7363841520000001|0.79995525|0.606087461|0|-0.107714754|-0.1122315669999999|0.306360885|-64.55562181|-67.26263865|19.08352484|0.300623857|-40.31185423|11.43714084|0.806738465|-38.68948451|78.41805331|-27.51653399|2802.2242920000003|419.1502102|-16.4912131|0.193261535|14.3346384|0.8889952590000001|-725.6133762000001|34.10836993|0.018613449|509.2753308|11.15541466|1.0|0.0|1.0|0.0|1.0|3.29|0.04|4.94|4.66|3.4|0.0|0.0|1.0|3.0|30.0|399.37|0.0|1.0|-5.44|0.000667|3.59e-06|0.00143|4.38|0.0|1.23e-08|4.92e-06|-0.06621|6.26|-1374.493069|-1374.4533210000002|1053.9|327.36|-1374.291597|10.1546|0.03974865|21.03|4.6772|4.6772
20a_a10|0.0|0|0|0.0|7.535296702|1|1|1.343837243|-0.0774974029999999|-0.0034618129999999|5.4161004020000005|2|1.896409603|-0.197323337|0.008214031|-0.010695558|10.9296614|0.011011878|1|-0.049146504|-0.081587712|-0.281099208|2|0.661219642|0.755429696|0.817646497|0.63495222|1|-0.066386563|-0.072821454|0.591835899|-43.19189039|-47.37850712|8.860330345|0.086318664|-30.82502228|5.764636687|0.733451892|-28.10115947|58.1398225|-18.22250274|2998.608651|594.4519837|-11.8557778|0.266548108|15.37476788|0.826159649|-616.5004457|24.84485067|0.016540298|719.5272609|10.76131538|1.0|0.0|1.0|1.0|0.0|3.48|0.11|5.06|5.77|2.53|0.0|0.0|1.0|4.0|33.0|429.47|0.0|1.0|-5.59|0.000888|2.56e-06|0.0011|4.36|0.0|3.61e-10|1.55e-07|-0.06611|3.98|-1389.164302|-1389.1321289999998|1200.92|323.62|-1388.897416|2.9429|0.03217287|1.2|5.9208|5.9208
6_a1|0.0|0|0|0.0|7.535296702|1|1|1.3488280769999998|-0.092471477|-0.005477033|5.4161004020000005|1|0.0|-0.230035376|0.005054086|-0.00983397|10.95180041|-0.0538497079999999|1|-0.230322048|-0.3632559589999999|-0.353456514|1|0.781885145|0.798346291|0.8524898329999999|0.741035199|0|-0.057199415|-0.077422386|0.212044989|-27.63847818|-37.41011914|10.15161645|0.121740384|-18.076387|4.905211525|0.576759436|-13.35477777|49.61122373|-11.51080589|1956.144556|424.3707604|-5.56196523|0.423240564|9.609375529|0.7295841470000001|-216.916644|19.95772445|0.025250885|359.9965854|12.20110458|1.0|1.0|1.0|1.0|0.0|2.94|0.22|3.61|3.57|1.75|0.0|0.0|1.0|3.0|22.0|291.35|0.0|1.0|-3.68|221.0|0.00021|0.0613|2.63|0.0|9.51e-07|0.000277|-0.02214|2.81|-935.5024827|-935.4750982|875.29|305.12|-935.330989|5.8386|0.027384499|5.1|5.2924|5.2924
12ab_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.297042596|-0.064515677|-0.007034881|5.351858133|2|0.0|-0.408023082|0.000939229|-0.032623802|10.9540584|-0.029080933|1|-0.096853381|-0.169341326|-0.4186639029999999|1|0.86559137|0.831136366|0.888163057|0.8196353679999999|0|-0.079202413|-0.095025338|0.452078227|-54.63243106|-65.54680623|16.62527454|0.158944244|-45.21303385|11.46782191|0.679025324|-37.68448987|82.3666474|-23.06276515|2902.39241|580.1454645|-15.90828969|0.320974676|15.18764075|0.941700118|-859.0476432|33.96451406|0.024384271|708.5476357999999|16.81984117|1.0|0.0|1.0|0.0|2.0|4.86|0.17|3.14|1.95|1.59|0.0|0.0|1.0|6.0|32.0|420.47|0.0|0.0|-3.91|0.0503|0.000122|0.0515|2.33|0.0|8.95e-08|3.76e-05|-0.0523799999999999|3.23|-1364.509957|-1364.468283|1201.64|319.17|-1364.236757|3.6976|0.04167456|11.0|7.9586|7.9586
16b_a32|-3.3094926630000003|1|1|0.0|7.765993078999999|0|0|0.2980105389999999|0.0873104119999999|-0.008469352|5.733341277|0|2.033356859|-0.423467596|-0.008277865|-0.018753196|10.31100078|-0.0657820279999999|3|-0.1202046419999999|-0.222700615|-0.586122949|0|0.745820612|0.852956281|0.907055332|0.6762731040000001|1|-0.088716278|-0.1083060409999999|0.559199331|-56.84546999|-69.39772428|10.12961779|0.253462496|-44.4669946|6.490611388|0.7476362679999999|-36.42406481|80.37824892|-22.14820988|3037.795494|478.3482386|-14.19159402|0.252363732|11.05406524|0.709394251|-667.0049190000001|29.62431176|0.017136832|597.8890744|10.98052464|1.0|0.0|1.0|1.0|2.0|3.71|0.28|5.4|4.88|0.41|0.0|1.0|1.0|7.0|28.0|433.57|1.0|1.0|-4.55|0.000225|2.84e-05|0.0123|3.14|0.0|2.54e-08|1.1e-05|-0.05946|6.37|-2315.990437|-2315.951437|1137.73|342.39|-2315.757928|4.4055|0.03900066|17.0|7.7696|7.7696
12q_a36|0.0|0|0|0.0|7.412764017000001|2|2|1.29701394|-0.0543475329999999|-0.00761082|5.351858133|2|0.0|-0.410984299|0.0005016269999999|-0.0651906459999999|10.9598352|-0.0433009009999999|1|-0.103922055|-0.177407665|-0.441747876|1|0.8941919290000001|0.828371596|0.8839272779999999|0.8065052890000001|0|-0.07607684|-0.1060430969999999|0.324924033|-49.18227989|-68.5549152|12.00048565|0.17088073|-44.31949385|7.758093617|0.768692389|-31.79544084|80.15866795|-24.67976947|2786.514757|536.0103834|-15.95501778|0.231307611|14.69971555|0.947876484|-797.7508892000001|32.10617123|0.017949083|629.5017194000001|11.60375275|1.0|0.0|1.0|0.0|2.0|4.74|0.14|3.35|2.54|2.51|0.0|0.0|1.0|5.0|30.0|415.88|0.0|1.0|-4.59|0.0151|2.55e-05|0.0106|3.31|0.0|6.65e-08|2.77e-05|-0.05602|3.79|-1692.544456|-1692.5102989999998|1148.35|320.77|-1692.3116350000005|4.6718|0.03415678|6.0|8.2218|8.2218
25_a12|0.0|0|0|0.0|0.0|0|0|1.404967476|0.00700113|-0.004103693|0.0|2|2.050456822|-0.180562493|0.000864238|-0.025245046|10.93676625|-0.11195017|0|-0.0542354559999999|-0.0861945369999999|-0.4288076329999999|2|0.8472746290000001|0.638255008|0.688743998|0.806844014|1|-0.054734834|-0.080147596|0.120087607|-28.517955|-41.75851719|2.580489093|0.052062825|-21.75703145|1.3444869730000002|0.917298637|-14.85843094|44.42528172|-17.31450713|2067.69985|493.8944271000001|-9.021208163|0.082701363|9.70173342|0.814415245|-369.8695347|18.87554002|0.005118351|430.4348528|2.666764531|1.0|1.0|1.0|1.0|1.0|2.81|0.05|4.7|5.35|3.2|0.0|0.0|1.0|3.0|24.0|311.38|0.0|1.0|-5.25|0.00162|5.63e-06|0.00175|4.76|0.0|1.6399999999999995e-09|5.12e-07|-0.05352|4.73|-974.6569575|-974.6328337|945.73|359.04|-974.458128|1.2494|0.024123749|22.0|7.6576|7.6576
13i_a6|0.0|0|0|0.0|7.412764017000001|1|1|1.430639411|0.0359494989999999|-0.0149593219999999|5.351858133|1|0.0|-0.852681372|-0.011017781|0.034304189|10.95129557|-0.032549318|1|-0.045418125|-0.073507141|-0.560601136|1|0.8744720490000001|0.7771558909999999|0.8287956870000001|0.830577798|0|-0.120457274|-0.129526268|0.221116773|-80.75190740000001|-86.83156133|20.90143854|0.375953882|-58.20996912|14.01186473|0.783597763|-54.13430283|100.2320567|-31.12829557|2906.257489|418.3467934|-20.86772478|0.216402237|14.54375165|0.753497905|-1105.989413|39.72483975|0.019989461|673.8038326000001|13.40049533|1.0|1.0|1.0|1.0|3.0|3.59|0.12|4.16|3.54|1.18|0.0|0.0|1.0|6.0|32.0|427.46|0.0|1.0|-4.48|0.00398|3.28e-05|14.0|2.95|0.0|3.18e-09|1.36e-06|-0.0481399999999999|4.94|-1426.549926|-1426.518007|1196.21|348.14|-1426.269916|7.8342|0.03191957|21.0|7.6778|7.6778
13m_a6|0.0|0|0|0.0|6.842683282|0|0|1.429020166|0.031719435|-0.010840005|4.727387819|2|1.617900191|-0.628720289|-0.0093684169999999|0.054340057|10.9505335|-0.018628955|1|-0.068956229|-0.118693789|-0.568024162|2|0.870730542|0.7767360059999999|0.832753533|0.82642394|1|-0.0989137669999999|-0.107644789|0.429009107|-68.97140339|-75.05944278|12.95736535|0.2843875389999999|-52.33806464|9.035018118|0.7362989999999999|-48.09294654|89.65257305|-26.40980394|2951.567781|498.9881336|-18.41524497|0.263701|16.2526769|0.926594475|-994.4232282|35.8683143|0.020928405|724.3873672999999|14.59313027|1.0|1.0|1.0|1.0|3.0|3.59|0.08|4.19|3.76|0.81|0.0|0.0|1.0|6.0|33.0|435.48|0.0|1.0|-4.28|0.00987|5.24e-05|0.0228|2.43|0.0|2.1499999999999998e-10|9.35e-08|-0.07137|4.27|-1423.762467|-1423.712909|1231.54|371.67|-1423.448957|4.2913|0.04955777|0.01|8.0|8.0
3d_a49|0.0|0|0|0.0|7.535296702|1|1|0.406515615|-0.0960135969999999|-0.003398408|5.4161004020000005|2|1.775376197|-0.173318804|-0.00918253|-0.068390038|10.35020259|0.017871379|1|-0.075636705|-0.129666234|-0.202380888|2|0.914407252|0.808676284|0.863438637|0.846953747|1|-0.099295364|-0.094384452|0.464410121|-57.52001036|-54.67520803|5.561916586000001|0.266928348|-31.67236018|3.221917789|0.756622045|-33.32030276|65.59130031|-20.93944137|2809.9605100000003|424.6551631|-12.12984007|0.243377955|12.87442833|0.946920034|-570.1024832|27.67490257|0.018844179|549.3593871|10.91609228|1.0|0.0|1.0|1.0|3.0|3.29|0.15|0.72|4.46|1.07|0.0|0.0|1.0|4.0|28.0|392.45|0.0|1.0|-4.44|0.00252|3.6200000000000006e-05|0.0142|2.98|0.0|7.1e-07|0.000278|-0.05766|4.02|-1594.595995|-1594.552258|1044.19|318.67|-1594.380348|2184.0|0.04373784|2.34|5.6308|5.6308
17_a15|0.0|0|0|0.0|0.0|0|0|1.43568899|-0.046866421|-0.0071363569999999|0.0|2|0.0|-0.442454151|0.0016674189999999|-0.032903349|10.9544604|-0.0141953639999999|0|-0.170008473|-0.263401148|-0.461493931|2|0.769376831|0.721188086|0.76362781|0.740986227|0|-0.052869016|-0.079844675|0.605886597|-40.50376584|-61.17023228|9.875456386|0.119540765|-46.86345493|7.56573889|0.653207369|-31.03055741|77.82445248|-20.73567196|2852.085573|674.5333498|-15.88591693|0.346792631|15.15194163|0.90173781|-937.2690986|31.74439379|0.0217385279999999|822.8625688|16.654220199999997|1.0|1.0|1.0|1.0|1.0|3.63|0.15|4.89|6.0|2.53|0.0|0.0|1.0|7.0|33.0|438.52|1.0|1.0|-5.65|0.00052|2.26e-06|0.00099|4.78|0.0|1.9199999999999998e-10|8.43e-08|-0.03936|6.89|-1413.897695|-1413.857182|1298.37|326.22|-1413.559128|5.1268|0.04051306|12.0|7.9208|7.9208
7b_a8|0.0|0|0|0.0|7.535296702|1|1|1.395658671|-0.119760914|-0.009659873|5.4161004020000005|1|0.0|-0.4829936279999999|0.002074537|-0.052309137|10.9465091|-0.0254956129999999|1|-0.021509048|-0.035044152|-0.415894017|1|0.710658316|0.7812177770000001|0.8453887859999999|0.677544268|0|-0.101439013|-0.1000685009999999|0.282366236|-60.75943432|-59.93853201|19.86678613|0.277652387|-35.90168309|11.89970852|0.753935657|-36.39338307|73.70461365|-24.75721974|2776.185773|432.6681725|-14.82895606|0.246064343|14.76972982|0.918644854|-682.1319788|32.83731114|0.022982731|545.9267515|13.76608164|0.0|0.0|1.0|1.0|1.0|3.49|0.09|4.48|3.8|2.23|0.0|0.0|1.0|3.0|30.0|396.4|0.0|1.0|-4.94|0.00224|1.14e-05|0.00454|3.61|0.0|2.25e-08|8.94e-06|-0.06833|5.51|-1330.622441|-1330.595067|1067.73|380.32|-1330.392289|9.9463|0.0273745|13.53|4.8687|4.8687
LY364947_a10|0.0|0|0|0.0|6.605297921|0|0|1.390175303|-0.278922508|-0.00235945|4.59511985|2|2.084955541|-0.084940213|0.007575|0.010202602|10.9303125|-0.006198347|1|0.04209715|0.072909639|-0.204644982|2|0.706034038|0.711607778|0.7792035190000001|0.681525895|1|-0.076999385|-0.075303751|0.449473391|-34.01613475|-33.26705198|4.275500834|0.156895451|-14.69643595|1.88879448|0.7234846559999999|-15.02735938|41.53157099|-13.10520229|1896.845282|372.4595738|-5.78950507|0.276515344|9.161732895|0.948237326|-191.05366730000003|18.1140017|0.018707677|287.99188260000005|8.264519015|1.0|1.0|1.0|1.0|1.0|2.46|0.0|3.97|3.69|1.74|0.0|0.0|1.0|2.0|21.0|272.3|0.0|1.0|-3.86|0.0789|0.000137|0.0374|2.74|0.0|6.31e-08|1.7199999999999998e-05||||||||||59.0|7.2291|7.2291
21_a4|0.0|0|0|0.0|7.535296702|1|1|1.399863887|-0.164057585|-0.003068098|5.4161004020000005|1|0.0|-0.131928225|0.012362563|-0.2897937889999999|10.94593332|-0.104638158|1|-0.063064908|-0.099702401|-0.228430899|1|0.6952936|0.777866961|0.833191212|0.674434042|0|-0.0571545999999999|-0.076470465|0.239652988|-28.99048719|-38.7880598|10.23237244|0.067853265|-19.67444009|5.190159022|0.7231676229999999|-14.70482428|47.69702403|-14.54552243|2045.488184|472.812128|-7.377915035|0.276832377|9.956436217|0.670120767|-295.1166014|20.11362507|0.017563978|387.240586|8.908964226|1.0|1.0|1.0|1.0|0.0|3.37|0.16|3.7|3.85|2.32|0.0|0.0|2.0|3.0|23.0|303.36|0.0|1.0|-4.19|0.0403|6.51e-05|0.0197|3.36|0.0|1.16e-06|0.000352|-0.02956|3.31|-973.5683008|-973.5481197|916.76|308.08|-973.400097|2.0282|0.020181098|121.0|6.9172|6.9172
3_a20 (SB-525334)|0.0|0|0|-0.08980269|6.880384082000001|0|0|1.183765089|-0.048050965|-0.005492814|4.727387819|2|1.728260385|-0.274640708|0.001924142|-0.175513234|10.95053359|-0.119584218|1|-0.169090412|-0.277724429|-0.500412918|2|0.818922083|0.7186587|0.76423988|0.7835436240000001|1|-0.061128029|-0.0917096759999999|0.246005838|-34.52869143|-51.80299691|6.965173618|0.1243352319999999|-29.26136697|3.934338039|0.784910502|-19.50382741|58.45718743|-16.53287135|2243.481559|494.6267525|-9.33873414|0.215089498|10.9543133|0.8429740729999999|-438.9205046|21.06338405|0.0117802769999999|520.6749407|6.654190521|1.0|1.0|1.0|1.0|1.0|3.37|0.24|5.2|4.69|1.69|0.0|0.0|1.0|3.0|26.0|343.42|0.0|1.0|-4.73|0.00489|1.88e-05|0.00647|3.74|0.0|4.07e-09|1.4e-06|-0.0671399999999999|3.9|-1086.585811|-1086.56485|1030.31|390.77|-1086.329436|3.7291|0.02096048|162.0|6.7905|6.7905
17_a47|0.0|1|1|0.0|6.605297921|0|0|1.4168589319999998|-0.181485377|-0.003764469|4.59511985|3|1.699575434|-0.2032813319999999|0.0042378929999999|0.075303828|10.9385382|-0.006331624|1|-0.0184347939999999|-0.031505291|-0.3004189439999999|3|0.8007970640000001|0.75807704|0.814790949|0.7666613659999999|1|-0.07185129|-0.082994667|0.522140199|-43.82821253|-50.62550618|7.87914003|0.147717593|-30.88080199|4.806157636|0.7457517659999999|-26.73455447|60.33408274|-18.22518223|2672.497352|519.8795281|-11.11708872|0.2542482339999999|13.10144249|0.8569074879999999|-555.8544359|24.43867122|0.0159160889999999|630.8611986000001|9.708576558|1.0|1.0|1.0|1.0|2.0|3.44|0.08|5.12|5.44|2.26|0.0|0.0|0.0|4.0|30.0|392.46|0.0|1.0|-5.21|0.00156|6.11e-06|0.0024|4.03|0.0|7.96e-11|3.12e-08|-0.04873|3.07|-1254.985125|-1254.943823|1127.7|289.79|-1254.737546|3.4454|0.04130125|5.0|8.3|8.3
