molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|ATSC1c|MATS8i|AATSC8d|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Fraction Csp3|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|IC50|pIC50
1c_a5|0.0|1|0|0|2.955525321|0|6.605297921|0|1.424607938|-0.268536978|4.59511985|-0.006491037|-0.085301064|-0.228971551|-0.058823529|-0.133677441|-0.20172074|2|0.71274658|0.7595197290000001|-0.109439124|0.821309592|0|0.88631419|-0.068062282|0.436308619|0.008349498|-34.82350689|-35.99212225|160.5407184|0.11368581|-0.0281385329999999|-18.41507338|2.185709046|0.0|-1.12554131|43.86175561|39.09545876|0.476413155|2105.8969850000003|873.709445|0.246972732|6.063350238|11.580409800000002|0.909902834|4387.398857|126.3615674|19.11862892|0.0153811389999999|-258.918642|764.7451566000001|409.0289917|7.869633359|1.0|1.0|1.0|0.05|-8.41|54.46|2.13|0.0|95.45|0.0|3.0|-4.25|24.0|-5.77|0.0|3.43|-4.45|5.5700000000000005e-05|0.0174|0.0111|3.43|0.0|3.87e-09|3.17|4.5088|-990.6223073|-990.5931502|556.84|929.31|274.99|271.0|410.52|0.4444899999999999|0.1076|-0.18719|-990.516371|3981.0|5.4
14w_a23|0.0|0|1|1|0.0|2|7.423568444|0|1.197963556|0.013971812|5.351858133|-0.109136569|-0.330575965|-0.042151195|-0.031435038|0.126238077|-0.427696371|2|0.5788469970000001|0.802520527|-0.049318182|0.8668730109999999|1|0.7880718659999999|-0.070714528|0.228641034|0.022440155|-46.76570273|-58.53311596|43.30287556|0.211928134|-0.035779855|-38.70975831|9.814393755|90.15900589|-1.681653166|72.23920014|61.60607046|0.4972095239999999|3071.908367|2283.383402|0.256548212|7.833745658|15.58053709|0.988900044|6998.078982999999|169.6632599|31.82765022|0.020725002|-322.004381|1495.89956|597.2903597999999|13.70608418|0.0|1.0|0.0|0.05|-7.93|105.02|3.78|1.0|120.2|0.0|5.0|-5.68|32.0|-6.35|0.0|4.05|-5.27|2.09e-06|0.0009369999999999|0.00242|3.78|0.0|1.17e-08|3.97|3.6632|-1828.385903|-1828.363862|676.92|1150.31|338.46|0.3855|535.54|0.6219399999999999|0.3855|-0.14844|-1828.222578|2.0|8.6737
12a_a5|0.0|1|0|0|2.981252568|0|7.139660336|1|1.338814635|-0.256282289|5.209486153|0.043132749|-0.09350376|-0.114419442|-0.032601907|-0.006024869|-0.175245466|2|0.762866363|0.779533861|-0.063558439|0.829536345|0|0.894590896|-0.058605038|0.337539208|0.0081891369999999|-36.01436435|-41.59124655|13.74268646|0.105409104|-0.026030816|-25.55893402|3.0925714930000003|0.0|-1.353602454|50.40529807|41.04680832|0.457755771|2524.410428|899.5599904|0.253214907|8.741980056000001|16.12184989|0.844187448|5294.775577|155.6073368|21.42066499|0.014342828|-303.31208710000004|1113.8745800000002|650.3600841|8.814051518|0.0|1.0|1.0|0.21|-8.83|57.7|2.17|0.0|119.38|0.0|5.0|-4.27|29.0|-6.23|0.0|3.58|-4.59|5.37e-05|0.0205|0.00977|3.38|0.0|1.4800000000000003e-09|2.91|4.1610000000000005|-1202.02622|-1201.990542|667.31|1140.24|297.97|0.4794|508.81|0.50831|0.0296|-0.17152|-1201.8082029999998|19.0|7.7212
4_a38 (LY-2157299)|0.0|0|0|0|0.0|1|7.535296702|1|1.343847059|0.050460026|5.4161004020000005|-0.080432741|-0.325515636|-0.159241692|-0.020954339|-0.083399128|-0.463575124|2|0.702976795|0.8099394329999999|-0.032369326|0.868207983|1|0.754313773|-0.092570349|0.459041332|0.01243241|-52.90108631|-51.11565158|260.7739337|0.2456862269999999|-0.03235283|-29.21101111|4.060137052|71.22674185|-1.520583011|58.99645489|60.00582329|0.487041509|2501.945802|1686.693134|0.213882939|6.54753874|12.76426621|0.949475478|5566.495502000001|122.2274724|23.51893991|0.01379043|-327.0140711|1105.390176|542.7276591|7.880803302999999|0.0|1.0|1.0|0.18|-7.13|86.69|1.84|0.0|108.18|0.0|3.0|-3.85|28.0|-6.86|0.0|2.81|-3.99|0.0001409999999999|52.0|0.0375|2.39|0.0|7.45e-08|3.95|3.78|-1198.683473|-1198.64695|617.61|1048.31|327.69|0.2|449.44|0.4|0.06|-0.16|-1198.49738|69.0|7.1586
21a_a23|0.0|0|1|1|0.0|2|7.525639975|0|1.197963603|0.1049806919999999|5.4161004020000005|-0.038876045|-0.3082571839999999|-0.133417036|-0.083864151|0.130024255|-0.484404194|2|0.725800261|0.7367638240000001|-0.137122549|0.79188323|1|0.926538469|-0.051521215|0.224766417|0.011564247|-34.01266735|-54.35891011|39.56172507|0.073461531|-0.03458322|-35.88602363|5.039953753|82.08958626|-1.729161021|61.73864319|41.64701536|0.492301762|2880.257677|2272.736256|0.157878617|7.950891003|15.66066298|0.969673962|6464.524241|104.2264415|27.11098744|0.011178565|-451.7153132|1355.5493720000002|666.0036144999999|7.379733085|0.0|1.0|1.0|0.09|-7.78|105.02|3.24|1.0|125.25|0.0|5.0|-5.89|31.0|-6.07|0.0|3.78|-5.28|1.3e-06|0.000552|0.00225|3.98|0.0|1.65e-08|3.75|3.6993|-1669.250866|-1669.23053|701.01|1189.63|335.16|0.3692|558.61|0.60824|0.3692|-0.15024|-1669.0502720000002|102.0|6.9914
12q_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.60498366|0.144208934|5.351858133|-0.27228842|-0.873376576|0.004165554|-0.021542639|-0.0483777279999999|-0.636798458|1|0.613786308|0.816138015|-0.032887649|0.867367115|0|0.845745827|-0.087348134|0.596557166|0.014790072|-59.52322773|-78.7683329|82.72757145|0.154254173|-0.045799658|-53.67653794|6.868090132000001|0.732186841|-2.427381881|90.06607753|69.60189582|0.473741611|3305.289025|2844.418547|0.179359278|7.346842839|13.96052394|0.900207238|7990.060758|122.2240555|38.03137394|0.016579022|-437.0000797|2015.662819|696.6414817000001|11.29774462|1.0|1.0|0.0|0.17|-7.18|90.88|2.82|0.0|133.96|0.0|7.0|-6.7|34.0|-5.66|0.0|3.42|-5.92|1.99e-07|9.63e-05|0.000579|5.05|0.0|6.61e-08|5.52|3.4834|-1988.033527|-1987.999444|713.16|1214.92|355.93|0.1817|537.96|0.34138|0.1515|-0.14792|-1987.847256|36.0|7.4449
47p_a18|0.0|0|0|0|0.0|0|7.03438793|1|1.25117677|-0.001819106|4.844187086|-0.04760181|-0.3775970529999999|-0.015960677|-0.049428094|0.037961877|-0.441700685|0|0.72025564|0.726294118|-0.082977829|0.7611910209999999|0|0.832954548|-0.06909945|0.278332428|0.007989903|-51.14496913|-61.12351185|10.25627035|0.1670454519999999|-0.030813794|-45.24146169|4.377217987|48.48855261|-2.0645242|69.19354871|57.05881288|0.488811071|2933.069245|1367.4309119999998|0.181540558|9.923659881|19.41290064|0.956223901|6726.61969|134.3699001|27.86610962|0.01090303|-471.4248324|1867.029344|1011.163774|8.070036862|1.0|1.0|1.0|0.28|-9.03|76.5|3.13|1.0|144.53|0.0|9.0|-5.67|35.0|-6.07|0.0|2.9|-5.27|2.13e-06|0.000998|0.0025|4.35|0.0|9.35e-10|7.98|3.2036|-1493.759811|-1493.731375|795.43|1391.71|387.01|595.0|732.84|0.6937800000000001|595.0|-0.13118|-1493.407248|64.0|7.1938
18_a4|0.0|0|0|0|0.0|1|7.535296702|1|1.3998285519999998|-0.181683336|5.4161004020000005|-0.164169913|-0.181355303|-0.200683549|-0.063708832|0.108754635|-0.319213511|1|0.624748358|0.793041267|-0.105846349|0.8547339420000001|0|0.7755960390000001|-0.094231531|0.269470313|0.017694182|-46.48874223|-42.33787448|203.5264327|0.224403961|-0.03479101|-20.88721799|4.306590617|0.0|-1.287267373|50.98777224|55.21809494|0.405586004|2069.649003|1573.744396|0.2305616919999999|6.133421395|10.31843368|0.682329162|4381.693113|113.7466718|22.30718562|0.0175331289999999|-265.85258480000005|825.3658678999999|337.0066459|8.649897756|0.0|1.0|0.0|0.11|-5.53|50.94|2.2|0.0|86.22|0.0|3.0|-2.95|23.0|-6.58|0.0|2.78|-3.51|0.00113|349.0|0.0959|2.24|0.0|2.96e-06|3.02|4.2045|-1033.480025|-1033.454769|523.81|870.74|294.88|0.2083|404.27|0.52475|0.1|-0.17345|-1033.398285|2.62|5.5817
1l_a5|0.0|1|0|0|2.964063799|0|6.605297921|0|1.270375394|-0.244609612|4.59511985|-0.0052651969999999|-0.089997343|-0.019865028|-0.05139414|-0.179824092|-0.21108114|2|0.7245669790000001|0.7656671279999999|-0.091849662|0.818803517|0|0.890289002|-0.068685233|0.357062421|0.0078543119999999|-38.79937717|-38.27406105|167.86839980000002|0.109710998|-0.026512937|-21.62050954|2.506287665|0.0|-1.219595099|45.64819758|43.23617395|0.47265823|2227.730859|903.1631908|0.230593886|7.401206343999999|14.03493287|0.896303416|4665.793689|130.25942849999998|19.46541135|0.013054186|-304.3678822|895.4089219|518.5792364|7.374136537999999|1.0|1.0|1.0|0.14|-8.83|54.46|2.57|0.0|105.07|0.0|4.0|-5.04|26.0|-5.4|0.0|4.06|-4.98|9.06e-06|0.00308|0.00356|4.19|0.0|1.4800000000000003e-09|3.89|4.3664|-1069.261615|-1069.229786|609.85|1033.47|283.95|0.4921|486.81|0.45892|187.0|-0.1779|-1069.101032|32.0|7.4949
12k_a36|0.0|1|0|0|3.483171769|0|7.412764017000001|2|1.297043952|-0.076124222|5.351858133|-0.063399056|-0.413145744|0.003690005|-0.058284869|0.163804836|-0.4373676689999999|1|0.90500247|0.811903388|-0.102077284|0.8647233590000001|0|0.8427704640000001|-0.075717305|0.367754573|0.018067063|-49.87227128|-67.14870046|46.79001927|0.157229536|-0.037758075|-44.22843899|7.838185977999999|0.0|-2.038936068|78.24529096|61.7723974|0.478908312|2792.202559|2294.707886|0.219318299|7.241602627000001|13.89698356|0.919048073|6027.033337|144.457092|31.85663123|0.016847116|-369.7499256|1720.258086|698.847203|11.0965905|1.0|1.0|0.0|0.12|-7.01|69.2|2.38|0.0|133.84|0.0|6.0|-4.58|31.0|-6.34|0.0|2.37|-4.55|2.6e-05|0.0106|0.0115|3.45|0.0|9.66e-08|3.83|3.6631|-1310.3453949999998|-1310.312649|697.92|1186.08|338.46|0.3116|530.51|0.5249199999999999|0.0908|-0.15053|-1310.134752|14.0|7.8539
