molecula|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|SaaaC|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|RASA|FNSA3|FNSA5|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|TASA|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12_a47|1|1|2.903215905|0|6.605297921|0|0|1.304330736|0.0|-0.155854903|-0.078935336|0.036632997|0.001435849|1.555521837|1|-0.004332024|0.003417588|-0.006318684|-0.326846977|0.6505449670000001|0.8288334490000001|0.055943216|0.050943962|0.7840710409999999|-0.084846808|-0.091853238|-44.18983348|9.382250925|63.89392714|0.2159289589999999|-0.034116917|-24.91541818|0.0|-1.1940921|-23.01490672|61.09751253|53.5720844|408.3591283|7.042279354|13.52358352|0.920341815|4816.005822|166.28511369999998|26.10271529|0.025457205|913.5950352|335.1175012|13.25859692|1.0|1.0|1.0|2.73|1.67|0.0|21.0|-8.11|66.49|0.0|0.0|1.0|3.0|24.0|-5.94|339.75|1.0|3.37|-4.56|3.11e-05|0.00943|0.0|7.69e-09|2.61e-06|-0.0623|4.2907|3.01|3.9538|-1488.101254|-1488.064043|537.79|886.46|313.58|0.2306|400.09|0.66387|0.68557|-0.1633|2.1019|-0.2256|0.03721125|6.0|8.2|8.2
13h_a6|0|0|3.464247528|0|6.842683282|0|0|1.424099498|0.0|-0.094781725|0.004767264|0.04393617|0.060987639|1.656132209|1|-0.000644109|0.105918119|-0.12414699|-0.468842137|0.836982172|0.780222427|-0.0256002129999999|-0.164411111|0.867910741|-0.074151997|-0.091977068|-51.85624128|12.1971464|77.20799814|0.132089259|-0.032362302|-44.98170701|0.0|-1.747564296|-36.26429338|76.78735663|64.05338768|606.9504647000001|9.11292243|16.928040300000003|0.8575863490000001|6302.785260000001|183.9790404|30.71129129|0.017825256|1658.40973|744.1359788|12.4656221|1.0|1.0|1.0|3.64|3.03|0.12|27.0|-10.57|103.17|0.0|0.0|0.0|6.0|33.0|-6.31|431.49|1.0|3.61|-5.06|2.77e-06|0.0038|0.0|2.67e-11|1.15e-08|-0.07435|4.8701|3.83|3392.0|-1386.613707|-1386.569017|738.61|1253.92|365.52|1.0978|591.53|0.50716|0.69001|-0.14097|7.2872|-0.2153199999999999|0.04469058|47.0|7.3279|7.3279
3k_a32|1|1|3.644417045|0|7.97831097|0|1|0.609420759|0.0|-0.001009768|-0.001250803|0.0381981979999999|-0.047167919|2.256213388|3|0.002509816|-0.084055305|-0.050938823|-0.5265375529999999|0.816196288|0.779649252|-0.127713677|-0.129124455|0.8777482409999999|-0.0711378679999999|-0.090839907|-40.10830541|6.970844822|80.0971996|0.122251759|-0.029575784|-28.87643819|0.0|-1.271758703|-22.61349991|58.16707081|47.07915023|494.8840288|6.153598893|11.6688363|0.89626209|5259.698672|123.7157466|21.36272325|0.012327787|918.5970998|506.658189|6.9505405620000005|1.0|1.0|1.0|3.47|3.48|0.32|19.0|-7.23|110.94|0.0|0.0|1.0|3.0|25.0|-5.01|366.5|1.0|4.75|-5.61|9.16e-08|0.000904|0.0|5.86e-08|2.15e-05|-0.05321|3.5363|3.81|3.5363|-1750.164914|-1750.1383649999998|611.65|1022.89|350.6|0.3082|452.36|0.70268|0.70268|-0.14667|3.2233|-0.19988|0.02654958|9.0|8.0605|8.0605
18_a34|0|0|0.0|1|7.423568444|1|1|1.4547811819999998|1.801574074|-0.063113846|-0.101546926|0.040527066|-0.100548575|0.0|1|0.002183342|-0.155197864|-0.3102088839999999|-0.493450778|0.759292258|0.805756513|0.0468829359999999|-0.224951558|0.68981472|-0.090328365|-0.129784908|-49.86847383|22.55015528|66.6880793|0.31018528|-0.0422555509999999|-39.55742812|54.26737825|-1.816988713|-27.53138148|86.77082535|72.41862911|380.8328339|6.282442545|11.23989749|0.789096743|5296.289007|167.9151283|33.52510165|0.027385869|1441.579371|428.6241319|15.11918774|1.0|0.0|1.0|3.28|3.61|0.21|17.0|-5.65|75.47|0.0|0.0|2.0|5.0|26.0|-6.26|351.36|1.0|2.89|-4.11|4.77e-05|0.0275|0.0|2.22e-06|0.000781|-0.03925|4.4335|5.07|4.1234|-1199.288654|-1199.259634|592.04|991.93|300.68|0.3525|483.87|0.56101|0.60488|-0.17549|5.0935|-0.21474|0.02902032|2.43|5.6144|5.6144
6a_a40|0|0|0.0|1|8.421342866|1|2|0.604893625|1.78213955|0.117890918|-0.077397672|0.035707071|-0.146542353|0.775942224|2|-0.001171195|-0.272320301|-0.021759541|-0.620787469|0.682273668|0.801647855|-0.012261923|-0.340539542|0.733750993|-0.109047987|-0.117413572|-68.11170799|10.24294396|185.06174|0.266249007|-0.049149867|-45.80643937|36.84483305|-2.113444291|-42.542782200000005|81.37714586|78.35465194|458.303126|6.945713476|11.8691482|0.708845065|7059.617542|82.54016015|35.37373259|0.012872604|1521.070502|557.4018948|8.040268001|0.0|0.0|1.0|3.99|3.01|0.21|14.0|-4.05|173.43|2.0|1.0|2.0|5.0|29.0|-6.32|442.53|1.0|3.17|-4.99|7.85e-08|0.00457|1.0|8.950000000000001e-05|0.0396|-0.0926|2.9836|7.73|2.9836|-2371.579899|-2371.560378|649.48|1103.4|415.55|0.4015|497.78|0.6782699999999999|0.6782699999999999|-0.11995|6.9379|-0.21255|0.01952089|0.04|7.3979|7.3979
9r_a24|0|0|2.950959457|0|6.605297921|0|0|1.353642494|0.0|-0.134192489|0.013567512|0.024179894|-0.17821765|0.0|1|0.008722018|-0.29065818|-0.179075526|-0.3018627239999999|0.786430472|0.7958149290000001|-0.120617935|-0.083458647|0.8417158379999999|-0.0618978309999999|-0.082022572|-41.49802275|10.4302588|71.31566881|0.158284162|-0.025821921|-36.86695997|89.36724924|-1.394383716|-27.82142546|70.79264457|51.92828155|564.3096436000001|9.672636984|18.36822555|0.898988412|5501.824326|257.9706516|28.13932796|0.02357068|1519.52371|670.2247423|15.80243761|1.0|1.0|1.0|3.53|3.04|0.22|23.0|-8.66|79.82|0.0|0.0|1.0|8.0|30.0|-6.83|400.48|0.0|2.98|-4.06|9.58e-05|0.0351|0.0|2.21e-09|8.84e-07|-0.04313|4.4722|1.82|4.2877|-1294.486221|-1294.451958|713.25|1199.71|289.16|0.3398|616.11|0.3398|0.6204|-0.1676099999999999|1.9698|-0.21074|0.03426339|11.0|7.9586|7.9586
14a_a25|0|0|0.0|1|6.842683282|0|0|1.420015394|1.667057351|-0.092005241|-0.05112778|0.038167849|0.051906412|1.975771616|1|0.006158124|0.085350921|-0.0469914379999999|-0.365062041|0.6716839040000001|0.7385460309999999|-0.085643386|-0.035531959|0.850426305|-0.069657015|-0.084207356|-45.72658614|8.449104086|107.22698590000002|0.149573695|-0.033365179|-36.28756839|58.18995584|-1.76835447|-30.017374100000005|63.96772039|54.17569023|558.2652611000001|7.39139255|14.55676745|0.969421506|6315.975408|126.8576588|27.14918443|0.01323706|1438.906775|712.1606951|8.689513304|1.0|1.0|1.0|3.43|3.06|0.08|27.0|-9.59|72.7|0.0|0.0|1.0|6.0|32.0|-5.91|419.48|1.0|3.81|-5.29|4.03e-06|0.00215|0.0|2.58e-10|1.08e-07|-0.05083|5.3631|5.79|3.9479|-1352.298438|-1352.265931|689.55|1202.13|314.05|0.3529|548.29|0.42461|0.6714|-0.16347|3.0824|-0.2143|0.03250632|207.0|6684.0|6684.0
12bh_a36|0|0|3.50075137|0|7.412764017000001|2|2|1.297043258|0.0|-0.052761366|-0.047482048|0.044197531|0.001012669|0.0|1|0.0045625|0.0016901289999999|-0.101854847|-0.43574839|0.902377067|0.78699829|-0.211972014|-0.0591586759999999|0.833491953|-0.070687668|-0.09959401|-47.04367494|11.73109101|83.08294358|0.166508047|-0.035569289|-44.11115058|0.0|-1.991880197|-31.30825225|76.46867897|58.77476595|554.7010591|7.545637217999999|14.56834609|0.930697921|5957.443236|144.22085800000002|30.2209316|0.015307571|1692.3721690000002|729.1873176|10.18741188|0.0|1.0|0.0|4.95|0.0|0.21|17.0|-7.34|69.2|0.0|0.0|1.0|5.0|31.0|-6.38|409.49|1.0|2.42|-4.6|2.8600000000000004e-05|0.0102|0.0|4.55e-08|1.86e-05|-0.0525299999999999|3.8811|3.79|3.6255|-1311.589612|-1311.558898|715.94|1208.61|341.97|0.4386|575.23|0.69377|0.7039|-0.14915|5.8338|-0.20168|0.03071385|14.0|7.8539|7.8539
3b_a32|1|1|3.3653429710000005|0|7.758333467000001|0|0|0.609420808|0.0|0.046791596|-0.064476472|0.042528736|-0.0411430079999999|2.21541916|3|0.00020567|-0.078754696|-0.0791178979999999|-0.536470812|0.833920105|0.800396027|0.094335058|0.167519182|0.8407393809999999|-0.073068133|-0.100355499|-35.8437493|7.180211702|74.63320519|0.159260619|-0.033451833|-24.14971513|0.0|-1.103910485|-17.58323784|56.82775081|43.023961|412.4267349|5.765940603|10.69254007|0.854431185|4448.251276|115.707414|21.47528975|0.0154889019999999|708.6845618|323.0421997|7.59811844|1.0|1.0|1.0|3.11|2.57|0.13|19.0|-6.5|110.94|0.0|0.0|1.0|2.0|21.0|-5.57|312.41|1.0|3.68|-4.65|1.86e-06|0.00697|0.0|3.19e-07|9.97e-05|-0.05396|3.5545|2.45|3.5545|-1594.121087|-1594.095192|524.46|857.0|348.81|0.2905|396.83|0.70257|0.70257|-0.1474099999999999|3.5719|-0.20137|0.02589511|6.0|8.2366|8.2366
4d_a46|0|0|0.0|1|7.825245291|1|1|1.134637067|2.146507937|-0.1397563859999999|-0.017469934|0.047736111|-0.131948546|0.0|1|0.010756749|-0.206000242|-0.0814707009999999|-0.240143042|0.6535171|0.764741337|-0.213089038|-0.103199079|0.936057958|-0.056384895|-0.070772596|-30.95621863|4.750218646|8.241078584|0.063942042|-0.024616555|-21.33218735|74.62074724|-1.132361533|-16.99546444|43.60839351|35.70643728|513.9109507000001|5.757075209|10.30138878|0.7893441379999999|4993.774007|102.4310631|16.6147308|0.0086574759999999|764.2776167999999|509.0572545|4.753094337|0.0|1.0|1.0|3.78|3.5|0.35|17.0|-7.41|43.6|1.0|0.0|1.0|2.0|25.0|-5.4|352.86|1.0|4.11|-5.11|1.18e-05|0.00275|0.0|3.88e-08|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.18|4.4265|-1453.840712|-1453.817782|588.18|1009.78|280.09|0.1313|503.76|0.69884|0.69884|-0.18639|3.5318|-0.22603|0.02292966|517.0|6.2865|6.2865
13_a47|1|1|2.920663104|0|6.605297921|0|0|1.417757826|0.0|-0.174238791|-0.0777650159999999|0.036632997|-0.047120094|1.5940801480000002|1|-0.000211465|-0.108780879|-0.0101047869999999|-0.316563793|0.6427334020000001|0.794037882|0.030290722|0.065869272|0.781675563|-0.081148294|-0.088128939|-41.79730418|9.13564442|63.12660940000001|0.2183244369999999|-0.032468557|-23.38063458|0.0|-1.23380515|-21.52866736|57.38622954|50.9329486|402.6200617|7.038683428|13.33103985|0.8939678120000001|4542.479565|160.5682509|24.29844849|0.023284817|923.3410426|359.12161539999994|11.99338291|1.0|1.0|1.0|2.9|1.75|0.06|21.0|-7.9|66.49|0.0|0.0|1.0|3.0|24.0|-6.0|319.34|1.0|3.19|-4.27|5.79e-05|0.0173|0.0|1.26e-08|4.04e-06|-0.05465|4.0302|2.7|4.0302|-1067.820961|-1067.78457|542.62|895.21|307.63|0.3382|404.73|0.67466|0.67466|-166.0|3.5455|-0.22065|0.03639189|16.0|7.8|7.8
36_a18|0|0|0.0|0|7.03438793|2|2|1.25117638|0.0|0.050448408|-0.020339784|0.036625514|-0.05224259|0.0|0|0.000825855|-0.079553246|-0.079721028|-0.493920601|0.7343989059999999|0.741135729|-0.010091893|0.0059061|0.804293867|-0.07777765|-0.079805761|-55.38202488|6.722004572|110.8288932|0.195706133|-0.031922305|-40.46339026|83.34177364|-2.074949798|-39.43509046|65.59412783|62.10402945|572.70209|9.560644525|18.21710397|0.905426346|6799.65027|133.8265619|27.99124609|0.0123136069999999|1819.430996|975.4099618|8.767974776|1.0|1.0|1.0|4.19|0.0|0.28|18.0|-9.16|85.29|1.0|0.0|1.0|7.0|35.0|-6.18|466.57|1.0|2.8|-5.28|2.09e-06|0.00242|0.0|6.87e-10|3.210000000000001e-07|-0.04991|3.1908|7.75|3.1908|-1493.686737|-1493.661092|769.73|1350.57|388.57|0.4674|636.33|0.69372|0.69372|-0.13133|1.9944|-0.18124|0.02564498|32.0|7.4949|7.4949
5a_a50|1|1|0.0|2|7.927685046000001|1|1|1.3972442980000002|4.202707546|-0.203248487|-0.017108794|0.038040936|0.017227585|2.475383677|2|0.01228899|0.028229556|-0.102607753|-0.161169418|0.699970832|0.788709546|-0.132977171|-0.203436041|0.969892876|-0.038932964|-0.065209836|-20.77548565|5.435098605|6.819160781|0.030107124|-0.022747617|-18.56865899|60.04351409|-0.978147545|-11.08625592|44.17662122|26.21058426|517.556163|5.892775027000001|10.76914508|0.8275167520000001|4770.917486|178.61652859999998|18.24602704|0.017576522|784.5791628|462.1867149|9.379218813|0.0|1.0|1.0|3.5|3.28|0.14|20.0|-6.24|35.64|0.0|0.0|1.0|2.0|25.0|-5.83|326.39|1.0|3.47|-4.5|0.000129|0.0102|0.0|5.7e-07|0.000186|-0.02487|5.6146|3.39|4.0159|-1029.930364|-1029.905844|582.98|976.41|308.73|0.2735|455.34|0.39948|0.6725399999999999|-0.16659|3.9843|-0.19146|0.02452028|4.1|5.3872|5.3872
12h_a36|0|0|3.468184524|0|7.412764017000001|2|2|1.297043828|0.0|-0.128701804|-0.041228471|0.039061728|0.059920602|0.0|1|0.003077071|0.100530266|-0.1430106119999999|-0.410826531|0.8913597320000001|0.820041835|-0.10861416|-0.089459459|0.819614525|-0.073572836|-0.10720355|-48.17643878|18.27258858|82.11195464|0.180385475|-0.035734517|-45.96672487|1.413982241|-1.929663894|-31.5465515|87.85958486|66.44902736|536.6941285|7.428908584|13.87400978|0.8675704009999999|6159.17335|219.1956304|35.1736357|0.026971557|1899.376328|679.7230552999999|17.66132225|0.0|1.0|0.0|4.8|0.0|0.17|17.0|-6.69|78.43|0.0|0.0|1.0|6.0|31.0|-6.93|411.46|0.0|1.81|-4.07|0.000113|35.0|1.0|2.03e-07|8.340000000000001e-05|-0.05013|5.1998|2.92|3.4554|-1347.481013|-1347.451759|697.29|1177.89|358.81|0.5756|535.67|0.34589|0.7014600000000001|-0.14247|6754.0|-0.1926|0.02925492|14.0|7.8539|7.8539
AKLKII_a46|0|0|2.917217813|0|6.605297921|0|0|1.4316666480000002|0.0|-0.206312209|-0.030657|0.0386379929999999|-0.008897473|1.744747103|1|0.006731579|-0.015805561|-0.037291767|-0.270506095|0.718266758|0.758995484|-0.0150769919999999|0.064690027|0.837641394|-0.071827497|-0.089369278|-34.061229|4.924591245|160.85204040000002|0.162358606|-0.033194303|-20.09682339|0.0|-1.161800612|-16.15213359|49.76981906|38.98582025|397.2168972|5.83938898|11.22955511|0.92307023|4110.764451|108.05343229999998|20.38625028|0.015584114|713.5187596|314.0966684|7.390123534|1.0|1.0|1.0|2.81|1.6|0.06|21.0|-7.21|67.35|0.0|0.0|1.0|2.0|22.0|-6.5|287.32|1.0|2.45|-3.58|0.000578|0.0764|0.0|6.18e-08|1.7800000000000002e-05||||||||||||||||||181.0|6.7423|6.7423
12q_a30|0|0|0.0|0|7.412764017000001|2|2|0.60498366|0.0|0.144208934|-0.27228842|0.0438779959999999|-0.016509571|0.0|1|-0.004395528|-0.0483777279999999|-0.077457998|-0.636798458|0.613786308|0.816138015|0.01661722|-0.032887649|0.845745827|-0.087348134|-0.115589613|-59.52322773|10.07866809|82.72757145|0.154254173|-0.045799658|-53.67653794|0.732186841|-2.427381881|-40.56199584|90.06607753|69.60189582|576.3319634|7.346842839|13.96052394|0.900207238|7990.060758|122.2240555|38.03137394|0.016579022|2015.662819|696.6414817000001|11.29774462|0.0|1.0|0.0|4.73|0.0|0.17|17.0|-7.18|90.88|0.0|0.0|1.0|7.0|34.0|-5.66|482.48|0.0|3.42|-5.92|1.99e-07|0.000579|0.0|6.61e-08|3.19e-05|-0.05105|5.0573|5.52|3.4834|-1988.033527|-1987.999444|713.16|1214.92|355.93|0.1817|537.96|0.34138|0.68516|-0.14792|5.5755|-0.19897|0.03408298|36.0|7.4449|7.4449
17d_a50|1|1|0.0|2|8.105609402|2|2|1.338814635|4.380250483|-0.152030219|0.03538699|0.031990741|0.006071856|2.234730384|2|0.01245647|0.009780681|-0.200725906|-0.2294807539999999|0.754575205|0.748516466|-0.1921395789999999|-0.2177003589999999|0.929886823|-0.044172353|-0.069790853|-30.63468215|10.55016861|5.007868064|0.070113177|-0.025589979|-33.56790124|86.38197811|-1.535398758|-21.24595322|57.5414543|41.18485076|644.9008302|6.996105516|12.62170017|0.8041037459999999|6281.764548|170.5678813|23.53577933|0.013178555|1412.14676|829.3813984|9.139672835|1.0|1.0|1.0|4.07|3.68|0.35|20.0|-7.07|51.77|0.0|0.0|1.0|6.0|32.0|-6.25|424.54|0.0|3.68|-4.88|3.17e-05|0.00557|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|3.41|4.0506|-1335.989008|-1335.962757|727.15|1263.22|306.09|0.1819|579.45|0.66103|0.66103|-0.16716|5.6557|-0.19967|0.02625058|74.0|7.1308|7.1308
13c_a6|0|0|3.441255118|0|7.412764017000001|1|1|1.424213869|0.0|-0.046663393|-0.0122495089999999|0.040821256|0.049627353|0.0|1|-0.000899678|0.081059709|-0.106686991|-0.490486317|0.845481322|0.780680481|0.085414885|-0.167542194|0.786809832|-0.093635525|-0.111231609|-63.73961873|20.79409503|157.60887419999997|0.213190168|-0.039875482|-51.54254258|567.1031411|-2.11340057|-43.38886312|88.21184769|84.53371376|535.5975578|8.038175951|15.07660437|0.875625075|6204.855629|155.1821156|35.15921372|0.018354398|1863.438327|692.8471883999999|12.49421473|1.0|1.0|1.0|3.61|2.53|0.16|23.0|-9.4|95.85|0.0|0.0|1.0|6.0|32.0|-5.88|423.47|1.0|3.64|-5.27|1.11e-06|0.00229|0.0|3.96e-10|1.68e-07|-0.05015|5.992000000000001|4.5|3.6519|-1389.39897|-1389.371325|719.8|1217.77|339.5|0.5471|596.15|0.48478|0.7008800000000001|-0.14975|7.7129|-0.1999|0.0276450999999999|73.0|7.1367|7.1367
3_a20 (SB-525334)|0|0|3.502142227|0|6.880384082000001|0|0|1.183765089|0.0|-0.048050965|-0.053897691|0.0526353279999999|0.001821898|1.728260385|1|0.0033523629999999|0.002992397|-0.169090412|-0.500412918|0.818922083|0.7186587|0.087932573|-0.17447922|0.8756647679999999|-0.061128029|-0.0917096759999999|-34.52869143|6.965173618|43.70154849|0.1243352319999999|-0.029269046|-29.26136697|0.0|-1.375645142|-19.50382741|58.45718743|41.49386505|494.6267525|5.943823875|10.9543133|0.8429740729999999|4905.195832|121.495147|21.06338405|0.0117802769999999|989.9790502999998|520.6749407|6.654190521|1.0|1.0|1.0|3.37|2.82|0.24|21.0|-8.39|67.35|0.0|0.0|1.0|3.0|26.0|-5.74|343.42|1.0|3.63|-4.73|1.42e-05|0.00647|0.0|4.07e-09|1.4e-06|-0.0671399999999999|4.9821|3.9|3.1728|-1086.585811|-1086.56485|605.71|1030.31|390.77|367.0|498.74|0.49443|0.70168|-0.13417|3.7291|-0.20131|0.02096048|162.0|6.7905|6.7905
9i_a40|0|0|0.0|1|7.515889085|0|0|0.604992808|1.841293462|0.074116257|-0.105556952|0.045555556|0.187127708|0.891973262|2|0.004019925|0.333430103|0.105172175|-0.542471361|0.831946443|0.762774506|-0.154977678|-0.28972973|0.830980762|-0.092881258|-0.088485615|-46.80087537|5.548036224|213.7117392|0.169019238|-0.036869006|-22.46593254|62.68854553|-1.327284222|-23.58195819|49.81256531|52.34891159|418.7133986|7.700852478|14.74203307|0.91433781|4201.058793|71.03556427|21.62632891|0.010372658|778.5478408|351.4600612|5.226560183|1.0|1.0|1.0|3.25|2.9|0.06|20.0|-6.03|84.45|1.0|0.0|1.0|2.0|22.0|-5.44|306.38|1.0|3.52|-4.71|4.79e-06|0.00603|0.0|9.31e-07|0.000285|-0.05989|4.3611|3.2|2.8936|-1273.334714|-1273.31399|534.44|883.84|428.48|0.5012|417.75|0.56118|0.70339|-0.11967|2.0895|-0.17956|0.02072395|1.25|5.9031|5.9031
12z_a36|0|0|3.435113772|0|7.412764017000001|2|2|1.297044126|0.0|-0.065211069|-0.010732275|0.041767677|0.037307819|0.0|1|0.001194592|0.066366917|-0.098598933|-0.433580807|0.8707354620000001|0.826316772|0.103551178|-0.0533649729999999|0.834790405|-0.081592361|-0.102674964|-54.11489962|15.50078625|114.3931487|0.165209595|-0.036238222|-45.16471514|15.59091678|-1.848149347|-35.89088901|83.07227002|69.61568586|553.6621150000001|8.016303367999999|14.78435842|0.844286292|6146.834385|190.5590792|33.72393432|0.0225782039999999|1719.920651|642.3830552000001|14.97465267|0.0|1.0|0.0|4.76|0.0|0.13|17.0|-6.66|92.99|0.0|0.0|1.0|5.0|31.0|-7.08|406.44|0.0|1.66|-3.95|0.000101|0.0458|0.0|2.21e-07|8.97e-05|-0.05642|3.8969|2.98|3.8969|-1325.195958|-1325.157504|686.33|1153.7|318.16|0.4423|539.36|0.69397|0.69397|-0.1575|4814.0|-0.2139199999999999|0.03845474|5.0|8301.0|8301.0
15_a10|0|0|0.0|1|7.535296702|1|1|1.277647202|2.124460476|-0.166303336|0.035396617|0.0353864729999999|-0.0729795729999999|1.981569297|1|0.009514122|-0.1157120169999999|-0.085979341|-0.208590561|0.682616223|0.808676284|-0.079744227|-0.105662909|0.915526801|-0.059234364|-0.074144604|-35.30133759|11.09373722|33.67392858|0.084473199|-0.025240716|-26.33385303|108.7226878|-1.186313662|-21.03820054|56.66229609|46.39507481|545.6177511|6.35937164|11.23924661|0.767351752|5769.347123|210.7240726|23.27068984|0.020932674|1093.722422|563.875765|12.47504566|1.0|1.0|1.0|3.29|3.31|0.23|21.0|-8.3|52.83|1.0|0.0|1.0|5.0|28.0|-6.07|390.87|1.0|3.83|-4.81|3.32e-05|0.0061|0.0|5.01e-09|1.96e-06|-0.05243|5.7922|3.12|3.7997|-1604.08794|-1604.057542|641.98|1086.19|326.3|0.4553|484.05|0.41458|0.68543|-0.1574|4.5192|-0.20983|0.03039798|33.0|7.4815|7.4815
1_a3|0|0|0.0|0|6.823286122000001|1|1|0.6195934120000001|0.0|0.079857077|-0.073036903|0.034166667|-0.004409693|2.194605012|0|-0.005006707|-0.007705076|0.05038525|-0.486774367|1.005427002|0.7905285390000001|-0.126299711|0.057919092|0.7762512779999999|-0.098872259|-0.0925710269999999|-45.44133321|3.693677623|289.8942564|0.2237487219999999|-0.034105115|-19.55367089|0.0|-1.295994381|-20.88467272|49.05980305|49.13501083|356.76228530000003|4.984064981|9.046658216|0.8151164259999999|4510.611026|95.55665364|19.78900457|0.014174378|751.9821735|373.1494221|6.514493077999999|1.0|1.0|1.0|3.83|0.0|0.18|16.0|-5.77|77.1|0.0|0.0|2.0|2.0|22.0|-6.87|306.38|0.0|1.5|-3.3|0.0008529999999999|154.0|0.0|1.69e-06|0.000518|-53.0|5.8805|2.08|3.8645|-1273.316428|-1273.290432|496.09|845.2|320.83|0.1775|316.61|0.30619|0.68912|-0.1658599999999999|2.2332|-0.21886|0.02599563|724.0|6.1403|6.1403
12aw_a36|0|0|3.28940051|0|7.412764017000001|2|2|1.297044239|0.0|-0.135690414|-0.115864198|0.043383838|0.066435701|0.0|1|-0.004358975|0.169961228|-0.098027247|-0.4191703539999999|0.653741315|0.836170906|-0.022464907|-0.056676035|0.706174871|-0.088516379|-0.114701005|-56.73814908|14.76755422|54.50894809|0.2938251289999999|-0.041292362|-47.12705211|1.343623915|-2.06461809|-36.36860892|87.37742985|71.5057033|452.6513136|7.545677222999999|14.32425315|0.898338973|6370.06138|160.8550748|35.33532702|0.02161528|1766.7663510000002|593.6088758|13.8551867|0.0|1.0|0.0|4.73|0.0|0.14|17.0|-7.12|69.2|0.0|0.0|1.0|5.0|31.0|-6.8|417.41|0.0|2.44|-4.32|0.000102|0.0201|0.0|7.599999999999999e-08|3.17e-05|-0.05513|5.2313|3.66|3.8763|-1431.404673|-1431.373326|666.09|1120.43|319.85|0.4088|507.71|0.38905|0.69109|-0.15688|4.8181|-0.21201|0.03134789|9.0|8.0458|8.0458
47g_a18|0|0|0.0|0|7.03438793|1|1|1.251175676|0.0|-0.005500039|-0.034211867|0.031179487|-0.048472184|0.0|0|0.00531392|-0.071877686|-0.264839041|-0.4138670829999999|0.765824398|0.750610215|-0.009917608|-0.014370598|0.834424154|-0.065225536|-0.08547236|-55.35188184|11.37505183|111.5517627|0.165575846|-0.029212072|-61.55384106|47.07867403|-2.307753726|-46.97287277|86.33162323|66.72693367|708.1114197|10.33698377|20.32265524|0.966014041|7870.887027|227.5405903|33.87214455|0.016259076|2675.8994190000003|1347.416568|13.79782369|1.0|1.0|1.0|4.87|0.0|0.34|18.0|-9.22|88.97|2.0|1.0|1.0|13.0|40.0|-6.4|541.68|0.0|2.83|-5.52|7.76e-07|0.00163|1.0|6.04e-10|3.27e-07|-0.04413|3.0965|8.13|3.0965|-1743.375845|-1743.346243|905.71|1604.37|400.4|0.5955|874.26|0.69828|0.69828|-0.12789|4966.0|-0.17202|0.02960182|9.0|8.0458|8.0458
41_a47|1|1|0.0|1|6.842683282|0|0|1.420292383|1.840145925|-0.225923786|-0.072088843|0.042537538|-0.080388467|1.601942802|1|0.0047106|-0.178132441|-0.1430639269999999|-0.276217719|0.62974551|0.8417952740000001|0.08640454|0.123676975|0.823168463|-0.061101947|-0.0899793719999999|-34.50740631|10.36256127|54.15850042|0.1768315369999999|-0.02929561|-28.69838714|0.0|-1.259711209|-19.48810377|63.84353454|44.86996758|464.8854878|7.168742909|12.96444871|0.8084689140000001|5042.636398|195.8852341|25.33076615|0.023067788|1089.222944|439.9906467|13.02756406|1.0|1.0|1.0|3.18|3.18|0.16|21.0|-7.47|68.52|0.0|0.0|1.0|4.0|26.0|-6.66|348.38|1.0|3.06|-3.9|0.000267|0.0436|0.0|3.36e-08|1.17e-05|-0.05053|4.0167|2.41|3.7144|-1162.492089|-1162.462261|603.1|995.43|333.8|0.2849|471.9|0.6779|0.68638|-0.15208|4.9162|-0.2026099999999999|0.02982752|0.01|8.0|8.0
