molecula|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|SaaaC|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|RASA|FNSA3|FNSA5|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|TASA|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
9_a47|0|0|0.0|0|0.0|0|0|1.3818994059999998|0.0|0.00410268|-0.1789147139999999|0.037492877|-0.043270202|1.323246814|0|-0.007880155|-0.091848897|-0.021556658|-0.4477815529999999|0.7033922579999999|0.792070785|0.046690958|0.075092937|0.805149969|-0.084368438|-0.0969292319999999|-44.13640712|4.991260197|107.3271659|0.194850031|-0.036925422|-26.52703503|0.0|-1.550867715|-23.08946904|58.96976407|49.12766732|421.2052248|5.653392499|10.93281031|0.93384951|5212.504394|109.5180831|24.43189048|0.015793737|1026.1394|442.7664664|8.262317504|1.0|1.0|1.0|2.87|2.78|0.05|22.0|-8.47|58.04|0.0|0.0|1.0|3.0|26.0|-5.26|345.37|1.0|4.09|-5.2|4.29e-06|0.00218|0.0|3.4000000000000003e-09|1.17e-06|-0.05037|5.7429|4.06|3.7183|-1149.090086|-1149.055456|566.1|959.59|333.44|0.2294|406.35|0.3885099999999999|0.69084|-0.1545099999999999|2.2966|-0.20488|0.03463008|25.0|7.6|7.6
11e_a5|0|0|2.971327032|0|7.139660336|1|1|1.338814635|0.0|-0.2114441819999999|0.038643235|0.020943152|-0.07965|0.0|1|0.008721244|-0.127225457|-0.0924814769999999|-0.234433859|0.77509232|0.775794895|-0.048843135|-0.02059071|0.876758791|-0.062865536|-0.0790189759999999|-41.64560703|7.986070113999999|62.84782002|0.123241209|-0.0282210629999999|-34.67724171|0.0|-1.580379517|-27.58835281|63.5644542|49.63167715|580.8135016|9.387474824|18.17739133|0.936345148|5675.693973|184.4042616|25.90670947|0.016933845|1450.77573|735.3048881|11.21791539|1.0|1.0|1.0|3.22|3.43|0.24|23.0|-8.95|66.93|0.0|0.0|1.0|7.0|31.0|-6.28|411.5|0.0|3.63|-4.72|2.23e-05|0.00782|0.0|1.13e-09|4.64e-07|-0.03808|4.4179|2.91|4.1036|-1316.547103|-1316.512503|717.76|1220.1|302.14|0.5347|571.06|0.66478|0.6505|-0.16751|2.3124|-0.20559|0.03460011|0.04|7.3979|7.3979
13_a12|0|0|0.0|0|0.0|0|0|1.508548782|0.0|0.202052156|-0.0619247109999999|0.037948718|-0.21832579|0.0|0|0.002279068|-0.362308767|-0.169387652|-0.595629719|0.845823047|0.6809340620000001|-0.226526433|0.039235452|0.90006391|-0.058167326|-0.092483398|-28.51381164|4.01385817|64.74666684|0.09993609|-0.034993718|-22.2236882|66.2289548|-1.2947675790000002|-13.97756285|48.99243638|32.52766981|441.2142447|6.06407675|11.36787272|0.874625469|3647.657976|57.35761558|19.42716439|0.0074597119999999|718.8050825|327.9594923|3.656774794|1.0|0.0|1.0|2.7|2.64|0.12|18.0|-7.14|50.7|0.0|0.0|1.0|3.0|21.0|-5.49|276.34|1.0|3.22|-4.2|5.520000000000001e-05|0.0174|0.0|7.26e-08|2.01e-05|-0.04445|4.5363|3.83|3.9329|-876.3661620999999|-876.3370809|532.86|867.79|315.25|0.6528|437.91|0.6622399999999999|0.64974|-0.16458|1.3023|-0.20903|0.0290811829999999|93.0|7.0315|7.0315
12z_a30|0|0|0.0|0|7.412764017000001|2|2|0.604983642|0.0|-0.1155022219999999|-0.026703371|0.040566449|0.034848862|0.0|1|0.005111479|0.05890953|-0.12254489|-0.39205163|0.8397577820000001|0.809127478|-0.02232319|-0.077335468|0.832920077|-0.071429418|-0.107776943|-49.68145417|21.47520633|54.40462246|0.167079923|-0.034034824|-52.13870496|0.0|-1.939984979|-34.55504699|95.20867045|71.1566605|579.3226647000001|8.071510779|15.74641625|0.950863559|7074.004131999999|256.7627363|37.52507564|0.029109145|2138.929312|792.3440337000001|20.24634493|0.0|1.0|1.0|4.86|0.0|0.21|17.0|-6.83|100.11|0.0|0.0|1.0|7.0|33.0|-6.39|458.54|0.0|2.52|-5.0|2.47e-06|0.00456|0.0|1.47e-07|6.720000000000001e-05|-0.04679|4.8063|3.34|3.4438|-1804.814868|-1804.785911|739.33|1266.9|360.02|0.1855|580.6|0.5513100000000001|0.6853199999999999|-146.0|7.0446|-0.19279|0.02895763|44.0|7.3615|7.3615
3_a4|0|0|0.0|1|7.535296702|1|1|1.343866299|2.147369615|-0.241609351|0.03287721|0.033760684|-0.07806942|2.180369373|1|0.011276682|-0.129930078|-0.048796855|-0.133874898|0.637819558|0.773786787|-0.0862461019999999|0.0904255319999999|0.919804716|-0.052578183|-0.06572153|-25.5405205|5.133610255|12.23442244|0.080195284|-0.024645574|-15.5080075|40.30885999|-0.985822953|-12.40663231|39.38579676|30.67413075|446.8068266|4.832514477|8.486341272999999|0.7560922609999999|4677.30755|136.1652785|16.63485592|0.015358792|665.3942366|409.0289917|7.460728516|1.0|1.0|1.0|2.99|2.86|0.15|21.0|-7.19|43.6|0.0|0.0|1.0|2.0|24.0|-5.99|312.37|1.0|3.31|-4.26|0.000198|0.0173|0.0|6.49e-08|2.03e-05|-0.04964|4.9088|2.66|4.0639|-990.6395508|-990.6149055|535.44|905.23|305.09|0.1415|350.36|0.58445|0.58615|-0.17005|2681.0|-0.21969|0.024645265|104.0|6983.0|6983.0
17b_a6|0|0|3.375166525|0|7.412764017000001|1|1|1.425925343|0.0|0.1012747369999999|-0.0265090529999999|0.042739018|0.139594234|0.0|1|-0.00194781|0.231025646|-0.10896749|-0.563310199|0.850080948|0.7788169070000001|0.002947625|-0.138423611|0.753949098|-0.095450984|-0.109195656|-62.63196368|20.48861696|155.8689396|0.246050902|-0.041494349|-47.0150166|557.7093661|-2.074717455|-41.0971443|84.71888279|83.12058064|494.7179214|8.974770742|16.46390151|0.834464855|5985.963521|150.48105900000002|35.32951798|0.019915748|1766.4758989999998|627.4287311|13.06809384|1.0|1.0|1.0|3.53|2.89|0.12|23.0|-9.01|95.85|0.0|0.0|1.0|5.0|31.0|-5.89|409.44|1.0|3.6|-5.17|1.56e-06|0.00274|0.0|9.77e-10|4e-07|-0.05736|3.5444|4.04|2.9964|-1350.102764|-1350.078181|690.98|1168.62|413.78|0.3949|575.2|0.69615|0.7016100000000001|-0.12545|5.3385|-0.18281|0.02458322|153.0|6.8153|6.8153
8a_a32|1|1|3.217128449|0|7.773594467000001|0|0|0.609420757|0.0|-0.0755556459999999|-0.056633919|0.04008547|-0.0281981579999999|2.059960334|3|-0.001662219|-0.050766252|-0.0852122769999999|-0.591393096|0.788133615|0.845443342|-0.184419911|-0.2166242669999999|0.814553726|-0.083474428|-0.109412858|-52.34893512|11.48993376|73.64907732|0.185446274|-0.035678106|-43.03057598|66.81560596|-1.641192863|-32.82934751|79.73671389|63.83886888|510.8273411|7.420041446|14.26997798|0.923166883|5659.295213|157.3554684|29.86932167|0.017733503|1373.988797|557.1050635|11.12113054|1.0|1.0|1.0|3.48|3.67|0.26|19.0|-7.65|140.04|0.0|1.0|1.0|7.0|27.0|-5.76|397.52|1.0|4.07|-4.99|1.5199999999999998e-07|0.00406|0.0|2.23e-08|8.86e-06|-0.06166|3562.0|4.98|3562.0|-1880.767206|-1880.732222|667.29|1110.23|348.07|0.4315|566.07|0.70316|0.70316|-0.1445|4.8933|-0.2061599999999999|0.03498398|45.0|7.3468|7.3468
4_a4|0|0|0.0|1|7.535296702|1|1|1.343865392|2.156628874|-0.183963421|0.0159331539999999|0.036775068|-0.0214610589999999|2.183056868|1|0.0112367389999999|-0.035166634|-0.048056862|-0.157959343|0.646069495|0.77276149|-0.168712277|-0.063012715|0.933276024|-0.049768752|-0.06873731|-25.64211031|4.4155367960000005|13.70182982|0.0667239759999999|-0.0255766729999999|-18.24679326|42.42341622|-1.099796957|-13.21145879|40.86951119|30.05764711|480.8472306|5.326452915|8.855289118|0.66251148|4878.070704|106.2816773|16.60255217|0.010586293|713.9097433|462.1867149|5.454324025|1.0|1.0|1.0|3.15|3.09|0.19|21.0|-7.57|43.6|0.0|0.0|1.0|2.0|25.0|-5.79|326.39|1.0|3.64|-4.57|7.59e-05|0.00877|0.0|2.71e-08|8.85e-06|-0.04865|5.382000000000001|3.24|4.0261|-1029.960398|-1029.93716|566.84|960.45|307.95|0.1106|394.06|0.55032|0.6010800000000001|-0.1696599999999999|2.6814|-0.21831|0.02323788|78.0|7.1079|7.1079
8f_a12|1|1|0.0|0|6.580639137|1|1|0.609895166|0.0|0.110310585|-0.062406088|0.038347953|-0.013400998|2.177023629|1|-0.00094279|-0.023769395|-0.070713228|-0.560548116|0.902669729|0.7475224290000001|-0.13747286|-0.042014638|0.869823177|-0.072634742|-0.098932601|-41.27611074|7.550959323|83.13642146|0.130176823|-0.03822396|-31.9483307|0.0|-1.6818542230000002|-23.45595611|63.05721575|48.82707007|494.2940092|7.016225129|13.00131176|0.853035146|5481.952981|91.98952021|25.9168408|0.012030968|1140.340995|524.0516742|6.836832748|1.0|1.0|1.0|4.09|3.26|0.1|21.0|-8.42|78.41|0.0|0.0|1.0|3.0|27.0|-5.47|369.44|1.0|3.82|-5.24|1.99e-06|0.00211|0.0|3.79e-09|1.4e-06|-0.06179|4.1744|4.19|3.6536|-1481.146454|-1481.115891|606.97|1020.81|339.35|312.0|441.97|0.59107|0.65098|-0.15061|0.9092|-0.2124|0.03056355|646.0|6.1898|6.1898
12f_a30|0|0|0.0|0|7.412764017000001|2|2|0.60498366|0.0|0.156569208|-0.274237737|0.041555556|0.1468972409999999|0.0|1|-0.004395528|0.4304505939999999|-0.077457998|-0.6394697460000001|0.613786308|0.8246767140000001|-0.043091382|-0.071123509|0.8357464459999999|-0.090450992|-0.108935062|-63.81176255|11.07796031|101.2862703|0.164253554|-0.0452183279999999|-54.21787616|1.45550709|-2.396571368|-45.01820228|89.21786458|74.88972286|589.6060704|8.366190175|15.86072943|0.8958126809999999|7634.176316|130.3909181|39.1336968|0.01752821|2074.08593|696.6414817000001|12.36587885|0.0|1.0|0.0|4.73|0.0|0.17|17.0|-7.18|90.88|0.0|0.0|1.0|7.0|34.0|-5.66|482.48|0.0|3.42|-5.92|1.99e-07|0.000579|0.0|6.61e-08|3.19e-05|-0.05464|5.0587|5.52|3.5298|-1988.032639|-1987.998635|729.87|1225.63|351.25|0.2166|574.31|0.32483|0.68471|-0.14958|3.6633|-0.20422|0.03400408|19.0|7.7144|7.7144
