molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
2_a33|1|1|3.396444161|0.0|0|0|0|0.609420748|-0.009168933|-0.064926835|0|0.039958333|-0.049900189|-0.476784502|-0.002514803|10.31100266|3|-0.000810928|-0.083752249|-0.148024156|-0.593915758|0|0.833090592|-0.0212158239999999|0.753434785|0.8195154109999999|-0.0804186|-0.104047115|0.411881091|-49.13901703|11.27469555|103.5201191|0.1804845889999999|110.28338390000002|44.34034244|-30.02592687|75.44970552|-19.46234551|60.41371259|0.4699986339999999|2632.195388|500.7570617|-11.89228027|0.297402265|6.152818143999999|11.60906093|0.8867875909999999|6067.635829|-582.7217333|618.9134881|11.8727102|1.0|0.0|1.0|2.0|3.57|3.51|0.3|-7.67|6.7|140.04|2.0|0.0|1.0|-6.35|28.0|4.0|-6.17|411.54|1.0|0.0|1.0|3.98|0.0069|3.72|0.0|2.13e-08|8.78e-06|5.11|3.6281|-1920.079174|655.74|1128.98|341.74|0.2911|341.74|525.38|0.70205|0.2911|-0.15012|4.2519|0.02972182|6.0|8.2596|8.2596
21b_a23|0|1|0.0|0.0|2|0|0|1.197963051|-0.005936474|-0.008526338|2|0.042455556|0.057405955|-0.326506055|0.01055698|10.31321725|2|0.009872313|-0.069382957|-0.130528352|-0.481470603|2|0.7717839409999999|0.131951284|0.668547062|0.930728719|-0.0596425779999999|-0.083105261|0.224930782|-41.81114831|10.15224639|41.6766724|0.0692712809999999|48.56114386|86.65837165|-29.31080756|67.68046598|-23.98906534|51.9633947|0.458461834|3074.083057|652.4673795|-16.81701905|0.187665282|8.773746105|16.20152864|0.846591917|6919.229053|-857.6679716|712.6737861|9.421307298|0.0|0.0|1.0|1.0|3.59|3.42|0.08|-7.84|3.92|128.81|2.0|1.0|1.0|-6.1|33.0|5.0|-6.42|450.52|0.0|0.0|0.0|3.57|0.00273|3.7|0.0|1.43e-08|6.45e-06|3.57|3.6237|-1761.498874|735.65|1247.38|342.15|0.2607|309.79|611.6|0.70139|0.2333|-0.15033|9.5312|0.02657688|85.0|7.0691|7.0691
12b_a30|0|0|0.0|0.0|0|2|2|0.604984682|-0.007353271|-0.06631353|2|0.042804233|-0.074391852|-0.3897233479999999|0.001139238|10.31162898|1|0.002064369|-0.0541804029999999|-0.120380857|-0.468842459|1|0.824373792|-0.009146339|0.64876559|0.764737577|-0.08354129|-0.09915679|0.383979687|-53.05077947|11.01246349|86.84905288|0.235262423|149.39744040000002|0.0|-33.68855323|73.02913136|-24.41577808|64.06324295|0.4676268939999999|2849.095245|485.6272203|-15.50462119|0.201479318|7.393647884|13.88809428|0.878381889|6275.380072|-759.7264385|618.6004214|10.06212472|1.0|0.0|0.0|1.0|4.63|0.0|0.14|-6.9|4.25|81.65|2.0|0.0|1.0|-5.39|30.0|5.0|-6.02|416.47|0.0|0.0|0.0|2.92|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|4.07|3.5207|-1675.0107779999998|673.18|1130.68|352.16|0.2079|245.19|516.78|0.68496|0.1525|-0.1493799999999999|3.7327|0.03351603|7.0|8.1543|8.1543
24_a20|0|0|0.0|0.0|1|0|0|1.40648755|-0.001547029|0.029711934|2|0.03625|0.087887688|-0.083539572|0.009265667|10.93106245|1|0.008780074|-0.036258691|-0.060582944|-0.188335708|2|0.74131936|0.070857143|0.607038752|0.952027295|-0.061437722|-0.067869875|0.531656762|-38.76683848|8.085691548|12.83518119|0.047972705|30.27049276|406.1522673|-24.46164548|51.30386873|-17.13019562|46.85253003|0.457794721|2736.601949|600.7235847000001|-10.80905198|0.228967757|6.852820269|12.63879297|0.844319927|6109.1040920000005|-540.4525990000001|664.4562602999999|8.478379683|1.0|1.0|1.0|0.0|3.4|3.21|0.08|-9.32|4.76|80.28|2.0|0.0|1.0|-4.89|31.0|5.0|-6.26|402.45|0.0|0.0|1.0|3.63|0.00469|3.52|0.0|4.82e-10|1.94e-07|3.74|3.5876|-1291.896802|685.66|1169.35|345.59|0.2495|232.2|551.25|0.44916|0.0108|-0.15687|3.6107|0.02922392|318.0|6.4976|6.4976
15_a15|0|0|0.0|0.0|0|1|1|1.435688991|-0.006378587|-0.031457366|3|0.029814815|-0.063032481|-0.395472407|0.001806571|10.95980315|0|0.003766915|-0.173728081|-0.272482143|-0.3597407929999999|2|0.724319314|0.007958332|0.796300317|0.8972060479999999|-0.061884697|-0.091075463|0.7028760070000001|-41.11675625|13.71976186|142.8140301|0.102793952|68.29723829999999|4.306196778|-27.31834743|73.99578515|-20.86598874|54.83651811|0.435723718|3027.719888|596.1118717|-13.86355301|0.297455822|6.673906339|11.8273735|0.772181523|7039.747576999999|-804.0860746000001|830.7967967000001|13.48441779|1.0|1.0|0.0|1.0|4.04|4.34|0.07|-8.9|4.33|59.51|2.0|0.0|1.0|-6.32|34.0|4.0|-5.26|448.52|1.0|0.0|0.0|4.64|0.000357|5.32|0.0|1.27e-09|5.7e-07|5.04|2582.0|-1450.7538470000002|700.82|1265.55|480.19|0.4459|335.38|573.46|0.70572|0.0066|-0.10964|1.6365|0.02849263|109.0|6.9626|6.9626
16h_a32|1|1|3.340888605|0.0|0|0|0|0.609420754|-0.015656019|-0.098975084|0|0.039958333|-0.069213021|-0.7828009570000001|-0.0048042729999999|10.31100268|3|-0.002310082|-0.123297852|-0.219947482|-0.71364354|0|0.832040698|-0.003188883|0.7619492790000001|0.7991915079999999|-0.081151869|-0.121464999|0.44308098|-51.56009529|13.31708433|70.02855767|0.200808492|127.5843068|35.90298920000001|-32.75886858|90.15529448|-24.62973479|64.87717961|0.459750275|2709.44587|507.7688359|-15.6485794|0.2640948939999999|6.710057805|12.42028916|0.850995852|6151.056721|-735.4832318|573.3529948|12.98212548|1.0|0.0|1.0|2.0|3.61|3.45|0.26|-7.0|5.86|149.27|2.0|0.0|1.0|-6.48|28.0|5.0|-6.22|413.52|1.0|0.0|1.0|3.74|0.0073599999999999|3.66|0.0|9.89e-08|4.09e-05|4.54|3.6182|-1955.99895|679.82|1130.4|342.67|0.2914|342.67|556.05|0.70219|0.2914|-0.14972|3516.0|0.02818755|9.0|8.0655|8.0655
14u_a23|0|1|0.0|0.0|2|0|0|1.197962732|-0.007017844|-0.025360103|2|0.043321995|0.050530143|-0.385981432|0.010561248|10.31321759|2|0.010508236|-0.110069159|-0.199540201|-0.4086345999999999|2|0.787538583|-0.001778422|0.71381683|0.909754912|-0.055259924|-0.086465795|0.445665682|-36.90928915|16.97420126|43.06242147|0.090245088|60.27663131|50.47632596|-24.65250654|73.50348823|-22.64798452|53.88349042|0.47648509|3015.478095|607.6448353|-15.12707504|0.297131017|7.392527755|14.12094979|0.910165272|6913.009783|-771.4808267999999|683.7405759|15.75112771|0.0|0.0|1.0|1.0|3.59|3.68|0.09|-7.51|3.42|114.25|2.0|1.0|1.0|-5.63|32.0|5.0|-6.47|441.51|0.0|0.0|0.0|3.48|0.0042299999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|3.23|3.1819|-1744.446261|712.54|1214.4|389.66|0.2253|306.82|549.0|0.6703100000000001|0.0008|-0.1543|5.9743|0.0237199999999999|6.0|8.2449|8.2449
31_a47|0|1|0.0|0.0|1|0|0|1.304326813|-0.00869363|-0.171198936|2|0.042906977|-0.086842911|-0.417294247|-0.007525849|10.9497221|1|-0.006265667|-0.035190699|-0.076351692|-0.441642572|2|0.856640117|-0.1978980839999999|0.6463892179999999|0.696020038|-0.10715233|-0.1056956209999999|0.486720182|-66.4670426|13.27533898|355.5321928|0.303979962|188.5600536|81.01707367|-41.22978713|80.58054906|-23.31144534|79.74238158|0.4741051329999999|2689.159869|431.7441681|-14.46018796|0.29335997|8.214180216|15.6194341|0.901520747|6019.5391740000005|-650.7084581|513.2159236|15.01710904|1.0|1.0|1.0|2.0|3.18|2.38|0.1|-7.62|3.23|98.72|1.0|0.0|1.0|-4.59|29.0|5.0|-6.78|410.83|0.0|0.0|1.0|2.94|0.0166|2.86|0.0|2.42e-08|9.95e-06|4.2|3.6369|-1735.435432|642.11|1079.4|340.91|0.3264|311.96|508.69|0.69894|83.0|-0.15143|6.4248|0.03449081|16.0|7.8|7.8
14c_a23|0|1|0.0|0.0|2|0|0|1.197962449|-0.005822256|-0.024758731|2|0.043538647|0.04174584|-0.296935034|0.010682694|10.31321813|2|0.009263715|-0.071484865|-0.13187015|-0.4589840189999999|2|0.793551289|0.1114214519999999|0.659570836|0.922935039|-0.0567889659999999|-0.0800086929999999|0.2273163289999999|-37.73933093|12.52192141|38.43627129|0.077064961|51.21382308|81.41541733|-25.07982076|64.05912299|-22.62557089|50.26125234|0.459622824|2955.304496|613.3401089|-15.0359121|0.2165924689999999|7.832948614|14.49533577|0.8505592829999999|6755.962581999999|-706.6878684999999|633.3278634|10.88903141|0.0|0.0|1.0|1.0|3.4|3.6|0.05|-7.99|4.0|105.02|2.0|1.0|1.0|-6.13|31.0|4.0|-6.03|445.93|0.0|0.0|0.0|4.0|0.00126|4.21|0.0|1.02e-08|4.55e-06|4.1|3.7031|-2089.523959|693.64|1177.63|334.81|356.0|334.81|549.86|0.56781|356.0|-0.15143|7.2704|0.02236136|2.0|8.6253|8.6253
3d_a32|1|1|3.503398526|0.0|0|0|0|0.609420786|-0.006420365|-0.034290847|0|0.041161616|-0.0620110029999999|-0.269655316|0.000655875|10.31100276|3|0.002004382|-0.076494363|-0.1395294259999999|-0.539652902|0|0.8444218509999999|-0.069007775|0.77923808|0.892845502|-0.06869526|-0.093187219|0.2214902789999999|-37.19367587|7.807299836|62.43434632|0.107154498|58.01666174|0.0|-20.13777259|59.15151032|-15.52441767|45.000975700000005|0.427813496|2213.978384|483.4133562|-8.405385739|0.2794597139999999|6.15119195|10.75032687|0.747681906|4752.534658|-327.8100438|421.3548777|8.697152881000001|1.0|1.0|1.0|1.0|3.34|3.11|0.24|-7.29|6.97|110.94|1.0|0.0|1.0|-6.55|23.0|3.0|-5.18|340.47|0.0|0.0|1.0|4.32|0.00251|4.5|0.0|5.13e-08|1.75e-05|3.42|3.5105|-1672.758552|569.29|959.11|353.18|0.5031|353.18|465.41|0.7035100000000001|0.5031|-0.14189|3.2094|0.02457348|8.0|8.0915|8.0915
3b_a49|0|0|0.0|0.0|1|1|1|1.343850026|-0.0057605869999999|-0.055724324|2|0.034155556|-0.090939066|-0.322592863|0.000607064|10.92976559|1|0.001356445|0.000511959|0.000850823|-0.405529602|2|0.794997634|0.021506499|0.749565191|0.749104358|-0.0883601469999999|-0.0846496|0.482434361|-54.04959517|8.304484449|325.6896751|0.250895642|153.4719941|81.60358988|-33.06194987|64.91785551|-16.92803342|62.35407961|0.477583842|2660.339607|458.224537|-10.35481932|0.3431340539999999|7.236413572000001|13.85181805|0.914182753|5934.158315|-538.4506046|641.1445234|13.13798859|1.0|1.0|1.0|2.0|3.37|2.43|0.22|-7.58|3.16|98.72|1.0|0.0|1.0|-3.53|30.0|5.0|-7.42|398.46|0.0|0.0|1.0|2.38|102.0|1.84|0.0|2.64e-08|1.05e-05|3.4|3.8418|-1293.3286859999998|664.15|1132.92|322.72|0.1978|265.67|480.08|0.6632|0.0759|-0.1587|3.0055|0.0368692|25.0|7.6021|7.6021
13_a15|0|0|0.0|0.0|0|1|1|1.4356889940000002|-0.006348913|-0.031457366|3|0.029206349|-0.006938727|-0.393632585|0.001806571|10.95980212|0|0.003766915|-0.173728081|-0.272482143|-0.357554652|2|0.729838386|0.008210506|0.796300317|0.8854875790000001|-0.068526782|-0.098053528|0.708462114|-43.2365883|10.21906987|142.67217639999998|0.114512421|72.25096855|0.0|-27.279882500000003|72.41636305|-21.33321476|53.45565817|0.482317225|3028.485145|558.6934137000001|-13.46007201|0.244716567|5.21465994|10.07307988|0.931684902|7196.400881999999|-780.6841766|830.7967967000001|10.55004024|1.0|1.0|0.0|1.0|4.13|4.19|0.07|-8.9|4.33|59.51|2.0|0.0|1.0|-6.32|34.0|4.0|-5.26|448.52|1.0|0.0|0.0|4.61|0.000357|5.32|0.0|1.27e-09|5.7e-07|5.04|2.5721|-1450.756042|674.36|1231.11|482.03|208.0|314.52|549.33|0.70626|0.0003|-0.11283|3.5479|0.02844037|6.0|8.2218|8.2218
18d_a30|0|0|0.0|0.0|0|2|2|0.6049874|-0.0072724869999999|-0.064217094|2|0.040899471|-0.071608958|-0.385441836|0.001139238|10.31163881|1|0.002064369|-0.0541804029999999|-0.120380857|-0.4624430539999999|1|0.815003426|-0.001699165|0.64876559|0.803280262|-0.07812727|-0.103191184|0.346980269|-49.44608411|11.29282624|78.23108693|0.196719738|124.5022473|0.0|-31.29400567|75.80070349|-23.99099587|60.73891035|0.443774287|2848.574353|508.389239|-15.18369704|0.216715605|7.063141946|12.69833771|0.797831306|6367.958933|-744.0011548|618.6004214|10.49188139|1.0|0.0|0.0|1.0|4.75|0.0|0.14|-6.9|4.25|81.65|2.0|0.0|1.0|-5.39|30.0|5.0|-6.02|416.47|0.0|0.0|0.0|2.92|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|4.07|3.4682|-1675.020297|669.66|1129.46|357.49|0.3856|247.35|508.7|0.69017|0.3788|-0.14167|5.0115|0.03258724|21.0|7.6737|7.6737
12b_a40|0|0|0.0|0.0|1|0|0|0.604989475|-0.004650218|-0.011794908|0|0.04020202|0.1744506639999999|-0.158107422|0.00779293|10.31197236|2|0.004452418|0.023952313|0.038336814|-0.513870527|0|0.7137941109999999|0.026452642|0.522580798|0.955647156|-0.065048707|-0.074921647|0.2160572999999999|-37.05091872|6.17734692|80.72126798|0.044352844|25.26281742|48.17000329|-21.10373336|48.54667776|-19.27231874|43.22826564|0.494842289|2462.878448|544.3244990000001|-10.97726831|0.143170283|8.132984007000001|16.09989085|0.979579799|5933.385347|-340.29531769999994|370.3261123|5.872257692000001|0.0|0.0|0.0|0.0|3.26|3.87|0.0|-8.39|6.58|58.43|2.0|0.0|1.0|-7.71|24.0|2.0|-4.09|415.12|1.0|0.0|1.0|5.79|3.2500000000000004e-05|6.68|1.0|4.08e-09|1.7e-06|6.27|3407.0|-3016.999329|576.38|960.94|363.91|306.0|363.91|490.5|0.69476|306.0|-0.14267|4.5528|0.01251873|0.04|7.3979|7.3979
4R4k_a46|0|0|0.0|0.173180233|1|1|1|1.134637098|-0.0049602|-0.088084767|1|0.0510113959999999|-0.104665424|-0.252970193|0.006550513|10.94631314|1|0.006050983|0.008544799|0.012963356|-0.3860697829999999|1|0.7477594870000001|-0.003017362|0.784722915|0.890625164|-0.089699228|-0.085931818|0.237621572|-47.73036108|4.194771739|173.3171354|0.109374836|58.20005971|0.0|-25.39807111|49.58292992|-16.19450581|51.92513282|0.465590034|2105.035168|473.9155694|-8.617349646000001|0.133318901|5.522208638|10.33328154|0.871222588|4711.736397|-413.632783|519.5743695|3.857266463|1.0|1.0|1.0|1.0|3.8|3.12|0.33|-6.61|4.26|50.94|1.0|0.0|1.0|-4.82|25.0|3.0|-5.46|333.43|0.0|1.0|1.0|3.81|0.0049299999999999|4.05|0.0|2.48e-07|8.28e-05|4.52|4.1392|-1053.439174|565.94|994.13|299.53|0.2896|234.09|490.83|0.68404|0.1008|-0.17484|1.8559|0.0257622|97.0|7.0132|7.0132
12k_a30|0|0|0.0|0.0|0|2|2|0.604984231|-0.007818038|-0.029595542|2|0.042739018|-0.13882907|-0.44562817|0.0043261129999999|10.31162844|1|0.0053380919999999|-0.089279071|-0.154412059|-0.4186541|1|0.830875659|0.001281277|0.7933543279999999|0.815083558|-0.079026221|-0.098188266|0.340031035|-52.35426525|16.01752015|106.8195439|0.184916442|122.5057244|0.0|-34.68429919|80.03127603|-23.31944323|68.37178540000001|0.47195436|2920.279667|539.9866061|-15.44895229|0.291863802|8.416930701|15.93977881|0.893775698|6393.133321|-818.7944715|704.0353382000001|14.9823028|1.0|0.0|1.0|1.0|4.72|0.0|0.17|-6.74|3.89|90.88|2.0|0.0|1.0|-5.44|31.0|5.0|-6.19|428.51|0.0|0.0|0.0|2.57|0.0050799999999999|3.84|0.0|1.84e-07|7.87e-05|3.58|3.4715|-1690.302721|710.82|1200.31|357.15|0.2257|238.62|564.62|0.6864899999999999|0.1512|-0.14743|4.9516|0.03357755|24.0|7.6144|7.6144
9a_a31|1|0|3.348289714|0.0|0|1|1|0.6101356720000001|-0.01391798|-0.093457477|0|0.036891534|-0.05057805|-0.723734943|-0.006189303|10.31169772|2|-0.0033853629999999|-0.093527289|-0.15653721|-0.542342338|0|0.782715368|0.045292529|0.76226755|0.691768132|-0.100906991|-0.122626525|0.235442032|-64.75697831|21.33533299|163.6011874|0.308231868|197.8075471|95.14995868|-41.55773748|94.03540892|-27.87131275|86.0923113|0.484502446|2855.751316|443.941629|-17.886392|0.262241245|7.812278516|15.15483138|0.939873412|6273.506211999999|-858.5468158|597.3075924999999|15.33993762|1.0|1.0|1.0|2.0|3.6|2.78|0.14|-8.13|5.51|117.37|1.0|0.0|1.0|-5.62|30.0|5.0|-6.39|418.47|0.0|0.0|1.0|3.47|0.00715|3.47|0.0|7.35e-09|3.07e-06|5.27|3.7892|-1691.9526239999998|680.72|1145.99|327.21|0.7028|327.21|540.01|0.7028|0.7028|-0.15757|5.0244|0.03885662|0.15|6.8239|6.8239
43_a18|0|0|0.0|0.0|0|2|2|1.251175234|-0.005099385|-0.01369899|1|0.033734062|-0.05314954|-0.397752066|0.002712865|10.94702053|0|0.003801459|-0.140532044|-0.2093696189999999|-0.460675034|0|0.713379703|-0.023109314|0.712848727|0.852344887|-0.070166168|-0.0822489459999999|0.3439906129999999|-54.49271386|5.35147222|0.66443384|0.147655113|114.6724699|21.60709738|-42.32033664|69.46280937|-24.16948112|59.84418608|0.481954273|3172.923606|661.9512957999999|-18.77059344|0.125626651|10.01438533|19.33108376|0.930331529|7428.282915000001|-1389.023915|1228.492038|5.5863235410000005|0.0|1.0|1.0|2.0|4.54|0.0|0.34|-9.6|4.5|76.5|3.0|1.0|1.0|-6.45|38.0|3.0|-5.78|508.65|0.0|0.0|0.0|3.48|0.000554|5.1|1.0|2.52e-10|1.28e-07|8.79|3.2233|-1611.621186|843.1|1493.25|384.65|0.5429|384.65|702.4|0.6926800000000001|0.5429|-0.13196|3.0482|0.02315412|625.0|6.2041|6.2041
4b_a46|0|0|0.0|0.206072846|1|1|1|1.1346370890000002|-0.00113356|-0.022119857|2|0.047736111|-0.082722572|-0.058945144|0.012332859|10.96200942|1|0.011806162|-0.079238184|-0.123416853|-0.16915334|2|0.7306307590000001|-0.263387881|0.69830739|0.935245062|-0.0524080009999999|-0.070236212|0.27128814|-28.58477842|4.127907383|7.986637869|0.064754938|35.31914031|56.7922535|-15.59093155|42.65239101|-12.50898928|32.7126858|0.428987199|2105.172229|510.1086157|-6.822749952000001|0.189531974|5.76401157|10.09436488|0.751274223|4681.895329999999|-334.31474760000003|538.4165208|4.343611349|1.0|0.0|1.0|0.0|3.9|3.03|0.38|-7.2|4.69|43.6|1.0|0.0|1.0|-4.35|25.0|3.0|-5.67|332.44|0.0|1.0|1.0|3.76|0.00782|3.74|0.0|6.38e-08|2.12e-05|3.98|4.5515|-1033.556797|588.79|1020.9|272.4|0.1784|272.4|508.79|0.68682|0.1784|-0.19082|3127.0|0.02176759|548.0|6.2612|6.2612
14_a4|0|0|0.0|0.0|1|1|1|1.399909181|-0.001935612|-0.04986736|1|0.0409444439999999|-0.0135414919999999|-0.069682036|0.009588001|10.94612798|1|0.008943549|-0.016862096|-0.039321879|-0.199315317|1|0.77505994|0.158051825|0.500893739|0.8510382459999999|-0.065776751|-0.071074269|0.218112446|-29.91067393|5.933038407000001|12.12963775|0.148961754|67.73740575|85.72299913|-13.60128622|39.49511556|-13.71135194|35.84371234|0.40126838|1911.448021|386.9927769|-6.23496557|0.231542789|5.304461808|8.859498364|0.6701974079999999|3944.638539|-205.7538638|280.2639278|7.175500282000001|1.0|0.0|0.0|0.0|3.14|2.39|0.06|-5.71|3.59|30.71|0.0|0.0|2.0|-3.4|21.0|3.0|-5.8|277.3|0.0|1.0|1.0|3.2|0.0295|3.09|0.0|1.95e-06|0.000539|3.22|4.2312|-918.9507745|475.32|794.51|293.02|0.1864|274.1|353.16|0.55975|0.1067|-0.17381|2.3797|0.020300099|1.32|5.8794|5.8794
12f_a40|0|0|0.0|0.0|1|0|0|0.604990261|-0.006206277|-0.015621373|0|0.040501792|0.070099257|-0.235838511|0.008525796|10.31197207|2|0.006841832|-0.033224348|-0.054891771|-0.397377446|0|0.777316288|-0.160218113|0.605644757|0.909993912|-0.067004323|-0.082198664|3.43e-05|-37.02024147|11.90644165|62.72992556|0.090006088|49.72883796|61.55859085|-20.45387851|56.53158029|-18.16607804|48.92668311|0.490421149|2383.68369|502.7764322|-10.03685385|0.268555948|8.404802652999999|16.49362536|0.962404834|5326.217734000001|-351.2898849|384.1423925|11.1163852|1.0|0.0|0.0|0.0|3.24|3.61|0.06|-7.32|5.35|67.66|2.0|0.0|1.0|-6.58|24.0|3.0|-4.76|376.26|0.0|0.0|1.0|4.76|0.0003819999999999|5.4|0.0|4.81e-08|1.8100000000000003e-05|4.77|2.8374|-2212.359379|572.63|951.55|436.97|0.4348|286.25|487.85|0.7029|0.3858|-0.11765|3.2818|0.01077929|0.38|6.4202|6.4202
12z_a36|1|0|3.435113772|0.0|0|2|2|1.297044126|-0.007671785|-0.010732275|2|0.041767677|0.037307819|-0.421948174|-0.000143196|10.95429182|1|0.001194592|-0.098598933|-0.175397741|-0.433580807|1|0.826316772|0.103551178|0.8212311840000001|0.834790405|-0.081592361|-0.102674964|0.492335362|-54.11489962|15.50078625|114.3931487|0.165209595|109.572766|15.59091678|-35.89088901|83.07227002|-24.03445318|69.61568586|0.4577848329999999|2841.692299|553.6621150000001|-15.940487699999998|0.287317638|8.016303367999999|14.78435842|0.844286292|6146.834385|-812.9648725|642.3830552000001|14.97465267|1.0|0.0|0.0|2.0|4.76|0.0|0.13|-6.66|2.75|92.99|1.0|0.0|1.0|-3.99|31.0|5.0|-7.08|406.44|0.0|0.0|0.0|1.66|0.0458|2.4|0.0|2.21e-07|8.97e-05|2.98|3.8969|-1325.195958|686.33|1153.7|318.16|0.4423|318.16|539.36|0.69397|0.4423|-0.1575|4814.0|0.03845474|5.0|8301.0|8301.0
14n_a23|0|1|0.0|0.0|2|0|0|1.197963531|-0.0068536419999999|-0.027380305|2|0.045165485|0.079559363|-0.376950283|0.010561248|10.3132176|2|0.010508236|-0.110069159|-0.199540201|-0.404569286|2|0.802854174|0.219354173|0.71381683|0.89327435|-0.058928845|-0.082430028|0.209387766|-39.82324087|18.26553926|97.93357279|0.10672565|72.12361433|97.39429807|-26.91195666|72.09248208|-21.84509525|58.08878013|0.469606631|3014.591033|603.6615822000001|-14.76259199|0.313179459|8.662092555|16.33144958|0.885393105|6740.54932|-752.8921912999999|683.7405759|16.3874892|0.0|0.0|1.0|1.0|3.53|3.66|0.09|-7.51|3.42|114.25|2.0|1.0|1.0|-5.63|32.0|5.0|-6.47|441.51|0.0|0.0|0.0|3.48|0.0042299999999999|3.55|0.0|3.11e-08|1.3699999999999998e-05|3.23|3.4217|-1744.450916|710.48|1209.95|362.35|0.4229|362.35|575.71|0.6955|0.4229|-0.1382|5.2196|0.02300614|1.0|9.2441|9.2441
12g_a40|0|0|0.0|0.0|1|0|0|0.604990688|-0.01011728|-0.129331216|0|0.036630824|0.167050952|-0.354104815|-0.001011175|10.31197254|2|-0.003205145|0.063401514|0.106286677|-0.512657141|0|0.769016155|0.020185301|0.6941475490000001|0.8702014570000001|-0.0951493559999999|-0.099521372|0.289122732|-49.94706785|6.670206427999999|130.7472028|0.129798543|68.1355805|0.0|-26.21888031|59.29860462|-22.85591194|56.61727428|0.465725912|2287.970776|456.7977427|-11.99782981|0.147968773|7.692740528|14.39849078|0.871698484|5211.675486|-383.9305539|335.7078145|7.056520179|1.0|0.0|0.0|1.0|3.24|3.2|0.0|-6.63|4.83|78.66|2.0|0.0|1.0|-6.46|23.0|3.0|-4.91|362.23|0.0|0.0|1.0|4.4|0.000586|5.07|0.0|2.37e-07|8.57e-05|4.84|3.1577|-2173.044757|540.25|896.63|392.64|0.3539|308.23|429.31|0.6988|0.2682|-0.13191|1.9175|0.02230594|724.0|6.1403|6.1403
19_a15|0|0|0.0|0.0|0|0|0|0.300209223|-0.009832375|-0.558905888|1|0.040555556|0.037722611|-0.4621216379999999|-0.012350591|10.31928434|0|-0.00534669|-0.0283109839999999|-0.045543362|-0.571686169|1|0.722297906|0.042424078|0.7358168620000001|0.691069123|-0.0946599869999999|-0.112106433|0.355677322|-54.70558911|3.04716388|61.63983265|0.308930877|178.5363184|15.76831619|-31.61527447|68.10965742|-24.47553536|57.75275299|0.405429114|2625.952212|399.3803987|-14.14482104|0.077864438|6.10227122|10.26331993|0.681885245|5417.777463|-636.516947|490.1808545|3.321475588|1.0|1.0|1.0|2.0|2.99|2.17|0.11|-7.14|2.36|102.69|1.0|0.0|1.0|-5.12|26.0|5.0|-6.22|369.44|0.0|0.0|1.0|2.88|0.0152|3.29|0.0|7.28e-08|2.69e-05|7.53|4.1742|-1523.404372|601.23|1030.77|297.03|0.4895|297.03|519.04|0.68945|0.4895|-0.17018|6.7515|0.04315771|72.0|7.1427|7.1427
