molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12d_a40|0|0|0.0|0.0|1|0|0|0.60499064|-0.008004393|-0.107711573|0|0.043185185|0.209157499|-0.288158151|-0.000134504|10.31197256|2|-0.002126898|0.127299624|0.224167029|-0.552689736|0|0.7769829840000001|-0.0065648919999999|0.6948809659999999|0.840431415|-0.095675903|-0.091630294|0.0913543|-50.68561427|6.204226377|207.39648|0.159568585|84.53363343|60.80168183|-26.85139526|55.13932669|-20.59374436|56.88984065|0.470893531|2270.596857|445.2300015|-10.90981687|0.155716451|7.877041626|14.88744155|0.8899787840000001|5101.479206|-360.0239567|350.9435025|6.596929268999999|1.0|0.0|1.0|1.0|3.23|2.94|0.0|-6.84|4.59|84.45|2.0|1.0|1.0|-6.25|23.0|2.0|-5.13|361.25|0.0|0.0|1.0|4.21|0.000942|4.75|0.0|1.44e-07|5.2e-05|4.14|2.7962|-2153.197255|552.57|910.58|443.4|0.2584|282.05|435.41|0.70435|115.0|-0.11604|1.2683|0.0164339|19.0|7.7212|7.7212
3f_a32|1|1|3.553167045|0.0|0|0|0|0.6094207770000001|-0.00611496|-0.0434359079999999|0|0.042380952|-0.062954205|-0.275173181|0.001276735|10.31100273|3|0.002565215|-0.074808287|-0.133675401|-0.5487283829999999|0|0.820782305|-0.110248899|0.786074011|0.874026684|-0.073433055|-0.097374443|0.3217719189999999|-41.40131823|6.707989266|47.97543149|0.125973316|71.02334697|0.0|-23.34192893|61.47296003|-16.99267001|48.1093075|0.435176082|2273.466801|492.7734095|-9.580412233|0.21080172|6.153728636|10.89495051|0.770463268|4993.667711|-402.3773138|475.3634141|6.573564628|1.0|1.0|1.0|1.0|3.9|3.31|0.28|-7.31|7.18|110.94|2.0|0.0|1.0|-6.89|24.0|3.0|-5.03|354.49|0.0|0.0|1.0|4.63|0.0014|4.83|0.0|4.89e-08|1.73e-05|3.92|3.5569|-1712.0610190000002|604.9|1006.92|348.58|293.0|348.58|488.74|0.70255|293.0|-0.1474599999999999|3.4678|0.02606687|9.0|8.0458|8.0458
47r_a18|0|0|0.0|0.0|0|1|1|0.403924645|-0.0058631659999999|-0.216996268|0|0.035706215|0.041686585|-0.40455848|-0.005176133|10.35082951|0|-0.0001597829999999|-0.233665901|-0.362261236|-0.360670551|0|0.7698681909999999|0.017110504|0.7554975009999999|0.769578222|-0.083915825|-0.087091542|0.26560995|-62.75220741|11.59378448|13.30156885|0.230421778|172.30927739999998|60.66168882|-46.92606587|81.99788849|-23.68254797|74.34599189|0.49394971|3389.050097|575.4901675|-17.70979622|0.311925149|9.819988422|19.40516312|0.976088187|7727.455993|-1168.846551|1005.982493|16.87088158|1.0|1.0|1.0|2.0|4.55|0.0|0.22|-7.46|0.43|111.03|3.0|1.0|1.0|-6.65|36.0|4.0|-6.12|504.6|0.0|0.0|0.0|2.2|0.00117|4.59|1.0|3.48e-08|1.76e-05|9.2|3.1705|-1964.841529|790.57|1387.23|391.06|0.6007|391.06|729.75|0.69545|0.6007|-0.13021|2.3873|0.02805567|231.0|6.6364|6.6364
9_a15|0|0|0.0|0.0|0|0|0|1.419941378|-0.009923019|-0.042227775|1|0.04022792|0.096418279|-0.506073953|1.7800000000000002e-05|10.95880687|0|0.003160815|-0.203104439|-0.295062413|-0.344978312|1|0.7059441040000001|0.088615068|0.8105478740000001|0.846156316|-0.073701648|-0.11668349|0.416635119|-41.10356167|18.10574464|105.5304352|0.153843684|85.79894134|54.69975317|-22.92354152|85.14415759|-15.93664265|59.20930631|0.4517825079999999|2392.3164920000004|471.903131|-8.88789863|0.48742253|5.485176331|10.00547485|0.8240935659999999|5375.400861|-435.5070329|532.0914339999999|20.06953345|1.0|1.0|1.0|1.0|3.16|3.37|0.19|-7.57|3.9|61.84|2.0|0.0|1.0|-5.25|27.0|5.0|-5.52|366.41|0.0|1.0|1.0|3.69|0.00562|4.24|0.0|2.69e-08|9.86e-06|3.36|3.7487|-1223.705126|588.55|1042.17|330.74|0.2693|285.37|507.33|0.70552|0.0115|-0.1565099999999999|1.4625|0.01773342|107.0|6.9706|6.9706
7c_a10|0|0|0.0|0.0|1|1|1|1.343178184|-0.00375251|0.012145872|2|0.039433962|-0.1122332619999999|-0.206388032|0.01006918|10.92926158|1|0.0107756969999999|-0.12177839|-0.191576261|-0.215874011|2|0.7928588059999999|-0.087063341|0.6952665379999999|0.906276489|-0.05074318|-0.0876410609999999|0.487148112|-29.66615908|16.04055193|87.99694927|0.093723511|54.79389751|58.07647902|-17.34382833|67.01436709|-13.06063972|45.70671102|0.4675549639999999|2616.8970870000003|529.8395322|-7.635686595|0.47369361|6.703148323|12.58937144|0.8781281320000001|6034.895823|-389.4200163|611.4957509|15.7764728|1.0|1.0|1.0|0.0|3.48|3.49|0.26|-7.78|4.59|62.06|1.0|0.0|1.0|-4.44|29.0|5.0|-6.2|386.45|0.0|1.0|1.0|3.59|0.00793|3.46|0.0|1.66e-08|6.4e-06|2.76|3.8357|-1259.011598|635.47|1102.43|323.24|0.4049|228.47|488.89|0.68708|0.0921|-0.16055|3.9465|0.02659395|3.81|5.4191|5.4191
6f_a40|0|0|0.0|0.0|1|1|2|0.604893424|-0.01691341|-0.156988665|0|0.038309179|-0.122783873|-0.8287570679999999|-0.009302776|10.30179966|2|-0.008368734|0.048543494|0.092206207|-0.628934821|0|0.836826225|-0.032826285|0.742681934|0.655786513|-0.134203859|-0.130571562|0.363785804|-86.21963207|10.2782635|207.7174501|0.344213487|221.1408856|40.01876255|-55.39203581|92.77827871|-33.55442128|96.49789556|0.410805404|3021.330686|421.31181889999993|-21.5571287|0.137191276|6.993991456|11.87042702|0.69723213|7328.308886|-970.0707913999998|593.503189|8.892225517|1.0|0.0|1.0|2.0|4.05|2.53|0.21|-3.67|3.66|199.45|1.0|3.0|3.0|-6.95|30.0|5.0|-6.9|457.55|1.0|0.0|0.0|2.61|0.0105|3.09|0.0|0.0002109999999999|0.0967|6.96|2.57|-2426.972609|668.95|1139.55|482.43|0.2362|346.89|507.64|0.69911|0.0158|-0.1131799999999999|6.2384|0.04845403|42.0|7.3768|7.3768
4e_a46|0|0|0.0|0.092094405|1|1|1|0.300205548|-0.005995748|-0.370202917|2|0.041636905|-0.08224348|-0.4017151029999999|-0.001404912|10.31928077|1|0.002688298|-0.030065705|-0.049530834|-0.514537262|2|0.77019676|0.075271624|0.69063113|0.753715041|-0.0835371459999999|-0.084780904|0.68427144|-63.39469142|8.098142567|105.0139519|0.246284959|186.9007941|20.27041189|-48.10898007|73.87174786|-23.48867857|71.49283399|0.4753010039999999|3411.457836|571.9794684|-17.82509456|0.204892146|7.906917146|15.06943449|0.905854609|7615.063066|-1122.980957|942.2127953|9.533193534|1.0|0.0|1.0|2.0|4.5|2.68|0.27|-8.81|3.05|124.17|2.0|0.0|1.0|-6.08|35.0|6.0|-6.6|488.6|1.0|0.0|0.0|3.5|0.00191|3.78|0.0|1.56e-09|7.64e-07|8.03|4.1773|-1884.613031|757.1|1343.97|296.81|0.4814|292.1|655.69|0.56481|0.3109|-0.17112|1.9941|0.04805633|154.0|6.8125|6.8125
12bd_a36|1|0|3.497517322|0.0|0|2|2|1.297043358|-0.006695407|-0.045630197|2|0.04625323|0.025649557|-0.4017244129999999|0.003676818|10.94639828|1|0.0045625|-0.101854847|-0.169994208|-0.436345273|1|0.78699829|-0.011529973|0.857993338|0.832478093|-0.071083327|-0.099460046|0.279020022|-46.92083391|11.7156452|83.92365468|0.167521907|110.578217|0.0|-30.9716039|75.7932235|-23.44707102|58.63647911|0.475272043|2772.776922|549.5039111000001|-15.47699253|0.21755876|8.050812711|15.34283166|0.905749421|5957.939097|-866.7115819|729.1873176|10.14142465|1.0|0.0|0.0|2.0|4.95|0.0|0.21|-7.34|3.76|69.2|1.0|0.0|1.0|-4.54|31.0|4.0|-6.38|409.49|0.0|1.0|1.0|2.42|0.0102|3.41|0.0|4.55e-08|1.86e-05|3.79|3544.0|-1311.591775|706.26|1200.23|349.84|0.4467|319.66|568.94|0.7044100000000001|0.0058|-0.1459|5.7533|0.03110617|17.0|7.7696|7.7696
6_a15|0|0|0.0|0.0|0|0|0|1.419941278|-0.00951284|-0.048804012|1|0.042926829|0.106485923|-0.513693384|0.001080419|10.95880677|0|0.003942615|-0.195267558|-0.281352401|-0.35221474|1|0.691316481|0.0371776429999999|0.810779115|0.859308431|-0.07051817|-0.123000073|0.398681391|-41.14459066|17.20414198|105.4415725|0.140691569|82.0880213|55.65697829|-24.00625743|88.94853813|-17.94143141|58.34873264|0.3902945579999999|2454.904173|501.3728188|-10.46812265|0.4180252789999999|6.110075236|10.02135591|0.640136254|5589.043165|-544.3423775|592.4420375|17.18281248|1.0|1.0|1.0|1.0|3.29|4.03|0.23|-7.95|4.43|61.84|2.0|0.0|1.0|-5.66|28.0|5.0|-5.33|380.44|0.0|1.0|1.0|4.11|0.00278|4.64|0.0|1.13e-08|4.3e-06|3.94|3.7696|-1263.0243449999998|612.22|1092.02|328.9|0.2616|285.52|545.21|0.70554|0.0113|-0.15714|1.3789|0.01711539|35.0|7.4559|7.4559
18_a47|1|1|2.969619451|0.0|0|0|0|1.414391819|-0.004337918|-0.06345679|3|0.037919622|-0.026357805|-0.2342475789999999|0.0008454789999999|10.93838451|1|0.0015586929999999|-0.02470455|-0.053119347|-0.322800033|3|0.792196273|-0.059779939|0.630969651|0.777824025|-0.078937385|-0.084415066|0.454324931|-49.44908758|9.234746417|70.55642796|0.222175975|139.1786571|3.684585007|-30.97660579|63.72933669|-19.03697822|58.68383399|0.432077184|2800.3745940000003|487.2556678|-11.9254166|0.267251553|7.018342267|12.35791568|0.7608026529999999|6261.441874|-596.2708299|628.5247532999999|10.84884165|1.0|1.0|1.0|2.0|3.47|2.5|0.08|-10.36|5.53|79.38|2.0|0.0|0.0|-5.5|31.0|5.0|-5.87|410.45|1.0|0.0|1.0|4.16|0.00176|4.13|0.0|4.34e-11|1.78e-08|3.32|4.2222|-1354.221126|652.12|1130.76|293.65|0.4335|290.58|487.81|0.63359|0.0516|-0.17349|3.4464|0.04031146|3.0|8.6|8.6
