molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|DPSA5|DPSA3|TASA|WNSA4|FPSA1|GeomRadius|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C9 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
7_a1|0|0|0.0|0.0|1|2|1.348826331|2.307091837|-0.010040172|5.777652323|0.001018628|0.035718954|0.0|-0.421687222|0.0021597079999999|-0.07233584|10.9513015|1|1|0.004950534|-0.077833285|-0.391298966|-0.441054548|0.801577133|-0.042175602|0.862051935|0|0.710959153|-0.083362936|-0.098295453|0.289201649|0.035937867|17.31482297|111.9204437|0.289040847|-0.031040669|-22.81733634|8.342261787|61.72628137|57.47898976|342.53930230000003|-7.205474633|0.396617144|5.07667644|191.0896839|-273.8080361|24.78585294|0.029820838|-99.61948195|941.8624118|351.4191817|0.0|3.09|2.83|17.0|3.43|49.17|0.0|85.88|0.0|2.0|2.0|23.0|-6.4|305.33|1.0|1.0|2.72|213.0|0.000195|0.0595|0.0|4.0504|2.76|4.0504|-1009.48087|864.85|306.1|365.53|0.69902|0.69902|4575.0|-0.19167|0.02860499|-1009.398029|0.46|6.3372|6.3372
47s_a18|0|0|0.0|0.0|0|1|1.251176205|0.0|-0.0054038509999999|4.844187086|-0.045792331|0.035632184|0.0|-0.394481152|0.002573931|0.0134295589999999|10.94702059|0|0|0.003686393|-0.040169986|-0.252119673|-0.46304239|0.712629555|-0.0540701129999999|0.745196689|0|0.84543779|-0.070258863|-0.08106112|0.306379663|0.008446541|6.394119331000001|10.92659868|0.15456221|-0.030108416|-46.45326408|4.840414512|69.29837549|59.58080589|640.0051571|-17.25406952|0.179529145|9.811856136|135.90542109999998|-1207.784866|27.77963709|0.010481057|-485.1995077|1944.574596|1093.725912|0.0|4.41|0.0|18.0|4.06|76.5|3.0|149.34|0.0|1.0|10.0|36.0|-5.96|482.62|1.0|0.0|3.19|0.000539|3.53e-06|0.0017|0.0|3218.0|8.41|3218.0|-1534.174077|1435.42|385.29|736.36|0.6926800000000001|0.6926800000000001|2.3134|-0.18109|0.02195039|-1533.809351|616.0|6.2104|6.2104
4S4k_a46|0|0|0.0|0.173180233|1|1|1.134637098|2.145043462|-0.0049602|5.587248657999999|-0.088084767|0.0510113959999999|0.0|-0.252970193|0.006550513|-0.1149361969999999|10.94631314|1|1|0.006050983|-0.158788415|0.012963356|-0.3860697829999999|0.7477594870000001|-0.141706595|0.787615341|0|0.891734458|-0.089589915|-0.0860536609999999|0.199356973|0.007749296|4.1078333030000005|172.7607401|0.1082655419999999|-0.030477338|-24.18078772|2.177526049|49.42345536|51.59865384|472.7005375|-8.564028983|0.132090036|5.523352655|70.01975807|-411.0733912|18.61456563|0.007182108|-390.0516264|893.4991504000001|519.5743695|0.0|3.8|3.03|17.0|4.26|50.94|1.0|100.96|0.0|1.0|2.0|25.0|-5.46|333.43|1.0|1.0|3.79|5.0|1.4800000000000002e-05|0.0049299999999999|0.0|5.2854|4.52|4.0774|-1053.415665|997.07|234.58|487.43|0.5716|0.67893|2.2655|-0.1947|0.02628818|-1053.255345|197.0|6.7055|6.7055
6f_a40|0|0|0.0|0.0|1|1|0.604893424|1.750582483|-0.01691341|6.401917197|-0.156988665|0.038309179|0.737582436|-0.8287570679999999|-0.009302776|0.075227997|10.30179966|2|2|-0.008368734|-0.233222505|0.092206207|-0.628934821|0.836826225|-0.268802228|0.896373207|1|0.655786513|-0.134203859|-0.130571562|0.363785804|0.015998475|10.2782635|207.7174501|0.344213487|-0.052228625|-53.89282175|6.6032981820000005|92.77827871|96.49789556|421.31181889999993|-21.5571287|0.137191276|6.993991456|88.13890599|-970.0707913999998|38.88975659|0.013841059|-466.1748926|1750.039046|593.503189|1.0|4.05|2.53|14.0|3.66|199.45|1.0|124.54|1.0|3.0|5.0|30.0|-6.9|457.55|0.0|0.0|2.61|5.18e-05|2.3e-05|0.0105|1.0|3.5741|6.96|2.57|-2426.924155|1139.55|346.89|507.64|0.66642|0.69911|6.2384|-203.0|0.04845403|-2426.787111|42.0|7.3768|7.3768
12ay_a36|1|0|3.50559949|0.0|0|2|1.2970434|0.0|-0.006733838|5.351858133|-0.043778345|0.043383838|0.0|-0.404030255|0.003676818|0.012286423|10.9463292|1|1|0.0045625|0.1689021819999999|-0.169994208|-0.438622276|0.78699829|-0.111814717|0.833398429|0|0.829406408|-0.074251203|-0.098945129|0.419950383|0.018016934|11.67851857|126.7858133|0.170593592|-0.035337546|-41.57269314|7.569978132|74.29343346|59.80790901|537.618563|-14.84739041|0.221835195|6.466730436000001|143.79285900000002|-831.4538627999999|29.43551742|0.015670425|-360.6110621|1648.388976|729.1873176|0.0|4.96|0.0|17.0|3.76|69.2|1.0|133.68|0.0|1.0|5.0|31.0|-6.38|409.49|1.0|1.0|2.42|0.0117|2.5e-05|0.0102|0.0|3.9348|3.79|3.6561|-1311.547668|1184.45|315.09|532.22|0.6727|0.6914|6.2579|-0.2031599999999999|0.02880431|-1311.343228|18.0|7.7447|7.7447
20_a47|0|1|0.0|0.0|1|0|1.408721455|1.1934608|-0.011237762|4.727387819|-0.161476442|0.039520202|1.010373001|-0.505699304|-0.009220816|-0.052370531|10.95058273|1|1|-0.006342241|0.087325054|-0.297094867|-0.5332051720000001|0.7962508290000001|0.113432542|0.8575369009999999|1|0.6888286020000001|-0.083811055|-0.092005493|0.213977589|0.023587109|12.85623208|43.63174229999999|0.311171398|-0.032859105|-27.33327788|7.00733184|69.09296541|58.53772498|375.4483088|-9.761884958|0.404765791|7.022502229|220.6189341|-409.9991682|30.08893541|0.034758191|-103.815441|1263.735287|428.5826478|1.0|3.19|2.96|21.0|2.56|84.73|1.0|99.68|0.0|1.0|5.0|28.0|-6.75|380.35|0.0|1.0|3.09|0.0332|8.32e-05|0.0316|0.0|3.9808|4.08|3.9808|-1335.708279|964.94|311.45|426.08|0.68219|0.68219|3.1747|-0.22734|0.03389691|-1335.620783|3.0|8.6|8.6
1o_a5|1|0|2.923171926|0.0|0|0|1.427566509|0.0|-0.002633927|4.59511985|0.033105871|0.025987654|0.0|-0.1079910069999999|0.0057302559999999|-0.102739602|10.94518594|1|1|0.0051989459999999|-0.05876042|0.06759341|-0.231165601|0.78144982|-0.016408975|0.85693939|0|0.88430372|-0.079346457|-0.072886362|0.447318682|0.01325562|7.122612351|167.3051756|0.11569628|-0.028770932|-21.04383087|3.827177229|50.11479279|49.75766514|475.1609233|-8.306775343|0.300086449|7.522366517000001|161.2447749|-315.657463|22.08761368|0.020380352|-214.8381946|839.3293197999999|393.5487205|1.0|2.81|2.2|23.0|4.48|78.25|0.0|95.2|0.0|1.0|3.0|25.0|-6.3|323.35|0.0|1.0|2.95|0.0269|8.340000000000001e-05|27.0|0.0|4.5011|2.66|4.1692|-1043.536121|938.37|275.45|443.88|0.4988899999999999|0.5492100000000001|4.7435|-0.23973|0.04126499|-1043.472984|35.0|7.4559|7.4559
12b_a32|1|1|3.477905329|0.0|0|0|0.609420757|0.0|-0.009432679|5.733341277|-0.055500132|0.0388738739999999|2.153718992|-0.462201267|-0.003484915|-0.031446256|10.31100269|3|3|-0.001662219|-0.079768013|-0.1534110109999999|-0.584995111|0.838021287|-0.090027803|0.8887585240000001|1|0.782593|-0.081450418|-0.097525366|0.2996018789999999|0.016282332|10.17310723|90.57560878|0.217407|-0.027561517|-38.07076621|6.356098747000001|76.65746734|61.06285882|488.9595947|-10.75912958|0.39579391|7.076348793999999|247.2897528|-494.9199607|28.50066715|0.025166975|-130.2147289|1311.0306890000002|557.1050635|1.0|3.47|2.9|19.0|6.49|140.04|1.0|110.47|1.0|1.0|7.0|27.0|-6.4|397.52|0.0|1.0|3.59|0.000505|3.72e-05|0.0148|0.0|3.5703|4.12|3.5703|-1880.732075|1109.93|347.27|541.49|0.70258|0.70258|3208.0|-0.19976|0.0385132|-1880.599158|26.0|7585.0|7585.0
4g_a49|0|0|0.0|0.0|2|2|1.343847279|4.107873566|-0.003686314|6.107022888|-0.008414823|0.036761229|3.4246879480000003|-0.328081947|0.007953069|0.003456679|10.92777048|2|2|0.007845545|-0.146265064|-0.066023903|-0.311927917|0.7559263270000001|0.144740607|0.81242269|2|0.8601878270000001|-0.061465364|-0.0666753309999999|0.736530693|0.018944337|18.87757641|151.0705543|0.139812173|-0.0250032489999999|-66.20622488|18.81105094|90.11923831|80.12633309|857.1564845|-24.82733433|0.372642776|9.28937554|371.3295653|-1986.186746|39.71443299|0.023762615|-253.8168226|3177.154639|1714.878736|0.0|4.83|4.36|42.0|6.09|116.3|2.0|198.32|0.0|0.0|7.0|51.0|-6.6|663.73|0.0|0.0|5.23|2.24e-05|3.72e-08|2.47e-05|0.0|4.3116|6.35|3.6269|-2147.66293|1766.47|287.56|662.84|0.33449|0.69238|3.4099|-0.21545|0.05838924|-2147.295787|106.0|6.9747|6.9747
6_a3|0|0|0.0|0.0|0|0|0.605016564|0.0|-0.008934536|4.727387819|-0.106234254|0.038650794|2.000787282|-0.330577816|-0.007540435|0.05584062|10.3116226|1|1|-0.006696449|-0.0445675709999999|0.036673175|-0.594308852|0.790667152|0.055002252|0.8632654590000001|1|0.783322023|-0.1042506469999999|-0.098669224|0.556539611|0.010921391|5.449560482000001|236.2008316|0.216677977|-0.037726468|-24.56680878|2.7192240510000003|56.71997588|57.46859326|390.8623623|-9.393191593|0.19718501|5.498222293|98.39146166|-319.3685142|23.4484528|0.0150025189999999|-302.19751|797.2473951000001|353.7528308|1.0|3.05|2.65|21.0|4.96|92.93|1.0|95.5|0.0|1.0|2.0|23.0|-5.68|338.81|0.0|1.0|3.63|0.00124|1.34e-05|0.00455|0.0|5.8279|3.09|3.3963|-1731.7043199999998|884.88|212.74|366.93|0.3369|0.69323|2.8131|-0.21179|0.03079258|-1731.6508010000002|1778.0|5.7501|5.7501
