molecula|NaaNH|n9FaHRing|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|FNSA3|PBF|FPSA3|PNSA5|PPSA3|RNCS|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
5a_a40|0|0|1|8.149890544|0|0.604913477|-0.116583806|-0.004609716|0.059258947|-0.108428634|-0.152120625|0.180125135|10.31198338|-0.02394636|2|2|0.010425818|-0.191663433|0.004130836|0.007301856|-0.363338726|0.538671739|0.756882266|-0.442215721|0.820901326|1|-0.078132307|0.04987082|0.020641204|-40.27003217|9.135164355|174.99981530000002|4.042943749|52.43850484|0.8224652720000001|-1.091897544|46.06507254|0.4889874279999999|377.5905776|-483.24038600000006|508.8362301|0.177534728|5.507689573|10.7779923|0.956899016|3736.248815|-213.8673835|-285.426492|587.5511127|244.8873477|5.795040371|1.0|0.0|1.0|0.21|3.08|75.5|1.85|1.0|74.15|0.0|3.0|-4.13|19.0|269.32|1.0|1.0|2.8|-3.67|7.49e-05|0.0202|0.0|0.0|8.950000000000001e-05|4.36|3.7921|-1177.5835470000002|466.79|757.45|326.96|0.4461|326.96|353.51|0.69499|-0.15066|5.7163|0.01514427|81.0|7.0915
4n_a46|0|0|1|7.825245291|1|1.13463699|-0.061148449|-0.004696854|-0.036492128|-0.2264394139999999|-0.234842682|-0.144852516|10.94021058|-0.064683066|1|1|0.0042595609999999|-0.349865095|0.070558373|0.109017734|-0.369211845|0.741742667|0.722331115|-0.06655165|0.7681452190000001|0|-0.103381106|0.371438024|0.008424451|-47.16810275|4.629240193|172.8490949|2.543769935|0.0|0.863203663|-1.459248362|51.4039205|0.428896538|496.2788787|-801.8577467|2116.313581|0.136796337|5.666371466|9.921794991|0.750996215|4955.374473|-440.621256|-399.1612105|928.9322794|525.8291956999999|4.235817757|1.0|0.0|1.0|0.27|4.94|61.84|2.99|0.0|102.92|0.0|2.0|-5.43|26.0|343.42|1.0|1.0|3.9|-5.1|3.75e-06|0.00129|0.0|0.0|2.14e-07|4.57|3953.0|-1090.302556|578.83|1011.66|313.65|253.0|215.82|502.02|0.7025|-0.16641|6.2318|0.04131598|5194.0|5.2845
7b_a10|0|0|0|7.535296702|2|1.186434511|-0.170920618|-0.001621737|0.037541178|-0.060829392|-0.07459988|-0.01808249|10.93274506|0.039221939|0|0|0.010068964|-0.0982988509999999|-0.051052176|-0.082499103|-0.1874708719999999|0.624866343|0.764865564|-0.108464916|0.8200487120000001|1|-0.0590666679999999|0.5113525529999999|0.009734392|-37.45675757|5.061217187|13.37827368|2.6314862480000003|56.22969776|0.781045839|-1.152667458|43.9185573|0.446575367|480.6333417|-599.3081212000001|2150.375871|0.218954161|4.854451707|8.771658176|0.8069307729999999|5212.568172|-311.5991709|-292.2491701|767.3149142000001|459.0250226|6.46179973|1.0|0.0|1.0|0.25|3.03|41.38|3.04|1.0|105.44|0.0|2.0|-5.28|25.0|346.81|1.0|1.0|3.02|-5.28|5.29e-06|0.00183|0.0|0.0|1.0200000000000001e-07|3.44|3.6426|-1450.06366|562.31|951.55|340.37|0.1488|205.85|400.65|0.66228|-0.1584799999999999|4.2068|0.02946054|19.8|4.7033
4m_a46|0|0|1|7.825245291|1|1.134637002|-0.245599013|-0.000686578|0.051308728|-0.302054595|-0.0329557579999999|-0.142061192|10.94319657|0.007901235|1|1|0.010359417|-0.487230027|-0.017992096|-0.029022201|-0.098201489|0.615482006|0.747676221|-0.099662698|0.7975218959999999|0|-0.067320375|0.373463876|0.010905551|-35.43866734|5.74716122|6.161736337000001|3.028720082|35.77391986|0.733236381|-1.008702005|41.88525631|0.463006576|500.1036387|-531.5800101|1639.260563|0.266763619|5.329061873000001|9.923886653|0.8622201970000001|4750.325312|-280.1395315|-245.828396|724.9776792|486.9589609|6.446588969|1.0|0.0|1.0|0.29|4.63|54.5|2.5|0.0|98.69|0.0|2.0|-4.52|25.0|328.41|1.0|1.0|3.59|-4.57|2.99e-05|0.00981|0.0|0.0|1.31e-07|3.45|4.3476|-1031.109224|558.63|975.72|285.18|0.2465|205.21|468.63|0.68505|-0.18308|3.9226|0.02920209|1288.0|5.8901
13d_a5 (GW788388)|1|0|0|6.605297921|1|1.236844097|-0.0959854909999999|-0.005668173|-0.009710199|-0.092509033|-0.33442223|-0.086484275|10.94530363|0.024793388|1|1|0.003668464|-0.14893897|-0.010147323|-0.016337128|-0.3706975529999999|0.7333482170000001|0.78479342|0.024905619|0.834800344|0|-0.086824482|0.54169129|0.014571846|-55.87383979|9.637686167|151.3669372|6.374277851|44.69922692|0.669182121|-1.605106706|70.45205183|0.488398052|511.985152|-1061.602956|1377.863026|0.330817879|8.077599766|15.788837|0.954644629|6122.792779|-702.1345259999999|-223.7910275|1586.418589|723.0631751|14.57821204|0.0|1.0|1.0|0.2|4.11|92.79|1.37|0.0|121.68|0.0|6.0|-4.35|32.0|425.48|0.0|1.0|3.11|-4.35|4.429999999999999e-05|0.0189|0.0|0.0|1.45e-09|3.81|4.1706|-1390.548362|707.09|1206.73|297.28|0.5251|269.0|532.01|0.48848|-0.17299|2.4867|0.04130059|18.0|7.7447
8c_a32|1|1|0|7.765993078999999|0|0.609420757|0.080016722|-0.0093793719999999|-0.04699673|-0.026467635|-0.459589251|-0.026048985|10.31100269|-0.0682721729999999|3|3|-0.001662219|-0.047650724|-0.0852122769999999|-0.1534110109999999|-0.578242111|0.788133615|0.845443342|-0.024032462|0.8966299409999999|1|-0.076876481|0.263222951|0.016240436|-58.93213925|9.818219446|126.6561213|5.935643221|78.19443734|0.600684883|-1.267244762|74.36515033|0.447542891|484.6996147|-766.1178102000001|3038.837633|0.399315117|7.079719717000001|12.81496717|0.8100952690000001|5773.240734|-463.1595384|-121.7388847|1275.407176|557.1050635|15.43301109|1.0|1.0|1.0|0.26|4.19|140.04|1.1|0.0|110.47|1.0|7.0|-5.82|27.0|397.52|0.0|1.0|3.56|-4.39|1.5e-06|0.000597|0.0|0.0|2.23e-08|4.28|3.5673|-1880.733377|646.97|1090.0|347.56|0.3272|347.56|516.78|0.70135|-0.14712|8.4922|0.03115673|37.0|7.4318
5d_a40|0|0|1|8.149890544|0|0.6049133329999999|-0.071479892|-0.005662681|0.0418378229999999|-0.1031436519999999|-0.1868684619999999|0.2078052269999999|10.31198333|0.029272031|2|2|0.006642869|-0.259985037|-0.0038660009999999|-0.009744685|-0.399968083|0.496945486|0.8092726020000001|0.145024458|0.877722972|1|-0.086193996|0.049855551|0.022027556|-43.26473143|10.10860823|181.4728912|4.638915105|53.85026982|0.8111805740000001|-1.131332331|49.97858532|0.479931934|346.0207917|-519.1767771000001|511.3769101|0.188819426|6.288958592999999|12.09256826|0.922825231|4051.712713|-238.2540642|-285.606135|640.0261471|243.4287716|6.713853887999999|1.0|0.0|1.0|0.21|3.64|75.5|2.25|1.0|74.11|0.0|3.0|-4.23|20.0|287.31|1.0|1.0|3.1|-3.82|5.9e-05|17.0|0.0|0.0|4.7600000000000005e-05|4.61|3.7374|-1276.817151|473.48|765.69|331.74|0.4493|331.74|365.74|0.69613|-0.14851|7.0422|0.01667985|19.0|7.7212
5_a4|0|0|1|7.535296702|1|1.343864516|-0.196773454|-0.001215982|0.02257929|0.012532807|-0.0607990979999999|-0.050389825|10.92992834|-0.134215501|1|1|0.0111310589999999|0.0202481919999999|-0.0471580309999999|-0.076189222|-0.164263889|0.655087104|0.767615203|-0.165454845|0.820886786|1|-0.050732198|0.431132276|0.008047242|-36.64215945|4.324106888|13.96974087|2.323516519|46.53110402|0.807351587|-1.159259431|41.76764149|0.413773331|506.7916175|-622.9167106000001|1896.178084|0.192648413|5.758733969|9.823391314|0.7058248159999999|5059.243919|-334.71819839999995|-330.3047347|771.5556899000001|518.5792364|5.125482045|1.0|1.0|1.0|0.23|4.67|43.6|2.88|0.0|104.89|0.0|3.0|-4.57|26.0|340.42|1.0|1.0|3.89|-4.84|2.72e-05|0.00925|0.0|0.0|1.09e-08|3.71|4.0239|-1069.251223|595.55|1013.0|308.12|0.1106|255.2|421.24|0.6019899999999999|-0.16965|2.7859|0.02251645|71.0|7.1487
13_a15|0|0|0|0.0|1|1.4356889940000002|-0.139434143|-0.006348913|-0.031457366|-0.006938727|-0.393632585|-0.031047852|10.95980212|0.005149745|0|0|0.003766915|-0.010882979|-0.173728081|-0.272482143|-0.357554652|0.843715005|0.729838386|0.008210506|0.7784213259999999|0|-0.068526782|0.708462114|0.016196467|-61.86632281|10.21906987|142.67217639999998|6.447664726|0.0|0.755283433|-1.961070565|72.41636305|0.482317225|558.6934137000001|-1237.326456|3581.589629|0.244716567|5.21465994|10.07307988|0.931684902|7196.400881999999|-780.6841766|-322.1392954|1638.227985|830.7967967000001|10.55004024|1.0|1.0|1.0|0.07|6.69|59.51|2.52|0.0|138.24|0.0|6.0|-6.32|34.0|448.52|0.0|0.0|4.61|-6.1|4.77e-07|0.000214|0.0|0.0|1.27e-09|5.04|2.5721|-1450.727602|674.36|1231.11|482.03|208.0|314.52|549.33|0.70626|-0.11283|3.5479|0.02844037|6.0|8.2218
3g_a32|1|1|0|7.78113851|0|0.60942078|0.015803466|-0.006258272|-0.072619634|-0.058985916|-0.2816222539999999|-0.1154223269999999|10.31100273|-0.125170068|3|3|0.002565215|-0.105402305|-0.074808287|-0.133675401|-0.563371932|0.833981748|0.755211939|-0.1015732219999999|0.802214256|1|-0.070213101|0.273439311|0.0119962889999999|-54.47722347|6.647498326|42.56199385|3.683575459|0.0|0.8007401590000001|-1.278047464|60.55421302|0.447358137|491.89858160000006|-708.2039051|1886.244271|0.199259841|5.917878616|10.70834299|0.809490137|5058.622432|-392.4367329|-333.29803589999995|884.4366022|475.3634141|6.076989555|1.0|0.0|1.0|0.28|5.42|110.94|2.18|0.0|102.55|0.0|3.0|-7.09|24.0|354.49|0.0|1.0|4.61|-5.59|8.12e-08|2.88e-05|0.0|0.0|5.08e-08|4.13|3.5456|-1712.036238|593.24|998.86|349.68|0.2859|349.68|495.4|0.70275|-0.14715|3.3082|0.02384763|14.0|7.8539
