molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|MATS2c|SRW07|ATSC1c|AATSC1are|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|P-gp substrate|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
12aq_a36|1|0|0|3.427017327|0.0|0|7.412764017000001|2|0.0332421529999999|5.351858133|-0.674732412|-0.006653538|10.95447882|1|-0.004569485|0.131910912|-0.090926893|1|0.892815402|0.839953955|-0.0606936879999999|-0.047695595|0.849217847|0.681470612|-0.1093001919999999|-0.122078233|0.021389734|-73.0277723|14.29132551|86.6958382|0.318529388|212.8220574|-54.49698711|9.548598682|112.415579|-2.319486422|-48.79273723|87.31909781|0.426481765|-1549.740434|2906.024504|-19.17486584|0.238023252|8.596645087999999|14.98931431|0.743623723|6296.75201|-1035.442755|0.020701483|1.0|4.83|0.13|17.0|1.92|0.98|1.0|0.0|1.0|6.0|-3.52|32.0|5.0|-7.79|0.0|0.0|1.15|-3.45|129.0|0.000359|152.0|1.55|0.0|7.19e-07|0.000305|-0.06059|3.9049|3.3759|-1401.669694|-1401.637414|703.04|1190.22|367.26|0.4988|0.6933199999999999|0.7058300000000001|-1401.391057|0.0059|6.7649|-0.19967|0.03228003|-1401.452487|7.2596|7.2596
13c_a6|1|0|0|3.441255118|0.0|0|7.412764017000001|1|-0.046663393|5.351858133|-0.605286688|-0.003346018|10.95129637|1|-0.000899678|0.081059709|-0.174259072|1|0.845481322|0.780680481|0.085414885|-0.167542194|0.7995080809999999|0.786809832|-0.093635525|-0.111231609|0.030547186|-63.73961873|20.79409503|157.60887419999997|0.213190168|145.12291069999998|-51.54254258|14.15496611|567.1031411|-2.11340057|-43.38886312|84.53371376|0.466844407|-1438.635026|3135.546462|-18.47751526|0.2279674589999999|8.038175951|15.07660437|0.875625075|6204.855629|-979.308309|0.018354398|1.0|3.61|0.16|23.0|5.38|4.57|2.0|0.0|1.0|6.0|-5.95|32.0|5.0|-5.88|0.0|0.0|3.64|-5.27|0.000471|5.42e-06|0.00229|4.23|0.0|3.96e-10|1.68e-07|-0.05015|5.992000000000001|3.6519|-1389.39897|-1389.371325|719.8|1217.77|339.5|0.5471|0.48478|0.7008800000000001|-1389.122252|0.28|7.7129|-0.1999|0.0276450999999999|-1389.184603|7.1367|7.1367
16_a31|1|0|0|3.096824452|0.0|0|7.758333467000001|1|0.152128735|5.733341277|-0.726543099|-0.017017891|10.31170095|2|-0.0125582419999999|-0.0897217219999999|-0.09530799|0|0.951830892|0.8318419909999999|-0.038841601|0.0980869569999999|0.8944757390000001|0.546450126|-0.142079397|-0.150315165|0.0374314139999999|-66.9420327|17.63615984|130.369865|0.4535498739999999|213.694252|-33.36862997|8.309441139|467.7901274|-1.653466811|-31.54036284|84.57819254|0.427771627|-779.0463041|1212.615438|-11.12287666|0.26919564|5.521618837|9.649327262|0.747554032|4387.049328|-367.0549296|0.027684692|1.0|3.2|0.14|16.0|3.8|2.83|0.0|0.0|2.0|2.0|-4.36|21.0|4.0|-6.48|0.0|0.0|2.33|-3.6|0.0131|0.000254|0.0762|2.32|0.0|1.16e-05|0.00347|-0.0318899999999999|3.6596|3.6596|-1308.242314|-1308.202828|503.18|818.1|338.79|0.2534|0.70108|0.70108|-1308.113026|0.2534|3.7419|-0.1842|0.03948619|-1308.161433|7.0458|7.0458
3h_a32|1|1|1|3.579396967|0.0|0|7.765993078999999|0|0.01077056|5.733341277|-0.269379119|0.002101838|10.31100268|3|0.003284804|0.025035542|-0.122769653|0|0.84279263|0.7926338540000001|-0.169197453|-0.2|0.8030743229999999|0.87880263|-0.07183387|-0.0882883959999999|0.0111539339999999|-44.97387528|6.98327435|76.38838542|0.12119737|75.87946135|-34.60714056|4.372100625|0.0|-1.324325944|-28.15732254|51.95714963|0.4089962629999999|-829.1363044|2911.160989|-10.81473143|0.226505997|8.107034244|13.71739929|0.692036677|5187.525619|-519.1071084|0.011751781|1.0|3.65|0.35|19.0|8.11|6.24|2.0|0.0|1.0|7.0|-8.23|26.0|3.0|-4.29|1.0|0.0|5.4|-6.15|2.24e-06|7.140000000000001e-07|0.000273|6.12|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|3.5552|-1790.6908030000002|-1790.663897|676.22|1127.45|348.74|0.2926|0.70257|0.70257|-1790.440663|0.2926|3.5952|-0.20059|0.02690554|-1790.5004850000005|8.1549|8.1549
16b_a32|1|1|1|3.2902303|0.0|0|7.765993078999999|0|0.0873104119999999|5.733341277|-0.423467596|-0.008277865|10.31100078|3|-0.00180101|-0.023602065|-0.222700615|0|0.745820612|0.852956281|0.056127969|-0.098450203|0.6762731040000001|0.7465375040000001|-0.088716278|-0.1083060409999999|0.015808858|-56.84546999|10.12961779|53.96132589|0.253462496|162.40756509999997|-44.4669946|6.490611388|9.827907321|-1.624590613|-36.42406481|66.97508778|0.414997448|-1040.965864|3264.235184|-14.19159402|0.252363732|6.466656381|11.05406524|0.709394251|6612.089615999999|-667.0049190000001|0.017136832|1.0|3.71|0.28|19.0|5.4|4.88|1.0|1.0|1.0|7.0|-6.28|28.0|6.0|-6.72|1.0|0.0|3.26|-4.55|0.000225|2.84e-05|0.0123|3.14|0.0|2.54e-08|1.1e-05|-0.05946|3.6211|3.6211|-2315.990437|-2315.951437|676.92|1137.73|342.39|0.2849|0.70233|0.70233|-2315.757928|0.2849|4.4055|-0.2094099999999999|0.03900066|-2315.819979|7.7696|7.7696
13b_a30|0|0|0|0.0|0.0|0|7.412764017000001|2|0.112353041|5.351858133|-0.627919307|-0.003436924|10.31162842|1|-0.002215642|-0.062905093|0.006103754|1|0.841060094|0.836520136|-0.045844862|-0.0771674659999999|0.802578397|0.694101802|-0.109962789|-0.113554975|0.018555474|-74.24619275|12.52854078|385.2420923|0.305898198|206.54056530000005|-51.76819834|8.459192992|105.341977|-2.271099499|-50.13056864|86.77473353|0.454574838|-1533.432289|2319.48655|-19.53516918|0.1997091339999999|8.804739699999999|16.1428924|0.8334321|6627.406474|-1035.363967|0.017174033|1.0|4.76|0.13|17.0|3.04|1.72|1.0|0.0|1.0|6.0|-5.01|32.0|5.0|-7.05|0.0|0.0|1.91|-4.3|0.00427|5e-05|0.0221|2.74|0.0|6.520000000000001e-07|0.000288|-0.05434|5.0501|3.5056|-1744.492044|-1744.446479|721.48|1210.94|353.68|0.2783|0.32563|0.6862699999999999|-1744.2179010000002|0.1415|3.8495|-0.20313|0.0455651|-1744.281763|7.5901|7.5901
6d_a40|0|0|0|0.0|0.0|1|8.421342866|1|0.12627602|6.401917197|-0.722057579|-0.005066797|10.30179973|2|-0.00448098|-0.249967637|-0.0603134|0|0.6224555620000001|0.8361555479999999|-0.039077432|-0.289988439|0.604211552|0.663670372|-0.115007564|-0.119563634|0.017359149|-73.59650182|11.10859664|192.5638526|0.336329628|215.22657540000003|-48.96216855|7.108696385|38.04267542|-2.15214542|-47.09642482|84.70509846|0.428134701|-1377.2170210000002|3212.360755|-20.49579149|0.13994759|6.908972922999999|12.08146906|0.7486635420000001|7436.576348|-881.3190339|0.01400787|0.0|3.98|0.21|14.0|4.8|3.63|2.0|1.0|2.0|5.0|-7.21|30.0|6.0|-6.36|1.0|0.0|3.43|-5.15|2.85e-05|7.1e-06|0.00327|3.87|0.0|4.9e-05|0.0226|-0.09462|2.9559|2.9559|-2470.82949|-2470.793925|656.5|1111.69|419.45|0.3518|0.6624800000000001|0.6624800000000001|-2470.62267|0.3518|7.8884|-214.0|0.03556489|-2470.684323|8.9208|8.9208
9_a47|0|0|0|0.0|0.0|0|0.0|0|0.00410268|0.0|-0.382556052|-0.009607222|10.93671087|0|-0.007880155|-0.091848897|-0.045757939|2|0.7033922579999999|0.792070785|0.046690958|0.075092937|0.689770023|0.805149969|-0.084368438|-0.0969292319999999|0.009540986|-44.13640712|4.991260197|107.3271659|0.194850031|101.9336202|-26.52703503|2.611122094|0.0|-1.550867715|-23.08946904|49.12766732|0.482896681|-811.319145|1333.091472|-10.10553715|0.209348023|5.653392499|10.93281031|0.93384951|5212.504394|-424.4325604|0.015793737|1.0|2.87|0.05|22.0|4.61|5.61|1.0|0.0|1.0|3.0|-5.37|26.0|4.0|-5.26|0.0|0.0|4.09|-5.2|0.00148|6.3e-06|0.00218|4.43|0.0|3.4000000000000003e-09|1.17e-06|-0.05037|5.7429|3.7183|-1149.090086|-1149.055456|566.1|959.59|333.44|0.2294|0.3885099999999999|0.69084|-1148.896866|0.2208|2.2966|-0.20488|0.03463008|-1148.949486|7.6|7.6
7f_a10|0|0|0|0.0|-4.8022906380000006|1|7.535296702|1|0.103083789|5.4161004020000005|-0.5663456689999999|0.00189949|10.92948443|1|0.0030999659999999|-0.309622111|-0.172751862|2|0.5371733989999999|0.796084921|-0.009545801|-0.137271684|0.5209683970000001|0.931773786|-0.064238302|-0.095196098|0.00797443|-35.78096407|4.441786155|15.96885516|0.068226214|38.0022453|-29.53487321|2.474090768|0.3440879|-1.713529756|-19.93012491|40.22275023|0.402568457|-954.4422004|2375.702381|-11.31122804|0.178213448|6.115784565|10.23679556|0.6738319429999999|7070.755931000001|-531.6277179|0.012813716|1.0|3.37|0.23|21.0|5.07|6.57|2.0|0.0|1.0|4.0|-5.54|30.0|7.0|-5.47|1.0|0.0|4.39|-5.6|0.00119|2.52e-06|0.00103|4.7|0.0|7.38e-09|3.03e-06|-0.0613|5.7757|3.6256|-1442.216293|-1442.200124|597.28|1034.38|341.96|348.0|0.34467|0.6833600000000001|-1442.001311|0.0191|2.2631|-0.2175699999999999|0.01616879|-1442.058773|6.8508|6.8508
12m_a36|1|0|0|3.40403699|0.0|0|7.412764017000001|2|0.013543656|5.351858133|-0.667165917|-0.006653538|10.95440733|1|-0.004569485|0.245908938|-0.090926893|1|0.892815402|0.825587924|-0.075712087|-0.064035403|0.849217847|0.711961428|-0.10031651|-0.121074678|0.022725561|-67.27772044|15.24099981|42.78660249|0.288038572|193.174369|-54.45666327|10.22144534|107.233999|-2.300418875|-45.120107|82.51872026|0.465323422|-1542.786306|2637.948424|-19.16067782|0.252881876|7.312794835|13.67704354|0.8702895190000001|6434.374756|-1034.676602|0.0222467879999999|1.0|4.83|0.13|17.0|1.92|0.98|1.0|0.0|1.0|6.0|-4.1|32.0|5.0|-7.39|0.0|0.0|1.26|-3.8|0.0338|0.000159|0.0676|2.11|0.0|7.19e-07|0.000305|-0.05114|3.8658|3.8658|-1401.654499|-1401.6158890000002|692.4|1177.15|320.72|0.4718|0.69382|0.69382|-1401.385923|0.4718|6.5789|-0.20993|0.03861003|-1401.446557|7.5229|7.5229
47s_a18|0|0|0|0.0|0.0|0|7.03438793|1|0.026229332|4.844187086|-0.394481152|0.002573931|10.94702059|0|0.003686393|-0.040169986|-0.252119673|0|0.724028067|0.712629555|0.0109557919999999|-0.0540701129999999|0.716761234|0.84543779|-0.070258863|-0.08106112|0.008446541|-53.18668656|6.394119331000001|10.92659868|0.15456221|117.0051929|-46.45326408|4.840414512|51.05656345|-2.107589125|-40.26287221|59.58080589|0.4740142|-1595.466781|1529.863965|-17.25406952|0.179529145|9.811856136|18.65422248|0.901192009|6968.705069|-1207.784866|0.010481057|1.0|4.41|0.3|18.0|4.06|3.93|3.0|0.0|1.0|10.0|-5.95|36.0|3.0|-5.96|0.0|1.0|3.19|-5.45|0.000539|3.53e-06|0.0017|4.62|0.0|3.8199999999999997e-10|1.84e-07|-0.0491399999999999|3218.0|3218.0|-1534.196027|-1534.174077|809.4|1435.42|385.29|0.5203|0.6926800000000001|0.6926800000000001|-1533.737579|0.5203|2.3134|-0.18109|0.02195039|-1533.809351|6.2104|6.2104
2_a4|0|0|0|0.0|0.0|0|6.605297921|1|-0.072708147|4.59511985|-0.269140683|-0.001386521|10.95268469|0|-0.0016168089999999|0.127695325|0.228655117|1|0.930871261|0.802438682|0.11821091|0.1355918559999999|0.912872667|0.742518847|-0.117395215|-0.105102755|0.006330673|-49.45826819|2.667094277|166.102249|0.257481153|108.4760726|-18.65482233|1.123639184|0.0|-1.366335816|-20.83662681|52.12536246|0.3961813179999999|-575.6333682|910.3327882|-6.736463618999999|0.156892292|4.710383035|7.800989232999999|0.656126301|3396.86527|-242.5126903|0.011054731|1.0|3.33|0.27|12.0|2.12|0.83|0.0|0.0|2.0|2.0|-2.18|19.0|4.0|-6.69|0.0|1.0|1.24|-2.77|1.67|0.00171|434.0|1.62|0.0|1.4800000000000002e-05|0.00374|-0.01612|5.8961|3.2230000000000003|-819.9326497000001|-819.8996124|458.73|764.77|384.69|0.1315|0.4682|0.6885600000000001|-819.771754|0.0008|1.7717|-0.16226|0.033037353|-819.8174190000001|7.5086|7.5086
12a_a5|1|0|0|2.981252568|0.0|0|7.139660336|1|-0.256282289|5.209486153|-0.09350376|0.00873078|10.94553751|1|0.008649556|-0.006024869|-0.093973419|2|0.762866363|0.779533861|0.1121034509999999|-0.063558439|0.741588813|0.894590896|-0.058605038|-0.067680123|0.0081891369999999|-36.01436435|5.032443973|13.74268646|0.105409104|64.77671525|-25.55893402|3.0925714930000003|0.0|-1.353602454|-22.13179066|41.04680832|0.457755771|-831.8249311000001|899.5599904|-9.830359239|0.253214907|8.741980056000001|16.12184989|0.844187448|5294.775577|-511.1786804|0.014342828|1.0|3.06|0.21|23.0|5.12|4.26|1.0|0.0|1.0|5.0|-4.27|29.0|4.0|-6.23|0.0|1.0|3.58|-4.59|0.0205|2.56e-05|0.00977|3.38|0.0|1.4800000000000003e-09|5.660000000000001e-07|-0.04076|4.6865|4.1610000000000005|-1202.02622|-1201.990542|667.31|1140.24|297.97|0.4794|0.50831|0.67169|-1201.750315|0.0296|2.5642|-0.21228|0.03567816|-1201.8082029999998|7.7212|7.7212
