molecula|SddssS|NaaNH|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|MATS1c|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|PBF|RPSA|FNSA4|WNSA5|WPSA3|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
16_a31|0.0|1|0|3.096824452|7.758333467000001|1|1|0.61013894|0.0|0.152128735|-0.020181753|5.733341277|-0.186617888|0|0.042528736|-0.050076586|0.0|-0.726543099|-0.017017891|-0.00795845|0.06214876|-0.0125582419999999|-0.60894688|0.951830892|0.8318419909999999|-0.038841601|0.8948140790000001|0.8944757390000001|0|0.29485045|0.4535498739999999|-0.050105055|-33.36862997|8.309441139|-31.54036284|83.86629191|-23.60746376|84.57819254|2071.962924|257.4650715|-11.12287666|0.26919564|9.649327262|4387.049328|-367.0549296|0.027684692|1066.012118|280.39844320000003|1.0|1.0|2.0|1.93|2.83|114.29|0.78|0.0|0.0|80.57|2.0|2.0|-6.48|300.34|0.0|1.0|2.33|-3.6|4.38e-05|0.0131|0.000254|0.0762|2.32|0.0|0.00347|3.6596|3.6596|-1308.242314|-1308.202828|818.1|338.79|338.79|369.73|0.70108|0.70108|-0.1842|-1308.161433|5.5943|7.0458|7.0458
12ar_a36|0.0|1|0|3.46014932|7.412764017000001|2|2|1.297042582|0.0|-0.064363806|-0.007046017|5.351858133|0.000258844|2|0.040839506|0.083451772|0.0|-0.40866901|0.000939229|-0.1073795209999999|-0.036002609|0.002112069|-0.4194638229999999|0.86559137|0.8371588959999999|-0.017348015|0.89459881|0.8196353679999999|0|0.317338373|0.163457134|-0.0347392029999999|-45.46486105|10.30986449|-37.18892821|82.17472548|-23.57370143|69.99622854|2902.67985|567.6702443|-15.99689556|0.294408813|16.68371115|6155.432771|-863.83236|0.0223636779999999|1804.132337|708.5476357999999|0.0|0.0|2.0|0.0|1.95|92.99|1.59|1.0|0.0|133.27|1.0|6.0|-7.21|420.47|0.0|0.0|1.8|-3.91|0.0001199999999999|0.0503|0.000122|0.0515|2.33|0.0|3.76e-05|5225.0|3.8489|-1364.511244|-1364.467971|1211.1|322.13|237.29|580.53|0.41433|0.67174|-0.21291|-1364.2977050000002|8.7322|7.6021|7.6021
47j_a18|0.0|0|0|0.0|7.03438793|1|1|1.251176464|0.0|0.070097424|-0.007807275|4.844187086|-0.068902246|0|0.033563218|-0.048528478|0.0|-0.569931053|0.00031105|-0.006923502|0.0033281|0.002317206|-0.48833504|0.783538352|0.7444236670000001|-0.002262399|0.77844379|0.757001264|0|0.476575952|0.19348155|-0.033837212|-57.32800549|9.661420661|-44.19607713|86.31641604|-26.32095773|69.23713027|3172.831382|627.366638|-20.47428768|0.235574938|18.50538303|7316.123159000001|-1433.2001369999998|0.016220875|2410.265089|1081.726154|1.0|1.0|3.0|0.0|2.82|97.76|2.63|3.0|2.0|149.96|1.0|11.0|-6.46|499.6|0.0|0.0|2.39|-5.14|1.49e-06|0.000743|7.32e-06|0.00366|4.07|0.0|8.159999999999999e-07|3.1054|3.1054|-1625.445572|-1625.413107|1459.55|399.25|399.25|776.31|0.6983600000000001|0.6983600000000001|-0.17273|1625.053346|5.2118|7.4559|7.4559
16_a4|0.0|0|0|0.0|7.535296702|1|1|1.398650725|1.843196334|-0.219944434|-0.00228637|5.4161004020000005|-0.095499301|1|0.04501634|0.007101649|0.0|-0.089168424|0.0067511459999999|-0.148022089|0.019290123|0.006466406|-0.214481956|0.490768328|0.774455255|-0.0894138519999999|0.8366279120000001|0.482473457|0|0.292255386|0.210153891|-0.033372358|-19.42906425|3.330045338|-17.789707500000002|45.11883447|-16.43666742|42.88070889|2101.6948030000003|389.0176968|-8.095443438|0.167538305|10.19502391|4520.2597670000005|-291.4359638|0.0115138339999999|710.807513|322.8922084|0.0|0.0|0.0|3.08|4.96|30.71|3.44|1.0|0.0|85.02|1.0|2.0|-5.64|309.31|1.0|1.0|3.91|-4.43|0.0001199999999999|0.0371|3.68e-05|0.0114|3.59|0.0|0.000134|4511.0|4.2257|-1057.494456|-1057.478071|856.55|293.41|274.85|407.99|0.51149|0.54061|-0.2134|-1057.429593|1.9873|6.4647|6.4647
41_a18|0.0|0|0|0.0|7.03438793|2|2|1.251176562|0.0|0.115127295|-0.007587553|4.844187086|-0.059936864|1|0.038034188|-0.089781154|0.0|-0.500778516|-0.0034878|0.022493846|0.0212700929999999|-0.002136837|-0.5421253970000001|0.759941674|0.733589101|-0.032217299|0.774395455|0.745631286|0|0.3888308139999999|0.2650611539999999|-0.037381065|-41.89408289|4.488448275|-47.95199341|65.83786886|-25.62671923|76.49358329|2899.29167|503.8398786|-17.56848637|0.0967605159999999|17.13823195|6605.095612|-1089.246155|0.006896617|1759.064589|897.5188662|1.0|1.0|3.0|0.0|2.7|99.28|2.94|2.0|1.0|141.34|1.0|6.0|-6.38|452.55|0.0|1.0|2.53|-5.02|2.76e-06|0.00125|9.49e-06|0.0042899999999999|3.78|0.0|1.89e-06|3.2123|3.2123|-1454.374793|-1454.3467460000002|1294.52|385.97|385.97|576.83|0.69308|0.69308|-0.1814599999999999|-1454.045308|2721.0|6433.0|6433.0
9g_a24|0.0|1|0|2.931798469|7.273092596000001|0|0|1.427608366|1.7647373919999998|-0.318471716|-0.00106361|5.283203728999999|0.001126633|2|0.0279797979999999|-0.162313932|0.0|-0.0425444|0.0144065739999999|0.070915465|-0.02471184|0.013119312|-0.079421802|0.683676657|0.7931626959999999|0.13372961|0.859302479|0.657503038|0|0.383340003|0.132863247|-0.021297745|-16.07665151|4.593165278|-15.87288497|49.25777584|-10.53790724|41.36311977|2123.257348|429.0504306|-5.214049137|0.518073552|10.69818114|4355.725609|-192.9198181|0.033884884|809.0499476|341.3207334|1.0|1.0|1.0|1.78|2.93|72.28|0.64|0.0|0.0|87.53|1.0|3.0|-7.17|302.33|1.0|0.0|1.93|-3.09|0.00323|977.0|0.0008179999999999|247.0|1.37|0.0|0.000113|5.2521|4.2802|-984.5891383|-984.5565078|879.99|289.67|236.07|400.47|0.4227399999999999|0.64993|-0.21391|-984.497752|4.4131|7.1675|7.1675
12i _a30|0.0|0|0|0.0|7.412764017000001|2|2|0.604984133|0.0|0.04580336|-0.00691453|5.351858133|-0.030422458|2|0.043848238|-0.0982344169999999|0.0|-0.366470081|0.00372838|0.0109710489999999|-0.072247675|0.003603419|-0.469854551|0.8264832879999999|0.831176513|-0.029080032|0.888213143|0.7463962120000001|0|0.356921662|0.156570866|-0.037414255|-41.13938837|6.740110893|-32.64875738|72.59006433|-24.43015511|60.32320054|2860.704198|550.7287204|-15.95200773|0.193700903|15.56818082|6362.153853|-781.648379|0.014680721|1484.657003|652.8825454|0.0|0.0|1.0|0.0|3.27|81.65|3.31|2.0|0.0|132.29|1.0|5.0|-5.75|432.93|0.0|1.0|3.11|-5.44|1.19e-06|0.0005139999999999|3.61e-06|0.00156|4.49|0.0|2.61e-05|5.0358|3.5242|-2035.373964|-2035.339603|1167.27|351.81|246.2|542.74|0.43157|0.68497|-0.2041|-2035.203042|3.0033|7.8013|7.8013
8j_a46|0.0|0|0|0.0|7.727094485|1|1|1.160371125|2.1279894180000003|-0.13040237|-0.0017688329999999|5.533389489|-0.008523199|2|0.043903904|-0.129276363|0.0|-0.081366324|0.011852046|-0.174853546|-0.053618988|0.0108603019999999|-0.229679821|0.645146311|0.789844634|-0.223292257|0.837678812|0.6109926379999999|0|0.308052557|0.065351579|-0.02566383|-19.90219786|2.5024620580000003|-15.7861518|41.80044861|-13.78596018|34.04593326|2121.846387|502.0694817|-7.405468973|0.177887481|9.817783823|4759.107832|-318.43516580000005|0.008843828|721.0646647000001|453.1959065|0.0|1.0|0.0|3.25|4.55|43.6|2.62|1.0|1.0|96.94|1.0|2.0|-5.55|338.83|1.0|1.0|3.82|-4.83|2.59e-05|0.00878|1.47e-05|0.00497|3.97|0.0|1.85e-05|4.9636|4.4107|-1414.53151|-1414.50743|978.4|281.1|249.79|493.89|0.50703|0.70121|-0.22599|-1414.402087|6.4463|5.9108|5.9108
5_a18 (BIBF0775)|0.0|0|0|0.0|7.03438793|2|2|1.251175715|0.0|0.0160123|-0.005220163|4.844187086|-0.015946718|1|0.035478927|-0.0366107389999999|0.0|-0.391512249|0.002526619|0.0002403959999999|-0.022817602|0.0036739159999999|-0.453086741|0.7140745620000001|0.7395978390000001|-0.001626287|0.774859029|0.7061155790000001|0|0.420002762|0.156764132|-0.029755876|-44.61038661|4.846666751|-39.33277643|67.25977848|-22.46761997|58.5107823|3115.979466|636.6978809999999|-16.96451322|0.184058942|18.98829281|7221.114573000001|-1204.480438|0.010831199|1955.044427|1140.896548|1.0|1.0|2.0|0.0|3.69|76.5|3.52|3.0|1.0|155.95|1.0|8.0|-5.96|494.63|1.0|0.0|3.2|-5.72|8.590000000000001e-07|0.000425|1.91e-06|0.000946|4.73|0.0|3.06e-07|3.2027|3.2027|-1572.313227|-1572.290174|1446.02|378.13|378.13|691.68|0.69298|0.69298|-0.18092|-1571.914419|2.8009|7.4685|7.4685
4j_a46|0.0|0|0|0.0|7.825245291|1|1|1.134637093|2.194310043|-0.175292207|-0.002284836|5.587248657999999|-0.012405467|1|0.048126615|-0.0529855709999999|0.0|-0.130235627|0.011968098|-0.1051618459999999|-0.176133068|0.011684396|-0.226712003|0.72796254|0.7298040140000001|-0.061823242|0.763724435|0.728293097|0|0.295221643|0.0501066629999999|-0.024805825|-25.95898597|5.205103062|-20.66606288|50.26191521|-14.65075732|43.80358011|2260.870095|561.0237355|-8.652995323999999|0.223067683|10.49957018|5077.124695|-467.2617475|0.0106831269999999|1018.288052|642.1335502000001|1.0|1.0|0.0|3.9|5.33|39.94|3.28|2.0|0.0|110.24|1.0|4.0|-5.09|361.48|1.0|1.0|4.5|-5.31|4.16e-06|0.0015|4.86e-06|0.00176|4.81|0.0|7.33e-06|5.3949|4.4093|-1132.043677|-1132.018764|1112.13|281.19|229.82|572.31|0.37853|0.69413|-0.20071|-1131.817578|3.8105|6.0942|6.0942
