molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|SaasN|AATSC1c|AATSC1s|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|FNSA2|WNSA3|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12a_a40|0.0|0|0|0|0.0|1|7.515889085|0|1.784989449|-0.00431394|-0.012791297|0.8332127109999999|-0.14667395|0.01039129|0.100414476|-0.226763788|2|0.007890601|0.031326603|-0.4764003679999999|0|0.718281767|-0.375724138|0.525051106|1|-0.064340227|-0.074840643|0.011766311|-32.81611621|-38.17175304|6.001293955|107.5277007|0.059120235|30.15370934|-0.033799|3.060902482|-1.047769006|-16.73754566|38.81741016|2185.594734|479.8867095|600.1247016|-8.792513441|7.563170499|14.43505064|0.908597808|20.24838026|0.010759845|-358.4254366|627.699788|323.26151960000004|5.487955617999999|1.0|0.0|1.0|0.0|0.0|3.39|0.0|58.43|1.0|0.0|91.76|1.0|2.0|-4.56|0.0|1.0|1.0|4.78|3.86e-07|1.13e-06|5.43|0.0|1.0|-0.08015|3.0966|5.01|3.0966|-2097.8163050000003|875.15|0.3701|0.6998800000000001|-2097.7296100000003|-0.12895|2491.0|-0.2091|0.0104658999999999|-2097.779499|3.8054|1778.0|5.7501
19a_a22|0.0|0|0|0|0.0|1|6.842683282|0|1.572240489|-0.009145283|-0.144269652|1.545757986|-0.548716971|-0.002607064|-0.011513343|0.016501913|1|-0.001355145|-0.0611158559999999|-0.496053375|2|0.777600172|0.0271939039999999|0.699744887|1|-0.090145161|-0.09370213|0.024839714|-67.26339083|-69.91748544|18.53458775|373.8201781|0.255645265|190.7541925|-0.035138299|13.82990734|-1.967744721|-50.18975739|85.79797858|3167.140147|555.4133255|2607.322873|-19.56380872|8.648671382|15.30120355|0.76919701|38.29242013|0.025888799|-275.6435167|2144.375527|781.8210659|19.31738094|1.0|1.0|1.0|1.0|1.0|2.27|0.08|128.68|1.0|0.0|132.15|1.0|6.0|-7.67|0.0|0.0|0.0|2.36|4.16e-05|7.69e-05|2.05|0.0|0.0|-0.06398|5.0397|5.69|3.5809|-1537.0241640000002|1277.14|0.2218|0.34556|-1536.756515|-0.1508|4.5288|-0.21478|0.04718381|-1536.823574|6.5658|48.0|7.3188
18a_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.0|-0.006673169|-0.02919335|0.0|-0.353677943|0.005050384|-0.01286191|-0.094932667|1|0.005458948|-0.094526372|-0.452377064|1|0.7885597609999999|-0.171895425|0.7961424690000001|0|-0.072474599|-0.095397479|0.017060045|-45.11907802|-59.38972262|10.62073502|79.18861306|0.14081879|87.66676984|-0.036990859|6.611941026|-1.812552105|-28.08889239|55.73981304|2721.874248|534.88346|2814.429655|-14.33650253|7.050626413|12.72666325|0.8050400790000001|29.1318055|0.016012295|-361.7006453|1427.458469|620.9195447000001|9.968457988|1.0|0.0|1.0|1.0|0.0|0.0|0.14|81.65|2.0|0.0|127.28|1.0|4.0|-5.98|0.0|0.0|0.0|2.63|5.23e-06|1.4e-05|3.87|0.0|0.0|-0.05605|3.4712|3.82|3.4712|-1575.755101|1120.46|0.3781|0.69033|-1575.54671|-0.1418|4.2514|-0.19785|0.03180853|-1575.604922|5.2813|25.0|7.6108
46_a18|0.0|0|0|0|0.0|0|7.03438793|2|0.0|-0.005378956|-0.018808538|0.0|-0.3872848129999999|0.002300582|-0.0669031009999999|-0.052591109|0|0.003512954|-0.224171123|-0.448177615|0|0.729629263|-0.090469229|0.699483099|0|-0.069742249|-0.076485888|0.008975181|-49.54738918|-54.33831169|6.376289807000001|0.946462387|0.173455401|123.2289237|-0.029244604|4.5299444310000005|-1.988633091|-35.20023815|55.92367899|3052.94234|587.2068577|1848.661552|-14.76030741|8.980343774|16.47206875|0.8342358790000001|26.56039822|0.013181412|-401.0164861|1806.107079|1056.535856|9.36454702|0.0|1.0|0.0|1.0|1.0|0.0|0.3|76.5|2.0|1.0|151.14|1.0|3.0|-6.14|0.0|1.0|0.0|2.93|2.08e-06|3.35e-06|4.36|0.0|0.0|-0.04995|3225.0|8.11|3225.0|-1532.968527|1380.79|0.4249|0.69181|-1532.493789|-0.13224|2656.0|-0.18219|0.0239301|-1532.562476|3.2533|186.0|6.7305
12at_a36|0.0|1|0|0|0.0|0|7.412764017000001|2|0.0|-0.010886502|-0.073048351|0.0|-0.653190113|-0.001148437|-0.076129505|-0.037590959|1|0.000906224|-0.227404687|-0.48127276|1|0.8384626709999999|-0.063825255|0.7767870459999999|0|-0.084721769|-0.110637955|0.029516069|-58.66704838|-76.61315774|20.43891035|95.16663336|0.248143308|171.8311073|-0.037537878|14.1532755|-2.102121151|-40.6250081|79.10595873|3041.832389|520.6361161|2388.600265|-17.99981985|8.837213274|17.44496351|0.974034457|38.54110857|0.027424543|-241.591008|2158.30208|735.3783268|18.99059683|1.0|0.0|0.0|1.0|0.0|0.0|0.17|95.5|1.0|0.0|135.03|1.0|6.0|-7.18|0.0|0.0|0.0|1.76|6.579999999999999e-05|8.36e-05|2.53|0.0|0.0|-0.05703|4.7133|4.5|3.8408|-1460.797444|1238.61|0.4765|0.42968|-1460.549244|-0.15607|6.4676|-0.2131|0.03651452|-1460.61293|8.9532|78.0|7.1079
4j_a46|0.0|0|0|0|0.19521727|1|7.825245291|1|2.194310043|-0.002284836|-0.012405467|0.0|-0.130235627|0.011968098|-0.1051618459999999|-0.176133068|1|0.011684396|-0.087688953|-0.226712003|1|0.7298040140000001|-0.258222236|0.728293097|0|-0.05924408|-0.074417476|0.01492164|-34.99059698|-43.95227197|8.812983129|70.56141095|0.0501066629999999|29.59387777|-0.024805825|5.205103062|-1.339514565|-20.66606288|43.80358011|2260.870095|561.0237355|2563.282153|-8.652995323999999|6.274010655|10.49957018|0.673502127|18.85718615|0.0106831269999999|-327.122208|1018.288052|642.1335502000001|6.30964324|0.0|1.0|1.0|1.0|1.0|3.9|0.39|39.94|2.0|0.0|110.24|1.0|3.0|-5.09|0.0|1.0|1.0|4.5|4.16e-06|4.86e-06|4.81|0.0|0.0|-0.01684|5.3949|4.93|4.4093|-1132.018764|1112.13|0.2783|0.37853|-1131.761156|-0.18387|2.9043|-0.20071|0.02491327|-1131.817578|3.8105|805.0|6.0942
16g_a32|0.0|1|1|1|0.0|0|7.765993078999999|0|0.0|-0.013775701|-0.0429252429999999|2.084553994|-0.771439265|-0.002456725|-0.029193403|0.004735761|3|-0.00030659|-0.202656848|-0.696926204|0|0.83902731|0.008494733|0.762429418|1|-0.078387439|-0.105500574|0.023959586|-57.77542509|-77.75914881|17.659402|90.88837862|0.1793577589999999|132.1955522|-0.033839807|13.01585399|-1.79350976|-42.58335004|75.43482709|2833.521937|604.8539801|3497.469035|-18.38320476|9.3963701|15.58880229|0.65902387|36.34043182|0.02276861|-274.67233460000006|1926.042887|701.9321161|16.78159325|1.0|1.0|1.0|1.0|1.0|3.42|0.33|149.27|3.0|0.0|121.56|1.0|5.0|-5.69|1.0|0.0|1.0|4.37|3.08e-08|4.83e-06|4.65|0.0|0.0|-0.05|3.6161|5.38|3.6161|-2034.593036|1245.25|0.2879|0.70222|-2034.342619|-0.14968|3.7346|-0.19968|0.02895494|-2034.408165|4.3204|11.0|7.9586
19_a34|0.0|0|0|0|0.0|1|7.412764017000001|1|1.898101852|-0.013066507|-0.169170251|0.0|-0.5357267960000001|-0.00802652|-0.143343425|-0.014196676|1|-0.0042364759999999|-0.401414514|-0.469568766|1|0.8022000659999999|-0.0235903339999999|0.818710955|0|-0.112877411|-0.1255804019999999|0.039589023|-56.30608209|-62.64265252|19.74799697|131.5318459|0.360097548|179.6256831|-0.039656969|9.850795895|-1.506964829|-28.08688512|76.05407906|2127.363207|319.1993829|1537.244187|-9.86770272|5.495780422|10.31797048|0.877434994|29.86894781|0.029554695|-161.90813300000002|1135.020017|337.9440349|14.74262256|0.0|1.0|0.0|1.0|1.0|2.77|0.18|69.4|0.0|0.0|83.95|2.0|5.0|-7.01|0.0|1.0|1.0|2.1|0.00186|0.000704|1.66|0.0|0.0|-0.02901|4.1721|2.7|4.1721|-1046.5747720000002|882.87|0.2189|0.6897300000000001|-1046.458335|-0.1735|3.4272|-0.20251|0.03168624|-1046.509891|5.0441|0.99|6.0044
18a_a22|0.0|0|0|0|0.0|1|6.842683282|0|1.854982521|-0.003488994|-0.018344659|1.6891461019999998|-0.19538364|0.007066388|-0.021976395|-0.015194063|1|0.007079018|-0.147724859|-0.296897301|2|0.7329701259999999|-0.027029438|0.722009212|1|-0.050645213|-0.076119803|0.01713283|-34.36220678|-51.6464295|11.62443251|29.59800426|0.073464296|49.84469832|-0.029276847|7.887046626|-1.5223960559999998|-23.31437056|45.98663929|2898.068989|628.6440468999999|2213.859172|-13.47750813|7.037677899|13.72951861|0.950859191|27.95908297|0.0193879289999999|-285.5992506|1453.872315|730.9420477000001|13.15449139|1.0|1.0|1.0|1.0|1.0|3.17|0.08|100.61|2.0|1.0|131.64|1.0|4.0|-6.28|0.0|0.0|1.0|3.9|2.59e-06|6.98e-06|3.78|0.0|0.0|-0.0706799999999999|5.0214|3.69|3.4832|-1691.2957760000002|1211.84|0.3174|0.35107|-1691.036502|-0.1408|3851.0|-0.21148|0.01932946|-1691.097989|5.3946|13.0|7.8861
9c_a31|0.0|1|0|0|0.0|0|7.765993078999999|1|0.0|-0.013082561|-0.055520387|0.0|-0.6933757159999999|-0.003618466|-0.1047269419999999|-0.062737615|2|-0.000813398|-0.223856622|-0.546598398|0|0.842823186|-0.108617754|0.770283733|0|-0.103325018|-0.128097622|0.030296721|-65.84728287|-81.63444414|19.30758668|153.5739377|0.325309894|207.3144829|-0.035867334|12.30439782|-1.7933667130000002|-41.96335759|85.15486955|2592.448925|429.9685721|2242.189942|-14.56678943|8.188627935|15.04941978|0.837843885|34.07943198|0.024456662|-217.5897278|1703.9715989999995|583.9691392000001|15.58581614|1.0|1.0|1.0|1.0|1.0|3.09|0.35|117.37|2.0|0.0|108.16|1.0|5.0|-6.53|0.0|0.0|1.0|3.32|5.85e-06|6.94e-05|3.1|0.0|0.0|-0.03249|3849.0|4.94|3849.0|-1618.115927|1147.93|0.2554|0.7007399999999999|-1617.892493|-0.15975|1.3617|-0.19224|0.04177078|-1617.9568470000002|2.2323|0.42|6.3768
