molecula|NaaNH|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|P-gp substrate|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
1l_a5|1|2.964063799|0.0|0|6.605297921|0|1.270375394|0.0|4.59511985|-0.0052651969999999|2|-0.111303801|0.008244856|-0.019865028|-0.05139414|1|0.007613233|-0.179824092|0.0271820189999999|0.043915678|-0.21108114|0.7245669790000001|-0.174469948|0.71872376|0|-0.068685233|-0.067755283|0.357062421|0.0078543119999999|-38.79937717|4.43679678|167.86839980000002|0.109710998|61.974288|-0.026512937|-21.62050954|2.506287665|0.769406114|-1.219595099|45.64819758|-14.9768065|43.23617395|0.47265823|2227.730859|502.9124512|-688.9330988|0.230593886|7.401206343999999|14.03493287|4665.793689|130.25942849999998|-389.1691717|19.46541135|0.013054186|895.4089219|518.5792364|1.0|1.0|23.0|-8.83|2.57|1.0|0.0|105.07|0.0|1.0|3.0|-5.4|340.42|1.0|9.06e-06|0.00308|1.04e-05|0.00356|4.19|0.0|5.02e-07|3.89|-1069.261615|-1069.229786|609.85|283.95|486.81|0.57392|-1069.047151|187.0|-0.1779|-0.21939|0.03182983|-1069.101032|3.3694|7.4949|7.4949
19e_a38|1|3.376977671|0.0|0|7.412764017000001|2|1.297043576|0.0|5.351858133|-0.10490608|2|0.021678225|-0.001197042|-0.104569193|-0.038386106|1|0.000347207|0.045449529|-0.091460175|-0.191751024|-0.436305701|0.723755855|0.04818471|0.700181525|0|-0.083623427|-0.10214405|0.552393659|0.02118651|-56.34606212|14.27562164|118.734325|0.223437407|150.553721|-0.03783113|-46.37503972|9.619015829|0.749190974|-2.042881001|82.37885703|-25.49088538|70.62168376|0.4655978389999999|2920.436229|523.2534216|-1376.50781|0.250809026|6.596408983|12.34352977|6531.762734|168.99691289999998|-927.5007945|34.02454948|0.020114756|1837.325672|696.3887025|0.0|1.0|17.0|-7.28|2.75|2.0|0.0|135.78|0.0|1.0|4.0|-6.39|427.48|0.0|1.15e-05|0.0049|1.89e-05|0.00807|3.55|0.0|2.25e-05|4.08|-1409.582478|-1409.547647|685.34|321.31|532.67|0.58509|-1409.315831|0.3738|-0.15584|-0.20723|0.03483011|-1409.37733|8.0952|8.0083|8.0083
14x_a23|0|0.0|0.0|2|7.423568444|0|1.197963189|3.101221922|5.351858133|-0.111315218|2|0.05740118|0.003379755|-0.075184011|-0.0229244|2|0.003906274|0.160327487|-0.073958723|-0.206574435|-0.443633823|0.5788469970000001|-0.035031888|0.558482531|1|-0.0708831479999999|-0.084244058|0.229141189|0.022095943|-46.97594633|14.64350681|42.44114495|0.223171139|147.90081730000003|-0.034056109|-37.00022522|9.704599953|0.722211323|-1.6006371069999998|70.40248829|-22.56979253|61.61945314|0.468120981|3071.48868|514.8229467|-1060.780249|0.277788677|7.777802167999999|14.62325432|6989.569075|184.0971574|-703.0042792|31.25095356|0.0219879679999999|1468.794817|597.2903597999999|0.0|1.0|26.0|-7.93|3.78|2.0|1.0|120.2|0.0|1.0|6.0|-6.35|447.46|0.0|2.09e-06|0.0009369999999999|5.41e-06|0.00242|3.78|0.0|5.23e-06|3.97|-1828.393372|-1828.371718|675.21|335.63|537.48|0.62836|-1828.168422|0.3057|-0.15259|-0.23475|0.02165405|-1828.228912|8.1916|8.4949|8.4949
8k_a46|0|0.0|0.1337610719999999|1|7.727094485|1|0.300205953|2.105349622|5.533389489|-0.380857136|2|-0.061030265|-0.002099764|-0.114070359|-0.038125|1|0.002202734|-0.1017929319999999|-0.030019362|-0.050069565|-0.510222233|0.73768327|0.095179795|0.687020939|0|-0.08638304|-0.0863473759999999|0.400181795|0.009441365|-61.98124174|6.774333772|104.0919365|0.261823161|187.86239430000003|-0.033099828|-44.45419269|4.860695117|0.8265691140000001|-1.985989657|70.036452|-23.74966689|68.75557551|0.4938768979999999|3351.548891|529.6539372999999|-1424.980013|0.173430886|8.070811215|15.94634031|7352.280688|124.4394929|-1022.446432|28.73282642|0.0112621819999999|1723.969585|865.6610153999999|0.0|1.0|23.0|-8.66|1.86|1.0|0.0|132.47|0.0|1.0|6.0|-6.75|474.58|0.0|1.82e-06|0.000866|7.47e-06|0.00355|3.45|0.0|1.03e-06|7.63|-1845.304274|-1845.257085|742.04|302.15|642.39|0.5577300000000001|-1844.970617|0.1166|-0.16967|-0.20954|0.04718819|-1845.037411|3.8107|6.8327|6.8327
14d_a23|0|0.0|0.0|2|7.423568444|0|1.197963465|3.405551724|5.351858133|-0.026530366|2|0.03253552|0.01269616|-0.019307114|-0.054430189|2|0.01180744|0.059486662|-0.074441567|-0.136106024|-0.4483522929999999|0.725800261|0.006563565|0.6906097959999999|1|-0.053736319|-0.078282292|0.213597535|0.018596017|-35.40917327|12.25371621|39.26987634|0.078305538|51.59888942|-0.032878563|-33.99063559|8.074501042|0.790346608|-1.6439281280000002|61.49227899|-21.66510006|47.66288948|0.454495683|2878.955374|607.3441532|-1083.255003|0.209653392|7.832720777|14.358677900000002|6459.554383|138.1496441|-713.8033475|27.41215037|0.015037275|1370.607518|666.0036144999999|0.0|1.0|26.0|-7.78|3.24|2.0|1.0|125.25|0.0|1.0|4.0|-6.1|425.51|0.0|1.43e-06|0.000608|5.61e-06|0.0023899999999999|3.94|0.0|7.03e-06|3.79|-1669.24571|-1669.224874|696.21|3688.0|554.84|8.1555|-1668.983743|336.18|-0.14894|-0.22152|0.02083626|-1669.045136|8.1555|8.4001|8.4001
9g_a24|1|2.931798469|0.0|1|7.273092596000001|0|1.427608366|1.7647373919999998|5.283203728999999|0.001126633|2|-0.162313932|0.0144065739999999|0.070915465|-0.02471184|2|0.013119312|-0.292600863|-0.0273623029999999|-0.049325609|-0.079421802|0.683676657|0.13372961|0.657503038|0|-0.064835725|-0.065668047|0.383340003|0.01876163|-32.080056199999994|9.283063574|174.88817269999998|0.132863247|65.73938109|-0.021297745|-16.07665151|4.593165278|0.4819264479999999|-0.788016565|49.25777584|-10.53790724|41.36311977|0.427531635|2123.257348|429.0504306|-389.9025677|0.518073552|6.124370267000001|10.69818114|4355.725609|256.3375151|-192.9198181|21.8662148|0.033884884|809.0499476|341.3207334|1.0|1.0|22.0|-6.43|0.64|0.0|0.0|87.53|0.0|1.0|4.0|-7.17|302.33|1.0|0.00323|977.0|0.0008179999999999|247.0|1.37|0.0|0.000113|0.75|-984.5891383|-984.5565078|524.03|289.67|400.47|0.64993|-984.447764|0.1023|-0.17806|-0.21391|0.032630457|-984.497752|4.4131|7.1675|7.1675
3_a20 (SB-525334)|1|3.502142227|-0.08980269|0|6.880384082000001|0|1.183765089|0.0|4.727387819|-0.053897691|2|0.001821898|0.001924142|-0.175513234|-0.119584218|1|0.0033523629999999|0.002992397|-0.169090412|-0.277724429|-0.500412918|0.818922083|0.087932573|0.7835436240000001|1|-0.061128029|-0.0917096759999999|0.246005838|0.0123308269999999|-34.52869143|6.965173618|43.70154849|0.1243352319999999|70.23182172|-0.029269046|-29.26136697|3.934338039|0.784910502|-1.375645142|58.45718743|-16.53287135|41.49386505|0.457398769|2243.481559|494.6267525|-777.0449536|0.215089498|5.943823875|10.9543133|4905.195832|121.495147|-438.9205046|21.06338405|0.0117802769999999|989.9790502999998|520.6749407|1.0|1.0|21.0|-8.39|1.69|1.0|0.0|104.59|0.0|1.0|4.0|-5.74|343.42|1.0|1.42e-05|0.00489|1.88e-05|0.00647|3.74|0.0|1.4e-06|3.9|-1086.585811|-1086.56485|605.71|390.77|498.74|0.70168|-1086.329436|0.1171|-0.13417|-0.20131|0.02096048|-1086.383308|4.8164|6.7905|6.7905
15b_a50|0|0.0|0.0|2|7.934155233999999|1|1.353059441|4.112770601|5.82008293|-0.05484142|1|-0.103807905|0.004641091|-0.06083723|-0.124047802|2|0.005203263|-0.17223348|-0.131737048|-0.2185722769999999|-0.310946931|0.79846758|0.000882622|0.764606364|1|-0.082576068|-0.080700307|0.447220762|0.020083792|-47.20879251|11.48191704|274.85729960000003|0.179086516|102.3838797|-0.028069672|-26.37622116|6.564219549|0.639017342|-1.291204916|60.03646705|-16.04745006|58.69070955|0.478989976|2441.264256|469.3167805|-738.1827030000001|0.3609826579999999|6.89125222|13.22671714|5205.2135960000005|206.3740238|-422.0195386|25.11269883|0.024313507|1155.184146|510.3677388|1.0|1.0|20.0|-5.72|1.66|1.0|0.0|105.46|0.0|2.0|4.0|-6.98|357.41|1.0|0.000654|0.2339999999999999|0.000249|0.0891|2.11|0.0|0.000687|2.08|-1160.4989460000002|-1160.463663|613.37|305.67|475.99|0.65917|-1160.275856|0.1796|-0.16737|-0.20071|0.03528279|-1160.330621|9.3788|7.1024|7.1024
6e_a40|0|0.0|0.0|1|8.421342866|1|0.604892975|1.75595616|6.401917197|-0.074872854|0|-0.15110197|-0.0026177839999999|0.103594243|-0.205140551|2|-0.002992481|-0.276969278|-0.020200684|-0.037027769|-0.6319354389999999|0.685858263|-0.011405885|0.648802794|1|-0.107312598|-0.1164147119999999|0.376602018|0.015875595|-70.52033811|10.43262695|185.1473293|0.25379524|166.7812216|-0.04873174|-50.27304895|6.85578763|0.866991176|-2.095464821|84.95203628|-32.02400144|80.95296505|0.441911406|3075.060648|490.3675161000001|-1377.032062|0.133008824|6.972949117000001|12.49434084|7585.605268000001|87.40658058|-904.9148811|36.93694043|0.012858969|1588.2884390000002|587.7345677999999|0.0|0.0|14.0|-4.63|2.12|2.0|2.0|125.15|1.0|2.0|5.0|-6.09|476.98|0.0|1.74e-08|8.31e-06|2.6e-06|0.00124|4.4|1.0|0.0112|8.35|-2831.191706|-2831.156883|671.95|419.59|537.07|0.67187|-2830.986514|0.3625|-0.1195799999999999|-0.2164|0.03482243|-2831.048968|11.5248|7.7447|7.7447
12h_a40|0|0.0|0.0|1|7.515889085|0|0.60499064|1.760542171|5.4161004020000005|-0.107711573|0|0.208938531|-0.000134504|0.189869851|-0.21893421|2|-0.002126898|0.367928263|0.127299624|0.224167029|-0.556229094|0.809398262|0.116873629|0.6948809659999999|1|-0.0954337969999999|-0.091448888|0.006997021|0.0117142839999999|-50.45378559|6.193088525|208.6717565|0.160518251|84.86252967|-0.038796498|-25.56004046|3.274152035|0.844008584|-1.280284432|54.9311782|-20.51086984|56.64687411|0.4958138139999999|2270.834041|443.8158546|-676.8587047999999|0.155991416|7.989299324|15.84593062|5087.343024|82.46928995|-357.8405665|24.30173133|0.012453938|801.957134|350.9435025|0.0|1.0|20.0|-6.84|3.76|2.0|1.0|96.16|0.0|1.0|2.0|-5.13|361.25|0.0|5.58e-07|0.0002009999999999|2.61e-06|0.000942|4.75|0.0|5.2e-05|4.14|-2153.207198|-2153.186757|548.82|469.0|435.95|0.7041|-2153.072091|0.3693|-0.1092|-0.18432|0.02044063|-2153.123274|3.5425|6.0846|6.0846
