molecula|NaaNH|n9FaHRing|SaaNH|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|GRAVp|TASA|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
15b_a50|0|1|0.0|2|7.934155233999999|1|1.353059441|4.112770601|-0.144363623|-0.0045393|-0.05484142|1|0.032843915|-0.103807905|-0.22696498|0.004641091|-0.06083723|10.94501702|2|2|-0.310946931|1|0.79846758|0.000882622|0.8833003970000001|0.764606364|1|0.8209134840000001|-0.082576068|-0.080700307|0.020083792|-47.20879251|-46.13641893|274.85729960000003|-0.028069672|6.564219549|0.0|-1.291204916|-26.98929785|2441.264256|469.3167805|0.3609826579999999|13.22671714|0.919348867|5205.2135960000005|206.3740238|25.11269883|0.024313507|-158.95261259999998|1155.184146|510.3677388|13.90004811|1.0|1.0|1.0|3.56|2.11|0.19|20.0|3.26|68.76|1.66|0.0|105.46|2.0|5.0|27.0|4.0|-6.98|357.41|1.0|1.0|2.37|0.000654|0.2339999999999999|0.000249|0.0|1.92e-06|-0.0333399999999999|-1160.4989460000002|1035.3|305.67|0.1796|305.67|475.99|-1160.275856|0.1796|-0.16737|-0.20071|0.03528279|-1160.330621|9.3788|79.0|7.1024|7.1024
8f_a8|1|0|2.939511291|1|7.05012252|0|1.394802091|1.241306689|0.024051247|-0.01032134|-0.249095464|0|0.043758865|0.0587545909999999|-0.485102985|-0.007796225|-0.08540947|10.94343488|1|1|-0.5373378529999999|0|0.578166105|-0.016217844|0.751162751|0.56916135|0|0.5968139689999999|-0.122135295|-0.1064257719999999|0.013566221|-71.22071405|-62.06002501|317.0847898|-0.048375351|4.613060521|67.99102163|-2.128515439|-41.53091131|2622.044457|348.0199311|0.09422952|13.81994609|0.8416059290000001|5948.547713|54.94802877|31.14376424|0.009226445|-473.23361|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|3.14|2.85|0.0|23.0|4.72|80.88|4.11|0.0|105.27|1.0|4.0|29.0|4.0|-5.98|391.37|0.0|0.0|4.04|6.11e-06|0.0023899999999999|1.01e-05|0.0|1.13e-08|-0.0675299999999999|-1361.658484|1022.89|355.5|0.3188|263.65|477.92|-1361.455053|0.1659|-0.14532|-0.21285|0.03173623|-1361.510739|7.8014|22.76|4.6428|4.6428
15a_a50|0|1|0.0|2|7.934155233999999|1|1.3530592819999998|4.126145086|-0.113976703|-0.004429392|-0.06317118|1|0.035694444|-0.0446629609999999|-0.234757789|0.005366038|-0.15010386|10.94500663|2|2|-0.325638639|1|0.797917311|-0.051676609|0.8749408470000001|0.76745052|1|0.837789896|-0.0783960279999999|-0.084501726|0.018014615|-46.91098865|-50.56454577|275.287923|-0.029316925|6.450390922|0.0|-1.436529349|-28.07082095|2503.770258|501.3207109|0.294589405|14.65582885|0.8103580690000001|5401.219537|176.277812|24.86892274|0.018747341|-245.8291419|1218.577214|569.5267957000001|11.21812301|0.0|1.0|1.0|3.7|2.63|0.23|20.0|3.57|68.76|1.87|0.0|110.43|1.0|5.0|28.0|4.0|-6.78|371.44|1.0|1.0|2.76|0.000251|0.0933|0.0001189999999999|0.0|8.070000000000001e-07|-0.03255|-1199.818129|1091.64|306.83|0.1767|306.83|519.38|-1199.572081|0.1767|-0.16693|-0.19948|0.03314629|-1199.629702|9.0948|41.0|7.3872|7.3872
11f_a5|1|0|2.967866825|0|6.605297921|1|1.370797007|0.0|-0.251797205|-0.0037371509999999|0.022233547|3|0.021060606|-0.083432989|-0.227966183|0.00722997|-0.178881726|10.94877949|1|1|-0.230681941|2|0.785419245|-0.008110526|0.800575032|0.750555185|0|0.847356138|-0.068361657|-0.074612137|0.0221464629999999|-47.57801621|-51.92819555|70.39517801|-0.022252743|10.72733576|13.29510896|-1.268406334|-33.11311829|2853.401015|589.7388387999999|0.489052404|18.03905985|0.8628345190000001|5969.213977|340.3683339|30.31104695|0.030351311|-15.23851001|1727.7296760000002|753.9168511|21.12375879|0.0|1.0|1.0|3.35|2.87|0.24|23.0|3.53|76.16|1.03|0.0|126.79|1.0|7.0|32.0|6.0|-6.99|427.5|1.0|0.0|2.95|0.000112|0.0477|5.479999999999999e-05|0.0|2.12e-09|-0.03862|-1391.7602960000002|1239.35|299.8|0.5834|278.47|579.1|-1391.444853|0.1834|-0.1691|-0.20772|0.03804804|-1391.50739|2.9697|12.0|7.9208|7.9208
1l_a5|1|0|2.964063799|0|6.605297921|0|1.270375394|0.0|-0.244609612|-0.00183668|-0.0052651969999999|2|0.025672515|-0.111303801|-0.089997343|0.008244856|-0.019865028|10.94421389|1|1|-0.21108114|2|0.7245669790000001|-0.174469948|0.818803517|0.71872376|0|0.890289002|-0.068685233|-0.067755283|0.0078543119999999|-38.79937717|-38.27406105|167.86839980000002|-0.026512937|2.506287665|0.0|-1.219595099|-21.91725365|2227.730859|502.9124512|0.230593886|14.03493287|0.896303416|4665.793689|130.25942849999998|19.46541135|0.013054186|-304.3678822|895.4089219|518.5792364|7.374136537999999|1.0|1.0|1.0|2.98|2.67|0.14|23.0|5.32|54.46|2.57|0.0|105.07|1.0|4.0|26.0|3.0|-5.4|340.42|1.0|1.0|4.06|9.06e-06|0.00308|1.04e-05|0.0|1.4800000000000003e-09|-0.04149|-1069.261615|1033.47|283.95|0.4921|267.19|486.81|-1069.047151|187.0|-0.1779|-0.21939|0.03182983|-1069.101032|3.3694|32.0|7.4949|7.4949
14aa_a23|0|1|0.0|2|7.423568444|0|1.19796312|3.4143268310000003|0.066582026|-0.005050361|-0.026892547|2|0.046678487|0.031136154|-0.287870566|0.013012022|-0.029037128|10.313217300000002|2|2|-0.4506138879999999|2|0.725358161|0.055269665|0.8072028240000001|0.693959193|1|0.924108042|-0.052155763|-0.076107469|0.018016316|-35.51947393|-51.83122853|40.49537336|-0.03159178|8.355923226|83.27171526|-1.6743643259999998|-24.18971469|2941.302235|629.3423691|0.203340553|15.78173785|0.972590939|6651.23042|138.4803717|27.00633206|0.013786041|-404.0660854|1431.335599|733.3886349999999|9.388663605|0.0|1.0|1.0|3.63|3.68|0.12|26.0|4.63|105.02|3.45|1.0|130.22|1.0|5.0|32.0|4.0|-5.92|439.54|0.0|0.0|4.1|5.9e-07|0.000259|2.81e-06|0.0|6.9799999999999995e-09|-0.0708299999999999|-1708.5626|1231.11|345.03|0.4157|345.03|588.45|-1708.276011|0.4157|-0.1449|-0.21573|0.02033777|-1708.338059|8.3532|4.0|8451.0|8451.0
12_a15|0|0|0.0|0|0.0|0|1.435689014|0.0|-0.071096525|-0.006620824|-0.0455566929999999|2|0.034285714|-0.035728911|-0.370766171|0.001740635|-0.106061273|10.95973444|0|0|-0.380490701|2|0.8310685940000001|0.049877871|0.769289315|0.7933685340000001|0|0.89637291|-0.061084417|-0.094209248|0.015018226|-39.00359933|-60.15445365|72.18361893|-0.031995594|6.123040777999999|4.192089814|-1.695766456|-24.90456371|2613.57759|572.3516967|0.253510603|10.40571107|0.909927213|5897.820841|161.8714956|27.36785616|0.016453962|-314.7766363|1450.496376|673.7288405|10.50617745|1.0|1.0|1.0|3.56|3.73|0.12|24.0|6.3|56.27|2.87|0.0|119.95|1.0|6.0|30.0|4.0|-4.97|397.47|0.0|1.0|4.7|5.99e-07|0.0002379999999999|1.47e-06|0.0|1.51e-10|-0.03196|-1281.087109|1177.81|321.72|0.1374|276.63|585.26|-1280.810963|0.0093|-0.15858|-0.19054|0.02694613|-1280.871722|6.0547|4.0|8.3979|8.3979
20b_a10|0|0|0.0|1|7.535296702|1|1.343837209|2.103422978|0.048567614|-0.007463406|-0.073703704|2|0.035818182|-0.030238422|-0.447804373|0.001965496|-0.042013549|10.92966143|1|1|-0.450145946|2|0.725009545|0.052265135|0.817426568|0.6980623109999999|1|0.75259177|-0.094975935|-0.088479815|0.013038163|-60.68950774|-56.53849503|81.39248686|-0.033783202|5.323735696|91.02309592|-1.85807612|-38.78052212|3085.433676|480.905232|0.238378673|13.838742600000002|0.8317951020000001|7173.225184999999|152.3236842|28.34404003|0.0171045989999999|-334.3514234|1558.922202|769.1246171|10.92981783|1.0|1.0|1.0|3.54|3.15|0.11|27.0|5.0|95.92|2.41|0.0|129.73|1.0|5.0|34.0|5.0|-6.53|447.49|0.0|1.0|3.66|6.05e-06|0.00271|8.13e-06|0.0|1.1699999999999999e-09|-0.0578399999999999|-1465.62724|1218.74|317.8|0.2782|208.89|482.93|-1465.333983|0.1382|-0.16388|-0.2217199999999999|0.03930765|-1465.395231|7.7954|1.1|5.9586|5.9586
5e_a40|0|0|0.0|1|8.149890544|0|0.604912776|1.661964758|-0.091305805|-0.004925115|0.0601021459999999|0|0.044526749|-0.106497535|-0.162528785|0.009890343|0.158430496|10.31198323|2|2|-0.391074665|0|0.535506399|-0.402340487|0.877722972|0.5087199929999999|1|0.864422751|-0.076883794|-0.089724264|0.019851304|-36.56222854|-42.66853738|170.7311133|-0.035889706|4.489363277|51.7148695|-1.076691165|-17.38723451|1986.384601|411.0778166|0.177640532|12.51197289|0.914944155|4158.984115|84.47727896|20.75420252|0.012921086|-306.597267|622.6260756|264.9899736|6.144645946|1.0|0.0|0.0|3.03|2.73|0.21|14.0|3.74|75.5|2.37|1.0|79.16|2.0|3.0|20.0|3.0|-5.66|303.77|1.0|1.0|3.33|1.66e-05|0.00505|5.56e-05|0.0|2.23e-05|-0.07231|-1637.197299|802.38|333.85|0.5262|333.85|390.33|-1637.115238|0.5262|-0.14786|-0.2201699999999999|0.01659566|-1637.162552|10282.0|25.0|7.6021|7.6021
4c_a46|0|0|0.0|1|7.825245291|1|1.134637091|2.137504882|-0.068543882|-0.005085922|-0.048990529|1|0.0440307329999999|-0.111750026|-0.300069396|0.010177371|-0.051150771|10.94298307|1|1|-0.421467037|1|0.649753668|0.072412685|0.761921603|0.65145414|0|0.890777395|-0.063644365|-0.087503927|0.013924723|-40.22007179|-55.2981278|35.22734468|-0.029688832|5.56099297|53.13410852|-1.662574604|-25.41708422|2455.604167|562.9269925|0.159246215|13.06174141|0.8211086059999999|5571.088357|100.6356847|22.31552819|0.008510983|-430.6788754|1249.669579|696.2528933|5.378517586|1.0|1.0|1.0|4.09|3.8|0.38|17.0|5.24|57.01|3.4|0.0|115.03|1.0|5.0|29.0|4.0|-5.39|389.49|1.0|0.0|4.44|2.8e-06|0.00109|5.3e-06|0.0|2.39e-08|-0.04381|-1245.4159619999998|1176.07|302.21|0.2296|227.16|617.56|-1245.114575|0.2083|-0.17085|-0.21466|0.02299741|-1245.176359|5.4491|2008.0|5.6972|5.6972
