molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC7i|AATSC1i|BIC2|MATS8s|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|TPSA_x|WPSA3|WNSA3|GeomPetitjeanIndex|GRAVp|PNSA2|FPSA1|GeomRadius|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
12b_a5|0.0|0|0|0|0.0|0.0|6.605297921|2|0.0|-0.001991527|4.59511985|3|-0.021265946|-0.1214831359999999|0.0068803119999999|-0.119503073|10.94620104|-0.016614746|0|-0.033279992|-0.110182753|0.779793078|0.066588785|0|0.827613693|-0.066227158|0.350286421|0.016556707|-41.76622313|10.44150403|108.7155967|6.584944956|-26.33991037|0.480419002|2602.046823|-735.3231872|0.4696203889999999|8.398709622|-463.7323032|24.32296891|-38.31786425|1386.409228|727.8586176|16.27715102|1.0|1.0|0.0|0.33|-7.67|3.29|50.28|1.0|0.0|123.46|5.0|6.0|397.47|1.0|0.0|-3.45|0.00503|2.0|0.000359|143.0|0.0|0.0|8.5e-06|-0.10395|4.6156|2.24|1.4454|669.05|1149.51|857.76|505.16|0.42949|0.03447919|-1276.9984029999998|7.3768
16_a47|0.0|1|1|1|2.890539668|0.0|6.605297921|0|0.0|-0.0056780519999999|4.59511985|2|-0.08282926|-0.23280014|-0.005688938|0.001426202|10.95023129|0.0506476009999999|1|-0.236994128|-0.0574194159999999|0.812131575|-0.113476605|1|0.691860453|-0.093207587|0.421094692|0.0186711289999999|-48.30620628|9.676588112|159.6978638|5.0150344780000005|-25.03540372|0.473257697|2315.178558|-674.7452647999999|0.302070079|6.855429069|-349.69668310000003|25.44160067|-205.1602001|966.7808252999998|357.35851410000004|12.16814835|1.0|1.0|1.95|0.06|-8.17|4.47|66.49|0.0|0.0|91.55|3.0|5.0|337.33|0.0|1.0|-4.42|4.56e-05|0.0154|3.84e-05|13.0|0.0|0.0|2.3e-06|-0.05717|4.4393|2.95|4.0806|534.69|894.43|303.84|395.28|0.59209|0.03384512|-1166.951551|9.0
4b_a49|0.0|0|0|0|0.0|0.0|7.535296702|1|2.075628989|-0.0074627159999999|5.4161004020000005|2|-0.064060521|-0.402986655|0.001769804|-0.033486358|10.92776533|0.02907541|1|-0.10158752|-0.089371493|0.798826417|0.005818676|1|0.7581492670000001|-0.091725536|0.438784865|0.0241270029999999|-56.45224362|14.84890147|148.84640819999998|9.138717999|-34.74338731|0.477868186|2708.998101|-944.6104994|0.354669161|7.588962922|-581.3580885|29.27523192|-178.8869784|1463.761596|600.3287567000001|15.73185141|1.0|1.0|3.1|0.22|-7.05|3.71|90.13|1.0|0.0|112.36|6.0|6.0|400.43|0.0|1.0|-3.88|0.000155|62.0|0.000132|0.0527|0.0|0.0|3.570000000000001e-05|-0.06731|4.6422|3.56|3.7413|664.86|1121.45|331.39|509.78|0.4151899999999999|0.03702033|-1332.8586269999998|7.1024
9b_a31|0.0|1|0|0|3.338934004|0.0|7.765993078999999|1|0.0|-0.0141390689999999|5.733341277|0|-0.045938305|-0.706953442|-0.0050444109999999|0.014628521|10.31169871|-0.091236608|2|-0.075191042|-0.2345186269999999|0.852813666|0.01752821|0|0.669120552|-0.103937658|0.241728566|0.034595809|-63.73317225|21.21368453|202.8908225|13.00794571|-39.08032306|0.469546953|2534.356888|-1125.659849|0.310824817|8.097516252|-690.2394625|34.75199071|-231.99935|1633.343563|524.0230338|15.38435497|1.0|1.0|2.76|0.32|-6.84|5.26|117.37|1.0|0.0|103.36|7.0|5.0|384.45|0.0|1.0|-3.86|1.76e-05|0.00675|0.000137|0.0527|0.0|0.0|5.520000000000001e-05|-0.0422899999999999|5.5119|4.69|3.8435|663.06|1091.21|322.58|562.68|0.41622|0.03769117|-1578.665571|7.2007
19_a3|0.0|1|0|0|2.917217813|0.0|6.605297921|0|0.0|-0.003417504|4.59511985|3|-0.008897473|-0.129865138|0.006821053|0.156485495|10.96959256|0.036226415|1|-0.015805561|-0.066245471|0.758995484|-0.0150769919999999|1|0.853017902|-0.067674689|0.225451546|0.0116401719999999|-31.50932639|5.419662458|68.43484547|2.523394126|-14.67073822|0.476813896|2000.66399|-531.0158295|0.24201815|5.342307798999999|-247.2409002|20.01615321|-240.2326308|700.5653624|314.0966684|7.706796952|1.0|1.0|1.6|0.06|-7.21|3.9|67.35|0.0|0.0|85.32|2.0|4.0|287.32|1.0|1.0|-3.58|0.000578|166.0|0.000266|0.0764|0.0|0.0|1.7800000000000002e-05|-0.05757|3945.0|2.43|3945.0|499.93|832.23|314.28|362.92|0.67351|0.020989746|-929.193831|7.6383
5d_a40|0.0|0|0|0|0.0|0.0|8.149890544|1|1.601200869|-0.005662681|6.167516491000001|0|-0.1031436519999999|-0.1868684619999999|0.007200253|0.2078052269999999|10.31198333|0.029272031|2|-0.259985037|-0.009744685|0.8092726020000001|0.145024458|1|0.754010052|-0.086193996|0.049855551|0.022027556|-39.55506228|10.10860823|112.88660690000002|4.638915105|-18.15211073|0.479931934|1974.583878|-519.1767771000001|0.188819426|6.288958592999999|-238.2540642|21.3342049|-285.606135|640.0261471|243.4287716|6.713853887999999|0.0|0.0|2.56|0.21|-4.32|4.08|75.5|0.0|1.0|74.11|3.0|4.0|287.31|1.0|1.0|-3.82|5.9e-05|17.0|0.000152|0.0436|0.0|0.0|0.0137|-0.06796|3.7374|4.61|3.7374|473.48|765.69|331.74|365.74|0.69613|0.01667985|-1276.797751|7.7212
5_a18 (BIBF0775)|0.0|0|0|0|0.0|0.0|7.03438793|2|0.0|-0.005220163|4.844187086|1|-0.0366107389999999|-0.391512249|0.002526619|0.0002403959999999|10.94702058|-0.022817602|0|-0.054916741|-0.216531385|0.7395978390000001|-0.001626287|0|0.8432358679999999|-0.068989967|0.420002762|0.008501088|-52.09190866|6.418873637000001|118.3671077|4.846666751|-39.33277643|0.483962172|3115.979466|-1595.201018|0.184058942|9.798677372|-1204.480438|27.535837|-477.1120625|1955.044427|1140.896548|8.178259299999999|1.0|1.0|0.0|0.32|-9.21|4.09|76.5|3.0|1.0|155.95|8.0|3.0|494.63|1.0|0.0|-5.72|8.590000000000001e-07|0.000425|1.91e-06|0.000946|0.0|0.0|3.06e-07|-0.04938|3.2027|8.45|3.2027|817.02|1446.02|378.13|691.68|0.69298|0.02305362|-1571.914419|7.4685
16b_a23|0.0|0|1|1|0.0|0.0|7.423568444|1|3.418247774|-0.005139233|5.351858133|3|0.054655144|-0.3237716519999999|0.0116350769999999|-0.068280331|10.31321583|-0.05237763|2|0.099244509|-0.224300431|0.7740962779999999|0.14319927|1|0.928579764|-0.050637391|0.2256448969999999|0.018614978|-37.52431601|13.79443768|52.92522904|10.22222569|-27.80700713|0.4870072789999999|3370.826124|-1349.923395|0.261023|9.472884487|-1000.346801|31.49562341|-354.1828792|1826.746158|896.9989312000001|13.6235075|1.0|0.0|0.0|0.07|-7.33|3.02|108.26|2.0|1.0|146.03|6.0|4.0|489.57|0.0|0.0|-5.67|6.41e-07|0.000314|2.16e-06|0.00106|0.0|0.0|2.26e-05|-0.07352|1.6041|4.24|1.6041|772.84|1340.35|772.92|607.92|0.95419|0.03978022|-1877.335869|7.0191
47p_a18|0.0|0|0|0|0.0|0.0|7.03438793|1|0.0|-0.005394244|4.844187086|0|0.025217016|-0.3775970529999999|0.00235332|-0.015960677|10.94701988|-0.049428094|0|0.037961877|-0.261349889|0.726294118|0.030970815|0|0.832954548|-0.06909945|0.278332428|0.007989903|-51.14496913|5.913843751|123.6411353|4.377217987|-37.85569728|0.488811071|2933.069245|-1528.087796|0.181540558|9.923659881|-1131.036542|27.86610962|-471.4248324|1867.029344|1011.163774|8.070036862|1.0|1.0|0.0|0.28|-9.03|3.65|76.5|3.0|1.0|144.53|9.0|3.0|468.59|1.0|0.0|-5.27|2.13e-06|0.000998|5.34e-06|0.0025|0.0|0.0|4.38e-07|-0.05628|3.2036|7.98|3.2036|795.43|1391.71|387.01|732.84|0.6937800000000001|0.02843634|-1493.407248|7.1938
13g_a6|0.0|1|0|0|3.457632039|0.0|6.842683282|0|0.0|-0.006574579|4.727387819|2|0.03536788|-0.381325604|-0.002407131|0.073394284|10.95053423|-0.080022038|1|0.061423911|-0.215607882|0.774238891|0.095969451|1|0.871972049|-0.074216821|0.2141642839999999|0.017637229|-51.67543048|12.28038897|89.14285747|8.550546653|-35.98038956|0.444443571|2929.039254|-1216.422234|0.264266646|7.968172425|-846.9662551000001|30.61752948|-328.2712049|1653.346592|744.1359788|12.48355309|1.0|1.0|2.34|0.12|-10.57|5.41|103.17|2.0|0.0|128.63|6.0|5.0|431.49|0.0|1.0|-5.06|2.77e-06|0.0012|8.8e-06|0.0038|0.0|0.0|1.15e-08|-0.07536|5.9869|3.83|3.2472|739.55|1253.71|381.82|592.49|0.38325|0.03802398|-1386.364067|6.9245
