molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|BCUTs-1|SaasN|AATSC1c|AATSC1s|JGI4|MATS7i|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|MATS8s|MATS8d|GATS1pe|RASA|PBF|FPSA3|PNSA3|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
8d_a12|1|1|1|2.976279182|0.0|0|6.580639137|1.283835213|0.0|-0.0076893469999999|-0.048642535|0.038347953|0.0276482139999999|-0.065870394|-0.046326855|1|0.001575111|0.016135176|-0.484923957|1|-0.091036025|-0.080872311|0.8405406040000001|0.858710112|0.266886187|0.011348654|-43.27410838|6.309558958999999|0.141289888|78.55353315|-0.039118358|-32.00762818|3.507952014|0.8338637040000001|-1.760326118|-21.74879802|49.58366734|0.465113852|477.4206699|-978.6959108|-12.09177064|0.166136296|6.93584319|0.8695567329999999|5255.11762|92.36749461|0.012525773|-371.2392138|1173.6881050000002|6.964006932|1.0|1.0|1.0|2.0|4.06|0.1|3.87|2.67|65.96|0.0|112.14|0.0|3.0|-5.96|352.39|0.0|1.0|2.64e-05|2.43e-05|0.0085799999999999|3.51|0.0|0.0|4.23e-09|1.49e-06|-0.05488|3.53|3.7397|-1138.296407|-1138.256361|600.2|1007.85|0.2871|0.6661|0.4997399999999999|-1138.086709|0.0853|-0.20794|0.04004678|-1138.139635|3.0277|25.0|7.6021|7.6021
9h_a40|0|0|0|0.0|0.0|1|7.515889085|0.604992856|1.7679629630000002|-0.009041931|-0.126968715|0.039444444|0.157606277|0.133376308|-185.0|2|0.003099029|0.08305063|-0.503000695|0|-0.160855189|-0.299768519|0.7528137909999999|0.864310149|0.219852623|0.012390387|-46.04148264|6.199629554|0.135689851|67.89350333|-0.041058441|-23.98506758|3.102034287|0.863884935|-1.437045429|-20.54391962|52.2411122|0.482124665|432.46450360000006|-719.0371868|-10.27931468|0.136115065|6.922257828999999|0.930966649|4322.734135|68.10626265|0.011321157|-364.1454816|832.3298135|5.664631335|1.0|1.0|1.0|0.0|3.3|0.11|4.59|4.44|67.66|0.0|93.19|0.0|3.0|-5.06|321.4|0.0|1.0|2.23e-06|7.6e-06|0.00244|4.51|0.0|0.0|3.09e-07|9.93e-05|-0.05991|3.9|3.3675|-1293.174246|-1293.151333|526.38|868.84|0.3851|0.64952|0.69809|-1293.033723|0.2721|-0.20038|0.02291279|-1293.083512|2841.0|3.98|5.4001|5.4001
20_a4|0|0|0|0.0|0.0|1|7.535296702|1.399905568|2.017439295|-0.003103385|-0.00123671|0.039635417|-0.061689675|-0.1473674569999999|-0.059498265|1|0.012025268|-0.103098674|-0.211751813|1|0.246357638|-0.105783279|0.665774148|0.918147288|0.210083785|0.022933651|-29.16642156|11.03865532|0.081852712|39.3981702|-0.0273144939999999|-16.72448692|5.313236547|0.6435852470000001|-1.010636274|-13.14728679|40.20507689|0.421704107|441.9318823|-486.4496111|-6.32818424|0.356414753|5.543543957000001|0.729218575|4085.683488|171.5531319|0.024334176|-138.2237887|755.8433223999999|11.71277006|1.0|1.0|1.0|0.0|3.23|0.11|3.2|3.54|39.94|0.0|86.62|0.0|3.0|-5.96|289.33|0.0|1.0|0.000346|0.000134|0.0388|2.96|0.0|0.0|2.79e-06|0.000806|-0.03048|2.73|4.0419|-934.2489802|-934.2266312|517.72|861.05|0.2364|0.5152|0.66028|-934.103809|0.1415|-0.19747|0.022349042|-934.150871|5.5779|646.0|6.1898|6.1898
13a_a6|1|0|0|3.417162147|0.0|0|7.412764017000001|1.430639975|0.0|-0.01115741|-0.0265090529999999|0.041767677|0.031837397|0.0015242189999999|-0.0525259259999999|1|-0.00194781|-0.180339002|-0.488098052|1|0.090839165|-0.091892803|0.8013954109999999|0.77450544|0.22670695|0.031866842|-61.52313164|20.83876732|0.22549456|147.4582473|-0.040840697|-48.51283287|13.62714959|0.759912392|-2.042034827|-26.70706346|82.36189896|0.467070451|506.474367|-1335.353173|-17.46461983|0.240087608|8.038453162|0.8764206290000001|6019.922535|157.0011174|0.02016134|-339.9303794|1757.246214|13.18415753|1.0|1.0|1.0|2.0|3.53|0.12|4.98|4.32|95.85|0.0|116.79|0.0|5.0|-6.1|409.44|0.0|0.0|3.11e-06|1.02e-05|0.00417|3.8|0.0|0.0|9.77e-10|4e-07|-0.05018|4.04|3651.0|-1350.085889|-1350.057702|695.29|1166.79|0.5352|0.4816|0.70072|-1349.834826|0.2697|-0.19987|0.02818646|-1349.895534|9.2157|46.0|7.3372|7.3372
14x_a23|0|1|1|0.0|0.0|2|7.423568444|1.197963189|3.101221922|-0.0065692219999999|-0.111315218|0.04314059|0.05740118|-0.075184011|-0.0229244|2|0.003906274|-0.206574435|-0.443633823|2|-0.035031888|-0.035965909|0.558482531|0.7768288609999999|0.229141189|0.022095943|-46.97594633|14.64350681|0.223171139|147.90081730000003|-0.034056109|-37.00022522|9.704599953|0.722211323|-1.6006371069999998|-22.56979253|61.61945314|0.468120981|514.8229467|-1060.780249|-14.95753786|0.277788677|7.777802167999999|0.880126802|6989.569075|184.0971574|0.0219879679999999|-294.5294492|1468.794817|14.57194888|0.0|1.0|0.0|1.0|3.42|0.05|4.2|5.14|105.02|1.0|120.2|0.0|5.0|-6.35|447.46|0.0|0.0|2.09e-06|5.41e-06|0.00242|3.78|0.0|0.0|1.17e-08|5.23e-06|-0.08216|3.97|3.6941|-1828.393372|-1828.371718|675.21|1149.42|0.3184|0.6757|0.62836|-1828.168422|0.3057|-0.23475|0.02165405|-1828.228912|8.1916|3.0|8.4949|8.4949
34_a20|0|0|0|0.0|0.0|1|6.842683282|1.416932073|1.877209467|-0.0057643419999999|-0.104520106|0.0396875|0.199191385|-0.046356705|-0.054458882|1|0.003149352|0.057022334|-0.4478820739999999|2|-0.101401966|-0.090732503|0.690530489|0.7966571459999999|0.408491116|0.0130295999999999|-57.31821177|8.766605631000001|0.203342854|136.81360859999998|-0.032248904|-38.68669181|5.898367836|0.776414086|-1.709191893|-21.69778179|66.0848174|0.462785432|536.0086996|-1149.982435|-14.59875162|0.223585914|7.940146766|0.8614536140000001|6211.26199|150.43359099999998|0.01491516|-371.9551262|1481.145765|10.03525243|1.0|1.0|1.0|1.0|3.43|0.08|4.5|4.62|86.69|0.0|125.0|0.0|5.0|-6.28|419.48|0.0|0.0|7.27e-06|9.51e-06|0.00399|3.63|0.0|0.0|6.64e-10|2.780000000000001e-07|-0.05181|4.97|3.8699|-1352.31921|-1352.2836220000002|711.19|1205.64|0.4388|0.38519|0.68845|-1352.041015|0.0766|-0.21284|0.03558836|-1352.102407|5.4994|61.0|7.2147|7.2147
15b_a50|0|1|1|0.0|0.0|2|7.934155233999999|1.353059441|4.112770601|-0.0045393|-0.05484142|0.032843915|-0.103807905|-0.06083723|-0.124047802|2|0.005203263|-0.2185722769999999|-0.310946931|1|0.000882622|-0.216393362|0.764606364|0.8209134840000001|0.447220762|0.020083792|-47.20879251|11.48191704|0.179086516|102.3838797|-0.028069672|-26.37622116|6.564219549|0.639017342|-1.291204916|-16.04745006|58.69070955|0.478989976|469.3167805|-738.1827030000001|-9.174337796|0.3609826579999999|6.89125222|0.919348867|5205.2135960000005|206.3740238|0.024313507|-158.95261259999998|1155.184146|13.90004811|1.0|1.0|1.0|1.0|3.56|0.19|2.71|3.26|68.76|0.0|105.46|0.0|5.0|-6.98|357.41|0.0|1.0|0.000654|0.000249|0.0891|2.11|0.0|0.0|1.92e-06|0.000687|-0.0333399999999999|2.08|4.0561|-1160.4989460000002|-1160.463663|613.37|1035.3|0.1796|0.65917|0.65917|-1160.275856|0.1796|-0.20071|0.03528279|-1160.330621|9.3788|79.0|7.1024|7.1024
13j_a6|1|0|0|3.409065702|0.0|0|7.412764017000001|1.430640326|0.0|-0.015004989|-0.154502515|0.041728395|0.07522656|-0.0951246069999999|-0.047513534|1|-0.007703306|-0.073507141|-0.562698347|1|-0.063948098|-0.079161042|0.830577798|0.6229641429999999|0.205764388|0.03111288|-80.33128667|20.78979124|0.377035857|251.937353|-0.046428683|-57.82670518|13.89184843|0.7841668409999999|-2.460720196|-31.02389141|101.1210779|0.433600896|416.2679342|-1644.266245|-20.73032827|0.215833159|8.741405506|0.765539515|6276.316063|144.22085800000002|0.0199201689999999|-379.7635712|2096.832152|13.31076198|1.0|1.0|1.0|3.0|3.56|0.12|4.16|3.54|115.15|0.0|120.17|0.0|6.0|-6.81|427.46|0.0|0.0|9.32e-06|3.28e-05|14.0|2.95|0.0|0.0|3.18e-09|1.36e-06|-0.0488899999999999|4.94|3.5599|-1426.5532050000002|-1426.520775|712.52|1196.6|0.2857|0.69993|0.7045100000000001|-1426.272674|0.0259|-0.19491|0.03242949|-1426.335207|10.9731|262.0|6.5817|6.5817
11c_a31|1|0|0|3.336985072|0.0|0|7.765993078999999|0.6101368770000001|0.0|-0.0184155389999999|-0.141329185|0.037731481|-0.031640011|-0.137912959|-0.085216451|2|-0.008375297|-0.16065803|-0.572548808|0|0.013528742|-0.139933586|0.787929678|0.564143263|0.3608415239999999|0.034256743|-80.82023592|20.06220362|0.435856737|255.2562173|-0.042457317|-48.16624372|11.74927853|0.676089232|-1.825664624|-24.864808|100.8824395|0.47997061|330.3862551|-1069.186744|-14.56188764|0.323910768|7.259183801|0.922968238|5329.481371|189.6959033|0.029155542|-206.2506659|1581.428448|17.07472346|1.0|1.0|1.0|2.0|3.51|0.28|5.04|3.64|125.57|0.0|97.32|0.0|6.0|-6.56|371.41|0.0|0.0|7.68e-06|0.000105|39.0|2.82|0.0|0.0|1.45e-06|0.000537|-0.03532|4.47|3.8551|-1559.3980869999998|-1559.353434|622.22|1022.77|0.2627|0.7005899999999999|0.7005899999999999|-1559.194237|0.2627|-0.19526|0.04465349|-1559.253116|7.5091|0.13|6.8861|6.8861
13_a1|1|0|0|3.409865599|0.0|0|7.423568444|1.430073963|0.0|-0.012199718|-0.144782061|0.036382114|0.1129747169999999|-0.0594321759999999|-0.084271845|1|-0.005924486|-0.120034915|-0.485427571|1|-0.051729721|-0.150485437|0.833702788|0.6794604670000001|0.207843387|0.033737733|-64.94184903|19.62059449|0.320539533|186.4137189|-0.040302516|-36.08180773|11.41059871|0.7082629840000001|-1.813613202|-23.43842502|84.56244352|0.477212829|395.1486144|-1054.729126|-13.63090514|0.291737016|7.493979856|0.912824292|5456.353212|169.6632599|0.026679865|-242.2358135|1489.177255|15.51600461|1.0|1.0|1.0|2.0|3.35|0.09|4.75|3.87|80.26|0.0|104.88|0.0|4.0|-6.48|371.39|0.0|0.0|5.16e-05|4.58e-05|17.0|2.94|0.0|0.0|1.14e-08|4.24e-06|-0.04962|3.17|3.4483|-1238.395767|-1238.367298|613.52|1035.04|0.5339|0.65363|0.69782|-1238.174491|0.3535|-0.18883|0.0284695999999999|-1238.22919|3.9446|0.26|6585.0|6585.0
