molecula|n9FaHRing|n9FaRing|SaaNH|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|AATSC1i|n6aHRing|GATS1are|BIC2|SIC2|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
1h_a5|0|0|2.9516097130000003|0|0|0|1.427564094|-0.259241577|4.59511985|-0.009075016|2|-0.02598568|-0.085074391|-0.1197834419999999|10.94466758|-0.044117647|0.0578378779999999|2|0.71274658|0.780175595|0.8436458929999999|0|-0.067599619|-0.069496749|0.39793593|0.008798715|-35.25675213|-36.2462047|4.588992214|160.0744187|62.25239147|-0.027798699|-18.90429957|0.7450549759999999|-1.111947978|44.51475742|0.489507204|2107.271793|-579.9392753|819.6979313999999|-7.561719827|0.2549450239999999|6.711386288|0.958891501|4334.547353|132.96722079999998|-302.4687931|19.45961351|-255.618083|409.0289917|8.268552715|1.0|1.0|1.0|2.8|23.0|-8.41|4.51|54.46|0.0|95.45|0.0|1.0|3.0|-4.25|24.0|3.0|-5.77|0.0|1.0|1.0|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|0.0|0.0|1.21e-06|4652.0|4.3651|-990.6032645|934.7|266.52|430.83|-990.472129|0.1754|-0.17797|2.2396|-0.21921|28.0|7.5528|7.5528
17_a12|0|0|0.0|0|1|1|0.610029543|0.132275232|4.727387819|-0.058347964|3|-0.210594127|-0.38018419|-0.072956553|10.31157659|-0.070249784|-0.202276514|2|0.918713011|0.8198617429999999|0.87653892|0|-0.069570363|-0.096209886|0.318309599|0.011226177|-36.25249721|-50.13411606|5.849860887999999|69.36398419|73.93273708|-0.035198739|-26.12444199|0.786701219|-1.443148294|57.97616997|0.466056241|2246.161353|-752.0117408|1470.257187|-9.557722681|0.213298781|5.669161963|0.8728564259999999|4866.339908|111.1480977|-391.8666299|23.31475957|-298.7949107|431.5987143|7.842053909|1.0|0.0|1.0|4.13|17.0|-7.16|2.56|78.41|0.0|103.12|0.0|1.0|3.0|-4.51|24.0|4.0|-6.07|0.0|1.0|1.0|3.1e-05|0.0103|5.7100000000000006e-05|0.0191|0.0|0.0|2.32e-05|4.4014|3.7723|-1366.776169|933.62|281.69|419.49|-1366.638303|148.0|-0.15459|2128.0|-0.21781|16.0|7.7959|7.7959
4_a18 (SD-208)|0|0|0.0|0|2|2|1.304335262|0.055002235|0.0|-0.113324634|3|-0.020226647|-0.498304229|-0.009648044|10.95382003|-0.056245435|-0.3630339729999999|1|0.773173718|0.83508768|0.904723479|0|-0.077885485|-0.099573708|0.115284206|0.0211761979999999|-40.10670787|-51.27494074|10.90456851|103.6318511|113.7529353|-0.034985357|-26.40375252|0.602029021|-1.2944582059999998|69.63488061|0.454067432|2395.526727|-666.5742296|1822.914738|-9.276994128|0.397970979|6.239898178|0.831728055|5348.394288|204.9329964|-343.2487827|29.9246699|-105.0785813|363.2306414|18.35993987|1.0|1.0|1.0|2.77|22.0|-8.15|4.44|76.48|1.0|92.87|0.0|1.0|3.0|-4.29|25.0|6.0|-6.31|0.0|0.0|1.0|5.12e-05|18.0|4.14e-05|0.0146|0.0|0.0|2.49e-06|5.1755|3.2777|-1542.276332|895.83|239.56|396.17|-1542.15786|0.2316|-0.13588|3.4629|-0.2358|0.08|7.0969|7.0969
21_a47|1|1|0.0|1|0|0|1.408713027|0.072733799|4.727387819|-0.13650463|2|-0.034419528|-0.511216716|-0.004063946|10.95058272|0.057225853|-0.277479519|2|0.612295986|0.826796636|0.8856299320000001|1|-0.082614966|-0.095249919|0.3188717339999999|0.022739546|-46.63227351|-53.76411184|12.83540744|34.75044485|166.049938|-0.033866638|-30.34731959|0.6448452960000001|-1.5239986980000002|70.10126935|0.463113582|2691.697803|-860.2257893999999|1402.202743|-10.79015808|0.355154704|7.071346534|0.862591353|6103.311635|200.4681737|-485.55711339999993|29.64451905|-163.5167523|482.9384172|16.33715751|1.0|1.0|1.0|3.29|21.0|-7.7|4.93|84.73|1.0|104.49|0.0|1.0|6.0|-4.44|29.0|6.0|-6.58|0.0|0.0|1.0|3.6e-05|0.0142|4.84e-05|0.0191|0.0|0.0|7.8e-06|3917.0|3917.0|-1375.028093|1014.33|316.53|441.93|-1374.858663|0.2249|-0.16158|3.6767|-0.2249699999999999|5.0|8.3|8.3
7h_a8|0|0|2.99743835|1|0|0|1.391840221|-0.118981425|4.844187086|-0.073219554|0|-0.016074683|-0.23505152|-0.0873792009999999|10.94341365|0.0260356679999999|0.141285105|0|0.515235986|0.7051689170000001|0.7677336090000001|0|-0.093181899|-0.0934764819999999|0.314190914|0.011647275|-53.71230941|-53.88211443|6.71377223|70.28953528|131.9948047|-0.041038456|-31.05895923|0.892830345|-1.6825766830000002|58.94376531|0.4346108389999999|2534.324886|-969.8780597|1919.19991|-13.63564064|0.107169655|7.589672923999999|0.768693264|5657.402114|61.77519141|-559.0612661|26.49502512|-452.8739011|446.5544107|5.061650885|0.0|0.0|0.0|3.12|23.0|-8.46|5.49|61.58|2.0|101.89|0.0|1.0|3.0|-5.68|28.0|4.0|-5.27|0.0|0.0|1.0|2.09e-06|0.00078|3.16e-06|0.00118|0.0|1.0|1.31e-06|3.9282|3.9282|-1285.151298|999.62|315.62|500.94|-1285.017252|0.3885|-0.16076|7.0847|-0.22875|10.5|4.9788|4.9788
15c_a10|0|0|0.0|1|2|2|1.343850105|-0.236118846|5.4161004020000005|0.040869377|3|-0.06400528|-0.153072705|-0.1036030219999999|10.92970798|0.0123939039999999|-0.35845963|2|0.7655272009999999|0.7351096359999999|0.772328328|1|-0.046967376|-0.072537853|0.418835517|0.014703076|-32.5870313|-50.32840842|10.2013281|65.41494073|66.28884934|-0.019267867|-34.91899195|0.528228415|-1.233143495|66.5866765|0.449308156|3012.018586|-855.5829431|1817.047455|-9.275357237|0.471771585|8.639636218|0.8158976029999999|6673.826433|327.3258326|-593.6228632|25.30814911|-39.17102961|924.9341455|16.25826809|1.0|1.0|1.0|3.85|21.0|-7.79|2.97|59.31|1.0|141.96|0.0|1.0|6.0|-3.85|34.0|6.0|-6.99|0.0|1.0|0.0|0.0001419999999999|0.0646|2.68e-05|0.0122|0.0|0.0|7.3e-06|5.5913|3.6709|-1450.500669|1318.35|221.75|595.63|-1450.139335|0.0|-0.14739|2.4256|-0.19463|0.1|7.0|7.0
3_a27|0|0|0.0|2|0|0|1.402697639|0.124551908|4.59511985|-0.096132106|2|-0.172132163|-0.27868256|0.042659548|10.93782973|0.024154412|-0.341338963|2|0.640545265|0.810053853|0.8759548629999999|1|-0.06145119|-0.086153958|0.397733752|0.019234305|-31.82136336|-44.61323499|9.960129259|10.71226495|71.40072181|-0.032307734|-23.10213938|0.733853752|-1.292309364|54.32114618|0.44566003|2294.213272|-669.1985248999999|1043.697725|-8.663302268999999|0.266146248|6.457886343999999|0.803947133|4960.583812|137.8189165|-346.53209080000005|22.79740761|-242.1936891|401.7540197|9.707911187|0.0|0.0|1.0|3.03|21.0|-5.89|2.94|65.6|0.0|97.71|0.0|2.0|3.0|-3.7|25.0|4.0|-6.41|0.0|1.0|1.0|0.0002|0.0658|0.000103|0.0339|0.0|0.0|0.000423|5.5045|3962.0|-1081.88481|931.06|225.24|425.72|-1081.744053|0.2208|-0.16457|2.7811|-0.21969|4.0|8.3979|8.3979
19d_a38|0|0|3.314284769|0|2|2|1.297043205|0.013465335|5.351858133|-0.17467835|2|0.019858574|-0.6999264340000001|-0.0555594909999999|10.95446448|-0.024688524|-0.128079012|1|0.7581164340000001|0.853092207|0.908591797|0|-0.116424545|-0.1248815919999999|0.3509455999999999|0.024158903|-74.84120843|-80.2776536|15.53007152|158.6487879|236.7675313|-0.04393982|-51.60489663|0.7494816990000001|-2.372750256|94.84426896|0.478151237|3055.168373|-1525.275418|2995.494247|-18.15727844|0.250518301|7.056031803|0.916264002|6934.7619620000005|161.0407189|-980.493036|37.68716585|-320.7487188|686.8472757999999|14.56661536|0.0|1.0|0.0|4.91|17.0|-6.41|1.65|124.32|1.0|133.79|0.0|1.0|6.0|-3.87|33.0|5.0|-7.84|0.0|0.0|0.0|0.000134|0.0594|0.0002399999999999|107.0|0.0|0.0|0.000175|5.3771|3.6586|-1500.850957|1171.77|230.58|517.77|-1500.621723|0.0699|-0.15054|7.9959|-0.20145|11.0|7.9586|7.9586
9b_a36|0|0|3.513187594|0|2|2|0.62670079|-0.053019801|5.351858133|-0.023369916|2|0.082806042|-0.308862918|-0.077361324|10.33767255|-0.06502499|-0.094526372|1|0.8421237309999999|0.7885597609999999|0.842671963|0|-0.074181597|-0.098301686|0.2602997|0.017007854|-46.58565720000001|-61.73294817|10.68084402|67.12293326|97.10089515|-0.036110824|-38.76797062|0.78242217|-1.769430355|71.70079424|0.453252346|2715.020034|-1111.193067|2464.2160510000003|-14.24129533|0.21757783|7.549264797|0.828997331|5838.085413000001|136.63774650000002|-697.8234711|28.98359786|-354.7193098|620.9195447000001|9.967846072|0.0|1.0|0.0|4.73|17.0|-6.64|2.76|82.47|1.0|126.17|0.0|1.0|5.0|-4.6|29.0|4.0|-6.46|0.0|0.0|0.0|2.49e-05|0.00992|3.71e-05|0.0148|0.0|0.0|9.21e-05|3.8535|3.8535|-1575.751975|1127.85|321.74|514.45|-1575.557248|0.5392|-0.15833|6.2846|-0.20979|21.0|7.6778|7.6778
19i_a38|0|0|3.169368622|0|2|2|1.297043925|-0.125335237|5.351858133|-0.115864198|2|0.08414367|-0.4561702689999999|-0.074033381|10.96052467|-0.053762162|-0.250781298|1|0.653741315|0.836170906|0.892249657|0|-0.08347616|-0.113250303|0.4748744179999999|0.022576308|-51.15830416|-69.40536597|13.83587388|137.7658863|154.953787|-0.040770109|-42.53502816|0.7419238420000001|-2.038505453|82.98550237|0.444551315|2896.470706|-1249.2965869999998|2335.0953870000003|-15.31261014|0.258076158|6.690507557999999|0.800346329|6744.7785650000005|158.161786|-765.6305068|33.67721904|-296.5257022|593.6088758|13.5801364|1.0|1.0|1.0|4.8|17.0|-7.12|3.11|81.23|1.0|125.65|0.0|1.0|5.0|-4.25|31.0|5.0|-6.81|0.0|0.0|1.0|5.68e-05|0.0238|4.67e-05|0.0196|0.0|0.0|3.19e-05|5.7041|3.6129|-1431.384243|1101.03|217.36|457.26|-1431.181148|0.1886|-0.14872|6.6636|-0.2052|13.0|7.9031|7.9031
