molecula|n9FaHRing|n9FaRing|SaaNH|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|AATSC1i|n6aHRing|GATS1are|BIC2|SIC2|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
13a_a30|0|0|0.0|0|2|2|0.604984129|0.113424769|5.351858133|-0.118776867|2|-0.036541822|-0.627166322|0.0317047379999999|10.31162842|-0.0351777|0.006103754|1|0.841060094|0.8303425640000001|0.885516463|0|-0.109682335|-0.113507021|0.478381813|0.01856512|-74.02777574|-76.60916637|12.53013554|381.9643801|204.9120824|-0.042832838|-51.70573895|0.799862466|-2.27014041|88.22659517|0.4661332179999999|3002.811441|-1532.183327|2520.165025|-19.5115996|0.2001375339999999|8.066980235|0.873126469|6675.344631|135.07860209999998|-1034.114779|36.14261279|-404.771677|713.7769663|11.6174288|0.0|1.0|0.0|4.76|17.0|-6.19|1.72|124.74|1.0|135.37|0.0|1.0|6.0|-5.01|32.0|5.0|-7.05|0.0|0.0|0.0|9.68e-06|0.00427|5e-05|0.0221|0.0|0.0|0.000288|5.0535|3.5288|-1744.4457100000002|1211.54|245.34|541.59|-1744.217986|0.1603|-0.14953|0.7158|-0.20503|14.0|7.8665|7.8665
8_a47|0|0|0.0|0|0|1|1.24688044|0.003732288|5.476463552|-0.099564745|2|-0.087101663|-0.391797226|-0.153669322|10.93671024|-0.14203855|-0.003223628|2|0.686795267|0.7847248109999999|0.842571655|1|-0.075955381|-0.091482011|0.517797505|0.008687692|-44.09728708|-53.11155658|5.043798869|90.32612351|87.2263982|-0.035797309|-30.83488674|0.819702033|-1.646676195|60.62152862|0.414302597|2621.772106|-956.0080185|2217.264922|-12.06582525|0.180297967|6.492934319|0.707366287|6219.278078|104.6752861|-555.0279614|25.35407034|-371.2177396|559.4973856|7.509972037000001|1.0|1.0|1.0|3.02|22.0|-9.25|6.77|58.04|2.0|113.97|0.0|1.0|4.0|-6.59|29.0|4.0|-4.79|1.0|0.0|1.0|2.56e-07|0.000104|6.490000000000001e-07|0.000263|0.0|0.0|2.28e-07|3.6696|3.6696|-1686.0356350000002|1071.62|337.87|433.38|-1685.8518170000002|0.2249|-0.15357|3585.0|-0.2085199999999999|0.05|7.3|7.3
12c_a36|0|0|3.447900368|0|2|2|1.29696741|-0.087096843|5.351858133|-0.04162109|2|0.085843909|-0.414055975|-0.0621599059999999|10.95982545|-0.056994595|-0.177407665|1|0.8941919290000001|0.819222745|0.8741648479999999|0|-0.073370864|-0.105624703|0.462597812|0.019582215|-47.12722334|-67.84435546|12.5779546|60.79111287|102.2992907|-0.038024893|-43.57746274|0.75500974|-1.901244658|80.22754474|0.473610011|2785.47514|-1221.198398|2365.641348|-15.68788659|0.24499026|6.772454418|0.899732176|6256.172329|157.3609748|-784.3943293|32.34920911|-327.5932797|629.5017194000001|12.38318928|0.0|1.0|0.0|4.74|17.0|-7.18|2.54|69.2|1.0|128.76|0.0|1.0|5.0|-4.44|30.0|4.0|-6.49|0.0|1.0|1.0|3.64e-05|0.0151|2.55e-05|0.0106|0.0|0.0|2.77e-05|3.8436|3.8436|-1692.511019|1137.55|322.58|509.61|-1692.312906|0.3927|-0.15835|4.9812|-0.2082699999999999|9.0|8.0458|8.0458
9d_a31|0|0|3.456767212|0|1|1|0.61013528|0.036844743|5.733341277|-0.043220149|0|-0.057650507|-0.696763933|-0.0938310919999999|10.31169788|-0.021171445|-0.214049412|0|0.8066174070000001|0.8343242820000001|0.873955169|0|-0.098210975|-0.11958484|0.3655337879999999|0.029032453|-66.96024848|-81.53295088|19.79432796|154.8767865|208.401866|-0.033844766|-55.58917047|0.6636195229999999|-1.793772606|97.84665015|0.457506946|2654.377004|-1222.994263|1932.363213|-15.732784099999998|0.336380477|9.436176796|0.8433415740000001|5748.743284|229.34422830000003|-833.8375571|34.77197803|-223.1115993|647.1500428999999|16.31369927|1.0|1.0|1.0|3.8|16.0|-7.63|4.09|117.37|2.0|112.97|0.0|1.0|9.0|-5.61|29.0|5.0|-6.36|0.0|0.0|1.0|2.48e-06|0.0010199999999999|4.06e-05|0.0167|0.0|0.0|9.69e-06|3.8478|3.8478|-1657.428165|1202.79|322.22|630.49|-1657.1791449999998|0.2611|-0.15969|2.6311|-0.19426|0.6|6.2218|6.2218
14a_a23|1|1|0.0|2|0|0|1.197964042|0.050806184|5.351858133|-0.0246126279999999|2|0.0446402609999999|-0.289658385|-0.0518554529999999|10.31321831|-0.071842463|-0.137733142|2|0.72792508|0.7556436440000001|0.816237166|1|-0.055677662|-0.08032517|0.225448915|0.019504497|-35.20994211|-50.79675604|12.33442989|38.57988954|51.42774883|-0.0341809229999999|-32.12331106|0.7807587890000001|-1.606503401|61.36268093|0.462434482|2816.527785|-1015.935121|2173.7139190000003|-13.66949407|0.219241211|7.668841725|0.8602383659999999|6269.28943|138.6457355|-642.4662212000001|27.68542751|-355.0975547|601.8533922|10.56592489|0.0|1.0|1.0|3.41|26.0|-7.41|4.02|105.02|2.0|120.28|0.0|1.0|5.0|-5.47|30.0|4.0|-6.27|0.0|0.0|0.0|3.38e-06|0.00139|1.1e-05|0.0045299999999999|0.0|0.0|1.6100000000000002e-05|3.7119|3.7119|-1629.90669|1134.02|334.02|516.58|-1629.690316|0.3764|-0.15002|5.8775|-0.2238099999999999|3.0|8.5498|8.5498
47n_a18|0|0|0.0|0|1|1|1.251175627|0.0487694459999999|4.844187086|-0.057061805|0|0.017491759|-0.609196374|-0.003276575|10.94702025|-0.048404296|-0.258092915|0|0.722991132|0.696612213|0.726888951|0|-0.079299822|-0.091185806|0.288989992|0.0106152389999999|-65.43887366|-75.24728669|8.759783644|61.29571241|171.2889916|-0.031974244|-62.09468789|0.783921929|-2.4620167580000003|86.44740177|0.482565384|3349.802294|-2031.676741|2052.393389|-21.77346199|0.216078071|10.43689152|0.932611327|7909.580851999999|178.30942439999998|-1676.556573|33.65821422|-468.58948260000005|1306.125688|11.20011508|1.0|1.0|1.0|4.69|18.0|-9.76|3.31|105.6|3.0|162.18|1.0|1.0|13.0|-6.02|40.0|4.0|-6.68|0.0|0.0|0.0|9.48e-07|0.000511|5.7e-06|0.00308|0.0|1.0|9.44e-08|3.2028|3.2028|-1743.299948|1565.37|387.11|799.02|-1740.5852670000002|0.5056|-0.13138|2.4754|-0.18391|64.0|7.1938|7.1938
12j_a36|0|0|3.502198129|0|2|2|0.6293514410000001|-0.084183025|5.351858133|-0.0446165029999999|2|0.091496219|-0.41101009|0.039869055|10.33556498|-0.051080247|-0.133106642|1|0.906423012|0.820041835|0.87043328|0|-0.069970795|-0.105480639|0.362692602|0.018160631|-46.2113679|-69.66341599|11.99396966|26.39145693|97.35760604|-0.037113558|-46.00836307|0.7758129420000001|-2.004132137|80.59149538|0.457280037|2881.20453|-1323.6049039999998|2536.987511|-16.18812775|0.224187058|7.483427579|0.8425708820000001|6352.018345|148.06163930000002|-874.1588982999999|31.59421634|-364.314663|725.9470896|10.92807939|0.0|1.0|1.0|4.86|17.0|-7.05|2.61|94.5|1.0|135.47|0.0|1.0|6.0|-4.85|31.0|4.0|-6.64|0.0|0.0|0.0|1.4300000000000002e-05|0.0061|3.09e-05|0.0132|0.0|0.0|3.83e-05|5.2072|3.7807|-1670.420129|1198.96|238.1|536.01|-1670.184251|98.0|-0.15495|6.4451|-0.20593|0.01|8.0|8.0
14v_a23|1|1|0.0|2|0|0|1.1979575059999998|0.135774541|5.351858133|-0.299484129|2|0.055572317|-0.8122700340000001|0.017156562|10.3132174|-0.015149431|-0.2952674819999999|2|0.598213287|0.787538583|0.845160857|1|-0.067342061|-0.09479984|0.31419322|0.019811827|-44.4776373|-62.61276875|13.08518422|78.86310829|55.07999434|-0.042752869|-41.35406587|0.788328659|-2.180396311|76.42257099|0.457213347|3399.4261450000004|-1440.093681|2679.111279|-18.64987284|0.211671341|7.743452839|0.84234449|8458.789829000001|139.8032821|-951.143515|35.81898321|-380.8667976|676.4530574|13.80980223|0.0|0.0|1.0|3.62|26.0|-7.95|6.18|114.25|2.0|126.97|0.0|1.0|7.0|-6.89|35.0|8.0|-5.94|1.0|0.0|0.0|1.29e-07|6.38e-05|1e-06|0.0004969999999999|0.0|0.0|5.57e-06|3694.0|3694.0|-2042.161744|1206.02|335.64|533.44|-2041.93452|348.0|-0.1524299999999999|4.5506|-0.2308599999999999|4.0|8.4001|8.4001
19h_a38|0|0|3.2723542610000003|0|2|2|1.297044177|-0.088176988|5.351858133|-0.082283951|2|0.14165187|-0.420209249|-0.043452674|10.96083376|-0.070688288|-0.217394466|1|0.724208473|0.819222745|0.8741648479999999|0|-0.082211319|-0.109986804|0.3263113569999999|0.021234963|-48.43313101|-64.79649453|12.51014765|136.81322659999998|132.7728693|-0.03959525|-38.17354026|0.75379331|-1.979762478|76.70128100000001|0.47459722|2774.611523|-1166.336902|1839.424968|-13.74247449|0.24620669|6.820483788|0.903301693|6253.901215|145.047677|-687.1237247|30.94580137|-299.0343596|595.8790650000001|11.90478646|1.0|1.0|1.0|4.8|17.0|-6.86|2.55|81.23|1.0|125.69|0.0|1.0|5.0|-4.14|30.0|4.0|-6.77|0.0|0.0|1.0|7.209999999999999e-05|29.0|6.77e-05|0.0272|0.0|0.0|5.610000000000001e-05|3.7384|3.5358|-1332.1538779999998|1092.17|331.65|452.01|-1331.941646|88.0|-0.1467099999999999|6.9749|-0.20379|9.0|8.0348|8.0348
12v_a36|0|0|3.468871488|0|2|2|1.297043692|-0.077763989|5.351858133|-0.04314418|2|0.073329354|-0.487854327|-0.086194201|10.96020642|-0.023932402|-0.239932418|1|0.8913597320000001|0.828393514|0.8792981679999999|0|-0.078158778|-0.105200486|0.334379501|0.027145269|-51.4172081|-69.20675352|17.85767346|113.7463918|130.0637965|-0.033118671|-45.52806671|0.6276553979999999|-1.788408258|88.07013157|0.461799225|2846.057239|-1176.51481|2328.221818|-14.33290989|0.372344602|8.456596706000001|0.8580426609999999|6065.593390999999|244.9490697|-773.9771341000001|34.71221847|-167.9576969|679.7230552999999|18.86337805|0.0|1.0|0.0|4.82|17.0|-6.69|1.89|78.43|1.0|130.24|0.0|1.0|6.0|-3.95|31.0|5.0|-6.93|0.0|0.0|0.0|0.000113|0.0464|8.499999999999999e-05|35.0|0.0|0.0|8.340000000000001e-05|3.8847|3.7035|-1347.442792|1150.38|319.16|502.83|-1347.2000369999998|0.0223|-0.15185|6.1869|-0.20404|14.0|7.8539|7.8539
3_a3|0|0|0.0|0|0|0|0.605000514|0.159413311|5.283203728999999|-0.114647585|1|-0.015653979|-0.3413621639999999|0.0483259979999999|10.31154314|0.069435247|0.081380229|1|0.913546349|0.8083172479999999|0.885339037|1|-0.107269779|-0.098797066|0.583866845|0.012617742|-48.91675544|-45.05306124|5.753894372|228.5396864|112.2682304|-0.035057023|-20.54492513|0.7000038270000001|-1.086767728|55.67251784|0.415122657|2092.406045|-495.58367360000005|1349.6286710000002|-7.290134722999999|0.299996173|5.025797436|0.709760196|4677.617255|136.8031103|-225.9941764|22.83783244|-182.4099648|302.8386149|10.6194566|1.0|1.0|1.0|3.11|20.0|-6.15|4.07|121.17|0.0|88.36|0.0|1.0|2.0|-5.48|21.0|3.0|-5.88|0.0|0.0|1.0|3.32e-06|0.00103|4.06e-05|0.0126|0.0|0.0|0.000218|5.8458|3.3475|-1592.873593|817.21|212.09|316.65|-1592.792349|0.0851|-0.14599|2.1507|-0.20969|1175.0|5.93|5.93
27c_a34|0|0|0.0|1|1|1|1.4335249819999998|0.02583752|5.351858133|-0.1450543259999999|1|-0.08157574|-0.80008116|-0.028344637|10.95447877|-0.014364543|-0.2077985889999999|1|0.850511415|0.783333463|0.8353837409999999|0|-0.114233896|-0.12597014|0.32643486|0.0304948179999999|-76.84420762|-84.73908278|20.51361454|176.7076265|248.17931940000005|-0.042782312|-57.00328784|0.7381974290000001|-2.26746252|100.1948155|0.424716257|2921.328444|-1525.30349|2477.818875|-19.35960719|0.261802571|8.808655321|0.738272657|6308.331369|176.1124482|-1026.059181|38.98592708|-320.4669239|673.8038326000001|15.45573273|1.0|1.0|1.0|3.55|23.0|-7.67|3.34|104.29|1.0|119.71|0.0|1.0|6.0|-4.75|32.0|5.0|-6.85|0.0|0.0|1.0|1.7800000000000002e-05|0.00759|3.52e-05|0.0151|0.0|0.0|9.1e-06|4277.0|3.9186|-1426.482676|1203.69|289.89|558.04|-1426.246896|0.0093|-0.1589|7.6204|-0.19682|0.8|6.0969|6.0969
4R4k_a46|0|0|0.0|1|1|1|1.134637098|-0.050636784|5.587248657999999|-0.088084767|1|-0.104665424|-0.252970193|-0.1149361969999999|10.94631314|-0.1032662209999999|0.012963356|1|0.78837943|0.7477594870000001|0.787615341|0|-0.089699228|-0.085931818|0.237621572|0.007883196|-47.73036108|-45.72566346|4.194771739|173.3171354|58.20005971|-0.030434186|-24.33134018|0.866681099|-1.4608409080000002|49.58292992|0.465590034|2105.035168|-777.3362788|1767.850427|-8.617349646000001|0.133318901|5.522208638|0.871222588|4711.736397|70.94107067|-413.632783|18.68565706|-390.2334878|519.5743695|3.857266463|1.0|1.0|1.0|3.8|17.0|-6.61|4.77|50.94|1.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|-5.46|0.0|1.0|1.0|1.5e-05|5.0|1.4800000000000002e-05|0.0049299999999999|0.0|0.0|8.28e-05|5.2965|4.1392|-1053.413412|994.13|234.09|490.83|-1053.202129|0.1008|-0.17484|1.8559|-0.19529|97.0|7.0132|7.0132
25d_a34|0|0|0.0|1|1|1|1.433689841|0.128783829|5.351858133|-0.089654563|1|-0.163072107|-0.8576484190000001|-0.1266965|10.95957635|0.00670464|-0.342090037|1|0.8265507809999999|0.7498681140000001|0.799694715|0|-0.100582621|-0.124111479|0.631894475|0.0292772039999999|-66.52770588|-82.09024497|19.36462983|174.9700398|215.4372954|-0.044492794|-54.29641443|0.7772035959999999|-2.358118108|95.24066462|0.478308897|2939.671168|-1559.714654|2564.887803|-19.46475234|0.2227964039999999|6.933980884|0.916843118|6513.063805|147.36277019999997|-1031.631874|37.86469665|-366.6979266|673.8038326000001|13.15041965|1.0|1.0|1.0|3.58|23.0|-8.08|3.95|90.3|1.0|119.81|0.0|1.0|7.0|-4.61|32.0|5.0|-6.74|0.0|0.0|1.0|2.44e-05|0.0104|3.3e-05|0.0141|0.0|0.0|3.53e-06|4.2732|4.2732|-1426.468726|1198.19|290.15|554.05|-1426.243341|0.2106|-0.1771299999999999|6.1995|-0.21234|0.95|6.0223|6.0223
12ab_a30|0|0|0.0|0|2|2|0.604983638|-0.026189286|5.351858133|-0.030346359|2|0.018023992|-0.520212725|0.038312857|10.31162784|0.01563558|-0.207153446|1|0.8397577820000001|0.809127478|0.855880335|0|-0.082740301|-0.1008879709999999|0.4605456229999999|0.031588146|-58.23149599999999|-71.0035788|22.23130678|119.79740259999998|140.93076580000002|-0.031859359|-49.97135112|0.603952976|-1.815983471|92.49334877|0.461207954|3118.431712|-1278.064418|2618.234172|-15.78042667|0.3960470239999999|8.44310703|0.856003642|6918.884105|278.7324985|-899.4843201|37.1257096|-146.321375|792.3440337000001|21.48976996|0.0|1.0|1.0|4.87|17.0|-6.83|2.63|100.11|2.0|140.26|0.0|1.0|7.0|-5.61|33.0|6.0|-6.39|0.0|0.0|0.0|2.47e-06|0.00113|9.94e-06|0.00456|0.0|0.0|6.720000000000001e-05|4.8018|3.4919|-1804.79081|1275.19|258.2|613.7|-1804.523449|0.1511|-0.14772|6.9089|-0.19672|17.0|7.7825|7.7825
11d_a31|0|0|3.39688681|0|1|1|0.610136352|0.064475882|5.733341277|-0.116385886|0|0.016799834|-0.848545873|-0.092360393|10.31169874|-0.078235092|-0.153894316|0|0.819298311|0.822077662|0.868115289|0|-0.134031221|-0.134048091|0.197166451|0.034417775|-82.05480081|-82.06512842|21.07078977|296.2476128|253.9354598|-0.040797245|-50.24081482|0.6817705409999999|-1.87667327|98.8237718|0.4816588089999999|2532.447962|-1148.911798|2039.207676|-15.29068277|0.318229459|7.885647873|0.929231204|5420.356537|194.8221811|-703.3714074|36.63453013|-222.5622569|505.4234462|16.75864338|1.0|1.0|1.0|3.6|16.0|-6.23|4.03|125.57|1.0|102.13|0.0|1.0|7.0|-5.48|27.0|6.0|-6.4|0.0|0.0|1.0|3.33e-06|0.00128|6.26e-05|0.0241|0.0|0.0|0.000225|3.8009|3.8009|-1598.671315|1077.69|326.2|551.86|-1598.4848980000002|0.2642|-0.15822|3.1919|-0.19226|0.03|7.5229|7.5229
13p_a6|0|0|3.449535594|0|0|0|1.424099253|0.024837222|4.727387819|-0.1144898999999999|2|0.072850973|-0.634109842|-0.014153926|10.95053423|-0.072853186|-0.116250572|2|0.865935935|0.784414352|0.837659336|1|-0.099405155|-0.107371897|0.196002517|0.01730144|-70.52421289|-76.17631587|12.27472016|80.30786544|194.0233618|-0.03767435|-54.04422654|0.76005742|-2.14743793|89.17529231|0.412828992|3016.078786|-1523.526317|3833.042283|-18.9628865|0.23994258|8.760340755|0.703081362|6590.216479|170.2302215|-1080.8845310000002|35.16646396|-369.0018868|794.5462391|12.99897644|1.0|1.0|1.0|3.64|27.0|-10.06|4.01|122.47|1.0|132.01|0.0|0.0|7.0|-5.09|34.0|5.0|-7.01|0.0|0.0|1.0|8.11e-06|0.00365|2.79e-05|0.0125|0.0|0.0|3.92e-08|4.7973|2.9837|-1463.0432449999998|1283.98|258.45|573.39|-1462.740542|0.0029|-0.12251|9.0546|-0.1971099999999999|92.0|7.0362|7.0362
1n_a5|0|0|2.91912867|0|0|0|1.427557749|-0.1387762669999999|4.59511985|-0.0533837329999999|2|0.002508727|-0.3365350029999999|-0.150600424|10.94528897|-0.047910067|-0.015850084|2|0.6805709409999999|0.77828693|0.8402078140000001|0|-0.082180848|-0.081950989|0.428980979|0.023129277|-47.1725036|-47.04056285|13.27640087|63.58796786|123.2912732|-0.030493391|-27.00168194|0.627751746|-1.311215832|63.57058627|0.483868192|2437.279452|-752.6490056|889.4388375|-10.04713747|0.372248254|7.881746117|0.937489579|5101.31614|213.67365440000003|-432.02691110000006|27.88278228|-146.6611704|467.1194103|16.53002342|1.0|1.0|1.0|2.88|23.0|-8.07|3.99|80.76|1.0|101.77|0.0|1.0|5.0|-4.27|27.0|5.0|-6.41|0.0|0.0|1.0|5.41e-05|0.0193|6.56e-05|0.0234|0.0|0.0|3.01e-06|4.3838|4.3838|-1179.169527|1017.23|282.82|481.06|-1179.018429|0.3789|-0.17092|0.6234|-0.23278|27.0|7.5686|7.5686
1m_a5|0|0|2.934162514|0|0|0|1.3047206409999998|-0.252787668|4.59511985|-0.005518104|2|-0.07112464|-0.096417794|-0.10797859|10.94856032|-0.011848312|0.07132816|2|0.691858366|0.7824502320000001|0.851987765|0|-0.070959368|-0.071478865|0.429612762|0.009030414|-37.380714700000006|-37.65438054|4.7571353730000006|154.6334216|61.95289543|-0.028977918|-19.83596661|0.73847373|-1.072182971|46.74648368|0.482646195|2183.167528|-564.8157081|841.0375686000001|-8.041608085|0.26152627|6.911100301|0.932913201|4584.808374|137.7695311|-297.5394992|20.67140479|-251.2513491|383.4128238|9.092103139|1.0|1.0|1.0|2.69|23.0|-8.63|4.85|54.46|1.0|95.5|0.0|1.0|3.0|-4.52|24.0|3.0|-5.71|0.0|1.0|1.0|2.99e-05|0.00996|1.82e-05|0.00607|0.0|0.0|7.82e-07|4.6678|4.3983|-1410.88022|926.13|265.61|423.2|-1410.783167|0.2373|-0.1778|1939.0|-0.22857|43.0|7.3665|7.3665
10_a1|0|0|3.261363142|0|0|0|1.435871163|0.0883621719999999|4.727387819|-0.23385288|1|0.049971022|-0.621976404|-0.020225596|10.94957578|0.010430299|-0.042643966|1|0.674381582|0.7227844929999999|0.783467165|0|-0.116648443|-0.10949971|0.126889306|0.014751098|-65.97424138|-61.93104798|8.34295348|212.8090837|186.6625065|-0.045402319|-35.02707638|0.8340962559999999|-1.861495069|70.6564636|0.459673515|2432.447088|-1052.827816|1768.2330920000002|-14.52342192|0.165903744|7.376231317999999|0.850732895|5192.858899|93.83214542|-595.4602985|30.78628757|-377.9175542|433.2550452|8.725415617000001|1.0|1.0|0.0|3.0|23.0|-8.02|5.06|78.87|2.0|99.61|0.0|1.0|4.0|-4.98|27.0|5.0|-5.91|0.0|0.0|1.0|1.04e-05|0.00372|1.87e-05|0.00673|0.0|0.0|3.42e-06|3.4067|3.4067|-1223.125689|979.35|363.94|464.77|-1222.969096|0.6754|-0.13576|5.3861|-0.20378|1.5|5.8239|5.8239
9g_a24|0|0|2.931798469|1|0|0|1.427608366|-0.318471716|5.283203728999999|0.001126633|2|-0.162313932|-0.0425444|0.070915465|10.96318169|-0.02471184|-0.049325609|2|0.683676657|0.7931626959999999|0.859302479|0|-0.064835725|-0.065668047|0.383340003|0.01876163|-32.080056199999994|-32.49188065|9.283063574|174.88817269999998|65.73938109|-0.021297745|-16.07665151|0.4819264479999999|-0.788016565|49.25777584|0.427531635|2123.257348|-389.9025677|1196.910121|-5.214049137|0.518073552|6.124370267000001|0.746821416|4355.725609|256.3375151|-192.9198181|21.8662148|17.88521849|341.3207334|16.76589519|1.0|1.0|1.0|2.8|22.0|-6.43|2.93|72.28|0.0|87.53|0.0|1.0|3.0|-2.49|23.0|4.0|-7.17|0.0|1.0|0.0|0.00323|977.0|0.0008179999999999|247.0|0.0|0.0|0.000113|5.2521|4.2802|-984.5565078|879.99|236.07|400.47|-984.447764|0.1023|-0.17806|2.9691|-0.21391|68.0|7.1675|7.1675
3q_a32|1|1|3.4364803|0|0|0|0.609420748|-0.017280695|5.733341277|-0.04718311|0|0.02785755|-0.419780649|-0.022925245|10.31100266|-0.098400506|-0.295228244|0|0.751733573|0.853737093|0.901790225|1|-0.067604132|-0.097961799|0.34156046|0.018527744|-41.72706804|-60.46462749|11.43581616|41.73511731|92.62226328|-0.027989085|-37.3203761|0.6349739010000001|-1.371465184|74.3682963|0.46136998|2649.276311|-846.5047848999999|3335.898591|-10.6629646|0.365026099|6.428518903|0.856561949|6079.482066|225.3038157|-522.4852655000001|27.20679986|-166.61896299999998|618.9134881|13.90366881|0.0|1.0|1.0|3.57|19.0|-7.31|4.72|131.25|1.0|115.37|0.0|1.0|7.0|-5.91|28.0|4.0|-6.35|0.0|0.0|1.0|1.24e-06|0.000508|2.4100000000000003e-05|0.00992|0.0|0.0|2.01e-05|3.6236|3.6236|-1920.042674|1136.46|342.16|549.78|-1919.821707|0.2897|-0.15001|4.1362|-0.19969|28.0|7.5528|7.5528
8m_a46|0|0|0.0|1|1|1|1.160371261|-0.044830187|5.533389489|-0.085284636|1|-0.134230003|-0.248590088|-0.120972269|10.94650201|-0.064176245|0.015631887|1|0.783187801|0.7699708959999999|0.8142050040000001|0|-0.0911455|-0.085204935|0.280198209|0.007059399|-48.32436573|-45.17474201|3.742817678|166.8508795|65.63194084|-0.032188531|-23.9511632|0.8854896870000001|-1.448483903|48.72163155|0.425802465|2045.330306|-767.9706141|1913.813025|-9.04821721|0.114510313|5.684332261000001|0.7415609409999999|4439.758321|60.71213839999999|-407.1697745|19.27296714|-408.7649869|463.1469765|3.546889545|1.0|1.0|1.0|3.24|17.0|-6.46|4.21|50.94|1.0|96.16|0.0|1.0|2.0|-4.48|24.0|3.0|-5.61|0.0|1.0|1.0|3.3e-05|0.0105|2.78e-05|0.0088799999999999|0.0|0.0|0.000112|5.3062|4.2881|-1014.091966|970.82|233.66|489.57|-1013.91158|0.1441|-0.17897|2.0174|-0.19715|229.0|6.6402|6.6402
16_a3|0|0|0.0|0|0|0|0.605020428|0.183636734|4.727387819|-0.186717242|2|0.027762972|-0.371147877|-0.013328983|10.31163046|-0.018884246|0.008045619|2|0.659478546|0.767641592|0.838125715|1|-0.108919585|-0.100138414|0.252612735|0.012203576|-53.7971544|-49.45999101|6.027544549|248.6415425|149.4199775|-0.041233465|-24.42909382|0.8296818009999999|-1.401937796|56.56724056|0.484889078|2184.788331|-692.4398741|1290.305313|-10.05903863|0.1703181989999999|5.780331402000001|0.941329444|4733.033232|84.12292796|-342.00731349999995|24.54661368|-325.670405|328.71459869999995|7.107249553|1.0|1.0|1.0|3.13|21.0|-7.16|4.57|92.93|0.0|90.44|0.0|1.0|2.0|-4.98|23.0|4.0|-5.89|0.0|0.0|1.0|1.05e-05|0.0033799999999999|3.2200000000000003e-05|0.0104|0.0|0.0|2.25e-05|3.2208|3.2208|-1371.360243|856.09|384.94|368.22|-1371.250459|0.3866|-0.13195|2.8688|-0.2029|42.0|7.3768|7.3768
11_a1|0|0|3.3361517380000003|0|1|1|1.430935838|0.033732316|5.351858133|-0.196819043|1|0.08043435|-0.867849442|-0.05257082|10.94957487|-0.044235537|-0.117419838|1|0.823460272|0.747358374|0.8086124090000001|0|-0.131972845|-0.126108875|0.2027328789999999|0.034974992|-77.81495049|-74.35738693|20.62225192|274.39137789999995|238.4902806|-0.048723884|-43.84323456|0.751878145|-2.143850877|89.80732824|0.47723847|2697.640232|-1264.075578|1885.148133|-16.93943154|0.248121855|7.43666407|0.912918113|5798.645137|146.29971719999998|-745.3349875|38.20963621|-297.0290662|495.0560271000001|15.44994131|1.0|1.0|1.0|3.25|23.0|-7.47|4.23|97.33|1.0|105.71|0.0|1.0|4.0|-5.07|29.0|6.0|-6.27|0.0|0.0|1.0|8.48e-06|0.00327|2.17e-05|0.00838|0.0|0.0|1.29e-05|3.7383|3.1924|-1312.4282380000002|1036.18|331.66|471.76|-1312.241032|0.3201|-0.12916|5.0526|-0.19462|0.17|6.7696|6.7696
