molecula|SddssS|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|BCUTs-1|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1i|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|FNSA3|FPSA3|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|WNSA2|DPSA4|FPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
17a_a25|0.0|0|0.0|0.0|1|6.842683282|1.373200859|0.0055894319999999|-0.004137083|2|0.043274232|-0.017081614|-0.248224991|0.0063846319999999|10.93106298|0.006360768|1|1|-0.07654898|0.6741827509999999|0.748718056|0.168247187|0.659740852|1|-0.06234901|0.012665055|-44.46905084|9.033070252|93.75234138|0.125413071|-0.0297670279999999|-40.379488|0.755980502|-31.71656603|67.57985355|-21.2306737|53.50212109|2432.071525|-15.142307999999998|8.996672966|16.93624014|-847.969248|28.08362601|0.015373381|1.0|1.0|1.0|1.0|3.48|27.0|-9.98|4.83|5.31|72.7|2.0|0.0|131.06|0.0|1.0|7.0|-5.12|33.0|4.0|433.5|0.0|1.0|7.5e-06|0.00325|7.44e-06|0.00323|1.05e-10|5.2683|6.04|3.9347|-1391.625102|747.06|315.11|0.4076|235.34|598.67|0.1735|-0.16304|-0.21559|-1391.385492|5.1401|25.0|7.6021
4R4k_a46|0.0|0|0.0|0.173180233|1|7.825245291|1.134637098|-0.050636784|-0.0049602|1|0.0510113959999999|-0.104665424|-0.252970193|0.006550513|10.94631314|-0.1032662209999999|1|1|0.012963356|0.78837943|0.7477594870000001|-0.003017362|0.784722915|0|-0.089699228|0.007883196|-47.73036108|4.194771739|173.3171354|0.109374836|-0.030434186|-24.33134018|0.866681099|-25.39807111|49.58292992|-16.19450581|51.92513282|1767.850427|-8.617349646000001|5.522208638|10.33328154|-413.632783|18.68565706|0.007248925|1.0|1.0|1.0|1.0|3.8|17.0|-6.61|4.26|4.77|50.94|1.0|0.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|333.43|1.0|1.0|1.5e-05|5.0|1.4800000000000002e-05|0.0049299999999999|2.48e-07|5.2965|4.52|4.1392|-1053.439174|565.94|299.53|0.2896|234.09|490.83|0.1008|-0.17484|-0.19529|-1053.254911|1.9753|97.0|7.0132
12j_a30|0.0|0|0.0|0.0|0|7.412764017000001|0.604984421|0.04148877|-0.006336585|2|0.043848238|-0.02473642|-0.354848778|0.005613018|10.31162861|-0.075816941|1|1|-0.09353607|0.8414737059999999|0.795446883|0.0060012969999999|0.7991060659999999|0|-0.073909106|0.015613498|-47.76354083|10.09017681|88.51817261|0.157800959|-0.036204884|-39.31313154|0.8134611009999999|-30.8670468|69.55167701|-23.39729904|57.85371764|2258.891981|-15.12043521|8.067697897|15.41574553|-786.2626307999999|28.76265258|0.01349128|1.0|1.0|0.0|1.0|4.76|17.0|-7.01|4.35|2.93|81.65|2.0|0.0|132.24|0.0|1.0|5.0|-5.66|30.0|4.0|412.51|0.0|1.0|2.21e-06|0.0009119999999999|7.05e-06|0.00291|9.75e-08|5.1971|4.14|3.4788|-1615.096172|695.8|356.4|0.2163|238.56|549.64|0.1516|-0.14772|-0.1987799999999999|-1614.894278|5.1081|9.0|8058.0
13f_a6|0.0|0|3.440154557|0.0|0|6.842683282|1.429020649|-0.088329567|-0.006930367|2|45.0|0.04505613|-0.381170169|-0.003356527|10.95053349|-0.049928822|1|1|-0.223618825|0.841211811|0.77199166|-0.028317736|0.790249345|1|-0.073352505|0.018554018|-49.2635105|12.46087045|62.42897239999999|0.136777507|-0.032802223|-41.92004677|0.720711855|-33.08535238|75.61173794|-22.02995852|61.72438096|3253.287533|-14.79531062|9.050440345|15.13042752|-754.5608419|30.56694343|0.0196449239999999|1.0|1.0|1.0|2.0|3.56|27.0|-10.18|5.01|4.53|103.17|1.0|0.0|123.82|0.0|0.0|5.0|-5.11|32.0|5.0|417.47|0.0|1.0|7.74e-06|0.00323|1.65e-05|0.00688|6.59e-11|4.8413|3.36|3139.0|-1347.301285|711.29|394.98|901.0|256.1|568.41|0.0048|-0.12805|-0.2059099999999999|-1347.0794119999998|13.9612|42.0|7.3768
4S4k_a46|0.0|0|0.0|0.173180233|1|7.825245291|1.134637098|-0.050636784|-0.0049602|1|0.0510113959999999|-0.104665424|-0.252970193|0.006550513|10.94631314|-0.1032662209999999|1|1|0.012963356|0.78837943|0.7477594870000001|-0.003017362|0.784722915|0|-0.089589915|0.007749296|-47.49082053|4.1078333030000005|172.7607401|0.1082655419999999|-0.030477338|-24.18078772|0.8679099640000001|-25.17446332|49.42345536|-16.15576699|51.59865384|1729.18312|-8.564028983|5.523352655|10.26616763|-411.0733912|18.61456563|0.007182108|1.0|1.0|1.0|1.0|3.8|17.0|-6.61|4.26|4.77|50.94|1.0|0.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|333.43|1.0|1.0|1.5e-05|5.0|1.4800000000000002e-05|0.0049299999999999|2.48e-07|5.2854|4.52|4.0774|-1053.441953|566.82|304.07|0.2623|234.58|487.43|0.0654|-0.17396|-0.1947|-1053.255345|2.5693|197.0|6.7055
3a_a32|0.0|1|3.226454082|0.0|0|7.678326357|0.6094208210000001|-0.0505635059999999|-0.007588088|0|0.03382716|-0.014365682|-0.250406908|-0.002794182|10.31100283|0.125185185|3|3|-0.1568626659999999|0.84134255|0.844272053|-0.045516432|0.7757299320000001|1|-0.080607266|0.0224684379999999|-37.30101542|10.39727075|87.55216606|0.182929032|-0.032360692|-20.78892268|0.6723099029999999|-17.261046399999998|55.87310101|-14.97491147|47.69828617|812.930125|-6.929640892|5.755284924|10.67859439|-207.8892268|22.27382254|0.0236593529999999|0.0|1.0|1.0|1.0|2.96|19.0|-6.12|5.77|4.12|110.94|0.0|0.0|83.28|0.0|1.0|2.0|-5.32|20.0|3.0|298.39|0.0|1.0|4.83e-06|0.00144|4.51e-05|0.0134|7.66e-07|3.6308|2.17|3.6308|-1554.796165|492.91|341.48|0.2719|341.48|355.48|0.2719|-0.15058|-0.20638|-1554.748543|5.7916|3.0|8.5686
18_a31|0.0|0|3.281949877|0.0|0|7.401841579|0.610137226|0.0690370959999999|-0.013634202|0|0.0427124179999999|-0.051184519|-0.640807491|-0.009923585|10.31169929|-0.096301845|2|2|-0.107017926|0.868704545|0.8595579409999999|0.022160691|0.838968212|0|-0.11789212|0.014467496|-69.19879619|8.49194438|238.9516432|0.27411287|-0.040279446|-44.60622732|0.7774768320000001|-40.61741697|85.81723707|-23.64270989|77.69074057|1935.374782|-13.87749294|7.076684189|12.84812443|-624.4871824|30.40953623|0.01673486|1.0|1.0|1.0|3.0|3.41|16.0|-6.54|4.9|3.48|119.14|1.0|0.0|99.32|0.0|1.0|7.0|-4.62|25.0|4.0|356.44|0.0|1.0|2.42e-05|0.00862|0.000241|86.0|2.9e-07|5.0092|4.81|3.9105|-1465.528656|630.26|317.05|444.0|247.51|541.33|0.2457|-0.16212|-0.19914|-1465.359325|4.6746|0.13|6.8861
37_a18|0.0|0|0.0|0.0|0|7.03438793|1.251176176|-0.0013530679999999|-0.005351023|1|0.036746032|-0.018268775|-0.385273662|0.002300582|10.94702064|-0.011713125|0|0|-0.224171123|0.7100921609999999|0.725028151|0.020848396|0.699483099|0|-0.068500679|0.009098426|-50.09028298|6.653112344|12.63119843|0.168216253|-0.0286221589999999|-40.02719655|0.7648766029999999|-36.62790634|65.15554136|-20.92960342|56.74339533|1571.7484060000002|-15.30451633|9.460456975|18.49074823|-1040.70711|27.36337253|0.0142451319999999|0.0|1.0|1.0|2.0|4.31|18.0|-8.82|3.68|3.3|76.5|2.0|1.0|151.14|0.0|1.0|7.0|-5.68|36.0|3.0|480.6|1.0|0.0|2.08e-06|0.000999|3.35e-06|0.00161|1.51e-09|3.2127|8.11|3.2127|-1532.997117|794.5|385.91|499.0|385.91|673.45|499.0|-0.13194|-0.18119|-1532.622404|3.0375|35.0|7.4559
GW6604_a52|0.0|0|2.944144148|0.0|0|6.605297921|1.427583999|-0.277102285|-0.002149879|2|0.021346801|-0.0778992459999999|-0.085995143|0.007746755|10.94914378|-0.028376521|1|1|0.067497086|0.709088617|0.693399445|0.074868979|0.689009112|0|-0.071850787|0.009021088|-35.51891876|4.459510077|157.2481263|0.12653545|-0.029217264|-17.61190876|0.73529506|-17.55852148|44.37166117|-14.44334401|39.97842884|799.8313017999999|-7.13996301|6.2973559020000005|11.6571716|-264.17863140000003|19.64292268|0.01768964|1.0|1.0|1.0|1.0|2.68|23.0|-8.03|4.49|4.2|54.46|0.0|0.0|90.49|0.0|1.0|3.0|-3.87|23.0|3.0|298.34|1.0|1.0|0.000135|0.0402|6.929999999999999e-05|0.0207|9.31e-09|||||||||||||||107.0|6.9706
4g_a49|0.0|0|0.0|0.0|2|8.228176896|1.343847279|-0.087219006|-0.003686314|4|0.036761229|-0.085731041|-0.328081947|0.007953069|10.92777048|0.08591712|2|2|-0.066023903|0.651833607|0.7559263270000001|-0.027032199|0.626581708|2|-0.061465364|0.018944337|-61.24875669|18.87757641|151.0705543|0.139812173|-0.0250032489999999|-66.20622488|0.6273572239999999|-61.03291321|90.11923831|-24.91513644|80.12633309|4747.967275999999|-24.82733433|9.28937554|18.19125978|-1986.186746|39.71443299|0.023762615|0.0|1.0|0.0|1.0|4.83|42.0|-13.67|6.09|7.56|116.3|2.0|0.0|198.32|0.0|0.0|7.0|-7.47|51.0|7.0|663.73|0.0|0.0|3.3700000000000004e-08|2.24e-05|3.72e-08|2.47e-05|2.13e-14|4.3116|6.35|3.6269|-2147.721319|985.89|341.84|0.1389|287.56|662.84|0.0265|-0.15087|-0.21545|-2147.295787|4.5147|106.0|6.9747
