molecula|SddssS|SaaNH|NaasN|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|FPSA5|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
2_a27|0.0|0.0|2|0|1.402655014|0.09890645|-0.0065894809999999|4.59511985|2|0.0427777779999999|-0.196529806|-0.276758209|0.009338889|0.11675125|0.017751479|1|-0.337316432|-0.21066171|-0.361571905|-0.475677812|2|0.796022385|0.137868605|0.027777778|0.8585302370000001|0.60904903|0.019809599|-29.42169804|-41.03489597|9.194894069|0.153130039|77.08713259|-0.029261411|-20.65736087|5.020172886|53.58106492|0.6684621829999999|-1.141195033|52.43208086|39.39404027|2210.487938|426.3224749|-574.4885436000001|1270.627585|0.331537817|5.312170441|0.7934621359999999|166.89932209999998|0.022639983|373.9912084|0.0|0.0|1.0|2.9|21.0|-5.84|2.49|65.6|2.42|0.0|0.0|92.58|2.0|2.0|-3.19|-6.69|317.34|0.0|1.0|-3.7|204.0|0.0002009999999999|2.18|0.0004599999999999|-0.04933|4.32|4.1624|-1043.7984|906.48|297.87|0.3217|-1043.665151|0.3217|-0.16769|4.7049|0.02268519|6.8854|13.0|7.8861
19_a47|0.0|0.0|1|0|1.402889494|-0.038804671|-0.00973456|4.727387819|2|0.032764858|0.027033021|-0.4380552029999999|-0.013020816|-0.064557784|0.0604168609999999|1|0.074201869|-0.046265509|-0.126992366|-0.439165562|2|0.823945134|-0.024256505|0.095841135|0.8873627890000001|0.614975047|0.026805875|-58.28861174|-57.87554797|335.10989930000005|0.360357109|199.6541807|-0.037307124|-32.06567824|8.228498913|66.13355777|0.637832605|-1.566899206|76.13237258|73.14028211|2612.978054|354.3911695|-868.1332196000001|1238.799875|0.362167395|7.06969105|0.8635094740000001|200.6571609|0.03295186|428.5826478|0.0|1.0|1.0|3.13|21.0|-6.92|3.84|98.72|1.67|1.0|0.0|99.2|1.0|5.0|-3.67|-7.22|380.35|0.0|0.0|-3.66|0.0816|0.000217|1.97|4.59e-05|-0.05326|3.51|3.8423|-1335.725639|974.59|322.68|0.3243|-1335.580357|0.3243|-0.15845|5.1151|0.03178118|6.3247|0.05|7.3
1_a1 (SKF-104365)|0.0|0.0|1|1|0.626769342|0.011230812|-0.006055958|5.4161004020000005|1|0.0409444439999999|-0.091086986|-0.218014497|0.000663414|-0.10236005|0.11172918|1|-0.221214316|-0.123703409|-0.300426726|-0.505981356|1|0.7926983559999999|-0.015406451|0.194988905|0.857919181|0.551667506|0.0133681239999999|-31.45099608|-37.55389489|6.658828587|0.186844249|86.42113499|-0.029524467|-17.369816|2.859900586|63.42504103|0.709744919|-0.9743074|46.32985169|37.63415922|1997.193006|376.1092109|-450.6467387|1551.362941|0.290255081|5.2735884010000005|0.71469847|134.2517831|0.018973797|297.2783688|1.0|1.0|1.0|2.97|17.0|-6.0|4.28|56.01|2.52|0.0|0.0|81.72|1.0|2.0|-3.8|-6.01|297.35|0.0|1.0|-4.02|0.0472|9.65e-05|2.96|0.000295|-0.03482|3.45|3.8901|-1279.060907|809.96|318.72|0.2178|-1278.971649|0.2178|-0.16142|4.5773|0.02377006|6.9338|1.6|5.7959
13c_a5|0.0|2.944180713|0|1|1.377702625|-0.2071929139999999|-0.005082338|4.59511985|3|0.024822695|-0.010689086|-0.284610951|0.005288472|-0.098760742|-0.018055556|1|-0.017427549|-0.092592608|-0.150963534|-0.324868153|2|0.770478689|0.003545487|-0.033833834|0.822789227|0.6775573359999999|0.023143526|-50.97293525|-50.50012762|158.67712230000004|0.19980328|131.7396496|-0.025039414|-33.29709668|10.06137448|51.93687546|0.551328235|-1.302049531|70.46156718|66.23254483|2793.480751|527.6071331999999|-858.5021696|1235.709541|0.448671765|8.492261628|0.873289814|295.8302846|0.0302745689999999|656.208474|0.0|1.0|1.0|3.13|23.0|-8.09|3.29|84.0|1.16|1.0|0.0|120.88|1.0|5.0|-3.55|-7.28|411.46|0.0|0.0|-3.96|0.1169999999999999|0.000109|2.15|3.36e-06|-0.05615|3.99|4.2145|-1351.2369640000002|1153.36|294.18|509.0|-1351.008469|0.1666|-0.17324|2.3276|0.03747691|2.9732|123.0|6.9101
12o_a36|0.0|3.444418304|0|2|1.297042837|0.01340619|-0.0100574069999999|5.351858133|2|0.040770975|0.03842353|-0.613501857|-0.00233752|-0.059733192|-0.010904454|1|0.065221584|-0.126068378|-0.213993335|-0.5110239679999999|1|0.799869816|0.141570244|-0.01854899|0.848816593|0.817582774|0.023402195|-59.0895896|-76.51720886|55.47133795|0.2407887189999999|173.4105814|-0.03541591|-55.10596064|12.13767506|112.1259723|0.666462845|-2.018706878|95.66406176|75.94332024|3009.981519|546.7667677000001|-1453.826968|2778.220342|0.333537155|7.322888607|0.885724665|240.2059039|0.026586303|757.7532208|0.0|1.0|0.0|4.97|17.0|-6.93|1.65|98.3|1.49|1.0|0.0|138.06|1.0|7.0|-3.54|-7.66|438.48|0.0|0.0|-3.64|128.0|0.000227|1.85|5.18e-05|-0.05456|4.5|3.8726|-1440.926241|1240.51|320.16|0.4075|-1440.671057|0.2888|-0.15695|4.9237|0.04371335|6.6471|0.04|7.3979
11_a27|0.0|2.680511093|0|2|1.1606177359999998|0.100091619|-0.0067474069999999|5.4161004020000005|2|0.042533875|-0.080272515|-0.344117757|0.004538653|-0.0864111069999999|-0.027287578|0|-0.1299181459999999|-0.041662169|-0.067428705|-0.488734846|2|0.814843016|-0.0357410779999999|-0.043616687|0.8629676709999999|0.7146215429999999|0.016171515|-42.27430065|-50.15555389|143.3238715|0.2354494999999999|124.5410133|-0.034296948|-26.52978026|4.524597532|72.60399149|0.8088958709999999|-1.611956546|56.8702158|50.82822357|2339.465471|404.4089873|-852.6444161000001|1646.903525|0.1911041289999999|5.231762955|0.82770457|101.0845293|0.012694323|504.209846|1.0|1.0|0.0|3.95|16.0|-6.09|1.67|61.88|3.06|0.0|0.0|106.33|1.0|2.0|-3.68|-6.47|345.4|0.0|1.0|-4.02|0.0716|9.45e-05|2.73|0.000283|-0.05985|4.54|2.4836|-1122.433411|974.29|499.21|0.3492|-1122.190727|0.0793|-0.1022|3.1278|0.0226944|4.2894|5.0|8301.0
14j_a23|0.0|0.0|2|0|1.197963927|0.074424082|-0.006327927|5.351858133|2|0.046283951|0.037350515|-0.322724299|0.007671236|-0.026319216|-0.055708465|2|0.087218599|-0.073945564|-0.17267308|-0.463194548|2|0.800643488|0.143567854|-0.091426449|0.864845456|0.5935522360000001|0.020485263|-40.35191855|-53.34139172|40.38957571|0.154547838|100.2571987|-0.034989992|-34.60325668|8.620784882999999|83.17168000000001|0.7739671709999999|-1.644529644|64.88069411|53.64097592|2943.385528|548.455847|-1066.827834|2175.598042|0.226032829|7.83426417|0.988615047|146.63044480000002|0.017787992|599.5697147999999|0.0|1.0|1.0|3.39|26.0|-7.67|4.58|105.02|3.4|2.0|1.0|120.24|1.0|5.0|-5.58|-6.31|429.47|0.0|0.0|-5.11|0.00114|7.73e-06|3.68|9.18e-06|-0.07581|3.72|3.6671|-1729.1379190000002|1142.37|338.1|0.3886|-1728.9293280000002|0.3886|-0.14816|5.8037|0.02207124|8.3233|4.0|8.3883
33_a20|0.0|0.0|1|0|1.4175014119999998|-0.188733405|-0.00145476|4.727387819|2|0.0388043479999999|0.148855442|-0.078557022|0.009265667|-0.061975089|-0.062750442|1|0.248715569|-0.036258691|-0.060582944|-0.1771816269999999|2|0.74131936|-0.0854333469999999|-0.10978034|0.802353442|0.607038752|0.012738882|-38.58254635|-45.72654913|8.680600701|0.0506104|33.13709773|-0.0265385579999999|-29.9394021|5.46110745|64.93395624|0.759356182|-1.326927921|54.60811436|46.92331405|2737.8873550000003|621.611679|-868.8044333999999|2274.654579|0.240643818|8.062843544|0.8721516570000001|157.56124519999997|0.013564844|664.4562602999999|1.0|1.0|1.0|3.39|27.0|-9.69|5.39|67.39|2.61|2.0|0.0|121.62|1.0|4.0|-5.6|-5.58|401.46|0.0|0.0|-5.53|0.000997|2.98e-06|4.47|8.199999999999999e-08|-0.0582899999999999|4.07|3.8867|-1275.823229|1174.95|318.99|0.6157|-1275.602977|0.0463|-0.15959|3.5714|0.02957286|5.0369|34.0|7.4685
14b_a25|0.0|0.0|1|0|1.420015222|-0.091382738|-0.004720915|4.727387819|2|0.038137255|0.001683506|-0.273813082|0.004725325|-0.012989126|0.0009956189999999|1|0.0028569959999999|-0.043923908|-0.074541111|-0.3691494039999999|2|0.7723870909999999|-0.085205646|0.001715854|0.8333962429999999|0.632638761|0.016003559|-52.75064158|-58.29440389|112.49583529999998|0.140371985|97.23019209|-0.032728922|-40.37825712|7.678174472999999|57.85340824|0.772789587|-1.767361771|69.2012501|63.83568179|3038.600508|595.4307570000001|-1224.182482|2118.281186|0.227210413|8.690235527|0.963240883|157.3797801|0.015746299|760.3735147000001|1.0|1.0|1.0|3.51|27.0|-9.65|4.79|96.49|1.8|2.0|0.0|130.97|1.0|6.0|-5.6|-6.26|444.49|0.0|0.0|-5.23|0.0011099999999999|5.86e-06|3.88|9.93e-08|-0.0584|5.61|4069.0|-1444.505985|1257.11|304.7|0.3614|-1444.266358|0.0006|-0.16309|2.7037|0.03876374|3.2784|22.0|7.6576
47i_a18|0.0|0.0|0|1|1.251177255|0.053794607|-0.006882626|4.844187086|0|0.037484277|-0.037689885|-0.440488042|-0.000919158|0.073977454|-0.040514277|0|-0.057689282|-0.106018078|-0.162274487|-0.499939719|0|0.744472118|-0.064085904|-0.068524374|0.7842882870000001|0.727767462|0.009745543|-54.34379065|-62.41153158|72.81110823|0.196924826|137.1555392|-0.035256027|-43.46880696|4.727502734|82.81385171|0.8608685909999999|-2.150617629|68.954317|61.13143233|2795.907966|559.3312455|-1497.876758|1333.332089|0.139131409|9.573882864|0.951017454|96.90318745|0.009393984|855.7438937000001|1.0|1.0|1.0|4.05|18.0|-8.98|2.8|85.29|2.74|3.0|1.0|134.83|1.0|8.0|-5.18|-6.36|440.54|0.0|0.0|-4.78|0.0029|1.67e-05|3.7|4.6e-07|-0.05062|7.37|3.2321|-1416.233978|1297.7|383.61|0.5085|-1415.875678|0.5085|-0.13237|2.7749|0.02671774|3.5235|19.0|7.7212
14a_a3|0.0|0.0|0|0|0.6050202020000001|0.111575338|-0.009312773|4.727387819|3|0.043464052|-0.143740653|-0.363198151|-0.00603969|-0.039177314|-0.172643335|1|-0.267665193|-0.050943323|-0.094863591|-0.582572884|3|0.7574238740000001|0.164994144|-0.287221775|0.822587422|0.8255789570000001|0.0140376889999999|-45.12132248|-46.53709886|256.5548327|0.209105063|102.8554977|-0.036792719|-22.89086827|3.396421044|83.70773843|0.7608768779999999|-1.324537874|55.84414456|52.02624107|2160.698862|389.0288018|-651.519384|1186.412113|0.239123122|5.308770254|0.930491715|117.6209094|0.0189212089999999|358.3503513|0.0|1.0|1.0|3.27|21.0|-6.89|3.71|105.82|1.04|0.0|0.0|93.25|1.0|2.0|-4.45|-6.42|319.38|0.0|0.0|-3.99|0.0113|0.000103|2.58|4.08e-05|-0.06736|2.44|3.2363|-1327.485188|822.33|383.1|0.4524|-1327.354384|0.4524|-0.1321|3.5358|0.02860456|4.6689|0.03|7.5229
14q_a23|0.0|0.0|2|0|1.19796338|0.141057047|-0.0101981219999999|5.351858133|2|0.044138322|0.064903564|-0.5608967029999999|0.002243702|-0.058543701|-0.056324491|2|0.121109106|-0.017918675|-0.033435987|-0.573130981|2|0.808928963|0.067394607|-0.089657283|0.871119857|0.7333675390000001|0.02158178|-61.51997721|-66.16349731|350.836102|0.226805402|155.7136729|-0.039682061|-45.42467289|10.17264683|97.13675614|0.777340899|-2.023785094|79.42966327|76.3369885|3097.399651|530.8381985000001|-1389.433443|2213.1193780000003|0.222659101|8.732265278|0.893957277|152.86702240000002|0.01932289|693.3423458|0.0|1.0|0.0|3.52|26.0|-6.96|3.12|148.11|2.28|1.0|1.0|128.38|1.0|6.0|-5.21|-7.33|454.51|1.0|0.0|-4.39|0.00278|4.03e-05|2.46|5.03e-05|-0.08159|4.19|3.6431|-1798.6108739999995|1222.17|340.33|0.4943|-1798.3704079999998|0.4943|-0.14854|8375.0|0.03458552|12.0503|16.0|7.8069
5e_a40|0.0|0.0|1|1|0.604912776|-0.091305805|-0.004925115|6.167516491000001|0|0.044526749|-0.106497535|-0.162528785|0.009890343|0.158430496|0.029272031|2|-0.184667138|0.005996234|0.010397494|-0.391074665|0|0.8092726020000001|-0.402340487|0.0451110059999999|0.877722972|0.5087199929999999|0.019851304|-36.56222854|-42.66853738|170.7311133|0.135577249|64.47400829|-0.035889706|-20.29110082|4.489363277|51.7148695|0.8223594679999999|-1.076691165|48.81318333|46.00255248|1986.384601|411.0778166|-512.0224486000001|512.5703164|0.177640532|6.533857846|0.914944155|84.47727896|0.012921086|264.9899736|1.0|0.0|0.0|3.03|14.0|-4.65|3.74|75.5|2.37|1.0|1.0|79.16|2.0|3.0|-4.78|-5.66|303.77|0.0|1.0|-4.25|0.00505|5.56e-05|3.51|0.00678|-0.07231|4.99|3.7138|-1637.180703|802.38|333.85|0.5262|-1637.115238|0.5262|-0.14786|7.87|0.01659566|10282.0|25.0|7.6021
47c_a18|0.0|0.0|0|1|1.251176227|0.02368001|-0.007068829|4.844187086|0|0.032688172|0.047739847|-0.537230966|0.0007979619999999|-0.058748345|0.028947131|0|0.071793992|-0.212991596|-0.320309303|-0.455055055|0|0.758269842|-0.027873485|0.050944273|0.7912974190000001|0.7601847759999999|0.015864085|-57.54296759|-75.57063623|67.68084951|0.1871383589999999|150.4485025|-0.0321917939999999|-60.75445536|10.25333491|103.416376|0.7489981509999999|-2.350000928|88.76073429|70.29678191|3228.879782|653.4941186000001|-1889.265906|2027.892739|0.251001849|9.566965871|0.958059115|201.7910841|0.016406766|1167.054827|1.0|1.0|1.0|4.61|18.0|-9.18|2.87|97.76|2.41|3.0|2.0|154.77|1.0|12.0|-5.73|-6.61|513.63|0.0|0.0|-5.09|0.000947|8.12e-06|3.98|3.42e-07|-0.0449|7.72|3.1096|-1664.721977|1505.09|398.71|0.5869|-1664.201034|0.5869|-0.12841|3.3075|0.03115159|3.8573|3.0|8.5229
3a_a12|0.0|0.0|0|1|1.28383802|0.13714555|-0.007671441|0.0|2|0.032544803|-0.1231529169999999|-0.322200517|-0.0025830939999999|-0.062973953|-0.0161799839999999|0|-0.205054123|-0.072889493|-0.1213636769999999|-0.5274624179999999|1|0.7038021990000001|-0.021522321|-0.032466697|0.759068438|0.8847197109999999|0.009433302|-34.84701355|-44.430225|71.11710277|0.128014506|62.63745781|-0.034924502|-21.73969523|2.258466332|0.0|0.781050096|-1.362055589|52.21461165|39.46272532|2045.857684|426.6622302|-666.453375|1050.730179|0.2189499039999999|5.924949067000001|0.859002624|107.1321197|0.015909241|381.0058252|1.0|0.0|1.0|3.84|18.0|-7.5|2.49|37.28|3.09|0.0|0.0|97.52|1.0|3.0|-3.6|-5.88|298.34|0.0|1.0|-4.06|0.0745|8.8e-05|3.15|9.33e-06|-0.06829|3.33|3.7304|-951.3480023|875.71|332.36|0.3201|-951.217594|128.0|-0.15328|1.3824|0.023184956|1.9332|194.0|6.7122
12v_a30|0.0|0.0|0|2|0.604983445|0.037440652|-0.006974714|5.351858133|2|0.04625323|-0.099831334|-0.369659818|0.002431329|0.020607357|-0.04950715|1|-0.173424818|-0.0493878409999999|-0.0857954809999999|-0.471153275|1|0.83236194|-0.029852321|-0.080971844|0.889479916|0.711738503|0.015823709|-52.18846092|-65.72041011|82.09302037|0.1498787969999999|101.4008026|-0.037666615|-44.46327619|7.242869835|0.0|0.806069067|-1.845664126|75.73440678|62.89402328|3001.758432|575.1512171|-1248.687792|2483.120571|0.193930933|8.114588039|0.917675298|131.2043645|0.014801518|685.6665849999999|1.0|1.0|0.0|4.62|17.0|-7.8|3.92|81.65|3.79|2.0|0.0|137.3|1.0|5.0|-6.58|-5.52|467.37|0.0|0.0|-6.04|0.000123|9.14e-07|5.12|7.39e-06|-0.0563|5.08|3.5507|-2494.92869|1209.1|349.18|0.1601|-2494.739831|0.1601|-0.1505099999999999|2.9171|0.03495552|4105.0|22.0|7.6596
A7701_a51|0.0|2.9690728930000003|0|0|1.390164251|-0.221071791|-0.002377784|4.59511985|2|0.031405229|0.070581466|-0.0927335619999999|0.008062393|0.058290286|-0.0299823629999999|1|0.119725261|0.036217274|0.061434294|-0.22798944|2|0.7451039290000001|0.00552665|-0.0533751959999999|0.8092075540000001|0.688876851|0.007404204|-32.97926236|-36.09660744|146.2104641|0.134885227|62.31656919|-0.030384547|-16.67652408|1.580362387|0.0|0.799046392|-1.09384371|41.87351682|36.39998243|1959.582581|399.6804233|-505.3525041|1108.114062|0.200953608|5.137516673|0.7251817340000001|92.83996262|0.012504214|332.8814548|1.0|1.0|1.0|2.66|21.0|-7.58|4.0|54.46|1.98|0.0|0.0|87.52|1.0|2.0|-3.95|-5.82|286.33|0.0|1.0|-4.17|0.0319|6.790000000000001e-05|3.14|7.5e-06||||||||||||||25.0|7.6021
13b_a6|0.0|3.423777636|0|1|1.430640379|-0.0411179|-0.011206134|5.351858133|1|0.042739018|0.060593678|-0.6051312529999999|-0.00460563|-0.104663349|-0.064811009|1|0.100281317|-0.10896749|-0.180339002|-0.490758329|1|0.7788169070000001|-0.029988734|-0.11338525|0.8370824240000001|0.8013954109999999|0.032036214|-61.06841733|-74.04643339|154.7847961|0.2242827939999999|147.0772097|-0.0406496879999999|-48.5571926|13.77653618|554.4007331|0.757233678|-2.032484418|87.39962829999999|82.07670290000002|2821.72831|508.6895893|-1332.835801|2587.000662|0.2427663219999999|9.087172635|0.69141956|159.1980937|0.0203627189999999|627.4287311|1.0|1.0|1.0|3.56|23.0|-9.01|4.32|95.85|1.29|2.0|0.0|116.79|1.0|5.0|-5.51|-6.1|409.44|0.0|0.0|-4.99|0.0012699999999999|1.02e-05|3.8|4e-07|-0.0525799999999999|4.04|3.6322|-1350.061187|1167.21|341.35|0.7846|-1349.837661|0.2461|-0.14898|10.8032|0.02920955|13.5746|174.0|6.7595
14r_a23|0.0|0.0|2|0|1.197963203|-0.009140243|-0.006323791|5.351858133|2|0.045277778|0.014148395|-0.322513347|0.007671236|-0.079935667|-0.064006338|2|0.033038452|-0.073945564|-0.17267308|-0.454010253|2|0.7837821840000001|0.03753491|-0.1050445769999999|0.846632079|0.5935522360000001|0.019185345|-40.32463891|-55.30494931|47.26552456|0.133777381|86.14846171|-0.03654528|-35.61466281|7.956082857|55.62948521|0.7882228370000001|-1.717628177|66.31173073|52.67940305|2945.137191|557.8203557999999|-1106.098986|2306.754114|0.211777163|7.555307147000001|0.873329024|136.37788909999998|0.017092103|599.5697147999999|0.0|1.0|0.0|3.47|26.0|-7.67|4.58|105.02|3.4|2.0|1.0|120.24|1.0|5.0|-5.58|-6.31|429.47|0.0|0.0|-5.11|0.00114|7.73e-06|3.68|9.18e-06|-0.06842|3.72|3.1797|-1729.1326809999998|1145.51|389.92|0.2346|-1728.924789|0.0008|-0.15536|6.2620000000000005|0.02296354|8.8722|5.0|8.2684
14b_a50|0.0|0.0|2|2|1.267593742|-0.092558007|-0.003935732|5.82008293|2|0.030219907|-0.068176984|-0.255822608|0.010215823|0.037777505|-0.041169251|2|-0.106938404|-0.1786649189999999|-0.280243276|-0.306633966|1|0.7887047979999999|0.030057537|-0.076752616|0.831689551|0.71456262|0.022423099|-33.02344264|-50.27694576|25.31245624|0.095923652|62.89861413|-0.025558317|-32.9673668|9.64109526|192.8987555|0.637281054|-1.533499045|64.58491917|47.72661339|2967.872393|592.81677|-1005.538915|2984.248708|0.362718946|6.3538844910000005|0.8030515570000001|237.8403928|0.021820402|825.4425942|1.0|1.0|1.0|4.64|20.0|-6.86|4.81|66.99|2.32|2.0|0.0|128.39|1.0|7.0|-4.6|-6.5|441.52|0.0|1.0|-4.78|0.0111|1.6800000000000002e-05|3.51|6.12e-05|-0.02486|3.05|4.0775|-1431.037684|1253.87|304.07|0.1637|-1430.72987|0.1373|-0.16874|5.3711|0.03081037|6.7927|6.58|5.1818
47f_a18|0.0|0.0|0|1|1.251175676|-0.005500039|-0.005817448|4.844187086|0|0.031179487|-0.048472184|-0.477030713|0.0036509859999999|0.033759227|-0.008224928|0|-0.071877686|-0.264839041|-0.3927204379999999|-0.4138670829999999|0|0.750610215|-0.009917608|-0.014370598|0.780474694|0.745431271|0.0138461289999999|-54.18475173|-72.03501774|111.1889928|0.161843119|137.3980967|-0.0289997239999999|-61.15474298|9.979328976|58.84834254|0.726550657|-2.290978185|86.11217859|65.93954138|3367.7324700000004|711.5604361000001|-1944.945479|2343.062749|0.273449343|10.55465562|0.937396993|232.14715330000004|0.016581683|1347.416568|1.0|1.0|1.0|4.87|18.0|-9.22|3.6|88.97|2.79|3.0|2.0|164.47|1.0|13.0|-6.11|-6.4|541.68|0.0|0.0|-5.52|0.000421|3.01e-06|4.52|3.27e-07|-0.04439|8.13|3.0964|-1743.346389|1602.99|400.42|0.5741|-1741.724929|0.5741|-0.12802|3.8532|0.02902413|4.4861|9.0|8.0458
17e_a50|0.0|0.0|2|2|1.320916122|-0.153175103|-0.0020746479999999|5.82008293|2|0.031870748|-0.011278897|-0.141076059|0.012036705|-0.086639125|-0.114420412|2|-0.017965698|-0.1949741189999999|-0.310566368|-0.229030473|1|0.7409645029999999|-0.1710526319999999|-0.202197068|0.7791604190000001|0.736221185|0.012865274|-32.24487658|-50.7956915|10.68364489|0.069891795|48.62532158|-0.02665495|-35.33972521|6.227183052000001|86.98647608|0.803671114|-1.67926185|57.93079973|41.19554236|2883.936138|647.0975667|-1168.300905|1981.934841|0.196328886|8.52101688|0.960006062|136.5904997|0.010255676|904.3172644|0.0|1.0|1.0|4.18|20.0|-7.33|4.68|51.77|2.91|2.0|0.0|138.0|1.0|6.0|-4.87|-6.08|438.57|0.0|1.0|-5.18|0.00589|6.58e-06|4.08|2.03e-05|-0.03156|3.8|4.0298|-1375.268259|1312.91|307.67|0.1809|-1374.927998|0.1785|-0.16649|6.7175|0.02761851|8.8326|155.0|6.8097
4a_a49|0.0|0.0|1|1|1.343847746|-0.076526919|-0.006602016|5.4161004020000005|2|0.036555556|-0.080255074|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|0.018857363|1|-0.130491035|-0.037142108|-0.060391347|-0.403194204|2|0.803344301|0.0063958109999999|0.032396301|0.856023531|0.731643066|0.017143497|-57.79201133|-53.88810275|313.22432680000003|0.242956384|149.0098632|-0.0292876779999999|-33.05061877|6.448709504|60.11195021|0.650301539|-1.4936715669999998|68.37721704|68.30645049|2675.628678|464.3095353|-916.0977468|1647.61849|0.349698461|7.934892916|0.8926425020000001|214.47685|0.023624093|620.5697596|0.0|1.0|1.0|3.35|21.0|-7.36|2.83|92.93|1.25|1.0|0.0|114.08|1.0|6.0|-3.28|-7.52|399.45|0.0|0.0|-3.52|211.0|0.000305|1.71|1.74e-05|-0.06461|3.34|3.7876|-1313.158118|1128.22|327.34|0.1935|-1312.924353|0.0789|-0.1585099999999999|3.9716|0.04133192|4.8706|32.0|7.4949
3c_a49|0.0|0.0|1|1|1.343850149|0.034009672|-0.004876919|5.4161004020000005|2|0.036335697|-0.04696024|-0.248722888|0.006218639|-0.05815918|0.0127926339999999|1|-0.0780996759999999|-0.0612829229999999|-0.101919761|-0.384874446|2|0.802792677|0.005559828|0.0211518929999999|0.8605470759999999|0.64702083|0.0148240689999999|-41.0524769|-42.3959176|89.34479838|0.203663616|116.4686425|-0.0252377479999999|-24.24485565|4.8479546860000005|77.29181095|0.637222556|-1.186174159|54.85343388|49.52988301|2521.794855|455.3990518|-678.3346816000001|1667.1178220000002|0.362777444|6.567311051|0.919925763|207.4607002|0.021783913|542.7276591|0.0|1.0|1.0|3.18|21.0|-7.54|3.87|72.7|1.84|1.0|0.0|109.43|1.0|4.0|-3.45|-6.93|369.42|0.0|1.0|-3.86|0.13|0.000137|2.29|1.07e-05|-0.0606|3.99|3842.0|-1198.634822|1046.53|322.71|0.4321|-1198.430306|0.0729|-0.15853|3.6122|0.03394942|3.7789|87.0|7.0605
13j_a6|0.0|3.409065702|0|1|1.430640326|0.0353600779999999|-0.015004989|5.351858133|1|0.041728395|0.07522656|-0.855284356|-0.011017781|-0.0951246069999999|-0.047513534|1|0.121750719|-0.045418125|-0.073507141|-0.562698347|1|0.783333463|-0.063948098|-0.079161042|0.8353837409999999|0.830577798|0.03111288|-80.33128667|-86.54032868|180.6709018|0.377035857|251.937353|-0.046428683|-57.82670518|13.89184843|114.6910805|0.7841668409999999|-2.460720196|99.85109065|101.1210779|2907.3053210000003|416.2679342|-1644.266245|2634.320708|0.215833159|8.741405506|0.765539515|144.22085800000002|0.0199201689999999|673.8038326000001|1.0|1.0|1.0|3.56|23.0|-8.5|3.54|115.15|1.18|1.0|0.0|120.17|1.0|6.0|-5.03|-6.81|427.46|0.0|0.0|-4.48|0.00398|3.28e-05|2.95|1.36e-06|-0.0488899999999999|4.94|3.5599|-1426.520775|1196.6|348.28|0.2857|-1426.272674|0.0259|-0.14602|8.3187|0.03242949|10.9731|262.0|6.5817
1l_a5|0.0|2.964063799|0|0|1.270375394|-0.244609612|-0.00183668|4.59511985|2|0.025672515|-0.111303801|-0.089997343|0.008244856|-0.019865028|-0.05139414|1|-0.179824092|0.0271820189999999|0.043915678|-0.21108114|2|0.7656671279999999|-0.174469948|-0.091849662|0.818803517|0.71872376|0.0078543119999999|-38.79937717|-38.27406105|167.86839980000002|0.109710998|61.974288|-0.026512937|-21.62050954|2.506287665|0.0|0.769406114|-1.219595099|45.64819758|43.23617395|2227.730859|502.9124512|-688.9330988|903.1631908|0.230593886|7.401206343999999|0.896303416|130.25942849999998|0.013054186|518.5792364|1.0|1.0|1.0|2.98|23.0|-8.83|5.32|54.46|2.57|1.0|0.0|105.07|1.0|4.0|-5.04|-5.4|340.42|0.0|1.0|-4.98|0.00308|1.04e-05|4.19|5.02e-07|-0.04149|3.89|4.3664|-1069.229786|1033.47|283.95|0.4921|-1069.047151|187.0|-0.1779|2.1987|0.03182983|3.3694|32.0|7.4949
