molecula|SddssS|n9FaHRing|n9FaRing|SssssC|AATSC1c|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
3k_a32|0.0|1|1|0.0|-0.005745086|-0.001250803|0.0381981979999999|2.256213388|0.001221534|-0.0902541999999999|10.31100271|3|0.002509816|-0.084055305|-0.090775221|0|0.816196288|0.779649252|-0.127713677|-0.129124455|0.7681279190000001|-0.0711378679999999|-0.090839907|0.31016741|0.0123637989999999|6.970844822|80.0971996|0.122251759|-0.029575784|-28.87643819|3.930238317|0.0|0.78057227|-1.271758703|-22.61349991|58.16707081|47.07915023|2392.3436100000004|-717.0314235000001|1970.06814|-9.40163104|6.153598893|11.6688363|0.89626209|123.7157466|-404.2701347|21.36272325|918.5970998|506.658189|1.0|1.0|1.0|3.48|0.32|19.0|7.12|5.78|2.0|105.36|0.0|1.0|3.0|25.0|366.5|0.0|0.0|1.0|9.16e-08|2.47e-06|0.0|0.0|5.86e-08|2.15e-05|-0.05321|3.81|3.5363|-1750.164914|-1750.1383649999998|611.65|1022.89|350.6|0.3082|350.6|452.36|-0.14667|-0.19988|0.02654958|5689.0|9.0|8.0605
8e_a46|0.0|0|0|0.252655541|-0.001015139|0.000950213|0.043238095|0.0|0.012911107|-0.184317354|10.96411233|1|0.0123581919999999|-0.203086023|-0.135984209|2|0.669602597|0.789844634|-0.241393458|-0.024620704|0.668786636|-0.053352779|-0.065982313|0.281227001|0.009576086|4.876083942|7.389496216|0.078647648|-0.023017086|-17.10778729|2.482871976|53.05984592|0.7492419109999999|-0.989734694|-13.83322216|39.62167507|32.04299109|1982.950764|-503.9668235|1415.320228|-5.967832774|5.504080656|9.911785304|0.8008066970000001|127.6844779|-256.61680930000006|15.64268965|672.6356549999999|426.71841|1.0|0.0|1.0|2.93|0.32|17.0|4.09|3.9|0.0|91.93|0.0|1.0|2.0|23.0|304.39|0.0|1.0|1.0|0.0002569999999999|9.15e-05|0.0|0.0|2.16e-07|6.57e-05|-0.03175|3.0|4.5092|-954.9296396|-954.9056294|552.99|933.3|274.96|0.2162|274.96|457.96|-0.18835|-0.2201|0.024010215|3.7755|406.0|6.3915
20a_a10|0.0|0|0|0.0|-0.0034618129999999|0.049376168|0.036415094|1.896409603|0.008214031|-0.010695558|10.9296614|1|0.008297595|-0.058994157|-0.081587712|2|0.661219642|0.755429696|0.036092601|0.019448804|0.63495222|-0.066386563|-0.072821454|0.591835899|0.013618456|8.860330345|66.52185003|0.086318664|-0.028008251|-30.82502228|5.764636687|47.01787447|0.733451892|-1.456429076|-28.10115947|58.1398225|52.05222074|2998.608651|-947.5701424|2021.669282|-11.8557778|8.419180593|15.37476788|0.826159649|173.41938059999998|-616.5004457|24.84485067|1291.932235|719.5272609|0.0|1.0|1.0|3.63|0.11|27.0|5.06|5.77|2.0|126.35|0.0|1.0|4.0|33.0|429.47|0.0|0.0|1.0|2.07e-06|2.56e-06|0.0|0.0|3.61e-10|1.55e-07|-0.06611|3.98|3.8312|-1389.164302|-1389.1321289999998|696.63|1200.92|323.62|0.2738|259.16|524.02|-0.1613099999999999|-0.2274199999999999|0.03217287|3.2116|1.2|5.9208
5a_a50|0.0|1|1|0.0|-0.00148647|-0.017108794|0.038040936|2.475383677|0.012640587|-0.256097122|10.93256969|2|0.01228899|0.028229556|-0.168135655|1|0.699970832|0.788709546|-0.132977171|-0.203436041|0.6759066159999999|-0.038932964|-0.065209836|0.2814514|0.010185297|5.435098605|6.819160781|0.030107124|-0.022747617|-18.56865899|2.900288114|60.04351409|0.66527517|-0.978147545|-11.08625592|44.17662122|26.21058426|2246.106104|-521.9610361|1605.985157|-6.477439183|5.892775027000001|10.76914508|0.8275167520000001|178.61652859999998|-278.5298849|18.24602704|784.5791628|462.1867149|0.0|1.0|1.0|3.28|0.14|20.0|3.66|4.33|0.0|101.86|0.0|1.0|2.0|25.0|326.39|0.0|1.0|1.0|0.000129|3.14e-05|0.0|0.0|5.7e-07|0.000186|-0.02487|3.39|4.0159|-1029.930364|-1029.905844|582.98|976.41|308.73|0.2735|220.82|455.34|-0.16659|-0.19146|0.02452028|5649.0|4.1|5.3872
3g_a32|0.0|1|1|-0.047725143|-0.006258272|-0.072619634|0.05052381|2.2144733530000003|0.001276735|-0.1154223269999999|10.31100273|3|0.002565215|-0.105402305|-0.133675401|0|0.833981748|0.755211939|-0.1015732219999999|-0.1719626169999999|0.786074011|-0.070213101|-0.098311343|0.273439311|0.0119962889999999|6.647498326|42.56199385|0.112304055|-0.030429702|-30.18744099|3.683575459|0.0|0.8007401590000001|-1.278047464|-21.55960626|60.55421302|45.55465473|2271.746759|-708.2039051|1886.244271|-9.343731735|5.917878616|10.70834299|0.809490137|110.4157723|-392.4367329|21.05801434|884.4366022|475.3634141|0.0|1.0|1.0|3.44|0.28|19.0|7.02|5.42|2.0|102.55|0.0|1.0|3.0|24.0|354.49|0.0|0.0|1.0|8.12e-08|2.58e-06|0.0|0.0|5.08e-08|1.8e-05|-0.0535|4.13|3.5456|-1712.060085|-1712.036238|593.24|998.86|349.68|0.2859|349.68|495.4|-0.14715|-0.20065|0.02384763|5.5816|14.0|7.8539
1h_a5|0.0|0|0|0.0|-0.001978474|-0.009075016|0.026339869|0.0|0.008031558|-0.1197834419999999|10.94466758|1|0.007357977|-0.043247682|0.0578378779999999|2|0.71274658|0.780175595|0.070628165|-0.082079343|0.6977404359999999|-0.067599619|-0.069496749|0.39793593|0.008798715|4.588992214|160.0744187|0.119359774|-0.027798699|-18.90429957|2.393400474|0.484419999|0.7450549759999999|-1.111947978|-18.38824808|44.51475742|39.84574434|2107.271793|-579.9392753|819.6979313999999|-7.561719827|6.711386288|13.14687756|0.958891501|132.96722079999998|-302.4687931|19.45961351|778.3845404|409.0289917|1.0|0.0|1.0|2.07|0.05|23.0|4.99|4.51|0.0|95.45|0.0|1.0|3.0|24.0|312.37|0.0|1.0|1.0|5.5700000000000005e-05|3.5600000000000005e-05|0.0|0.0|3.87e-09|1.21e-06|-0.04124|3.17|4.3651|-990.6346565|-990.6032645|556.57|934.7|284.03|0.3333|266.52|430.83|-0.17797|-0.21921|0.031392033|3.3752|28.0|7.5528
12ae_a36|-3.3501500230000003|0|0|0.0|-0.009867085|-0.351827031|0.041555556|0.0|-0.006862238|-0.083959343|10.31810353|1|-0.001160331|0.151620635|-0.261631709|1|0.8183043390000001|0.831101086|-0.0931249669999999|0.010209009|0.750657639|-0.085851235|-0.105648609|0.439268891|0.023873046|17.78605328|96.60079598|0.2837586789999999|-0.036430555|-58.64180087|13.25108213|19.97715962|0.6849975640000001|-2.11297219|-47.65297933|97.76153993|81.74750345|3486.122819|-1574.220407|2634.745208|-20.22131065|8.676756505|16.22570287|0.870019385|234.6851816|-1172.836017|39.62310606|2298.140152|805.2286932|0.0|0.0|0.0|0.0|0.17|17.0|1.28|2.15|1.0|142.02|0.0|1.0|7.0|34.0|474.54|0.0|0.0|0.0|0.0001409999999999|0.0001889999999999|0.0|0.0|1.36e-07|6.45e-05|-0.0548899999999999|6.24|3.8664|-1876.203168|-1876.152311|754.15|1281.69|320.67|0.4832|236.84|615.71|-0.1566|-0.21149|0.0508577|8.9297|15.0|7.8239
9a_a31|0.0|0|0|0.0|-0.01391798|-0.093457477|0.036891534|0.0|-0.006189303|0.03406986|10.31169772|2|-0.0033853629999999|-0.084652799|-0.15653721|0|0.8058046320000001|0.782715368|0.045292529|-0.001313433|0.76226755|-0.100906991|-0.122626525|0.235442032|0.033245595|21.33533299|163.6011874|0.308231868|-0.043430228|-50.50275387|13.69193237|95.14995868|0.737758755|-2.0846509230000003|-41.55773748|94.03540892|86.0923113|2855.751316|-1337.8230119999998|1955.13855|-17.886392|7.812278516|15.15483138|0.939873412|168.29310269999996|-858.5468158|37.77835579999999|1813.361078|597.3075924999999|1.0|1.0|1.0|2.78|0.14|22.0|5.51|4.02|1.0|113.64|0.0|1.0|6.0|30.0|418.47|0.0|0.0|1.0|2.42e-06|1.7100000000000002e-05|0.0|0.0|7.35e-09|3.07e-06|-0.04275|5.27|3.7892|-1691.9526239999998|-1691.9137670000002|680.72|1145.99|327.21|0.7028|327.21|540.01|-0.15757|-0.20032|0.03885662|6.2203|0.15|6.8239
18c_a30|0.0|0|0|0.0|-0.0109670669999999|-0.118776867|0.042560386|0.0|-0.003436924|0.0119521719999999|10.31163825|1|-0.002215642|0.0211588229999999|0.006103754|1|0.841060094|0.8303425640000001|0.034468997|-0.058608635|0.802578397|-0.105618255|-0.1115683|0.42531141|0.019360263|13.07260474|384.391404|0.282947974|-0.042101245|-50.86775696|8.826997739|103.215593|0.7859920029999999|-2.2313660090000003|-48.15493021|87.76550537|84.38908035|3002.59061|-1506.682341|3094.729399|-19.19537998|7.646050338999999|13.8741593|0.81455244|144.5043388|-1017.355139|36.16826708|1916.918155|713.7769663|0.0|0.0|0.0|0.0|0.13|17.0|3.04|1.72|1.0|135.37|0.0|1.0|6.0|32.0|441.51|0.0|0.0|0.0|9.68e-06|5e-05|0.0|0.0|6.520000000000001e-07|0.000288|-0.05575|4.54|3.4848|-1744.500825|-1744.455795|711.56|1209.11|355.78|0.3879|355.78|543.46|-0.14225|-198.0|0.04503016|8.64|12.0|7.9208
14a_a3|0.0|0|0|0.0|-0.009312773|-0.1160619169999999|0.043464052|1.772745969|-0.00603969|-0.039177314|10.3116301|1|-0.004161699|-0.267665193|-0.094863591|3|0.882394075|0.7574238740000001|0.164994144|-0.287221775|0.8255789570000001|-0.091731577|-0.094609848|0.21389849|0.0140376889999999|6.904918591|256.5548327|0.209105063|-0.036792719|-22.89086827|3.396421044|83.70773843|0.7608768779999999|-1.324537874|-22.1944701|55.84414456|52.02624107|2160.698862|-651.519384|1186.412113|-8.902004327|5.308770254|10.24853699|0.930491715|117.6209094|-320.4721558|23.78539971|856.2743893999999|358.3503513|1.0|1.0|1.0|2.2|0.06|21.0|4.28|3.71|0.0|93.25|0.0|1.0|2.0|23.0|319.38|0.0|0.0|1.0|3.54e-05|0.000103|0.0|0.0|1.28e-07|4.08e-05|-0.06736|2.44|3.2363|-1327.513792|-1327.485188|528.91|822.33|383.1|0.4524|383.1|373.85|-0.1321|-0.19946|0.02860456|4.6689|0.03|7.5229
