molecula|SddssS|NaaNH|n9FaRing|SaaNH|NaasN|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|MATS7i|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|RNCS|RPSA|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50
9d_a40|0.0|0|0|0.0|1|7.515889085|0.604992329|1.839557351|0.007834411|-0.003961493|0.153818743|0.15723868|-0.137738587|2|0.010101686|0.259969752|-0.4887998529999999|0|0.601831605|0.7572844040000001|-0.223631751|0.8221990920000001|0.55759121|1|0.941627612|-0.060319196|-0.071656839|0.002088915|-36.92750973|108.1468558|0.058372388|-16.01918037|-16.29154841|36.6245851|0.467275972|2109.570685|485.2567189|-553.912646|336.6614768|-8.395657932|0.133579429|8.023385851|15.06105494|4401.742338|68.83858806|0.0087217999999999|639.3115126|346.9019309|0.0|1.0|0.0|0.0|0.0|3.63|0.06|-7.0|5.2|5.09|4.07|1.0|0.0|91.71|0.0|1.0|2.0|-6.13|22.0|2.0|325.82|0.0|1.0|1.0|4.63|-5.65|0.0002399999999999|2.23e-06|5.16|0.0|1.01e-07|3.3e-05|-0.06906|4.6073|4.7|3.3464|370.51|0.4888|269.1|446.84|0.4557199999999999|0.69986|-1677.429981|-0.13875|6.2032|-0.20781|-1677.48058|6.9706
4R4k_a46|0.0|0|0|0.0|1|7.825245291|1.134637098|2.145043462|-0.050636784|-0.0049602|-0.104665424|-0.1149361969999999|-0.1032662209999999|1|0.006050983|-0.158788415|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0.784722915|0|0.890625164|-0.089699228|-0.085931818|0.237621572|-45.72566346|173.3171354|0.109374836|-25.39807111|-16.19450581|51.92513282|0.465590034|2105.035168|473.9155694|-777.3362788|1767.850427|-8.617349646000001|0.133318901|5.522208638|10.33328154|4711.736397|70.94107067|0.007248925|896.9115391|519.5743695|1.0|0.0|1.0|1.0|1.0|3.12|0.33|-6.61|4.26|4.77|2.84|1.0|0.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|333.43|0.0|1.0|1.0|3.81|-4.83|5.0|1.4800000000000002e-05|4.05|0.0|2.48e-07|8.28e-05|-0.02045|5.2965|4.52|4.1392|299.53|0.2896|234.09|490.83|0.54119|0.68404|-1053.202129|-0.17484|1.8559|-0.19529|-1053.254911|7.0132
5_a47|0.0|0|0|0.0|0|0.0|1.304329328|0.0|0.019688132|-0.009295857|0.003858593|-0.002627182|0.045246333|0|-0.011237954|0.0083528919999999|-0.454659897|2|0.7063295709999999|0.795032176|0.0743193|0.861595935|0.675164258|1|0.807957755|-0.087763105|-0.1001981959999999|0.526509524|-52.90420509|104.9032216|0.192042245|-24.46654029|-20.34777119|51.58499074|0.4736061789999999|2368.870941|426.5981263000001|-793.5630764|1349.003107|-10.74353333|0.218428796|5.861037845|11.13432113|5501.708422|115.3294396|0.017501741|1015.343288|416.1194472|1.0|0.0|1.0|1.0|2.0|2.79|0.0|-8.68|4.73|5.96|3.26|2.0|0.0|101.51|0.0|1.0|3.0|-5.65|26.0|4.0|365.79|1.0|0.0|1.0|4.29|-5.5|0.000824|3.18e-06|4.7|0.0|2.07e-09|7.590000000000001e-07|-0.05535|3.7083|4.37|3.7083|334.35|0.2108|334.35|401.16|0.69291|0.69291|-1569.20723|-0.15419|2.9121|-0.20954|-1569.258939|7.7
7_a4|0.0|0|0|0.0|1|7.535296702|1.343865525|2.060422336|-0.237954652|-0.001729561|-0.07290303|-0.125778587|0.04206117|1|0.008242591|-0.162314698|-0.174410426|2|0.527072036|0.8046449179999999|0.0707653759999999|0.87010589|0.518356619|1|0.825830607|-0.0650223009999999|-0.071288428|0.470973822|-35.88407105|14.01468959|0.174169393|-16.47508541|-13.45652664|40.13253521|0.437317462|2286.169166|415.6938929|-538.2610657|1915.566579|-6.773539148999999|0.282008333|5.512905888|9.797542165|5022.496714|141.9530115|0.016800137|749.6759227000001|407.1471338|1.0|0.0|1.0|1.0|0.0|2.7|0.15|-7.46|4.42|4.67|2.82|0.0|0.0|95.07|0.0|1.0|2.0|-3.81|25.0|4.0|330.36|0.0|1.0|1.0|3.56|-4.41|0.0514|3.92e-05|3.22|0.0|3.49e-08|1.15e-05|-0.05217|4.0379|2.91|4.0379|307.05|0.0697|307.05|365.73|0.59702|0.59702|-1089705.0|-0.16975|3.9832|-0.2219199999999999|-1089.753885|6821.0
8a_a32|0.0|1|1|3.217128449|0|7.773594467000001|0.609420757|0.0|-0.0755556459999999|-0.010151321|-0.0281981579999999|-0.020716518|-0.128684642|3|-0.001662219|-0.050766252|-0.591393096|0|0.788133615|0.845443342|-0.2166242669999999|0.8966299409999999|0.7507116140000001|1|0.814553726|-0.083474428|-0.109412858|0.221908108|-68.61558335|73.64907732|0.185446274|-32.82934751|-22.37464674|63.83886888|0.480024324|2574.085885|510.8273411|-1029.23375|3312.822051|-14.03170956|0.250915471|7.420041446|14.26997798|5659.295213|157.3554684|0.017733503|1373.988797|557.1050635|1.0|1.0|1.0|1.0|2.0|3.67|0.26|-7.65|6.49|4.65|1.37|2.0|0.0|110.69|1.0|1.0|7.0|-6.82|27.0|4.0|397.52|1.0|0.0|1.0|4.07|-4.99|6.03e-05|1.02e-05|4.17|0.0|2.23e-08|8.86e-06|-0.06166|3562.0|4.98|3562.0|348.07|0.4315|348.07|566.07|0.70316|0.70316|-1880.536478|-0.1445|4.8933|-0.2061599999999999|-1880.595748|7.3468
12_a47|0.0|1|1|2.903215905|0|6.605297921|1.304330736|0.0|-0.155854903|-0.005522244|0.001435849|-0.018573056|0.0295267039999999|1|-0.004332024|0.003417588|-0.326846977|2|0.6505449670000001|0.8288334490000001|0.050943962|0.90246604|0.618808977|1|0.7840710409999999|-0.084846808|-0.091853238|0.266995634|-47.83891561|63.89392714|0.2159289589999999|-23.01490672|-17.76874008|53.5720844|0.4792593739999999|2266.78114|408.3591283|-621.9059029|702.3796319|-9.25429818|0.319276179|7.042279354|13.52358352|4816.005822|166.28511369999998|0.025457205|913.5950352|335.1175012|1.0|0.0|1.0|1.0|2.0|1.67|0.0|-8.11|4.19|4.98|2.6|0.0|0.0|91.63|0.0|1.0|3.0|-4.51|24.0|4.0|339.75|0.0|1.0|1.0|3.37|-4.56|0.0106|2.77e-05|3.43|0.0|7.69e-09|2.61e-06|-0.0623|4.2907|3.01|3.9538|313.58|0.2306|288.96|400.09|0.66387|0.68557|-1487.974738|-0.1633|2.1019|-0.2256|-1488.024564|8.2
12be_a36|0.0|1|0|3.466734143|0|7.412764017000001|1.297042758|0.0|-0.148313814|-0.009368126|0.118420241|-0.08981965|0.00430921|1|0.002872872|0.19405344|-0.3825349939999999|1|0.884226781|0.812921349|0.00734728|0.858971809|0.8350231859999999|0|0.798015877|-0.0780531429999999|-0.108962668|0.330453338|-75.59805505|63.31681179|0.201984123|-37.57129686|-22.15805062|77.57811183|0.4564615729999999|3039.9167260000004|553.6616295|-1285.166936|2552.721046|-15.37320593|0.433925602|8.773114043|16.14074295|6592.168374|301.05661160000005|0.034632557|2270.314539|766.4854363|0.0|0.0|1.0|1.0|2.0|0.0|0.21|-6.79|2.83|1.9|1.42|1.0|0.0|136.74|0.0|1.0|7.0|-4.11|33.0|6.0|441.49|0.0|0.0|0.0|1.75|-4.15|0.0342|7.13e-05|2.62|1.0|1.6100000000000005e-07|7.11e-05|-0.0518799999999999|5.2184|2.68|3.3487|370.25|0.7034|237.59|594.44|0.40844|0.70465|-1461.68274|-0.13781|7.7861|-0.18969|-1461.747501|7.3565
8_a27|0.0|1|0|2.599100867|1|6.605297921|1.406757715|1.7626247169999998|0.188762686|-0.008444078|-0.14212377|0.093450172|0.067074515|1|0.004801929|-0.24946295|-0.535352745|2|0.6812785379999999|0.8000360390000001|0.11158995|0.8688656459999999|0.64927069|1|0.776384028|-0.078709803|-0.092265073|0.3608031339999999|-43.96130162|122.0597403|0.223615972|-17.86879446|-17.09606174|47.91445451|0.479730655|2132.9321670000004|369.9216992|-615.4582227000001|989.0070768|-8.145716531|0.248298166|5.016799703|9.642697094|4522.989286999999|118.305988|0.019394143|818.753121|326.3351007|0.0|0.0|0.0|0.0|1.0|2.28|0.06|-6.28|2.98|2.48|2.19|0.0|0.0|87.68|0.0|1.0|2.0|-3.23|23.0|4.0|303.32|0.0|1.0|1.0|2.38|-3.52|178.0|0.000299|2.0|0.0|5.2e-07|0.000158|-0.05015|4.1276|3.96|4.1276|300.38|0.2336|300.38|374.88|0.64893|0.64893|-1004.385302|-0.16958|3.0415|-0.21973|-1004.432889|8.2218
6_a3|0.0|0|0|0.0|0|6.823286122000001|0.605016564|0.0|0.155665791|-0.008934536|-0.025021661|0.05584062|0.032782484|1|-0.006696449|-0.0445675709999999|-0.594308852|2|0.881253042|0.790667152|0.055002252|0.8632654590000001|0.773152968|1|0.783322023|-0.1042506469999999|-0.098669224|0.556539611|-49.23401228|236.2008316|0.216677977|-25.95647951|-18.8247694|57.46859326|0.387883362|2196.107822|390.8623623|-640.0421597|1899.385061|-9.393191593|0.19718501|5.498222293|8.982311462|4992.54948|98.39146166|0.0150025189999999|797.2473951000001|353.7528308|1.0|1.0|1.0|1.0|1.0|2.65|0.0|-7.48|4.96|4.66|2.11|1.0|0.0|95.5|0.0|1.0|2.0|-5.44|23.0|3.0|338.81|0.0|0.0|1.0|3.63|-4.87|0.00124|1.34e-05|3.79|0.0|3.28e-08|1.11e-05|-0.06529|5.8279|3.09|3.3963|365.05|0.1997|212.74|366.93|0.3369|0.69323|-1731.602363|-0.1465|2.8131|-0.21179|-1731.6508010000002|5.7501
8e_a12|0.0|0|1|0.0|1|6.803505258|1.283834633|1.873617728|0.050021617|-0.006350143|0.0661362779999999|-0.087658302|-0.0309579439999999|1|0.005744805|0.112673977|-0.448676455|1|0.83954453|0.761892879|-0.051240735|0.815412281|0.797199175|1|0.939627917|-0.05202522|-0.087795345|0.001151979|-50.273571200000006|51.38557748|0.060372083|-17.05887601|-17.80522313|38.67488258|0.45384745|2548.979738|538.051884|-854.6507103|2112.908299|-10.19566754|0.2887421289999999|6.446557205|11.80358346|5490.975165|165.34017769999997|0.019545275|1201.604574|561.9859171|1.0|1.0|1.0|1.0|1.0|3.01|0.14|-7.93|3.34|2.68|3.05|2.0|0.0|117.04|0.0|1.0|3.0|-4.37|28.0|4.0|366.42|0.0|1.0|1.0|3.12|-4.69|0.0156|2.03e-05|3.53|0.0|1.19e-08|4.34e-06|-0.05739|5.247999999999999|3.45|3.3044|375.21|0.2341|236.25|481.04|0.38889|0.6954899999999999|-1177.380602|-0.13599|1.0295|-0.19338|-1177.436953|6.2306
