molecula|SddssS|NaaNH|n9FaRing|SaaNH|NaasN|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|MATS7i|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|RNCS|RPSA|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50
6c_a31|0.0|1|0|3.423005244|0|7.78113851|0.6101347220000001|0.0|0.047405064|-0.015192833|0.137523742|-0.00219333|-0.107687565|2|-0.00668344|0.2301743489999999|-0.582545668|0|0.831901219|0.790900932|-0.172780048|0.846458013|0.7905201209999999|0|0.641197273|-0.120905075|-0.126324613|0.138124296|-79.97295595|163.6316745|0.358802727|-48.45681657|-28.32375523|96.63311186|0.4463376229999999|2837.949799|405.9259734|-1359.540251|2357.829685|-17.93106176|0.234676081|8.102804662|14.63492011|6283.091868|148.5675636|0.0212421629999999|1776.424619|597.3075924999999|1.0|1.0|1.0|1.0|2.0|3.13|0.14|-7.72|5.58|4.26|1.58|2.0|0.0|114.5|0.0|1.0|5.0|-6.09|30.0|5.0|418.47|0.0|0.0|1.0|3.64|-4.94|0.000343|1.15e-05|3.64|0.0|1.89e-08|7.9e-06|-0.0581799999999999|3.2974|5.08|3.2974|376.01|0.5028|376.01|524.56|0.7014699999999999|0.7014699999999999|-1691.734564|-0.13351|5.9253|-0.19169|-1691.794585|6.4685
16c_a32|0.0|1|1|3.329674745|0|7.765993078999999|0.6094207629999999|0.0|0.191088217|-0.01639019|-0.03152033|-0.031087095|-0.036931818|3|-0.00369116|-0.057356214|-0.697601261|0|0.809370315|0.8607827790000001|-0.061904762|0.915639476|0.764217655|1|0.773043206|-0.088841599|-0.119988297|0.367322508|-71.59058881|102.2022233|0.226956794|-31.62645048|-22.77882371|68.39521789|0.463897164|2649.168528|461.2334662|-1002.268243|3143.196853|-13.59090376|0.3153632939999999|6.313526111|11.77670717|5979.891916|188.1603823|0.02579269|1463.941729|513.9156315|0.0|1.0|1.0|1.0|2.0|3.08|0.22|-6.99|5.64|4.21|0.88|1.0|0.0|107.14|1.0|1.0|7.0|-6.04|27.0|5.0|399.49|1.0|0.0|1.0|3.41|-4.41|0.000366|3.89e-05|3.23|0.0|1.0300000000000001e-07|4.13e-05|-0.0505|3.6264|4.12|3.6264|341.89|0.2955|341.89|508.43|0.70198|0.70198|-1916.478107|-0.14997|4.0551|-0.20047|-1916.536967|8.3468
6_a4|0.0|0|0|0.0|1|7.535296702|1.271761557|2.170234316|-0.19701009|-0.001221193|0.042096749|0.0032928379999999|-0.208689928|1|0.01098094|0.0671397079999999|-0.1738111839999999|2|0.664591856|0.76089528|-0.340860215|0.810030118|0.664247086|1|0.945545838|-0.052396457|-0.0670158929999999|0.417868437|-37.33240845|14.1731579|0.054454162|-16.25991695|-13.71394596|33.5125766|0.423084148|2342.371538|526.7333132|-671.9833521|1968.0178670000005|-7.639600225|0.1855291969999999|5.758624844|9.981741408|5256.215815|103.3523757|0.008863911|825.0551765|578.2065561000001|1.0|1.0|1.0|1.0|0.0|3.45|0.26|-7.99|5.1|5.23|3.09|2.0|0.0|109.7|0.0|1.0|3.0|-4.91|27.0|3.0|354.45|0.0|1.0|1.0|4.23|-5.11|0.0043799999999999|7.74e-06|4.28|0.0|1.04e-08|3.67e-06|-0.04867|4.8714|4.11|4.0354|307.24|0.1235|254.51|453.87|0.60542|0.5877|-1108.338577|-0.16959|2.8026|-0.2182599999999999|-1108.392115|5.8861
4S4k_a46|0.0|0|0|0.0|1|7.825245291|1.134637098|2.145043462|-0.050636784|-0.0049602|-0.104665424|-0.1149361969999999|-0.1032662209999999|1|0.006050983|-0.158788415|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0.784722915|0|0.891734458|-0.089589915|-0.0860536609999999|0.199356973|-45.61628327|172.7607401|0.1082655419999999|-25.17446332|-16.15576699|51.59865384|0.461984953|2105.538282|472.7005375|-775.4768155|1729.18312|-8.564028983|0.132090036|5.523352655|10.26616763|4719.2906570000005|70.01975807|0.007182108|893.4991504000001|519.5743695|1.0|0.0|1.0|1.0|1.0|3.03|0.33|-6.61|4.26|4.77|2.84|1.0|0.0|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|333.43|0.0|1.0|1.0|3.79|-4.83|5.0|1.4800000000000002e-05|4.05|0.0|2.48e-07|8.28e-05|-0.02074|5.2854|4.52|4.0774|304.07|0.2623|234.58|487.43|0.5716|0.67893|-1053.202208|-0.17396|2.2655|-0.1947|-1053.255345|6.7055
6a_a31|0.0|1|0|3.3855253210000003|0|7.703007682000001|0.610184884|0.0|0.038376178|-0.01694403|0.08881108|-0.0225412779999999|-0.026103465|2|-0.010591881|0.1533239019999999|-0.568500407|0|0.848282918|0.784022685|-0.0436046509999999|0.848080284|0.803505125|0|0.57216168|-0.132158278|-0.126430958|0.259133072|-74.23718620000001|157.9971748|0.42783832|-45.56491046|-26.51328079|97.68889243|0.478330896|2713.694431|335.9594356|-1113.557793|1671.917893|-15.56795422|0.307253701|7.516549303|14.408653400000002|5908.282843|180.411907|0.031153284|1607.453976|479.200937|1.0|1.0|1.0|1.0|2.0|2.51|0.05|-6.96|4.68|3.69|1.13|1.0|0.0|104.73|0.0|1.0|4.0|-5.22|28.0|5.0|390.42|0.0|0.0|1.0|2.96|-4.34|0.00238|4.55e-05|2.8|0.0|1.11e-07|4.3200000000000007e-05|-0.05563|3.5428|4.03|3.5428|349.96|0.6404|349.96|447.66|0.70416|0.70416|-1613.1416|-0.1428|7.7514|-0.19843|-1613.198178|5.9586
3l_a32|0.0|1|1|3.672194822|0|7.773594467000001|0.609420748|0.0|-0.003342759|-0.0054004|-0.039331295|-0.09393062|-0.107818594|3|0.002942329|-0.068876714|-0.524711546|0|0.820540279|0.751853889|-0.184582641|0.7973741999999999|0.776480242|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|-51.41835077|61.72183119|0.114441512|-23.43792428|-16.76685351|47.42414825|0.453630671|2453.759435|514.9875423000001|-771.2752615|2415.340446|-9.750593329|0.211763281|6.414825717|11.74082324|5429.531532999999|123.148785|0.011493763|978.4817724|565.7000781|0.0|1.0|1.0|1.0|1.0|3.54|0.35|-7.5|7.34|6.17|2.64|2.0|0.0|110.16|0.0|1.0|3.0|-7.6|26.0|3.0|380.53|1.0|0.0|1.0|5.04|-6.01|9.59e-06|9.7e-07|5.51|0.0|3.16e-08|1.2e-05|-0.0529799999999999|3.5319|4.21|3.5319|351.04|0.2876|351.04|468.81|0.70282|0.70282|-1789.242839|-0.14664|3.3955|-0.19962|-1789.298086|7.9208
12_a15|0.0|0|0|0.0|0|0.0|1.435689014|0.0|-0.071096525|-0.006620824|-0.035728911|-0.106061273|-0.01062828|0|0.0034254209999999|-0.054575504|-0.380490701|2|0.8310685940000001|0.723852961|-0.019064393|0.769289315|0.7933685340000001|0|0.89637291|-0.061084417|-0.094209248|0.738437971|-60.15445365|72.18361893|0.10362709|-24.90456371|-20.42981445|48.59303169|0.476419838|2613.57759|572.3516967|-1082.780166|2661.728915|-13.04483751|0.253510603|5.448223888999999|10.40571107|5897.820841|161.8714956|0.016453962|1450.496376|673.7288405|1.0|0.0|1.0|1.0|1.0|3.73|0.12|-9.82|5.32|6.3|2.87|2.0|0.0|119.95|0.0|1.0|6.0|-6.22|30.0|4.0|397.47|1.0|0.0|1.0|4.7|-5.83|0.0002379999999999|1.47e-06|5.29|0.0|1.51e-10|5.99e-08|-0.03196|4.4819|5.16|3.8538|321.72|0.1374|276.63|585.26|0.50595|0.70444|-1280.810963|-0.15858|4.3338|-0.19054|-1280.871722|8.3979
47k_a18|0.0|0|0|0.0|0|7.03438793|1.25117623|0.0|0.029145635|-0.0067578909999999|-0.017736343|-0.02822032|-0.008576013|0|0.00493127|-0.026672956|-0.451417954|0|0.762665453|0.721697829|-0.014398731|0.753132457|0.737517943|0|0.8309354040000001|-0.065324278|-0.088346874|0.3533268229999999|-69.77479556|20.66242736|0.169064596|-40.74641317|-23.89547793|63.50225571|0.467246896|3245.964586|656.2580564|-1744.369889|2009.418849|-18.87222501|0.284695579|9.777177947|18.35217454|7575.637462000001|224.8475227|0.018313855|2438.639881|1167.054827|1.0|1.0|1.0|1.0|2.0|0.0|0.3|-8.44|2.39|3.17|2.82|3.0|2.0|154.86|1.0|1.0|11.0|-5.84|38.0|4.0|513.63|0.0|0.0|0.0|2.53|-5.33|0.000742|4.65e-06|4.26|1.0|3.6099999999999997e-09|1.85e-06|-0.04359|3.0948|8.45|3.0948|400.63|0.5920000000000001|400.63|793.48|0.69823|0.69823|-1664.2657390000002|-0.1277599999999999|4.1818|-0.17135|-1664.341238|7.5376
11a_a31|0.0|1|0|2.856083711|0|7.773594467000001|0.610138462|0.0|-0.045290366|-0.02376325|-0.087576474|-0.1217573119999999|-0.019865299|2|-0.017433557|-0.149933348|-0.563537536|0|0.861302755|0.8433024170000001|-0.030335912|0.910334509|0.819138461|0|0.486754956|-0.151872243|-0.161027639|0.271818874|-81.26889906|258.8577775|0.513245044|-38.68354874|-28.68314085|97.560141|0.451795285|2288.9694010000003|245.6599349|-975.2267888|1769.346573|-14.47606937|0.264745055|5.791411901|10.5643234|4940.657452|133.6139513|0.031626337|1326.379096|302.14325319999995|0.0|1.0|0.0|1.0|2.0|2.16|0.13|-4.65|3.93|2.94|0.57|0.0|0.0|83.12|0.0|2.0|3.0|-4.81|23.0|6.0|329.33|0.0|0.0|1.0|2.42|-3.79|0.00506|0.000161|2.53|0.0|2.22e-05|0.00731|-0.05074|3.8042|3.97|3.8042|325.92|0.2797|325.92|407.76|0.69222|0.69222|-1441.327731|-0.15515|6.4691|-0.20589|-1441.37897|6.7212
12p_a30|0.0|0|0|0.0|0|7.412764017000001|0.604984421|0.0|0.038440292|-0.0063403159999999|-0.062956958|0.000321545|-0.128484994|1|0.005965451|-0.109773594|-0.456474815|1|0.8414737059999999|0.7867133140000001|-0.2210072669999999|0.8371763179999999|0.7991060659999999|0|0.843381594|-0.074356395|-0.094870978|0.371591982|-60.65858419|75.21136863|0.156618406|-30.39737673|-23.33022469|57.20168999|0.469983155|2783.628159|539.2411292|-1213.171684|2326.5244390000003|-14.91687369|0.180044528|7.392482526|13.94763694|6166.812731|115.116829|0.0130197619999999|1479.558007|686.039456|0.0|1.0|1.0|0.0|1.0|0.0|0.17|-7.01|4.35|2.93|3.04|2.0|0.0|132.24|0.0|1.0|5.0|-5.66|30.0|4.0|412.51|0.0|0.0|1.0|2.91|-5.15|0.0009119999999999|7.05e-06|4.23|0.0|9.75e-08|4.02e-05|-0.05169|5.1922|4.14|3.4955|354.69|0.1768|238.79|526.91|0.33929|0.68561|-1614.830085|-0.14823|4.0456|-0.19992|-1614.890598|7.7721
7f_a8|0.0|1|0|2.961566988|1|7.05012252|1.394802504|1.2793830309999998|-0.139912829|-0.005338193|0.034392285|-0.087673259|0.0260356679999999|1|0.00084936|0.09329746|-0.381574707|0|0.515235986|0.7051689170000001|0.041366689|0.7677336090000001|0.507325475|0|0.770229267|-0.091890536|-0.08790841|0.3155671539999999|-50.01741803|53.09327646|0.229770733|-29.74763659|-23.17880348|60.14140162|0.4513917389999999|2534.956113|438.23883319999993|-950.3309426|1854.738581|-13.18808857|0.119077775|7.704280774|14.04331892|5662.145174|67.75191165|0.010262531|1078.790971|446.5544107|0.0|1.0|0.0|0.0|1.0|3.23|0.0|-8.46|5.52|5.49|4.27|2.0|0.0|101.89|0.0|1.0|3.0|-5.68|28.0|4.0|373.35|0.0|0.0|1.0|4.63|-5.5|0.00078|3.16e-06|4.66|0.0|3.5e-09|1.31e-06|-0.07492|3.8187|6.81|3.4810000000000003|356.17|0.3536|324.68|495.55|0.7024199999999999|0.6987399999999999|-1285.017838|-0.14506|8.7098|-0.21998|-1285.071664|4.4479
19l_a38|0.0|1|0|3.280796643|0|7.412764017000001|1.297043246|0.0|-0.086107169|-0.007360265|0.103904811|-0.02967593|-0.032264281|1|0.000347207|0.217841852|-0.4224000739999999|1|0.723755855|0.839953955|-0.053823023|0.89459881|0.700181525|0|0.799611189|-0.079681862|-0.100870929|0.51306986|-65.35669452|133.9992534|0.200388811|-33.45088372|-24.20618316|65.82033039|0.430111845|2921.048554|518.0872716|-1307.13389|2934.313773|-15.68376675|0.262589769|6.568874137999999|11.52660233|6705.993411|170.13821069999997|0.021129331|1772.6006989999998|696.3887025|0.0|1.0|1.0|1.0|3.0|2.7|0.12|-7.28|4.03|3.09|2.75|2.0|0.0|135.78|0.0|1.0|6.0|-4.94|32.0|4.0|427.48|0.0|0.0|1.0|3.22|-4.72|0.0049|1.89e-05|3.55|0.0|5.27e-08|2.25e-05|-0.0603299999999999|3.6709|4.08|3354.0|369.66|0.2883|337.75|502.31|0.69413|0.7044|-1409.309206|-0.13977|6.5627|-0.2001|-1409.37001|7.8633
47d_a18|0.0|0|0|0.0|0|7.03438793|1.251175994|0.0|-0.017398129|-0.006087337|0.069914568|-0.07722825|0.016324953|0|0.005144085|0.104380139|-0.417659275|0|0.7640994990000001|0.7430748709999999|0.027971797|0.773981237|0.741366815|0|0.836999127|-0.06394156|-0.087315963|0.445704576|-71.20388424|64.92967228|0.163000873|-42.52098397|-23.42233034|64.59518279|0.481311892|3304.705347|682.5509007|-1780.097106|1947.023498|-19.1002979|0.30185619|9.940531282|19.16475647|7780.945962999999|246.1558296|0.018506261|2549.757058|1255.618298|1.0|0.0|1.0|1.0|2.0|0.0|0.32|-8.83|2.81|3.21|2.6|3.0|2.0|159.67|1.0|1.0|12.0|-5.74|39.0|4.0|527.66|0.0|0.0|0.0|2.56|-5.28|0.000968|5.23e-06|4.16|1.0|1.4800000000000003e-09|7.790000000000001e-07|-0.04561|3.1079|8.08|3.1079|398.94|0.5820000000000001|398.94|817.06|0.69905|0.69905|-1703.545539|-0.12844|3.7605|-0.17405|-1703.622959|8.0969
3h_a32|0.0|1|1|3.579396967|0|7.765993078999999|0.609420752|0.0|0.01077056|-0.005281944|0.014517903|-0.003152613|-0.111111111|3|0.003284804|0.025035542|-0.531669815|0|0.84279263|0.7926338540000001|-0.2|0.834881529|0.8030743229999999|1|0.87880263|-0.07183387|-0.0882883959999999|0.30907784|-55.27575363|76.38838542|0.12119737|-28.15732254|-17.27367301|51.95714963|0.4089962629999999|2398.020434|550.2022886|-829.1363044|2911.160989|-10.81473143|0.226505997|8.107034244|13.71739929|5187.525619|141.8112711|0.011751781|1071.936307|593.0848817000001|1.0|1.0|1.0|1.0|1.0|3.88|0.35|-8.47|8.11|6.24|2.64|2.0|0.0|112.28|0.0|1.0|7.0|-8.23|26.0|3.0|382.55|1.0|0.0|1.0|5.4|-6.15|2.24e-06|7.140000000000001e-07|6.12|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|4.61|3.5552|348.74|0.2926|348.74|578.86|0.70257|0.70257|-1790.440663|-0.1474099999999999|3.5952|-0.20059|-1790.5004850000005|8.1549
12ax_a36|0.0|1|0|3.429529478|0|7.412764017000001|1.280791885|0.0|-0.0943348109999999|-0.007681676|0.075802407|-0.057017299|-0.034663063|1|-0.00097037|0.128253871|-0.440372791|1|0.884841888|0.836170906|-0.056676035|0.892249657|0.771220556|0|0.846837721|-0.073739612|-0.107815607|0.375647684|-72.11700812|36.17982162|0.153162279|-32.99232962|-25.96212292|62.11847297|0.488501696|2926.929456|566.4430628|-1298.106146|2471.295987|-17.36585896|0.235146956|7.563197245|14.78635841|6741.969187999999|157.28794140000002|0.018645135|1697.196809|661.6709012|0.0|1.0|1.0|0.0|2.0|0.0|0.14|-7.76|3.99|3.19|2.99|2.0|0.0|133.77|0.0|1.0|5.0|-5.08|31.0|4.0|450.32|0.0|1.0|1.0|2.82|-5.18|0.00372|6.55e-06|3.93|0.0|1.74e-08|7.83e-06|-0.05596|5.2372|4.42|3.8889|318.82|0.5236|236.74|552.0|0.39564|0.69348|-2151.910753|-0.15728|4.5001|-0.21324|-2151.971761|7.9208
47c_a18|0.0|0|0|0.0|0|7.03438793|1.251176227|0.0|0.02368001|-0.007068829|0.047739847|-0.058748345|0.028947131|0|0.002674691|0.071793992|-0.455055055|0|0.784328127|0.758269842|0.050944273|0.7912974190000001|0.7601847759999999|0|0.8128616409999999|-0.0715759629999999|-0.094000037|0.246894346|-75.57063623|67.68084951|0.1871383589999999|-46.26124419|-25.88035487|70.29678191|0.489290189|3228.879782|653.4941186000001|-1889.265906|2027.892739|-20.80632033|0.251001849|9.566965871|18.73268473|7527.530240999999|201.7910841|0.016406766|2522.390613|1167.054827|1.0|0.0|1.0|1.0|3.0|0.0|0.3|-9.18|2.84|2.87|2.41|3.0|2.0|154.77|1.0|1.0|12.0|-5.73|38.0|4.0|513.63|0.0|0.0|0.0|2.42|-5.09|0.000947|8.12e-06|3.98|1.0|6.67e-10|3.42e-07|-0.0449|3.1096|7.72|3.1096|398.71|0.5869|398.71|790.07|0.6983199999999999|0.6983199999999999|-1664.201034|-0.12841|3.3075|-0.17331|-1664.277127|8.5229
1d_a5|0.0|1|0|2.79978458|0|6.605297921|1.217311475|0.0|-0.133500214|-0.006252818|-0.118028278|-0.2261588939999999|-0.010183824|1|-0.000700145|-0.389011185|-0.38633065|2|0.525406088|0.7595197290000001|-0.015804188|0.821309592|0.513260607|0|0.8965037640000001|-0.088396743|-0.086213657|0.6271150670000001|-46.58221594|204.4506579|0.1034962359999999|-25.80622135|-19.79744178|52.05055075|0.471074204|2481.822293|484.3911442|-791.897671|1172.890724|-10.69678217|0.229495885|6.116537519|11.5640749|5717.438103|123.9992274|0.018980039|1027.76566|403.396385|1.0|0.0|1.0|1.0|1.0|2.19|0.05|-8.88|5.48|6.37|2.73|2.0|0.0|95.49|0.0|1.0|4.0|-4.79|27.0|6.0|366.34|1.0|0.0|1.0|4.15|-4.97|0.00589|1.0800000000000002e-05|3.95|0.0|1.3300000000000002e-09|4.86e-07|-0.04528|4.8725|3.58|4.6112|268.88|0.2805|254.46|414.59|0.41781|0.5764600000000001|-1288.201219|-0.18991|3.7798|-0.23519|-1288.253849|5.03
12aq_a36|0.0|1|0|3.427017327|0|7.412764017000001|1.297043497|0.0|0.0332421529999999|-0.0116333169999999|0.076517478|-0.1031859869999999|-0.028591187|1|-0.004569485|0.131910912|-0.5356623070000001|1|0.892815402|0.839953955|-0.047695595|0.89459881|0.849217847|0|0.681470612|-0.1093001919999999|-0.122078233|0.162384515|-81.56528598|86.6958382|0.318529388|-48.79273723|-28.69889692|87.31909781|0.426481765|2932.54604|455.31741460000006|-1549.740434|2906.024504|-19.17486584|0.238023252|8.596645087999999|14.98931431|6296.75201|159.03272990000002|0.020701483|2033.842158|689.2886595|0.0|0.0|1.0|0.0|3.0|0.0|0.13|-6.14|1.92|0.98|1.28|1.0|0.0|131.85|0.0|1.0|6.0|-3.52|32.0|5.0|424.46|0.0|0.0|0.0|1.15|-3.45|129.0|0.000359|1.55|0.0|7.19e-07|0.000305|-0.06059|3.9049|3.88|3.3759|367.26|0.4988|317.51|534.96|0.6933199999999999|0.7058300000000001|-1401.391057|-0.13908|6.7649|-0.19967|-1401.452487|7.2596
21c _a23|0.0|0|1|0.0|2|7.525639975|1.197962776|3.311482916|0.178300778|-0.009944003|0.0645437059999999|-0.092608459|-0.039311241|2|0.0035741379999999|0.118226959|-0.596546056|2|0.7641222459999999|0.782543953|-0.060079444|0.838980345|0.7301130229999999|1|0.790596437|-0.08365474|-0.098699133|0.2571258939999999|-70.15570019|323.3651097|0.209403563|-42.26586935|-28.58195193|69.43902929|0.468609427|3161.1237530000003|561.9588018|-1543.4254039999998|2628.628799|-20.31615463|0.165442725|8.945789862|16.83467928|7227.157398|117.597286|0.013451712|1849.394223|762.0576580000001|0.0|1.0|1.0|1.0|2.0|3.11|0.08|-7.33|3.1|3.42|2.49|1.0|1.0|133.35|1.0|1.0|6.0|-5.63|34.0|5.0|468.53|1.0|0.0|0.0|3.0|-4.72|0.0011|1.92e-05|2.86|0.0|4.69e-08|2.2e-05|-0.07892|3.6649|4.47|3.6649|338.3|0.3329999999999999|338.3|587.02|0.5885699999999999|0.5885699999999999|-1837.67081|-0.15089|6.0226|-0.22981|-1837.736174|7.1752
8f_a12|0.0|0|1|0.0|0|6.580639137|0.609895166|0.0|0.110310585|-0.008295703|-0.013400998|0.028505422|-0.024023866|1|-0.00094279|-0.023769395|-0.560548116|1|0.902669729|0.7475224290000001|-0.042014638|0.80546986|0.8409290840000001|1|0.869823177|-0.072634742|-0.098932601|0.285353468|-56.220383|83.13642146|0.130176823|-23.45595611|-21.72151161|48.82707007|0.460344828|2541.921472|494.2940092|-955.746511|1448.568734|-12.34367323|0.161876566|7.016225129|13.00131176|5481.952981|91.98952021|0.012030968|1140.340995|524.0516742|1.0|1.0|1.0|1.0|1.0|3.26|0.1|-8.42|4.99|3.41|3.1|2.0|0.0|115.66|0.0|1.0|3.0|-5.7|27.0|4.0|369.44|0.0|1.0|1.0|3.82|-5.24|0.000735|5.72e-06|4.34|0.0|3.79e-09|1.4e-06|-0.06179|4.1744|4.19|3.6536|339.35|312.0|297.01|441.97|0.59107|0.65098|-1480.955408|-0.15061|0.9092|-0.2124|-1481.008909|6.1898
14k_a23|0.0|0|1|0.0|2|7.423568444|1.1979621459999998|3.358995671|0.070940371|-0.005866159|0.04479394|-0.055500851|-0.055708465|2|0.009263715|0.082632648|-0.463402169|2|0.722187957|0.800643488|-0.091426449|0.864845456|0.659570836|1|0.922397728|-0.0562483359999999|-0.079899943|0.226547411|-53.17069631|38.76597615|0.077602272|-24.9092952|-22.62582822|49.96154892|0.486654314|2955.4566170000003|613.8243395|-1063.413926|2174.886074|-15.05671972|0.216437606|8.21201115|15.99703938|6715.186162999999|144.0318708|0.016348271|1357.152837|633.3278634|0.0|1.0|0.0|1.0|1.0|3.56|0.05|-7.99|4.0|4.67|3.51|2.0|1.0|125.29|0.0|1.0|5.0|-6.13|31.0|4.0|445.93|0.0|0.0|0.0|3.99|-5.55|0.000334|2.83e-06|4.21|0.0|1.02e-08|4.55e-06|-0.07933|3.6421|4.1|3.6421|340.42|0.4694|340.42|552.65|0.63765|0.63765|-2089.293765|-0.14784|5.8718|-0.2271699999999999|-2089.354026|8.4123
3p_a32|0.0|1|1|3.456037415|0|8.02059915|0.609420752|0.0|0.007752757|-0.008735261|-0.050639647|-0.111150118|-0.074544773|3|0.000920756|-0.092884784|-0.53666614|0|0.737842269|0.8599558070000001|-0.120768771|0.918782026|0.6956696440000001|1|0.8195708759999999|-0.070907174|-0.098773656|0.366898545|-58.13283248|40.28175307|0.180429124|-24.56127372|-17.1756096|54.24719019|0.416240891|2650.4178850000003|482.3550967|-755.7268222|3037.061498|-10.10863498|0.380032117|6.243062200000001|10.69458635|5960.446219|223.6663527|0.025390655|1218.977375|530.5658569|0.0|1.0|1.0|1.0|1.0|2.6|0.26|-6.79|6.06|3.71|1.1|1.0|0.0|112.37|0.0|1.0|4.0|-5.11|27.0|4.0|395.5|0.0|0.0|1.0|3.23|-4.25|0.00308|5.629999999999999e-05|2.7|0.0|1.62e-07|6.4e-05|-0.04963|3.6436|4.26|3.6436|340.28|0.3083|340.28|471.04|0.7017100000000001|0.7017100000000001|-1879.350471|-0.15055|4.3094|-0.20018|-1879.406962|7585.0
4q_a46|0.0|0|0|0.0|1|7.832410927000001|1.131262631|2.151582577|-0.2520920439999999|-0.001250008|-0.012611536|-0.155661124|-0.081623022|1|0.012222698|-0.019471024|-0.125840557|2|0.716317772|0.807871283|-0.121752717|0.848935944|0.703627625|0|0.913550004|-0.052170875|-0.070035423|0.258420996|-39.09149156|38.31894407|0.086449996|-16.25388148|-11.72744747|37.21920695|0.487775649|2234.596293|509.9138517|-586.3723734|1491.412605|-6.545879136|0.38044274|6.038093227999999|11.78798551|4992.497361|212.350744|0.018430997|946.4377411|554.3688216|1.0|1.0|1.0|1.0|0.0|3.16|0.38|-6.94|4.09|4.09|1.75|0.0|0.0|102.63|0.0|1.0|4.0|-3.41|26.0|4.0|348.44|0.0|1.0|0.0|3.15|-3.89|135.0|0.000129|2.65|0.0|1.14e-07|3.97e-05|-0.03042|4.5296|2.57|4.5296|273.72|0.1432|273.72|510.13|0.69002|0.69002|-1108.511662|-0.1903|2.7026|-0.2207199999999999|-1108.566571|6129.0
12h_a40|0.0|0|0|0.0|1|7.515889085|0.60499064|1.760542171|0.104392974|-0.008044548|0.208938531|0.189869851|-0.21893421|2|-0.002126898|0.367928263|-0.556229094|0|0.809398262|0.7769829840000001|-0.335801908|0.845904643|0.6948809659999999|1|0.839481749|-0.0954337969999999|-0.091448888|0.006997021|-48.34705035|208.6717565|0.160518251|-26.67382585|-20.51086984|56.64687411|0.4958138139999999|2270.834041|443.8158546|-676.8587047999999|603.6697997|-10.84365353|0.155991416|7.989299324|15.84593062|5087.343024|82.46928995|0.012453938|801.957134|350.9435025|0.0|1.0|1.0|1.0|1.0|3.0|0.0|-6.84|4.59|5.02|3.76|2.0|1.0|96.16|0.0|1.0|2.0|-6.25|23.0|2.0|361.25|0.0|0.0|1.0|4.22|-5.58|0.0002009999999999|2.61e-06|4.75|0.0|1.44e-07|5.2e-05|-0.07512|4.1508|4.14|2.6436|469.0|0.3985|298.7|435.95|0.6503899999999999|0.7041|-2153.072091|-0.1092|2.5573|-0.18432|-2153.123274|6.0846
