molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|DPSA5|DPSA3|TASA|PNSA2|MOMI-Z|PPSA1|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12aj_a36|0.0|1|0|0|3.482902101|0.0|0|2|2|1.29704406|0.0|-0.056210607|-0.00706023|5.351858133|-0.045035034|-0.402433117|0.002951176|-0.103202936|-0.042227364|1|1|0.003962098|-0.1763783589999999|1|0.90414347|0.812278823|0.091113865|0.8632656809999999|0.856274847|0|0.8269863129999999|-0.073002742|-0.10279655|0.251263868|-46.79363201|-65.89100364|11.73352271|82.34300699|0.173013687|110.89910559999998|-0.0368515929999999|7.521007149|0.0|76.5855549|58.52715472|530.0854761|-1251.929069|2275.825451|144.26810480000003|30.48195872|-352.4483722|662.0530478999999|0.0|0.0|2.0|4.84|0.0|0.17|-6.97|3.24|2.19|69.2|2.24|0.0|128.72|1.0|-4.16|30.0|-6.55|0.0|1.0|0.0|0.0274|0.02|3.04|0.0|1.08e-07|4.270000000000001e-05|-0.05275|3.48|3.6017|-1272.27339|-1272.241135|344.24|0.5616|237.06|0.4112|0.70423|-1271.9998859999998|0.0082|-0.14818|0.03225532|-1272.060325|7.8393|7.7696|7.7696
47k_a18|0.0|0|0|0|0.0|0.0|0|1|1|1.25117623|0.0|0.029145635|-0.0067578909999999|4.844187086|-0.0605329409999999|-0.5135996820000001|0.003047962|-0.02822032|-0.008576013|0|0|0.00493127|-0.421027889|0|0.762665453|0.721697829|0.022512501|0.753132457|0.737517943|0|0.8309354040000001|-0.065324278|-0.088346874|0.3533268229999999|-51.59195677|-69.77479556|11.91029894|20.66242736|0.169064596|133.5242222|-0.030255779|9.406543039|58.77865447|84.23875372|63.50225571|656.2580564|-1744.369889|2009.418849|224.8475227|33.40602576|-340.0872332|1167.054827|1.0|1.0|2.0|4.66|0.0|0.3|-8.44|2.39|3.17|88.97|2.82|2.0|154.86|1.0|-5.84|38.0|-6.41|0.0|0.0|0.0|0.000742|0.0023899999999999|4.26|1.0|3.6099999999999997e-09|1.85e-06|-0.04359|8.45|3.0948|-1664.756029|-1664.728002|400.63|0.5920000000000001|400.63|0.69823|0.69823|-1664.2657390000002|0.5920000000000001|-0.1277599999999999|0.02802749|-1664.341238|5.2253|7.5376|7.5376
6c_a31|0.0|1|0|0|3.423005244|0.0|0|1|1|0.6101347220000001|0.0|0.047405064|-0.015192833|5.733341277|-0.151732713|-0.790027307|-0.009477764|-0.00219333|-0.107687565|2|2|-0.00668344|-0.009333123|0|0.831901219|0.790900932|-0.078059285|0.846458013|0.7905201209999999|0|0.641197273|-0.120905075|-0.126324613|0.138124296|-76.54198229|-79.97295595|20.09112958|163.6316745|0.358802727|227.1490414|-0.044739967|12.71919216|105.7632176|93.4208388|96.63311186|405.9259734|-1359.540251|2357.829685|148.5675636|37.00884624|-335.9398876|597.3075924999999|1.0|1.0|2.0|3.67|3.13|0.14|-7.72|5.58|4.26|131.36|1.58|0.0|114.5|1.0|-6.09|30.0|-6.27|0.0|0.0|1.0|0.000343|0.0048|3.64|0.0|1.89e-08|7.9e-06|-0.0581799999999999|5.08|3.2974|-1691.984862|-1691.948653|376.01|0.5028|376.01|0.7014699999999999|0.7014699999999999|-1691.734564|0.5028|-0.13351|0.03620884|-1691.794585|8.8847|6.4685|6.4685
12s_a36|0.0|1|0|0|3.486136149|0.0|0|2|2|1.297044029|0.0|-0.057853364|-0.007059109|5.351858133|-0.045035034|-0.4023692|0.002951176|0.0056370119999999|-0.050363149|1|1|0.003962098|-0.1763783589999999|1|0.90414347|0.8060798779999999|-0.118671653|0.856677627|0.856274847|0|0.8303378090000001|-0.07216709|-0.1000534719999999|0.4314309979999999|-46.58030248|-64.57958827|12.55883918|110.6090028|0.169662191|109.5085883|-0.035868226|8.106112169|10.23927133|76.34126108|59.13914165|535.942162|-1227.012177|2294.468358|158.6528381|30.69639722|-328.1450742|662.0530478999999|0.0|0.0|2.0|4.85|0.0|0.17|-6.97|3.24|2.19|69.2|2.24|0.0|128.72|1.0|-4.16|30.0|-6.55|0.0|1.0|0.0|0.0274|0.02|3.04|0.0|1.08e-07|4.270000000000001e-05|-0.04908|3.48|3.7604|-1272.270833|-1272.236664|329.71|0.4501|319.95|0.6843600000000001|0.6928|-1272.00109|0.0002|-0.15559|0.03416928|-1272.061111|8.7738|8.0458|8.0458
13a_a6|0.0|1|0|0|3.417162147|0.0|0|1|1|1.430639975|0.0|-0.042110772|-0.01115741|5.351858133|-0.0265090529999999|-0.602500119|-0.00460563|0.0015242189999999|-0.0525259259999999|1|1|-0.00194781|-0.180339002|1|0.850080948|0.7722228729999999|0.090839165|0.8299950709999999|0.8013954109999999|0|0.77450544|-0.094081761|-0.113446379|0.22670695|-61.52313164|-74.18628740000001|20.83876732|154.9639272|0.22549456|147.4582473|-0.040840697|13.62714959|554.4922449|87.37044493|82.36189896|506.474367|-1335.353173|2626.396685|157.0011174|35.14492428|-339.9303794|627.4287311|1.0|1.0|2.0|3.53|3.2|0.12|-9.01|4.98|4.32|95.85|1.29|0.0|116.79|1.0|-5.51|31.0|-6.1|0.0|0.0|1.0|0.0012699999999999|0.00417|3.8|0.0|9.77e-10|4e-07|-0.05018|4.04|3651.0|-1350.085889|-1350.057702|339.59|0.5352|206.87|0.4816|0.70072|-1349.834826|0.2697|-0.14969|0.02818646|-1349.895534|9.2157|7.3372|7.3372
12b_a32|0.0|1|1|1|3.477905329|0.0|0|0|0|0.609420757|0.0|0.115940697|-0.009432679|5.733341277|-0.055500132|-0.462201267|-0.003484915|-0.031446256|-0.053480599|3|3|-0.001662219|-0.1534110109999999|0|0.788133615|0.838021287|-0.0533240309999999|0.8887585240000001|0.7507116140000001|1|0.782593|-0.081450418|-0.097525366|0.2996018789999999|-50.88975159|-60.93328667|10.17310723|90.57560878|0.217407|135.83463989999998|-0.027561517|6.356098747000001|65.29222164|76.65746734|61.06285882|488.9595947|-792.1327267000001|3148.185476|247.2897528|28.50066715|-130.2147289|557.1050635|1.0|1.0|2.0|3.47|2.9|0.26|-7.65|6.49|4.19|140.04|1.1|0.0|110.47|1.0|-5.9|27.0|-6.4|1.0|0.0|1.0|0.000505|0.0148|3.28|0.0|2.23e-08|8.86e-06|-0.05173|4.12|3.5703|-1880.770588|-1880.732075|347.27|0.2865|347.27|0.70258|0.70258|-1880.537231|0.2865|-0.14803|0.0385132|-1880.599158|4.1080000000000005|7585.0|7585.0
16_a15|-3.726252327|0|0|0|0.0|0.0|0|0|0|0.300207157|0.0|0.072882981|-0.008593957|0.0|-0.463771194|-0.4898555739999999|-0.009769916|-0.109386268|-0.011969556|0|0|-0.00379317|-0.0764246109999999|2|0.787100127|0.729432583|0.080837546|0.77948108|0.72660548|0|0.723597405|-0.08870471|-0.101500719|0.7427725270000001|-60.63825695|-69.38556779999999|4.848103252|53.93878231|0.276402595|188.9479321|-0.039472502|3.31414791|17.68542055|76.07332645|65.48636021|494.6488764|-1457.096924|3014.308422|89.91997762|31.07023998|-503.7568532|728.353441|1.0|1.0|2.0|3.59|2.93|0.08|-9.21|3.37|6.02|115.58|1.72|0.0|124.45|1.0|-6.0|32.0|-6.27|1.0|0.0|1.0|0.000442|0.00274|3.88|0.0|6.1e-10|2.72e-07|-0.04082|8.26|4.1295|-1770.509465|-1770.448668|300.24|0.3809|297.1|0.6541100000000001|0.66615|-1770.217907|0.1409|-0.16871|0.06079704|-1770.281427|11.7447|7.6778|7.6778
3b_a12|0.0|0|0|0|0.0|0.0|0|1|1|1.283824445|0.0|0.156777705|-0.007916598|0.0|-0.043495794|-0.332497127|-0.004028952|-0.065558712|-0.003968827|0|0|-0.003019113|-0.116772665|1|0.914614654|0.768772928|-0.008328578|0.82914101|0.802482465|0|0.903204699|-0.064393592|-0.088443201|0.073824142|-33.57216667|-46.11064215|5.401901357000001|41.13468455|0.096795301|50.46508298|-0.034016616|2.816328871|0.0|54.77629766|38.97406803|470.8937285|-691.6596323|1935.211747|120.5265876|23.06757345|-280.3056362|406.0361621|1.0|1.0|1.0|3.82|2.98|0.05|-8.1|4.05|3.14|37.28|3.99|0.0|102.53|1.0|-4.26|24.0|-5.65|0.0|1.0|1.0|0.0184|0.00759|3.78|0.0|7.91e-09|2.63e-06|-0.07091|3.96|3.7741|-1410.971864|-1410.947421|328.51|0.5013|294.55|0.53738|0.6654800000000001|-1410.826913|0.2418|-0.15229|0.02444371|-1410.8759220000002|8.5678|7.3098|7.3098
15a_a50|0.0|0|1|1|0.0|0.0|2|1|1|1.3530592819999998|4.126145086|-0.113976703|-0.004429392|5.82008293|-0.06317118|-0.234757789|0.005366038|-0.15010386|-0.125205943|2|2|0.005828749|-0.209259615|1|0.797917311|0.821868651|-0.051676609|0.8749408470000001|0.76745052|1|0.837789896|-0.0783960279999999|-0.084501726|0.4349386739999999|-46.91098865|-50.56454577|10.77967103|275.287923|0.162210104|97.06405493|-0.029316925|6.450390922|0.0|61.78266878|57.69065967|501.3207109|-859.5972780999999|1754.903963|176.277812|24.86892274|-245.8291419|569.5267957000001|1.0|1.0|1.0|3.7|2.63|0.23|-6.09|3.23|3.57|68.76|1.87|0.0|110.43|1.0|-3.6|28.0|-6.78|0.0|1.0|1.0|0.0933|0.0444|2.51|0.0|8.070000000000001e-07|0.0003|-0.03255|2.66|4.0408|-1199.818129|-1199.784983|306.83|0.1767|306.83|0.66132|0.66132|-1199.572081|0.1767|-0.16693|0.03314629|-1199.629702|9.0948|7.3872|7.3872
15_a31|0.0|1|0|0|3.155574452|0.0|0|1|1|0.610137926|0.0|0.1893807519999999|-0.018913735|5.733341277|-0.134784483|-0.775463115|-0.011797858|-0.070065105|-0.074455342|2|2|-0.007631228|-0.272545088|0|0.8314086070000001|0.8022000659999999|-0.0869591359999999|0.8582665429999999|0.782925607|0|0.567108776|-0.116196194|-0.131697567|0.287991212|-61.76522754|-70.00513464|20.47825449|141.1489667|0.4328912239999999|230.1075793|-0.041588706|10.88541717|514.6215199|88.05886218|82.24348203|301.452236|-840.0616157|1675.977147|190.5463457|34.45943505|-150.46712390000002|363.593507|1.0|1.0|2.0|3.31|1.64|0.19|-5.66|4.12|3.0|117.37|0.41|0.0|90.47|2.0|-4.28|24.0|-6.84|0.0|0.0|1.0|18.0|0.0931|2.18|0.0|2.19e-06|0.000749|-0.04192|3.9|4569.0|-1460.900291|-1460.861851|271.36|348.0|271.36|0.5241899999999999|0.5241899999999999|-1460.736142|348.0|-0.15202|0.03843988|-1460.790873|7.5831|5.9586|5.9586
