molecula|molecula|Contribution (HOMO-LUMO transition)|NaasN|hydrogen_bond_acceptors_count (using_Lipinski’s_definition)|nAHRing|Log Kp (cm/s)|FNSA5|Zero Point Energy|PNSA3|Consensus Log P|pIC50|RNCS|TPSA_x|FNSA4|CYP3A4 inhibitor|Synthetic Accessibility|FNSA1|Log Po/w WLOGP|pIC50
9_a15|9_a15|0.70552|0|5.0|0|-5.52|-0.11668349|-1223.463757|-41.10356167|3.69|6.9706|105.5304352|85.79894134|-0.028575549|1.0|3.16|0.51257747|4.95|6.9706
15_a10|15_a10|0.68543|1|4.0|1|-6.07|-0.074144604|-1603.851644|-35.30133759|3.83|7.4815|33.67392858|50.34268476|-0.025240716|1.0|3.29|0.646412648|4.72|7.4815
9h_a24|9h_a24|0.61928|1|4.0|0|-6.85|-0.0687348109999999|-945.153352|-28.52000725|1.97|7.1135|167.2085719|54.93613103|-0.026280957|1.0|2.84|0.572371258|2.72|7.1135
4g_a46|4g_a46|0.6983199999999999|1|3.0|1|-5.18|-0.070153728|-1492.923098|-32.64186634|4.39|5.5615|7.38470955|30.50581108|-0.024339048|1.0|3.9|0.826861093|5.37|5.5615
12bf_a36|12bf_a36|0.69292|0|6.0|2|-6.8|-0.110255801|-1431.187555|-58.26326838|2.44|8.2218|87.14111344|206.6543367|-0.037486972|0.0|4.72|0.7054709690000001|3.0|8.2218
14g_a23|14g_a23|0.56658|2|8.0|0|-5.94|-0.096288005|-2041.934312|-51.82254036|4.35|8.0|95.64648102|65.94601775|-0.041536002|1.0|3.61|0.780315815|6.18|8.0
3q_a32|3q_a32|0.70216|0|4.0|0|-6.35|-0.097961799|-1919.821707|-41.72706804|3.86|7.5528|41.73511731|92.62226328|-0.027989085|1.0|3.57|0.6349739010000001|4.72|7.5528
A8301_a51|A8301_a51||1|3.0|0|-5.31|-0.0780376929999999||-35.90764428|4.58|7.9208|36.55933899|42.37868986|-0.032775831|1.0|3.49|0.854959635|5.52|7.9208
27_a47|27_a47|0.69381|1|5.0|1|-6.34|-0.079484997|-1777.830739|-40.35526807|3.91|5.6|20.73428323|98.27436776|-0.028494622|1.0|3.37|0.700732763|5.07|5.6
18_a15|18_a15|0.70427|0|4.0|0|-4.8|-0.090730185|-1265.556558|-41.31992544|5.06|6.8894|40.37881101|100.159876|-0.035181092|1.0|3.37|0.867430881|6.86|6.8894
17_a4|17_a4|0.47353|1|6.0|1|-5.56|-0.08932566|-1255.881628|-45.75108579|4.29|6.057|17.08736223|57.34712812|-0.042181562|0.0|3.31|0.861696586|6.26|6.057
5b_a40|5b_a40|0.59928|1|3.0|0|-5.42|-0.091267779|-2096.707754|-38.64461938|3.83|7.1938|169.18694230000003|59.56617021|-0.036507111|0.0|3.13|0.829018186|4.39|7.1938
12an_a36|12an_a36|0.69094|0|4.0|2|-6.64|-0.105145528|-1670.182102|-49.67568778|2.33|7.3979|82.43567331|110.5140393|-0.036995649|1.0|4.85|0.783512615|2.61|7.3979
14b_a25|14b_a25|0.64983|1|5.0|0|-6.26|-0.084160084|-1444.266358|-52.75064158|3.63|7.6576|112.49583529999998|97.23019209|-0.032728922|1.0|3.51|0.772789587|4.79|7.6576
12m_a36|12m_a36|0.69382|0|5.0|2|-7.39|-0.121074678|-1401.385923|-67.27772044|1.26|7.5229|42.78660249|193.174369|-0.04260035|0.0|4.83|0.7471181240000001|0.98|7.5229
19_a34|19_a34|0.6897300000000001|1|5.0|1|-7.01|-0.1255804019999999|-1046.458335|-56.30608209|2.1|6.0044|131.5318459|179.6256831|-0.039656969|1.0|3.07|0.662289492|2.31|6.0044
12s_a30|12s_a30|0.68458|0|6.0|2|-6.06|-0.103647048|-1774.01033|-58.75255278|3.21|8.129|89.91581294|189.9114627|-0.040189672|0.0|4.63|0.790481833|3.74|8.129
12_a3|12_a3|0.69784|0|3.0|0|-5.3|-0.096133903|-1272.010995|-44.07517037|3.23|5.45|239.2266101|80.99228663|-0.039584548|1.0|3.2|0.830418645|4.01|5.45
17g_a50|17g_a50|0.6623600000000001|2|4.0|2|-6.28|-0.0706879109999999|-1335.631756|-32.14758511|3.63|6.6091|10.60268439|52.94662161|-0.025918901|1.0|4.04|0.749948388|4.37|6.6091
7_a47|7_a47|0.69314|0|4.0|0|-4.8|-0.095957591|-1647.7863539999998|-45.82735481|4.89|7.6|103.5602725|86.09912617|-0.036250645|1.0|2.96|0.816979353|6.52|7.6
12ab_a36|12ab_a36|0.69294|0|5.0|2|-7.21|-0.095025338|-1364.236757|-54.63243106|1.8|7.9586|116.6804416|109.6369437|-0.033434841|0.0|4.86|0.679025324|1.95|7.9586
12q_a36|12q_a36|0.6863199999999999|0|4.0|2|-6.49|-0.1060430969999999|-1692.3116350000005|-49.18227989|2.34|8.2218|82.68142965|110.4712541|-0.038175515|0.0|4.74|0.768692389|2.54|8.2218
16_a20|16_a20|0.69524|0|4.0|0|-5.42|-0.077793092|-1275.636924|-43.51359744|4.37|7.585|69.28224942|55.92018945|-0.029561375|1.0|3.5|0.780108103|5.46|7.585
13f_a6|13f_a6|0.70541|0|5.0|0|-6.52|-0.092939631|-1347.018087|-49.2635105|3.19|7.3768|62.42897239999999|91.85971442|-0.032802223|1.0|3.56|0.720711855|4.53|7.3768
12n_a36|12n_a36|0.7046600000000001|0|6.0|2|-8.03|-0.115872034|-1875.89723|-60.42525197|1.18|7.8239|67.52548352|189.4391835|-0.039955874|0.0|5.03|0.741751453|2.15|7.8239
11d_a5|11d_a5|0.6533399999999999|0|5.0|0|-6.47|-0.0847408619999999|-1238.855022|-40.04753555|3.28|7.8239|61.45330587|82.02685783|-0.029333375|1.0|3.13|0.712305422|4.14|7.8239
27a_a34|27a_a34|0.69818|1|7.0|1|-7.29|-0.123191967|-1861.468024|-74.78290605|2.44|6.6198|176.4623026|279.75296960000003|-0.043345322|1.0|3.66|0.764921711|3.97|6.6198
12aj_a36|12aj_a36|0.70423|0|4.0|2|-6.55|-0.10279655|-1271.9998859999998|-46.79363201|2.14|7.7696|82.34300699|110.89910559999998|-0.0368515929999999|0.0|4.84|0.77492734|2.19|7.7696
12c_a31|12c_a31|0.7007399999999999|0|5.0|1|-6.53|-0.129736755|-1617.888981|-66.41224264|3.32|6.4202|153.400467|212.313715|-0.036326291|1.0|3.69|0.6817087|3.7|6.4202
13a_a30|13a_a30|0.6845600000000001|0|5.0|2|-7.05|-0.113507021|-1744.217986|-74.02777574|1.91|7.8665|381.9643801|204.9120824|-0.042832838|0.0|4.76|0.799862466|1.72|7.8665
12l_a30|12l_a30|0.68488|0|8.0|2|-5.66|-0.109810463|-1987.782294|-63.31694493|3.42|7.2154|103.5499036|115.9404641|-0.045581702|0.0|4.72|0.8218150790000001|4.78|7.2154
47d_a18|47d_a18|0.69905|0|4.0|1|-6.57|-0.087315963|-1703.545539|-52.14267013|2.56|8.0969|64.92967228|132.9229494|-0.028722356|1.0|4.73|0.69814381|3.21|8.0969
19c_a38|19c_a38|0.6279899999999999|0|5.0|2|-7.13|-0.108301657|-1424.1880119999998|-57.79749770000001|2.57|8.0348|139.1570837|151.612258|-0.038224114|1.0|4.84|0.7187071909999999|2.42|8.0348
47k_a18|47k_a18|0.69823|0|4.0|1|-6.41|-0.088346874|-1664.2657390000002|-51.59195677|2.53|7.5376|20.66242736|133.5242222|-0.030255779|1.0|4.66|0.7153044209999999|3.17|7.5376
12p_a30|12p_a30|0.68561|0|4.0|2|-5.81|-0.094870978|-1614.830085|-47.54197452|2.91|7.7721|75.21136863|100.1386407|-0.0364888379999999|0.0|4.76|0.8199554720000001|2.93|7.7721
15_a4|15_a4|0.56413|1|3.0|1|-5.6|-0.073738544|-958.147682|-29.80513879|3.61|6.757|12.70877085|63.43714456|-0.030724393|0.0|3.28|0.8438913020000001|4.4|6.757
19_a20|19_a20|0.6987399999999999|0|5.0|0|-6.8|-0.099685049|-1368.129074|-60.26825633|3.16|5.585|339.8339889|161.33709|-0.038340404|1.0|3.49|0.796070588|4.08|5.585
21_a10|21_a10|0.68165|1|6.0|1|-6.07|-0.084654798|-1485.216871|-64.32920271|4.04|5.3188|240.7558768|159.11338909999998|-0.03292131|0.0|3.5|0.704106635|5.6|5.3188
12b_a32|12b_a32|0.70258|0|4.0|0|-6.4|-0.097525366|-1880.537231|-50.88975159|3.59|7.585|90.57560878|135.83463989999998|-0.027561517|1.0|3.47|0.60420609|4.19|7.585
8_a1 (SB-202620)|8_a1 (SB-202620)|0.7026600000000001|0|5.0|0|-5.94|-0.105271458|-1222.9606720000002|-66.76765693|3.7|6.3979|208.2071465|199.1596945|-0.041081545|0.0|2.74|0.7742395870000001|5.06|6.3979
5e_a40|5e_a40|0.69675|1|3.0|0|-5.66|-0.089724264|-1637.115238|-36.56222854|3.33|7.6021|170.7311133|64.47400829|-0.035889706|0.0|3.03|0.8223594679999999|3.74|7.6021
6b_a40|6b_a40|0.69429|1|5.0|1|-5.85|-0.118488624|-3290.583786|-72.13527644|4.21|7.5229|176.8246355|165.1465831|-0.049599889|1.0|4.02|0.878140798|4.38|7.5229
13a_a5|13a_a5|0.50037|0|5.0|0|-7.18|-0.0839257009999999|-1312.907813|-57.31787843|2.71|7.041|126.2663658|150.1663914|-0.0279752339999999|1.0|3.07|0.598791539|3.58|7.041
7_a1|7_a1|0.69902|1|4.0|2|-6.4|-0.098295453|-1009.350293|-40.16416679|2.72|6.3372|111.9204437|139.2595474|-0.031040669|1.0|3.09|0.603382856|3.29|6.3372
2_a20 (SB-505124)|2_a20 (SB-505124)|0.69947|0|4.0|1|-5.31|-0.117328885|-1089.147716|-45.98170774|3.81|6.7721|122.8758934|126.8667205|-0.0382594189999999|1.0|3.4|0.831919306|4.47|6.7721
3j_a32|3j_a32|0.7028|0|3.0|0|-5.6|-0.095013178|-1671.351322|-37.33051857|4.09|8.0969|47.55031019|71.64373163|-0.030815085|1.0|3.27|0.7487739999999999|4.93|8.0969
12ap_a36|12ap_a36|0.6929|0|5.0|2|-7.08|-0.106173763|-1324.95298|-54.21070432|1.66|7.4949|82.56761031|111.1558165|-0.037473093|0.0|4.78|0.737851886|1.76|7.4949
47j_a18|47j_a18|0.6983600000000001|0|4.0|1|-6.46|-0.094744194|-1624.9784550000002|-56.816779|2.39|7.4559|95.57657747|150.5035248|-0.033837212|1.0|4.54|0.764425062|2.82|7.4559
12l_a36|12l_a36|0.6925|0|5.0|2|-6.68|-0.107815735|-1324.954011|-52.05361632|1.77|7.699|39.27257375|101.6575135|-0.038052612|0.0|4.78|0.7379583590000001|1.76|7.699
7_a27|7_a27|0.61278|2|4.0|0|-6.26|-0.084531496|-1122.249324|-34.09779211|3.14|9.0|10.66993367|83.57286704|-0.0300556429999999|1.0|3.24|0.763564713|3.05|9.0
12w_a36|12w_a36|0.69466|0|8.0|2|-6.4|-0.111267166|-1644.953222|-62.34080876|2.65|7.6383|112.947763|123.23411609999998|-0.041210062|0.0|4.82|0.70536279|4.04|7.6383
19_a3|19_a3|0.67351|0|4.0|0|-6.5|-0.087730634|-929.14689|-31.50932639|2.45|7.6383|161.5312186|68.43484547|-0.032585664|1.0|2.81|0.75798185|3.39|7.6383
47g_a18|47g_a18|0.69828|0|4.0|1|-6.4|-0.08547236|-1742.7686640000002|-55.35188184|2.83|8.0458|111.5517627|140.5114492|-0.029212072|1.0|4.87|0.731870777|3.6|8.0458
12bc_a36|12bc_a36|0.69094|0|4.0|2|-6.26|-0.107107992|-2151.9100780000003|-51.87437401|2.82|8.0969|83.35308244|111.3483497|-0.038558877|0.0|4.73|0.77146807|3.19|8.0969
15c_a22|15c_a22|0.69113|1|6.0|0|-6.96|-0.080088202|-1460.324493|-48.58045253|2.98|6.1325|36.22825261|96.05497587|-0.0302219629999999|1.0|3.49|0.661775114|4.18|6.1325
37_a18|37_a18|0.69305|0|3.0|2|-6.14|-0.074857954|-1532.553949|-50.09028298|2.93|7.4559|12.63119843|123.0060763|-0.0286221589999999|1.0|4.31|0.7648766029999999|3.3|7.4559
12e_a36|12e_a36|0.70007|0|4.0|2|-6.55|-0.100988761|-1271.999945|-44.83739063|2.14|7.8539|65.27404529|102.9838531|-0.036203518|0.0|4.85|0.7610764190000001|2.19|7.8539
8j_a46|8j_a46|0.70121|1|3.0|1|-5.55|-0.068971544|-1414.349865|-29.38737046|3.82|5.9108|7.723448142|35.10521457|-0.02566383|1.0|3.23|0.822112519|4.55|5.9108
14_a15|14_a15|0.7055899999999999|0|4.0|0|-4.97|-0.0917424269999999|-1280.809256|-40.89540491|4.7|7.5229|92.51564418|72.36402409|-0.032888795|1.0|3.56|0.770309725|6.3|7.5229
11b_a31|11b_a31|0.70073|0|6.0|1|-6.73|-0.148709304|-1519.909742|-80.0942166|2.69|6.2757|286.7721447|253.1028809|-0.044612791|1.0|3.41|0.669723835|3.25|6.2757
14_a1|14_a1|0.69894|0|5.0|1|-6.73|-0.122581374|-1292.359534|-74.96297518|2.85|7.0269|161.1772893|240.9270705|-0.046308519|1.0|3.25|0.753357398|3.63|7.0269
7b_a8|7b_a8|0.7025100000000001|1|5.0|1|-6.15|-0.1000685009999999|-1330.392289|-60.75943432|3.5|4.8687|145.0783004|166.30684230000003|-0.041332642|1.0|3.49|0.753935657|3.8|4.8687
12al_a36|12al_a36|0.70417|0|5.0|2|-6.93|-0.105915949|-1347.196501|-51.22331485|1.81|7.3188|114.2305891|130.8308989|-0.035305316|0.0|4.81|0.671084645|1.89|7.3188
1a_a5|1a_a5|0.54123|0|4.0|1|-6.58|-0.075618812|-951.178584|-36.19957997|1.75|6.9706|83.60943679|83.77332129999999|-0.027665419|1.0|3.54|0.7256546770000001|1.42|6.9706
5b_a49|5b_a49|0.65269|1|4.0|2|-7.24|-0.076494119|-1291.873941|-41.03213895|2.58|7.5528|170.0796998|119.3565117|-0.026008|1.0|3.34|0.608694741|2.87|7.5528
18c_a25|18c_a25|0.70516|1|3.0|0|-5.85|-0.0719340379999999|-1714.280779|-31.96445203|4.77|7.0555|26.54367263|34.1639413|-0.026975264|1.0|3.58|0.7479204509999999|6.11|7.0555
18_a47|18_a47|0.63359|0|5.0|0|-5.87|-0.084415066|-1353.979194|-49.44908758|4.16|8.6|70.55642796|139.1786571|-0.0303894239999999|1.0|3.47|0.7327484470000001|6.0|8.6
4j_a46|4j_a46|0.69413|1|3.0|1|-5.09|-0.074417476|-1131.761156|-34.99059698|4.5|6.0942|70.56141095|29.59387777|-0.024805825|1.0|4.0|0.776932317|5.33|6.0942
15a_a50|15a_a50|0.66132|2|4.0|1|-6.78|-0.084501726|-1199.572081|-46.91098865|2.76|7.3872|275.287923|97.06405493|-0.029316925|1.0|3.7|0.705410595|3.57|7.3872
9d_a40|9d_a40|0.69986|1|2.0|0|-4.62|-0.071656839|-1677.429981|-31.08478865|4.63|6.9706|108.1468558|30.08152399|-0.031613312|0.0|3.25|0.8664205709999999|5.09|6.9706
12b_a36 (EW-7197)|12b_a36 (EW-7197)|0.69991|0||2||-0.10866747|-1331.9479310000002|-50.90136206||8.1549|81.63796416|147.9542111|-0.039120289|||0.746747352||8.1549
8e_a12|8e_a12|0.6954899999999999|1|4.0|1|-6.03|-0.087795345|-1177.380602|-29.79080011|3.12|6.2306|51.38557748|34.57040021|-0.031094185|1.0|4.11|0.7112578709999999|2.68|6.2306
9g_a24|9g_a24|0.64993|1|4.0|0|-7.17|-0.065668047|-984.447764|-32.080056199999994|1.93|7.1675|174.88817269999998|65.73938109|-0.021297745|1.0|2.8|0.4819264479999999|2.93|7.1675
17_a15|17_a15|0.7045100000000001|0|4.0|0|-5.58|-0.079844675|-1413.559128|-40.50376584|4.44|7.9208|34.35335309|91.58201681|-0.027065991|1.0|3.63|0.653207369|6.0|7.9208
14z_a23|14z_a23|0.69913|2|4.0|0|-5.8|-0.079754981|-2548.895003|-40.56245532|4.49|8.2941|40.18308023|52.02674091|-0.03393829|1.0|3.42|0.785604449|5.32|8.2941
14p_a23|14p_a23|0.6816|2|5.0|0|-6.62|-0.080784473|-1721.933314|-42.52653933|3.25|8.5302|40.58186569|51.64167457|-0.033660197|1.0|3.48|0.751638299|3.89|8.5302
12k_a36|12k_a36|0.70031|0|4.0|2|-6.34|-0.101946803|-1310.072976|-49.87227128|2.37|7.8539|46.79001927|103.5614526|-0.037758075|0.0|4.89|0.7806817009999999|2.42|7.8539
4e_a46|4e_a46|0.56481|1|6.0|1|-6.6|-0.084780904|-1884.255802|-63.39469142|3.5|6.8125|105.0139519|186.9007941|-0.030951758|1.0|4.5|0.7951078540000001|5.93|6.8125
4c_a46|4c_a46|0.6986600000000001|1|4.0|1|-5.39|-0.087503927|-1245.114575|-40.22007179|4.44|5.6972|35.22734468|69.02325225|-0.029688832|1.0|4.09|0.840753785|5.24|5.6972
22_a20|22_a20|0.66063|1|4.0|0|-5.58|-0.067797027|-1275.598059|-39.00017609|4.24|6.6364|9.022387025|34.8271111|-0.027118811|1.0|3.36|0.77063827|5.39|6.6364
12a_a32|12a_a32|0.7025600000000001|0|4.0|0|-6.32|-0.109151429|-1880.539078|-53.20970382|3.6|7.6021|111.9735444|131.7691491|-0.0308471429999999|1.0|3.45|0.667706375|4.19|7.6021
16c_a32|16c_a32|0.70198|0|5.0|0|-6.44|-0.119988297|-1916.478107|-53.00702241|3.41|8.3468|102.2022233|135.41296|-0.038178095|1.0|3.5|0.6846367059999999|4.21|8.3468
13_a4|13_a4|0.59537|1|2.0|1|-5.39|-0.068249548|-898.2009630000001|-24.48959182|3.57|5.3979|11.85953992|14.67530603|-0.0279998139999999|0.0|3.39|0.862539527|4.15|5.3979
4h_a46|4h_a46|0.54445|1|6.0|1|-6.38|-0.083997524|-1923.543349|-65.24476749|3.82|6.6402|105.2773797|182.6222935|-0.0305445539999999|1.0|4.63|0.805506105|6.18|6.6402
8_a20 (IN-1130)|8_a20 (IN-1130)|0.7007399999999999|0|5.0|0|-6.83|-0.097790028|-1368.118751|-63.72828772|3.14|7.4437|336.574332|180.4986934|-0.035730972|1.0|3.49|0.7481063720000001|4.08|7.4437
5d_a40|5d_a40|0.69613|1|4.0|0|-5.94|-0.094277694|-1276.751174|-39.55506228|3.1|7.7212|181.4728912|112.88660690000002|-0.0377110779999999|0.0|3.02|0.8111805740000001|3.64|7.7212
4_a4|4_a4|0.6010800000000001|1|3.0|1|-5.79|-0.06873731|-1029.763465|-25.64211031|3.64|7.1079|13.70182982|34.37786704|-0.0255766729999999|1.0|3.15|0.793717973|4.41|7.1079
4a_a46|4a_a46|0.6893600000000001|1|3.0|1|-5.87|-0.067863141|-994.028172|-28.50561609|3.43|6.7423|6.579492736000001|39.49069232|-0.022129285|1.0|3.76|0.742626378|4.46|6.7423
9n_a24|9n_a24|0.63085|0|5.0|0|-6.47|-0.0777274979999999|-1238.856882|-35.21502941|3.13|7.7212|48.691073|64.50319929|-0.026905672|1.0|3.17|0.652126509|4.14|7.7212
13e_a6|13e_a6|0.7034199999999999|0|5.0|0|-6.52|-0.093298845|-1347.014564|-49.62570093|3.31|7.9208|66.59852278|92.4587065|-0.032929004|1.0|3.51|0.722530518|4.53|7.9208
