molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|RNCS|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
9_a27|0.0|0|0|0.0|1|6.842683282|0|0|1.391067068|1.830911754|0.164227115|-0.0073742819999999|4.727387819|2|0.042847222|1.233610009|-0.331842668|0.00611794|-0.051160217|10.93740461|-0.0447599329999999|1|0.00651856|-0.2559122789999999|-0.171520296|2|0.677253824|0.017503266|0.8806964490000001|0.654138816|1|0.7988644709999999|-0.078270599|-0.088404481|0.36853691|0.019589991|128.27738490000002|103.702486|-23.50038785|5.20756849|65.12542467|0.7892801540000001|-1.414471696|-20.80651808|53.0685473|50.45546414|2256.4955670000004|-729.2805601|-8.952528705|0.210719846|9.442988795|0.873886547|108.6440173|21.99956856|923.9818797|424.8821143|1.0|1.0|0.0|1.0|3.12|0.16|21.0|-7.06|3.04|2.66|0.0|97.46|0.0|1.0|4.0|-6.33|331.37|1.0|2.99|-4.08|8.66e-05|0.0287|8.28e-05|0.0|0.0|2.88e-05|-0.0471|4.1673|-1083.118736|549.64|945.35|425.08|0.35593|-1082.965434|134.0|-0.1716|-0.2187|0.02461151|4.0436|2.0|8699.0|8699.0
34_a47|0.0|1|1|0.0|1|6.842683282|0|0|1.40499556|1.883479676|-0.210257395|-0.004157676|4.727387819|3|0.03522792|1.741433543|-0.191253079|0.003530307|-0.043634386|10.98214103|0.078153957|1|0.0047106|-0.208989427|-0.317014709|3|0.62974551|0.046668352|0.89234354|0.609110565|1|0.8260556609999999|-0.061957581|-0.090141168|0.437215023|0.019723558|31.17423189|96.32577107|-27.64315244|6.048527453999999|0.0|0.653993216|-1.261976347|-19.00022922|62.66739933|45.23285281|2371.236125|-698.8490993|-9.000096143|0.346006784|12.96364153|0.834499257|191.6093987|24.85087647|1068.587688|439.9906467|1.0|1.0|1.0|1.0|3.19|0.16|21.0|-7.47|4.52|1.75|0.0|99.09|0.0|1.0|5.0|-6.66|348.38|1.0|3.02|-3.9|0.000267|0.0929|0.000125|0.0|0.0|1.17e-05|-0.0545|3.8892|-1162.450678|585.79|980.02|436.88|0.6602399999999999|-1162.283641|0.1718|-0.16086|-0.21536|0.03084502|6.2235|2.0|8.7|8.7
16a_a23|0.0|1|1|0.0|2|7.423568444|1|1|1.197962324|3.411338761|-0.0147904689999999|-0.0054940769999999|5.351858133|3|0.046283951|0.759926978|-0.302174246|0.012426121|-0.088255625|10.31321796|-0.071458049|2|0.01226642|0.115499047|-0.335065967|2|0.765869487|0.154144584|0.890165467|0.7199622309999999|1|0.934837094|-0.041095401|-0.07288672|0.181301571|0.021379172|9.922436905|42.07919382|-30.39361398|8.915071155|91.92609822|0.585920722|-1.311960953|-17.13669862|65.21027197|40.34319246|2924.629647|-847.2037686000001|-10.72715788|0.414079278|15.89802615|0.981208279|267.3932664|28.35168303|1445.935835|668.3493171|1.0|0.0|1.0|0.0|3.94|0.14|20.0|-5.27|2.52|2.04|1.0|125.79|0.0|2.0|4.0|-7.02|427.5|0.0|1.85|-4.31|2.6e-05|0.0111|4.86e-05|0.0|0.0|0.0023|-0.0502|1.6239|-1685.8794469999998|670.04|1172.0|555.21|0.96307|-1685.580443|0.2066|-0.07625|-0.12645|0.03391189|18.4446|39.0|7.4037|7.4037
12b_a50|0.0|1|1|0.0|2|7.927685046000001|1|1|1.397986833|4.058595679|-0.19841119|-0.002929899|5.82008293|1|0.034845679|2.112397566|-0.125985651|0.01164808|-0.101728189|10.94501743|-0.115659308|2|0.011790103|-0.139522815|-0.291865836|1|0.699597776|0.009081884|0.8718949979999999|0.660148928|1|0.925916085|-0.045602469|-0.066155918|0.24516882|0.0214891|8.07905572|37.24447201|-16.72031641|5.43117764|86.49656508|0.5731907470000001|-0.926182858|-11.52561607|47.12729492|33.72918462|2224.116359|-465.6232233|-6.002164865|0.4268092529999999|10.05480253|0.756824707|214.5713436|20.82911679|812.3355548|388.171611|1.0|0.0|1.0|1.0|3.31|0.11|20.0|-5.49|3.42|2.02|0.0|94.69|0.0|2.0|3.0|-6.44|313.36|1.0|2.59|-3.84|0.000685|215.0|0.000144|0.0|0.0|0.00101|-0.02974|3.9305|-1006.641541|539.15|909.8|401.64|0.6016199999999999|-1006.501585|0.0777|-0.16451|-0.19425|0.02307802|5.6617|4.74|5.3242|5.3242
2_a4|0.0|0|0|0.0|0|6.605297921|1|1|1.189716144|0.0|-0.072708147|-0.00708265|4.59511985|1|0.037777778|0.0|-0.269140683|-0.001386521|0.090707854|10.95268469|0.076479666|0|-0.0016168089999999|0.127695325|0.228655117|1|0.930871261|0.11821091|0.847373823|0.912872667|0|0.742518847|-0.117395215|-0.105102755|0.442778552|0.006330673|166.102249|108.4760726|-18.65482233|1.123639184|0.0|0.843107708|-1.366335816|-20.83662681|48.93681624|52.12536246|1623.668791|-575.6333682|-6.736463618999999|0.156892292|7.800989232999999|0.656126301|66.09827364|18.96532986|682.7518749|284.26458360000004|0.0|0.0|1.0|0.0|3.33|0.27|12.0|-4.83|0.83|1.63|0.0|79.59|0.0|2.0|4.0|-6.69|253.3|1.0|1.24|-2.77|0.0066|1.67|0.00171|0.0|0.0|0.00374|-0.01612|3.2230000000000003|-819.8996124|458.73|764.77|333.36|0.4682|-819.771754|0.0008|-0.14614|-0.16226|0.033037353|3.0946|31.0|7.5086|7.5086
7_a15|0.0|0|0|0.0|0|0.0|0|0|1.419941457|0.0|-0.2269896539999999|-0.010310394|0.0|1|0.035075075|0.0|-0.494898891|-0.0013239329999999|0.038636783|10.95880715|0.0019353679999999|0|0.002150323|0.213947987|-0.310081401|1|0.857287135|0.154068618|0.740089344|0.8115121240000001|0|0.841400327|-0.074406877|-0.110819329|0.403524276|0.036600739|103.8062879|88.02694557|-34.13832456|11.27499976|56.30310755|0.448664402|-1.2190126140000002|-22.92132733|85.26222186|61.6121151|2330.667514|-676.5837204|-8.163512395|0.551335598|9.971755103|0.657158418|306.0056033|32.78250222|1507.995102|474.9756287|1.0|1.0|0.0|1.0|3.16|0.15|18.0|-7.19|4.64|1.74|2.0|99.77|0.0|1.0|5.0|-5.72|352.38|1.0|3.35|-4.49|1.46e-05|0.00516|3.2e-05|0.0|0.0|2.26e-05|-0.0284899999999999|3.7495|-1184.367098|580.73|1000.95|499.86|0.64652|-1184.168094|0.0169|-0.15605|-0.18454|0.01827873|1631.0|227.0|6644.0|6644.0
11_a33|0.0|1|1|0.0|0|7.686621335|0|0|0.609352951|0.0|-0.151505631|-0.008708023|5.6869753560000005|0|0.034984568|1.979284901|-0.32219686|-0.003303432|0.143981643|10.31100126|-0.008908194|3|-0.00103193|0.105574347|-0.232296883|0|0.8389087140000001|0.003391835|0.921896958|0.781083337|1|0.857287241|-0.070841241|-0.104881435|0.229250542|0.033701864|45.43139569|69.3240686|-24.74805685|7.95236684|0.0|0.552878386|-1.048814353|-16.71585694|68.11455221|50.78279943|2220.315582|-509.4714637|-7.278840251|0.447121614|9.837729137|0.8772525659999999|217.193541|27.10262364|921.4892038|335.4799765|1.0|1.0|1.0|1.0|3.19|0.13|19.0|-6.23|4.13|0.89|0.0|89.77|0.0|1.0|4.0|-5.97|328.41|0.0|3.28|-4.38|3.32e-06|0.00109|4.13e-05|0.0|0.0|0.000194|-0.05806|3.5049|-1669.304085|506.55|858.89|378.1|0.70381|-1669.202327|0.5408|-0.14132|-0.19938|0.02055276|4.5998|5.0|8.3188|8.3188
4h_a46|-3.74433321|0|0|0.090767245|1|7.825245291|1|1|0.3002050539999999|2.134072222|0.128214845|-0.005778576|5.587248657999999|2|0.040890805|0.0|-0.404500343|-0.0008161889999999|-0.021951549|10.31928028|-0.09922757|1|0.003087227|-0.0932537609999999|-0.0488847059999999|2|0.739180305|0.075704004|0.7955809979999999|0.6947264059999999|0|0.767244275|-0.083155747|-0.083997524|0.659584488|0.010068754|105.2773797|182.6222935|-51.70985599|6.198442205|19.09455432|0.805506105|-2.015940586|-51.19164773|74.99848132|73.14480467|3472.1185880000003|-1581.72562|-18.803584|0.194493895|15.85230406|0.947878486|152.6017078|29.75215152|1963642.0|1021.999374|1.0|0.0|1.0|1.0|4.63|0.3|23.0|-9.2|6.18|2.27|2.0|142.08|0.0|1.0|6.0|-6.38|502.63|0.0|3.82|-5.69|2.97e-07|0.000149|2.06e-06|0.0|1.0|3.210000000000001e-07|-0.0389199999999999|4.18|-1923.878801|792.61|1397.46|682.14|0.55428|-1923.543349|291.0|-0.1711599999999999|-0.21008|0.04729184|2.9086|229.0|6.6402|6.6402
12k_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604984231|0.0|-0.001755273|-0.007818038|5.351858133|2|0.042739018|0.0|-0.44562817|0.0043261129999999|0.067265077|10.31162844|-0.038714845|1|0.0053380919999999|-0.240110949|-0.154412059|1|0.838579475|0.001281277|0.883029843|0.7933543279999999|0|0.815083558|-0.079026221|-0.098188266|0.340031035|0.024177669|106.8195439|122.5057244|-43.09444587|10.61148425|0.0|0.7081361979999999|-1.865577056|-34.68429919|80.03127603|68.37178540000001|2920.279667|-1235.930491|-15.44895229|0.291863802|15.93977881|0.893775698|193.3575303|32.93073182|1745.328787|704.0353382000001|1.0|1.0|1.0|1.0|4.72|0.17|17.0|-6.74|2.63|2.51|2.0|133.77|0.0|1.0|5.0|-6.19|428.51|0.0|2.57|-4.93|3.59e-06|0.00154|1.19e-05|0.0|0.0|7.87e-05|-0.05055|3.4715|-1690.269144|710.82|1200.31|564.62|0.39318|-1690.031103|0.1512|-0.14743|-0.19798|0.03357755|5.0736|24.0|7.6144|7.6144
17a_a10|0.0|0|0|0.0|1|7.535296702|2|2|1.3438501040000002|2.118111229|-0.218519541|-0.004333189|5.4161004020000005|3|0.036545455|1.863045777|-0.2946568739999999|0.009206558|-0.093735748|10.92970797|0.031632653|1|0.01029375|-0.132166258|-0.360142554|2|0.7019075779999999|0.029106767|0.8044827790000001|0.673253555|1|0.8538249840000001|-0.055423599|-0.082689376|0.463842217|0.020088947|51.96456548|103.34686|-41.33310046|10.04165819|87.61514901|0.564726042|-1.488408763|-27.70403316|76.48633670000001|53.38795048|3154.628148|-1052.3164359999998|-11.80945728|0.4352739579999999|16.96492079|0.967815851|307.7420338|29.57794442|1863.410498|911.2106544|0.0|1.0|1.0|1.0|3.8|0.33|21.0|-7.32|2.5|1.29|1.0|142.16|0.0|1.0|6.0|-7.43|468.55|1.0|2.64|-4.32|0.00021|0.0986|4.74e-05|0.0|0.0|2.22e-05|-0.04641|3.9887|-1524.52012|767.6|1326.24|603.73|0.32889|-1524.187115|0.0867|-0.16562|-0.21203|0.03725238|5.3803|49.0|7.3098|7.3098
