molecula|SddssS|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|PNSA4|DPSA3|TASA|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
21_a47|0.0|1|0.0|1|0|0|1.408713027|1.2247108|-0.010650348|4.727387819|-0.13650463|2|-0.034419528|-0.004063946|0.057225853|1|1|-0.004332497|-0.090969103|-0.1049885469999999|-0.277479519|-0.5406500129999999|2|0.826796636|-0.080213904|0.0927058819999999|0.8856299320000001|1|0.70582155|-0.082614966|0.3188717339999999|0.022739546|-53.76411184|12.83540744|34.75044485|166.049938|-0.033866638|-30.34731959|7.244985517000001|-1.5239986980000002|-26.32173133|-19.11612865|59.46768095|398.4031618|0.355154704|7.071346534|13.17102891|0.862591353|6103.311635|29.64451905|-163.5167523|1334.003357|482.9384172|1.0|1.0|1.0|2.0|2.94|4.93|1.0|104.49|0.0|1.0|6.0|-6.58|394.38|0.0|1.0|-4.32|3.6e-05|0.0142|0.0191|0.0|0.0|1.98e-08|4.43|-1375.061089|583.37|1014.33|316.53|0.2249|441.93|0.68296|0.2249|3.6767|-0.2249699999999999|0.03299607|-1374.914223|5.0|8.3
22_a47|0.0|1|0.0|1|0|0|1.408617385|1.202720059|-0.010579222|4.727387819|-0.150248628|2|-0.029311184|-0.075111395|0.002716049|1|1|-0.004332497|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|0.831122912|-0.077787113|0.004104478|0.890264057|1|0.698649132|-0.080744803|0.573087958|0.022154032|-52.67991531|13.07198749|12.19999546|177.81209280000002|-0.031744149|-31.08378631|7.713126784|-1.42848671|-28.11203407|-18.73063655|60.71546178|412.2379505|0.390313552|6.9553262170000005|12.91589555|0.8569791179999999|6107.923371|30.72175314|-129.440987|1382.478891|482.9384172|1.0|1.0|1.0|2.0|3.07|4.85|1.0|104.64|0.0|1.0|5.0|-6.58|394.38|0.0|1.0|-4.38|3.6e-05|0.0142|0.0164|0.0|0.0|2.06e-08|4.4|-1375.05033|605.12|1027.32|308.65|0.3367|466.95|0.50316|0.0799|4.2485|-0.22828|0.02840507|-1374.914437|1.0|9.0
12x_a36|0.0|0|0.0|0|2|2|0.629399587|0.0|-0.007008724|5.351858133|-0.046532211|2|0.021670322|-0.054184069|-0.023932402|1|1|0.003710345|0.038200407|-0.07550872|-0.133106642|-0.4331246039999999|1|0.828393514|0.056034339|-0.041914045|0.8792981679999999|0|0.836402835|-0.0737521679999999|0.3403819629999999|0.017625524|-70.20305027|11.85578416|81.81168174|110.0434027|-0.036722107|-47.22198284|7.974776509|-1.982993755|-33.36962015|-24.70107324|61.46507585|562.6051882|0.223146459|8.770758009|16.20591229|0.847720832|6193.10485|31.79630645|-372.4502879|1717.000548|725.9470896|0.0|1.0|1.0|2.0|3.33|2.61|1.0|135.47|0.0|1.0|6.0|-6.64|427.52|0.0|0.0|-4.51|1.4300000000000002e-05|0.0061|0.0132|0.0|0.0|8.95e-08|3.37|-1670.452834|719.63|1209.23|331.83|0.3901|569.01|0.6853600000000001|0.0199|5.6653|-0.2048199999999999|0.03331471|-1670.244307|7.0|8.1549
4b_a49|0.0|0|0.0|1|1|1|1.343847828|2.075628989|-0.0074627159999999|5.4161004020000005|-0.077626337|2|-0.064060521|-0.033486358|0.02907541|1|1|0.002557204|-0.10158752|-0.0563571629999999|-0.089371493|-0.390006034|2|0.798826417|0.005818676|0.049923437|0.852400617|1|0.7581492670000001|-0.091725536|0.438784865|0.0241270029999999|-55.5653235|14.84890147|41.97072627|148.84640819999998|-0.030696709|-34.19753462|9.138717999|-1.534835437|-34.74338731|-18.89220999|71.30114509|466.6010051|0.354669161|7.588962922|14.53457293|0.915225186|6025.790417|29.27523192|-178.8869784|1463.761596|600.3287567000001|1.0|1.0|1.0|1.0|3.71|3.26|1.0|112.36|0.0|1.0|6.0|-7.12|400.43|0.0|1.0|-3.88|0.000155|62.0|0.0527|0.0|0.0|8.91e-08|3.56|-1333.063439|664.86|1121.45|331.39|0.2856|509.78|0.4151899999999999|0.0615|1.8265|-0.22366|0.03702033|-1332.8586269999998|79.0|7.1024
47c_a18|0.0|0|0.0|0|1|1|1.251176227|0.0|-0.007068829|4.844187086|-0.048726885|0|0.047739847|-0.058748345|0.028947131|0|0|0.002674691|0.071793992|-0.212991596|-0.320309303|-0.455055055|0|0.758269842|-0.027873485|0.050944273|0.7912974190000001|0|0.8128616409999999|-0.0715759629999999|0.246894346|0.015864085|-75.57063623|12.75381432|67.68084951|150.4485025|-0.0321917939999999|-60.75445536|10.25333491|-2.350000928|-46.26124419|-25.88035487|70.29678191|653.4941186000001|0.251001849|9.566965871|18.73268473|0.958059115|7527.530240999999|34.55329606|-400.3604527|2522.390613|1167.054827|1.0|0.0|1.0|3.0|2.84|2.87|3.0|154.77|1.0|1.0|12.0|-6.61|513.63|0.0|0.0|-5.09|1.84e-06|0.000947|0.00417|1.0|1.0|6.67e-10|7.72|-1664.753129|850.89|1505.09|398.71|0.5869|790.07|0.6983199999999999|0.5869|3.3075|-0.17331|0.03115159|-1664.277127|3.0|8.5229
15b_a50|0.0|1|0.0|2|1|1|1.353059441|4.112770601|-0.0045393|5.82008293|-0.05484142|1|-0.103807905|-0.06083723|-0.124047802|2|2|0.005203263|-0.17223348|-0.131737048|-0.2185722769999999|-0.310946931|1|0.8259784720000001|0.000882622|-0.216393362|0.8833003970000001|1|0.8209134840000001|-0.082576068|0.447220762|0.020083792|-46.13641893|11.48191704|274.85729960000003|102.3838797|-0.028069672|-26.37622116|6.564219549|-1.291204916|-26.98929785|-16.04745006|58.69070955|469.3167805|0.3609826579999999|6.89125222|13.22671714|0.919348867|5205.2135960000005|25.11269883|-158.95261259999998|1155.184146|510.3677388|1.0|1.0|1.0|1.0|2.71|3.26|1.0|105.46|0.0|2.0|5.0|-6.98|357.41|0.0|1.0|-3.6|0.000654|0.2339999999999999|0.0891|0.0|0.0|1.92e-06|2.08|-1160.4989460000002|613.37|1035.3|305.67|0.1796|475.99|0.65917|0.1796|6.9054|-0.20071|0.03528279|-1160.330621|79.0|7.1024
7_a3|0.0|0|0.0|0|0|0|0.60501656|0.0|-0.008855374|4.727387819|-0.106234254|2|-0.047419994|0.054347129|0.030246987|1|1|-0.006696449|-0.084462575|0.020589494|0.036673175|-0.592753801|2|0.790667152|-0.224253635|0.0507482109999999|0.8632654590000001|1|0.782294598|-0.1034274319999999|0.5999725029999999|0.009708941|-47.72824381|4.804535747|230.9407974|107.7330046|-0.036877402|-23.61864737|2.377557323|-1.253831681|-25.32764885|-18.2490344|55.98630667|387.1238241|0.2007853889999999|5.198046584|8.644978051|0.663120542|5055.700186|22.83370969|-296.13678660000005|776.3461295|353.7528308|1.0|1.0|1.0|1.0|4.96|4.66|1.0|95.5|0.0|1.0|2.0|-5.68|338.81|0.0|1.0|-4.87|3.67e-06|0.00124|0.00455|0.0|0.0|3.28e-08|3.09|-1731.7341420000002|522.73|883.88|360.06|0.1926|362.61|0.3456|0.1262|3.1299|-0.21219|0.03103579|-1731.651178|1023.0|5.9901
12s_a36|0.0|0|0.0|0|2|2|1.297044029|0.0|-0.007059109|5.351858133|-0.045035034|2|0.037454164|0.0056370119999999|-0.050363149|1|1|0.003962098|0.063448144|-0.104118159|-0.1763783589999999|-0.434472457|1|0.8060798779999999|-0.118671653|-0.086791463|0.856677627|0|0.8303378090000001|-0.07216709|0.4314309979999999|0.019457471|-64.57958827|12.55883918|110.6090028|109.5085883|-0.035868226|-41.6829437|8.106112169|-1.901015959|-30.06529118|-23.15117315|59.13914165|535.942162|0.245801617|7.545963801|13.98635088|0.853487672|5890.905249|30.69639722|-328.1450742|1626.909053|662.0530478999999|0.0|0.0|0.0|2.0|3.24|2.19|1.0|128.72|0.0|1.0|5.0|-6.55|395.46|0.0|0.0|-4.3|6.929999999999999e-05|0.0274|0.02|0.0|0.0|1.08e-07|3.48|-1272.270833|683.24|1150.67|329.71|0.4501|523.72|0.6843600000000001|0.0002|6.6068|-0.20467|0.03416928|-1272.061111|9.0|8.0458
12at_a36|0.0|0|0.0|0|2|2|1.297042863|0.0|-0.010886502|5.351858133|-0.073048351|2|0.054794728|-0.076129505|-0.037590959|1|1|0.000906224|0.091520225|-0.136151085|-0.227404687|-0.48127276|1|0.8384626709999999|-0.08859337|-0.063825255|0.890810337|0|0.751856692|-0.084721769|0.301423347|0.029516069|-76.61315774|20.43891035|95.16663336|171.8311073|-0.037537878|-53.05210062|14.1532755|-2.102121151|-40.6250081|-25.99374995|79.10595873|520.6361161|0.325557803|8.837213274|17.44496351|0.974034457|6537.399158|38.54110857|-241.591008|2158.30208|735.3783268|0.0|0.0|0.0|2.0|2.7|1.67|1.0|135.03|0.0|1.0|7.0|-7.18|439.47|0.0|0.0|-4.08|6.579999999999999e-05|0.0289|0.0367|0.0|0.0|2.42e-07|4.5|-1460.833958|733.29|1238.61|322.81|0.4765|589.75|0.42968|0.2076|6.4676|-0.2131|0.03651452|-1460.61293|78.0|7.1079
16j_a32|0.0|1|-0.082980188|0|0|0|0.609420735|0.0|-0.0139074189999999|5.733341277|-0.086195934|0|-0.0667943999999999|-0.135618491|0.021997616|3|3|-0.00030659|-0.11512706|-0.117577419|-0.202656848|-0.704356423|0|0.798237393|0.168000908|0.032797932|0.839271289|1|0.8259884120000001|-0.07651119|0.509776381|0.023266265|-76.45058155|16.63953228|34.66998636|124.4493461|-0.034287782|-54.6758122|11.90023573|-1.817252458|-39.13396528|-24.52188465|71.35869023|590.7291534|0.3002094919999999|7.357962381|13.20372234|0.7944808170000001|6507.757122|35.04175088|-285.7717513|1857.212797|701.9321161|0.0|1.0|1.0|2.0|6.49|5.24|3.0|121.3|1.0|1.0|8.0|-5.73|441.57|1.0|0.0|-5.41|3.56e-08|1.57e-05|0.00172|0.0|0.0|1.7e-08|5.5|-2034.621888|729.78|1225.27|341.65|0.2907|631.34|0.70207|0.2907|3.4656|-0.2002799999999999|0.0283671|-2034.408854|9.0|8.0315
