molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|nARing|BCUTs-1|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA5|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|TASA|PNSA2|WNSA4|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
8c_a12|0.0|0|0|0|0.0|1|1.283851303|-0.0104125509999999|0.0|-0.055163114|3|-0.106633503|-0.004211843|-0.036504737|-0.07003012|0|0|-0.00160589|-0.1876771789999999|-0.210669119|-0.370782022|2|0.905486734|-0.10899871|-0.130288596|0.8425863029999999|0.845077891|0|0.840397446|-0.067004282|0.019604202|-52.04233846|83.24714315|81.4415307|-0.038245644|-26.55601426|0.0|-1.529825767|-17.44675795|61.66383178|-19.51587692|44.19432689|428.8355831|-780.6350769|-9.958505349|10.74930819|4610.945152|120.19586|25.52931025|0.018855428|-269.8853937|1021.17241|390.0159026|1.0|0.0|0.0|1.0|0.11|18.0|1.59|63.06|0.0|98.07|0.0|3.0|-3.47|24.0|1.0|1.0|2.23|0.000339|107.0|0.0001899999999999|2.5|0.0|0.0|7.24e-08|2.76|3.8341|-1022.77302|466.0|402.43|0.67318|-0.15571|-0.2227699999999999|-1022.663298|2.4806|0.04|7.3979|7.3979
3e_a32|0.0|1|1|1|3.501917045|0|0.609420788|-0.006553709|5.733341277|-0.058503168|0|-0.057366352|0.000655875|-0.114649277|-0.080731823|3|3|0.002004382|-0.1046390059999999|-0.076494363|-0.1395294259999999|0|0.8315372|-0.061561535|-0.12378337|0.85921771|0.77923808|1|0.8681696109999999|-0.073411249|0.0124235339999999|-53.92151824|47.09895162|71.04473954|-0.030786645|-29.05885545|0.0|-1.200679139|-21.32040233|60.86894767|-16.59123638|46.25723848|467.865447|-647.0582188|-8.941186293|10.68709999|4827.877259000001|121.1171726|21.40099522|0.012891628|-296.6758413|834.6388134|421.3548777|1.0|1.0|1.0|1.0|0.24|19.0|5.24|110.94|1.0|97.86|0.0|3.0|-6.52|23.0|0.0|1.0|4.3|3.02e-07|0.000103|6.6e-06|4.47|0.0|0.0|1.2099999999999998e-07|3.52|3.5589|-1672.748189|0.2914|456.76|0.7025399999999999|-0.14754|-0.20098|-1672.62984|5.6928|8.0|8.0862|8.0862
LY364947_a10|0.0|1|0|0|2.949609552|0|1.390175303|-0.00235945|4.59511985|-0.00390904|2|0.0938628109999999|0.007575|0.010202602|-0.006198347|1|1|0.006909045|0.1625645369999999|0.04209715|0.072909639|2|0.706034038|-0.072740964|-0.012096774|0.7792035190000001|0.681525895|1|0.8431045490000001|-0.076999385|0.009678082|-33.26705198|144.7228349|69.31194102|-0.029665114|-14.69643595|0.0|-0.978948758|-15.02735938|41.53157099|-13.10520229|38.29163558|372.4595738|-432.4716757000001|-5.78950507|9.161732895|3903.496845|122.1566022|18.1140017|0.018707677|-197.4583104|597.7620559999999|287.99188260000005|1.0|0.0|1.0|1.0|0.0|21.0|3.69|54.46|0.0|82.56|0.0|2.0|-3.54|21.0|1.0|1.0|2.8|0.00029|0.0789|0.000137|2.74|0.0|0.0|6.31e-08|||||||||||59.0|7.2291|7.2291
1k_a5|0.0|1|0|0|2.9020229360000003|0|1.427567903|-0.0030192829999999|4.59511985|-0.064652321|2|-0.095857885|0.003886035|-0.145151027|-0.011848312|1|1|0.003708988|-0.220946861|0.019611905|0.045204303|2|0.567806811|-0.011552666|-0.022280685|0.851987765|0.558485747|0|0.7836926809999999|-0.078995018|0.010892351|-38.00629774|165.11680719999998|110.6497654|-0.0301207529999999|-19.44172742|0.498979532|-1.114467843|-20.67084672|47.83775802|-15.40795854|45.98095096|400.8898627|-570.0944662|-7.881781385|12.9461019|4479.484358|140.69669409999997|21.25369168|0.019219352|-230.14624|786.3865923|357.34245360000006|1.0|0.0|1.0|1.0|0.0|23.0|4.76|54.46|0.0|90.44|0.0|3.0|-3.97|24.0|1.0|1.0|3.42|0.000106|0.0336|4.970000000000001e-05|3.16|0.0|0.0|4.99e-09|3.1|4.4063|-1050.548505|0.6242|398.63|0.5282|-0.1798799999999999|-0.22504|-1050.468159|2.3036|48.0|7.3188|7.3188
8j_a46|0.0|0|0|0|0.0|1|1.160371125|-0.0017688329999999|5.533389489|-0.008523199|2|-0.129276363|0.011852046|-0.174853546|-0.053618988|1|1|0.0108603019999999|-0.204674804|-0.084266433|-0.133413527|2|0.645146311|-0.223292257|-0.074207717|0.837678812|0.6109926379999999|0|0.934648421|-0.054707287|0.008672342|-37.04976799|7.723448142|35.10521457|-0.02566383|-19.90219786|64.83187221|-1.103544698|-15.7861518|41.80044861|-13.78596018|34.04593326|502.0694817|-592.7962878|-7.405468973|9.817783823|4759.107832|95.55665364|16.76894569|0.008843828|-346.061389|721.0646647000001|453.1959065|0.0|1.0|1.0|0.0|0.32|17.0|4.55|43.6|1.0|96.94|0.0|2.0|-4.59|24.0|1.0|1.0|3.82|2.59e-05|0.00878|1.47e-05|3.97|0.0|0.0|5.46e-08|3.78|4.4107|-1414.53151|0.1728|493.89|0.70121|-0.18531|-0.22599|-1414.402087|6.4463|1228.0|5.9108|5.9108
2_a27|0.0|0|0|0|0.0|0|1.402655014|-0.0065894809999999|4.59511985|-0.0609613559999999|2|-0.196529806|0.009338889|0.11675125|0.017751479|1|1|0.00988756|-0.337316432|-0.21066171|-0.361571905|2|0.639024713|0.137868605|0.027777778|0.8585302370000001|0.60904903|1|0.8468699609999999|-0.058444848|0.019809599|-41.03489597|9.194894069|77.08713259|-0.029261411|-20.65736087|53.58106492|-1.141195033|-14.81116546|52.43208086|-14.73047548|39.39404027|426.3224749|-574.4885436000001|-7.415462877|9.527176544|4774.521748|166.89932209999998|22.03636323|0.022639983|-169.6109632|859.4181658|373.9912084|0.0|1.0|0.0|0.0|0.11|21.0|2.49|65.6|0.0|92.58|0.0|2.0|-3.19|24.0|1.0|1.0|2.52|0.000644|204.0|0.0002009999999999|2.18|0.0|0.0|1.45e-06|4.32|4.1624|-1043.821085|0.3217|420.7|0.55857|-0.16769|-0.21702|-1043.715364|6.8854|13.0|7.8861|7.8861
14b_a3|0.0|0|0|0|0.0|0|0.605016869|-0.009130444|4.727387819|-0.1160619169999999|3|-0.1551678719999999|-0.00603969|-0.008040839|-0.102362298|1|1|-0.004161699|-0.288944272|-0.050943323|-0.094863591|3|0.882394075|-0.133815639|-0.170297225|0.848135222|0.8255789570000001|1|0.786476513|-0.090994113|0.012828558|-49.38772279|252.49572540000003|104.4171556|-0.036469822|-24.15156108|82.79166784|-1.312913604|-21.76034149|57.87172082|-17.83445545|50.77131401|384.6023764|-642.0403962|-8.721397057|9.738358819|4803.535505|113.9829058|23.25478753|0.017348996|-261.0537205|837.1723509999999|358.3503513|1.0|1.0|1.0|1.0|0.06|21.0|3.71|105.82|0.0|93.25|0.0|2.0|-4.45|23.0|0.0|1.0|2.82|3.54e-05|0.0113|0.000103|2.58|0.0|0.0|1.28e-07|2.22|3.0724|-1327.514377|0.2276|368.39|0.70123|-0.12942|-0.19618|-1327.398177|3.8724|0.38|6.4202|6.4202
4m_a46|0.0|0|0|0|0.0|1|1.134637002|-0.000686578|5.587248657999999|0.051308728|1|-0.302054595|0.011122528|-0.142061192|0.007901235|1|1|0.010359417|-0.487230027|-0.017992096|-0.029022201|1|0.615482006|-0.099662698|0.011235955|0.7975218959999999|0.626578283|0|0.948973877|-0.067320375|0.010905551|-35.43866734|6.161736337000001|26.89046601|-0.0224155999999999|-18.67596877|35.77391986|-1.008702005|-18.69640205|41.88525631|-11.81288911|41.22460182|500.1036387|-531.5800101|-6.225322922999999|9.923886653|4750.325312|140.5828543|16.11061509|0.012232753|-245.828396|724.9776792|486.9589609|0.0|1.0|1.0|0.0|0.29|17.0|4.63|54.5|1.0|98.69|0.0|2.0|-4.52|25.0|1.0|1.0|3.59|2.99e-05|0.00981|2.68e-05|3.69|0.0|0.0|1.31e-07|3.45|4.3476|-1031.138426|0.2465|468.63|0.68505|-0.18308|-0.23116|-1030.980844|5.2326|1288.0|5.8901|5.8901
12bf_a36|0.0|1|0|0|3.31325137|2|1.297043948|-0.00832865|5.351858133|-0.119979424|2|0.140577067|-0.006877664|-0.096665166|-0.0206090089999999|1|1|-0.004358975|0.359635716|-0.098027247|-0.250781298|1|0.653741315|-0.0480253509999999|-0.033696875|0.892249657|0.632625562|0|0.6791406640000001|-0.090461753|0.0217611939999999|-71.01192632|87.14111344|206.6543367|-0.037486972|-45.73631152|0.0|-1.874348624|-37.52534442|86.28460578|-24.14405495|72.27889645|437.4108773|-1207.2027480000002|-15.55034592|14.37031118|6271.550446|189.6959033|34.22402339|0.02371294|-264.6734075|1711.2011699999998|593.6088758|0.0|0.0|1.0|2.0|0.14|17.0|3.0|69.2|1.0|123.67|0.0|5.0|-3.99|31.0|1.0|0.0|2.44|0.000102|0.0424|4.81e-05|2.88|0.0|0.0|7.599999999999999e-08|3.66|3874.0|-1431.413697|0.4518|517.66|0.69292|-0.15677|-0.2139|-1431.246893|7.5932|6.0|8.2218|8.2218
13h_a6|0.0|1|0|0|3.464247528|0|1.424099498|-0.006619944|4.727387819|0.004767264|2|0.060987639|-0.002407131|-0.01698365|-0.090944829|1|1|-0.000644109|0.105918119|-0.12414699|-0.215607882|2|0.836982172|-0.0256002129999999|-0.164411111|0.8391892870000001|0.789769968|1|0.867910741|-0.074151997|0.017441348|-64.32173453|77.20799814|92.37313621|-0.032362302|-44.98170701|0.0|-1.747564296|-36.26429338|76.78735663|-22.63172141|64.05338768|606.9504647000001|-1222.112956|-15.82689691|16.928040300000003|6302.785260000001|183.9790404|30.71129129|0.017825256|-331.36552|1658.40973|744.1359788|1.0|1.0|1.0|2.0|0.12|27.0|4.79|103.17|2.0|128.63|0.0|6.0|-5.56|33.0|0.0|1.0|3.61|2.77e-06|0.0012|8.8e-06|3.7|0.0|0.0|2.67e-11|3.83|3392.0|-1386.613707|1.0978|591.53|0.69001|-0.14097|-0.2153199999999999|-1386.3651|10.0322|47.0|7.3279|7.3279
