molecula|Volume|Wavelength (HOMO-LUMO transition) (nm)|SddssS|Approximated area|Highest Occupied Molecular Orbital Energy|BCUTs-1l|MATS2c|Dipole (water)|SRW07|pIC50|SaaaC|AATSC1are|n5aRing|n5aHRing|MATS1i|FNSA5|PBF|FNSA4|GeomPetitjeanIndex|FPSA1|GeomRadius|WNSA2|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|TPSA_y|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|pIC50
12ah_a36|1148.39|328.07|0.0|532.36|-0.2107099999999999|1.297013411|-0.050415481|7.6265|5.351858133|7.9586|0.0|0.0005016269999999|1|1|-0.103922055|-0.1059368909999999|0.271553945|-0.038137281|0.468162246|0.231093575|8.26712637|-796.1600443|2.0|-7.18|69.2|2.77e-05|3.79|3.7792|7.9586
21_a10|1225.01|321.21|0.0|517.44|-0.2226|1.343837211|0.036507898|1.1872|5.4161004020000005|5.3188|1.817620533|0.001533145|1|1|-0.0236638829999999|-0.084654798|0.8663152820000001|-0.03292131|0.391384102|0.295893365|8.388036625|-887.342515|1.0|-8.71|90.13|8.68e-07|5.57|3.8599|5.3188
47u_a18|1282.66|397.57|0.0|646.45|-0.19109|1.251177393|0.039883149|5.8058|4.844187086|5.7055|0.0|-0.000829573|0|0|-0.126628013|-0.092271172|0.33777918|-0.0344062|0.483819806|0.278162537|9.18142206|-986.6355633|2.0|-8.2|99.56|2.89e-06|9.34|3.1186|5.7055
12aa_a36|1183.76|318.73|0.0|520.19|-0.20829|1.297043479|0.033952382|4.7433|5.351858133|8.0458|0.0|-0.006653538|1|1|-0.052743904|-0.117270578|0.4679233379999999|-0.04126187|0.44829258|0.2686642589999999|8.05947774|-1041.942197|3.0|-6.14|112.29|0.000305|3.88|3.8899|8.0458
14y_a23|1217.48|340.49|0.0|585.2|-0.2331599999999999|1.197960595|0.0600764409999999|6.5205|5.351858133|8.4225|0.731397292|0.009174505|2|2|-0.069023218|-0.080613242|0.2271539169999999|-0.034303507|0.486730407|0.21677451|8.213390641|-770.8467102999999|1.0|-8.57|105.02|1.29e-06|4.73|3.6413|8.4225
13a_a5|1160.81|294.45|0.0|567.51|-0.22898|1.393002748|-0.154076582|4.1671|4.59511985|7041.0|0.0|0.002355511|1|1|-0.035005746|-0.0839257009999999|0.470564031|-0.0279752339999999|0.460877309|0.401208461|8.571729592999999|-591.3528349999999|2.0|-8.9|92.79|5.02e-07|3.81|4.2107|7041.0
4n_a46|1011.66|313.65|0.0|502.02|-0.20685|1.13463699|-0.061148449|8773.0|5.587248657999999|5.2845|0.0|0.004988019|1|1|0.070558373|-0.085838139|0.371438024|-0.031047837|0.428896538|0.136796337|5.666371466|-440.621256|1.0|-6.67|61.84|7.340000000000001e-05|4.57|3953.0|5.2845
16a_a10|1310.44|320.22|0.0|629.65|-0.20697|1.325756911|-0.187414728|4.6574|5.4161004020000005|7.3279|2.009832665|0.011207938|1|1|-0.162508526|-0.076950669|0.3637074329999999|-0.026063936|0.4629532229999999|0.272940681|8.531706024|-774.9407716|0.0|-8.5|56.07|1.4e-06|3.46|3.8718|7.3279
11g_a5|1180.25|294.62|0.0|542.13|-0.2146199999999999|1.388236041|-0.204002571|4314.0|5.209486153|7.5229|0.0|0.00599982|2|2|-0.137739838|-0.076326887|0.396049407|-0.025442296|0.485790997|0.456418686|9.342496899|-560.3852433999999|1.0|-9.04|81.51|3.770000000000001e-07|2.3|4.2083|7.5229
12c_a31|1138.89|323.48|0.0|578.69|-0.19288|0.6101358029999999|0.046986783|2.2908|5.733341277|6.4202|0.0|-0.003618466|2|2|-0.138799714|-0.129736755|0.343619017|-0.036326291|0.448512808|0.3182913|8.091269314|-731.5771879|2.0|-7.24|117.37|2.31e-05|4.6|3.8328|6.4202
22_a4|860.77|305.85|0.0|400.29|-198.0|1.399866564|-0.043165663|5.4110000000000005|5.4161004020000005|7.3279|0.0|0.004765062|1|1|0.021636871|-0.089955967|0.242642229|-0.036468635|0.4359219589999999|0.155532959|5.495481464|-311.62631919999995|1.0|-5.24|50.94|0.0016699999999999|3.38|4.0537|7.3279
9a_a40|847.69|373.53|0.0|411.01|-0.20303|0.604993021|-0.028285975|5.09|5.4161004020000005|6.6696|0.921628874|0.01310675|2|2|0.009844552|-0.072887601|0.002467659|-0.032156295|0.493941591|0.131523409|6.749223592000001|-255.607578|0.0|-6.4|58.43|0.000117|4.07|3.3192|6.6696
12bh_a36|1208.61|341.97|0.0|575.23|-0.20168|1.297043258|-0.052761366|7.7975|5.351858133|7.8539|0.0|0.003676818|1|1|-0.101854847|-0.09959401|0.317612728|-0.035569289|0.482052584|0.216705778|7.545637217999999|-882.2230117|2.0|-7.34|69.2|1.86e-05|3.79|3.6255|7.8539
9_a3|857.36|331.9|0.0|350.27|-0.19833|0.605017128|0.187952252|2.6661|4.727387819|4.96|2.4071976040000003|-0.004918099|1|1|0.083014843|-0.083555008|0.506753484|-0.038196575|0.413418346|0.1131403219999999|5.004834198999999|-295.5828535|1.0|-7.26|80.04|1.67e-05|3.28|3.7356|4.96
