molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|AATSC1c|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|RASA|FNSA3|FNSA5|PBF|PNSA5|RNCS|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50
16_a47|0.0|1|1|2.890539668|0.0|0|0|0|-0.0056780519999999|-0.08282926|1.491023983|-0.005688938|0.001426202|10.95023129|1|1|-0.236994128|-0.0574194159999999|-0.3379683979999999|2|0.591929006|0.081171071|0.691860453|-0.093207587|-0.092995116|0.421094692|-48.19609034|63.13219447|-0.034261359|0.0|0.697929921|-1.301931629|-25.03540372|-17.75645434|2315.178558|358.566882|-674.7452647999999|833.8646097|-9.202544293|6.855429069|-349.69668310000003|25.44160067|0.0234786339999999|966.7808252999998|357.35851410000004|12.16814835|1.0|0.0|1.0|1.0|2.0|2.93|0.06|5.19|66.49|0.0|91.55|0.0|1.0|3.0|-4.34|5.0|-6.04|13.0|0.0|0.0|6.8099999999999994e-09|2.3e-06|4.4393|2.95|534.69|894.43|303.84|0.3182|279.29|395.28|0.59209|0.6743899999999999|-1166.901251|2.3795|-0.22568|-1166.951551|1.0|9.0
8a_a50|0.0|1|1|3.139870661|0.0|1|1|1|-0.00439531|-0.0224366579999999|1.99158738|0.007671336|-0.150515325|10.94501357|2|2|-0.038971589|-0.11385159|-0.352654037|1|0.75162266|-0.095292123|0.860876738|-0.069208148|-0.08230347|0.278028663|-41.48493288|133.8183888|-0.031655181|0.0|0.751415713|-1.234552044|-17.58335405|-15.95574341|2206.356773|433.9235497|-622.2739931|1503.563342|-8.042467074|5.754657432|-313.6562159|21.23424244|0.017017336|828.1354551|388.171611|8.577560914|1.0|0.0|1.0|1.0|1.0|3.34|0.11|3.71|59.39|0.0|94.75|0.0|1.0|2.0|-3.86|3.0|-6.12|0.0234|0.0|0.0|4.82e-07|0.000151|5.622000000000001|2.69|548.47|912.7|297.06|0.18|220.53|396.63|0.3462199999999999|0.60625|-1006.508913|3.5509|-0.20051|-1006.557694|47.0|7.3279
19_a31|0.0|1|0|3.2411335510000003|0.0|0|0|0|-0.01001901|-0.044625452|0.0|-0.005956522|-0.040386271|10.31169935|2|2|-0.095997335|-0.1751017789999999|-0.615878515|0|0.656654981|-0.138769819|0.7312647940000001|-0.0909201569999999|-0.113333675|0.279690511|-66.3863707|75.32978176|-0.036060715|67.42915967|0.776211804|-1.586671445|-31.1960848|-21.12293613|2265.6917350000003|428.3459076|-929.4091898|1992.2502|-12.37297805|7.0760696020000005|-544.4110343|27.21285095|0.0152483439999999|1197.365442|460.3754405|8.931875058|1.0|1.0|1.0|1.0|2.0|3.44|0.28|4.33|98.91|1.0|97.25|0.0|1.0|7.0|-4.67|4.0|-6.41|0.0431|0.0|0.0|4.08e-08|1.46e-05|5.0344|5.24|625.93|1028.58|314.06|0.3205|246.28|537.66|0.5385300000000001|0.7005600000000001|-1489.323855|1.7076|-0.20675|-1489.382077|1.8|5.7447
14a_a25|0.0|0|0|0.0|0.0|1|0|0|-0.004483962|0.051906412|1.975771616|0.006085806|-0.046802062|10.93106303|1|1|0.085350921|-0.077269115|-0.365062041|2|0.6716839040000001|-0.035531959|0.850426305|-0.069657015|-0.084207356|0.326595394|-55.27820709|107.22698590000002|-0.033365179|58.18995584|0.8067529940000001|-1.76835447|-30.017374100000005|-21.90268583|2844.993903|558.2652611000001|-1160.842349|2142.5112510000004|-14.37809314|7.39139255|-762.0389362000001|27.14918443|0.01323706|1438.906775|712.1606951|8.689513304|1.0|1.0|1.0|1.0|1.0|3.43|0.08|4.92|72.7|2.0|126.26|0.0|1.0|6.0|-5.39|4.0|-5.91|0.00215|0.0|0.0|2.58e-10|1.08e-07|5.3631|5.79|689.55|1202.13|314.05|0.3529|231.18|548.29|0.42461|0.6714|-1352.024616|3.0824|-0.2143|-1352.086073|207.0|6684.0
9g_a24|0.0|1|0|2.931798469|0.0|1|0|0|-0.00106361|-0.162313932|0.0|0.0144065739999999|0.070915465|10.96318169|2|2|-0.292600863|-0.049325609|-0.079421802|2|0.683676657|-0.045107345|0.8671367529999999|-0.064835725|-0.065668047|0.383340003|-32.49188065|174.88817269999998|-0.021297745|0.0|0.4819264479999999|-0.788016565|-15.87288497|-10.53790724|2123.257348|429.0504306|-389.9025677|1196.910121|-5.214049137|6.124370267000001|-192.9198181|21.8662148|0.033884884|809.0499476|341.3207334|16.76589519|0.0|0.0|1.0|1.0|1.0|2.8|0.06|2.93|72.28|0.0|87.53|0.0|1.0|3.0|-2.49|4.0|-7.17|247.0|0.0|0.0|3.720000000000001e-07|0.000113|5.2521|0.75|524.03|879.99|289.67|0.2444|236.07|400.47|0.4227399999999999|0.64993|-984.447764|2.9691|-0.21391|-984.497752|68.0|7.1675
12a_a30|0.0|0|0|0.0|0.0|0|2|2|-0.006711725|-0.096804291|0.0|0.005050384|0.009586623|10.31162903|1|1|-0.171649606|-0.094526372|-0.454270252|1|0.8421237309999999|-0.171895425|0.836214716|-0.07699057|-0.097138462|0.337975309|-60.22802588|85.47365107|-0.037665934|0.0|0.805190202|-1.845630786|-29.59731695|-23.35372432|2722.217443|518.4718832|-1144.332492|2256.680391|-14.47983299|7.362386058999999|-709.5118166|29.00398472|0.014884556|1421.195251|620.9195447000001|9.228758655|1.0|1.0|1.0|0.0|1.0|4.65|0.14|2.62|81.65|2.0|127.28|0.0|1.0|5.0|-5.28|4.0|-5.98|0.0056|0.0|0.0|2.3100000000000002e-07|9.21e-05|5045.0|3.82|668.81|1122.01|355.41|0.1866|245.76|507.17|0.35338|0.68599|-1575.538241|4.1875|-0.19994|-1575.597759|11.0|7.9469
12b_a5|0.0|0|0|0.0|0.0|0|2|2|-0.001991527|-0.021265946|0.0|0.0068803119999999|-0.119503073|10.94620104|0|0|-0.033279992|-0.110182753|-0.1708042239999999|2|0.8417504029999999|-0.033036296|0.827613693|-0.066227158|-0.068586754|0.350286421|-43.25430513|138.67264319999998|-0.020455699|0.0|0.530379611|-1.165974822|-26.33991037|-12.90040679|2602.046823|521.9354031|-735.3231872|1071.500538|-8.135654442|8.398709622|-463.7323032|24.32296891|0.025810077|1386.409228|727.8586176|16.27715102|0.0|0.0|1.0|1.0|1.0|4.05|0.33|0.72|50.28|1.0|123.46|0.0|1.0|5.0|-2.3|6.0|-7.57|143.0|0.0|0.0|2.14e-08|8.5e-06|4.6156|2.24|669.05|1149.51|857.76|0.2345|268.62|505.16|0.42949|0.70615|-1276.940335|5.7174|-0.16607|-1276.9984029999998|42.0|7.3768
13_a47|0.0|1|1|2.920663104|0.0|0|0|0|-0.0049262279999999|-0.047120094|1.5940801480000002|-0.00105415|0.003874205|10.9452934|1|1|-0.108780879|-0.0233277889999999|-0.316563793|2|0.6427334020000001|0.065869272|0.781675563|-0.081148294|-0.088128939|0.244975411|-45.39284663|63.12660940000001|-0.032468557|0.0|0.688261242|-1.23380515|-21.52866736|-16.72368034|2190.316257|402.6200617|-635.4998528|669.2729199|-8.613918003|7.038683428|-327.3288841|24.29844849|0.023284817|923.3410426|359.12161539999994|11.99338291|1.0|0.0|1.0|1.0|2.0|2.9|0.06|4.63|66.49|0.0|91.59|0.0|1.0|3.0|-4.24|4.0|-6.0|0.0173|0.0|0.0|1.26e-08|4.04e-06|4.0302|2.7|542.62|895.21|307.63|0.3382|307.63|404.73|0.67466|0.67466|-1067.665127|3.5455|-0.22065|-1067.71601|16.0|7.8
47d_a18|0.0|0|0|0.0|0.0|0|1|1|-0.006087337|0.069914568|0.0|0.003376831|-0.07722825|10.94702255|0|0|0.104380139|-0.406388629|-0.417659275|0|0.7640994990000001|0.027971797|0.836999127|-0.06394156|-0.087315963|0.445704576|-71.20388424|64.92967228|-0.028722356|58.93717545|0.69814381|-2.182899066|-42.52098397|-23.42233034|3304.705347|682.5509007|-1780.097106|1947.023498|-19.1002979|9.940531282|-1451.622641|33.54943497|0.018506261|2549.757058|1255.618298|15.0913716|1.0|0.0|1.0|1.0|2.0|4.73|0.32|3.21|88.97|3.0|159.67|1.0|1.0|12.0|-5.74|4.0|-6.57|0.00276|1.0|1.0|1.4800000000000003e-09|7.790000000000001e-07|3.1079|8.08|875.6|1544.09|398.94|0.5820000000000001|398.94|817.06|0.69905|0.69905|-1703.545539|3.7605|-0.17405|-1703.622959|8.0|8.0969
16j_a32|0.0|1|1|3.359912013|-0.082980188|0|0|0|-0.0139074189999999|-0.0667943999999999|2.076106145|-0.002456725|-0.135618491|10.31100263|3|3|-0.11512706|-0.202656848|-0.704356423|0|0.79965447|0.032797932|0.8259884120000001|-0.07651119|-0.106897203|0.509776381|-76.45058155|34.66998636|-0.034287782|45.81893652|0.699790508|-1.817252458|-39.13396528|-24.52188465|2830.682695|590.7291534|-1299.659886|3448.428146|-17.53752467|7.357962381|-929.4888072999998|35.04175088|0.021655546|1857.212797|701.9321161|15.48758085|1.0|1.0|1.0|1.0|2.0|3.86|0.33|5.24|149.27|3.0|121.3|1.0|1.0|8.0|-7.45|5.0|-5.73|0.00172|0.0|0.0|1.7e-08|7.5e-06|3629.0|5.5|729.78|1225.27|341.65|0.2907|341.65|631.34|0.70207|0.70207|-2034.344833|3.4656|-0.2002799999999999|-2034.408854|9.0|8.0315
8k_a46|-3.737070812|0|0|0.0|0.1337610719999999|1|1|1|-0.006208399|-0.061030265|0.0|-0.002099764|-0.114070359|10.31928125|1|1|-0.1017929319999999|-0.050069565|-0.510222233|2|0.73768327|-0.051289238|0.7381768390000001|-0.08638304|-0.0863473759999999|0.400181795|-61.95565276|104.0919365|-0.033099828|19.34993627|0.8265691140000001|-1.985989657|-44.4725532|-23.74966689|3351.548891|529.6539372999999|-1424.980013|2328.360804|-17.04077386|8.070811215|-1022.446432|28.73282642|0.0112621819999999|1723.969585|865.6610153999999|8.080799245|1.0|1.0|1.0|1.0|2.0|3.94|0.24|5.37|124.17|1.0|132.47|0.0|1.0|5.0|-5.74|6.0|-6.75|0.00355|0.0|0.0|2.17e-09|1.03e-06|5.0379|7.63|742.04|1302.56|302.15|0.1354|246.1|642.39|0.41618|0.5577300000000001|-1844.970617|3.4118|-0.20954|-1845.037411|147.0|6.8327
19k_a38|0.0|1|0|3.218103741|0.0|0|2|2|-0.011877064|0.098947776|0.0|-0.011156837|0.016990252|10.95446448|1|1|0.208892195|-0.128079012|-0.51857087|1|0.7581164340000001|-0.029357143|0.658700057|-0.112748779|-0.126936513|0.389096157|-80.54577161|157.4834779|-0.044662847|116.0039747|0.75964689|-2.411793744|-45.3966925|-28.3401789|3055.355167|417.968819|-1530.369661|2929.493496|-17.9828603|6.744851799999999|-971.0744563|37.3070426|0.021802691|2014.5803|686.8472757999999|13.8345897|0.0|0.0|1.0|0.0|4.0|4.89|0.13|1.65|124.32|1.0|133.79|0.0|1.0|6.0|-3.87|5.0|-7.84|107.0|0.0|0.0|3.94e-07|0.000175|5.1869|4.13|677.64|1172.22|350.45|0.2038|239.03|502.43|0.38269|0.70327|-1500.618667|9.1508|-0.20102|-1500.680373|11.0|7.9666
12o_a30|0.0|0|0|0.0|0.0|0|2|2|-0.0068750669999999|-0.089996613|0.0|0.00372838|0.019094532|10.31162888|1|1|-0.157974241|-0.090173435|-0.465857798|1|0.8264832879999999|-0.149451598|0.844344883|-0.076908942|-0.0975052409999999|0.402022325|-62.74209511|75.15128057|-0.037808155|0.0|0.8131344979999999|-1.852599578|-31.84483128|-24.32856749|2860.371518|543.3140456|-1192.099807|2476.50603|-15.65480256|7.400912529|-767.0853252|29.91948755|0.0141914589999999|1466.05489|652.8825454|9.131836103|1.0|1.0|1.0|0.0|1.0|4.63|0.14|3.27|81.65|2.0|132.29|0.0|1.0|5.0|-5.93|4.0|-5.75|0.00156|0.0|0.0|6.03e-08|2.61e-05|5.1935|4.45|687.92|1162.63|356.1|0.1967|238.73|528.25|0.3493699999999999|0.6854399999999999|-2035.139147|5559.0|-0.19873|-2035.199757|16.0|7.8097
18a_a30|0.0|0|0|0.0|0.0|0|2|2|-0.006673169|-0.041327798|0.0|0.005050384|-0.01286191|10.31163887|1|1|-0.073280844|-0.094526372|-0.452377064|1|0.8421237309999999|-0.171895425|0.85918121|-0.072474599|-0.095397479|0.294303776|-59.38972262|79.18861306|-0.036990859|0.0|0.7904991659999999|-1.812552105|-28.08889239|-23.02866795|2721.874248|534.88346|-1128.40473|2814.429655|-14.33650253|7.050626413|-702.4886239|29.1318055|0.016012295|1427.458469|620.9195447000001|9.968457988|1.0|1.0|1.0|0.0|1.0|4.75|0.14|2.62|81.65|2.0|127.28|0.0|1.0|5.0|-5.28|4.0|-5.98|0.0056|0.0|0.0|2.3100000000000002e-07|9.21e-05|3.4712|3.82|665.12|1120.46|357.18|0.3781|357.18|508.08|0.69033|0.69033|-1575.54671|4.2514|-0.19785|-1575.604922|25.0|7.6108
13i_a6|0.0|1|0|3.399318783|0.0|0|1|1|-0.0149593219999999|0.035242754|0.0|-0.011017781|0.034304189|10.95129557|1|1|0.057038772|-0.073507141|-0.560601136|1|0.8744720490000001|-0.054229558|0.624046118|-0.120457274|-0.129526268|0.221116773|-86.83156133|181.1128483|-0.046433945|116.5456632|0.783597763|-2.460999087|-54.13430283|-31.12829557|2906.257489|418.3467934|-1649.799665|2880.134143|-20.86772478|8.294136887|-1105.989413|39.72483975|0.019989461|2105.416507|673.8038326000001|13.40049533|1.0|1.0|1.0|1.0|3.0|3.59|0.12|3.54|115.15|1.0|120.17|0.0|1.0|6.0|-5.03|5.0|-6.81|14.0|0.0|0.0|3.18e-09|1.36e-06|3.6668|4.94|703.43|1196.21|348.14|0.2903|338.12|553.67|0.7004600000000001|0.70517|-1426.269916|7.8342|-0.19454|-1426.332492|21.0|7.6778
15_a4|0.0|0|0|0.0|0.0|1|1|1|-0.001986535|0.0432718859999999|0.0|0.009823083|-0.1979518539999999|10.94611612|1|1|0.097046535|-0.038707204|-0.226703465|1|0.5118792910000001|0.036363636|0.867716376|-0.062151785|-0.073738544|0.2517542889999999|-35.36161572|12.70877085|-0.030724393|86.01453643|0.8438913020000001|-1.106078158|-14.29317436|-14.73400655|1973.978183|416.1168833|-530.4242358|1495.715718|-7.065752187|5.459799482|-254.3670787|17.45960235|0.009743323|628.5456843999999|324.5687005|4.672449937|1.0|0.0|1.0|0.0|0.0|3.28|0.11|4.4|30.71|0.0|85.06|0.0|1.0|2.0|-3.82|3.0|-5.6|0.0151|0.0|0.0|8.070000000000001e-07|0.000235|4.5048|3.8|512.65|848.47|294.16|0.1996|275.22|396.58|0.4778699999999999|0.56413|-958.147682|2.1603|-0.2091199999999999|-958.195344|175.0|6757.0
47n_a18|0.0|0|0|0.0|0.0|0|1|1|-0.007614955|0.017491759|0.0|0.000271488|-0.003276575|10.94702025|0|0|0.026244774|-0.258092915|-0.529441732|0|0.722991132|-0.083719099|0.792429396|-0.079299822|-0.091185806|0.288989992|-75.24728669|61.29571241|-0.031974244|47.476904100000006|0.783921929|-2.4620167580000003|-54.00070374|-26.38541222|3349.802294|653.9193397999999|-2031.676741|2052.393389|-21.77346199|10.43689152|-1676.556573|33.65821422|0.01357247|2591.682495|1306.125688|11.20011508|1.0|0.0|1.0|1.0|3.0|4.69|0.31|3.31|105.6|3.0|162.18|1.0|1.0|13.0|-6.02|4.0|-6.68|0.00308|0.0|1.0|1.7500000000000002e-10|9.44e-08|3.2028|9.78|879.92|1565.37|387.11|0.5056|387.11|799.02|0.6914600000000001|0.6914600000000001|-1740.5852670000002|2.4754|-0.18391|-1740.663577|64.0|7.1938
