molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1i|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
17c_a50|0|1|1|0.0|2|1.347835869|4.349159921|-0.212075666|5.82008293|0.024219848|-0.1766179239999999|0.01130519|10.94500663|-0.120904775|2|2|-0.373205592|-0.139943634|0.816442883|0.728169863|1|0.89719894|-0.073693343|0.021675174|-35.70979598|-50.69922125|14.91199042|0.10280106|70.72462009999998|-0.021745577|10.25908547|0.569750429|-24.567468100000003|66.7258111|-14.96042594|2951.495914|617.2509739|0.430249571|16.45688922|0.98033276|6438.380804|296.00120400000003|-627.8368834|26.25785813|-95.97318605|1601.729346|849.1345426000001|16.02658985|1.0|1.0|0.0|4.12|0.35|-6.79|3.59|1.0|134.28|1.0|6.0|-3.8|5.0|-6.96|440.54|0.0|0.0|3.1|3.75e-05|0.0165|0.0|0.0|-0.03121|4.2397|4.0432|-1411.157813|1289.05|0.1814|596.23|0.63122|0.66213|-1410.838844|0.1801|-0.16697|6.3989|-0.19818|0.02957871|69.0|7.1612|7.1612
6_a27|1|0|0|2.6137160880000003|0|1.404458667|1.7996617540000002|0.1718757239999999|4.727387819|-0.072298665|-0.330715016|0.00526746|10.93737136|0.081320966|1|1|-0.179319226|-0.1322552659999999|0.849515128|0.650575651|1|0.785047616|-0.090025109|0.020552125|-38.92545695|-44.56839492|10.17466399|0.214952384|106.4156743|-0.034625042|5.03713293|0.774820398|-19.27068071|52.66373343|-17.14169035|2196.1151210000003|388.6505938|0.2251796019999999|9.500048379|0.896201262|4761.820508|111.4788253|-330.96463430000006|22.12343713|-272.1086175|862.8140479|373.9912084|8.095338503999999|0.0|0.0|1.0|3.0|0.11|-6.67|3.48|0.0|92.65|1.0|2.0|-3.62|4.0|-6.55|317.34|0.0|1.0|2.71|0.000153|0.0485|0.0|0.0|-0.04793|5.5447|4.1391|-1043.806618|896.68|0.1915|401.49|0.3366099999999999|0.61083|-1043.678244|163.0|-0.17007|2.7521|-218.0|0.02494141|1.0|9.0|9.0
8e_a8|1|0|0|3.01599663|0|1.394799502|1.311619189|-0.018155171|4.844187086|-0.205927741|-0.539547088|-0.005310149|10.94332438|-0.051339286|1|1|0.183313231|0.02023118|0.7742101929999999|0.636205913|0|0.661490276|-0.105450888|0.0211004739999999|-70.49962428|-64.32539698|12.87136047|0.338509724|206.4920729|-0.04393787|7.851573274|0.803307236|-43.00500847|75.57562034|-26.80224874|2692.975753|403.5112981|0.196692764|14.52755918|0.935150832|6095.6213210000005|119.9832494|-784.77418|33.36487904|-370.0368722|1601.514194|561.882658|11.25022336|0.0|0.0|2.0|3.2|0.04|-7.78|4.33|2.0|111.81|1.0|5.0|-5.27|4.0|-6.14|403.41|0.0|0.0|3.71|1.25e-05|0.00504|0.0|0.0|-0.06253|4.6303|3.2737|-1376.924308|1090.07|0.3731|526.86|0.50055|0.7013|-1376.708067|0.1671|-0.13719|6.1505|-0.19972|0.03298991|19.89|4.7014|4.7014
7c_a8|1|0|0|3.17138259|0|1.400027586|1.4416758790000002|-0.244222944|4.844187086|-0.025233184|-0.382994379|0.00325576|10.94670214|-0.118915929|1|1|-0.077006275|0.0092411059999999|0.795846675|0.6881348629999999|0|0.848923958|-0.089778346|0.0306012339999999|-50.34151168|-56.2991566|19.18974586|0.151076042|94.73836511|-0.03366688|12.03370912|0.626902145|-31.56868845|76.40286308|-21.11218373|2716.5013510000003|532.3522286|0.373097855|15.18314943|0.971698707|6013.168519|233.9661552|-635.4840877|33.67700028|-159.15828340000002|1616.4960130000002|572.8089095|20.10370648|1.0|1.0|1.0|3.44|0.09|-7.76|4.22|1.0|112.76|1.0|5.0|-5.0|5.0|-6.34|398.41|0.0|0.0|3.26|2.14e-05|0.00851|0.0|0.0|-0.07472|4.6061|3.1406|-1331.793312|1116.53|275.0|579.97|0.62361|0.70321|-1331.567632|0.1779|-0.1318599999999999|12.0073|-0.20658|0.02732536|18.59|4.7307|4.7307
12s_a30|0|0|0|0.0|2|0.604984545|0.0|-0.00019297|5.351858133|-0.095120438|-0.403952011|-0.002544958|10.31162892|-0.04950715|1|1|-0.145315868|0.006789196|0.889479916|0.591758164|0|0.706713791|-0.103647048|0.019324097|-58.75255278|-67.11451776|12.51292194|0.2932862089999999|189.9114627|-0.040189672|8.102485674|0.790481833|-38.04400919|78.38074776|-26.02399668|2977.11642|457.6180044|0.209518167|15.14544373|0.877516163|6639.7334200000005|135.66918710000002|-825.7139305|32.92168852|-376.1910929|1613.162737|616.2856203|11.26623|0.0|0.0|1.0|4.63|0.14|-7.16|4.67|2.0|127.19|1.0|5.0|-5.49|6.0|-6.06|434.46|0.0|0.0|3.21|6.71e-06|0.00291|0.0|0.0|-0.0551|5.0438|3.5348|-1774.202623|1140.1|0.2148|526.07|0.43338|0.68458|-1774.01033|0.1576|-0.14985|3.0335|-0.20495|0.03401064|7.0|8129.0|8129.0
12f_a30|0|0|0|0.0|2|0.60498366|0.0|0.156569208|5.351858133|-0.274237737|-0.874676289|-0.00695299|10.31162828|-0.046588557|1|1|-0.226973911|-0.043091382|0.876441789|0.593245722|0|0.8357464459999999|-0.108935062|0.01570263|-63.81176255|-76.85198573|11.07796031|0.164253554|115.8783181|-0.0452183279999999|7.815328055|0.815175332|-45.01820228|89.21786458|-31.90082427|3305.792133|589.6060704|0.184824668|15.86072943|0.8958126809999999|7634.176316|130.3909181|-1192.793275|39.1336968|-444.7025522|2074.08593|696.6414817000001|12.36587885|0.0|0.0|1.0|4.73|0.17|-7.18|4.43|2.0|133.96|1.0|7.0|-6.7|8.0|-5.66|482.48|0.0|0.0|3.42|1.2e-06|0.000579|0.0|0.0|-0.05464|5.0587|3.5298|-1987.998635|1225.63|0.2166|574.31|0.32483|0.68471|-1987.782125|0.1596|-0.14958|3.6633|-0.20422|0.03400408|19.0|7.7144|7.7144
47k_a18|0|0|0|0.0|1|1.25117623|0.0|0.029145635|4.844187086|-0.0605329409999999|-0.5135996820000001|0.003047962|10.94702256|-0.008576013|0|0|-0.421027889|0.022512501|0.753132457|0.737517943|0|0.8309354040000001|-0.088346874|0.015080484|-51.59195677|-69.77479556|11.91029894|0.169064596|133.5242222|-0.030255779|9.406543039|0.7153044209999999|-40.74641317|84.23875372|-23.89547793|3245.964586|656.2580564|0.284695579|18.35217454|0.877042091|7575.637462000001|224.8475227|-1377.672426|33.40602576|-340.0872332|2438.639881|1167.054827|14.46395816|1.0|1.0|2.0|4.66|0.3|-8.44|2.39|3.0|154.86|1.0|11.0|-5.84|4.0|-6.41|513.63|0.0|0.0|2.53|4.65e-06|0.0023899999999999|1.0|1.0|-0.04359|3.0948|3.0948|-1664.728002|1492.36|0.5920000000000001|793.48|0.69823|0.69823|-1664.2657390000002|0.5920000000000001|-0.1277599999999999|4.1818|-0.17135|0.02802749|29.0|7.5376|7.5376
8m_a46|0|0|0|0.0|1|1.160371261|2.126524943|-0.044830187|5.533389489|-0.085284636|-0.248590088|0.0063680119999999|10.94650201|-0.064176245|1|1|0.015631887|-0.084989948|0.8142050040000001|0.77612204|0|0.876210355|-0.085204935|0.007059399|-48.32436573|-45.17474201|3.742817678|0.123789645|65.63194084|-0.032188531|1.984401749|0.8854896870000001|-25.62105988|48.72163155|-17.06601365|2045.330306|464.5573228999999|0.114510313|9.899611044|0.7415609409999999|4439.758321|60.71213839999999|-407.1697745|19.27296714|-408.7649869|867.2835213999999|463.1469765|3.546889545|1.0|1.0|1.0|3.24|0.3|-6.46|4.16|1.0|96.16|1.0|2.0|-4.48|3.0|-5.61|319.4|0.0|1.0|3.53|2.78e-05|0.0088799999999999|0.0|0.0|-0.01818|5.3062|4.2881|-1014.091966|970.82|0.3905|489.57|0.43001|0.6997800000000001|-1013.91158|0.1441|-0.17897|2.0174|-0.19715|0.03472717|229.0|6.6402|6.6402
GW6604_a52|1|0|0|2.944144148|0|1.427583999|0.0|-0.277102285|4.59511985|-0.005328809|-0.085995143|0.007746755|10.94914378|-0.028376521|1|1|0.067497086|0.074868979|0.7550228990000001|0.689009112|0|0.87346455|-0.072069252|0.009021088|-35.51891876|-35.62691523|4.459510077|0.12653545|62.55188751|-0.029217264|2.204526664|0.73529506|-17.55852148|44.37166117|-14.44334401|2044.612273|431.7909048|0.26470494|11.6571716|0.851121611|4168.525878|130.8549791|-264.17863140000003|19.64292268|-232.6328342|726.7881391|359.1060668|8.744745933999999|1.0|1.0|1.0|2.68|0.0|-8.03|4.49|0.0|90.49|1.0|3.0|-3.87|3.0|-5.95|298.34|0.0|1.0|3.08|6.929999999999999e-05|0.0207|0.0|0.0||||||||||||||||107.0|6.9706|6.9706
17a_a50|0|1|1|0.0|1|1.349854788|4.319202937|-0.186084687|5.82008293|0.009691515|-0.133526134|0.012510153|10.94500663|-0.131632653|2|2|-0.3891730779999999|-0.204032723|0.828062407|0.732114362|1|0.92300665|-0.078525868|0.013784807|-29.57096251|-51.14229199|8.977762705|0.07699335|50.14419437|-0.0280449529999999|5.847033234|0.7899109000000001|-19.25896309|58.69900789|-18.26510428|2644.4486420000003|601.1353533|0.2100891|15.76161018|0.948768582|5718.782531|136.82673369999998|-666.1585759999999|23.12299308|-377.6260803|1294.887612|719.3470265|7.556715901|1.0|1.0|0.0|3.95|0.29|-6.76|3.39|1.0|121.78|1.0|6.0|-3.99|4.0|-6.44|398.5|0.0|0.0|3.27|3.61e-05|0.0144|0.0|0.0|-0.03196|4.2478|4.0477|-1258.540058|1204.79|0.1817|616.93|0.6244|0.66046|-1258.260865|0.1754|-0.16724|6.2113|-0.1992|0.02594911|85.0|7.0706|7.0706
