molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|MATS2c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|MATS8s|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
12ar_a36|0.0|1|0|0|3.46014932|-0.064363806|5.351858133|2|0.083451772|0.0|-0.40866901|0.000939229|-0.1073795209999999|-0.036002609|0.002112069|0.145909555|-0.096853381|-0.169341326|-0.4194638229999999|-0.017348015|-0.098732471|0.317338373|0.022389124|-54.80317647|-66.9989409|86.85924228|0.163457134|110.9204982|-45.46486105|10.30986449|0.0|0.705591187|-37.18892821|-23.57370143|69.99622854|0.4743067589999999|2902.67985|-1272.979877|0.294408813|16.68371115|0.902250063|6155.432771|199.7830951|-863.83236|33.4098581|0.0223636779999999|15.17578458|1.0|0.0|0.0|2.0|4.86|0.17|3.14|1.95|92.99|1.59|1.0|0.0|133.27|1.0|6.0|32.0|5.0|420.47|0.0|0.0|0.0001199999999999|0.0503|0.000122|2.33|0.0|0.0|8.95e-08|3.76e-05|-0.0566|3.8489|717.19|1211.1|322.13|0.5586|237.29|580.53|0.41433|0.67174|-1364.235126|-0.15631|6.4688|0.04327285|8.7322|25.0|7.6021|7.6021
14ae_a23|0.0|0|1|1|0.0|-0.033049777|5.351858133|2|0.026913008|0.7338690390000001|-0.4448081789999999|0.008996289|-0.0174992419999999|0.0289586779999999|0.009675528|0.047563299|-0.143336826|-0.253318853|-0.363230717|0.107765697|-0.087074783|0.202342743|0.03467374|-46.69131269|-62.38566188|111.4422142|0.127637949|91.4475768|-44.69687612|17.79858399|110.5716332|0.53040766|-33.45249142|-19.28284095|71.53368511|0.479058976|3212.850883|-1060.556252|0.46959234|15.59484379|0.919603093|7308.981869|336.444465|-759.846894|36.35475577|0.034488074|24.70935041|0.0|0.0|1.0|1.0|3.74|0.12|3.48|4.03|123.48|2.42|2.0|1.0|133.27|1.0|7.0|34.0|6.0|471.53|0.0|0.0|1.6e-06|0.000753|8.22e-06|3.52|0.0|0.0|2.49e-08|1.17e-05|-0.07122|3.6036|751.57|1285.52|344.06|0.3205|344.06|627.57|0.58144|0.58144|-1858.675325|-0.14537|7.0211|0.01449323|9.5944|2.0|8.6038|8.6038
12i_a36|0.0|1|0|0|3.27619957|0.043792895|5.351858133|2|0.048138468|0.0|-0.929568494|-0.011700732|0.128325344|-0.009876543|-0.007897954|0.135587069|-0.1187503719999999|-0.3344729369999999|-0.608318386|0.141564781|-0.117424873|0.332782117|0.01973953|-54.81607619|-75.66036485|108.3973956|0.169035768|108.9148111|-48.75024044|8.195085212|0.52902639|0.7691298590000001|-35.3196406|-29.42347522|67.53484704|0.460246812|3231.030388|-1588.867662|0.230870141|13.98728916|0.8526986440000001|7707.634338|148.7565508|-1023.755049|38.2555363|0.022430221|14.45246358|1.0|0.0|1.0|2.0|4.8|0.17|3.31|4.04|78.43|2.04|2.0|0.0|130.43|1.0|7.0|34.0|8.0|465.43|0.0|0.0|6.26e-06|0.00291|8.6e-06|3.86|0.0|0.0|7.24e-08|3.37e-05|-0.05065|3.7496|666.79|1172.5|330.66|0.5402|237.08|504.47|0.34255|0.70134|-1644.954647|-0.1541|5.1836|0.03165678|6.6124|12.0|7.9208|7.9208
3h_a32|0.0|1|1|1|3.579396967|0.01077056|5.733341277|0|0.014517903|2.243113495|-0.269379119|0.002101838|-0.003152613|-0.111111111|0.003284804|0.025035542|-0.071193103|-0.122769653|-0.531669815|-0.169197453|-0.0882883959999999|0.30907784|0.0111539339999999|-44.97387528|-55.27575363|76.38838542|0.12119737|75.87946135|-34.60714056|4.372100625|0.0|0.7734940029999999|-28.15732254|-17.27367301|51.95714963|0.4089962629999999|2398.020434|-829.1363044|0.226505997|13.71739929|0.692036677|5187.525619|141.8112711|-519.1071084|22.33200639|0.011751781|7.357575822|1.0|1.0|1.0|1.0|3.65|0.35|8.11|6.24|110.94|2.64|2.0|0.0|112.28|1.0|7.0|26.0|3.0|382.55|0.0|1.0|5.8700000000000014e-09|2.24e-06|7.140000000000001e-07|6.12|0.0|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|676.22|1127.45|348.74|0.2926|348.74|578.86|0.70257|0.70257|-1790.440663|-0.1474099999999999|3.5952|0.02690554|5.8749|7.0|8.1549|8.1549
18_a20|0.0|1|0|0|3.463603867|0.1160337319999999|4.727387819|2|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|-0.054458882|-0.004071701|0.268927191|0.001996439|0.003282792|-0.597167441|-0.107446431|-0.095227339|0.356461863|0.0108136339999999|-61.73239771|-63.36348363|318.5587088|0.23863824|158.7879106|-42.1615378|4.787695004|82.70867776|0.8109110409999999|-41.07622672|-23.91074854|68.92770059|0.483668611|2809.844943|-1267.269673|0.1890889589999999|15.51556677|0.936740671|6206.896662|125.81822920000002|-843.230756|29.4862782|0.013457694|8.954638548|1.0|1.0|1.0|2.0|3.48|0.08|5.54|4.69|97.55|2.06|2.0|0.0|125.07|0.0|5.0|32.0|4.0|419.48|0.0|1.0|2.54e-06|0.00107|6.91e-06|3.85|0.0|0.0|9.93e-11|4.17e-08|-0.05604|3.5355|703.24|1204.88|350.69|0.2991|207.41|531.11|0.31154|0.6953699999999999|-1352.073755|-0.14685|5.3978|0.03787435|8.0505|34.0|7.4685|7.4685
8m_a46|0.0|0|0|0|0.0|-0.044830187|5.533389489|1|-0.134230003|0.0|-0.248590088|0.0063680119999999|-0.120972269|-0.064176245|0.005865049|-0.206020062|0.010184776|0.015631887|-0.380393836|-0.084989948|-0.085204935|0.280198209|0.007059399|-48.32436573|-45.17474201|166.8508795|0.123789645|65.63194084|-23.9511632|1.984401749|0.0|0.8854896870000001|-25.62105988|-17.06601365|52.0671834|0.425802465|2045.330306|-767.9706141|0.114510313|9.899611044|0.7415609409999999|4439.758321|60.71213839999999|-407.1697745|19.27296714|0.006689855|3.546889545|0.0|1.0|0.0|1.0|3.24|0.3|4.16|4.21|50.94|2.62|1.0|0.0|96.16|1.0|2.0|24.0|3.0|319.4|1.0|1.0|3.3e-05|0.0105|2.78e-05|3.72|0.0|0.0|3.5e-07|0.000112|-0.01818|4.2881|570.72|970.82|289.14|0.3905|233.66|489.57|0.43001|0.6997800000000001|-1013.91158|-0.17897|2.0174|0.03472717|3.1675|229.0|6.6402|6.6402
21_a10|0.0|0|0|0|0.0|0.036507898|5.4161004020000005|2|-0.032405474|1.817620533|-0.549176498|0.001533145|-0.023060773|-0.003554514|0.002099681|-0.051564917|-0.0236638829999999|-0.03765494|-0.4636733179999999|0.057775125|-0.084654798|0.8663152820000001|0.018892889|-64.32920271|-59.80834512|240.7558768|0.225214587|159.11338909999998|-42.25440548|9.430154402|74.3822498|0.704106635|-45.44837698|-23.25880088|77.676969|0.391384102|3104.255496|-1255.975247|0.295893365|13.78215169|0.643072426|7048.414464|209.0477207|-887.342515|33.03306591|0.022638817|15.99425187|1.0|1.0|1.0|1.0|3.5|0.11|4.47|5.6|90.13|2.81|2.0|0.0|128.59|1.0|5.0|34.0|6.0|448.47|0.0|0.0|1.69e-06|0.0007599999999999|3.12e-06|4.17|0.0|0.0|1.94e-09|8.68e-07|-0.06082|3.8599|716.1|1225.01|321.21|0.2574|208.04|517.44|0.4226399999999999|0.68165|-1485.216871|-0.16178|1.5138|0.03802869|1.1872|4.8|5.3188|5.3188
19i_a38|0.0|1|0|0|3.169368622|-0.125335237|5.351858133|2|0.08414367|0.0|-0.4561702689999999|-0.006877664|-0.074033381|-0.053762162|-0.004358975|0.215263198|-0.098027247|-0.250781298|-0.430016467|-0.040954326|-0.113250303|0.4748744179999999|0.022576308|-51.15830416|-69.40536597|137.7658863|0.252841593|154.953787|-42.53502816|8.479305267|10.71501217|0.7419238420000001|-31.35232957|-24.98593175|64.99417804|0.444551315|2896.470706|-1249.2965869999998|0.258076158|12.04523072|0.800346329|6744.7785650000005|158.161786|-765.6305068|33.67721904|0.022159015|13.5801364|1.0|1.0|1.0|3.0|4.8|0.14|3.55|3.11|81.23|2.78|1.0|0.0|125.65|1.0|5.0|31.0|5.0|419.43|0.0|1.0|5.68e-05|0.0238|4.67e-05|2.88|0.0|0.0|7.599999999999999e-08|3.19e-05|-0.0564799999999999|3.6129|641.31|1101.03|343.17|0.2156|217.36|457.26|0.4342|0.69267|-1431.181148|-0.14872|6.6636|0.03110827|8.6365|13.0|7.9031|7.9031
19d_a38|0.0|1|0|0|3.314284769|0.013465335|5.351858133|2|0.019858574|0.0|-0.6999264340000001|-0.011156837|-0.0555594909999999|-0.024688524|-0.00835812|0.041924146|-0.060668296|-0.128079012|-0.529632789|0.111104525|-0.1248815919999999|0.3509455999999999|0.024158903|-74.84120843|-80.2776536|158.6487879|0.36832051|236.7675313|-51.60489663|9.98319831|115.6739235|0.7494816990000001|-48.11018574|-28.24584108|90.37127996|0.478151237|3055.168373|-1525.275418|0.250518301|13.52121974|0.916264002|6934.7619620000005|161.0407189|-980.493036|37.68716585|0.022660131|14.56661536|0.0|0.0|0.0|4.0|4.91|0.13|2.34|1.65|124.32|1.65|1.0|0.0|133.79|1.0|6.0|33.0|5.0|444.46|0.0|0.0|0.000134|0.0594|0.0002399999999999|1.65|0.0|0.0|3.94e-07|0.000175|-0.05091|3.6586|679.08|1171.77|338.89|0.3167|230.58|517.77|0.3356699999999999|0.6957800000000001|-1500.621723|-0.15054|7.9959|0.04735828|10.6621|11.0|7.9586|7.9586
18c_a22|0.0|0|0|0|0.0|-0.191807441|4.727387819|2|-0.044828537|1.642882533|-0.213698903|0.005449965|0.009519672|0.006275578|0.005597023|-0.081550274|-0.078828791|-0.143402172|-0.305378181|-0.032031791|-0.076388478|0.5003904610000001|0.019843706|-40.094865000000006|-52.84635017|30.63947336|0.068926461|47.68404831|-36.55965924|9.49723261|15.22791009|0.682690024|-27.73804808|-19.94201893|53.82294919|0.4777430589999999|3090.601885|-1056.927003|0.317309976|14.04085897|0.914766316|7101.057047|219.5183688|-731.1931848999999|29.21094233|0.0215181079999999|14.88645273|1.0|1.0|1.0|1.0|3.56|0.08|5.36|4.98|124.4|1.47|1.0|1.0|136.36|1.0|6.0|34.0|5.0|461.54|0.0|1.0|1.6e-06|0.000739|7.98e-06|3.5|0.0|0.0|3.4299999999999995e-10|1.58e-07|-0.07207|3.7222|707.08|1249.84|333.1|0.2996|219.25|583.88|0.4609|0.60449|-1783.277296|-0.15158|1.2938|0.02279458|1.0733|26.0|7585.0|7585.0
33_a47|0.0|0|1|1|0.0|-0.229935275|4.727387819|3|-0.11544858|1.688794654|-0.183320497|0.002212256|-0.033554816|0.0741098479999999|0.003634698|-0.26447859|-0.147591116|-0.338113214|-0.270498605|0.065468525|-0.083739854|0.404334141|0.022346992|-32.1568697|-44.81989209|30.94680001|0.1802998689999999|96.50148984|-23.98884914|6.401714296000001|0.0|0.57681348|-17.2112484|-14.56646493|44.11759955|0.4607629339999999|2311.28828|-582.6585971|0.42318652|12.94292541|0.854471925|4889.09585|226.5011607|-311.85503880000005|25.25333652|0.029580684|15.83240237|0.0|1.0|1.0|1.0|3.08|0.11|2.96|4.04|68.52|1.52|0.0|0.0|94.28|1.0|3.0|25.0|5.0|334.35|1.0|1.0|0.000546|183.0|0.000192|2.19|0.0|0.0|8.339999999999999e-08|2.79e-05|-0.05462|4.1869|566.29|934.34|296.13|0.2566|296.13|423.52|0.67508|0.67508|-1122.992964|-0.15985|4.5647|0.02924367|6.2284|4.0|8.4|8.4
19e_a38|0.0|1|0|0|3.376977671|-0.082311936|5.351858133|2|0.021678225|0.0|-0.4379521229999999|-0.001197042|-0.104569193|-0.038386106|0.000347207|0.045449529|-0.091460175|-0.191751024|-0.436305701|0.04818471|-0.10214405|0.552393659|0.02118651|-56.34606212|-68.82539051|118.734325|0.223437407|150.553721|-46.37503972|9.619015829|16.39385667|0.749190974|-37.96637911|-25.49088538|70.62168376|0.4655978389999999|2920.436229|-1376.50781|0.250809026|12.34352977|0.871249918|6531.762734|168.99691289999998|-927.5007945|34.02454948|0.020114756|13.55346651|1.0|0.0|1.0|3.0|4.96|0.12|4.03|3.09|81.23|2.75|2.0|0.0|135.78|1.0|6.0|32.0|4.0|427.48|0.0|1.0|1.15e-05|0.0049|1.89e-05|3.55|0.0|0.0|5.27e-08|2.25e-05|-0.05139|3.8587|685.34|1183.12|321.31|0.3948|236.96|532.67|0.41961|0.58509|-1409.315831|-0.15584|5.8426|0.03483011|8.0952|0.01|8.0083|8.0083
