molecula|SddssS|n9FaHRing|SssssC|NaasN|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|RNCS|FNSA4|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
13a_a30|0.0|0|0.0|0|2|0.604984129|0.0|0.113424769|5.351858133|-0.118776867|0.042560386|0.0|-0.003436924|0.0317047379999999|10.31162842|-0.0351777|1|0.003429114|-0.5640209589999999|1|0.841060094|0.8303425640000001|0.885516463|0.802578397|0|0.6963945559999999|-0.113507021|0.478381813|0.01856512|-74.02777574|381.9643801|-0.042832838|8.456950359|-2.27014041|-49.96348386|88.22659517|86.55791128|0.4661332179999999|-1532.183327|2520.165025|-19.5115996|0.2001375339999999|8.066980235|15.1104742|6675.344631|135.07860209999998|36.14261279|0.017212819|-404.771677|1915.558478|11.6174288|0.0|0.0|2.0|4.76|0.0|-6.19|1.72|124.74|0.0|135.37|1.0|6.0|-5.01|32.0|5.0|441.51|-4.3|5e-05|2.74|0.0|-0.0555|5.0535|4.54|3.5288|-1744.491614|-1744.4457100000002|351.35|541.59|0.26119|-1744.217986|0.1603|-0.14953|-0.20503|0.04590378|-1744.281248|14.0|7.8665
13_a47|0.0|1|0.0|0|0|1.417757826|0.0|-0.174238791|4.59511985|-0.0777650159999999|0.036632997|1.5940801480000002|-0.00105415|0.003874205|10.9452934|0.038682232|1|-0.0101047869999999|-0.316563793|2|0.6427334020000001|0.794037882|0.8582665429999999|0.626280497|1|0.781675563|-0.088128939|0.244975411|0.017736598|-41.79730418|63.12660940000001|-0.032468557|4.705524762|-1.23380515|-21.52866736|57.38622954|50.9329486|0.472007922|-635.4998528|669.2729199|-8.613918003|0.311738758|7.038683428|13.33103985|4542.479565|160.5682509|24.29844849|0.023284817|-193.936606|923.3410426|11.99338291|0.0|1.0|2.0|2.9|1.75|-7.9|4.63|66.49|0.0|91.59|1.0|3.0|-4.24|24.0|4.0|319.34|-4.27|5.41e-05|3.17|0.0|-0.05465|4.0302|2.7|4.0302|-1067.820961|-1067.78457|307.63|404.73|0.67466|-1067.665127|0.3382|-166.0|-0.22065|0.03639189|-1067.71601|16.0|7.8
46_a18|0.0|0|0.0|0|2|1.251088279|0.0|-0.001181461|4.844187086|-0.018808538|0.03531746|0.0|0.002300582|-0.0669031009999999|10.94680484|-0.052591109|0|-0.1483628609999999|-0.448177615|0|0.7100921609999999|0.729629263|0.76616843|0.699483099|0|0.8265445990000001|-0.076485888|0.30524999|0.008975181|-49.54738918|0.946462387|-0.029244604|4.5299444310000005|-1.988633091|-35.20023815|63.70285871|55.92367899|0.4548138479999999|-1412.796104|1848.661552|-14.76030741|0.217767252|8.980343774|16.47206875|7150.333139|154.7096476|26.56039822|0.013181412|-401.0164861|1806.107079|9.36454702|0.0|1.0|2.0|4.27|0.0|-8.82|3.3|76.5|1.0|151.14|1.0|7.0|-5.68|36.0|3.0|480.6|-5.47|3.35e-06|4.36|0.0|-0.04995|3225.0|8.11|3225.0|-1532.992457|-1532.968527|384.45|635.89|0.69181|-1532.493789|0.4249|-0.13224|-0.18219|0.0239301|-1532.562476|186.0|6.7305
3n_a32|0.0|1|0.0|0|1|0.609420754|0.0|-0.0376583329999999|5.733341277|-0.01504795|0.035643275|2.22272854|0.000609539|-0.1006122119999999|10.3110027|-0.0711168609999999|3|-0.086764744|-0.435658951|0|0.810658423|0.816774665|0.868826775|0.762657782|1|0.840041782|-0.092745182|0.287402381|0.01889769|-42.83673428|121.6040686|-0.027401986|6.246493173999999|-1.205687365|-24.62805609|65.41881458|53.70155314|0.456693072|-693.1839353999999|2426.73803|-9.057526067|0.351066886|6.369579712999999|11.72372261|5553.014016|201.8383309|24.27704797|0.0210408339999999|-171.25176130000003|1068.190111|12.0969734|1.0|1.0|1.0|3.51|3.29|-6.96|5.01|120.17|0.0|106.44|1.0|3.0|-5.96|26.0|4.0|382.5|-4.91|1.23e-05|3.74|0.0|-0.05535|3.5459|2.57|3.5459|-1825.378576|-1825.349557|349.65|464.67|0.7028399999999999|-1825.163542|0.2839|-0.1472099999999999|-0.20256|0.02901944|-1825.218291|21.0|7.6778
19c_a38|0.0|0|0.0|0|2|1.297043851|0.0|-0.085545751|5.351858133|-0.04575843|0.04508642|0.0|-0.004442319|-0.0725602509999999|10.95429182|-0.0431896509999999|1|-0.09493054|-0.434836855|1|0.7163622890000001|0.846765471|0.908721232|0.6885713729999999|0|0.7591916240000001|-0.108301657|0.396635872|0.024315945|-57.79749770000001|139.1570837|-0.038224114|9.638658988|-1.949429829|-36.38913762|82.74311399|73.10674676|0.477803802|-1227.35539|2660.812979|-15.15175311|0.281292809|6.97753104|13.36189552|6618.350708|177.10114030000005|33.48483537|0.023120664|-275.39483110000003|1707.726604|14.55670345|1.0|1.0|3.0|4.84|3.0|-6.92|2.42|105.02|0.0|130.41|1.0|5.0|-4.35|32.0|5.0|426.45|-4.12|7.55e-05|2.5|0.0|-0.05691|5.8832|3.23|3.8322|-1424.42734|-1424.3899310000002|323.53|517.28|0.2597|-1424.1880119999998|0.1417|-0.15612|-0.21303|0.03740877|-1424.247603|9.0|8.0348
8_a47|0.0|0|0.0|0|1|1.24688044|0.0|0.003732288|5.476463552|-0.099564745|0.0363475179999999|1.335354131|-0.008756|-0.153669322|10.93671024|-0.14203855|0|-0.00158075|-0.4497577479999999|2|0.686795267|0.7847248109999999|0.842571655|0.659210804|1|0.8497568740000001|-0.091482011|0.517797505|0.008687692|-44.09728708|90.32612351|-0.035797309|2.928269795|-1.646676195|-25.60148752|60.62152862|49.14108595|0.414302597|-956.0080185|2217.264922|-12.06582525|0.180297967|6.492934319|11.08581716|6219.278078|104.6752861|25.35407034|0.012935553|-371.2177396|1166.287236|7.509972037000001|0.0|1.0|2.0|3.02|3.21|-9.25|6.77|58.04|0.0|113.97|1.0|4.0|-6.59|29.0|4.0|405.85|-6.19|6.490000000000001e-07|5.61|0.0|-0.05495|3.6696|4.91|3.6696|-1686.068471|-1686.0356350000002|337.87|433.38|0.6877800000000001|-1685.8518170000002|0.2249|-0.15357|-0.2085199999999999|0.03283575|-1685.908004|0.05|7.3
4_a27|0.0|0|0.0|2|0|1.4008954130000002|3.294369174|0.082486268|4.727387819|-0.058641975|0.0456410259999999|1.274166982|0.00991794|0.13397347|10.93736915|-0.01660383|1|-0.2030237389999999|-0.480852615|2|0.639413469|0.7853766809999999|0.842039655|0.614205449|1|0.852604338|-0.078787867|0.3485918529999999|0.0201467639999999|-29.89961815|8.590238252999999|-0.0281385239999999|5.40078803|-1.181818|-15.48073439|51.33640873|40.33074472|0.444169714|-611.8944548999999|1213.060761|-7.543156957000001|0.317514326|6.01592535|10.82331334|4988.6278600000005|164.3952417|21.34684457|0.020363697|-188.9664429|896.5674718|10.54344507|1.0|1.0|0.0|3.11|3.08|-6.22|2.8|65.6|0.0|97.55|1.0|2.0|-3.57|25.0|4.0|331.37|-3.99|0.000102|2.55|0.0|-0.0449899999999999|5.5485|4.63|4.1288|-1083.138303|-1083.119531|300.29|445.65|0.36899|-1082.963712|0.1741|-0.17034|-0.21533|0.01877181|-1083.01571|4.0|8.3979
30_a47|0.0|1|0.0|1|0|1.304327883|1.435022468|-0.069449687|4.727387819|-0.184735553|0.038387534|1.192095911|-0.0098410169999999|-0.008774855|10.95005723|0.0467853809999999|1|-0.035472095|-0.4370608039999999|2|0.6850994429999999|0.8485444809999999|0.913855507|0.651797437|1|0.67896733|-0.107296835|0.384732322|0.022747897|-64.94243028|350.5257774|-0.0383202979999999|8.190002019|-1.609452527|-38.96726396|81.25550675|78.59180109|0.4680850139999999|-965.7162688|1558.731067|-13.79658605|0.320552431|6.886726437999999|12.94704346|5852.817155|192.3403721|33.84108731|0.028122734|-215.3470619|1421.325667|16.87442216|1.0|1.0|2.0|3.03|2.12|-7.24|3.93|98.72|0.0|104.25|1.0|5.0|-4.22|28.0|5.0|396.81|-4.1|7.94e-05|2.5|0.0|-0.0564299999999999|3.7159|3.89|3.7159|-1696.12008|-1696.078047|333.66|478.04|0.6944899999999999|-1695.931037|0.3566|-0.1517|-0.20813|0.0420327|-1695.9887|13.0|7.9
9b_a36|0.0|0|0.0|0|2|0.62670079|0.0|-0.053019801|5.351858133|-0.023369916|0.040166667|0.0|0.005050384|-0.077361324|10.33767255|-0.06502499|1|-0.053309522|-0.4060950789999999|1|0.8421237309999999|0.7885597609999999|0.842671963|0.7961424690000001|0|0.8453794609999999|-0.098301686|0.2602997|0.017007854|-46.58565720000001|67.12293326|-0.036110824|6.707514535|-1.769430355|-29.25555061|71.70079424|57.26650122|0.453252346|-1111.193067|2464.2160510000003|-14.24129533|0.21757783|7.549264797|13.80758516|5838.085413000001|136.63774650000002|28.98359786|0.015872498|-354.7193098|1420.196295|9.967846072|1.0|0.0|1.0|4.73|0.0|-6.64|2.76|82.47|0.0|126.17|1.0|5.0|-4.6|29.0|4.0|398.48|-4.43|3.71e-05|3.2|0.0|-0.05146|3.8535|3.82|3.8535|-1575.7800140000002|-1575.751975|321.74|514.45|0.69763|-1575.557248|0.5392|-0.15833|-0.20979|0.02803905|-1575.616432|21.0|7.6778
19a_a22|0.0|0|0.0|1|0|1.422917238|1.572240489|-0.000989685|4.727387819|-0.144269652|0.0389622639999999|1.545757986|-0.002607064|-0.011513343|10.9464374|0.016501913|1|-0.035723406|-0.496053375|2|0.72808001|0.777600172|0.834033833|0.699744887|1|0.744354735|-0.09370213|0.51561501|0.024839714|-67.26339083|373.8201781|-0.035138299|13.82990734|-1.967744721|-50.18975739|89.23486638|85.79797858|0.4347718229999999|-1468.267194|2607.322873|-19.56380872|0.315293811|8.648671382|15.30120355|7095.27723|235.2620007|38.29242013|0.025888799|-275.6435167|2144.375527|19.31738094|1.0|1.0|2.0|3.61|2.27|-8.76|3.41|128.68|0.0|132.15|1.0|7.0|-4.38|35.0|6.0|463.49|-4.11|7.69e-05|2.05|0.0|-0.06398|5.0397|5.69|3.5809|-1537.071348|-1537.0241640000002|346.24|567.03|0.34556|-1536.756515|0.0623|-0.1508|-0.21478|0.04718381|-1536.823574|48.0|7.3188
