molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|MATS1c|GATS1are|MATS8s|SIC2|nFaHRing|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
2_a4|0.0|0|0|0.0|0.0|0|6.605297921|1|1|1.189716144|0.0|-0.072708147|4.59511985|-0.103346554|0.0|-0.269140683|-0.001386521|0.090707854|10.95268469|0|-0.0016168089999999|0.147657684|-0.3881618|0.930871261|0.11821091|0.847373823|0|0.442778552|0.006330673|-44.27948986|2.667094277|166.102249|0.257481153|108.4760726|-0.0379537729999999|1.123639184|0.0|0.843107708|-20.83662681|48.93681624|-15.98981578|52.12536246|1623.668791|312.82106489999995|910.3327882|-6.736463618999999|0.156892292|0.656126301|66.09827364|-242.5126903|18.96532986|682.7518749|284.26458360000004|4.657326379|0.0|0.0|3.33|0.0|0.27|12.0|-4.83|2.12|0.83|1.63|0.0|79.59|2.0|2.0|-2.18|19.0|4.0|253.3|1.0|0.0|1.24|0.0066|0.00171|0.0|0.0|0.00374|5.8961|-819.8996124|458.73|764.77|210.28|0.4682|0.6885600000000001|-819.771754|-0.14614|0.033037353|-819.8174190000001|3.0946|7.5086
5f_a40|0.0|0|0|0.0|0.0|1|8.149890544|0|1|0.60491326|1.656591081|-0.004886759|6.167516491000001|-0.0468504759999999|0.769837491|-0.293556526|0.000663516|0.166865076|10.31198329|2|0.000706205|0.100535344|-0.4644854879999999|0.7039183109999999|-0.465573352|875.0|1|0.0528268609999999|0.020236763|-50.68028366|9.349692674|222.1847349|0.258528569|119.4441339|-0.041135239|4.319700326|63.48466425|0.814393685|-24.23209217|57.61052946|-19.00510637|61.79838068|1932.388838|342.5710869|599.1117195|-8.780648419|0.185606315|0.938359946|85.75294257|-280.9807494|23.33651|746.7683199|269.0442248|6.930245797|1.0|1.0|3.08|2.05|0.21|14.0|-3.69|2.94|2.68|1.29|2.0|78.56|3.0|3.0|-3.97|20.0|3.0|284.34|0.0|1.0|2.23|0.000108|0.000491|0.0|0.0|0.0587|3.8036|-1232.959261|487.57|793.54|325.97|0.56507|0.69727|-1232.851443|-0.13057|0.02389588|-1232.898044|7.6183|6.9508
19a_a38|0.0|1|0|3.3685352889999995|0.0|0|7.412764017000001|2|2|1.297044508|0.0|-0.084389038|5.351858133|-0.082283951|0.0|-0.431265985|-0.002526241|-0.122385526|10.96083376|1|-0.000673716|-0.101303149|-0.4342819429999999|0.724208473|0.031696119|0.8741648479999999|0|0.298938581|0.022142322|-64.73159672|13.23456869|137.2318698|0.252847102|151.1278869|-0.038988111|7.910363161|0.0|0.744796537|-30.69910427|77.20795279999999|-23.30337482|64.59623135|2774.129458|446.57675660000007|2304.055966|-13.92853534|0.255203463|0.872060139|152.5362948|-696.4267669|31.28824271|1564.412135|595.8790650000001|12.47635608|1.0|1.0|4.83|2.56|0.14|17.0|-6.86|3.13|2.55|2.4|0.0|125.69|1.0|5.0|-4.14|30.0|4.0|401.44|0.0|1.0|2.68|7.209999999999999e-05|6.77e-05|0.0|0.0|5.610000000000001e-05|3.9212|-1332.1529369999998|628.65|1092.25|316.19|0.6329100000000001|0.68835|-1331.94466|-0.15108|0.03338983|-1332.002093|6.0223|8.0106
41_a47|0.0|0|1|0.0|0.0|1|6.842683282|0|0|1.420292383|1.840145925|-0.225923786|4.727387819|-0.072088843|1.601942802|-0.187859623|0.003530307|0.024881402|10.98214139|1|0.0047106|-0.1430639269999999|-0.276217719|0.62974551|0.08640454|0.900915114|1|0.245948366|0.018348892|-50.81597048|10.36256127|54.15850042|0.1768315369999999|99.86584673|-0.02929561|5.852270304|0.0|0.653147815|-19.48810377|63.84353454|-16.54473457|44.86996758|2374.594252|464.8854878|1073.170368|-9.34366093|0.346852185|0.8084689140000001|195.8852341|-401.77742|25.33076615|1089.222944|439.9906467|13.02756406|1.0|1.0|3.18|3.18|0.16|21.0|-7.47|3.34|4.52|1.75|0.0|99.09|1.0|4.0|-3.57|26.0|5.0|348.38|1.0|1.0|3.06|0.000267|0.000125|0.0|0.0|1.17e-05|4.0167|-1162.462261|603.1|995.43|308.67|0.6779|0.68638|-1162.288187|-0.15208|0.02982752|-1162.342476|6.8546|8.0
14s_a23|0.0|0|1|0.0|0.0|2|7.423568444|0|0|1.197958333|3.336763335|0.020458621|5.351858133|-0.022580082|0.740898446|-0.298573309|0.010682694|-0.044305947|10.31321812|2|0.009263715|-0.071484865|-0.457212212|0.722187957|0.096014944|0.846632079|1|0.2387634619999999|0.019970955|-51.64162341|12.81151517|30.34480575|0.07236376|46.42188642|-0.034255504|8.218681552|82.55990607|0.7748161659999999|-22.64965286|62.75905983|-21.9751589|48.11843993|2954.0751370000003|595.0854952000001|2316.634024|-14.09722664|0.2251838339999999|0.890072438|144.457092|-662.5696522999999|28.36177131|1333.003252|633.3278634|11.11743642|0.0|1.0|3.45|3.66|0.05|26.0|-7.99|4.0|4.67|3.51|1.0|125.29|1.0|5.0|-6.13|31.0|4.0|445.93|0.0|0.0|4.01|7.49e-07|2.83e-06|0.0|0.0|4.55e-06|3.6828|-2089.500101|668.66|1164.32|336.66|0.60323|0.60323|-2089.2914530000003|-0.1515|0.02112956|-2089.352478|6.4428|8.5482
13_a12|0.0|0|0|0.0|0.0|0|0.0|0|0|1.508548782|0.0|0.202052156|0.0|-0.0619247109999999|0.0|-0.272508888|0.000830398|-0.083760082|10.96083169|0|0.002279068|-0.169387652|-0.595629719|0.845823047|-0.226526433|0.7300173240000001|0|0.122164874|0.008188151|-45.33566159|4.01385817|64.74666684|0.09993609|48.98899535|-0.034993718|1.96760628|66.2289548|0.8829921740000001|-13.97756285|48.99243638|-17.15403411|32.52766981|1812.788134|441.2142447|664.9830294|-8.408963103|0.117007826|0.874625469|57.35761558|-311.13163480000003|19.42716439|718.8050825|327.9594923|3.656774794|1.0|1.0|2.7|2.64|0.12|18.0|-7.14|3.63|3.9|2.42|0.0|84.74|1.0|3.0|-4.26|21.0|3.0|276.34|1.0|1.0|3.22|5.520000000000001e-05|6.3e-05|0.0|0.0|2.01e-05|4.5363|-876.3370809|532.86|867.79|273.31|0.6622399999999999|0.64974|-876.209109|-0.16458|0.0290811829999999|-876.258343|1.5686|7.0315
12m_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|2|0.6049842529999999|0.0|0.096631895|5.351858133|0.024086432|0.0|-0.57615692|0.001371944|0.0488832779999999|10.31162838|1|0.0026474159999999|-0.084317059|-0.5409445629999999|0.817497287|-0.036924662|0.893689741|0|0.415971907|0.027352277|-70.1324196|18.55926485|133.774348|0.216739951|147.06395700000002|-0.0405332439999999|12.59296644|237.0982213|0.773732767|-39.32844052|83.3641853|-27.50290965|76.52074257|3058.3084710000003|531.4632661|2370.879718|-18.66147291|0.226267233|0.8173893040000001|153.52847759999997|-951.7351184|35.54574762|1812.833129|683.7405759|13.2317657|1.0|0.0|4.66|0.0|0.13|17.0|-6.42|3.4|2.48|2.06|1.0|133.52|1.0|6.0|-6.0|32.0|6.0|439.49|0.0|0.0|2.36|1.01e-06|9.71e-06|0.0|0.0|0.000165|5.0617|-1743.174906|714.92|1204.39|244.95|0.33392|0.68404|-1742.965888|-0.15042|0.04041755|-1743.030004|5.1279|7.5114
41_a18|0.0|0|0|0.0|0.0|0|7.03438793|2|2|1.251176562|0.0|0.115127295|4.844187086|-0.059936864|0.0|-0.500778516|-0.0034878|0.022493846|10.9470117|0|-0.002136837|-0.005930813|-0.5421253970000001|0.759941674|-0.032217299|0.774395455|0|0.3888308139999999|0.009550224|-61.10986894|6.547189171|347.42621339999994|0.2650611539999999|181.7135945|-0.037381065|4.488448275|93.99687836|0.903239484|-47.95199341|65.83786886|-25.62671923|76.49358329|2899.29167|503.8398786|1491.296991|-17.56848637|0.0967605159999999|0.950261611|66.33450764|-1089.246155|28.37200951|1759.064589|897.5188662|4.727999916|1.0|1.0|4.07|0.0|0.25|18.0|-8.38|3.26|2.7|2.94|1.0|141.34|1.0|6.0|-5.56|34.0|3.0|452.55|0.0|1.0|2.53|2.76e-06|9.49e-06|0.0|0.0|1.89e-06|3.2123|-1454.3467460000002|736.59|1294.52|385.97|0.69308|0.69308|-1453.980175|-0.1319|0.0280471999999999|-1454.045308|2721.0|6433.0
5g_a40|0.0|0|0|0.0|0.0|1|8.149890544|0|1|0.604913142|1.534673091|0.0094595959999999|6.167516491000001|-0.190406197|0.64025463|-0.5611751220000001|-0.012794054|0.122088541|10.31198315|2|-0.012008571|0.07917206|-0.4748772539999999|0.795454476|0.006643696|0.882781953|1|0.245639795|0.024937196|-68.05025116|11.83520323|216.425542|0.32227256|152.9506864|-0.049288357|5.616992201|0.0|0.745349319|-34.61732609|80.22859145|-23.39227384|84.77514603|2054.810452|321.64971460000004|593.8133184|-11.10198254|0.254650681|0.955183157|120.8573152|-355.2634413|31.38430965|1004.297909|266.8102663|12.1783403|0.0|0.0|3.13|1.96|0.21|14.0|-2.89|2.69|2.5|0.74|1.0|78.2|3.0|3.0|-4.24|21.0|5.0|301.32|0.0|1.0|2.01|5.78e-05|0.000426|0.0|0.0|391.0|3.48|-1328.015099|489.04|800.98|356.27|0.6563|0.6563|-1327.9345529999998|-0.14505|0.04070345|-1327.982732|6.7957|6.9101
4b_a49|0.0|0|0|0.0|0.0|1|7.535296702|1|1|1.343847828|2.075628989|-0.109946885|5.4161004020000005|-0.077626337|1.645329244|-0.402986655|0.001769804|-0.033486358|10.92776533|1|0.002557204|-0.0563571629999999|-0.390006034|0.720824193|0.005818676|0.852400617|1|0.438784865|0.0241270029999999|-55.5653235|14.84890147|41.97072627|0.241850733|148.84640819999998|-0.030696709|9.138717999|64.87087098|0.645330839|-34.74338731|71.2971749|-18.89220999|71.30114509|2708.998101|466.6010051|1701.832352|-11.62716177|0.354669161|0.915225186|218.2802175|-581.3580885|29.27523192|1463.761596|600.3287567000001|15.73185141|1.0|1.0|3.37|3.1|0.22|21.0|-7.05|3.71|3.26|1.66|0.0|112.36|1.0|6.0|-3.81|30.0|6.0|400.43|0.0|1.0|2.8|0.000155|0.000132|0.0|0.0|3.570000000000001e-05|4.6422|-1333.026419|664.86|1121.45|267.08|0.4151899999999999|0.68242|-1332.800229|-0.15635|0.03702033|-1332.8586269999998|2.2306|7.1024
