molecula|SddssS|n9FaHRing|NaasN|nARing|SaasN|MATS2c|SRW07|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|n6aHRing|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|WNSA3|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
13n_a6|0.0|0|0|0|0.0|0.030890422|4.727387819|0.04393617|0.058267173|1.628408574|-0.631323273|-0.0093684169999999|-0.06507689|-0.033224059|1|1|0.100294804|-0.068956229|2|0.870730542|0.7767360059999999|-0.064779873|0.82642394|1|0.70890216|-0.100363599|-0.109392959|0.307384948|0.017758385|12.18768927|90.97854097|199.7822434|-0.038490115|8.36448634|-47.27287681|-26.41600355|81.06784641|2952.259627|486.5239262|2535.307313|-18.12946621|0.251032943|8.872063579|16.76075427|6386.381394|172.28545730000002|35.2699138|0.019904118|1904.575345|1.0|1.0|1.0|1.0|3.0|1.9|0.08|-9.67|3.76|122.47|0.81|0.0|127.2|0.0|1.0|6.0|33.0|5.0|435.48|1.0|2.27e-05|0.0228|2.43|0.0|2.1499999999999998e-10|9.35e-08|4.8185|4.27|-1423.765005|369.99|0.9117|257.31|548.09|0.55028|-1423.451366|0.1945|-0.20994|-1423.514154|10.1967|75.0|7.1249|7.1249
20b_a10|0.0|0|1|1|2.103422978|0.048567614|5.4161004020000005|0.035818182|-0.030238422|1.854149459|-0.447804373|0.001965496|-0.042013549|-0.013623188|1|1|-0.049452599|0.019531637|2|0.725009545|0.761071345|0.052265135|0.6980623109999999|1|0.75259177|-0.094975935|-0.088479815|0.6741049840000001|0.013038163|8.331370518|81.39248686|158.09355980000004|-0.033783202|5.323735696|-38.78052212|-21.58742537|69.02087825|3085.433676|480.905232|2257.777328|-13.79433873|0.238378673|7.554743755|13.838742600000002|7173.225184999999|152.3236842|28.34404003|0.0171045989999999|1558.922202|1.0|1.0|1.0|1.0|1.0|3.15|0.11|-8.93|5.0|95.92|2.41|0.0|129.73|0.0|1.0|5.0|34.0|5.0|447.49|1.0|6.05e-06|0.00364|3.52|0.0|1.1699999999999999e-09|5.26e-07|5.9354|4.88|-1465.62724|317.8|0.2782|208.89|482.93|0.3246|-1465.333983|0.1382|-0.2217199999999999|-1465.395231|7.7954|1.1|5.9586|5.9586
2_a3|0.0|0|0|0|0.0|0.176032668|4.727387819|0.034166667|-0.103423993|2.058239271|-0.311617665|-0.006049098|0.09933632|0.036301827|1|1|-0.18746945|0.017902469|2|0.899733837|0.769486995|-0.192034735|0.841871246|1|0.750206578|-0.104577702|-0.09392632|0.4551292289999999|0.011938463|5.601853871|228.178656|117.2099151|-0.033150466|2.628543258|-23.02532673|-15.55510657|54.67257594|2056.399995|352.0174726|1314.679398|-7.298882022000001|0.272015731|4.88513521|9.016533738|4446.904467|127.637231|21.36736636|0.019143348|726.4904564|1.0|1.0|1.0|1.0|1.0|2.22|0.0|-6.89|4.01|92.93|1.6|0.0|90.49|0.0|1.0|2.0|22.0|3.0|304.37|1.0|1.7800000000000002e-05|0.0162|3.13|0.0|1.3e-07|3.9500000000000005e-05|5.4397|1.97|-1272.143337|371.73|0.1824|227.92|340.69|0.37284|-1272.001389|0.0962|-0.21028|-1272.04778|5.4999|3981.0|5.4|5.4
12ar_a36|0.0|0|0|2|0.0|-0.064363806|5.351858133|0.040839506|0.083451772|0.0|-0.40866901|0.000939229|-0.1073795209999999|-0.036002609|1|1|0.145909555|-0.096853381|1|0.86559137|0.8371588959999999|-0.017348015|0.8196353679999999|0|0.8365428659999999|-0.080760277|-0.098732471|0.317338373|0.022389124|15.19305207|86.85924228|110.9204982|-0.0347392029999999|10.30986449|-37.18892821|-23.57370143|69.99622854|2902.67985|567.6702443|2404.999137|-15.99689556|0.294408813|8.770514183|16.68371115|6155.432771|199.7830951|33.4098581|0.0223636779999999|1804.132337|1.0|0.0|0.0|1.0|2.0|0.0|0.17|-7.05|1.95|92.99|1.59|0.0|133.27|0.0|1.0|6.0|32.0|5.0|420.47|0.0|0.0001199999999999|0.0515|2.33|0.0|8.95e-08|3.76e-05|5225.0|3.23|-1364.511244|322.13|0.5586|237.29|580.53|0.41433|-1364.235126|0.2372|-0.21291|-1364.2977050000002|8.7322|25.0|7.6021|7.6021
7c_a10|0.0|0|1|1|2.1219657030000003|-0.152261681|5.4161004020000005|0.039433962|-0.1122332619999999|1.798334646|-0.206388032|0.01006918|-0.033792245|-0.066271289|1|1|-0.176560297|-0.12177839|2|0.725146704|0.7928588059999999|-0.087063341|0.6952665379999999|1|0.906276489|-0.05074318|-0.0876410609999999|0.487148112|0.027436939|16.04055193|87.99694927|54.79389751|-0.0223398779999999|9.377842892|-17.34382833|-13.06063972|45.70671102|2616.8970870000003|529.8395322|1881.379304|-7.635686595|0.47369361|6.703148323|12.58937144|6034.895823|276.93712|24.81565867|0.0269852389999999|1265.598592|1.0|1.0|1.0|1.0|0.0|3.49|0.26|-7.78|4.43|62.06|1.99|0.0|113.07|0.0|1.0|4.0|29.0|5.0|386.45|1.0|3.59e-05|0.00793|3.46|0.0|1.66e-08|6.4e-06|5.4267|2.76|-1259.011598|323.24|0.4049|228.47|488.89|0.41348|-1258.744382|0.0921|-0.20059|-1258.801509|5.0714|3.81|5.4191|5.4191
15_a4|0.0|0|1|1|1.956386054|-0.159419214|5.4161004020000005|0.044357639|0.0432718859999999|0.0|-0.077474847|0.009823083|-0.1979518539999999|0.022446689|1|1|0.097046535|-0.017259078|1|0.5118792910000001|0.772721853|0.095534883|0.509447294|0|0.867716376|-0.062151785|-0.073738544|0.2517542889999999|0.010893057|5.223809291|12.70877085|63.43714456|-0.030724393|2.505098786|-14.29317436|-14.73400655|35.02894809|1973.978183|416.1168833|1495.715718|-7.065752187|0.156108698|5.459799482|9.709704127|4134.603400999999|74.8625551|17.45960235|0.009743323|628.5456843999999|1.0|0.0|0.0|1.0|0.0|3.01|0.11|-6.09|4.4|30.71|3.05|0.0|85.06|0.0|1.0|2.0|22.0|3.0|291.32|1.0|0.000152|0.0151|3.49|0.0|8.070000000000001e-07|0.000235|4.5048|3.8|-958.270023|294.16|0.1996|275.22|396.58|0.4778699999999999|-958.147682|0.0969999999999999|-0.2091199999999999|-958.195344|3.0091|175.0|6757.0|6757.0
20_a31|0.0|1|0|0|0.0|0.0469387759999999|5.733341277|0.03995614|-0.013040402|2.114008068|-0.476400874|-0.003484915|-0.020082435|-0.078213611|3|3|-0.023477148|-0.0852122769999999|0|0.788133615|0.8602874540000001|0.028036914|0.7507116140000001|1|0.7954270659999999|-0.085849869|-0.110195543|0.246878555|0.019334605|12.1160662|64.42171513|128.1960117|-0.033537774|7.592555532|-33.71260536|-21.01650877|65.91404723|2576.1287230000003|498.4558574|1758.762093|-13.1700345|0.289292958|8.289864307|15.48343758|5678.167489|181.2859728|29.5712685|0.019624081|1360.278351|1.0|1.0|1.0|1.0|2.0|2.74|0.26|-7.65|4.38|140.04|1.1|0.0|110.47|1.0|1.0|7.0|27.0|4.0|397.52|1.0|1.24e-06|0.0146|3.29|0.0|2.23e-08|8.86e-06|3.5381|4.78|-1880.768349|350.43|0.2011|350.43|560.67|0.7036600000000001|-1880.538664|0.2011|-0.20895|-1880.599777|4.9218|8.0|8.0862|8.0862
12av_a36|0.0|0|0|2|0.0|0.049150854|5.351858133|0.04250591|0.06882889|0.0|-0.605432791|-0.00233752|-0.021036176|-0.039627578|1|1|0.1168328169999999|-0.126068378|1|0.859938421|0.8076780109999999|-0.018133027|0.817582774|0|0.752447733|-0.082283524|-0.105593135|0.277834652|0.021666882|15.09249582|99.2415672|172.4374372|-0.035197712|10.51297704|-39.92474833|-24.51766365|72.40871507|3011.024457|524.1323793|2354.591519|-17.07826447|0.328083083|8.975655204|17.64042914|6460.1184140000005|228.5327731|36.48912989|0.025779468|2079.880404|0.0|0.0|0.0|1.0|3.0|0.0|0.17|-6.93|1.65|98.3|1.49|0.0|138.06|0.0|1.0|7.0|33.0|5.0|438.48|0.0|0.000292|0.0997|1.85|0.0|1.1800000000000001e-07|5.18e-05|4.8408|4.5|-1440.988179|360.39|0.6698|256.12|588.31|0.43212|-1440.67411|0.0027|-0.19429|-1440.738332|6.1075|39.0|7.4089|7.4089
8_a15|0.0|0|0|0|0.0|-0.208657545|0.0|0.039181287|0.155304204|0.0|-0.5025236129999999|1.7800000000000002e-05|-0.010146469|-0.014489333|0|0|0.225620047|-0.203104439|1|0.85357243|0.7059441040000001|0.0937475619999999|0.8105478740000001|0|0.853896482|-0.071552706|-0.118293578|0.381651497|0.0336657729999999|19.65860939|104.8781037|85.31489861|-0.028969856|11.47934212|-24.39801408|-16.91650111|61.44071008|2393.276181|498.6196971|1919.535904|-9.878130237|0.480572589|6.093505548|9.984825987|5306.2234530000005|280.62296039999995|32.56759415|0.035495625|1595.8121130000002|1.0|1.0|1.0|0.0|1.0|3.76|0.19|-7.57|4.95|61.84|1.96|0.0|104.74|0.0|1.0|7.0|27.0|5.0|366.41|1.0|5.63e-06|0.00562|4.24|0.0|2.69e-08|9.86e-06|4.4346|3.36|-1223.704913|331.28|251.0|279.58|538.51|0.5128|-1223.463981|0.0155|-0.18303|-1223.523393|1.4589|108.0|6.9666|6.9666
1d_a5|0.0|0|0|0|0.0|-0.133500214|4.59511985|0.030074074|-0.118028278|0.0|-0.2688711589999999|-0.0012491689999999|-0.2261588939999999|-0.010183824|1|1|-0.389011185|0.001493879|2|0.525406088|0.7595197290000001|-0.058872605|0.513260607|0|0.8965037640000001|-0.088396743|-0.086213657|0.6271150670000001|0.007937625|4.288788702|204.4506579|55.92018945|-0.036640804|2.317281143|-25.80622135|-19.79744178|52.05055075|2481.822293|484.3911442|1172.890724|-10.69678217|0.229495885|6.116537519|11.5640749|5717.438103|123.9992274|25.69414151|0.018980039|1027.76566|1.0|1.0|0.0|1.0|1.0|2.19|0.05|-8.88|6.37|54.46|2.73|0.0|95.49|0.0|1.0|4.0|27.0|6.0|366.34|1.0|1.6100000000000002e-05|0.00396|3.95|0.0|1.3300000000000002e-09|4.86e-07|4.8725|3.58|-1288.340378|268.88|0.2805|254.46|414.59|0.41781|-1288.201219|0.0982|-0.23519|-1288.253849|5.3765|9333.0|5.03|5.03
