molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|BCUTs-1|SRW07|AATSC1s|n6HRing|JGI4|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PPSA3|TPSA_x|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50
12bh_a36|0.0|1|0|3.50075137|0.0|0|7.412764017000001|1.297043258|5.351858133|-0.047482048|2|0.044197531|0.003676818|10.94728093|-0.035747988|1|0.0016901289999999|-0.101854847|-0.169994208|0.902377067|0.78699829|-0.211972014|0.833398429|0|0.833491953|-0.070687668|0.317612728|0.017627098|11.73109101|110.81353529999998|7.807212275|-1.991880197|-31.30825225|76.46867897|58.77476595|0.482052584|554.7010591|-1325.625342|-15.75398235|7.545637217999999|14.56834609|0.930697921|5957.443236|-882.2230117|30.2209316|-377.0728785|1692.3721690000002|729.1873176|0.0|0.0|1.0|0.0|2.0|0.0|17.0|3.76|2.5|69.2|133.68|0.0|5.0|-4.54|31.0|4.0|409.49|1.0|2.42|2.8600000000000004e-05|0.0117|0.0102|3.41|0.0|0.0|4.55e-08|1.86e-05|3.79|-1311.589612|715.94|1208.61|341.97|0.4386|319.46|0.69377|0.7039|-1311.293683|11.0|-0.14915|5.8338|-1311.356102|7.7975|7.8539
3k_a32|0.0|1|1|3.644417045|0.0|0|7.97831097|0.609420759|5.973809612|-0.001250803|0|0.0381981979999999|0.001221534|10.31100271|-0.077097565|3|-0.084055305|-0.050938823|-0.090775221|0.816196288|0.779649252|-0.127713677|0.8306695270000001|1|0.8777482409999999|-0.0711378679999999|0.31016741|0.0123637989999999|6.970844822|68.92687468|3.930238317|-1.271758703|-22.61349991|58.16707081|47.07915023|0.472646737|494.8840288|-717.0314235000001|-9.40163104|6.153598893|11.6688363|0.89626209|5259.698672|-404.2701347|21.36272325|-316.3794102|918.5970998|506.658189|1.0|1.0|1.0|1.0|1.0|3.48|19.0|7.12|5.78|110.94|105.36|0.0|3.0|-7.04|25.0|3.0|366.5|0.0|4.75|9.16e-08|3.3600000000000004e-05|0.000904|4.97|0.0|0.0|5.86e-08|2.15e-05|3.81|-1750.164914|611.65|1022.89|350.6|0.3082|350.6|0.70268|0.70268|-1749.957584|0.3082|-0.14667|3.2233|-1750.0122420000002|5689.0|8.0605
4_a38 (LY-2157299)|0.0|0|0|0.0|0.0|1|7.535296702|1.343847059|5.4161004020000005|-0.080432741|2|0.041252955|0.002865697|10.9277672|-0.020954339|1|-0.083399128|0.028964355|0.0481706809999999|0.702976795|0.8099394329999999|-0.041794304|0.868207983|1|0.754313773|-0.092570349|0.459041332|0.01243241|7.104736984|140.40206619999998|4.060137052|-1.520583011|-30.23133173|58.99645489|60.00582329|0.487041509|431.0669496|-868.9660769|-10.56568487|6.54753874|12.76426621|0.949475478|5566.495502000001|-496.5871888|23.51893991|-327.0140711|1105.390176|542.7276591|1.0|1.0|1.0|1.0|1.0|2.6|21.0|3.69|3.51|86.69|108.18|0.0|3.0|-3.85|28.0|4.0|369.42|0.0|2.81|0.0001409999999999|52.0|0.0375|2.39|0.0|0.0|7.45e-08|2.75e-05|3.95|-1198.683473|617.61|1048.31|327.69|0.2|266.68|0.4|0.68|-1198.442536|0.06|-0.16|5.9043|-1198.49738|7.6529|7.1586
14h_a23|0.0|0|1|0.0|0.0|2|7.423568444|1.197963488|5.351858133|0.006191846|2|0.04255787|0.009895793|10.31321773|-0.034313725|2|0.060820238|-0.0686282459999999|-0.131709531|0.708395022|0.79263722|0.143102066|0.860920386|1|0.923430574|-0.063825076|0.223157991|0.021982565|14.81983413|51.620282|9.990985411|-1.621174834|-29.00823506|67.44368679|57.84834575|0.48032488|622.5428245|-1092.936262|-15.35036053|7.833334036|15.0735214|0.924279155|6722.809649|-736.8173055999999|30.23434844|-341.2621515|1451.248725|646.2584547|0.0|1.0|1.0|1.0|1.0|3.2|26.0|3.4|3.89|128.81|125.0|0.0|5.0|-5.68|32.0|5.0|436.49|0.0|3.23|2.09e-06|0.0009109999999999|0.00554|3.3|0.0|0.0|3.39e-08|1.4800000000000002e-05|3.29|-1722.1762399999998|699.86|1190.62|337.93|0.3424|306.09|0.67365|0.69933|-1721.9314420000003|0.2727|-0.15209|9.7146|-1721.99264|13.4823|8.3468
13p_a6|0.0|1|0|3.449535594|0.0|0|6.842683282|1.424099253|4.727387819|-0.1144898999999999|2|0.042959184|-0.008008339|10.95053423|-0.072853186|1|0.123575608|-0.068532678|-0.116250572|0.865935935|0.784414352|-0.059663359|0.837659336|1|0.7265205579999999|-0.099405155|0.196002517|0.01730144|12.27472016|194.0233618|8.708451561|-2.14743793|-50.03427239|89.17529231|82.79893305|0.412828992|515.4389679999999|-1523.526317|-18.9628865|8.760340755|14.91957306|0.703081362|6590.216479|-1080.8845310000002|35.16646396|-369.0018868|2004.488446|794.5462391|1.0|1.0|1.0|1.0|3.0|2.34|27.0|4.58|4.01|122.47|132.01|0.0|7.0|-5.09|34.0|5.0|449.51|0.0|2.96|8.11e-06|0.00365|0.0125|2.86|0.0|0.0|8.73e-11|3.92e-08|4.73|-1463.08132|752.82|1283.98|415.53|0.4132|258.45|0.47508|0.7056600000000001|-1462.740542|0.0029|-0.12251|9.0546|-1462.804694|12163.0|7.0362
12au_a36|-3.3109381210000004|1|0|3.422314661|0.0|0|7.412764017000001|0.2992539489999999|5.351858133|-0.351827031|2|0.044036281|-0.006862238|10.31810353|-0.03802163|1|0.1320241419999999|-0.15024383|-0.261631709|0.8183043390000001|0.825565083|-0.021932444|0.877827228|0|0.698996981|-0.090166553|0.284342092|0.021569487|15.51748637|216.5471227|11.16356587|-2.206115469|-46.66686194|95.91776213|80.38496714|0.492871181|502.8713191000001|-1587.1201529999998|-19.68626738|8.963940512999999|17.67586495|0.97188557|7239.100414|-1141.803508|38.21494522|-310.873098|2216.466823|805.2286932|0.0|0.0|1.0|0.0|3.0|0.0|17.0|1.28|2.15|123.75|142.02|0.0|7.0|-3.85|34.0|6.0|474.54|0.0|1.18|0.0001409999999999|0.0668|0.0897|1.64|0.0|0.0|1.36e-07|6.45e-05|6.24|-1876.207937|752.27|1283.4|334.15|809.0|241.65|0.58518|0.70395|-1875.89525|0.0158|-0.15162|6.1367|-1875.960827|8.0814|7.3279
12bf_a36|0.0|1|0|3.31325137|0.0|0|7.412764017000001|1.297043948|5.351858133|-0.119979424|2|0.044197531|-0.006877664|10.96022305|-0.0206090089999999|1|0.359635716|-0.098027247|-0.250781298|0.653741315|0.836170906|-0.0480253509999999|0.892249657|0|0.6791406640000001|-0.090461753|0.356652646|0.0217611939999999|14.01562806|206.6543367|9.026978489|-1.874348624|-37.52534442|86.28460578|72.27889645|0.474826911|437.4108773|-1207.2027480000002|-15.55034592|7.546900716000001|14.37031118|0.904134124|6271.550446|-777.5172959|34.22402339|-264.6734075|1711.2011699999998|593.6088758|0.0|0.0|1.0|0.0|2.0|0.0|17.0|3.55|3.0|69.2|123.67|0.0|5.0|-3.99|31.0|6.0|417.41|1.0|2.44|0.000102|0.0424|0.0201|2.88|0.0|0.0|7.599999999999999e-08|3.17e-05|3.66|-1431.413697|670.85|1120.94|320.04|0.4518|236.98|0.40663|0.69292|-1431.187555|0.4006|-0.15677|5.4787|-1431.246893|7.5932|8.2218
14b_a50|0.0|0|1|0.0|0.0|2|7.934155233999999|1.267593742|5.82008293|0.0228205129999999|2|0.030219907|0.010215823|10.94501788|-0.041169251|2|-0.106938404|-0.1786649189999999|-0.280243276|0.74726683|0.7887047979999999|0.030057537|0.831689551|1|0.904076348|-0.050362464|0.7031402240000001|0.022423099|14.70317076|62.89861413|9.64109526|-1.533499045|-21.65397937|64.58491917|47.72661339|0.445384689|592.81677|-1005.538915|-10.98912227|6.3538844910000005|11.45638132|0.8030515570000001|6737.145102|-659.347336|26.29763086|-180.03459850000002|1577.857852|825.4425942|1.0|1.0|1.0|1.0|0.0|3.64|20.0|3.72|4.81|66.99|128.39|0.0|7.0|-4.6|33.0|5.0|441.52|1.0|3.6|2.51e-05|0.0111|0.0074099999999999|3.51|0.0|0.0|1.3900000000000001e-07|6.12e-05|3.05|-1431.068494|718.64|1253.87|304.07|0.1637|234.67|0.55594|0.64303|-1430.72987|0.1373|-0.16874|5.3711|-1430.7933859999998|6.7927|5.1818
12aj_a36|0.0|1|0|3.482902101|0.0|0|7.412764017000001|1.29704406|5.351858133|-0.045035034|2|0.043848238|0.002951176|10.95354213|-0.042227364|1|0.1087087|-0.104118159|-0.1763783589999999|0.90414347|0.812278823|0.091113865|0.8632656809999999|0|0.8269863129999999|-0.073002742|0.251263868|0.018305468|11.73352271|110.89910559999998|7.521007149|-1.953134451|-29.99399664|76.5855549|58.52715472|0.47532973|530.0854761|-1251.929069|-15.14089115|8.056502837|15.35536375|0.905958957|5763.333098|-802.4672307|30.48195872|-352.4483722|1615.543812|662.0530478999999|0.0|0.0|1.0|0.0|2.0|0.0|17.0|3.24|2.19|69.2|128.72|0.0|5.0|-4.16|30.0|4.0|395.46|1.0|2.14|6.929999999999999e-05|0.0274|0.02|3.04|0.0|0.0|1.08e-07|4.270000000000001e-05|3.48|-1272.27339|682.84|1157.64|344.24|0.5616|237.06|0.4112|0.70423|-1271.9998859999998|0.0082|-0.14818|5.8554|-1272.060325|7.8393|7.7696
12e_a40|0.0|0|0|0.0|0.0|1|7.515889085|0.604990524|5.4161004020000005|-0.262526337|0|0.04020202|-0.013162335|10.31197242|-0.192362496|2|0.292184471|0.103406816|0.172778196|0.889386453|0.788800541|0.047011204|0.858770467|1|0.7798787840000001|-0.132226452|0.284429447|0.015096495|8.195398107|119.4966772|4.4490161310000005|-1.596791495|-38.96782748|78.14505956|79.97685498|0.491465612|423.3709264|-866.8463724999999|-14.26008524|8.014314957|15.75963228|0.966435355|5478.52313|-470.5828129|33.21629575|-315.75223450000004|1096.13776|348.3847394|0.0|1.0|0.0|0.0|2.0|3.05|20.0|4.34|4.84|98.89|95.8|0.0|2.0|-6.53|24.0|4.0|378.23|0.0|3.98|2.98e-07|0.000113|0.00086|4.72|0.0|0.0|9.14e-07|0.000346|4.66|-2248.276958|552.91|918.38|409.82|0.4494|286.76|0.6826|0.70157|-2248.154966|284.0|-0.12616|2.5946|-2248.206714|3.7268|5.9318
16b_a32|-3.3094926630000003|1|1|3.2902303|0.0|0|7.765993078999999|0.2980105389999999|5.733341277|-0.3723824429999999|0|0.041958333|-0.008277865|10.31100078|-0.0657820279999999|3|-0.023602065|-0.1202046419999999|-0.222700615|0.745820612|0.852956281|0.056127969|0.907055332|1|0.7465375040000001|-0.088716278|0.559199331|0.015808858|10.12961779|162.40756509999997|6.490611388|-1.624590613|-36.42406481|80.37824892|66.97508778|0.414997448|478.3482386|-1040.965864|-14.19159402|6.466656381|11.05406524|0.709394251|6612.089615999999|-667.0049190000001|29.62431176|-317.3487516|1392.342653|597.8890744|0.0|1.0|1.0|1.0|2.0|2.48|19.0|5.4|4.88|165.49|114.43|1.0|7.0|-6.28|28.0|6.0|433.57|0.0|3.26|5.19e-07|0.000225|0.0123|3.14|0.0|0.0|2.54e-08|1.1e-05|6.37|-2315.990437|676.92|1137.73|342.39|0.2849|342.39|0.70233|0.70233|-2315.757928|0.2849|-0.14995|4.4055|-2315.819979|7.0093|7.7696
12be_a36|0.0|1|0|3.466734143|0.0|0|7.412764017000001|1.297042758|5.351858133|-0.0419484829999999|2|0.043854875|0.000482522|10.95957887|0.00430921|1|0.19405344|-0.176729938|-0.289604649|0.884226781|0.812921349|0.132962547|0.858971809|0|0.798015877|-0.0780531429999999|0.330453338|0.033763464|23.42501577|140.1361326|16.25222352|-1.852365352|-37.57129686|99.62604537|77.57811183|0.4564615729999999|553.6616295|-1285.166936|-15.37320593|8.773114043|16.14074295|0.839796323|6592.168374|-891.645944|39.14335412|-91.68453892|2270.314539|766.4854363|0.0|0.0|1.0|1.0|2.0|0.0|17.0|2.83|1.9|87.66|136.74|0.0|7.0|-4.11|33.0|6.0|441.49|0.0|1.75|7.75e-05|0.0342|0.0315|2.62|1.0|0.0|1.6100000000000005e-07|7.11e-05|2.68|-1462.0007349999998|739.48|1256.67|370.25|0.7034|237.59|0.40844|0.70465|-1461.68274|0.0018|-0.13781|7.7861|-1461.747501|10.3044|7.3565
1j_a5|0.0|1|0|2.9426852410000004|0.0|0|6.605297921|1.427567371|4.59511985|-0.010620031|2|0.025987654|0.00683534|10.9487794|-0.032333695|1|-0.190920568|-0.010807075|-0.0178558139999999|0.74740095|0.7862755770000001|-0.084090414|0.848473695|0|0.847163872|-0.073803258|0.35883584|0.019690225|10.57633738|82.09385267|5.680936139|-1.117587665|-21.29338752|54.3827755|50.21875634|0.469085779|455.0425806|-600.2970524|-7.86442482|7.328149934|13.80288876|0.883543443|4618.562904|-322.4414176|23.74961767|-125.1415813|973.7343247|422.96706330000006|1.0|1.0|1.0|1.0|1.0|2.66|23.0|4.5|4.21|63.69|96.98|0.0|4.0|-4.03|25.0|4.0|328.37|1.0|3.19|9.27e-05|0.0304|0.0206|3.03|0.0|0.0|7.190000000000001e-09|2.36e-06|2.61|-1065.849941|572.47|959.39|300.89|0.5115|279.68|0.66182|0.6449|-1065.671975|0.1644|-0.16813|2.2503|-1065.723417|3.0364|7.6198
12aq_a36|0.0|1|0|3.427017327|0.0|0|7.412764017000001|1.297043497|5.351858133|-0.135770278|2|0.041728395|-0.006653538|10.95447882|-0.028591187|1|0.131910912|-0.052743904|-0.090926893|0.892815402|0.839953955|-0.0606936879999999|0.89459881|0|0.681470612|-0.1093001919999999|0.162384515|0.021389734|14.29132551|212.8220574|9.548598682|-2.319486422|-48.79273723|95.39676382|87.31909781|0.426481765|455.31741460000006|-1549.740434|-19.17486584|8.596645087999999|14.98931431|0.743623723|6296.75201|-1035.442755|37.66374367|-350.0740123|2033.842158|689.2886595|0.0|0.0|1.0|0.0|3.0|0.0|17.0|1.92|0.98|112.29|131.85|0.0|6.0|-3.52|32.0|5.0|424.46|0.0|1.15|0.000304|129.0|152.0|1.55|0.0|0.0|7.19e-07|0.000305|3.88|-1401.669694|703.04|1190.22|367.26|0.4988|317.51|0.6933199999999999|0.7058300000000001|-1401.391057|0.0059|-0.13908|6.7649|-1401.452487|8671.0|7.2596
