molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|BCUTs-1|SRW07|AATSC1s|n6HRing|JGI4|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PPSA3|TPSA_x|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50
14g_a23|0.0|0|1|0.0|-4.794439428|2|7.423568444|1.197957711|5.351858133|-0.301504331|2|0.0422736629999999|-0.002390707|10.3132174|-0.030586527|2|0.179219801|-0.0962526|-0.2952674819999999|0.598213287|0.796412133|0.010202051|0.854683662|1|0.907334473|-0.072819606|0.297855753|0.018341721|13.05300369|65.94601775|9.289253982|-2.118336119|-36.87984398|83.15907597|64.87554405|0.461846955|645.7104105000001|-1507.527516|-21.03611074|8.788027188|16.32997765|0.8582074559999999|8005.353973|-1072.841648|37.88128151|-398.9771038|1931.945357|676.4530574|0.0|1.0|0.0|1.0|1.0|3.79|26.0|3.97|6.18|114.25|126.97|0.0|7.0|-6.89|35.0|8.0|495.48|0.0|4.35|1.29e-07|6.38e-05|0.0004969999999999|4.76|0.0|0.0|1.12e-08|5.57e-06|5.17|-2042.1835260000005|730.13|1233.48|334.71|0.3478|334.71|0.56658|0.56658|-2041.934312|0.3478|-0.1519|7.2913|-2042.000034|10245.0|8.0
14ab_a23|0.0|0|1|0.0|0.0|2|7.423568444|1.197962873|5.351858133|-0.028841865|2|0.04314059|0.013012022|10.313217300000002|-0.03821899|2|0.038241896|-0.074579388|-0.13397874|0.725358161|0.75434493|-0.085303124|0.8072028240000001|1|0.92422233|-0.051974369|0.20155691|0.017974612|12.31039874|51.89838547|8.431109267|-1.677357849|-24.37891748|61.60741239|47.90644969|0.4695727329999999|632.9786397|-1148.783854|-14.84482393|7.83369055|14.76864227|0.885272615|6654.62616|-786.7756682999999|27.16741043|-407.9635285|1439.872753|733.3886349999999|0.0|1.0|1.0|1.0|1.0|3.82|26.0|4.4|4.63|105.02|130.22|0.0|5.0|-6.23|32.0|4.0|439.54|0.0|4.12|5.9e-07|0.000259|0.00123|4.31|0.0|0.0|6.9799999999999995e-09|3.07e-06|4.1|-1708.563399|719.66|1238.27|338.88|0.3893|338.88|0.66532|0.66532|-1708.277193|0.3893|-0.14778|5.9624|-1708.3414239999995|8.4721|8.4012
14b_a25|0.0|0|0|0.0|0.0|1|6.842683282|1.420015222|4.727387819|-0.0166120069999999|2|0.038137255|0.004725325|10.93106299|0.0009956189999999|1|0.0028569959999999|-0.043923908|-0.074541111|0.6524261960000001|0.7723870909999999|-0.085205646|0.8333962429999999|1|0.859628015|-0.076156512|0.329662946|0.016003559|11.08504021|97.23019209|7.678174472999999|-1.767361771|-36.53830946|69.2012501|63.83568179|0.490638154|595.4307570000001|-1224.182482|-15.70265555|8.690235527|17.06102567|0.963240883|6760.594953|-847.9433995999999|29.33534086|-377.9013888|1584.108407|760.3735147000001|1.0|1.0|1.0|1.0|1.0|3.21|27.0|4.48|4.79|96.49|130.97|0.0|6.0|-5.6|34.0|5.0|444.49|0.0|3.63|2.49e-06|0.0011099999999999|0.00261|3.88|0.0|0.0|2.23e-10|9.93e-08|5.61|-1444.544749|716.14|1257.11|304.7|0.3614|228.59|0.34735|0.64983|-1444.266358|0.0006|-0.16309|2.7037|-1444.330251|3.2784|7.6576
1_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0.6195934120000001|4.727387819|-0.073036903|2|0.034166667|-0.006610844|10.33805862|0.032569462|0|-0.007705076|0.05038525|0.08803837|1.005427002|0.7905285390000001|-0.126299711|0.8457792829999999|1|0.7762512779999999|-0.098872259|0.521474118|0.008036786|3.693677623|102.8341051|1.697600903|-1.295994381|-20.88467272|49.05980305|49.13501083|0.4490711529999999|356.76228530000003|-595.6343396000001|-7.203984013|4.984064981|9.046658216|0.8151164259999999|4510.611026|-273.7513925|19.78900457|-268.4830832|751.9821735|373.1494221|1.0|0.0|1.0|1.0|1.0|0.0|16.0|2.28|1.85|77.1|91.52|0.0|2.0|-3.07|22.0|4.0|306.38|0.0|1.5|0.0008529999999999|261.0|154.0|1.83|0.0|0.0|1.69e-06|0.000518|2.08|-1273.316428|496.09|845.2|320.83|0.1775|210.84|0.30619|0.68912|-1273.1763970000002|0.0096|-0.1658599999999999|2.2332|-1273.22339|3.4319|6.1403
5_a47|0.0|0|0|0.0|0.0|0|0.0|1.304329328|0.0|-0.188550227|2|0.037492877|-0.012670377|10.9367109|0.045246333|0|0.0083528919999999|-0.019811664|-0.0428873159999999|0.7063295709999999|0.795032176|0.065981732|0.861595935|1|0.807957755|-0.087763105|0.526509524|0.009936558|5.246458665|101.3974575|2.770107005|-1.502972943|-24.46654029|62.14504725|51.58499074|0.4736061789999999|426.5981263000001|-793.5630764|-10.74353333|5.861037845|11.13432113|0.8997183470000001|5501.708422|-418.9977997|26.03444329|-297.3367046|1015.343288|416.1194472|1.0|0.0|1.0|1.0|2.0|2.79|22.0|4.73|5.96|58.04|101.51|0.0|3.0|-5.65|26.0|4.0|365.79|0.0|4.29|2.25e-06|0.000824|0.00116|4.7|0.0|0.0|2.07e-09|7.590000000000001e-07|4.37|-1569.369195|561.61|951.68|334.35|0.2108|334.35|0.69291|0.69291|-1569.20723|0.2108|-0.15419|2.9121|-1569.258939|3.8816|7.7
15c_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.343850105|5.4161004020000005|0.040869377|3|0.034807692|0.01143745|10.92970798|0.0123939039999999|1|-0.101214571|-0.226679901|-0.35845963|0.7655272009999999|0.7351096359999999|-0.03167553|0.772328328|1|0.904458517|-0.046967376|0.418835517|0.014703076|10.2013281|66.28884934|7.077912953999999|-1.233143495|-22.60962187|66.5866765|42.7883594|0.449308156|627.5338454|-855.5829431|-9.275357237|8.639636218|15.6886947|0.8158976029999999|6673.826433|-593.6228632|25.30814911|-39.17102961|1619.721543|924.9341455|1.0|1.0|1.0|1.0|0.0|4.09|21.0|3.77|2.97|59.31|141.96|0.0|6.0|-3.85|34.0|6.0|454.57|1.0|3.1|0.0001419999999999|0.0646|0.0122|2.94|0.0|0.0|1.6100000000000002e-08|7.3e-06|2.2|-1450.241475|762.21|1318.35|337.75|0.3939999999999999|221.75|-0.26999|0.70511|-1450.139335|0.0|-0.14739|2.4256|-1450.201574|4.8283|7.0
12_a4|-3.2834578760000004|0|0|0.0|0.0|1|7.535296702|0.295190368|5.4161004020000005|-0.271149771|2|0.0381179139999999|0.005795666|10.31168324|0.028152112|1|-0.055590089|-0.051501982|-0.085553511|0.5687812560000001|0.8157155359999999|-0.036425699|0.8749408470000001|1|0.805238097|-0.070256284|0.636722126|0.01168879|6.936764267999999|115.5823166|4.116653575|-1.269895089|-24.74343259|53.59101661|48.6306683|0.470780296|477.8721263000001|-753.6248824|-9.127388465|6.223583758999999|11.7599245|0.889574393|6390.233612|-447.2420348|21.42753878|-258.476202|1049.9494|608.4548423|0.0|1.0|1.0|1.0|0.0|2.94|21.0|3.69|4.98|86.12|113.02|0.0|4.0|-4.18|29.0|5.0|404.48|0.0|3.3|6.57e-05|0.0266|0.0188|2.72|0.0|0.0|1.45e-08|5.85e-06|6.12|-1617.861623|640.67|1101.33|325.57|0.1194|255.16|0.63967|0.68825|-1617.57796|0.0464|-0.16224|7.8701|-1617.634733|10.1971|5032.0
GW6604_a52|0.0|1|0|2.944144148|0.0|0|6.605297921|1.427583999|4.59511985|-0.005328809|2|0.021346801|0.007746755|10.94914378|-0.028376521|1|-0.131886693|0.039867344|0.067497086|0.709088617|0.693399445|0.074868979|0.7550228990000001|0|0.87346455|-0.071850787|0.38374044|0.009021088|4.459510077|62.55188751|2.204526664|-1.081038779|-17.55852148|44.37166117|39.97842884|0.4597869779999999|431.7909048|-534.4037285|-7.13996301|6.2973559020000005|11.6571716|0.851121611|4168.525878|-264.17863140000003|19.64292268|-232.6328342|726.7881391|359.1060668|1.0|0.0|1.0|1.0|1.0|1.76|23.0|4.49|4.2|54.46|90.49|0.0|3.0|-3.87|23.0|3.0|298.34|1.0|3.08|0.000135|0.0402|0.0207|3.06|0.0|0.0|9.31e-09|2.78e-06||||||||||||||||6.9706
12z_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|0.604983642|5.351858133|-0.026703371|2|0.040566449|0.003529389|10.31162784|-0.045463448|1|0.05890953|-0.12254489|-0.207153446|0.8397577820000001|0.809127478|-0.02232319|0.855880335|0|0.832920077|-0.071429418|0.315493739|0.030875938|21.47520633|116.2094523|14.93669572|-1.939984979|-34.55504699|95.20867045|71.1566605|0.48740649|579.3226647000001|-1349.321859|-16.464854199999998|8.071510779|15.74641625|0.950863559|7074.004131999999|-938.4966892|37.52507564|-182.00664430000003|2138.929312|792.3440337000001|0.0|1.0|1.0|1.0|1.0|0.0|17.0|3.94|2.63|100.11|140.26|0.0|7.0|-5.61|33.0|6.0|458.54|0.0|2.52|2.47e-06|0.00113|0.00456|3.81|0.0|0.0|1.47e-07|6.720000000000001e-05|3.34|-1804.814868|739.33|1266.9|360.02|0.1855|257.96|0.5513100000000001|0.6853199999999999|-1804.51674|0.1441|-146.0|7.0446|-1804.581882|7.2113|7.3615
14l_a23|0.0|0|1|0.0|0.0|2|7.423568444|1.1979636809999998|5.351858133|-0.026530366|2|0.046283951|0.01269616|10.313217800000002|-0.061788679|2|0.07815878|-0.074441567|-0.136106024|0.725800261|0.778602826|0.156652778|0.836852328|1|0.921267667|-0.053549434|0.215920645|0.018669073|12.31633167|51.94117061|8.125310915|-1.642298442|-23.306234600000003|61.54673359|47.64388017|0.492922575|607.777253|-1083.45454|-14.29549842|8.006380163|15.78926563|0.972085426|6444.7098240000005|-714.7749208|27.44221375|-382.1434717|1372.110688|666.0036144999999|0.0|1.0|1.0|1.0|1.0|3.52|26.0|3.88|4.33|105.02|125.25|0.0|5.0|-5.85|31.0|4.0|425.51|0.0|3.78|1.43e-06|0.000608|0.0023899999999999|3.94|0.0|0.0|1.65e-08|7.03e-06|3.79|-1669.2363289999998|694.65|1185.79|341.8|0.4239|341.8|0.67242|0.67242|-1668.983787|0.4239|-0.14639|6.0563|-1669.04569|8.2422|8.1798
15b_a50|0.0|0|1|0.0|0.0|2|7.934155233999999|1.353059441|5.82008293|-0.05484142|1|0.032843915|0.004641091|10.94501702|-0.124047802|2|-0.17223348|-0.131737048|-0.2185722769999999|0.79846758|0.8259784720000001|0.000882622|0.8833003970000001|1|0.8209134840000001|-0.082576068|0.447220762|0.020083792|11.48191704|102.3838797|6.564219549|-1.291204916|-26.98929785|60.03646705|58.69070955|0.478989976|469.3167805|-738.1827030000001|-9.174337796|6.89125222|13.22671714|0.919348867|5205.2135960000005|-422.0195386|25.11269883|-158.95261259999998|1155.184146|510.3677388|1.0|1.0|1.0|1.0|1.0|2.11|20.0|2.71|3.26|68.76|105.46|0.0|5.0|-3.18|27.0|4.0|357.41|1.0|2.37|0.000654|0.2339999999999999|0.0891|2.11|0.0|0.0|1.92e-06|0.000687|2.08|-1160.4989460000002|613.37|1035.3|305.67|0.1796|305.67|0.65917|0.65917|-1160.275856|0.1796|-0.16737|6.9054|-1160.330621|9.3788|7.1024
7c_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.343178184|5.4161004020000005|0.012145872|2|0.039433962|0.01006918|10.92926158|-0.066271289|1|-0.176560297|-0.12177839|-0.191576261|0.725146704|0.7928588059999999|-0.087063341|0.84177174|1|0.906276489|-0.05074318|0.487148112|0.027436939|16.04055193|54.79389751|9.377842892|-1.139333798|-17.34382833|67.01436709|45.70671102|0.4675549639999999|529.8395322|-666.0926258|-7.635686595|6.703148323|12.58937144|0.8781281320000001|6034.895823|-389.4200163|24.81565867|-30.75918962|1265.598592|611.4957509|1.0|1.0|1.0|1.0|0.0|3.49|21.0|4.59|4.43|62.06|113.07|0.0|4.0|-4.44|29.0|5.0|386.45|1.0|3.59|3.59e-05|0.0139|0.00793|3.46|0.0|0.0|1.66e-08|6.4e-06|2.76|-1259.011598|635.47|1102.43|323.24|0.4049|228.47|0.41348|0.68708|-1258.744382|0.0921|-0.16055|3.9465|-1258.801509|5.0714|5.4191
1f_a5|0.0|1|0|2.824395738|-4.398485453999999|0|6.605297921|1.218960329|4.59511985|-0.31059482|2|0.029105691|-0.0012491689999999|10.94527671|-0.000625|1|-0.389011185|0.001493879|0.004923698|0.525406088|0.771487328|-0.060528915|0.834250802|0|0.888073448|-0.091412569|0.45528118|0.008403353|4.687041957|62.42799372|2.614237829|-1.425583552|-28.43795894|57.83835135|55.67318607|0.4670794829999999|495.3305784|-795.1314464|-11.0872845|7.117418022000001|13.35549635|0.8764524309999999|5474.331675|-443.4913802|26.24118632|-287.2706403|1049.647453|403.396385|1.0|0.0|1.0|1.0|1.0|2.61|23.0|5.48|6.37|54.46|95.49|0.0|4.0|-4.79|27.0|6.0|366.34|0.0|4.23|1.6100000000000002e-05|0.00589|0.00396|3.95|0.0|0.0|1.3300000000000002e-09|4.86e-07|3.58|-1288.353339|577.11|958.06|270.96|0.6959|261.1|0.47267|0.42446|-1288.209882|0.0228|-0.18224|3.7852|-1288.263745|4.9879|6.6198
12f_a40|0.0|0|0|0.0|0.0|1|7.515889085|0.604990261|5.4161004020000005|-0.015621373|0|0.040501792|0.008525796|10.31197207|-0.172869148|2|0.115814835|-0.033224348|-0.054891771|0.679527138|0.777316288|-0.160218113|0.841769186|1|0.909993912|-0.067004323|3.43e-05|0.021549915|11.90644165|49.72883796|6.57837176|-1.150781297|-20.45387851|56.53158029|48.92668311|0.490421149|502.7764322|-635.8127312999999|-10.03685385|8.404802652999999|16.49362536|0.962404834|5326.217734000001|-351.2898849|24.83590915|-255.7481174|869.2568204|384.1423925|0.0|1.0|0.0|0.0|0.0|3.61|20.0|5.35|5.44|67.66|98.25|0.0|3.0|-6.58|24.0|3.0|376.26|0.0|4.76|2.66e-07|0.0001|0.0003819999999999|5.4|0.0|0.0|4.81e-08|1.8100000000000003e-05|4.77|-2212.359379|572.63|951.55|436.97|0.4348|286.25|0.6679999999999999|0.7029|-2212.222254|0.3858|-0.11765|3.2818|-2212.275094|4.8562|6.4202
13c_a6|0.0|1|0|3.441255118|0.0|0|7.412764017000001|1.424213869|5.351858133|-0.0122495089999999|1|0.040821256|-0.003346018|10.95129637|-0.0942387559999999|1|0.081059709|-0.106686991|-0.174259072|0.845481322|0.780680481|0.085414885|0.8353837409999999|0|0.786809832|-0.093635525|0.22875443|0.030547186|20.79409503|145.12291069999998|14.15496611|-2.11340057|-43.38886312|88.21184769|84.53371376|0.466844407|535.5975578|-1438.635026|-18.47751526|8.038175951|15.07660437|0.875625075|6204.855629|-979.308309|35.15921372|-370.3562372|1863.438327|692.8471883999999|1.0|1.0|1.0|1.0|2.0|2.53|23.0|5.38|4.57|95.85|121.6|0.0|6.0|-5.95|32.0|5.0|423.47|0.0|3.64|1.11e-06|0.000471|0.00229|4.23|0.0|0.0|3.96e-10|1.68e-07|4.5|-1389.39897|719.8|1217.77|339.5|0.5471|206.92|0.48478|0.7008800000000001|-1389.122252|0.28|-0.14975|7.7129|-1389.184603|9.2467|7.1367
14_a1|0.0|1|0|3.3674017380000003|0.0|0|7.423568444|1.430935835|5.351858133|-0.175408303|1|0.035620155|-0.011639964|10.94959842|-0.0492229479999999|1|0.164429684|-0.020716495|-0.033765606|0.838928085|0.7462411859999999|-0.08530265|0.805877431|0|0.593170871|-0.12658238|0.206941175|0.033047776|19.5711254|240.9270705|11.59015807|-2.083883365|-44.39360096|87.02320758|94.53410059|0.47517581|351.2799603|-1234.09038|-16.24082222|7.46120838|14.21658628|0.905399978|5748.712211|-730.8369997000001|36.40268318|-300.0800645|1638.120743|513.4628663999999|1.0|1.0|1.0|1.0|2.0|2.35|23.0|4.04|3.63|103.12|106.85|0.0|4.0|-4.52|29.0|5.0|384.39|0.0|2.85|3.03e-05|0.0116|0.0218|2.7|0.0|0.0|2.03e-08|7.81e-06|4.57|-1292.588129|621.08|1049.56|375.01|0.4442|323.35|0.6572600000000001|0.69894|-1292.359534|0.3497|-0.1336|4.1207|-1292.415211|5.3099|7.0269
22_a20|0.0|0|0|0.0|0.0|1|6.842683282|1.4170330269999998|4.727387819|0.023539095|2|0.0388043479999999|0.009265667|10.93106272|-0.038668966|1|0.155407313|-0.036258691|-0.060582944|0.616352201|0.7478675859999999|-0.044184455|0.809440795|1|0.946515026|-0.059893667|0.425968568|0.0122876139999999|8.001165067999999|34.8271111|5.21001405|-1.3559405430000002|-25.39523478|52.90592556|47.00134116|0.477376285|616.3298149|-882.9300756000001|-11.49852068|7.408914181|14.17638345|0.913422548|5924.626340999999|-574.9260339|22.91425458|-352.4559681|1145.712729|664.4562602999999|1.0|1.0|1.0|1.0|0.0|3.41|27.0|5.33|5.39|67.39|121.62|0.0|4.0|-5.6|31.0|4.0|401.46|0.0|4.24|2.48e-06|0.000997|0.0012|4.47|0.0|0.0|2.04e-10|8.199999999999999e-08|4.07|-1275.84854|694.15|1181.95|312.05|0.2636|223.03|0.38233|0.66063|-1275.598059|0.0015|-0.16176|4.8308|-1275.657902|6141.0|6.6364
12ae_a36|-3.3501500230000003|1|0|3.412870974|0.0|0|7.412764017000001|0.299253957|5.351858133|-0.351827031|2|0.041555556|-0.006862238|10.31810353|0.006615826|1|0.151620635|-0.15024383|-0.261631709|0.8183043390000001|0.831101086|-0.0931249669999999|0.8837136859999999|0|0.7162413209999999|-0.085851235|0.439268891|0.023873046|17.78605328|211.4077529|13.25108213|-2.11297219|-47.65297933|97.76153993|81.74750345|0.465246185|533.6188092|-1574.220407|-20.22131065|8.676756505|16.22570287|0.870019385|7331.209763|-1172.836017|39.62310606|-275.6561988|2298.140152|805.2286932|0.0|0.0|1.0|0.0|3.0|0.0|17.0|1.28|2.15|123.75|142.02|0.0|7.0|-3.85|34.0|6.0|474.54|0.0|1.18|0.0001409999999999|0.0668|0.0897|1.64|0.0|0.0|1.36e-07|6.45e-05|6.24|-1876.203168|754.15|1281.69|320.67|0.4832|236.84|0.40141|0.68591|-1875.897072|0.3366|-0.1566|6.7458|-1875.963244|8.9297|7.8239
19i_a38|0.0|1|0|3.169368622|0.0|0|7.412764017000001|1.297043925|5.351858133|-0.115864198|2|0.043197531|-0.006877664|10.96052467|-0.053762162|1|0.215263198|-0.098027247|-0.250781298|0.653741315|0.836170906|-0.040954326|0.892249657|0|0.747158407|-0.08347616|0.4748744179999999|0.022576308|13.83587388|154.953787|8.479305267|-2.038505453|-31.35232957|82.98550237|64.99417804|0.444551315|457.89548719999993|-1249.2965869999998|-15.31261014|6.690507557999999|12.04523072|0.800346329|6744.7785650000005|-765.6305068|33.67721904|-296.5257022|1683.860952|593.6088758|1.0|1.0|1.0|1.0|3.0|2.88|17.0|3.55|3.11|81.23|125.65|0.0|5.0|-4.25|31.0|5.0|419.43|0.0|3.04|5.68e-05|0.0238|0.0196|2.88|0.0|0.0|7.599999999999999e-08|3.19e-05|3.66|-1431.415351|641.31|1101.03|343.17|0.2156|217.36|0.4342|0.69267|-1431.181148|0.1886|-0.14872|6.6636|-1431.239177|8.6365|7.9031
5d_a40|0.0|0|0|0.0|0.0|1|8.149890544|0.6049133329999999|6.167516491000001|0.0418378229999999|0|0.044526749|0.007200253|10.31198333|0.029272031|2|-0.259985037|-0.0038660009999999|-0.009744685|0.496945486|0.8092726020000001|0.145024458|0.877722972|1|0.754010052|-0.086193996|0.049855551|0.022027556|10.10860823|112.88660690000002|4.638915105|-1.131332331|-18.15211073|49.97858532|49.66367051|0.479931934|346.0207917|-519.1767771000001|-7.94180214|6.288958592999999|12.09256826|0.922825231|4051.712713|-238.2540642|21.3342049|-285.606135|640.0261471|243.4287716|0.0|1.0|0.0|0.0|0.0|2.56|14.0|4.08|3.64|75.5|74.11|0.0|3.0|-4.23|20.0|4.0|287.31|1.0|3.1|5.9e-05|17.0|0.0436|2.98|0.0|0.0|4.7600000000000005e-05|0.0137|4.61|-1276.833831|473.48|765.69|331.74|0.4493|331.74|0.69613|0.69613|-1276.751174|0.4493|-0.14851|7.0422|-1276.797751|9.2439|7.7212
7d_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.34384996|5.4161004020000005|-0.017919404|2|0.041369509|0.00870171|10.929819300000002|-0.0325418129999999|1|-0.09209689|-0.041520889|-0.089622042|0.531023495|0.809056885|0.0658971929999999|0.869684772|1|0.841052067|-0.059327943|0.421731106|0.010495008|5.567989142999999|84.32774259|2.9540236560000004|-1.063525614|-16.69900016|45.08492005|37.04365163|0.484115691|446.2091497|-564.2395741|-6.961625817000001|6.100927672|11.82615475|0.938419104|5174.981962|-299.34991010000005|17.98535187|-243.607074|773.3701306|460.1866123|1.0|1.0|1.0|1.0|0.0|3.21|21.0|4.92|4.97|43.6|100.04|0.0|2.0|-4.22|26.0|4.0|344.38|1.0|3.95|5.98e-05|0.0206|0.00654|3.62|0.0|0.0|1.46e-08|5.04e-06|3.49|-1129.198363|574.87|970.29|319.09|0.2593|212.18|0.32059|0.68393|-1129.003694|0.0941|-0.1633099999999999|3.0178|-1129.0552810000002|3.4695|6.0325
20b_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.343837209|5.4161004020000005|-0.073703704|2|0.035818182|0.001965496|10.92966143|-0.013623188|1|-0.049452599|0.019531637|0.031942481|0.725009545|0.761071345|0.052265135|0.817426568|1|0.75259177|-0.094975935|0.6741049840000001|0.013038163|8.331370518|158.09355980000004|5.323735696|-1.85807612|-38.78052212|67.46831286|69.02087825|0.454087415|480.905232|-1187.308396|-13.79433873|7.554743755|13.838742600000002|0.8317951020000001|7173.225184999999|-758.6886304|28.34404003|-334.3514234|1558.922202|769.1246171|1.0|1.0|1.0|1.0|1.0|3.15|27.0|4.23|5.0|95.92|129.73|0.0|5.0|-5.22|34.0|5.0|447.49|0.0|3.66|6.05e-06|0.00271|0.00364|3.52|0.0|0.0|1.1699999999999999e-09|5.26e-07|4.88|-1465.62724|687.84|1218.74|317.8|0.2782|208.89|0.3246|669.0|-1465.333983|0.1382|-0.16388|5725.0|-1465.395231|7.7954|5.9586
12t_a36|0.0|1|0|3.500121488|0.0|0|7.412764017000001|1.297042607|5.351858133|-0.034194893|2|0.041767677|0.003676818|10.95395385|-0.0288761339999999|1|0.059266516|-0.101854847|-0.169994208|0.902377067|0.829598864|-0.009662203|0.878510663|0|0.8337556420000001|-0.0735262|0.318666358|0.017627553|11.7409283|110.727965|7.820109571000001|-2.012310282|-32.61842026|77.32343502|60.71345614|0.48189543|555.3275093999999|-1340.3102789999998|-15.94144641|7.960344391|15.36435856|0.930112292|5936.009091|-892.7209991000001|30.56063281|-377.2113003|1711.395437|729.1873176|0.0|0.0|1.0|0.0|2.0|0.0|17.0|3.62|2.45|69.2|133.52|0.0|6.0|-4.61|31.0|4.0|409.49|1.0|2.4|2.48e-05|0.0102|0.0109|3.47|0.0|0.0|4.38e-08|1.7899999999999998e-05|3.87|-1311.585049|713.6|1208.04|337.89|0.4297|319.18|0.69297|0.70313|-1311.287803|0.0155|-0.15088|5.9081|-1311.349439|7.9104|8.0969
9h_a24|0.0|1|0|2.916716427|0.0|1|7.153833802|1.428198245|5.209486153|2.01e-05|2|0.023854167|0.013595277|10.96661419|-0.002471577|2|0.144624936|-0.02551563|-0.047269812|0.687815726|0.78742035|0.183289617|0.859720539|0|0.883775278|-0.060337884|0.4016070679999999|0.018457687|8.724425117000001|54.93613103|4.123788393|-0.8935525440000001|-13.48059881|47.51520531|37.24443236|0.477589721|417.7355164|-422.3569529|-5.871651668999999|5.805547147|11.11300329|0.914204295|4170.098082|-199.6361567|21.70315707|-68.41568372|737.9073405|295.8603625|0.0|0.0|1.0|1.0|1.0|1.96|22.0|2.42|2.72|72.28|82.17|0.0|3.0|-2.83|22.0|4.0|288.31|1.0|1.97|0.00147|423.0|166.0|1.7|0.0|0.0|8.95e-07|0.000258|1.16|-945.2642633|506.68|831.92|285.43|0.3844|239.63|0.54606|0.61928|-945.153352|0.0073|-0.18239|5.6654|-945.200628|7.7741|7.1135
12bi_a36|0.0|1|0|3.466222049|0.0|0|7.412764017000001|1.297042566|5.351858133|-0.043740597|2|0.043854875|0.000482522|10.95958518|0.041834838|1|0.056936052|-0.176729938|-0.289604649|0.884226781|0.812921349|0.0997949019999999|0.858971809|0|0.7850011179999999|-0.082914301|0.382000949|0.034602166|24.16125901|150.12481100000002|16.87080604|-1.614200516|-40.42611289999999|101.3899049|82.05687954|0.461975362|548.1337538|-1127.129336|-13.56944331|8.454426643|15.71382803|0.85865094|6572.410403|-787.0277122|38.89295091|0.474365004|2255.791153|766.4854363|0.0|0.0|1.0|1.0|2.0|0.0|17.0|2.83|1.9|87.66|136.74|0.0|7.0|-4.11|33.0|6.0|441.49|0.0|1.75|7.75e-05|0.0342|0.0315|2.62|0.0|0.0|1.6100000000000005e-07|7.11e-05|2.68|-1461.997992|742.94|1256.37|336.45|0.4214|319.1|0.68181|0.69207|-1461.69263|0.0252|-0.15078|7.0514|-1461.75632|8.8903|7.8539
15_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.277647202|5.4161004020000005|0.035396617|2|0.0353864729999999|0.009882584|10.92966702|-0.05940848|1|-0.1157120169999999|-0.085979341|-0.136323668|0.682616223|0.808676284|-0.079744227|0.863438637|1|0.915526801|-0.059234364|0.710970489|0.018614889|11.09373722|50.34268476|6.61142847|-1.186313662|-21.03820054|56.66229609|46.39507481|0.434181679|545.6177511|-706.9960069|-8.964715924|6.35937164|11.23924661|0.767351752|5769.347123|-421.3416484|23.27068984|-174.5122907|1093.722422|563.875765|1.0|1.0|1.0|1.0|0.0|3.31|21.0|4.91|4.72|52.83|111.21|0.0|5.0|-4.48|28.0|4.0|390.87|1.0|3.83|3.32e-05|13.0|0.0061|3.68|0.0|0.0|5.01e-09|1.96e-06|3.12|-1604.08794|641.98|1086.19|326.3|0.4553|214.05|0.41458|0.68543|-1603.851644|0.1647|-0.1574|4.5192|-1603.907391|6.1563|7.4815
