molecula|SddssS|NaaNH|n9FaRing|SaaNH|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
2_a3|0.0|0|0|0.0|0|6.823286122000001|0|0.605017347|0.0|0.176032668|-0.008422099|4.727387819|-0.09743592|2|-0.103423993|2.058239271|-0.311617665|-0.006049098|0.09933632|10.31162302|0.036301827|1|0.032450556|-0.568019422|2|0.899733837|0.769486995|-0.192034735|0.065162907|0.8401405609999999|0.841871246|-0.104577702|-0.09392632|0.011938463|-49.07072207|-44.07280196|5.601853871|0.249793422|117.2099151|2.628543258|74.89956423|-1.127115845|53.05538527|-15.55510657|0.458202525|2056.399995|4.88513521|9.016533738|0.845708123|127.637231|21.36736636|0.019143348|726.4904564|330.4083896|1.0|1.0|1.0|1.0|1.0|2.97|0.0|-6.89|4.34|92.93|1.6|90.49|1.0|2.0|-4.75|22.0|3.0|0.0|0.0|1.0|-4.27|0.0054|5.33e-05|0.0162|0.0|1.3e-07|3.9500000000000005e-05|-0.06423|5.4397|1.97|503.34|841.85|0.1824|340.69|0.69543|0.0962|-0.14605|4.0121|-1272.04778|5.4999|3981.0|5.4
8k_a46|-3.737070812|0|0|0.0|1|7.727094485|1|0.300205953|2.105349622|0.1436554669999999|-0.006208399|5.533389489|-0.380857136|2|-0.061030265|0.0|-0.397337564|-0.002099764|-0.114070359|10.31928125|-0.038125|1|-0.050069565|-0.510222233|2|0.73768327|0.786206898|0.095179795|-0.051289238|0.8341090329999999|0.687020939|-0.08638304|-0.0863473759999999|0.009441365|-61.98124174|-61.95565276|6.774333772|0.261823161|187.86239430000003|4.860695117|19.34993627|-1.985989657|70.036452|-23.74966689|0.4938768979999999|3351.548891|8.070811215|15.94634031|0.975803904|124.4394929|28.73282642|0.0112621819999999|1723.969585|865.6610153999999|1.0|0.0|1.0|1.0|2.0|3.94|0.24|-8.66|2.94|124.17|1.86|132.47|1.0|5.0|-5.74|34.0|6.0|0.0|0.0|0.0|-5.13|0.000866|7.47e-06|0.00355|0.0|2.17e-09|1.03e-06|-0.0398699999999999|5.0379|7.63|742.04|1302.56|0.1354|642.39|0.5577300000000001|0.1166|-0.16967|3.4118|-1845.037411|3.8107|147.0|6.8327
18a_a30|0.0|0|0|0.0|0|7.412764017000001|2|0.604987543|0.0|0.045071414|-0.006673169|5.351858133|-0.02919335|2|-0.041327798|0.0|-0.353677943|0.005050384|-0.01286191|10.31163887|-0.094932667|1|-0.094526372|-0.452377064|1|0.8421237309999999|0.7885597609999999|0.003991162|-0.171895425|0.842671963|0.7961424690000001|-0.072474599|-0.095397479|0.017060045|-45.11907802|-59.38972262|10.62073502|0.14081879|87.66676984|6.611941026|0.0|-1.812552105|69.35818061|-23.02866795|0.445995681|2721.874248|7.050626413|12.72666325|0.8050400790000001|130.4247923|29.1318055|0.016012295|1427.458469|620.9195447000001|1.0|0.0|1.0|0.0|1.0|4.75|0.14|-6.64|3.84|81.65|2.82|127.28|1.0|5.0|-5.28|29.0|4.0|0.0|0.0|0.0|-4.85|0.00208|1.4e-05|0.0056|0.0|2.3100000000000002e-07|9.21e-05|-0.05605|3.4712|3.82|665.12|1120.46|0.3781|508.08|0.69033|0.3781|-0.1418|4.2514|-1575.604922|5.2813|25.0|7.6108
3k_a32|0.0|1|1|3.644417045|0|7.97831097|1|0.609420759|0.0|-0.001009768|-0.005745086|5.973809612|-0.001250803|0|-0.047167919|2.256213388|-0.270019022|0.001221534|-0.0902541999999999|10.31100271|-0.077097565|3|-0.090775221|-0.5265375529999999|0|0.816196288|0.779649252|-0.127713677|-0.129124455|0.8306695270000001|0.7681279190000001|-0.0711378679999999|-0.090839907|0.0123637989999999|-40.10830541|-51.21653025|6.970844822|0.122251759|68.92687468|3.930238317|0.0|-1.271758703|58.16707081|-16.67514938|0.472646737|2392.3436100000004|6.153598893|11.6688363|0.89626209|123.7157466|21.36272325|0.012327787|918.5970998|506.658189|1.0|1.0|1.0|1.0|1.0|3.47|0.32|-7.23|7.12|110.94|2.41|105.36|1.0|3.0|-7.04|25.0|3.0|0.0|0.0|1.0|-5.61|3.3600000000000004e-05|2.47e-06|0.000904|0.0|5.86e-08|2.15e-05|-0.05321|3.5363|3.81|611.65|1022.89|0.3082|452.36|0.70268|0.3082|-0.14667|3.2233|-1750.0122420000002|5689.0|9.0|8.0605
12c_a31|0.0|1|0|3.387641566|0|7.765993078999999|1|0.6101358029999999|0.0|0.046986783|-0.013026643|5.733341277|-0.055520387|0|-0.030192572|0.0|-0.690412101|-0.003618466|-0.094991098|10.311698300000002|-0.056866055|2|-0.223856622|-0.54466023|0|0.8083148840000001|0.842823186|0.066071056|-0.098452311|0.8856644770000001|0.770283733|-0.104643824|-0.129736755|0.030543026|-66.41224264|-82.33748068|19.38414321|0.334536497|212.313715|12.30215386|553.8695417|-1.816314565|97.28775086|-23.05449459|0.448512808|2592.4503010000003|8.091269314|14.67172662|0.813278739|202.0036947|33.81868912|0.023556702|1690.934456|583.9691392000001|1.0|1.0|1.0|1.0|2.0|3.69|0.35|-7.24|5.64|117.37|1.08|108.16|1.0|8.0|-5.23|28.0|5.0|0.0|0.0|1.0|-4.16|0.00233|6.94e-05|0.0277|0.0|5.79e-08|2.31e-05|-0.0338399999999999|3.8328|4.6|679.71|1138.89|0.2625|578.69|0.7007399999999999|0.2625|-0.15904|1.6786|-1617.951882|2.2908|0.38|6.4202
9o_a24|0.0|1|0|2.9340792330000003|0|6.605297921|1|1.294229152|0.0|-0.064667223|-0.007052095|4.59511985|-0.044044637|3|-0.087807028|0.0|-0.387865233|0.0012214139999999|-0.097596429|10.94506726|-0.000236595|1|0.00294424|-0.38043264|2|0.738419215|0.785672769|-0.0062180169999999|-0.000453155|0.846075714|0.7086274779999999|-0.088586421|-0.08834189|0.018492771|-51.29122728|-51.14964436|10.7072496|0.229726192|133.0106596|6.1994599720000005|44.8382925|-1.678495905|66.24061038|-19.05574986|0.4861134689999999|2892.333138|6.080741586|11.83284872|0.945954873|192.1999837|28.52459128|0.026064002|1454.754155|663.2688909|1.0|0.0|1.0|1.0|2.0|3.96|0.04|-7.91|3.75|92.79|1.23|120.73|1.0|6.0|-4.49|32.0|5.0|0.0|0.0|0.0|-4.4|0.0137|3.9500000000000005e-05|0.0167|0.0|1.24e-08|5.23e-06|-0.04527|5.8802|4.41|611.03|1126.94|0.1409|432.84|0.65292|0.0288|-0.17826|4.3816|-1387.945865|5.9089|446.0|6.3507
IN1166_a11|0.0|1|0|3.433539068|0|6.842683282|0|1.429020445|0.0|-0.089778965|-0.006882528|4.727387819|-0.008507023|2|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|10.95053349|-0.037793156|1|-0.223618825|-0.462344944|2|0.841211811|0.765593573|0.102257199|-0.067328767|0.827254552|0.790249345|-0.073965061|-0.0896538619999999|0.0200246639999999|-51.07061499|-61.90325275|13.82641888|0.136726441|94.40543077|9.546719887|20.83871871|-1.6137695069999998|76.76995134|-21.84820685|0.463497159|2865.055175|6.777827685|12.63334911|0.8639230290000001|211.0745642|31.46783535|0.021531291|1604.859603|676.2770877|1.0|1.0|1.0|1.0|2.0|3.51|0.08|-10.18|5.01|103.17|0.92|123.82|0.0|5.0|-5.11|32.0|5.0|0.0|0.0|1.0|-4.78|0.00323|1.65e-05|0.00688|0.0|6.59e-11|2.75e-08|-0.07275|4.9857|3.36|704.48|1198.36|0.3425|554.63|0.6998300000000001|0.1239|-0.13823|3365.0|-1347.073528|4.3481|12.0|7.9318
12a_a36|0.0|1|0|3.4715209280000003|0|7.412764017000001|2|1.297044783|0.0|-0.0632801509999999|-0.007471648|5.351858133|-0.0427777779999999|2|0.078063311|0.0|-0.403468978|0.002039107|-0.070252245|10.96083376|-0.065913514|1|-0.183140926|-0.432975237|1|0.907322874|0.7934042040000001|-0.012112722|-0.119322074|0.846614758|0.855821486|-0.076154312|-0.104828755|0.019595485|-46.76212019|-64.36949846|12.03249549|0.179315373|110.1075804|7.388485123|5.277117996|-1.886917597|76.09903547|-23.17301945|0.470444928|2647.835699|6.600635115|12.464492300000002|0.888377722|150.24716030000002|30.67992313|0.019102103|1533.996157|598.1535763999999|1.0|0.0|0.0|0.0|2.0|4.75|0.14|-6.59|2.72|69.2|2.02|123.75|1.0|5.0|-3.79|29.0|4.0|0.0|1.0|0.0|-4.0|0.0625|0.000101|0.0384|0.0|2.56e-07|9.78e-05|-0.04946|3.8343|3.16|653.94|1096.31|0.4435|481.98|0.6997|0.0012|-0.1519299999999999|6.3637|-1232.764108|8.5603|13.0|7.8861
18b_a25|0.0|0|0|0.0|1|6.842683282|0|1.194228955|1.824998189|-0.147813831|-0.003259453|4.727387819|0.0131826839999999|2|-0.018632104|2.003993644|-0.189048258|0.006181503|0.014055398|10.31286058|0.0009956189999999|1|-0.061048368|-0.303383008|2|0.721100414|0.7723870909999999|-0.026045966|0.001715854|0.8333962429999999|0.6915652390000001|-0.063132226|-0.078644297|0.01278627|-44.30110081|-55.18621997|8.972372556|0.063746107|44.73187305|6.296086869|0.0|-1.6515302369999998|64.81723515|-21.46130777|0.493622561|3051.645565|8.654596906|17.09119768|0.974811521|151.02439719999998|27.34692815|0.013724883|1476.7341199999998|809.2903831|1.0|1.0|1.0|1.0|1.0|3.58|0.07|-9.84|5.93|111.51|2.2|138.56|1.0|6.0|-6.54|34.0|4.0|0.0|0.0|1.0|-5.71|0.000132|1.95e-06|0.000899|0.0|1.4500000000000002e-10|6.690000000000001e-08|-0.07066|5.5437|4.32|728.12|1284.89|0.2658|612.24|0.54166|0.0468|-0.15079|2.8141|-1767.286778|2752.0|51.0|7.2924
47f_a18|0.0|0|0|0.0|0|7.03438793|1|1.251175676|0.0|-0.005500039|-0.005817448|4.844187086|-0.034211867|0|-0.048472184|0.0|-0.477030713|0.0036509859999999|0.033759227|10.94702253|-0.008224928|0|-0.3927204379999999|-0.4138670829999999|0|0.765824398|0.750610215|-0.009917608|-0.014370598|0.780474694|0.745431271|-0.063824969|-0.084851044|0.0138461289999999|-54.18475173|-72.03501774|11.75478965|0.161843119|137.3980967|9.979328976|58.84834254|-2.290978185|86.11217859|-24.61956302|0.483843526|3367.7324700000004|10.55465562|20.44855806|0.937396993|232.14715330000004|33.88554232|0.016581683|2676.957843|1347.416568|1.0|1.0|0.0|1.0|2.0|4.87|0.34|-9.22|3.22|88.97|2.79|164.47|1.0|13.0|-6.11|40.0|4.0|0.0|0.0|0.0|-5.52|0.000421|3.01e-06|0.00163|1.0|6.04e-10|3.27e-07|-0.04439|3.0964|8.13|908.66|1602.99|0.5741|874.24|0.6984600000000001|0.5741|-0.12802|3.8532|-1741.802171|4.4861|9.0|8.0458
