molecula|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|SaaaC|ATSC1c|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|RNCS|RPSA|TPSA_x|WNSA5|RPCS|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|FPSA1|GeomDiameter|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
11g_a5|0|0|0.0|7.139660336|0|1.388236041|-0.204002571|5.209486153|0.009272269|2|0.0|-0.252634073|-0.137618073|2|0.006964153|-0.14133011|-0.137739838|-0.267507083|0.777565622|0.814159231|-0.075382189|-0.01453517|0.8737292720000001|0|-0.067247149|-0.076326887|0.396049407|-44.19305139|68.77977167|0.1620562619999999|106.4990972|-32.96383785|0.0|-29.04250676|-16.72000506|59.4498014|0.485790997|2823.738452|-10.98794595|0.456418686|18.16867625|5817.569415|30.75897687|0.03204398|-57.28097817|648.1198739|21.05845771|1.0|1.0|1.0|3.17|28.0|-9.04|4.17|4.48|81.51|1.06|1.0|1.0|7.0|-4.12|31.0|-6.84|408.46|0.0|0.0|0.0|7.65e-05|0.0312|4.88e-05|0.0199|2.75|0.0|0.0|3.770000000000001e-07|4.5106|4.2083|-1330.189793|693.48|1180.25|274.87|0.63081|-0.1714|3.2282|-0.2146199999999999|0.04557484|-1329.988893|7.5229|7.5229
21_a12|0|0|0.0|6.605297921|1|0.609915045|0.04375233|4.59511985|-0.058516436|3|0.0|-0.362168355|-0.01367083|1|-0.001825446|-0.388196876|-0.116098308|-0.522951134|0.923855679|0.835359152|-0.061915124|-0.099516604|0.89838263|0|-0.068775342|-0.100098765|0.192026642|-34.60932333|75.46830038|0.15172224|76.35009799|-25.34833425|0.0|-17.416202300000002|-18.55810005|40.76379649|0.473492395|2185.835701|-9.338859985|0.229181643|11.18947411|4652.242111|24.07584081|0.017360942|-272.5639702|380.2468615|8.736422872|1.0|0.0|1.0|4.05|17.0|-6.78|4.01|2.25|78.41|1.82|0.0|1.0|3.0|-3.82|23.0|-6.45|319.38|0.0|0.0|1.0|0.00015|48.0|0.000173|0.0551|2.53|0.0|0.0|5.3200000000000006e-05|4.6851|3.9971|-1327.479547|539.67|893.17|264.64|0.57644|-0.16784|2327.0|-0.22253|0.02758166|-1327.397348|7.6576|7.6576
4q_a46|0|0|0.09591943|7.832410927000001|1|1.131262631|-0.2520920439999999|5.587248657999999|0.004704245|2|0.0|-0.066250447|-0.155661124|1|0.012222698|-0.019471024|-0.1214838219999999|-0.125840557|0.716317772|0.807871283|-0.15266708|-0.121752717|0.848935944|0|-0.052170875|-0.070035423|0.258420996|-29.12008262|38.31894407|0.086449996|48.25357162|-21.81959712|72.14599138|-16.25388148|-11.72744747|37.21920695|0.487775649|2234.596293|-6.545879136|0.38044274|11.78798551|4992.497361|18.92875482|0.018430997|-133.46593529999998|554.3688216|10.28758193|1.0|1.0|0.0|3.95|17.0|-6.94|4.09|4.09|52.83|1.75|0.0|1.0|4.0|-3.41|26.0|-6.54|348.44|0.0|1.0|0.0|0.000389|135.0|0.000129|0.0449|2.65|0.0|0.0|3.97e-05|4.5296|4.5296|-1108.751283|606.7333|1043.05|273.72|0.69002|-0.1903|2.7026|-0.2207199999999999|0.02185677|-1108.566571|6129.0|6129.0
3a_a12|0|0|0.0|0.0|1|1.28383802|0.13714555|0.0|-0.042445446|2|0.0|-0.322200517|-0.062973953|0|-0.001011111|-0.205054123|-0.072889493|-0.5274624179999999|0.943290857|0.7038021990000001|-0.021522321|-0.032466697|0.759068438|0|-0.07121814|-0.090803706|0.241900756|-34.84701355|71.11710277|0.128014506|62.63745781|-21.73969523|0.0|-17.05063286|-17.08854808|39.46272532|0.462077145|2045.857684|-8.361421244|0.2189499039999999|11.01449587|4230.717811|21.87893986|0.015909241|-275.0354486|381.0058252|7.784386645|1.0|0.0|1.0|3.84|18.0|-7.5|3.43|2.49|37.28|3.09|0.0|1.0|3.0|-3.6|23.0|-5.88|298.34|0.0|1.0|1.0|0.00025|0.0745|8.8e-05|0.0263|3.15|0.0|0.0|9.33e-06|4.2336|3.7304|-951.3711872|528.84|875.71|292.86|0.66895|-0.15328|1.3824|-0.22157|0.023184956|-951.264072|6.7122|6.7122
28_a47|1|1|0.0|6.842683282|0|1.4201653580000002|-0.053792245|4.727387819|-0.23494583|2|1.121067445|-0.436042548|-0.00496711|1|-0.010153352|0.06536499|-0.046265509|-0.435485503|0.635684951|0.832144916|-0.175007067|0.074217097|0.896193695|1|-0.1132830309999999|-0.106779291|0.310094808|-67.33744077|365.2310214|0.394650655|234.5873429|-37.72858603|83.61576722|-40.02656804|-22.66839387|82.83994768|0.472690874|2616.1598940000003|-13.47449501|0.34774073|14.91533234|5633.990508|34.75365534|0.031626405|-181.0112167|428.5826478|18.79929562|0.0|1.0|2.0|3.08|21.0|-6.92|2.49|3.84|98.72|1.67|1.0|1.0|5.0|-3.67|28.0|-7.22|380.35|0.0|0.0|1.0|0.000214|0.0816|0.000217|0.0824|1.97|0.0|0.0|4.59e-05|3675.0|3675.0|-1335.759232|599.88|995.5|337.37|0.69002|-0.15049|6.0847|-0.2052|0.03698465|-1335.6279869999998|7.6|7.6
47u_a18|0|0|0.0|7.03438793|1|1.251177393|0.039883149|4.844187086|-0.0872206669999999|0|0.0|-0.633589579|0.031337464|0|0.00082284|0.0121925089999999|-0.126628013|-0.539738821|0.664796402|0.7517870059999999|-0.0112778039999999|-0.053126304|0.7960273840000001|0|-0.090364489|-0.092271172|0.33777918|-62.99873374|86.37253771|0.258933526|180.5187465|-44.84707106|77.59162925|-43.92035521|-23.98671253|77.42251040000001|0.483819806|2965.254516|-16.72263667|0.278162537|17.78724206|6837.350959|33.23007431|0.021142007|-309.31352410000005|818.9389171|14.73941472|0.0|1.0|2.0|3.98|18.0|-8.2|3.15|3.02|99.56|2.95|3.0|1.0|8.0|-5.69|34.0|-6.31|455.51|0.0|0.0|0.0|2.05e-06|0.000932|1.04e-05|0.00472|3.9|0.0|0.0|2.89e-06|3.1186|3.1186|-1510.182477|738.53|1282.66|397.57|0.69143|-0.12717|4.4624|-0.19109|0.02892505|-1509.839543|5.7055|5.7055
20b_a10|0|0|0.0|7.535296702|1|1.343837209|0.048567614|5.4161004020000005|-0.073703704|2|1.854149459|-0.447804373|-0.042013549|1|0.002637529|-0.049452599|0.019531637|-0.450145946|0.725009545|0.761071345|0.052265135|-0.022843761|0.817426568|1|-0.094975935|-0.088479815|0.6741049840000001|-60.68950774|81.39248686|0.24740823|158.09355980000004|-36.12803002|91.02309592|-38.78052212|-21.58742537|69.02087825|0.454087415|3085.433676|-13.79433873|0.238378673|13.838742600000002|7173.225184999999|28.34404003|0.0171045989999999|-334.3514234|769.1246171|10.92981783|1.0|1.0|1.0|3.54|27.0|-8.93|4.23|5.0|95.92|2.41|2.0|1.0|5.0|-5.22|34.0|-6.53|447.49|0.0|0.0|1.0|6.05e-06|0.00271|8.13e-06|0.00364|3.52|0.0|0.0|5.26e-07|5.9354|3.9013|-1465.62724|687.84|1218.74|208.89|669.0|-0.16388|5725.0|-0.2217199999999999|0.03930765|-1465.395231|5.9586|5.9586
4i_a46|0|0|0.19654443|7.825245291|1|1.1346370959999998|-0.167244168|5.587248657999999|-0.018872727|1|0.0|-0.127450387|-0.160741899|1|0.011931187|-0.133434195|-0.060809732|-0.22302552|0.7204791309999999|0.749522825|-0.0656636|-0.17856753|0.786754478|0|-0.058565229|-0.075208437|0.263514985|-33.08099617|67.51603424|0.0592195629999999|33.45060163|-23.99628633|70.55661087|-18.68604171|-14.16067794|41.92840157|0.406629719|2200.19132|-7.998762108999999|0.2361682219999999|10.47951666|4893.587424|18.53900079|0.011626803|-298.0546045|579.2365607|6.567484272000001|1.0|1.0|0.0|3.88|17.0|-7.3|4.79|5.07|39.94|3.06|1.0|1.0|3.0|-4.94|26.0|-5.31|347.45|0.0|1.0|1.0|1.16e-05|0.00403|9.13e-06|0.00317|4.38|0.0|0.0|1.75e-05|5.3987|4.4232|-1092.730494|611.74|1058.5|229.66|0.69035|-0.18438|2.8538|-0.20084|0.02614355|-1092.528145|6.2132|6.2132
8_a47|0|0|0.0|7.252053952000001|0|1.24688044|0.003732288|5.476463552|-0.099564745|2|1.335354131|-0.391797226|-0.153669322|0|-0.007648516|-0.177626636|-0.00158075|-0.4497577479999999|0.686795267|0.7847248109999999|-0.035681436|-0.223459904|0.842571655|1|-0.075955381|-0.091482011|0.517797505|-44.09728708|90.32612351|0.150243126|87.2263982|-30.83488674|0.0|-25.60148752|-20.78278301|49.14108595|0.414302597|2621.772106|-12.06582525|0.180297967|11.08581716|6219.278078|25.35407034|0.012935553|-371.2177396|559.4973856|7.509972037000001|1.0|1.0|2.0|3.02|22.0|-9.25|5.67|6.77|58.04|3.9|2.0|1.0|4.0|-6.59|29.0|-4.79|405.85|1.0|0.0|1.0|2.56e-07|0.000104|6.490000000000001e-07|0.000263|5.61|0.0|0.0|2.28e-07|3.6696|3.6696|-1686.068471|621.06|1071.62|337.87|0.6877800000000001|-0.15357|3585.0|-0.2085199999999999|0.03283575|-1685.908004|7.3|7.3
5b_a49|0|0|0.0|7.853604813|2|1.343848745|0.1108916119999999|5.777652323|0.006327273|2|1.926253727|-0.418576471|-0.0695402359999999|1|0.006696215|-0.12209302|-0.13632743|-0.515894968|0.6981815290000001|0.7843021|-0.006962617|0.099724518|0.839963111|1|-0.0698098759999999|-0.076494119|0.615864196|-41.03213895|170.0796998|0.203066756|119.3565117|-26.42668087|69.07083505|-24.11745318|-15.28671785|52.97561349|0.475192312|2764.188493|-8.985071494|0.3913052589999999|11.94760614|6225.302624|25.1139312|0.025332565|-127.7749783|612.7019937000001|14.88971719|0.0|1.0|1.0|3.34|21.0|-7.24|2.98|2.87|75.94|2.07|1.0|1.0|3.0|-3.3|30.0|-7.24|396.44|0.0|1.0|1.0|0.000496|0.1969999999999999|0.000118|0.0468|2.08|0.0|0.0|2.3e-05|5.1653|3.9209|-1292.139616|633.92|1093.32|240.03|0.65269|-0.1624799999999999|4.3767|-0.20701|0.03937634|-1291.929428|7.5528|7.5528
4_a27|0|0|0.0|6.823286122000001|0|1.4008954130000002|0.082486268|4.727387819|-0.058641975|2|1.274166982|-0.278154179|0.13397347|1|0.010329671|-0.459570857|-0.2030237389999999|-0.480852615|0.639413469|0.7853766809999999|-0.07759915|-0.024800302|0.842039655|1|-0.057748369|-0.078787867|0.3485918529999999|-29.89961815|8.590238252999999|0.1473956619999999|76.31512503|-21.12083948|58.27512057|-15.48073439|-14.56891559|40.33074472|0.444169714|2273.715366|-7.543156957000001|0.317514326|10.82331334|4988.6278600000005|21.34684457|0.020363697|-188.9664429|424.8821143|10.54344507|0.0|0.0|0.0|3.11|21.0|-6.22|2.94|2.8|65.6|2.66|0.0|1.0|2.0|-3.57|25.0|-6.51|331.37|0.0|1.0|1.0|0.000266|0.0882|0.000102|0.0339|2.55|0.0|0.0|0.0002|5.5485|4.1288|-1083.138303|555.75|946.77|223.46|0.6089899999999999|-0.17034|2.7371|-0.21533|0.01877181|-1083.01571|8.3979|8.3979
26_a47|1|1|0.0|6.86171134|0|1.304328272|0.11828578|4.727387819|-0.200192886|2|0.956774672|-0.544056455|-0.046771537|1|-0.008325552|-0.24731748|-0.035472095|-0.5899218279999999|0.6850994429999999|0.845040087|-0.11288313|0.0120097289999999|0.910081385|1|-0.098127284|-0.101679756|0.549740398|-57.01987795|9.608109253|0.2895618|168.2587945|-34.3326642|60.07342336|-33.13315474|-22.50824805|69.15552111|0.474969855|2625.572598|-13.07911017|0.282360823|13.22794532|5994.406615|31.36429668|0.024619511|-252.9318822|457.1122177|14.3059247|0.0|0.0|2.0|3.13|21.0|-7.22|2.84|4.68|98.72|2.59|1.0|1.0|4.0|-4.86|28.0|-6.51|396.81|0.0|0.0|1.0|1.3699999999999998e-05|0.00545|2.77e-05|11.0|3.12|0.0|0.0|2.37e-05|4.7963|3992.0|-1696.096597|592.84|1006.59|258.5|0.68707|-0.16642|3.6825|-0.22921|0.02111593|-1695.993821|7.9|7.9
16_a47|1|1|0.0|6.605297921|0|1.417579067|-0.134455235|4.59511985|-0.1246612469999999|2|1.491023983|-0.23280014|0.001426202|1|-0.004153659|-0.236994128|-0.02006804|-0.3379683979999999|0.591929006|0.812131575|-0.113476605|0.081171071|0.87782381|1|-0.093207587|-0.092995116|0.421094692|-48.30620628|63.13219447|0.308139547|159.6978638|-24.97833451|0.0|-25.03540372|-17.75645434|57.9827944|0.473257697|2315.178558|-9.202544293|0.302070079|13.01476838|4952.972679|25.44160067|0.0234786339999999|-205.1602001|357.35851410000004|12.16814835|1.0|1.0|2.0|2.93|21.0|-8.17|4.47|5.19|66.49|2.72|0.0|1.0|3.0|-4.34|25.0|-6.04|337.33|0.0|0.0|1.0|4.56e-05|0.0154|3.84e-05|13.0|3.27|0.0|0.0|2.3e-06|4.4393|4.0806|-1167.046301|534.69|894.43|279.29|0.6743899999999999|-0.16851|2.3795|-0.22568|0.03384512|-1166.951551|9.0|9.0
14a_a10|0|0|0.0|7.535296702|2|1.3438495730000002|-0.2090476269999999|5.4161004020000005|0.0437538159999999|3|2.070512208|-0.147427016|-0.045759336|1|0.012272222|0.042968756|-0.220250238|-0.168193178|0.76857495|0.7348225290000001|-0.011977878|-0.007680215|0.770129205|1|-0.044416218|-0.070610745|0.43555903|-32.23041637|67.52851799|0.088450549|64.18371923|-37.18086445|134.15514270000003|-23.38784787|-13.76552695|42.07091945|0.469029865|3075.550631|-9.988888957|0.457984122|18.88856367|6754.660977|25.39690722|0.0219172279999999|-60.97724212|1003.968547|15.9041322|0.0|1.0|0.0|3.98|21.0|-8.18|4.16|3.36|59.31|1.94|1.0|1.0|7.0|-4.21|35.0|-6.82|468.59|0.0|1.0|0.0|6.159999999999999e-05|0.0288|1.58e-05|0.00743|3.29|0.0|0.0|3.07e-06|5.5808|3802.0|-1489.655581|800.01|1380.89|222.16|0.7047100000000001|0.2422099999999999|3.1205|0.19621|-0.14757681|-1489.487381|7.1308|7.1308
