molecula|SddssS|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA3|PNSA5|RNCS|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
3_a3|0.0|0|0.0|0.0|0|7.285506549|0|0|0.605000514|-0.010040064|1|-0.015653979|2.063441043|-0.3413621639999999|-0.007818326|10.31154314|2|2|-0.006362643|1|0.8083172479999999|-0.082619043|0.123113049|0.885339037|0.7538064790000001|-0.107269779|-45.05306124|228.5396864|-0.035057023|2.623868963|75.88125246|0.7000038270000001|-22.30683222|55.67251784|54.67064981|2092.406045|343.74795510000007|-495.58367360000005|1349.6286710000002|5.025797436|8.592908408|4677.617255|136.8031103|-225.9941764|707.9728057|302.8386149|10.6194566|1.0|1.0|1.0|1.0|1.0|3.11|0.0|20.0|-6.15|5.0|4.07|121.17|0.0|0.0|88.36|2.0|-5.48|21.0|3.0|-5.88|0.0|0.0|1.0|-4.39|7.009999999999999e-07|0.000218|3.3475|-1592.904586|-1592.873593|817.21|0.2383|316.65|0.69206|-0.14599|2.1507|-0.20969|-1592.839065|2.8045|5.93|5.93
4q_a46|0.0|0|0.0|0.09591943|1|7.832410927000001|1|1|1.131262631|-0.001250008|2|-0.012611536|0.0|-0.066250447|0.012173202|10.96363644|1|1|0.012222698|2|0.807871283|-0.15266708|-0.121752717|0.848935944|0.913550004|-0.052170875|-39.09149156|38.31894407|-0.021010627|4.520667361|72.14599138|0.61955726|-16.25388148|49.37907349|37.21920695|2234.596293|509.9138517|-586.3723734|1491.412605|6.038093227999999|11.78798551|4992.497361|212.350744|-327.2939568|946.4377411|554.3688216|10.28758193|1.0|1.0|1.0|1.0|0.0|3.95|0.38|17.0|-6.94|4.09|4.09|52.83|0.0|0.0|102.63|4.0|-3.41|26.0|4.0|-6.54|0.0|1.0|0.0|-3.89|1.14e-07|3.97e-05|4.5296|-1108.751283|-1108.729426|1043.05|0.1432|510.13|0.69002|-0.1903|2.7026|-0.2207199999999999|-1108.566571|3.2968|6129.0|6129.0
16b_a32|-3.3094926630000003|1|3.2902303|0.0|0|7.765993078999999|0|0|0.2980105389999999|-0.008469352|0|-0.012739425|2.033356859|-0.423467596|-0.008277865|10.31100078|3|3|-0.00180101|0|0.852956281|0.056127969|-0.098450203|0.907055332|0.7465375040000001|-0.088716278|-69.39772428|53.96132589|-0.0345657579999999|6.490611388|9.827907321|0.7476362679999999|-36.42406481|80.37824892|66.97508778|3037.795494|478.3482386|-1040.965864|3264.235184|6.466656381|11.05406524|6612.089615999999|161.7035261|-667.0049190000001|1392.342653|597.8890744|10.98052464|1.0|1.0|1.0|1.0|2.0|3.71|0.28|19.0|-7.6|5.4|4.88|165.49|1.0|0.0|114.43|7.0|-6.28|28.0|6.0|-6.72|1.0|0.0|1.0|-4.55|2.54e-08|1.1e-05|3.6211|-2315.990437|-2315.951437|1137.73|0.2849|567.01|0.70233|-0.14995|4.4055|-0.2094099999999999|-2315.819979|7.0093|7.7696|7.7696
27a_a34|-3.727789|0|0.0|0.0|1|7.412764017000001|1|1|0.300206665|-0.012620846|1|-0.082271189|0.0|-0.7320090459999999|-0.012495918|10.319282|1|1|-0.005234221|1|0.779284547|-0.07177581|-0.012251785|0.832753533|0.600964267|-0.106669294|-86.36649751|176.4623026|-0.043345322|13.06088842|22.69787432|0.764921711|-52.42823715|100.7752505|93.41277507|3394.470264|421.319507|-1640.9634529999998|2252.433058|8.960143164|15.91204178|7104.26596|164.80691819999998|-1150.434312|2145.269808|718.5861133999999|14.40875302|1.0|1.0|1.0|1.0|2.0|3.66|0.13|23.0|-7.61|2.01|3.97|129.74|1.0|0.0|122.61|6.0|-4.96|33.0|7.0|-7.29|0.0|0.0|0.0|-4.47|2.44e-08|1.13e-05|4.1228|-1861.741982|-1861.695683|1247.85|0.2896|598.18|0.69818|-0.16691|10.8591|-0.20615|-1861.534743|13.9023|6.6198|6.6198
41_a18|0.0|0|0.0|0.0|0|7.03438793|2|2|1.251176562|-0.007587553|1|-0.089781154|0.0|-0.500778516|-0.0034878|10.9470117|0|0|-0.002136837|0|0.733589101|-0.032217299|0.037097204|0.774395455|0.7349388459999999|-0.1020290859999999|-61.10986894|347.42621339999994|-0.037381065|4.488448275|93.99687836|0.903239484|-47.95199341|65.83786886|76.49358329|2899.29167|503.8398786|-1588.856592|1491.296991|8.787657952|17.13823195|6605.095612|66.33450764|-1089.246155|1759.064589|897.5188662|4.727999916|1.0|0.0|1.0|1.0|3.0|4.07|0.25|18.0|-8.38|3.26|2.7|99.28|2.0|1.0|141.34|6.0|-5.56|34.0|3.0|-6.38|0.0|0.0|1.0|-5.02|4.18e-09|1.89e-06|3.2123|-1454.374793|-1454.3467460000002|1294.52|482.0|576.83|0.69308|-0.1319|2.0934|-0.1814599999999999|-1454.045308|2721.0|6433.0|6433.0
47n_a18|0.0|0|0.0|0.0|0|7.03438793|1|1|1.251175627|-0.007614955|0|0.017491759|0.0|-0.609196374|0.000271488|10.94702025|0|0|0.001705837|0|0.696612213|-0.09714337|-0.083719099|0.726888951|0.792429396|-0.079299822|-75.24728669|61.29571241|-0.031974244|7.228646444|47.476904100000006|0.783921929|-54.00070374|86.44740177|74.19865731|3349.802294|653.9193397999999|-2031.676741|2052.393389|10.43689152|20.17045476|7909.580851999999|178.30942439999998|-1676.556573|2591.682495|1306.125688|11.20011508|1.0|0.0|1.0|1.0|3.0|4.69|0.31|18.0|-9.76|3.67|3.31|105.6|3.0|1.0|162.18|13.0|-6.02|40.0|4.0|-6.68|0.0|0.0|0.0|-5.24|1.7500000000000002e-10|9.44e-08|3.2028|-1743.3283440000002|-1743.299948|1565.37|0.5056|799.02|0.6914600000000001|-0.13138|2.4754|-0.18391|-1740.663577|3.3568|7.1938|7.1938
7d_a10|0.0|0|0.0|0.0|1|7.535296702|1|1|1.34384996|-0.00179944|2|-0.042667459|1.591760572|-0.0845736919999999|0.00870171|10.929819300000002|1|1|0.008513576|2|0.809056885|0.0658971929999999|-0.051603612|0.869684772|0.841052067|-0.059327943|-37.61597161|12.32220006|-0.024733154|2.9540236560000004|89.87999909999999|0.729585423|-16.69900016|45.08492005|37.04365163|2348.343588|446.2091497|-564.2395741|1597.531619|6.100927672|11.82615475|5174.981962|143.4649092|-299.34991010000005|773.3701306|460.1866123|7.468948447000001|1.0|1.0|1.0|1.0|0.0|3.21|0.19|21.0|-7.83|4.92|4.97|43.6|1.0|0.0|100.04|2.0|-4.22|26.0|4.0|-5.83|0.0|1.0|1.0|-4.72|1.46e-08|5.04e-06|3.8856|-1129.198363|-1129.175857|970.29|0.2593|417.68|0.68393|-0.1633099999999999|3.0178|-0.21965|-1129.0552810000002|3.4695|6.0325|6.0325
12as_a36|0.0|0|3.447017327|0.0|0|7.412764017000001|2|2|1.297043209|-0.007672841|2|0.096454203|0.0|-0.452697599|0.000584134|10.95347588|1|1|0.0018565629999999|1|0.817372883|-0.0389138329999999|-0.04244711|0.869455765|0.77043791|-0.082748367|-73.78005999|88.17694537|-0.037824788|8.731418812000001|0.0|0.768125394|-37.57216725|85.53474971|68.71652969|2904.092809|519.1478419|-1401.82114|2365.632846|8.768282531|16.08155469|6224.698969|156.2451686|-944.5958066|1824.98997|716.9974499|11.75468972|1.0|0.0|1.0|0.0|2.0|4.86|0.17|17.0|-6.89|3.16|2.09|86.27|1.0|0.0|133.95|6.0|-3.81|32.0|5.0|-7.21|0.0|0.0|0.0|-3.95|1.29e-07|5.4600000000000006e-05|3851.0|-1385.601917|-1385.5651710000002|1207.35|0.5902|568.52|0.68211|-0.1563|4.8580000000000005|-0.21419|-1385.384524|6.8556|7.2291|7.2291
11_a33|0.0|1|3.221176304|0.0|0|7.686621335|0|0|0.609352951|-0.008708023|0|0.055664124|1.979284901|-0.32219686|-0.003303432|10.31100126|3|3|-0.00103193|0|0.85401347|0.003391835|-0.014463304|0.921896958|0.857287241|-0.070841241|-50.94714637|45.43139569|-0.030847481|7.95236684|0.0|0.552878386|-16.71585694|68.11455221|50.78279943|2220.315582|416.4353629|-509.4714637|979.349175|5.24049311|9.837729137|4880.001461|217.193541|-247.4805685|921.4892038|335.4799765|17.16740584|1.0|1.0|1.0|1.0|1.0|3.19|0.13|19.0|-6.23|5.77|4.13|120.17|0.0|0.0|89.77|3.0|-5.48|22.0|4.0|-5.97|0.0|0.0|1.0|-4.38|5.92e-07|0.000194|3.5049|-1669.324638|-1669.304085|858.89|0.5408|378.1|0.70381|-0.14132|3.1406|-0.19938|-1669.251123|4.5998|8.3188|8.3188
galu_a46|0.0|0|0.0|0.0|1|7.535296702|1|1|1.343828866|-0.00642454|2|-0.090581301|1.721297609|-0.327651527|0.002865697|10.92740177|1|1|0.003107816|2|0.81708619|0.044184467|-0.173285585|0.875868891|0.7637964079999999|-0.0910072869999999|-49.84028137|261.2602893|-0.03220981|3.870487977|68.43088526|0.7832175929999999|-28.50774993|57.65745491|57.85086047|2501.785113|427.4851161|-847.2847833999999|1755.2047|6.445819025|12.12170938|5641.451892|121.3297832|-474.2122773|1081.799989|542.7276591|7.817173532999999|0.0|1.0|1.0|1.0|1.0|3.27|0.18|21.0|-7.13|3.69|3.51|86.69|1.0|0.0|108.18|3.0|-3.85|28.0|4.0|-6.86|0.0|0.0|1.0|-3.99|7.45e-08|2.75e-05|||||||||||||7.2924|7.2924
11c_a5|0.0|0|2.930680267|0.0|0|6.605297921|0|0|1.427567332|-0.004590583|2|-0.0859098|0.0|-0.224938556|0.005090155|10.94877953|1|1|0.005383056|2|0.8020105409999999|0.030085871|-0.044126759|0.86113162|0.80472351|-0.078909483|-53.12487972|31.61751609|-0.0322785379999999|6.604499968|4.089828494|0.707039635|-29.19305715|66.02857181|58.854300300000006|2497.685314|489.4652669|-903.1229552|926.234805|8.88462927|16.09582374|5202.741647999999|178.1902995|-549.3157749|1277.330026|523.8031619|12.90369209|1.0|1.0|1.0|1.0|1.0|2.96|0.09|23.0|-8.47|4.79|4.17|80.76|1.0|0.0|106.79|6.0|-4.13|28.0|5.0|-6.59|0.0|0.0|1.0|-4.1|3.4000000000000003e-09|1.26e-06|4.2087|-1218.492067|-1218.454079|1071.71|0.5327|512.32|0.6267699999999999|-0.1713299999999999|2.5278|-0.21448|-1218.336116|3.3827|7.6021|7.6021
12n_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|2|0.604984682|-0.007311044|2|-0.1144447669999999|0.0|-0.387485343|0.001139238|10.31162898|1|1|0.002064369|1|0.815003426|-0.015189554|-0.149451598|0.870930234|0.7781502140000001|-0.083120674|-66.48079820000001|85.87072848|-0.038674741|6.804436105|0.0|0.799403208|-33.14358793|76.16725916|63.2630417|2848.910641|491.3700419|-1196.654368|2349.172094|7.385790169|13.93957316|6353.890039|126.6686716|-755.6383024|1496.934657|618.6004214|9.686460958|1.0|1.0|1.0|0.0|1.0|4.66|0.14|17.0|-6.9|4.25|3.18|81.65|2.0|0.0|127.24|5.0|-5.39|30.0|5.0|-6.02|0.0|0.0|0.0|-5.01|1.26e-07|5.260000000000001e-05|3.4859|-1675.011418|-1674.978015|1131.65|0.1826|506.94|0.6854|-148.0|5.3143|-0.19876|-1674.83759|6.32|7983.0|7983.0
